,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2010-12,740.00M,78.00M,818.00M,827.00M,253.00M,1.08B,137.00M,31.00M,442.00M,610.00M,,,92.00M,59.00M,2.668B,0.00,96.00M,334.00M,2.589B,,1.129B,4.148B,-1.131B,3.017B,774.00M,252.00M,1.026B,838.00M,443.00M,289.00M,5.613B,8.281B,,673.00M,17.00M,690.00M,,690.00M,,,,228.00M,,228.00M,28.00M,28.00M,596.00M,1.542B,,2.99B,,2.99B,116.00M,,116.00M,1.359B,,0.00,1.348B,5.813B,7.355B,,0.00,1.851B,574.00M,829.00M,,,-670.00M,926.00M,,AOR,Restated
2010-09,884.00M,2.00M,886.00M,897.00M,264.00M,1.161B,129.00M,29.00M,420.00M,578.00M,,,42.00M,91.00M,2.767B,,,,,,,4.043B,-1.159B,2.884B,785.00M,271.00M,1.056B,896.00M,499.00M,292.00M,5.627B,8.394B,,640.00M,114.00M,754.00M,,754.00M,,,,261.00M,,261.00M,33.00M,33.00M,589.00M,1.637B,,3.01B,,3.01B,398.00M,,398.00M,1.257B,,0.00,1.175B,5.84B,7.477B,,0.00,1.801B,544.00M,822.00M,,,-606.00M,917.00M,,AOR,Restated
2010-06,1.081B,2.00M,1.083B,862.00M,244.00M,1.106B,114.00M,27.00M,381.00M,522.00M,,,41.00M,70.00M,2.822B,,,,,,,3.787B,-1.111B,2.676B,736.00M,269.00M,1.005B,844.00M,485.00M,273.00M,5.283B,8.105B,,607.00M,76.00M,683.00M,,683.00M,,,,265.00M,,265.00M,30.00M,30.00M,532.00M,1.51B,,3.162B,,3.162B,345.00M,,345.00M,1.26B,,0.00,1.139B,5.906B,7.416B,,0.00,1.664B,535.00M,801.00M,,,-709.00M,689.00M,,AOR,Restated
2010-03,1.139B,4.00M,1.143B,801.00M,276.00M,1.077B,119.00M,29.00M,397.00M,545.00M,,,41.00M,45.00M,2.851B,,,,,,,3.845B,-1.122B,2.723B,765.00M,266.00M,1.031B,843.00M,488.00M,266.00M,5.351B,8.202B,,626.00M,72.00M,698.00M,,698.00M,,,,258.00M,,258.00M,32.00M,32.00M,552.00M,1.54B,,3.233B,,3.233B,356.00M,,356.00M,1.275B,,0.00,1.224B,6.088B,7.628B,,0.00,1.511B,530.00M,781.00M,,,-686.00M,574.00M,,AOR,Restated
2009-12,1.254B,3.00M,1.257B,721.00M,198.00M,983.00M,127.00M,28.00M,367.00M,522.00M,,,42.00M,50.00M,2.856B,0.00,106.00M,360.00M,2.669B,,792.00M,3.927B,-1.13B,2.797B,798.00M,294.00M,1.092B,872.00M,484.00M,311.00M,5.556B,8.412B,,649.00M,72.00M,721.00M,,721.00M,,,242.00M,242.00M,,242.00M,33.00M,33.00M,611.00M,1.607B,45.00M,3.259B,,3.259B,366.00M,47.00M,413.00M,1.288B,44.00M,0.00,1.109B,6.219B,7.826B,,0.00,1.505B,522.00M,781.00M,,,-660.00M,586.00M,,AOR,Restated
2009-09,1.293B,4.00M,1.297B,728.00M,223.00M,951.00M,108.00M,23.00M,336.00M,467.00M,,,60.00M,87.00M,2.862B,,,,,,,3.771B,-1.084B,2.687B,806.00M,315.00M,1.121B,894.00M,358.00M,328.00M,5.388B,8.25B,,558.00M,28.00M,586.00M,,586.00M,,,,265.00M,,265.00M,16.00M,16.00M,606.00M,1.473B,,3.312B,,3.312B,352.00M,,352.00M,1.157B,,2.00M,1.27B,6.091B,7.564B,,0.00,1.505B,503.00M,781.00M,,,-543.00M,684.00M,,AOR,Restated
2009-06,1.145B,6.00M,1.151B,702.00M,231.00M,933.00M,107.00M,24.00M,342.00M,473.00M,,,23.00M,198.00M,2.778B,,,,,,,3.545B,-1.012B,2.533B,788.00M,328.00M,1.116B,843.00M,26.00M,327.00M,4.845B,7.623B,,557.00M,17.00M,574.00M,,574.00M,,,,224.00M,,224.00M,15.00M,15.00M,529.00M,1.342B,,3.268B,,3.268B,352.00M,,352.00M,1.159B,,2.00M,1.254B,6.033B,7.375B,,0.00,1.114B,501.00M,781.00M,,,-588.00M,246.00M,,AOR,Restated
2009-03,1.15B,5.00M,1.155B,624.00M,222.00M,846.00M,115.00M,22.00M,385.00M,522.00M,,,24.00M,42.00M,2.589B,,,,,,,3.474B,-992.00M,2.482B,758.00M,335.00M,1.093B,800.00M,29.00M,344.00M,4.748B,7.337B,,504.00M,10.00M,514.00M,,514.00M,,,,195.00M,,195.00M,14.00M,14.00M,576.00M,1.299B,,3.274B,,3.274B,336.00M,,336.00M,1.162B,,2.00M,1.219B,5.991B,7.29B,,0.00,1.018B,498.00M,781.00M,,,-690.00M,45.00M,,AOR,Restated
2008-12,676.00M,6.00M,682.00M,631.00M,274.00M,905.00M,119.00M,24.00M,434.00M,577.00M,,,24.00M,98.00M,2.286B,0.00,105.00M,358.00M,2.615B,,443.00M,3.521B,-1.051B,2.47B,779.00M,364.00M,1.143B,883.00M,27.00M,357.00M,4.88B,7.166B,,523.00M,24.00M,547.00M,,547.00M,,,,233.00M,,233.00M,15.00M,15.00M,574.00M,1.369B,,3.30B,,3.30B,122.00M,,122.00M,1.167B,,2.00M,1.024B,5.613B,6.982B,,0.00,1.047B,495.00M,781.00M,,,-579.00M,182.00M,,,Restated
2008-09,584.00M,17.00M,601.00M,1.013B,346.00M,1.359B,132.00M,31.00M,580.00M,743.00M,,,68.00M,49.00M,2.82B,,,,,,,3.555B,-1.028B,2.527B,816.00M,389.00M,1.205B,,69.00M,1.351B,5.152B,7.972B,,754.00M,,754.00M,,754.00M,,,,302.00M,,302.00M,29.00M,29.00M,613.00M,1.698B,,3.318B,,3.318B,243.00M,,243.00M,,,2.00M,1.682B,5.243B,6.941B,,0.00,1.21B,492.00M,781.00M,,,108.00M,1.029B,,,
2008-06,983.00M,24.00M,1.007B,1.061B,381.00M,1.442B,123.00M,29.00M,602.00M,754.00M,68.00M,,,30.00M,3.301B,,,,,,,3.534B,-992.00M,2.542B,897.00M,437.00M,1.334B,,50.00M,1.387B,5.313B,8.614B,,829.00M,,829.00M,,829.00M,,,,252.00M,,252.00M,30.00M,30.00M,862.00M,1.973B,,3.371B,,3.371B,277.00M,,277.00M,,,4.00M,1.757B,5.405B,7.378B,,0.00,1.061B,494.00M,529.00M,,,206.00M,1.232B,,,
2008-03,763.00M,,763.00M,1.079B,444.00M,1.523B,127.00M,30.00M,552.00M,709.00M,,,69.00M,66.00M,3.13B,,,,,,,3.421B,-944.00M,2.477B,890.00M,457.00M,1.347B,,12.00M,1.349B,5.185B,8.315B,,822.00M,,822.00M,,822.00M,,,,253.00M,,253.00M,30.00M,30.00M,979.00M,2.084B,,3.351B,,3.351B,286.00M,,286.00M,,,6.00M,1.469B,5.106B,7.19B,,0.00,935.00M,483.00M,463.00M,,,164.00M,1.119B,,,Restated
2007-12,825.00M,,825.00M,1.009B,437.00M,1.446B,107.00M,29.00M,500.00M,636.00M,,,70.00M,86.00M,3.063B,0.00,114.00M,353.00M,2.404B,,329.00M,3.20B,-838.00M,2.362B,866.00M,425.00M,1.291B,,10.00M,1.332B,4.995B,8.058B,,818.00M,,818.00M,,818.00M,,,,272.00M,,272.00M,30.00M,30.00M,911.00M,2.031B,,3.284B,,3.284B,265.00M,,265.00M,,,5.00M,1.411B,4.96B,6.991B,,0.00,799.00M,469.00M,403.00M,87.00M,110.00M,197.00M,1.062B,,,
2007-09,531.00M,,531.00M,953.00M,395.00M,1.348B,117.00M,24.00M,434.00M,575.00M,,,75.00M,61.00M,2.59B,,,,,,,3.096B,-826.00M,2.27B,875.00M,432.00M,1.307B,,51.00M,1.323B,4.951B,7.541B,,675.00M,,675.00M,,675.00M,,,,243.00M,,243.00M,6.00M,6.00M,867.00M,1.791B,,3.252B,,3.252B,247.00M,,247.00M,,,5.00M,1.572B,5.071B,6.862B,,0.00,594.00M,428.00M,403.00M,,,55.00M,674.00M,,,
2007-06,470.00M,,470.00M,857.00M,467.00M,1.324B,133.00M,29.00M,413.00M,575.00M,,,76.00M,51.00M,2.496B,,,,,,,2.92B,-744.00M,2.176B,869.00M,437.00M,1.306B,,67.00M,1.31B,4.859B,7.355B,,667.00M,,667.00M,,667.00M,,,,187.00M,,187.00M,8.00M,8.00M,742.00M,1.604B,,3.198B,,3.198B,301.00M,,301.00M,,,5.00M,1.591B,5.09B,6.694B,,0.00,474.00M,392.00M,258.00M,,,48.00M,656.00M,,,
2007-03,1.115B,,1.115B,910.00M,510.00M,1.42B,135.00M,24.00M,425.00M,584.00M,,,75.00M,43.00M,3.237B,,,,,,,2.727B,-680.00M,2.047B,869.00M,451.00M,1.32B,,63.00M,1.22B,4.65B,7.887B,,731.00M,,731.00M,,731.00M,,,,184.00M,,184.00M,6.00M,6.00M,820.00M,1.741B,,3.305B,,3.305B,265.00M,,265.00M,,,5.00M,1.592B,5.162B,6.903B,,0.00,600.00M,388.00M,,,,-9.00M,979.00M,,,
2006-12,791.00M,,791.00M,1.001B,475.00M,1.476B,120.00M,33.00M,500.00M,653.00M,,46.00M,76.00M,69.00M,3.111B,0.00,115.00M,353.00M,2.089B,,285.00M,2.842B,-687.00M,2.155B,875.00M,463.00M,1.338B,,22.00M,1.269B,4.784B,7.895B,,823.00M,,823.00M,232.00M,1.055B,,,,309.00M,,309.00M,18.00M,18.00M,834.00M,2.216B,,3.189B,,3.189B,297.00M,,297.00M,,,74.00M,1.332B,4.818B,7.034B,,0.00,394.00M,362.00M,,17.00M,14.00M,31.00M,787.00M,,,
2006-09,513.00M,,513.00M,987.00M,552.00M,1.539B,126.00M,33.00M,480.00M,639.00M,,44.00M,37.00M,68.00M,2.84B,,,,,,,2.667B,-582.00M,2.085B,876.00M,469.00M,1.345B,,85.00M,1.271B,4.786B,7.626B,,741.00M,,741.00M,,741.00M,,,,205.00M,,205.00M,27.00M,27.00M,974.00M,1.947B,,3.244B,,3.244B,300.00M,,300.00M,,,70.00M,1.519B,5.063B,7.01B,,0.00,326.00M,356.00M,,,,-136.00M,546.00M,,,
2006-06,354.00M,,354.00M,997.00M,556.00M,1.553B,146.00M,30.00M,479.00M,655.00M,,44.00M,31.00M,73.00M,2.71B,,,,,,,2.632B,-550.00M,2.082B,906.00M,488.00M,1.394B,,125.00M,1.257B,4.858B,7.568B,,744.00M,,744.00M,,744.00M,,,,174.00M,,174.00M,24.00M,24.00M,956.00M,1.898B,,3.32B,,3.32B,300.00M,,300.00M,,,68.00M,1.564B,5.184B,7.082B,,0.00,226.00M,348.00M,,,,-156.00M,418.00M,,,
2006-03,312.00M,,312.00M,1.00B,543.00M,1.543B,137.00M,28.00M,513.00M,678.00M,,42.00M,31.00M,78.00M,2.684B,,,,,,,2.535B,-500.00M,2.035B,928.00M,487.00M,1.415B,,125.00M,1.262B,4.837B,7.521B,,750.00M,,750.00M,,750.00M,,,,212.00M,,212.00M,16.00M,16.00M,1.007B,1.985B,,3.306B,,3.306B,287.00M,,287.00M,,,65.00M,1.536B,5.129B,7.114B,,0.00,132.00M,343.00M,,,,-133.00M,342.00M,,,
2005-12,390.00M,,390.00M,919.00M,481.00M,1.40B,119.00M,27.00M,504.00M,650.00M,,,37.00M,91.00M,2.568B,0.00,108.00M,335.00M,1.89B,,173.00M,2.506B,-475.00M,2.031B,949.00M,481.00M,1.43B,,139.00M,1.277B,4.877B,7.445B,,811.00M,,811.00M,,811.00M,,,,155.00M,,155.00M,36.00M,36.00M,1.011B,2.013B,,3.282B,,3.282B,285.00M,,285.00M,,,64.00M,1.566B,5.133B,7.146B,,0.00,24.00M,337.00M,,,,-126.00M,235.00M,,,
2005-09,401.00M,,401.00M,947.00M,519.00M,1.466B,140.00M,24.00M,461.00M,625.00M,,,69.00M,49.00M,2.61B,,,,,,,2.839B,-857.00M,1.982B,,1.435B,1.435B,,35.00M,1.278B,4.73B,7.34B,,698.00M,,698.00M,813.00M,1.511B,,,,181.00M,,181.00M,13.00M,13.00M,227.00M,1.932B,,3.315B,,3.315B,225.00M,,225.00M,,,149.00M,1.66B,5.20B,7.132B,,0.00,-151.00M,344.00M,,,,-134.00M,59.00M,,,
2005-06,959.00M,,959.00M,955.00M,523.00M,1.478B,122.00M,22.00M,442.00M,586.00M,,,75.00M,109.00M,3.207B,,,,,,,2.319B,-563.00M,1.756B,,1.202B,1.202B,,36.00M,1.195B,4.189B,7.396B,,682.00M,,682.00M,739.00M,1.421B,,,,140.00M,,140.00M,14.00M,14.00M,237.00M,1.812B,,3.253B,,3.253B,227.00M,,227.00M,,,523.00M,1.455B,4.935B,6.747B,,0.00,-196.00M,350.00M,,,,-28.00M,126.00M,,,
2005-03,1.738B,,1.738B,998.00M,544.00M,1.542B,133.00M,28.00M,480.00M,641.00M,,,75.00M,116.00M,4.112B,,,,,,,2.375B,-536.00M,1.839B,,1.175B,1.175B,,56.00M,1.221B,4.291B,8.403B,,1.585B,,1.585B,,1.585B,,,,139.00M,,139.00M,25.00M,25.00M,1.05B,2.799B,,3.30B,,3.30B,230.00M,,230.00M,,,533.00M,1.48B,5.01B,7.809B,,0.00,-263.00M,352.00M,,,,-28.00M,61.00M,,,
2004-12,838.00M,,838.00M,866.00M,670.00M,1.536B,122.00M,26.00M,470.00M,618.00M,,,71.00M,88.00M,3.151B,0.00,90.00M,248.00M,1.713B,9.00M,88.00M,2.148B,-446.00M,1.702B,,1.147B,1.147B,,54.00M,1.356B,4.259B,7.41B,,722.00M,,722.00M,888.00M,1.61B,,,,144.00M,,144.00M,20.00M,20.00M,221.00M,1.995B,,3.243B,,3.243B,256.00M,,256.00M,,,518.00M,1.51B,5.009B,7.004B,,0.00,-253.00M,158.00M,,,,-17.00M,-112.00M,,,
2004-09,819.00M,,819.00M,826.00M,575.00M,1.401B,103.00M,21.00M,441.00M,565.00M,,,67.00M,25.00M,2.877B,0.00,90.00M,266.00M,1.607B,10.00M,109.00M,2.082B,-134.00M,1.948B,,934.00M,934.00M,,72.00M,1.235B,4.189B,7.066B,,583.00M,,583.00M,,583.00M,,,,127.00M,,127.00M,21.00M,21.00M,1.963B,2.694B,,2.973B,,2.973B,244.00M,,244.00M,,,402.00M,1.758B,4.975B,7.669B,,0.00,-1.148B,143.00M,,,,,-1.005B,,,
