,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2006-06,13.13M,13.13M,70.69M,16.72M,87.41M,1.352B,1.433B,41.09M,1.575B,,,,,,,1.581B,-626.11M,954.62M,67.21M,,67.21M,26.14M,1.048B,2.623B,,817.24M,,817.24M,291.28M,1.109B,,,76.06M,,76.06M,,,44.63M,1.229B,392.65M,,392.65M,,,,67.76M,460.42M,1.690B,,0.011M,531.55M,509.69M,113.16M,5.003M,933.10M,,,
2006-03,55.35M,55.35M,84.78M,,84.78M,1.345B,1.421B,28.74M,1.590B,,,,,,,1.532B,-599.84M,932.46M,67.21M,,67.21M,26.30M,1.026B,2.616B,,821.99M,,821.99M,282.92M,1.105B,,,57.18M,,57.18M,,,46.79M,1.209B,395.34M,,395.34M,,,,72.00M,467.34M,1.676B,,0.011M,474.98M,502.07M,42.08M,4.53M,939.50M,,,
2005-12,40.78M,40.78M,94.69M,,94.69M,1.294B,1.367B,45.37M,1.548B,0.00,212.11M,455.27M,780.48M,4.516M,11.04M,1.463B,-564.56M,898.85M,67.09M,,67.09M,28.26M,994.21M,2.542B,,748.60M,,748.60M,265.44M,1.014B,,,82.93M,,82.93M,,,44.50M,1.141B,406.04M,,406.04M,,,,74.87M,480.91M,1.622B,,0.011M,407.37M,564.96M,55.67M,3.09M,919.77M,,,
2005-09,112.70M,112.70M,83.88M,,83.88M,1.298B,1.375B,34.31M,1.606B,,,,,,,1.421B,-551.57M,869.11M,,54.34M,54.34M,33.36M,956.82M,2.563B,,778.58M,,778.58M,280.62M,1.059B,,,56.68M,,56.68M,,,41.28M,1.157B,413.78M,,413.78M,,,,78.58M,492.36M,1.650B,,0.011M,368.02M,560.89M,18.13M,2.271M,913.06M,,,
2005-06,175.89M,175.89M,94.38M,,94.38M,1.250B,1.327B,31.38M,1.629B,,,,,,,1.373B,-529.50M,843.03M,,,,36.72M,879.75M,2.509B,,764.51M,,764.51M,243.14M,1.008B,,,57.76M,,57.76M,,,75.05M,1.140B,421.95M,,421.95M,,,,75.90M,497.85M,1.638B,,0.008M,307.22M,751.88M,189.35M,0.648M,870.42M,,,
2005-03,131.69M,131.69M,91.23M,,91.23M,1.232B,1.309B,26.28M,1.559B,,,,,,,1.316B,-505.19M,810.34M,,,,37.54M,847.88M,2.406B,,676.63M,,676.63M,240.15M,916.77M,,,53.54M,,53.54M,,,165.53M,1.136B,430.12M,,430.12M,,,,80.93M,511.05M,1.647B,,0.008M,241.30M,707.08M,189.35M,0.452M,759.49M,,,
2004-12,56.32M,56.32M,101.97M,,101.97M,1.128B,1.201B,17.69M,1.377B,0.00,187.62M,373.86M,665.28M,4.335M,29.94M,1.261B,-474.82M,786.21M,,2.72M,2.72M,35.60M,824.54M,2.202B,,644.84M,,644.84M,198.48M,843.32M,,,51.88M,,51.88M,,,65.92M,961.12M,438.30M,,438.30M,,,,80.22M,518.52M,1.480B,,0.011M,172.65M,695.21M,146.37M,0.814M,722.32M,,,
2004-09,27.48M,27.48M,100.11M,,100.11M,1.126B,1.195B,27.15M,1.350B,,,,,,,1.209B,-454.62M,754.37M,,,,41.96M,796.34M,2.146B,,636.95M,,636.95M,210.31M,847.27M,,,35.87M,,35.87M,,,76.01M,959.15M,350.98M,,350.98M,,,,73.32M,424.30M,1.383B,,0.007M,140.58M,671.62M,50.00M,0.366M,762.57M,,,
2004-06,19.82M,19.82M,99.26M,,99.26M,1.123B,1.190B,27.73M,1.336B,,,,,,,1.182B,-437.77M,743.94M,,,,45.62M,789.57M,2.126B,,629.92M,,629.92M,198.96M,828.87M,,,28.53M,,28.53M,,,114.98M,972.39M,317.98M,,317.98M,,,,75.84M,393.81M,1.366B,,0.007M,89.19M,670.30M,,0.255M,759.75M,,,
2004-03,12.87M,12.87M,94.30M,,94.30M,1.110B,1.174B,24.25M,1.305B,,,,,,,1.128B,-417.62M,710.50M,,,,47.36M,757.86M,2.063B,,635.67M,,635.67M,187.65M,823.32M,,,32.56M,,32.56M,,,66.66M,922.54M,374.38M,,374.38M,,,,77.47M,451.85M,1.374B,,0.007M,35.95M,653.28M,,-0.35M,688.89M,,,
2003-12,11.49M,11.49M,84.80M,,84.80M,1.052B,1.114B,16.39M,1.226B,0.00,177.09M,325.89M,590.10M,14.65M,,1.108B,-395.03M,712.70M,,,,43.92M,756.62M,1.983B,,568.28M,,568.28M,173.82M,742.09M,,,53.30M,,53.30M,,,58.55M,853.94M,422.78M,,422.78M,,,,75.10M,497.88M,1.352B,,0.007M,-15.34M,647.11M,,-0.529M,631.24M,,,
2003-09,49.86M,49.86M,92.83M,,92.83M,1.040B,1.103B,24.45M,1.270B,,,,,,,1.085B,-377.34M,707.31M,,,,34.24M,741.54M,2.011B,,606.34M,,606.34M,214.65M,820.99M,,,24.23M,,24.23M,,,44.12M,889.35M,456.09M,,456.09M,,,,68.53M,524.62M,1.414B,,0.004M,-46.61M,644.90M,,-1.001M,597.29M,,,
2003-06,46.07M,46.07M,93.35M,,93.35M,1.017B,1.080B,34.66M,1.254B,,,,,,,1.071B,-359.28M,711.22M,,,,36.89M,748.12M,2.002B,,591.83M,,591.83M,207.06M,798.88M,,,18.95M,,18.95M,,,44.07M,861.90M,531.51M,,531.51M,,,,67.70M,599.21M,1.461B,,0.004M,-91.78M,635.09M,,-2.337M,540.98M,,,
2003-03,24.74M,24.74M,101.48M,,101.48M,1.003B,1.066B,42.94M,1.236B,,,,,,,1.057B,-340.35M,716.80M,,,,37.52M,754.33M,1.990B,,520.47M,,520.47M,200.51M,720.98M,,,20.78M,,20.78M,,,35.78M,777.53M,660.31M,,660.31M,,,,65.86M,726.17M,1.504B,,0.004M,-135.23M,622.03M,,-0.658M,486.15M,,,
2002-12,13.88M,13.88M,102.57M,,102.57M,988.86M,1.049B,20.21M,1.185B,0.00,178.51M,310.48M,537.56M,15.72M,,1.042B,-313.84M,728.43M,,,,51.32M,779.75M,1.965B,,470.74M,,470.74M,208.18M,678.92M,,,10.69M,,10.69M,,,32.97M,722.58M,724.83M,,724.83M,,,,49.46M,774.29M,1.497B,,0.004M,-140.28M,610.20M,,-1.568M,468.36M,,,
2002-09,56.84M,56.84M,131.96M,,131.96M,1.021B,1.078B,32.06M,1.299B,,,,,,,1.011B,-292.52M,718.35M,,,,65.60M,783.95M,2.083B,,554.61M,,554.61M,223.68M,778.29M,,,11.54M,,11.54M,,,35.28M,825.11M,761.23M,,761.23M,,,,40.68M,801.90M,1.627B,,0.004M,-148.89M,607.19M,,-2.108M,456.19M,,,
2002-06,39.54M,39.54M,118.10M,,118.10M,1.019B,1.075B,49.97M,1.282B,,,,,,,1.001B,-285.30M,715.70M,,,,72.13M,787.83M,2.070B,,585.12M,,585.12M,209.19M,794.31M,,,11.55M,,11.55M,,,39.68M,845.54M,762.27M,,762.27M,,,,35.40M,797.67M,1.643B,,0.004M,-177.26M,606.24M,,-2.10M,426.89M,,,
2002-03,65.29M,65.29M,114.36M,,114.36M,963.53M,1.016B,41.33M,1.237B,,,,,,,984.61M,-264.30M,720.31M,,,,92.08M,812.38M,2.049B,,517.34M,,517.34M,186.64M,703.98M,,,19.40M,,19.40M,,,33.64M,757.02M,863.46M,,863.46M,,,,37.23M,900.69M,1.658B,,0.003M,-193.20M,587.36M,,-2.676M,391.49M,,,
2001-12,18.12M,18.12M,93.70M,,93.70M,935.18M,982.00M,42.03M,1.136B,0.00,170.78M,290.64M,465.56M,23.50M,,950.49M,-239.20M,711.28M,,,,103.48M,814.77M,1.951B,,429.04M,,429.04M,176.22M,605.26M,,,58.46M,,58.46M,,,30.03M,693.75M,932.02M,,932.02M,,,,36.27M,968.30M,1.662B,,0.003M,-205.29M,496.54M,,-2.676M,288.57M,,,
