,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2007-06,360.17M,,,,-49.75M,167.51M,5.42M,172.93M,172.93M,-14.20M,,,,203.50M,29.92M,-0.79M,-11.06M,87.09M,,129.46M,-221.62M,-265.71M,419.96M,,2007-06,-1.210B,0.088M,-1.210B,,-160.00M,-785.44M,,2007-06,,,327.50M,16.46M,0.00,16.46M,,,,349.16M,,2007-06,313.97M,,297.64M,,2007-06,16.46M,,,,,,2007-06,,
2007-03,168.17M,,,,18.96M,168.28M,-1.732M,166.54M,166.54M,-22.72M,,,,22.87M,-19.66M,-6.815M,-9.746M,-109.98M,,,48.63M,1.831M,258.09M,,2007-03,-580.69M,15.10M,-565.59M,,,-543.56M,,2007-03,,,252.30M,36.43M,-174.59M,-138.15M,,,,146.49M,,2007-03,452.94M,,313.97M,,2007-03,36.43M,,,,,,2007-03,,
2006-12,201.57M,,,,-24.95M,170.13M,-1.519M,168.61M,168.61M,59.11M,,,,27.48M,-32.26M,-4.319M,1.743M,140.22M,,93.30M,-164.85M,,441.12M,,2006-12,-499.59M,0.373M,-499.22M,,86.00M,-437.24M,,2006-12,,,45.60M,55.71M,0.00,55.71M,,,,105.35M,,2006-12,343.72M,,452.94M,,2006-12,55.71M,,,,,,2006-12,,
2006-09,156.26M,,,,42.90M,163.54M,-0.439M,163.10M,163.10M,33.41M,,,,-18.22M,-38.53M,0.808M,-19.38M,30.60M,,19.53M,-12.23M,,358.24M,,2006-09,-589.52M,5.188M,-584.33M,,-23.34M,-567.04M,,2006-09,,,357.05M,5.336M,-105.85M,-100.52M,,,,257.52M,,2006-09,294.99M,,343.72M,,2006-09,5.336M,,,,,,2006-09,,
2006-06,146.39M,,,,-100.78M,164.98M,-0.373M,164.61M,164.61M,-0.338M,,,,89.55M,-12.82M,-1.293M,1.465M,69.71M,,-67.50M,-10.71M,,278.30M,,2006-06,-439.55M,5.72M,-433.83M,,-30.66M,-292.26M,,2006-06,,,104.70M,14.89M,-102.55M,-87.66M,,,,11.93M,,2006-06,297.03M,,294.99M,,2006-06,14.89M,,,,,,2006-06,,
2006-03,144.04M,,,,66.01M,155.27M,-0.765M,154.51M,154.51M,-32.41M,,,,-18.38M,18.13M,-5.627M,-5.749M,-128.96M,,-45.33M,-6.466M,,139.76M,,2006-03,-355.39M,0.094M,-355.30M,,-32.00M,-355.89M,,2006-03,,,155.00M,13.18M,-38.48M,-25.31M,,,,135.23M,,2006-03,377.93M,,297.03M,,2006-03,13.18M,,,,,,2006-03,,
2005-12,97.80M,,,,142.96M,164.37M,-1.176M,163.19M,163.19M,-8.063M,,,,-168.05M,-58.00M,-5.621M,20.07M,142.95M,,49.32M,8.058M,,384.63M,,2005-12,-331.66M,0.168M,-331.49M,6.095M,177.00M,-242.47M,,2005-12,,,90.00M,13.21M,-132.35M,-119.14M,,,,-29.67M,,2005-12,265.44M,,377.93M,,2005-12,13.21M,,,,,,2005-12,,
2005-09,93.21M,,,,11.07M,161.57M,-1.164M,160.40M,160.40M,87.06M,,,,13.61M,-2.672M,3.757M,-22.41M,-61.83M,,-102.95M,,,179.24M,,2005-09,-196.05M,7.006M,-189.04M,0.00,-177.00M,-175.29M,,2005-09,,,8.335M,34.99M,-84.97M,-49.97M,,,,-45.01M,,2005-09,306.50M,,265.44M,,2005-09,34.99M,,,,,,2005-09,,
2005-06,141.17M,,,,-93.95M,151.67M,1.21M,152.88M,152.88M,-16.46M,,,,98.53M,16.10M,-4.934M,17.44M,89.11M,,42.86M,9.007M,,451.76M,,2005-06,-124.38M,0.286M,-124.09M,-4.427B,,-4.737B,,2005-06,,,4.243B,10.18M,,10.18M,,,,4.196B,,2005-06,395.75M,,306.50M,,2005-06,10.18M,,,,,,2005-06,,
2005-03,111.08M,,,,70.60M,110.50M,6.921M,117.42M,117.42M,-10.78M,,,,,-23.59M,-0.219M,-4.271M,-94.83M,,10.77M,-9.007M,,167.16M,,2005-03,-107.86M,0.368M,-107.50M,,,-148.27M,,2005-03,,,-144.83M,87.38M,,87.38M,,,,-58.28M,,2005-03,435.13M,,395.75M,,2005-03,87.38M,,,,,,2005-03,,
2004-12,74.89M,,,,-7.997M,403.04M,31.22M,137.48M,137.48M,38.72M,,,,-26.22M,-82.00M,-7.395M,6.989M,90.26M,,,14.89M,,239.62M,,2004-12,-176.38M,17.98M,-158.40M,,,-145.81M,,2004-12,,,-102.29M,46.09M,0.00,46.09M,,,,-68.70M,,2004-12,410.02M,,435.13M,,2004-12,46.09M,,,,,,2004-12,,
2004-09,126.88M,,,,-90.09M,,,101.24M,101.24M,49.75M,,,,-0.538M,61.88M,-0.176M,-12.00M,31.66M,,,-48.88M,10.30M,230.03M,,2004-09,-179.13M,136.19M,-42.94M,,,-69.94M,,2004-09,,,9.884M,3.546M,-5.039M,-1.493M,,,,13.43M,,2004-09,236.50M,,410.02M,,2004-09,3.546M,,,,,,2004-09,,
2004-06,104.72M,,,,-19.06M,-98.05M,-7.912M,89.57M,89.57M,-1.192M,,,,13.48M,-1.437M,-2.178M,6.721M,-4.821M,,,-20.19M,-0.774M,164.84M,,2004-06,-170.32M,13.71M,-156.61M,,,-168.52M,,2004-06,,,139.93M,15.05M,-222.81M,-207.76M,,,,-67.32M,,2004-06,196.41M,,236.50M,,2004-06,15.05M,,,,,,2004-06,,
2004-03,105.85M,,,,28.33M,98.05M,7.912M,105.96M,105.96M,-31.63M,,,,-2.193M,-26.98M,1.192M,-0.599M,-44.71M,,,69.07M,-9.529M,194.76M,,2004-03,-177.03M,210.82M,33.79M,,,36.52M,,2004-03,,,-145.20M,71.22M,-121.04M,-49.82M,,,,-203.38M,,2004-03,168.52M,,196.41M,,2004-03,71.22M,,,,,,2004-03,,
2003-12,91.74M,,,,-38.74M,98.79M,8.821M,107.61M,107.61M,15.56M,,,,-4.487M,6.727M,-0.953M,-0.675M,66.20M,-25.92M,,,-4.611M,201.91M,,2003-12,-192.43M,54.81M,-137.62M,,24.35M,-177.31M,,2003-12,,,275.75M,15.71M,-232.27M,-216.56M,,,,37.49M,,2003-12,153.81M,,279.61M,,2003-12,15.71M,,,,,,2003-12,,
2003-09,47.21M,,,,12.92M,102.34M,9.258M,111.60M,111.60M,2.746M,,,,-0.735M,-10.85M,-2.261M,-19.02M,-4.673M,25.92M,,,1.691M,164.54M,,2003-09,-135.85M,0.642M,-135.21M,,-24.35M,-146.94M,,2003-09,,,117.46M,19.30M,-119.99M,-100.69M,,,,5.486M,,2003-09,130.72M,,153.81M,,2003-09,19.30M,,,,,,2003-09,,
2003-06,53.75M,,,,20.94M,106.19M,9.242M,115.44M,115.44M,-0.838M,,,,-2.179M,-20.40M,1.074M,12.46M,43.55M,,,,-12.31M,211.47M,,2003-06,-135.50M,0.828M,-134.67M,,,-147.98M,,2003-06,,,-72.25M,1.165M,-24.02M,-22.86M,,,,-104.90M,,2003-06,172.13M,,130.72M,,2003-06,1.165M,,,,,,2003-06,,
2003-03,51.00M,,,,14.49M,105.61M,8.505M,114.12M,114.12M,10.89M,,,,-0.612M,10.19M,-0.065M,-1.261M,-51.10M,,,,,147.66M,,2003-03,-86.44M,0.334M,-86.11M,,,-83.45M,,2003-03,,,-34.05M,0.08M,-66.58M,-66.50M,,,,-103.30M,,2003-03,211.23M,,172.13M,,2003-03,0.08M,,,,,,2003-03,,
2002-12,39.04M,,,,27.53M,101.66M,7.441M,109.10M,109.10M,15.89M,,,,,-32.78M,0.601M,-1.844M,41.50M,-6.521M,-14.53M,12.71M,,193.45M,,2002-12,-95.58M,9.159M,-86.42M,,80.31M,-86.68M,,2002-12,,,140.30M,0.489M,-137.78M,-137.29M,,,,-16.14M,,2002-12,139.20M,,274.95M,,2002-12,0.489M,,,,,,2002-12,,
2002-09,69.56M,,,,13.02M,96.03M,7.012M,103.04M,103.04M,23.43M,,,,,17.73M,-3.578M,-13.93M,-29.68M,1.587M,14.53M,-15.28M,,180.43M,,2002-09,-75.93M,5.822M,-70.11M,,-80.31M,-116.34M,,2002-09,,,-106.38M,3.328M,-34.15M,-30.82M,,,,-138.09M,,2002-09,213.20M,,139.20M,,2002-09,3.328M,,,,,,2002-09,,
2002-06,101.88M,,,,12.19M,97.56M,6.90M,104.46M,104.46M,33.60M,,,,,-7.938M,2.514M,-2.814M,7.914M,4.934M,,-2.115M,,254.63M,,2002-06,-74.82M,0.02M,-74.80M,,,-70.34M,,2002-06,,,-152.55M,7.27M,-35.66M,-28.39M,,,,-183.36M,,2002-06,212.27M,,213.20M,,2002-06,7.27M,,,,,,2002-06,,
2002-03,81.96M,,,,14.11M,103.37M,7.174M,110.55M,110.55M,17.93M,,,,,-1.111M,-5.222M,2.442M,-20.01M,,,17.39M,,218.03M,,2002-03,-53.72M,5.339M,-48.38M,,,-97.84M,,2002-03,,,-151.50M,34.90M,,34.90M,,,,-116.89M,,2002-03,208.97M,,212.27M,,2002-03,34.90M,,,,,,2002-03,,
2001-12,23.69M,,,,12.40M,98.69M,6.786M,105.48M,105.48M,5.754M,,,,,-4.158M,9.678M,11.50M,26.81M,10.89M,-4.871M,-11.60M,,185.57M,,2001-12,-93.68M,5.171M,-88.51M,,,-113.50M,,2001-12,,,-2.097M,3.832M,0.00,3.832M,,,,3.464M,,2001-12,133.44M,,208.97M,,2001-12,3.832M,,,,,,2001-12,,
2001-09,-14.35M,,,,73.96M,98.70M,6.56M,105.26M,105.26M,0.616M,,,,,16.32M,-0.797M,-18.96M,11.13M,-13.41M,4.871M,-7.751M,,156.89M,,2001-09,-90.25M,9.476M,-80.77M,,,-99.90M,,2001-09,,,-102.12M,1.935M,-45.72M,-43.78M,,,,-138.42M,,2001-09,214.87M,,133.44M,,2001-09,1.935M,,,,,,2001-09,,
2001-06,76.59M,,,,18.97M,97.39M,6.461M,103.86M,103.86M,29.65M,,,,,-16.32M,-1.187M,5.264M,6.726M,2.521M,,7.751M,,233.82M,,2001-06,-78.55M,0.474M,-78.08M,,,-83.73M,,2001-06,,,-191.53M,3.223M,,3.223M,,,,-194.61M,,2001-06,259.38M,,214.87M,,2001-06,3.223M,,,,,,2001-06,,
2001-03,83.89M,,,,16.61M,95.94M,10.70M,106.64M,106.64M,29.60M,,,,,27.88M,-0.23M,3.266M,-50.20M,,,,,217.47M,,2001-03,-65.46M,11.72M,-53.74M,,,-55.07M,,2001-03,,,-123.96M,0.984M,,0.984M,,,,-130.98M,,2001-03,227.97M,,259.38M,,2001-03,0.984M,,,,,,2001-03,,
2000-12,68.00M,,,,40.23M,,,107.47M,107.47M,31.49M,,,,,-172.68M,-2.718M,,63.57M,82.73M,,,,218.10M,,2000-12,-103.54M,76.71M,-26.83M,0.00,,39.46M,,2000-12,,,-243.34M,2.482M,0.00,2.482M,,-0.003M,,-240.86M,,2000-12,211.27M,,227.97M,,2000-12,2.482M,,,,,,2000-12,,
2000-09,72.11M,,,,37.81M,,,111.80M,111.80M,8.015M,,,,,38.64M,1.437M,,53.99M,-7.556M,-1.716M,,,314.53M,,2000-09,-107.89M,23.35M,-84.54M,0.00,,-94.62M,,2000-09,,,-229.98M,62.54M,-52.58M,9.956M,,0.00,,-220.02M,,2000-09,211.39M,,211.27M,,2000-09,62.54M,,,,,,2000-09,,
2000-06,-18.26M,,,,150.85M,-40.18M,-0.49M,64.50M,64.50M,-15.90M,,,,,8.273M,2.737M,,27.69M,-9.113M,1.716M,,,212.50M,,2000-06,-62.67M,49.91M,-12.75M,-5.315B,,-5.438B,,2000-06,,,4.102B,1.183B,52.58M,1.235B,,-0.011M,,5.339B,,2000-06,98.08M,,211.39M,,2000-06,1.183B,,,,,,2000-06,,
2000-03,44.30M,,,,10.75M,40.18M,0.49M,40.67M,40.67M,11.98M,,,,,3.571M,2.837M,,-44.65M,2.964M,,,,72.44M,,2000-03,-62.40M,0.198M,-62.20M,,,-63.12M,,2000-03,,,25.18M,7.29M,-52.58M,-45.29M,,-11.33M,,-32.76M,,2000-03,121.52M,,98.08M,,2000-03,7.29M,,,,,,2000-03,,
1999-12,39.92M,,,,2.571M,,,39.41M,39.41M,16.29M,,,,9.16M,-39.70M,-3.067M,,37.39M,11.20M,2.90M,,,116.08M,,1999-12,-65.30M,0.40M,-64.90M,,,-80.20M,,1999-12,,,347.50M,5.90M,-1.00M,4.90M,,,,-22.10M,,1999-12,107.80M,,121.50M,,1999-12,5.90M,,,,,,1999-12,,
1999-09,12.60M,,,,11.10M,,,37.76M,37.76M,1.20M,,,,0.04M,-2.20M,-1.50M,,26.00M,-12.70M,-2.70M,,,69.60M,,1999-09,-61.30M,-0.10M,-61.40M,,,-98.60M,,1999-09,,,-73.20M,22.10M,-294.20M,-272.10M,,,,29.20M,,1999-09,107.50M,,107.80M,,1999-09,22.10M,,,,,,1999-09,,
1999-06,24.10M,,,,22.20M,,,29.80M,29.80M,6.30M,,,,-9.40M,-15.60M,-0.80M,,30.20M,-7.60M,-5.70M,,,73.50M,,1999-06,-118.10M,1.50M,-116.60M,,,-96.60M,,1999-06,,,423.80M,15.60M,,15.60M,,,,64.90M,,1999-06,65.80M,,107.50M,,1999-06,15.60M,,,,,,1999-06,,
1999-03,18.50M,,,,11.10M,,,21.60M,21.60M,3.70M,,,,0.20M,16.10M,1.30M,,-41.10M,-6.20M,5.50M,,,30.70M,,1999-03,-130.60M,4.70M,-125.90M,,,-111.30M,,1999-03,,,57.90M,6.50M,,6.50M,,,,64.40M,,1999-03,82.00M,,65.80M,,1999-03,6.50M,,,,,,1999-03,,
1998-12,21.25M,,,,7.297M,,,20.23M,20.23M,4.93M,,,,,-26.79M,1.414M,,39.67M,-0.32M,-0.20M,,,67.48M,,1998-12,-64.30M,0.00,-64.30M,,,-73.60M,,1998-12,,,-2.50M,0.00,-0.10M,-0.10M,,,,-2.60M,,1998-12,0.00,,82.00M,,1998-12,0.00,,,,,,1998-12,,
1998-09,17.00M,,,,0.70M,,,21.20M,21.20M,2.50M,,,,0.10M,-5.90M,1.60M,,-5.80M,1.40M,-0.10M,,,32.70M,,1998-09,-89.40M,0.10M,-89.30M,,,-98.90M,,1998-09,,,-2.00M,1.20M,-210.50M,-209.30M,,,,-211.30M,,1998-09,368.20M,,0.00,,1998-09,1.20M,,,,,,1998-09,,
1998-06,14.40M,,,,6.40M,,,19.40M,19.40M,7.10M,,,,-0.20M,-20.90M,-1.00M,,23.60M,1.20M,-2.20M,,,47.80M,,1998-06,-104.10M,0.00,-104.10M,,,-114.50M,,1998-06,,,-2.50M,0.00,,0.00,,,,-2.50M,,1998-06,0.00,,368.20M,,1998-06,0.00,,,,,,1998-06,,
