,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-09,3.139B,3.139B,679.30M,2.460B,,963.40M,568.10M,,3.10M,,,,1.532B,928.60M,,,,3.10M,,915.90M,201.50M,714.40M,,,,714.40M,711.98M,1.082B,153.30M,928.60M,0.66,0.0,,,0.6578,0.66,0.66,0.0,,,0.6578,0.66,1.082B,1.082B,0.335
2003-06,3.088B,3.088B,643.00M,2.445B,,1.043B,542.50M,,48.40M,,,,1.586B,859.40M,,,,48.40M,,887.90M,195.70M,692.20M,,,,692.20M,654.47M,1.003B,144.00M,859.40M,0.64,0.0,,,0.6051,0.64,0.64,0.0,,,0.6051,0.64,1.082B,1.082B,0.335
2003-03,2.889B,2.889B,621.30M,2.268B,,914.50M,529.60M,,-314.60M,,,,1.444B,824.00M,,,,-314.60M,,493.90M,86.90M,407.00M,,,,407.00M,666.25M,968.60M,144.60M,824.00M,0.38,0.0,,,0.622,0.38,0.38,0.0,,,0.622,0.38,1.071B,1.071B,0.335
2002-12,2.956B,2.956B,567.80M,2.388B,,920.80M,574.30M,,75.20M,,,,1.495B,892.70M,,,,75.20M,,944.00M,207.70M,736.30M,,,,736.30M,677.65M,992.40M,99.70M,892.70M,0.68,0.0,,,0.6259,0.68,0.68,0.0,,,0.6259,0.68,1.083B,1.083B,0.31
2002-09,2.786B,2.786B,553.70M,2.232B,,810.70M,526.70M,,-9.40M,,,,1.337B,894.50M,,,,-9.40M,,862.80M,178.90M,683.90M,,,,683.90M,691.35M,1.025B,130.60M,894.50M,0.64,0.0,,,0.647,0.64,0.63,0.0,,,0.6369,0.63,1.069B,1.086B,0.31
2002-06,2.775B,2.775B,524.90M,2.250B,,915.20M,545.50M,,78.50M,,,,1.461B,789.60M,,,,78.50M,,844.20M,185.70M,658.50M,,,,658.50M,597.27M,920.90M,131.30M,789.60M,0.61,0.0,,,0.5533,0.61,0.61,0.0,,,0.5533,0.61,1.080B,1.080B,0.31
2002-03,2.561B,2.561B,530.10M,2.031B,,777.30M,502.80M,,65.40M,,,,1.280B,750.90M,,,,65.40M,,806.70M,177.50M,629.20M,,,,629.20M,578.19M,882.30M,131.40M,750.90M,0.58,0.0,,,0.533,0.58,0.58,0.0,,,0.533,0.58,1.085B,1.085B,0.31
2001-12,2.829B,2.829B,566.70M,2.262B,,882.70M,589.90M,,-25.50M,,,,1.473B,789.60M,,,,-25.50M,,741.30M,153.10M,588.20M,,,,575.40M,608.43M,867.20M,77.60M,789.60M,0.55,0.02,,-0.0119,0.5689,0.54,0.54,0.02,,-0.0119,0.5586,0.53,1.068B,1.087B,0.28
2001-09,2.874B,2.874B,549.00M,2.325B,,865.90M,566.00M,,-136.30M,,,,1.432B,893.50M,,,,-136.30M,,715.30M,128.60M,586.70M,,,,570.10M,698.50M,1.023B,129.50M,893.50M,0.55,-0.02,,-0.0154,0.6539,0.53,0.54,-0.02,,-0.0154,0.642,0.52,1.076B,1.096B,0.28
2001-06,3.034B,3.034B,522.20M,2.511B,,899.90M,563.70M,,53.80M,,,,1.464B,1.048B,,,,53.80M,,1.061B,233.40M,827.70M,,,,827.70M,785.73M,1.175B,127.40M,1.048B,0.77,0.0,,,0.731,0.77,0.76,0.0,,,0.7215,0.76,1.075B,1.089B,0.28
2001-03,2.806B,2.806B,522.30M,2.283B,,768.90M,515.50M,,76.80M,,,,1.284B,999.00M,,,,76.80M,,1.034B,227.60M,806.80M,,,,806.80M,746.90M,1.119B,120.40M,999.00M,0.75,0.0,,,0.6943,0.75,0.74,0.0,,,0.6851,0.74,1.076B,1.090B,0.28
2000-12,2.978B,2.978B,489.30M,2.488B,,944.30M,545.10M,,106.50M,,,,1.565B,923.10M,,,,106.50M,,983.70M,216.40M,767.30M,,,,767.30M,684.23M,999.00M,75.90M,923.10M,0.71,0.0,,,0.6331,0.71,0.7,0.0,,,0.6242,0.7,1.081B,1.096B,0.26
2000-09,2.812B,2.812B,367.60M,2.444B,,800.30M,506.10M,,27.10M,,,,1.429B,1.015B,,,,27.10M,,998.40M,219.60M,778.80M,,,,778.80M,757.66M,1.138B,122.50M,1.015B,0.72,0.0,,,0.7005,0.72,0.71,0.0,,,0.6907,0.71,1.082B,1.097B,0.26
2000-06,2.622B,2.622B,370.50M,2.251B,,795.40M,508.80M,,74.00M,,,,1.425B,825.60M,,,,74.00M,,854.10M,187.90M,666.20M,,,,666.20M,608.48M,946.80M,121.20M,825.60M,0.62,0.0,,,0.5663,0.62,0.61,0.0,,,0.5571,0.61,1.075B,1.092B,0.26
2000-03,2.451B,2.451B,392.50M,2.059B,,688.30M,458.50M,,273.70M,,,,1.263B,795.60M,,,,273.70M,,1.022B,177.00M,845.50M,,,,845.50M,619.18M,911.80M,116.20M,795.60M,0.78,0.0,,,0.5712,0.78,0.77,0.0,,,0.5639,0.77,1.084B,1.098B,0.26
1999-12,2.820B,2.820B,465.90M,2.355B,,818.70M,467.10M,,105.20M,,,,1.385B,969.50M,,,,105.20M,,1.024B,237.40M,786.30M,0.00,,0.00,786.30M,705.50M,1.069B,99.30M,969.50M,0.72,0.0,,,0.6461,0.72,0.71,0.0,,,0.6371,0.71,1.093B,1.108B,0.23
1999-09,2.585B,2.585B,432.20M,2.153B,,696.40M,442.90M,,87.40M,,,,1.255B,897.70M,,,,87.40M,,939.20M,206.60M,732.60M,,,,732.60M,664.43M,1.014B,116.00M,897.70M,0.68,0.0,,,0.6167,0.68,0.67,0.0,,,0.6077,0.67,1.077B,1.093B,0.23
1999-06,2.342B,2.342B,379.10M,1.962B,,649.60M,460.50M,,41.60M,,,,1.222B,740.40M,,,,41.60M,,739.00M,162.60M,576.40M,,,,576.40M,543.95M,852.40M,112.00M,740.40M,0.53,0.0,,,0.5002,0.53,0.52,0.0,,,0.4907,0.52,1.088B,1.108B,0.23
1999-03,2.256B,2.256B,381.10M,1.874B,,592.90M,413.10M,,-168.70M,,,,1.118B,756.10M,,,,-168.70M,,543.50M,92.10M,451.40M,174.30M,,,625.70M,591.51M,868.50M,112.40M,756.10M,0.41,0.16,,,0.5383,0.57,0.4,0.16,,,0.5283,0.56,1.092B,1.092B,0.23
1998-12,2.635B,2.635B,451.90M,2.184B,,809.80M,519.40M,,37.90M,,,,1.461B,722.70M,,,,37.90M,,715.30M,153.70M,561.60M,5.70M,,1.30M,567.30M,531.84M,854.30M,131.60M,722.70M,0.51,0.02,,,0.4826,0.52,0.5,0.02,,,0.4732,0.51,1.087B,1.108B,0.2
1998-09,2.359B,2.359B,373.30M,1.986B,,667.60M,439.90M,,-111.70M,,,,1.230B,756.20M,,,,-111.70M,,599.10M,86.90M,512.20M,6.00M,,0.20M,518.20M,607.70M,878.60M,122.40M,756.20M,0.47,0.0,,,0.5566,0.47,0.46,0.0,,,0.5448,0.46,1.102B,1.126B,0.2
1998-06,2.155B,2.155B,361.40M,1.794B,,637.40M,416.70M,,67.70M,,,,1.171B,622.30M,,,,67.70M,,647.30M,156.40M,490.90M,0.40M,,0.70M,491.30M,439.56M,739.50M,117.20M,622.30M,0.45,0.0,,,0.4029,0.45,0.44,0.0,,,0.394,0.44,1.090B,1.115B,0.2
