,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2007-09,78.63M,,,,2.282M,7.47M,1.417M,8.887M,8.887M,12.11M,,,,,9.001M,-70.14M,37.62M,11.12M,9.793M,,37.87M,-0.596M,25.67M,136.58M,,-22.92M,0.037M,-22.88M,-0.094M,-7.218M,-0.944M,-31.14M,,,,40.95M,13.54M,-84.62M,-71.08M,,3.193M,-26.94M,,192.79M,78.50M,-8.043M,263.25M,,13.54M,,,-84.62M,,,
2007-06,50.37M,,,,-3.188M,6.955M,1.284M,8.239M,8.239M,-3.655M,,,,,12.71M,-10.09M,-7.231M,-19.77M,2.896M,,7.93M,0.954M,-25.30M,39.18M,,-15.83M,0.145M,-15.68M,-25.49M,-6.371M,-2.638M,-50.18M,,,,-14.39M,7.375M,-81.77M,-74.39M,,3.951M,-84.84M,,288.78M,-95.84M,-0.146M,192.79M,,7.375M,,,-81.77M,,,
2007-03,60.95M,,,,0.003M,6.476M,1.27M,7.746M,7.746M,-5.158M,,,,,13.00M,-5.668M,-26.42M,-2.815M,-1.99M,,2.166M,-0.168M,-34.89M,41.65M,,-13.20M,0.018M,-13.18M,-26.79M,92.20M,1.328M,53.56M,,,,-0.051M,13.59M,-76.27M,-62.68M,,-6.90M,-69.63M,,264.27M,25.58M,-1.069M,288.78M,,13.59M,,,-76.27M,,,
2006-12,49.50M,,,,0.024M,6.056M,1.278M,7.334M,7.334M,-0.684M,,,,,9.211M,81.20M,-34.04M,-1.314M,-5.418M,,-23.72M,0.691M,17.40M,82.79M,,-12.19M,0.638M,-11.55M,,-9.543M,-6.799M,-27.90M,,,,-0.049M,9.999M,-76.64M,-66.65M,,7.579M,-59.12M,,272.51M,-4.223M,-4.019M,264.27M,,9.999M,,,-76.64M,,,
2006-09,82.40M,,,,0.35M,6.014M,1.389M,7.403M,7.403M,-58.92M,,,,,9.432M,-71.26M,6.978M,9.62M,1.436M,,73.74M,1.317M,21.84M,60.97M,,-13.77M,0.847M,-12.92M,,-47.35M,-0.635M,-60.91M,,,,-0.05M,16.27M,-72.06M,-55.79M,,5.956M,-49.88M,,324.71M,-49.82M,-2.386M,272.51M,,16.27M,,,-72.06M,,,
2006-06,65.73M,,,,-26.08M,5.936M,1.456M,7.392M,7.392M,1.052M,,,,,35.60M,-15.48M,-19.18M,-3.732M,4.382M,,20.58M,-0.026M,-13.46M,70.24M,,-10.27M,0.026M,-10.25M,,68.73M,3.061M,61.55M,,,,-2.547M,4.765M,-66.62M,-61.86M,,-5.542M,-69.95M,,266.26M,61.84M,-3.395M,324.71M,,4.765M,,,-66.62M,,,
2006-03,55.80M,,,,11.64M,5.982M,1.496M,7.478M,7.478M,-3.355M,,,,,,-28.48M,2.927M,-5.444M,13.40M,,3.279M,-0.579M,-14.90M,56.67M,,-8.81M,0.093M,-8.717M,,2.155M,-3.713M,-10.28M,,,,-0.047M,23.43M,-92.63M,-69.20M,,29.74M,-39.51M,,259.61M,6.885M,-0.23M,266.26M,,23.43M,,,-92.63M,,,
2005-12,41.16M,,,,13.65M,5.791M,1.512M,7.303M,7.303M,-2.709M,,,,,,3.223M,-13.63M,-1.721M,-13.51M,,-19.89M,,-45.53M,13.88M,,-8.561M,0.247M,-8.314M,,9.51M,-3.049M,-1.853M,,,,-0.053M,29.21M,-39.28M,-10.07M,,13.71M,3.587M,,243.09M,15.61M,0.911M,259.61M,,29.21M,,,-39.28M,,,
2005-09,60.94M,,,,8.482M,5.763M,1.711M,7.474M,7.474M,5.389M,,,,,,-36.78M,20.84M,6.134M,4.725M,,15.66M,,10.59M,92.87M,,-17.39M,-0.026M,-17.42M,0.00,22.48M,-2.951M,2.105M,,,,-0.025M,11.86M,-46.35M,-34.49M,,,-34.52M,,181.05M,60.46M,1.576M,243.09M,,11.86M,,,-46.35M,,,
2005-06,51.18M,,,,6.096M,5.167M,1.844M,7.011M,7.011M,0.196M,,,,,,-13.62M,-7.948M,-5.278M,-1.468M,,12.62M,,-15.69M,48.79M,,-12.15M,0.015M,-12.14M,-0.225M,-17.22M,-2.263M,-31.85M,,,,-5.275M,4.039M,-63.90M,-59.86M,,,-65.14M,,227.64M,-48.19M,1.606M,181.05M,,4.039M,,,-63.90M,,,
2005-03,54.15M,,,,4.248M,5.32M,1.771M,7.091M,7.091M,0.007M,,,,,,-33.93M,-14.87M,-2.833M,11.80M,,43.56M,,3.734M,69.23M,,-5.74M,0.027M,-5.713M,-12.15M,100.29M,0.557M,82.99M,,,,-0.024M,11.10M,-56.11M,-45.01M,,,-45.03M,,226.09M,107.19M,0.966M,227.64M,,11.10M,,,-56.11M,,,
2004-12,40.31M,,,,6.652M,5.208M,1.867M,7.075M,7.075M,-0.037M,,,,,,15.94M,-19.95M,0.926M,-3.309M,,-6.704M,,-13.10M,40.90M,,-8.581M,0.026M,-8.555M,,15.07M,-7.998M,-1.483M,,,,-0.016M,11.16M,-60.80M,-49.63M,,,-49.65M,,239.47M,-10.23M,-3.153M,226.09M,,11.16M,,,-60.80M,,,
2004-09,51.86M,,,,8.046M,5.394M,1.302M,6.696M,6.696M,6.358M,,,,,,-32.71M,5.638M,-3.974M,5.276M,,16.29M,,-9.479M,63.49M,,-8.098M,0.109M,-7.989M,-0.026M,36.06M,-1.469M,26.57M,,,,,6.898M,-82.18M,-75.28M,,0.00,-75.28M,,118.44M,14.78M,-0.348M,132.87M,,6.898M,,,-82.18M,,,
2004-06,42.73M,,,,7.547M,4.984M,2.004M,6.988M,6.988M,-0.524M,,,,,,11.15M,-9.85M,-1.506M,-0.926M,,13.27M,,12.14M,68.88M,,-6.638M,0.069M,-6.569M,0.00,-9.716M,0.203M,-16.08M,,,,,5.111M,-49.08M,-43.97M,,0.00,-43.97M,,109.28M,8.831M,0.329M,118.44M,,5.111M,,,-49.08M,,,
2004-03,43.92M,,,,22.34M,5.019M,1.696M,6.715M,6.715M,-0.795M,,,,,,-36.60M,1.852M,-0.70M,1.587M,-0.721M,6.468M,,-28.12M,44.06M,,-5.473M,0.123M,-5.35M,-36.98M,28.96M,-0.774M,-14.14M,,,,,21.22M,-35.62M,-14.41M,,13.46M,-0.95M,,210.59M,28.97M,0.518M,109.28M,,21.22M,,,-35.62M,,,
2003-12,29.17M,,,,-0.626M,5.354M,1.336M,6.69M,6.69M,3.37M,,,,,,32.90M,-7.029M,,-1.815M,0.721M,-5.893M,,18.88M,57.48M,,-4.009M,0.01M,-3.999M,-34.76M,11.60M,-4.938M,-32.10M,,,,,12.88M,-34.93M,-22.05M,,,-22.05M,,210.45M,3.329M,-3.186M,210.59M,,12.88M,,,-34.93M,,,
2003-09,43.01M,,,,26.24M,5.013M,1.656M,6.669M,6.669M,-9.771M,,,,,,-25.07M,14.51M,,5.71M,-0.45M,23.72M,-18.34M,2.119M,68.26M,,-5.879M,0.102M,-5.777M,,-71.63M,-0.059M,-77.60M,,,,0.00,9.295M,-37.23M,-27.93M,,,-27.93M,,210.80M,-37.27M,-0.003M,79.65M,,9.295M,,,-37.23M,,,
2003-06,32.17M,,,,-4.962M,4.875M,0.599M,5.474M,5.474M,-0.066M,,,,,,20.30M,-3.754M,,1.861M,-4.073M,-18.44M,18.34M,14.25M,46.86M,,-5.686M,0.054M,-5.632M,,14.00M,-1.55M,6.822M,,,,0.00,7.761M,-25.42M,-17.66M,,,-17.66M,,178.18M,36.03M,-3.414M,210.80M,,7.761M,,,-25.42M,,,
2003-03,34.16M,,,,-2.011M,4.802M,0.176M,4.978M,4.978M,0.022M,,,,,,-33.23M,8.923M,,5.209M,4.919M,30.37M,,16.19M,53.34M,,-5.161M,0.00,-5.161M,,-22.84M,-0.897M,-28.90M,,,,-0.058M,13.03M,-23.34M,-10.30M,,,-10.36M,,166.20M,14.08M,-2.096M,178.18M,,13.03M,,,-23.34M,,,
2002-12,21.02M,,,,0.793M,4.792M,0.815M,5.607M,5.607M,0.814M,,,,,,37.89M,-11.73M,,-7.575M,-0.396M,-5.089M,,13.10M,41.34M,,-2.162M,0.033M,-2.129M,,-16.20M,-3.038M,-21.37M,,,,,6.565M,-19.11M,-12.55M,,,-12.55M,,160.28M,7.416M,-1.499M,166.20M,,6.565M,,,-19.11M,,,
2002-09,33.82M,,,,,,,,,,,,,,,,,,,,,-35.77M,19.43M,60.47M,,-21.27M,0.326M,-20.94M,3.111M,-27.95M,0.323M,-45.46M,,,,-0.058M,4.772M,-20.62M,-15.85M,,,-15.91M,,162.03M,-0.896M,-0.846M,160.28M,,4.772M,,,-20.62M,,,
2002-06,-2.528M,,,,,,,,,,,,,,,,,,,,,35.77M,35.77M,33.24M,,-8.49M,0.111M,-8.379M,-0.26M,-53.92M,-0.279M,-62.84M,,,,0.00,8.60M,-13.74M,-5.138M,,,-5.138M,,201.16M,-34.74M,-4.401M,162.03M,,8.60M,,,-13.74M,,,
2002-03,49.13M,,,,,,,,,,,,,,-19.74M,,,,,,,,,29.39M,,-7.032M,,-7.032M,-2.851M,-57.23M,-0.274M,-67.39M,,,,-0.058M,7.778M,-9.545M,-1.767M,,,-1.825M,,239.53M,-39.82M,1.462M,201.16M,,7.778M,,,-9.545M,,,
2001-12,13.19M,,,,,,,,,,,,,,19.74M,,,,,,,,,32.93M,,-3.204M,,-3.204M,,,-2.954M,-6.158M,,,,,2.81M,-11.19M,-8.377M,,,-8.377M,,218.96M,18.40M,2.17M,239.53M,,2.81M,,,-11.19M,,,
2001-09,9.732M,,,,21.09M,4.937M,1.145M,6.082M,6.082M,-13.63M,,,,,-1.363M,-13.54M,12.47M,,-0.886M,0.906M,47.43M,-24.54M,21.83M,43.74M,,-4.28M,0.001M,-4.279M,,,0.432M,-3.847M,,,,-0.058M,3.739M,-4.277M,-0.538M,,,-0.596M,,182.49M,39.29M,-2.821M,218.96M,,3.739M,,,-4.277M,,,
2001-06,19.52M,,,,5.802M,4.911M,1.212M,6.123M,6.123M,-0.003M,,,,,0.648M,-3.063M,-6.512M,,-0.10M,0.499M,-26.48M,24.54M,-11.11M,20.98M,,-2.44M,0.571M,-1.869M,-0.571M,,-1.026M,-3.466M,,,,-0.196M,12.85M,0.00,12.85M,,,12.65M,,151.66M,30.17M,0.66M,182.49M,,12.85M,,,0.00,,,
2001-03,15.67M,,,,-2.396M,9.461M,2.21M,5.878M,5.878M,0.411M,,,,,0.066M,2.737M,-0.112M,,-5.686M,2.138M,19.61M,,18.68M,38.31M,,-5.211M,0.051M,-5.16M,0.571M,,0.376M,-4.213M,,,,-0.02M,12.73M,-0.024M,12.71M,,,12.69M,,103.56M,46.79M,1.306M,151.66M,,12.73M,,,-0.024M,,,
2000-12,9.327M,,,,0.924M,,,5.793M,5.793M,-0.321M,,,,,0.649M,16.76M,-17.30M,,9.501M,-1.526M,-8.405M,,-0.967M,15.40M,,-4.606M,,-4.606M,,,-2.675M,-7.281M,,,,-0.168M,13.17M,,13.17M,,,13.00M,,83.32M,21.12M,-0.878M,103.56M,,13.17M,,,,,,
2000-09,23.43M,,,,0.804M,-13.09M,-3.097M,5.771M,5.771M,,,,,,-0.634M,-11.74M,8.521M,,9.375M,2.373M,21.66M,-5.955M,24.24M,52.54M,,-4.39M,1.087M,-3.303M,,,-3.006M,-6.309M,,,,-0.11M,5.78M,,5.78M,,,5.67M,,29.17M,51.91M,2.245M,83.32M,,5.78M,,,,,,
2000-06,14.04M,,,,0.601M,13.09M,3.097M,16.18M,16.18M,,,,,,-8.593M,2.934M,-22.68M,,-6.254M,-0.562M,4.861M,5.955M,-15.74M,6.49M,,-3.41M,0.125M,-3.285M,,,-0.037M,-3.322M,,,,-4.786M,7.619M,,7.619M,,,2.833M,,22.49M,6.001M,0.682M,29.17M,,7.619M,,,,,,
2000-03,10.38M,,,,,,,,,,,,,,4.627M,,,,,,,,,15.00M,,-6.134M,0.574M,-5.56M,,,-1.481M,-7.041M,,,,-15.08M,8.331M,,8.331M,,,-6.744M,,19.30M,1.219M,1.942M,22.49M,,8.331M,,,,,,
1999-12,5.20M,,,,,,,,,,,,,,4.60M,,,,,,,,,9.80M,,-5.30M,,-5.30M,,,0.40M,-4.90M,,,,-15.00M,2.00M,,2.00M,,,-13.00M,,25.10M,-8.10M,2.30M,19.30M,,2.00M,,,,,,
