,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-09,24.95M,,,,0.00,7.528M,7.528M,-0.949M,,,,,0.023M,5.566M,-7.518M,-1.063M,,-0.153M,-1.763M,-4.931M,26.62M,2006-09,-9.24M,,-9.24M,,,-16.60M,,-25.84M,2006-09,,,-0.065M,5.598M,-8.604M,-3.006M,,2.812M,-0.259M,,2006-09,0.53M,0.397M,50.95M,,5.598M,,,-8.604M,,,,,
2006-06,25.78M,,,,1.769M,7.551M,7.551M,-1.758M,,,,,-0.039M,-1.975M,-3.898M,-0.875M,,20.30M,0.96M,14.51M,47.81M,2006-06,-26.52M,,-26.52M,,,30.66M,,4.136M,2006-06,,,-0.096M,3.25M,-42.53M,-39.28M,,1.254M,-38.12M,,2006-06,13.82M,0.862M,50.02M,,3.25M,,,-42.53M,,,,,
2006-03,18.27M,,,,-1.921M,6.658M,6.658M,-1.378M,,,,,,-10.08M,-11.71M,5.196M,,-8.474M,0.419M,-24.66M,-3.023M,2006-03,-7.975M,,-7.975M,,,7.954M,,-0.021M,2006-03,,,-0.551M,9.995M,-42.70M,-32.70M,,4.681M,-28.57M,,2006-03,-31.61M,-0.198M,35.34M,,9.995M,,,-42.70M,,,,,
2005-12,20.03M,,,,-6.002M,6.278M,6.278M,-2.817M,,,,,,-4.789M,10.77M,1.437M,-0.167M,9.667M,,14.45M,40.05M,2005-12,-16.12M,1.948M,-14.17M,,6.406M,8.186M,,0.418M,2005-12,,,-0.001M,3.90M,-34.97M,-31.07M,,,-31.07M,,2005-12,9.395M,-0.012M,67.15M,,3.90M,,,-34.97M,,,,,
2005-09,20.60M,,,,2.319M,6.138M,6.138M,-0.727M,,,,,,5.038M,1.99M,1.757M,-0.346M,1.647M,,10.09M,38.42M,2005-09,-6.51M,0.803M,-5.707M,,-5.747M,12.49M,,1.035M,2005-09,,,-0.786M,5.48M,-38.41M,-32.93M,,,-33.72M,,2005-09,5.74M,-0.326M,57.77M,,5.48M,,,-38.41M,,,,,
2005-06,19.93M,,,,2.401M,6.137M,6.137M,-0.677M,,,,,,1.179M,-3.191M,3.365M,1.441M,7.215M,,10.01M,37.80M,2005-06,-7.25M,,-7.25M,,0.696M,-8.526M,,-15.08M,2005-06,,,0.001M,6.858M,-20.85M,-13.99M,,,-13.99M,,2005-06,8.731M,-0.956M,52.35M,,6.858M,,,-20.85M,,,,,
2005-03,17.69M,,,,0.83M,5.816M,5.816M,-0.256M,,,,,,-10.73M,-2.139M,-1.658M,-0.928M,-8.345M,,-23.80M,0.282M,2005-03,-4.536M,,-4.536M,,-1.355M,32.11M,,26.22M,2005-03,,,-1.271M,2.603M,-29.54M,-26.94M,,,-28.21M,,2005-03,-1.705M,-0.872M,44.58M,,2.603M,,,-29.54M,,,,,
2004-12,16.94M,,,,-7.677M,5.237M,5.237M,1.548M,,,,,,-1.797M,11.24M,-5.375M,0.158M,-3.15M,,3.077M,27.17M,2004-12,-60.26M,,-60.26M,,6.839M,18.25M,,-35.18M,2004-12,,,0.00,1.826M,-35.19M,-33.36M,,,-33.36M,,2004-12,-41.37M,1.689M,47.16M,,1.826M,,,-35.19M,,,,,
2004-09,19.70M,,,,0.084M,5.128M,5.128M,1.269M,,,,,,1.507M,-6.892M,-0.732M,-0.566M,4.817M,,-1.866M,24.31M,2004-09,-6.476M,,-6.476M,,-1.447M,32.50M,,24.58M,2004-09,,,-0.052M,0.64M,-35.93M,-35.29M,,,-35.35M,,2004-09,13.55M,-0.008M,86.83M,,0.64M,,,-35.93M,,,,,
2004-06,23.91M,,,,2.547M,3.748M,3.748M,-0.915M,,,,,,2.017M,-3.064M,4.633M,0.284M,0.068M,,3.938M,33.23M,2004-06,-12.90M,,-12.90M,,0.416M,-15.94M,13.64M,-14.79M,2004-06,,,-0.05M,5.905M,-35.65M,-29.75M,,,-29.80M,,2004-06,-11.36M,-0.108M,73.30M,,5.905M,,,-35.65M,,,,,
2004-03,17.79M,,,,4.652M,4.314M,4.314M,2.697M,,,,,,-6.889M,-0.527M,-4.317M,0.124M,-7.177M,,-18.79M,10.67M,2004-03,-6.003M,,-6.003M,,-5.808M,14.08M,-13.64M,-11.37M,2004-03,,,-0.254M,11.00M,-22.42M,-11.41M,,,-11.67M,,2004-03,-12.37M,0.184M,84.76M,,11.00M,,,-22.42M,,,,,
2003-12,12.36M,,,,8.792M,4.64M,4.64M,-3.013M,,,,,,-1.978M,-5.906M,6.48M,0.135M,3.884M,,2.615M,25.40M,2003-12,-4.514M,,-4.514M,,-2.30M,-50.21M,0.575M,-56.45M,2003-12,,,0.00,6.00M,-12.31M,-6.312M,,,-6.312M,,2003-12,-37.36M,1.725M,96.94M,,6.00M,,,-12.31M,,,,,
2003-09,15.97M,,,,11.56M,4.412M,4.412M,0.901M,,,,,,0.594M,0.622M,-8.352M,0.089M,0.366M,,-6.681M,26.17M,2003-09,-5.944M,,-5.944M,,0.05M,-5.407M,0.429M,-10.87M,2003-09,,,-15.12M,25.16M,0.00,25.16M,,,10.05M,,2003-09,25.34M,0.083M,176.86M,,25.16M,,,0.00,,,,,
2003-06,16.69M,,,,-0.006M,4.933M,4.933M,0.46M,,,,,,1.621M,-0.353M,3.855M,0.583M,8.263M,,13.97M,36.05M,2003-06,-6.073M,,-6.073M,,-0.05M,-8.421M,-0.536M,-15.08M,2003-06,,,14.61M,-4.745M,-14.25M,-18.99M,,,-4.384M,,2003-06,16.58M,1.401M,151.43M,,-4.745M,,,-14.25M,,,,,
2003-03,12.06M,,,,0.195M,4.912M,4.912M,0.46M,,,,,,-5.804M,5.708M,7.577M,0.255M,4.179M,,11.92M,29.54M,2003-03,-3.089M,,-3.089M,,,-1.771M,-0.468M,-5.328M,2003-03,,,,4.745M,-9.257M,-4.512M,,,-4.512M,,2003-03,19.70M,-0.041M,133.45M,,4.745M,,,-9.257M,,,,,
2002-12,12.76M,,,,1.744M,4.763M,4.763M,3.389M,,,,,-1.836M,2.657M,0.345M,-8.473M,0.226M,-6.245M,,-11.49M,9.327M,2002-12,-5.993M,,-5.993M,,-0.15M,-16.42M,1.803M,-20.76M,2002-12,,,0.00,5.352M,0.00,5.352M,,,5.352M,,2002-12,-6.08M,0.696M,69.51M,,5.352M,,,0.00,,,,,
2002-09,12.48M,,,,-2.65M,5.679M,5.679M,0.12M,,,,,1.836M,0.966M,0.341M,9.662M,0.023M,11.70M,,22.70M,40.16M,2002-09,-4.004M,,-4.004M,,-0.225M,-0.05M,-0.59M,-4.869M,2002-09,,,0.00,0.952M,0.00,0.952M,,,0.952M,,2002-09,36.25M,0.379M,105.20M,,0.952M,,,0.00,,,,,
2002-06,12.96M,,,,0.00,5.008M,5.008M,0.361M,,,,,-0.24M,5.155M,9.667M,-12.78M,-0.629M,9.796M,,11.21M,29.31M,2002-06,-3.741M,,-3.741M,,,-4.996M,-0.545M,-9.282M,2002-06,,,-7.462M,3.377M,-29.83M,-26.45M,,,-33.92M,,2002-06,-13.89M,0.983M,68.57M,,3.377M,,,-29.83M,,,,,
2002-03,7.185M,,,,1.836M,4.674M,4.674M,-0.12M,,,,,0.24M,-0.978M,1.052M,9.997M,-0.554M,1.123M,,10.64M,24.46M,2002-03,-3.793M,,-3.793M,,,-7.399M,-0.668M,-11.86M,2002-03,,,,2.268M,,2.268M,,,2.268M,,2002-03,14.86M,-0.051M,81.48M,,2.268M,,,,,,,,
2001-12,9.828M,,,,,6.825M,6.825M,-1.499M,,,,,,2.811M,-2.358M,-2.478M,1.254M,1.373M,,0.602M,15.76M,2001-12,-5.352M,,-5.352M,,,-14.18M,-1.806M,-21.33M,2001-12,,,,3.484M,0.00,3.484M,,,3.34M,,2001-12,-2.237M,-0.134M,66.67M,,3.484M,,,0.00,,,,,
2001-09,10.22M,,,,,5.082M,5.082M,0.373M,,,,,,3.023M,-4.195M,2.32M,-1.453M,6.878M,,6.573M,22.24M,2001-09,-3.822M,,-3.822M,,,1.051M,-0.56M,-3.331M,2001-09,,,,1.189M,0.00,1.189M,,,1.189M,,2001-09,20.10M,-0.561M,69.04M,,1.189M,,,0.00,,,,,
2001-06,9.966M,,,,,5.173M,5.173M,0.373M,,,,,,-0.708M,-2.208M,-0.013M,-0.729M,3.468M,,-0.19M,15.32M,2001-06,-5.569M,,-5.569M,,,-3.08M,-0.72M,-9.369M,2001-06,,,,7.70M,0.00,7.70M,,,7.70M,,2001-06,13.65M,0.979M,49.50M,,7.70M,,,0.00,,,,,
2001-03,7.609M,,,,,5.149M,5.149M,0.373M,,,,,,0.428M,-11.56M,-2.579M,0.521M,-6.902M,,-20.09M,-6.959M,2001-03,-2.638M,,-2.638M,,,11.56M,-1.124M,7.803M,2001-03,,,,1.671M,-12.99M,-11.32M,,,-11.32M,,2001-03,-10.47M,-0.673M,34.86M,,1.671M,,,-12.99M,,,,,
2000-12,9.801M,,,,,5.379M,5.379M,2.023M,,,,,,5.094M,-6.116M,-6.372M,2.202M,-2.805M,,-7.997M,9.206M,2000-12,-3.823M,0.00,-3.823M,,0.00,21.13M,-1.097M,16.21M,2000-12,,,-0.091M,1.93M,-19.89M,-17.96M,,,-18.05M,,2000-12,7.363M,-0.082M,46.01M,,1.93M,,,-19.89M,,,,,
2000-09,9.269M,,,,,4.727M,4.727M,0.835M,,,,,,1.832M,-7.407M,-1.423M,-0.20M,2.094M,,-5.104M,9.727M,2000-09,-5.065M,0.00,-5.065M,,-11.77M,14.42M,0.264M,-2.149M,2000-09,,,-3.102M,2.096M,-40.81M,-38.71M,,,-41.81M,,2000-09,-34.23M,-0.694M,38.73M,,2.096M,,,-40.81M,,,,,
2000-06,9.528M,,,,,4.845M,4.845M,0.604M,,,,,,-0.607M,-10.44M,2.509M,0.332M,2.703M,,-5.508M,9.469M,2000-06,-3.239M,0.00,-3.239M,,0.00,2.756M,-3.85M,-4.333M,2000-06,,,-0.129M,2.068M,-1.537M,0.531M,,,0.402M,,2000-06,5.538M,-0.253M,73.65M,,2.068M,,,-1.537M,,,,,
2000-03,8.034M,,,,,4.53M,4.53M,-0.364M,,,,,,-5.242M,-4.538M,-3.248M,-0.465M,1.131M,,-12.36M,-0.162M,2000-03,-3.393M,10.40M,7.007M,,-0.178M,4.853M,2.817M,14.50M,2000-03,,,,4.135M,-8.024M,-3.889M,,,-3.889M,,2000-03,10.45M,-0.655M,68.37M,,4.135M,,,-8.024M,,,,,
1999-12,8.90M,,,,,4.40M,4.40M,,,,,,,-2.50M,-1.40M,8.40M,1.20M,-1.30M,,4.40M,19.70M,1999-12,-5.10M,,-4.70M,,,-25.80M,35.70M,5.20M,1999-12,,,-4.80M,0.60M,-36.90M,-36.30M,,,-41.10M,,1999-12,-16.20M,0.10M,58.60M,,0.60M,,,-36.90M,,,,,
1999-09,8.40M,,,,,4.30M,4.30M,,,,,,,2.10M,-0.90M,-2.50M,-0.60M,-0.20M,,-2.10M,10.60M,1999-09,-1.60M,,-1.60M,,,22.80M,-36.70M,-15.50M,1999-09,,,-1.20M,0.20M,-27.30M,-27.10M,,,-28.30M,,1999-09,-33.20M,0.80M,74.70M,,0.20M,,,-27.30M,,,,,
1999-06,8.00M,,,,,4.20M,4.20M,,,,,,-0.10M,0.00,-0.70M,1.70M,1.30M,9.60M,,11.90M,24.00M,1999-06,-2.00M,,-2.00M,,,-19.10M,10.30M,-10.80M,1999-06,,,-0.30M,3.20M,,3.20M,,,2.90M,,1999-06,16.10M,-0.40M,0.00,,3.20M,,,,,,,,
1999-03,7.30M,,,,,4.30M,4.30M,,,,,,0.10M,-10.00M,8.20M,-14.80M,-0.70M,3.90M,,-13.40M,-1.70M,1999-03,-3.70M,,-3.70M,,,-3.70M,-10.50M,-17.90M,1999-03,,,-0.10M,2.60M,,2.60M,,,2.50M,,1999-03,-17.10M,-0.60M,0.00,,2.60M,,,,,,,,
1998-12,-30.10M,,,,,4.20M,4.20M,,,,,,37.30M,-3.90M,-12.00M,19.30M,-4.70M,-5.50M,,-6.80M,4.60M,1998-12,-41.80M,,-41.80M,,,,4.50M,-37.30M,1998-12,,,0.10M,2.50M,,2.50M,,,2.50M,,1998-12,-30.20M,0.50M,109.10M,,2.50M,,,,,,,,
1998-09,6.00M,,,,,3.80M,3.80M,,,,,,-0.10M,5.30M,7.90M,-8.20M,2.80M,-3.90M,,3.90M,13.60M,1998-09,-2.30M,,-2.30M,,,,-3.20M,-5.50M,1998-09,,,-1.00M,0.60M,,0.60M,,,-0.40M,,1998-09,7.70M,1.40M,0.00,,0.60M,,,,,,,,
1998-06,5.10M,,,,,3.30M,3.30M,,,,,,0.10M,2.40M,4.80M,2.70M,0.60M,0.20M,,10.70M,19.20M,1998-06,-1.10M,,-1.10M,,,2.20M,-1.50M,-0.40M,1998-06,,,-0.10M,2.30M,,2.30M,,,2.20M,,1998-06,21.00M,-0.20M,0.00,,2.30M,,,,,,,,
