,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,,SharesData(Quarterly),AverageBasicSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2000-12,92.62M,92.62M,44.32M,48.30M,,,21.01M,7.556M,,,,,,33.95M,14.35M,,,,,,15.44M,5.634M,9.801M,,9.801M,5.379M,14.35M,,2000-12,0.0725,0.0725,,2000-12,0.0725,0.00,,2000-12,135.04M,2000-12,,
2000-09,90.38M,90.38M,42.70M,47.68M,,,22.69M,6.75M,,,,,,34.17M,13.51M,,,,,,14.71M,5.444M,9.269M,,9.269M,4.727M,13.51M,,2000-09,0.0675,0.0675,,2000-09,0.065,0.00,,2000-09,137.32M,2000-09,,
2000-06,93.55M,93.55M,42.01M,51.54M,,,25.63M,7.193M,,,,,,37.67M,13.88M,,,,,,15.24M,5.717M,9.528M,,9.528M,4.845M,13.88M,,2000-06,0.0675,0.0675,,2000-06,0.065,0.00,,2000-06,141.16M,2000-06,,
2000-03,90.88M,90.88M,41.74M,49.13M,,,26.30M,6.794M,,,,,,37.63M,11.51M,,,,,,12.85M,4.82M,8.034M,,8.034M,4.53M,11.51M,,2000-03,0.0575,0.0575,,2000-03,0.055,0.00,,2000-03,139.72M,2000-03,,
1999-12,90.80M,90.80M,62.60M,28.20M,,,21.90M,6.30M,,,,,,15.40M,12.80M,,,,,,14.40M,5.50M,8.90M,,8.90M,4.40M,12.80M,,1999-12,0.06,0.06,,1999-12,0.06,0.00,,1999-12,147.42M,1999-12,,
1999-09,86.40M,86.40M,40.70M,45.70M,,,23.20M,6.30M,,,,,,33.70M,12.00M,,,,,,13.60M,5.20M,8.40M,,8.40M,4.30M,12.00M,,1999-09,0.055,0.055,,1999-09,0.0525,0.00,,1999-09,152.73M,1999-09,,
1999-06,91.50M,91.50M,42.70M,48.80M,,,25.50M,7.50M,1.30M,,,,,37.20M,11.60M,,,,1.30M,,12.90M,4.90M,8.00M,,8.00M,4.20M,11.60M,,1999-06,0.05,0.05,,1999-06,0.05,0.00,,1999-06,160.00M,1999-06,,
1999-03,89.60M,89.60M,40.50M,49.10M,,,27.30M,7.20M,1.30M,,,,,38.80M,10.30M,,,,1.30M,,11.80M,4.50M,7.30M,,7.30M,4.30M,10.30M,,1999-03,0.0475,0.0475,,1999-03,0.045,0.00,,1999-03,153.68M,1999-03,,
1998-12,82.80M,82.80M,36.60M,46.20M,,,25.50M,6.40M,-35.60M,,,,,36.10M,10.10M,,,,-35.60M,,-25.60M,4.50M,-30.10M,,-30.10M,4.20M,10.10M,,1998-12,-0.1925,-0.1925,,1998-12,-0.1925,0.00,,1998-12,124.76M,1998-12,,
1998-09,78.50M,78.50M,34.70M,43.80M,,,26.90M,5.20M,2.00M,,,,,35.90M,7.90M,,,,2.00M,,9.80M,3.80M,6.00M,,6.00M,3.80M,7.90M,,1998-09,0.04,0.04,,1998-09,0.0375,0.00,,1998-09,150.00M,1998-09,,
1998-06,80.90M,80.90M,36.60M,44.30M,,,29.40M,4.90M,1.70M,,,,,37.60M,6.70M,,,,1.70M,,8.40M,3.30M,5.10M,,5.10M,3.30M,6.70M,,1998-06,0.0325,0.0325,,1998-06,0.0325,0.00,,1998-06,156.92M,1998-06,,
