,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-04,2.148B,2.148B,540.60M,1.607B,649.40M,189.40M,,-68.80M,,,,,838.80M,768.40M,,,,-68.80M,,695.80M,208.70M,487.10M,,,,487.10M,535.26M,871.00M,102.60M,768.40M,0.4,0.0,,0.4395,0.4,0.39,0.0,,0.4291,0.39,1.218B,1.231B,0.0625
2003-01,1.912B,1.912B,474.80M,1.438B,587.80M,187.10M,,-48.50M,,,,,774.90M,662.80M,,,,-48.50M,,611.10M,183.40M,427.70M,,,,427.70M,461.64M,767.80M,105.00M,662.80M,0.35,0.0,,0.3778,0.35,0.35,0.0,,0.3775,0.35,1.220B,1.233B,0.0625
2002-10,1.891B,1.891B,460.70M,1.430B,598.60M,193.50M,,-151.50M,,,,,792.10M,638.20M,,,,-151.50M,,488.00M,186.30M,301.70M,,,,301.70M,395.36M,740.80M,102.60M,638.20M,0.25,0.0,,0.3271,0.25,0.25,0.0,,0.3265,0.25,1.216B,1.224B,0.0625
2002-07,1.714B,1.714B,414.20M,1.300B,536.10M,179.40M,,-36.30M,,,,,715.50M,584.20M,,,,-36.30M,,546.40M,163.10M,383.30M,,,,383.30M,408.76M,682.10M,97.90M,584.20M,0.32,0.0,,0.341,0.32,0.31,0.0,,0.3308,0.31,1.215B,1.224B,0.0625
2002-04,1.792B,1.792B,456.80M,1.335B,545.30M,169.50M,,-192.60M,,,,,714.80M,619.90M,,,,-192.60M,,422.40M,121.50M,300.90M,,,,300.90M,438.10M,731.40M,111.50M,619.90M,0.25,0.0,,0.363,0.25,0.24,0.0,,0.3519,0.24,1.214B,1.226B,0.0575
2002-01,1.592B,1.592B,412.80M,1.180B,493.50M,163.40M,,-66.60M,,,,,656.90M,522.70M,,,,-66.60M,,443.10M,128.20M,314.90M,,,,314.90M,362.23M,612.50M,89.80M,522.70M,0.26,0.0,,0.299,0.26,0.26,0.0,,0.2986,0.26,1.212B,1.226B,0.0575
2001-10,1.571B,1.571B,405.00M,1.166B,479.20M,162.40M,,-296.20M,,,,,641.60M,524.60M,,,,-296.20M,,218.40M,151.70M,66.70M,,,,66.70M,244.42M,587.40M,62.80M,524.60M,0.06,0.0,,0.2069,0.06,0.05,0.0,,0.1954,0.05,1.210B,1.223B,0.0575
2001-07,1.456B,1.456B,378.10M,1.078B,444.80M,151.00M,,-62.80M,,,,,595.80M,481.80M,,,,-62.80M,,440.30M,138.80M,301.50M,,,,301.50M,344.50M,547.50M,65.70M,481.80M,0.25,0.0,,0.2855,0.25,0.25,0.0,,0.2852,0.25,1.210B,1.223B,0.0575
2001-04,1.518B,1.518B,318.00M,1.200B,455.40M,149.60M,,-323.20M,,,,,684.40M,515.50M,,,,-323.20M,,222.20M,72.20M,150.00M,,,,150.00M,368.18M,594.90M,79.40M,515.50M,0.12,0.0,,0.3006,0.12,0.12,0.0,,0.2984,0.12,1.208B,1.223B,0.05
2001-01,1.362B,1.362B,270.40M,1.091B,406.80M,143.90M,,-39.60M,,,,,625.70M,465.50M,,,,-39.60M,,444.70M,141.90M,302.80M,,,,302.80M,329.76M,540.50M,74.80M,465.50M,0.25,0.0,,0.2723,0.25,0.25,0.0,,0.272,0.25,1.207B,1.226B,0.05
2000-10,1.362B,1.362B,351.20M,1.011B,422.30M,145.40M,,2.60M,,,,,567.70M,443.00M,,,,2.60M,,459.80M,150.70M,309.10M,,,,309.10M,307.35M,513.50M,70.50M,443.00M,0.26,0.0,,0.2585,0.26,0.25,0.0,,0.2486,0.25,1.200B,1.226B,0.05
2000-07,1.310B,1.310B,316.60M,993.80M,400.70M,138.70M,,-43.00M,,,,,539.40M,454.40M,,,,-43.00M,,422.70M,138.60M,284.10M,,,,284.10M,313.00M,527.00M,72.60M,454.40M,0.24,0.0,,0.2641,0.24,0.23,0.0,,0.2535,0.23,1.199B,1.229B,0.05
2000-04,1.433B,1.433B,291.20M,1.142B,431.30M,133.80M,,-34.80M,,,,,639.80M,501.90M,,,,-34.80M,,472.50M,154.90M,317.60M,,,,317.60M,340.99M,576.60M,74.70M,501.90M,0.27,0.0,,0.2896,0.27,0.26,0.0,,0.2791,0.26,1.196B,1.226B,0.04
2000-01,1.259B,1.259B,268.40M,990.90M,405.20M,119.10M,,-24.80M,,,,,580.70M,410.20M,,,,-24.80M,,388.90M,129.40M,259.50M,,,,259.50M,276.05M,466.60M,26.20M,410.20M,0.22,0.0,,0.2339,0.22,0.21,0.0,,0.2236,0.21,1.194B,1.221B,0.04
1999-10,1.190B,1.190B,221.70M,968.60M,377.60M,117.20M,,,,,,,586.40M,382.20M,,,,,,385.30M,124.70M,260.60M,,,,260.60M,260.60M,475.50M,93.30M,382.20M,0.22,0.0,,0.22,0.22,0.21,0.0,,0.21,0.21,1.194B,1.220B,0.04
1999-07,1.105B,1.105B,225.70M,879.20M,351.40M,112.70M,,,,,,,513.80M,365.40M,,,,,,368.80M,119.90M,248.90M,,,,248.90M,248.90M,415.10M,49.70M,365.40M,0.21,0.0,,0.21,0.21,0.21,0.0,,0.21,0.21,1.185B,1.185B,0.04
1999-04,1.147B,1.147B,224.50M,922.20M,372.30M,124.30M,,-146.60M,,,,,547.20M,375.00M,,,,-146.60M,,236.00M,85.00M,151.00M,,,,151.00M,244.80M,425.60M,50.60M,375.00M,0.13,0.0,,0.2081,0.13,0.12,0.0,,0.1909,0.12,1.201B,1.323B,0.0325
1999-01,1.065B,1.065B,304.80M,760.00M,348.60M,108.70M,,-287.30M,,,,,457.30M,302.70M,,,,-287.30M,,18.50M,52.60M,-34.10M,,,,-34.10M,138.28M,380.20M,77.50M,302.70M,-0.03,0.0,,0.1217,-0.03,-0.03,0.0,,0.1217,-0.03,1.137B,1.137B,0.0325
1998-10,984.50M,984.50M,210.10M,774.40M,296.40M,106.30M,,-116.40M,,,,,452.20M,322.20M,,,,-116.40M,,211.40M,94.40M,117.00M,,,,117.00M,186.84M,371.70M,49.50M,322.20M,0.1,0.0,,0.1597,0.1,0.1,0.0,,0.1597,0.1,1.17B,1.17B,0.0325
1998-07,991.70M,991.70M,207.00M,784.70M,99.90M,289.70M,,-8.00M,,,,,431.10M,353.60M,,,,-8.00M,,352.00M,123.50M,228.50M,,,,228.50M,233.69M,395.10M,41.50M,353.60M,0.2,0.0,,0.2045,0.2,0.2,0.0,,0.2045,0.2,1.142B,1.142B,0.0325
