,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-12,2.435B,2.435B,1.214B,1.221B,,-6.00M,206.00M,,,,458.00M,961.00M,260.00M,,,,-6.00M,,164.00M,19.00M,145.00M,,0.00,,145.00M,150.30M,565.00M,305.00M,260.00M,,-0.2088,0.0012,0.00,-0.2050,-0.2075,,-0.2088,0.0012,0.0001,-0.2050,-0.2075,,1.418B,1.422B,0.075,,,
2003-09,2.775B,2.775B,1.318B,1.457B,,35.00M,227.00M,,,,383.00M,892.00M,565.00M,,,,35.00M,,494.00M,160.00M,334.00M,,-3.00M,-4.00M,331.00M,310.34M,860.00M,295.00M,565.00M,,0.235,-0.0025,0.00,0.2184,0.2325,,0.235,-0.0025,-0.0021,0.2184,0.2325,,1.422B,1.426B,0.075,,,
2003-06,2.459B,2.459B,1.182B,1.277B,,24.00M,205.00M,,,,391.00M,863.00M,414.00M,,,,24.00M,,350.00M,111.00M,239.00M,,,-4.00M,239.00M,222.61M,684.00M,270.00M,414.00M,,0.1688,0.00,,0.1572,0.1688,,0.1675,0.00,,0.1560,0.1675,,1.418B,1.425B,0.075,,,
2003-03,2.082B,2.082B,944.00M,1.138B,,40.00M,192.00M,,,,393.00M,844.00M,294.00M,,,,40.00M,,253.00M,78.00M,175.00M,,,-4.00M,175.00M,147.33M,553.00M,248.00M,294.00M,,0.1238,0.00,,0.1042,0.1238,,0.1238,0.00,,0.1042,0.1238,,1.414B,1.417B,0.075,,,
2002-12,1.922B,1.922B,793.00M,1.129B,,10.00M,165.00M,,,,485.00M,884.00M,245.00M,,,,10.00M,,174.00M,45.00M,129.00M,,0.00,-4.00M,129.00M,121.59M,479.00M,223.00M,245.00M,,-0.2388,0.1612,0.00,-0.2441,-0.0775,,-0.2388,0.1612,0.0097,-0.2441,-0.0775,,1.374B,1.377B,0.0725,,,
2002-09,2.353B,2.353B,1.082B,1.271B,,18.00M,199.00M,,,,580.00M,1.004B,267.00M,,,,18.00M,,207.00M,57.00M,150.00M,,,-4.00M,150.00M,136.96M,492.00M,,267.00M,,0.1062,0.00,,0.0970,0.1062,,0.1062,0.00,,0.0970,0.1062,,1.406B,1.407B,0.0725,,,
2002-06,2.128B,2.128B,969.00M,1.159B,,47.00M,185.00M,,,,335.00M,750.00M,409.00M,,,,47.00M,,373.00M,123.00M,250.00M,,,-4.00M,250.00M,218.50M,639.00M,,409.00M,,0.0912,0.00,,0.0797,0.0912,,0.0912,0.00,,0.0797,0.0912,,2.730B,2.738B,0.0725,,,
2002-03,1.843B,1.843B,804.00M,1.039B,,13.00M,173.00M,,,,346.00M,783.00M,256.00M,,,,13.00M,,185.00M,19.00M,166.00M,,-222.00M,-4.00M,-56.00M,154.34M,520.00M,,256.00M,,0.1225,-0.1638,0.00,0.1139,-0.0412,,0.1225,-0.1638,-0.1641,0.1139,-0.0413,,1.353B,1.354B,0.0725,,,
2001-12,1.581B,1.581B,512.00M,1.069B,,-4.00M,172.00M,,,,396.00M,819.00M,250.00M,,,,-4.00M,,167.00M,49.00M,118.00M,,,-4.00M,118.00M,120.83M,501.00M,,250.00M,,-0.2025,0.00,,-0.2004,-0.2025,,-0.2025,0.00,,-0.2004,-0.2025,,1.352B,1.352B,0.07,,,
2001-09,2.529B,2.529B,1.242B,1.287B,,46.00M,195.00M,,,,306.00M,747.00M,540.00M,,,,46.00M,,499.00M,165.00M,334.00M,,,-4.00M,334.00M,303.21M,786.00M,,540.00M,,0.2475,0.00,,0.2247,0.2475,,0.2475,0.00,,0.2247,0.2475,,1.352B,1.352B,0.07,,,
2001-06,2.166B,2.166B,1.054B,1.112B,,34.00M,174.00M,,,,313.00M,732.00M,380.00M,,,,34.00M,,328.00M,109.00M,219.00M,,,-4.00M,219.00M,196.30M,625.00M,,380.00M,,0.1625,0.00,,0.1457,0.1625,,0.1620,0.00,,0.1452,0.1620,,1.352B,1.352B,0.07,,,
2001-03,1.941B,1.941B,951.00M,990.00M,,15.00M,169.00M,,,,341.00M,750.00M,240.00M,,,,15.00M,,166.00M,56.00M,110.00M,,,-4.00M,110.00M,100.06M,480.00M,,240.00M,,0.0406,0.00,,0.0336,0.0406,,0.0406,0.00,,0.0336,0.0406,,1.407B,1.407B,0.07,,,
2000-12,1.857B,1.857B,876.00M,981.00M,,13.00M,149.00M,,,,417.00M,835.00M,146.00M,,,,13.00M,,78.00M,13.00M,65.00M,,,-4.00M,65.00M,54.17M,415.00M,,146.00M,,0.0488,0.00,,0.0408,0.0488,,0.0488,0.00,,0.0408,0.0488,,1.362B,1.362B,0.0675,,,
2000-09,2.087B,2.087B,845.00M,1.242B,,46.00M,180.00M,,,,314.00M,731.00M,511.00M,,,,46.00M,,479.00M,165.00M,314.00M,,,-4.00M,314.00M,283.85M,748.00M,,511.00M,,0.2312,0.00,,0.2091,0.2312,,0.23,0.00,,0.2080,0.23,,1.36B,1.368B,0.0675,,,
2000-06,1.67B,1.67B,605.00M,1.065B,,26.00M,144.00M,,,,308.00M,718.00M,347.00M,,,,26.00M,,305.00M,101.00M,204.00M,,,-4.00M,204.00M,186.61M,613.00M,,347.00M,,0.15,0.00,,0.1372,0.15,,0.15,0.00,,0.1372,0.15,,1.36B,1.36B,0.0675,,,
2000-03,1.468B,1.468B,542.00M,926.00M,,7.00M,145.00M,,,,285.00M,689.00M,237.00M,,,,7.00M,,178.00M,57.00M,121.00M,,,-4.00M,121.00M,116.24M,496.00M,,237.00M,,0.0444,0.00,,0.0426,0.0444,,0.0444,0.00,,0.0426,0.0444,,2.72B,2.72B,0.0675,,,
1999-12,1.52B,1.52B,577.00M,943.00M,,-148.00M,153.00M,,,,155.00M,580.00M,363.00M,,,,-148.00M,,152.00M,32.00M,120.00M,,,-4.00M,120.00M,236.84M,635.00M,,363.00M,,0.0837,,,0.1653,0.0837,,0.0837,,,0.1653,0.0837,,1.433B,1.433B,0.065,,,
1999-09,1.892B,1.892B,693.00M,1.199B,,39.00M,175.00M,,,,309.00M,729.00M,470.00M,,,,39.00M,,447.00M,156.00M,291.00M,,,-4.00M,291.00M,265.61M,715.00M,245.00M,470.00M,,0.1062,0.00,,0.0885,0.1062,,0.1062,0.00,,0.0885,0.1062,,1.433B,1.433B,0.065,,,
1999-06,1.614B,1.614B,588.00M,1.026B,,32.00M,144.00M,,,,503.00M,891.00M,135.00M,,,,32.00M,,105.00M,28.00M,77.00M,,,-4.00M,77.00M,53.53M,379.00M,244.00M,135.00M,,0.0281,0.00,,0.0118,0.0281,,0.0281,0.00,,0.0118,0.0281,,1.434B,1.434B,0.065,,,
1999-03,1.412B,1.412B,506.00M,906.00M,,9.00M,144.00M,,,,126.00M,549.00M,357.00M,,,,9.00M,,315.00M,106.00M,209.00M,,,-4.00M,209.00M,203.03M,636.00M,279.00M,357.00M,,0.0762,0.00,,0.0721,0.0762,,0.0762,0.00,,0.0721,0.0762,,1.441B,1.441B,0.065,,,
1998-12,1.631B,1.631B,592.00M,1.039B,,-14.00M,140.00M,,,,339.00M,852.00M,187.00M,,,,-14.00M,,75.00M,-18.00M,93.00M,,,-4.00M,93.00M,101.40M,560.00M,,187.00M,,0.0643,,,0.0701,0.0643,,0.0643,,,0.0701,0.0643,,1.446B,1.446B,0.0625,,,
1998-09,1.999B,1.999B,659.00M,1.34B,,21.00M,171.00M,,,,327.00M,812.00M,528.00M,,,,21.00M,,444.00M,157.00M,287.00M,,,-4.00M,287.00M,273.43M,842.00M,,528.00M,,0.1038,0.00,,0.0944,0.1038,,0.1038,0.00,,0.0944,0.1038,,1.447B,1.447B,0.0625,,,
1998-06,1.692B,1.692B,558.00M,1.134B,,16.00M,150.00M,,,,319.00M,817.00M,317.00M,,,,16.00M,,265.00M,89.00M,176.00M,,,-4.00M,176.00M,165.37M,665.00M,,317.00M,,0.0638,0.00,,0.0564,0.0638,,0.0638,0.00,,0.0564,0.0638,,1.450B,1.450B,0.0625,,,
1998-03,1.338B,1.338B,436.00M,902.00M,,7.00M,136.00M,,,,299.00M,684.00M,218.00M,,,,7.00M,,158.00M,50.00M,108.00M,,,-4.00M,108.00M,103.22M,467.00M,,218.00M,,0.0394,0.00,,0.0361,0.0394,,0.0394,0.00,,0.0361,0.0394,,1.452B,1.452B,0.0625,,,
1997-12,1.478B,1.478B,478.00M,1.00B,,-25.00M,146.00M,,,,373.00M,783.00M,217.00M,,,,-25.00M,,112.00M,22.00M,90.00M,,,-4.00M,90.00M,110.09M,481.00M,,217.00M,,0.0619,,,0.0757,0.0619,,0.0619,,,0.0757,0.0619,,1.454B,1.454B,0.06,,,
1997-09,1.859B,1.859B,674.00M,1.185B,,17.00M,165.00M,,,,290.00M,721.00M,464.00M,,,,17.00M,,406.00M,144.00M,262.00M,,,-5.00M,262.00M,251.03M,730.00M,,464.00M,,0.095,0.00,,0.0875,0.095,,0.095,0.00,,0.0875,0.095,,1.455B,1.455B,0.06,,,
1997-06,1.587B,1.587B,560.00M,1.027B,,4.00M,146.00M,,,,298.00M,706.00M,321.00M,,,,4.00M,,247.00M,83.00M,164.00M,,,-4.00M,164.00M,161.34M,583.00M,,321.00M,,0.0594,0.00,,0.0576,0.0594,,0.0594,0.00,,0.0576,0.0594,,1.457B,1.457B,0.06,,,
1997-03,1.445B,1.445B,544.00M,901.00M,,8.00M,139.00M,,,,269.00M,676.00M,225.00M,,,,8.00M,,156.00M,55.00M,101.00M,,,-6.00M,101.00M,95.82M,493.00M,,225.00M,,0.0362,0.00,,0.0327,0.0362,,0.0362,0.00,,0.0327,0.0362,,1.460B,1.460B,0.06,,,
1996-12,1.436B,1.436B,552.70M,882.90M,,-1.60M,150.90M,,,,340.20M,693.80M,189.10M,,,,-1.60M,,117.30M,32.40M,84.90M,,,-6.00M,84.90M,86.06M,391.80M,,189.10M,,0.0582,,,0.0590,0.0582,,0.0582,,,0.0590,0.0582,,1.460B,1.460B,0.0575,,,
1996-09,1.770B,1.770B,628.50M,1.141B,,4.40M,160.00M,,,,264.20M,682.00M,459.10M,,,,4.40M,,392.20M,142.10M,250.10M,,,-5.80M,250.10M,247.29M,716.90M,,459.10M,,0.09,0.00,,0.0881,0.09,,0.09,0.00,,0.0881,0.09,,1.464B,1.464B,0.0575,,,
1996-06,1.474B,1.474B,500.20M,973.90M,,-8.50M,138.30M,,,,304.50M,674.70M,299.20M,,,,-8.50M,,217.10M,66.80M,150.30M,,,-5.80M,150.30M,156.18M,531.10M,,299.20M,,0.0538,0.00,,0.0578,0.0538,,0.0538,0.00,,0.0578,0.0538,,1.467B,1.467B,0.0575,,,
1996-03,1.358B,1.358B,449.70M,908.00M,,-1.40M,137.00M,,,,280.00M,684.70M,223.30M,,,,-1.40M,,146.30M,52.60M,93.70M,,,-6.40M,93.70M,94.60M,491.00M,,223.30M,,0.0338,0.00,,0.0344,0.0338,,0.0338,0.00,,0.0344,0.0338,,1.476B,1.476B,0.0575,,,
1995-12,1.361B,1.361B,437.80M,923.10M,,3.50M,134.10M,,,,358.60M,734.90M,188.20M,,,,3.50M,,109.60M,35.20M,74.40M,,,-12.80M,74.40M,72.02M,430.40M,,188.20M,,0.0504,,,0.0488,0.0504,,0.0504,,,0.0488,0.0504,,1.476B,1.476B,0.055,,,
1995-09,1.587B,1.587B,480.90M,1.106B,,9.20M,148.30M,,,,297.20M,658.20M,447.90M,,,,9.20M,,377.60M,137.20M,240.40M,,,-9.00M,240.40M,234.54M,660.60M,,447.90M,,0.0856,0.00,,0.0817,0.0856,,0.0856,0.00,,0.0817,0.0856,,1.476B,1.476B,0.055,,,
1995-06,1.467B,1.467B,458.40M,1.008B,,0.90M,138.10M,,,,295.20M,696.10M,312.20M,,,,0.90M,,229.70M,91.40M,138.30M,,,-9.00M,138.30M,137.76M,575.00M,,312.20M,,0.0494,0.00,,0.0490,0.0494,,0.0494,0.00,,0.0490,0.0494,,1.484B,1.484B,0.055,,,
1995-03,1.177B,1.177B,344.90M,832.50M,,5.40M,128.40M,,,,255.00M,583.70M,248.80M,,,,5.40M,,165.00M,65.20M,99.80M,,,-12.20M,99.80M,96.53M,449.10M,,248.80M,,0.0356,0.00,,0.0334,0.0356,,0.0356,0.00,,0.0334,0.0356,,1.484B,1.484B,0.055,,,
1994-12,1.290B,1.290B,406.60M,883.20M,,4.70M,129.90M,,,,374.60M,685.00M,198.20M,,,,4.70M,,115.00M,38.80M,76.20M,,,,76.20M,73.09M,378.70M,,198.20M,,0.0511,,,0.049,0.0511,,0.0511,,,0.049,0.0511,,1.492B,1.492B,0.0525,,,
1994-09,1.512B,1.512B,470.30M,1.042B,,17.90M,145.00M,,,,263.30M,614.50M,427.50M,,,,17.90M,,356.00M,133.80M,222.20M,,,,222.20M,211.03M,633.70M,,427.50M,,0.0781,0.00,,0.0702,0.0781,,0.0781,0.00,,0.0702,0.0781,,1.418B,1.418B,0.0525,,,
1994-06,1.442B,1.442B,473.60M,968.80M,,4.90M,134.30M,,,,376.10M,680.60M,288.20M,,,,4.90M,,203.50M,77.70M,125.80M,,,,125.80M,122.77M,458.40M,,288.20M,,0.0438,0.00,,0.0416,0.0438,,0.0438,0.00,,0.0416,0.0438,,1.435B,1.435B,0.0525,,,
1994-03,1.178B,1.178B,364.80M,813.50M,,8.60M,121.90M,,,,290.00M,578.90M,234.60M,,,,8.60M,,151.40M,57.00M,94.40M,,,,94.40M,89.04M,401.60M,,234.60M,,0.0331,0.00,,0.0294,0.0331,,0.0331,0.00,,0.0294,0.0331,,1.435B,1.435B,0.0775,,,
1993-12,1.232B,1.232B,,,,,,,,,,,1.232B,,,,,,,,85.70M,,,,85.70M,85.70M,1.232B,,1.232B,,0.0481,,,0.0481,0.0481,,0.0481,,,0.0481,0.0481,,1.521B,1.521B,0.0775,,,
1993-09,1.603B,1.603B,,,,,,,,,,,1.603B,,,,,,,,140.50M,,,,140.50M,140.50M,1.603B,,1.603B,,0.0469,0.00,,0.0469,0.0469,,0.0469,0.00,,0.0469,0.0469,,1.516B,1.516B,0.0775,,,
1993-06,1.350B,1.350B,,,,,,,,,,,1.350B,,,,,,,,110.50M,,,,110.50M,110.50M,1.350B,,1.350B,,0.0375,0.00,,0.0375,0.0375,,0.0375,0.00,,0.0375,0.0375,,1.484B,1.484B,0.0775,,,
1993-03,1.132B,1.132B,,,,,,,,,,,1.132B,,,,,,,,92.00M,,,,92.00M,92.00M,1.132B,,1.132B,,0.0312,0.00,,0.0312,0.0312,,0.0312,0.00,,0.0312,0.0312,,1.483B,1.483B,0.0762,,,
1992-12,1.271B,1.271B,,,,,,,,,,,1.271B,,,,,,,,101.20M,,,,101.20M,101.20M,1.271B,,1.271B,,0.0616,,,0.0616,0.0616,,0.0616,,,0.0616,0.0616,,1.462B,1.462B,0.0762,,,
1992-09,1.569B,1.569B,,,,,,,,,,,1.569B,,,,,,,,187.80M,,,,187.80M,187.80M,1.569B,,1.569B,,0.0656,0.00,,0.0656,0.0656,,0.0656,0.00,,0.0656,0.0656,,1.430B,1.430B,0.0762,,,
1992-06,1.262B,1.262B,,,,,,,,,,,1.262B,,,,,,,,103.50M,,,,103.50M,103.50M,1.262B,,1.262B,,0.0375,0.00,,0.0375,0.0375,,0.0375,0.00,,0.0375,0.0375,,1.399B,1.399B,0.0762,,,
1992-03,1.093B,1.093B,,,,,,,,,,,1.093B,,,,,,,,74.40M,,,,74.40M,74.40M,1.093B,,1.093B,,0.0269,0.00,,0.0269,0.0269,,0.0269,0.00,,0.0269,0.0269,,1.387B,1.387B,0.075,,,
1991-12,1.181B,1.181B,,,,,,,,,,,1.181B,,,,,,,,42.30M,0.00,,,42.30M,42.30M,1.181B,,1.181B,,0.0234,0.00,,0.0234,0.0234,,0.0234,0.00,,0.0234,0.0234,,1.366B,1.366B,0.075,,,
1991-09,1.518B,1.518B,,,,,,,,,,,1.518B,,,,,,,,187.70M,,,,187.70M,187.70M,1.518B,,1.518B,,0.0719,0.00,,0.0719,0.0719,,0.0719,0.00,,0.0719,0.0719,,1.316B,1.316B,0.075,,,
1991-06,1.387B,1.387B,,,,,,,,,,,1.387B,,,,,,,,74.70M,,,,74.70M,74.70M,1.387B,,1.387B,,0.0288,0.00,,0.0288,0.0288,,0.0288,0.00,,0.0288,0.0288,,1.298B,1.298B,0.075,,,
1991-03,1.163B,1.163B,,,,,,,,,,,1.163B,,,,,,,,71.40M,-135.60M,,,-64.20M,71.40M,1.163B,,1.163B,,0.0275,-0.0525,,0.0275,-0.025,,0.0275,-0.0525,,0.0275,-0.025,,1.293B,1.293B,0.0738,,,
1990-12,1.582B,1.582B,,,,,,,,,,,1.582B,,,,,,,,41.40M,,,,41.40M,41.40M,1.582B,,1.582B,,-0.0017,,,-0.0017,-0.0017,,-0.0017,,,-0.0017,-0.0017,,1.289B,1.289B,0.0738,,,
1990-09,1.774B,1.774B,,,,,,,,,,,1.774B,,,,,,,,-568.50M,,,,-568.50M,-568.50M,1.774B,,1.774B,,-0.2619,0.00,,-0.2619,-0.2619,,-0.2619,0.00,,-0.2619,-0.2619,,1.092B,1.092B,0.0738,,,
1990-06,1.575B,1.575B,,,,,,,,,,,1.575B,,,,,,,,96.70M,,,,96.70M,96.70M,1.575B,,1.575B,,0.045,0.00,,0.045,0.045,,0.045,0.00,,0.045,0.045,,1.086B,1.086B,0.0738,,,
1990-03,1.358B,1.358B,,,,,,,,,,,1.358B,,,,,,,,39.40M,,,,39.40M,39.40M,1.358B,,1.358B,,0.0181,0.00,,0.0181,0.0181,,0.0181,0.00,,0.0181,0.0181,,1.081B,1.081B,0.0712,,,
1989-12,1.471B,1.471B,,,,,,,,,,,1.471B,,,,,,,,70.20M,,,,70.20M,70.20M,1.471B,,1.471B,,0.0573,,,0.0573,0.0573,,0.0573,,,0.0573,0.0573,,1.058B,1.058B,0.0712,,,
1989-09,1.812B,1.812B,,,,,,,,,,,1.812B,,,,,,,,158.60M,,,,158.60M,158.60M,1.812B,,1.812B,,0.075,0.00,,0.075,0.075,,0.075,0.00,,0.075,0.075,,1.052B,1.052B,0.0712,,,
1989-06,1.530B,1.530B,,,,,,,,,,,1.530B,,,,,,,,111.10M,,,,111.10M,111.10M,1.530B,,1.530B,,0.0531,0.00,,0.0531,0.0531,,0.0531,0.00,,0.0531,0.0531,,1.049B,1.049B,0.0712,,,
1989-03,1.366B,1.366B,,,,,,,,,,,1.366B,,,,,,,,70.60M,,,,70.60M,,1.366B,,1.366B,,0.0338,0.00,,0.0338,0.0338,,0.0338,0.00,,0.0338,0.0338,,1.040B,1.040B,0.0688,,,
1988-12,2.222B,2.222B,,,,,,,,,,,2.222B,,,,,,,,91.60M,,,,91.60M,,2.222B,,2.222B,,,,,,,,,,,,,,1.049B,1.049B,0.0688,,,
1988-09,1.385B,1.385B,,,,,,,,,,,1.385B,,,,,,,,174.90M,,,,174.90M,,1.385B,,1.385B,,0.0831,0.00,,0.0831,0.0831,,0.0831,0.00,,0.0831,0.0831,,1.040B,1.040B,0.0688,,,
1988-06,1.174B,1.174B,,,,,,,,,,,1.174B,,,,,,,,90.60M,,,,90.60M,,1.174B,,1.174B,,0.0438,0.00,,0.0438,0.0438,,0.0438,0.00,,0.0438,0.0438,,1.040B,1.040B,0.0688,,,
1988-03,1.072B,1.072B,,,,,,,,,,,1.072B,,,,,,,,90.70M,,,,90.70M,,1.072B,,1.072B,,0.0438,0.00,,0.0438,0.0438,,0.0438,0.00,,0.0438,0.0438,,1.040B,1.040B,0.0662,,,
1987-12,1.100B,1.100B,,,,,,,,,,,1.100B,,,,,,,,71.50M,,,,71.50M,,1.100B,,1.100B,,,,,,,,,,,,,,1.040B,1.040B,0.0662,,,
1987-09,1.308B,1.308B,,,,,,,,,,,1.308B,,,,,,,,151.40M,,,,151.40M,,1.308B,,1.308B,,0.0725,0.00,,0.0725,0.0725,,0.0725,0.00,,0.0725,0.0725,,1.040B,1.040B,0.0662,,,
1987-06,1.062B,1.062B,,,,,,,,,,,1.062B,,,,,,,,89.50M,,,,89.50M,,1.062B,,1.062B,,0.0431,0.00,,0.0431,0.0431,,0.0431,0.00,,0.0431,0.0431,,1.040B,1.040B,0.0662,,,
1987-03,968.30M,968.30M,,,,,,,,,,,968.30M,,,,,,,,90.50M,,,,90.50M,,968.30M,,968.30M,,0.0438,0.00,,0.0438,0.0438,,0.0438,0.00,,0.0438,0.0438,,1.040B,1.040B,0.0638,,,
1986-12,979.10M,979.10M,,,,,,,,,,,979.10M,,,,,,,,61.30M,,,,61.30M,,979.10M,,979.10M,,,,,,,,,,,,,,1.040B,1.040B,0.0638,,,
1986-09,1.170B,1.170B,,,,,,,,,,,1.170B,,,,,,,,152.40M,,,,152.40M,,1.170B,,1.170B,,0.0744,0.00,,0.0744,0.0744,,0.0744,0.00,,0.0744,0.0744,,1.023B,1.023B,0.0638,,,
1986-06,999.10M,999.10M,,,,,,,,,,,999.10M,,,,,,,,75.80M,,,,75.80M,,999.10M,,999.10M,,0.0375,0.00,,0.0375,0.0375,,0.0375,0.00,,0.0375,0.0375,,1.005B,1.005B,0.0638,,,
1986-03,943.00M,943.00M,,,,,,,,,,,943.00M,,,,,,,,75.90M,,,,75.90M,,943.00M,,943.00M,,0.0388,0.00,,0.0388,0.0388,,0.0388,0.00,,0.0388,0.0388,,1.001B,1.001B,0.0612,,,
1985-12,1.032B,1.032B,,,,,,,,,,,1.032B,,,,,,,,48.90M,,,,48.90M,,1.032B,,1.032B,,,,,,,,,,,,,,968.40M,968.40M,,,,
1985-09,1.263B,1.263B,,,,,,,,,,,1.263B,,,,,,,,137.60M,,,,137.60M,,1.263B,,1.263B,,0.0719,0.00,,0.0719,0.0719,,0.0719,0.00,,0.0719,0.0719,,958.14M,958.14M,,,,
1985-06,1.062B,1.062B,,,,,,,,,,,1.062B,,,,,,,,93.50M,,,,93.50M,,1.062B,,1.062B,,0.0488,0.00,,0.0488,0.0488,,0.0488,0.00,,0.0488,0.0488,,946.18M,946.18M,,,,
1985-03,991.00M,991.00M,,,,,,,,,,,991.00M,,,,,,,,92.30M,,,,92.30M,,991.00M,,991.00M,,0.0488,0.00,,0.0488,0.0488,,0.0488,0.00,,0.0488,0.0488,,946.18M,946.18M,,,,
1984-12,904.10M,904.10M,,,,,,,,,,,904.10M,,,,,,,,67.00M,,,,67.00M,,904.10M,,904.10M,,,,,,,,,,,,,,946.18M,946.18M,,,,
1984-09,1.217B,1.217B,,,,,,,,,,,1.217B,,,,,,,,127.00M,,,,127.00M,,1.217B,,1.217B,,0.0341,0.00,,0.0341,0.0341,,0.0341,0.00,,0.0341,0.0341,,927.12M,927.12M,,,,
1984-06,967.60M,967.60M,,,,,,,,,,,967.60M,,,,,,,,55.60M,,,,55.60M,,967.60M,,967.60M,,0.0153,0.00,,0.0153,0.0153,,0.0153,0.00,,0.0153,0.0153,,927.12M,927.12M,,,,
1984-03,852.20M,852.20M,,,,,,,,,,,852.20M,,,,,,,,53.10M,,,,53.10M,,852.20M,,852.20M,,0.0147,0.00,,0.0147,0.0147,,0.0147,0.00,,0.0147,0.0147,,927.12M,927.12M,,,,
