,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-06,424.00M,,424.00M,2.028B,,2.028B,1.096B,,1.94B,5.488B,40.78B,2.40B,43.18B,-12.68B,30.50B,,,,,,,7.766B,38.26B,43.75B,,1.912B,1.912B,3.832B,5.744B,,,,2.603B,2.603B,,,,8.347B,,12.06B,,12.06B,3.782B,3.782B,,,,,,15.84B,33.14B,,4.00M,6.06B,4.737B,,-187.00M,10.61B,,,
2008-03,603.00M,,603.00M,1.71B,,1.71B,836.00M,,1.13B,4.279B,39.94B,1.998B,41.94B,-12.49B,29.45B,,,,,,,7.60B,37.05B,41.33B,,1.328B,1.328B,2.817B,4.145B,,,,1.734B,1.734B,,,,5.879B,,12.30B,,12.30B,3.952B,3.952B,,,,,,16.26B,30.62B,,4.00M,6.03B,4.69B,,-10.00M,10.71B,,,
2007-12,290.00M,,290.00M,1.721B,,1.721B,857.00M,,911.00M,3.779B,39.33B,1.713B,41.04B,-12.39B,28.65B,,,,,,,7.692B,36.34B,40.12B,,1.204B,1.204B,2.136B,3.34B,,,,2.418B,2.418B,,,,5.758B,,11.28B,,11.28B,3.821B,3.821B,,,,,,15.10B,29.39B,,4.00M,5.945B,4.67B,,116.00M,10.74B,,,
2007-09,350.00M,,350.00M,1.861B,,1.861B,868.00M,,1.305B,4.384B,38.21B,1.699B,39.90B,-12.19B,27.71B,,,,,,,7.473B,35.19B,39.57B,,1.279B,1.279B,2.625B,3.904B,,,,2.968B,2.968B,,,,6.872B,,10.84B,,10.84B,3.627B,3.627B,,,,,,14.47B,28.96B,,4.00M,5.866B,4.63B,,115.00M,10.62B,,,
2007-06,723.00M,,723.00M,1.879B,,1.879B,814.00M,,1.285B,4.701B,35.90B,1.905B,37.80B,-11.98B,25.82B,,,,,,,6.817B,32.64B,37.34B,,1.247B,1.247B,2.44B,3.687B,,,,2.506B,2.506B,,,,6.193B,,10.32B,,10.32B,3.645B,3.645B,,,,,,13.97B,27.14B,,4.00M,5.497B,4.599B,,101.00M,10.20B,,,
2007-03,226.00M,,226.00M,1.935B,,1.935B,719.00M,,1.061B,3.941B,35.09B,1.888B,36.98B,-11.81B,25.17B,,,,,,,6.423B,31.59B,35.54B,,995.00M,995.00M,2.272B,3.267B,,,,2.686B,2.686B,,,,5.953B,,9.091B,,9.091B,3.476B,3.476B,,,,,,12.57B,25.66B,,4.00M,5.255B,4.562B,,50.00M,9.871B,,,
2006-12,620.00M,,620.00M,1.656B,,1.656B,785.00M,,1.769B,4.83B,34.76B,1.393B,36.15B,-11.65B,24.50B,,,,,,,6.493B,30.99B,35.82B,,1.06B,1.06B,2.524B,3.584B,,,,2.742B,2.742B,,,,6.326B,,9.591B,,9.591B,3.432B,3.432B,,,,,,13.02B,25.89B,,4.00M,5.256B,4.555B,,115.00M,9.93B,,,
2006-09,159.00M,,159.00M,1.862B,,1.862B,772.00M,,2.041B,4.834B,34.36B,1.345B,35.70B,-11.45B,24.25B,,,,,,,5.786B,30.04B,34.87B,,1.065B,1.065B,2.828B,3.893B,,,,2.27B,2.27B,,,,6.163B,,9.631B,,9.631B,3.239B,3.239B,,,,,,12.87B,25.29B,,4.00M,5.072B,4.514B,,-10.00M,9.58B,,,
2006-06,134.00M,,134.00M,1.372B,,1.372B,777.00M,,2.084B,4.367B,33.80B,1.383B,35.18B,-11.30B,23.88B,,,,,,,5.519B,29.40B,33.76B,,1.061B,1.061B,2.199B,3.26B,,,,3.57B,3.57B,,,,6.83B,,8.36B,,8.36B,3.31B,53.00M,,,,,,8.413B,24.69B,,4.00M,4.696B,4.486B,,-111.00M,9.075B,,,
2006-03,148.00M,,148.00M,1.529B,,1.529B,747.00M,,1.598B,4.022B,33.08B,1.342B,34.42B,-11.13B,23.28B,,,,,,,5.529B,28.81B,32.84B,,926.00M,926.00M,1.945B,2.871B,,,,3.619B,3.619B,,,,6.49B,,7.828B,,7.828B,3.322B,57.00M,,,,,,7.885B,23.90B,,4.00M,4.606B,4.461B,,-130.00M,8.941B,,,
2005-12,530.00M,,530.00M,1.43B,,1.43B,567.00M,,2.46B,4.987B,32.41B,945.00M,33.35B,-10.89B,22.46B,,,,,,,5.554B,28.02B,33.00B,,1.245B,1.245B,3.459B,4.704B,,,,2.563B,2.563B,,,,7.267B,,8.039B,,8.039B,3.077B,62.00M,,,,,,8.101B,24.50B,,4.00M,4.506B,4.182B,,-193.00M,8.499B,,,
2005-09,1.102B,,1.102B,1.826B,,1.826B,467.00M,,2.636B,6.031B,32.21B,805.00M,33.02B,-10.88B,22.14B,,,,,,,5.471B,27.61B,33.64B,,1.341B,1.341B,4.677B,6.018B,,,,1.945B,1.945B,,,,7.963B,,7.787B,,7.787B,2.969B,66.00M,,,,,,7.853B,25.25B,,4.00M,4.437B,4.169B,,-213.00M,8.397B,,,
2005-06,154.00M,,154.00M,1.655B,,1.655B,475.00M,,1.106B,3.39B,31.92B,703.00M,32.62B,-10.82B,21.80B,,,,,,,4.777B,26.58B,29.97B,,1.074B,1.074B,1.795B,2.869B,,,,1.743B,1.743B,,,,4.612B,,8.108B,,8.108B,2.87B,71.00M,,,,,,8.179B,21.72B,,4.00M,4.235B,4.127B,,-113.00M,8.253B,,,
2005-03,241.00M,,241.00M,1.277B,,1.277B,442.00M,,1.199B,3.159B,30.55B,1.576B,32.12B,-10.65B,21.47B,,,,,,,4.713B,26.18B,29.34B,,684.00M,684.00M,1.962B,2.646B,,,,1.327B,1.327B,,,,3.973B,,8.501B,,8.501B,2.929B,76.00M,,,,,,8.577B,21.25B,,4.00M,4.168B,4.019B,,-101.00M,8.09B,,,
2004-12,225.00M,,225.00M,1.044B,,1.044B,394.00M,,864.00M,2.527B,30.22B,1.495B,31.72B,-10.49B,21.23B,,,,,,,4.58B,25.81B,28.33B,,762.00M,762.00M,1.769B,2.531B,,,,1.717B,1.717B,,,,4.248B,,8.027B,,8.027B,2.766B,81.00M,,,,,,8.108B,20.80B,,2.00M,4.166B,3.579B,,-209.00M,7.537B,,,
2004-09,451.00M,,451.00M,1.397B,,1.397B,377.00M,,1.063B,3.288B,29.22B,1.912B,31.14B,-10.39B,20.74B,,,,,,,4.486B,25.23B,28.52B,,679.00M,679.00M,2.248B,2.927B,,,,1.169B,1.169B,,,,4.096B,,8.551B,,8.551B,2.785B,86.00M,,,,,,8.637B,21.08B,,7.00M,4.116B,3.36B,5.00M,-50.00M,7.433B,,,
2004-06,222.00M,,222.00M,1.087B,,1.087B,376.00M,,678.00M,2.363B,29.23B,1.771B,31.00B,-10.34B,20.66B,,,,,,,4.183B,24.84B,27.21B,,793.00M,793.00M,1.432B,2.225B,,,,984.00M,984.00M,,,,3.209B,,8.526B,,8.526B,2.358B,91.00M,,,,,,8.617B,19.98B,,7.00M,3.918B,3.321B,5.00M,-24.00M,7.222B,,,
2004-03,232.00M,,232.00M,1.007B,,1.007B,410.00M,,617.00M,2.266B,29.10B,1.559B,30.66B,-10.19B,20.47B,,,,,,,4.343B,24.81B,27.08B,,566.00M,566.00M,1.41B,1.976B,,,,1.269B,1.269B,,,,3.245B,,8.667B,,8.667B,2.284B,96.00M,,,,,,8.763B,20.06B,,7.00M,3.773B,3.255B,5.00M,-19.00M,7.016B,,,
2003-12,129.00M,,129.00M,1.188B,,1.188B,458.00M,,695.00M,2.47B,28.91B,1.364B,30.27B,-9.975B,20.30B,,,,,,,4.168B,24.46B,26.94B,,542.00M,542.00M,1.524B,2.066B,,,,1.287B,1.287B,,,,3.353B,,8.723B,,8.723B,2.255B,100.00M,,,,,,8.823B,19.96B,,7.00M,3.745B,3.216B,5.00M,4.00M,6.972B,,,
2003-09,935.00M,,935.00M,1.131B,,1.131B,422.00M,,770.00M,3.258B,,,29.59B,-11.66B,17.92B,,,,,,,3.973B,21.90B,25.16B,,608.00M,608.00M,1.538B,2.146B,,,,1.885B,1.885B,,,,4.031B,,8.331B,,8.331B,1.936B,1.936B,,,,,,10.27B,18.02B,,228.00M,3.708B,3.184B,226.00M,11.00M,7.131B,,,
2003-06,281.00M,,281.00M,1.041B,,1.041B,408.00M,,810.00M,2.54B,25.76B,2.498B,28.26B,-11.29B,16.97B,,,,,,,3.912B,20.88B,23.42B,,728.00M,728.00M,1.376B,2.104B,,,,2.071B,2.071B,,,,4.175B,,6.765B,,6.765B,1.761B,1.761B,,,,,,8.526B,16.52B,,228.00M,3.483B,3.148B,226.00M,43.00M,6.902B,,,
2003-03,332.00M,,332.00M,965.00M,,965.00M,407.00M,,557.00M,2.261B,,,27.53B,-11.07B,16.46B,,,,,,,3.679B,20.13B,22.40B,,746.00M,746.00M,1.297B,2.043B,,,,2.469B,2.469B,,,,4.512B,,5.791B,,5.791B,1.683B,1.683B,,,,,,7.474B,15.67B,,228.00M,3.349B,3.121B,226.00M,24.00M,6.722B,,,
2002-12,266.00M,,266.00M,865.00M,,865.00M,448.00M,,329.00M,1.908B,23.87B,2.639B,26.50B,-8.805B,17.70B,,,,,,,3.577B,21.28B,23.18B,,458.00M,458.00M,1.151B,1.609B,,,,2.302B,2.302B,,,,3.911B,,5.79B,,5.79B,1.547B,1.547B,,,,,,7.337B,16.57B,,228.00M,3.28B,3.284B,226.00M,-176.00M,6.616B,,,
2002-09,696.00M,,696.00M,810.00M,,810.00M,310.00M,,403.00M,2.219B,,,25.16B,-11.98B,13.17B,,,,,,,3.302B,16.47B,18.69B,,628.00M,628.00M,1.471B,2.099B,,,,1.27B,1.27B,,,,3.369B,,5.727B,,5.727B,1.56B,202.00M,,,,,,5.929B,12.14B,,228.00M,3.253B,3.063B,226.00M,12.00M,6.556B,,,
2002-06,384.00M,,384.00M,656.00M,,656.00M,358.00M,,428.00M,1.826B,,,24.87B,-11.90B,12.96B,,,,,,,3.362B,16.33B,18.15B,,619.00M,619.00M,1.232B,1.851B,,,,1.129B,1.129B,,,,2.98B,,5.697B,,5.697B,1.475B,210.00M,,,,,,5.907B,11.68B,,228.00M,3.205B,3.033B,226.00M,8.00M,6.474B,,,
2002-03,117.00M,,117.00M,615.00M,,615.00M,283.00M,,546.00M,1.561B,,,24.22B,-11.95B,12.27B,,,,,,,3.642B,15.91B,17.47B,,432.00M,432.00M,1.424B,1.856B,,,,1.547B,1.547B,,,,3.403B,,5.333B,,5.333B,1.481B,219.00M,,,,,,5.552B,11.44B,,228.00M,3.053B,2.75B,226.00M,8.00M,6.039B,,,
2001-12,82.00M,,82.00M,780.00M,,780.00M,349.00M,,391.00M,1.602B,21.40B,1.983B,23.39B,-11.73B,11.66B,,,,,,,4.199B,15.86B,17.46B,,473.00M,473.00M,1.184B,1.657B,,,,1.982B,1.982B,,,,3.639B,,4.858B,,4.858B,1.442B,140.00M,,,,,,4.998B,11.22B,,228.00M,3.207B,3.025B,226.00M,-219.00M,6.241B,,,
2001-09,299.00M,,299.00M,806.00M,,806.00M,341.00M,,560.00M,2.006B,,,22.75B,-11.46B,11.28B,,,,,,,4.065B,15.35B,17.36B,,464.00M,464.00M,1.51B,1.974B,,,,1.563B,1.563B,,,,3.537B,,4.872B,,4.872B,1.307B,1.307B,,,,,,6.179B,11.15B,,228.00M,3.181B,2.805B,226.00M,-9.00M,6.205B,,,
2001-06,72.00M,,72.00M,670.00M,,670.00M,373.00M,,748.00M,1.863B,,,22.14B,-11.51B,10.64B,,,,,,,4.059B,14.70B,16.56B,,622.00M,622.00M,1.127B,1.749B,,,,1.562B,1.562B,,,,3.311B,,4.474B,,4.474B,1.398B,1.398B,,,,,,5.872B,10.58B,,228.00M,2.944B,2.798B,226.00M,5.00M,5.975B,,,
2001-03,109.00M,,109.00M,619.00M,,619.00M,340.00M,,726.00M,1.794B,,,21.43B,-11.29B,10.14B,,,,,,,3.73B,13.87B,15.66B,,525.00M,525.00M,1.063B,1.588B,,,,1.385B,1.385B,,,,2.973B,,3.977B,,3.977B,1.467B,1.467B,,,,,,5.444B,9.813B,,228.00M,2.819B,2.79B,226.00M,13.00M,5.85B,,,
2000-12,129.00M,,129.00M,637.00M,,637.00M,370.00M,,645.00M,1.781B,,,21.02B,-11.09B,9.934B,,,,,,,3.585B,13.52B,15.30B,,564.00M,564.00M,976.00M,1.54B,,,,1.223B,1.223B,,,,2.763B,,3.976B,,3.976B,1.378B,1.378B,,,,,,5.354B,9.481B,,228.00M,2.803B,2.788B,226.00M,,5.819B,,,
2000-09,377.00M,,377.00M,690.00M,,690.00M,331.00M,,445.00M,1.843B,,,20.58B,-10.94B,9.642B,,,,,,,3.452B,13.09B,14.94B,,613.00M,613.00M,1.162B,1.775B,,,,1.178B,1.178B,,,,2.953B,,3.48B,,3.48B,1.254B,1.254B,,,,,,4.734B,9.032B,,228.00M,2.829B,2.848B,226.00M,,5.905B,,,
2000-06,234.00M,,234.00M,578.00M,,578.00M,320.00M,,478.00M,1.61B,,,20.22B,-10.76B,9.456B,,,,,,,3.13B,12.59B,14.20B,,547.00M,547.00M,1.058B,1.605B,,,,823.00M,823.00M,,,,2.428B,,3.479B,,3.479B,1.176B,1.176B,,,,,,4.655B,8.471B,,228.00M,2.606B,2.891B,226.00M,,5.725B,,,
2000-03,104.00M,,104.00M,463.00M,,463.00M,312.00M,,198.00M,1.077B,,,19.87B,-10.55B,9.316B,,,,,,,2.968B,12.28B,13.36B,,448.00M,448.00M,1.003B,1.451B,,,,246.00M,246.00M,,,,1.697B,,3.478B,,3.478B,1.166B,1.166B,,,,,,4.644B,7.743B,,228.00M,2.494B,2.896B,226.00M,,5.618B,,,
1999-12,361.00M,,361.00M,482.00M,,482.00M,343.00M,,187.00M,1.373B,18.63B,923.00M,19.55B,-10.29B,9.264B,,,,,,,2.804B,12.07B,13.44B,,407.00M,407.00M,999.00M,1.406B,,,,464.00M,464.00M,,,,1.87B,,3.478B,,3.478B,1.079B,1.079B,,,,,,4.557B,7.845B,,226.00M,,,226.00M,5.37B,5.596B,,,
1999-09,370.00M,,370.00M,658.00M,,658.00M,308.00M,,282.00M,1.618B,,,19.17B,-10.03B,9.142B,,,,,,,2.76B,11.90B,13.52B,,462.00M,462.00M,1.276B,1.738B,,,,519.00M,519.00M,,,,2.257B,,3.091B,,3.091B,1.112B,1.112B,,,,,,4.203B,7.936B,,228.00M,2.433B,2.923B,226.00M,,5.584B,,,
1999-06,595.00M,,595.00M,521.00M,,521.00M,301.00M,,180.00M,1.597B,,,19.00B,-9.917B,9.083B,,,,,,,2.626B,11.71B,13.31B,,369.00M,369.00M,1.091B,1.46B,,,,1.387B,1.387B,,,,2.847B,,2.493B,,2.493B,1.138B,1.138B,,,,,,3.631B,7.925B,,228.00M,2.231B,2.922B,226.00M,,5.381B,,,
1999-03,548.00M,,548.00M,462.00M,,462.00M,275.00M,,143.00M,1.428B,,,18.35B,-9.672B,8.674B,,,,,,,2.194B,10.87B,12.30B,,322.00M,322.00M,995.00M,1.317B,,,,616.00M,616.00M,,,,1.933B,,2.207B,,2.207B,1.261B,1.261B,,,,,,3.468B,6.858B,,228.00M,2.243B,2.967B,226.00M,,5.438B,,,
1998-12,187.00M,,187.00M,559.00M,,559.00M,282.00M,,238.00M,1.266B,17.74B,214.00M,17.95B,-9.397B,8.555B,,,,,,,2.208B,10.76B,12.03B,,338.00M,338.00M,834.00M,1.172B,,,,469.00M,469.00M,,,,1.641B,,2.347B,,2.347B,1.255B,1.255B,,,,,,3.602B,6.677B,,226.00M,,,226.00M,5.126B,5.352B,,,
1998-09,447.00M,,447.00M,705.00M,,705.00M,278.00M,,341.00M,1.771B,,,17.99B,-9.153B,8.838B,,,,,,,2.235B,11.07B,12.84B,,401.00M,401.00M,1.131B,1.532B,,,,287.00M,287.00M,,,,1.819B,,2.785B,,2.785B,1.364B,1.364B,,,,,,4.149B,7.495B,,228.00M,2.116B,3.004B,226.00M,1.00M,5.349B,,,
1998-06,428.00M,,428.00M,613.00M,,613.00M,282.00M,,306.00M,1.629B,,,17.96B,-9.049B,8.906B,,,,,,,2.309B,11.22B,12.84B,,353.00M,353.00M,1.075B,1.428B,,,,456.00M,456.00M,,,,1.884B,,2.862B,,2.862B,1.428B,1.428B,,,,,,4.29B,7.682B,,228.00M,1.915B,3.018B,226.00M,1.00M,5.162B,,,
1998-03,72.00M,,72.00M,438.00M,,438.00M,289.00M,,243.00M,1.042B,,,17.91B,-8.704B,9.204B,,,,,,,2.225B,11.43B,12.47B,,297.00M,297.00M,837.00M,1.134B,,,,310.00M,310.00M,,,,1.444B,,2.95B,,2.95B,1.528B,1.528B,,,,,,4.478B,7.389B,,228.00M,1.825B,3.028B,226.00M,1.00M,5.082B,,,
1997-12,54.00M,,54.00M,501.00M,,501.00M,302.00M,,244.00M,1.101B,,,17.82B,-8.466B,9.354B,,,,,,,1.994B,11.35B,12.45B,,368.00M,368.00M,799.00M,1.167B,,,,332.00M,332.00M,,,,1.499B,,2.949B,,2.949B,1.473B,1.473B,,,,,,4.422B,7.378B,,228.00M,1.804B,3.038B,226.00M,1.00M,5.071B,,,
1997-09,460.30M,,460.30M,624.30M,,624.30M,277.70M,,208.30M,1.571B,,,17.63B,-8.241B,9.392B,,,,,,,1.917B,11.31B,12.88B,,386.70M,386.70M,1.140B,1.527B,,,,345.90M,345.90M,,,0.10M,1.873B,,3.079B,,3.079B,1.431B,1.431B,,,,,,4.510B,7.809B,,226.30M,,,226.30M,4.845B,5.072B,,,
1997-06,337.60M,,337.60M,538.10M,,538.10M,287.90M,,158.90M,1.322B,,,17.65B,-8.122B,9.529B,,,,,,,1.902B,11.43B,12.75B,,362.50M,362.50M,973.80M,1.336B,,,,360.20M,360.20M,,,0.10M,1.697B,,3.228B,,3.228B,1.450B,1.450B,,,,,,4.678B,7.820B,,262.80M,,,262.80M,4.670B,4.933B,,,
1997-03,394.70M,,394.70M,454.00M,,454.00M,294.20M,,189.10M,1.332B,,,17.52B,-7.906B,9.615B,,,,,,,1.722B,11.34B,12.67B,,340.90M,340.90M,850.00M,1.191B,,,,387.80M,387.80M,,,,1.579B,,3.267B,,3.267B,1.544B,1.544B,,,,,,4.811B,7.807B,,264.30M,,,264.30M,4.598B,4.862B,,,
1996-12,196.00M,,196.00M,462.00M,,462.00M,268.00M,,247.00M,1.173B,16.78B,258.00M,17.03B,-7.649B,9.384B,,,,,,,1.662B,11.05B,12.22B,,308.00M,308.00M,811.00M,1.119B,,,,155.00M,155.00M,,,,1.274B,,3.144B,,3.144B,1.531B,1.531B,,,,,,4.675B,7.295B,,332.00M,,,332.00M,4.592B,4.924B,,,
1996-09,91.70M,,91.70M,564.20M,,564.20M,274.80M,,345.60M,1.276B,,,16.90B,-7.444B,9.457B,,,,,,,1.648B,11.11B,12.38B,,327.10M,327.10M,952.00M,1.279B,,,,4.70M,4.70M,,,,1.284B,,3.263B,,3.263B,1.999B,411.70M,,,,,,3.675B,7.453B,,331.60M,,,331.60M,4.598B,4.929B,,,
1996-06,78.90M,,78.90M,462.30M,,462.30M,260.50M,,241.00M,1.043B,,,16.90B,-7.310B,9.589B,,,,,,,1.613B,11.20B,12.25B,,300.80M,300.80M,862.80M,1.164B,,,,170.70M,170.70M,,,0.10M,1.334B,,3.281B,,3.281B,1.988B,397.80M,,,,,,3.679B,7.484B,,331.60M,,,331.60M,4.429B,4.761B,,,
1996-03,28.30M,,28.30M,432.10M,,432.10M,238.50M,,229.60M,928.50M,,,16.81B,-7.114B,9.699B,,,,,,,1.639B,11.34B,12.27B,,274.30M,274.30M,839.30M,1.114B,,,,155.70M,155.70M,,,,1.269B,,3.377B,,3.377B,2.017B,417.40M,,,,,,3.794B,7.543B,,335.60M,,,335.60M,4.387B,4.723B,,,
1995-12,46.20M,,46.20M,482.30M,,482.30M,247.30M,,209.50M,985.30M,16.41B,317.70M,16.73B,-6.873B,9.852B,,,,,,,1.622B,11.47B,12.46B,,305.10M,305.10M,808.60M,1.114B,,,,390.40M,390.40M,,,,1.504B,,3.377B,,3.377B,1.869B,282.00M,,,,,,3.659B,7.727B,,341.40M,1.258B,3.420B,339.60M,-287.50M,4.732B,,,
1995-09,103.50M,,103.50M,564.70M,,564.70M,261.70M,,216.50M,1.146B,,,26.54B,-16.60B,9.937B,,,,,,,1.547B,11.48B,12.63B,,337.30M,337.30M,975.80M,1.313B,,,,216.00M,216.00M,,,-0.10M,1.529B,,3.338B,,3.338B,1.610B,1.610B,,,,,,4.949B,7.726B,,501.30M,,,501.30M,4.403B,4.904B,,,
1995-06,124.70M,,124.70M,503.00M,,503.00M,298.70M,,120.80M,1.047B,,,16.61B,-6.587B,10.03B,,,,,,,1.551B,11.58B,12.62B,,302.30M,302.30M,958.80M,1.261B,,,,326.00M,326.00M,,,,1.587B,,3.464B,,3.464B,1.599B,1.599B,,,,,,5.063B,7.882B,,501.30M,,,501.30M,4.241B,4.742B,,,
1995-03,159.50M,,159.50M,390.90M,,390.90M,305.90M,,147.60M,1.004B,,,16.49B,-6.354B,10.13B,,,,,,,1.462B,11.60B,12.60B,,243.40M,243.40M,775.90M,1.019B,,,,419.90M,419.90M,,,-0.10M,1.439B,,3.579B,,3.579B,1.666B,1.666B,,,,,,5.246B,7.898B,,505.30M,,,505.30M,4.197B,4.702B,,,
1994-12,85.80M,,85.80M,464.70M,,464.70M,309.30M,,89.80M,949.60M,16.10B,292.60M,16.39B,-6.187B,10.20B,,,,,,,1.465B,11.67B,12.62B,,311.30M,311.30M,728.30M,1.040B,,,,122.10M,122.10M,,,-0.10M,1.162B,,3.864B,,3.864B,1.626B,1.626B,,,,,,5.49B,7.875B,,545.30M,,,545.30M,4.197B,4.742B,,,
1994-09,210.40M,,210.40M,613.00M,,613.00M,310.90M,,110.50M,1.245B,15.95B,274.10M,16.23B,-6.051B,10.18B,,,,,,110.90M,1.437B,11.72B,12.97B,,276.30M,276.30M,879.20M,1.156B,,,,270.80M,270.80M,,,,1.426B,,3.909B,205.00M,4.114B,1.905B,308.20M,,,,,,4.422B,8.220B,,547.20M,,,545.30M,4.202B,4.749B,,,
1994-06,66.10M,,66.10M,548.30M,,548.30M,309.10M,,174.60M,1.098B,15.96B,242.20M,16.20B,-5.909B,10.29B,,,,,,110.90M,1.368B,11.77B,12.87B,,271.70M,271.70M,853.20M,1.125B,,,,294.10M,294.10M,,,,1.419B,,3.907B,237.40M,4.144B,1.882B,313.40M,,,,,,4.458B,8.222B,,547.20M,,,545.30M,4.099B,4.647B,,,
1994-03,88.90M,,88.90M,511.40M,,511.40M,311.20M,,170.00M,1.082B,15.47B,480.70M,15.95B,-5.760B,10.19B,,,,,,110.90M,1.487B,11.79B,12.87B,,250.20M,250.20M,851.10M,1.101B,,,,357.30M,357.30M,,,-0.10M,1.458B,,3.870B,248.40M,4.118B,1.888B,318.60M,,,,,,4.437B,8.217B,,548.70M,,,546.80M,4.106B,4.655B,,,
