,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2008-12,471.00M,,,,176.00M,176.00M,,,,-12.00M,439.00M,-164.00M,,-506.00M,-85.00M,,,-316.00M,,319.00M,,-132.00M,,,-271.00M,,-12.00M,-415.00M,,-184.00M,968.00M,784.00M,,-433.00M,-433.00M,,-252.00M,-35.00M,64.00M,,1.777B,-32.00M,-77.00M,1.668B,,,970.00M,-186.00M,-433.00M,,,Restated
2008-09,688.00M,,,-310.00M,177.00M,177.00M,,,,430.00M,-96.00M,115.00M,,317.00M,20.00M,-46.00M,,310.00M,,1.295B,,-253.00M,,461.00M,-149.00M,,61.00M,-341.00M,,,,-504.00M,,-393.00M,-393.00M,,-232.00M,-9.00M,-1.138B,,2.057B,-184.00M,-96.00M,1.777B,,,,,-393.00M,,,Restated
2008-06,612.00M,,,147.00M,180.00M,180.00M,,,,-99.00M,-227.00M,-2.00M,,145.00M,-57.00M,128.00M,,-13.00M,,827.00M,,-155.00M,,-155.00M,28.00M,,-26.00M,-153.00M,,,,78.00M,,-244.00M,-244.00M,,-235.00M,0.00,-401.00M,,1.767B,273.00M,17.00M,2.057B,,,,,-244.00M,,,
2008-03,547.00M,,,34.00M,179.00M,179.00M,,,,,-113.00M,-33.00M,,124.00M,-18.00M,28.00M,,-12.00M,,748.00M,,-179.00M,,-179.00M,-63.00M,,-15.00M,-257.00M,,,,36.00M,,-289.00M,-289.00M,,-236.00M,16.00M,-473.00M,,1.706B,18.00M,43.00M,1.767B,,,,,-289.00M,,,
2007-12,565.00M,,,-6.00M,171.00M,171.00M,,,,,143.00M,-170.00M,,-244.00M,74.00M,-110.00M,,-307.00M,,423.00M,,-127.00M,,-127.00M,-377.00M,,183.00M,-321.00M,,,,1.05B,,-194.00M,-194.00M,,-237.00M,-61.00M,558.00M,,1.008B,660.00M,38.00M,1.706B,,,,,-194.00M,,,
2007-09,623.00M,,,36.00M,165.00M,165.00M,,,,,-97.00M,117.00M,,226.00M,84.00M,88.00M,,418.00M,,1.242B,,-261.00M,,-261.00M,-108.00M,,34.00M,-335.00M,,,,-811.00M,,-225.00M,-225.00M,,-208.00M,-2.00M,-1.246B,,1.331B,-339.00M,16.00M,1.008B,,,,,-225.00M,,,
2007-06,574.00M,,,-21.00M,163.00M,163.00M,,,,,-147.00M,101.00M,,90.00M,-27.00M,166.00M,,183.00M,,899.00M,,-144.00M,,-144.00M,-15.00M,,-14.00M,-173.00M,,,,-141.00M,,-150.00M,-150.00M,,-208.00M,1.00M,-498.00M,,1.094B,228.00M,9.00M,1.331B,,,,,-150.00M,,,
2007-03,494.00M,,,24.00M,167.00M,167.00M,,,,,-172.00M,52.00M,,15.00M,-27.00M,-5.00M,,-137.00M,,548.00M,,-155.00M,,-155.00M,-172.00M,,43.00M,-284.00M,,,,126.00M,,-195.00M,-195.00M,,-210.00M,12.00M,-267.00M,,1.09B,-3.00M,7.00M,1.094B,,,,,-195.00M,,,
2006-12,445.00M,,,48.00M,161.00M,161.00M,,,,,67.00M,-174.00M,,-227.00M,6.00M,1.00M,,-327.00M,,327.00M,,-121.00M,,-121.00M,,,43.00M,-78.00M,,,,517.00M,,-283.00M,-283.00M,,-211.00M,-6.00M,17.00M,,810.00M,266.00M,14.00M,1.09B,,,,,-283.00M,,,
2006-09,526.00M,,,24.00M,153.00M,153.00M,,,,100.00M,-21.00M,-5.00M,,264.00M,10.00M,-27.00M,,221.00M,,1.024B,,-247.00M,,-247.00M,-44.00M,,109.00M,-182.00M,,,,-88.00M,,-451.00M,-451.00M,,-180.00M,-6.00M,-725.00M,,695.00M,117.00M,-2.00M,810.00M,,,,,-451.00M,,,
