,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported
2004-06,110.16M,,,-18.00M,85.57M,85.57M,,,,39.55M,,,,,,64.43M,64.43M,2.127M,283.84M,,2004-06,,-61.66M,,,-4.541M,-40.36M,-106.57M,,2004-06,,-0.715M,29.69M,-175.11M,-145.42M,,-38.79M,,9.344M,-175.58M,,2004-06,1.688M,-2.646M,659.51M,,29.69M,,,-175.11M,,2004-06,
2004-03,163.61M,,,0.00,91.11M,91.11M,,,,14.21M,,,,,,-1.724M,-1.724M,7.792M,275.00M,,2004-03,,-63.06M,,,-0.618M,-19.28M,-82.96M,,2004-03,,-3.933M,75.26M,-99.75M,-24.49M,,-76.29M,,39.05M,-65.66M,,2004-03,126.38M,-0.548M,660.47M,,75.26M,,,-99.75M,,2004-03,
2003-12,125.40M,,,38.55M,90.32M,90.32M,,,,7.997M,,,,,,-49.08M,-49.08M,,213.18M,,2003-12,,-44.77M,,,-3.02M,-20.57M,-68.36M,,2003-12,,-116.90M,58.75M,-75.14M,-16.40M,,-0.028M,,,-133.33M,,2003-12,11.50M,3.258M,534.64M,,58.75M,,,-75.14M,,2003-12,
2003-09,169.23M,,,100.00M,76.13M,76.13M,,,,-24.41M,,,,,,11.40M,67.09M,,392.96M,,2003-09,,-91.04M,,,-4.399M,-8.755M,-104.19M,,2003-09,,-60.03M,5.137M,-144.36M,-139.22M,,-25.31M,,,-224.56M,,2003-09,64.21M,0.457M,519.89M,,5.137M,,,-144.36M,,2003-09,
2003-06,130.02M,,,0.00,91.50M,91.50M,,,,1.905M,,,,,,-7.291M,-7.291M,,216.13M,,2003-06,,-59.94M,,,3.647M,-15.90M,-72.19M,,2003-06,,87.80M,55.50M,-99.15M,-43.65M,,-25.81M,,,18.34M,,2003-06,162.28M,7.461M,455.22M,,55.50M,,,-99.15M,,2003-06,
2003-03,142.04M,,,0.00,86.05M,86.05M,,,,17.79M,,,,,,-66.67M,-66.67M,,179.21M,,2003-03,,-64.88M,,,0.676M,-30.58M,-94.78M,,2003-03,,53.68M,21.60M,-49.87M,-28.27M,,-52.54M,,,-27.14M,,2003-03,57.30M,1.748M,285.47M,,21.60M,,,-49.87M,,2003-03,
2002-12,113.64M,,,-100.00M,82.08M,82.08M,,,,4.715M,,,,,,13.19M,13.19M,,113.62M,,2002-12,,-43.37M,,,-2.348M,-31.54M,-77.25M,,2002-12,,-2.757M,4.383M,-56.62M,-52.24M,,-0.488M,,,-55.48M,,2002-12,-19.11M,2.425M,226.43M,,4.383M,,,-56.62M,,2002-12,
2002-09,130.77M,,,22.45M,72.09M,72.09M,,,,-5.189M,,,,,,-34.39M,18.39M,,298.92M,,2002-09,,-92.66M,,,-7.169M,-15.55M,-115.38M,,2002-09,,129.95M,4.089M,-223.96M,-219.87M,,-25.12M,,,-115.05M,,2002-09,68.49M,-1.357M,243.12M,,4.089M,,,-223.96M,,2002-09,
2002-06,119.72M,,,1.417M,78.80M,78.80M,,,,1.169M,,,,,,39.15M,39.15M,,240.27M,,2002-06,-5.233M,-53.12M,,,6.826M,-24.84M,-71.12M,,2002-06,,-263.71M,9.846M,103.02M,112.87M,,-25.70M,,,-176.54M,,2002-06,-7.397M,3.251M,175.98M,,9.846M,,,103.02M,,2002-06,
2002-03,129.19M,,,5.109M,72.72M,72.72M,,,,8.143M,,,,,,-78.52M,-78.52M,,136.65M,,2002-03,5.233M,-60.42M,,,-5.343M,-30.69M,-96.46M,,2002-03,,70.54M,19.15M,-50.16M,-31.01M,,-51.68M,,,-12.16M,,2002-03,28.03M,-1.451M,180.13M,,19.15M,,,-50.16M,,2002-03,
2001-12,99.67M,,,-100.00M,72.96M,72.96M,,,,9.103M,,,,,,73.75M,73.75M,,155.48M,,2001-12,,-49.50M,,,5.343M,-30.20M,-74.36M,,2001-12,,38.74M,4.983M,-52.86M,-47.87M,,0.049M,,,-9.081M,,2001-12,72.04M,-0.629M,153.54M,,4.983M,,,-52.86M,,2001-12,
2001-09,98.37M,,,-2.594M,73.26M,73.26M,,,,,,,,,,50.56M,33.08M,,254.14M,,2001-09,,-104.87M,,0.00,-11.06M,-29.34M,-145.26M,,2001-09,,-86.54M,13.55M,,13.55M,,-25.36M,,,-98.35M,,2001-09,10.54M,0.301M,82.13M,,13.55M,,,,,2001-09,
2001-06,124.30M,,,8.815M,77.38M,77.38M,,,,,,,,,,-1.97M,-1.97M,,208.52M,,2001-06,,-85.80M,,0.00,-3.872M,-31.10M,-120.78M,,2001-06,,-78.68M,8.659M,,8.659M,,-25.86M,,,-95.88M,,2001-06,-8.129M,-0.506M,71.29M,,8.659M,,,,,2001-06,
2001-03,118.36M,,,17.57M,79.74M,79.74M,,,,,,,,,,5.121M,5.121M,,220.79M,,2001-03,,-102.88M,,-28.38M,-2.365M,-32.93M,-166.55M,,2001-03,,-41.30M,39.31M,,39.31M,,-49.46M,,,-51.46M,,2001-03,2.788M,-1.874M,79.93M,,39.31M,,,,,2001-03,
2000-12,60.62M,,,12.96M,75.32M,75.32M,,,,,,,,,,-53.71M,-53.71M,,95.19M,,2000-12,,-77.21M,,-2.575M,-0.544M,-29.02M,-109.35M,,2000-12,,23.81M,21.41M,,21.41M,,-0.652M,,,44.56M,,2000-12,30.40M,-0.583M,79.01M,,21.41M,,,,,2000-12,
2000-09,84.01M,,,-6.745M,73.50M,73.50M,,,,2.55M,,,,,,6.026M,-14.20M,,176.36M,,2000-09,,-105.08M,,-0.225M,12.43M,-24.70M,-117.58M,,2000-09,,-64.46M,2.888M,,2.888M,,-23.66M,,,-85.23M,,2000-09,-26.44M,-1.30M,49.20M,,2.888M,,,,,2000-09,
2000-06,114.42M,,,-21.19M,73.29M,73.29M,,,,-2.55M,,,,,,7.915M,7.915M,,171.88M,,2000-06,,-105.68M,,0.526M,46.47M,-31.02M,-89.70M,,2000-06,,-56.82M,12.50M,,12.50M,,-24.90M,,,-69.22M,,2000-06,12.97M,-1.09M,76.94M,,12.50M,,,,,2000-06,
2000-03,119.16M,,,-43.24M,69.07M,69.07M,,,,,,,,,,1.051M,1.051M,,146.05M,,2000-03,,-98.92M,,-21.57M,31.38M,-12.21M,-101.33M,,2000-03,,-15.49M,11.94M,,11.94M,,-46.50M,,,-50.05M,,2000-03,-5.324M,-0.544M,65.06M,,11.94M,,,,,2000-03,
1999-12,75.30M,,,-0.50M,72.40M,72.40M,,,,,,,,,,-26.00M,-26.00M,,121.20M,,1999-12,,-66.70M,,,3.50M,-31.60M,-94.80M,,1999-12,,-21.70M,7.40M,,7.40M,,-0.70M,,,-15.00M,,1999-12,11.40M,-0.40M,70.90M,,7.40M,,,,,1999-12,
1999-09,76.30M,,,-22.20M,67.60M,67.60M,,,,232.80M,,,,,,,,,125.60M,,1999-09,,-320.50M,,,,-27.00M,-344.00M,,1999-09,,229.10M,1.70M,,1.70M,,-22.10M,,,208.70M,,1999-09,-9.70M,2.70M,59.90M,,1.70M,,,,,1999-09,
1999-06,33.10M,,,54.20M,62.80M,62.80M,,,,31.00M,,,,,,,,,181.10M,,1999-06,,-79.20M,,,,-28.80M,-108.00M,,1999-06,,-66.20M,9.70M,,9.70M,,-22.80M,,-0.10M,-79.40M,,1999-06,-6.30M,-0.70M,67.00M,,9.70M,,,,,1999-06,
1999-03,90.10M,,,1.50M,65.80M,65.80M,,,,-119.20M,,,,,,,,,38.20M,,1999-03,,-182.60M,,,,-65.40M,-248.00M,,1999-03,,192.60M,9.70M,,9.70M,,-43.20M,,0.10M,159.20M,,1999-03,-50.60M,-4.10M,73.90M,,9.70M,,,,,1999-03,
1998-12,76.20M,,,15.30M,62.70M,62.70M,,,,-67.30M,,,,,,,,,86.90M,,1998-12,,-103.50M,,,,-12.30M,-115.80M,,1998-12,,70.50M,5.70M,,5.70M,,,,,76.20M,,1998-12,47.30M,-1.90M,128.60M,,5.70M,,,,,1998-12,
1998-09,89.90M,,,-59.30M,59.80M,59.80M,,,,122.20M,,,,,,,,,139.70M,,1998-09,,-58.40M,,,,5.40M,-56.20M,,1998-09,,-95.40M,8.40M,0.00,8.40M,,-18.80M,,0.20M,-105.60M,,1998-09,-22.10M,1.90M,83.30M,,8.40M,,,0.00,,1998-09,
1998-06,-10.00M,,,89.30M,60.20M,60.20M,,,,-20.10M,,,,,,,,,119.40M,,1998-06,,-504.80M,,,,-18.60M,-523.40M,,1998-06,,407.00M,8.50M,0.00,8.50M,,-19.50M,,-0.10M,395.90M,,1998-06,-8.10M,-1.40M,0.00,,8.50M,,,0.00,,1998-06,
