,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2007-06,444.16M,132.31M,576.48M,1.034B,1.034B,134.81M,196.84M,691.70M,,1.023B,327.36M,,,2.961B,,,,,,,5.137B,-2.802B,2.335B,618.76M,606.85M,1.226B,,601.15M,4.162B,7.123B,1.209B,,1.209B,,1.209B,,,205.77M,205.77M,,,,1.415B,953.11M,953.11M,247.95M,247.95M,,279.10M,1.480B,2.895B,,5.796B,1.071B,3.078B,,,4.228B,,2007-06,,
2007-03,409.66M,170.36M,580.01M,974.07M,974.07M,127.73M,194.84M,653.02M,,975.58M,320.93M,,,2.851B,,,,,,,5.008B,-2.741B,2.266B,615.90M,616.60M,1.232B,,602.50M,4.101B,6.952B,1.138B,,1.138B,,1.138B,,,208.45M,208.45M,,,,1.347B,956.14M,956.14M,244.86M,244.86M,,274.47M,1.475B,2.822B,,5.611B,1.015B,2.898B,,,4.129B,,2007-03,,
2006-12,533.42M,109.93M,643.35M,928.72M,928.72M,123.19M,180.92M,622.49M,,926.60M,326.45M,,,2.825B,,,,,,,4.889B,-2.682B,2.206B,614.59M,642.64M,1.257B,,522.06M,3.985B,6.811B,,,,,,,,205.87M,205.87M,,,1.266B,1.472B,956.11M,956.11M,243.52M,243.52M,,207.64M,1.407B,2.880B,,5.427B,927.46M,2.803B,,,3.931B,,2006-12,,
2006-09,1.000B,106.39M,1.107B,885.75M,885.75M,121.60M,156.96M,597.18M,,875.74M,317.09M,,,3.185B,0.00,68.88M,1.435B,3.239B,,,4.743B,-2.609B,2.134B,565.15M,525.67M,1.091B,,414.91M,3.639B,6.825B,243.60M,,243.60M,490.42M,734.03M,,,427.22M,427.22M,,,415.08M,1.576B,956.97M,956.97M,184.53M,184.53M,,270.50M,1.412B,2.988B,,5.346B,873.54M,2.698B,,-13.02M,3.836B,,2006-09,,
2006-06,721.00M,96.92M,817.91M,889.23M,889.23M,111.34M,159.21M,605.83M,,876.39M,240.72M,,,2.824B,,,,,,,4.570B,-2.555B,2.015B,561.60M,543.09M,1.105B,,266.83M,3.387B,6.211B,1.058B,,1.058B,,1.058B,,,308.97M,308.97M,,,,1.367B,953.97M,953.97M,106.94M,106.94M,,226.91M,1.288B,2.655B,,5.225B,814.48M,2.691B,,,3.556B,,2006-06,,
2006-03,776.53M,89.75M,866.28M,864.70M,864.70M,107.34M,153.12M,582.24M,,842.71M,232.92M,,,2.807B,,,,,,,4.429B,-2.473B,1.956B,551.23M,553.12M,1.104B,,256.23M,3.316B,6.123B,981.30M,,981.30M,,981.30M,,,306.00M,306.00M,,,,1.287B,956.54M,956.54M,165.19M,165.19M,,204.88M,1.327B,2.614B,,5.071B,772.68M,2.491B,,,3.509B,,2006-03,,
2005-12,1.169B,88.38M,1.257B,853.93M,853.93M,106.55M,144.25M,560.61M,,811.40M,223.78M,,,3.146B,,,,,,,4.341B,-2.414B,1.927B,,572.41M,572.41M,,584.41M,3.084B,6.231B,1.147B,,1.147B,,1.147B,,,405.65M,405.65M,,,,1.552B,958.88M,958.88M,129.04M,129.04M,,185.20M,1.273B,2.825B,,4.969B,687.54M,2.385B,,,3.405B,,2005-12,,
2005-09,1.043B,86.81M,1.130B,842.81M,842.81M,93.96M,139.77M,542.21M,,775.95M,226.86M,,,2.975B,0.00,69.03M,1.280B,2.956B,,,4.305B,-2.371B,1.934B,470.05M,496.73M,966.78M,,256.98M,3.157B,6.133B,1.093B,,1.093B,,1.093B,,,206.51M,206.51M,,,,1.299B,1.061B,1.061B,147.70M,147.70M,,340.94M,1.549B,2.849B,,4.806B,615.85M,2.297B,,,3.284B,,2005-09,,
2005-06,918.39M,77.48M,995.87M,839.23M,839.23M,103.55M,147.07M,546.75M,,797.37M,256.52M,,56.89M,2.946B,,,,,,,4.235B,-2.362B,1.873B,,992.84M,992.84M,,198.62M,3.064B,6.010B,1.006B,,1.006B,,1.006B,,,244.53M,244.53M,,,11.00M,1.261B,1.066B,1.066B,97.19M,97.19M,,290.99M,1.455B,2.716B,,4.701B,583.18M,2.160B,,,3.294B,,2005-06,,
2005-03,825.50M,53.39M,878.89M,885.94M,885.94M,101.38M,148.78M,557.07M,,807.23M,260.75M,,60.36M,2.893B,,,,,,,4.239B,-2.345B,1.894B,,761.88M,761.88M,,454.13M,3.110B,6.003B,985.82M,,985.82M,,985.82M,,,141.05M,141.05M,,,12.09M,1.139B,1.051B,1.051B,93.80M,93.80M,,302.00M,1.447B,2.586B,,4.557B,549.73M,1.982B,,,3.417B,,2005-03,,
2004-12,822.04M,51.49M,873.53M,818.15M,818.15M,100.33M,142.37M,553.54M,,796.25M,263.99M,,63.71M,2.816B,,,,,,,4.234B,-2.319B,1.915B,,775.18M,775.18M,,467.52M,3.158B,5.973B,1.045B,,1.045B,,1.045B,,,108.26M,108.26M,,,11.73M,1.165B,1.061B,1.061B,91.43M,91.43M,,312.97M,1.466B,2.631B,,4.414B,491.53M,1.883B,,,3.342B,,2004-12,,
2004-09,719.38M,32.12M,751.50M,807.38M,807.38M,96.02M,132.84M,509.92M,,738.78M,279.98M,,63.69M,2.641B,0.00,62.04M,1.231B,2.812B,,,4.104B,-2.223B,1.881B,,755.22M,755.22M,,475.03M,3.111B,5.753B,206.94M,,206.94M,384.94M,591.88M,,,49.29M,49.29M,,,408.92M,1.050B,1.172B,1.172B,88.91M,88.91M,,374.22M,1.635B,2.685B,,4.265B,414.52M,1.817B,31.14M,,3.068B,,2004-09,,
2004-06,659.51M,,659.51M,806.67M,806.67M,124.96M,137.78M,505.28M,,768.02M,276.26M,,,2.510B,,,,,,,4.053B,-2.208B,1.846B,,876.37M,876.37M,,485.93M,3.208B,5.718B,1.000B,,1.000B,,1.000B,,,6.063M,6.063M,,,,1.006B,1.149B,1.149B,126.66M,126.66M,,358.22M,1.634B,2.640B,,4.235B,402.42M,1.721B,31.74M,,3.078B,,2004-06,,
2004-03,660.47M,,660.47M,801.01M,801.01M,124.39M,151.09M,494.16M,,769.65M,253.20M,,,2.484B,,,,,,,4.038B,-2.184B,1.854B,,652.04M,652.04M,,724.31M,3.231B,5.715B,884.67M,,884.67M,,884.67M,,,6.782M,6.782M,,,,891.46M,1.183B,1.183B,124.44M,124.44M,,355.51M,1.663B,2.555B,,4.164B,373.85M,1.557B,32.46M,,3.160B,,2004-03,,
2003-12,534.64M,,534.64M,818.86M,818.86M,131.32M,143.93M,515.40M,,790.65M,223.19M,,,2.367B,,,,,,,3.984B,-2.134B,1.850B,,653.77M,653.77M,,737.37M,3.242B,5.609B,930.31M,,930.31M,,930.31M,,,10.50M,10.50M,,,,940.82M,1.165B,1.165B,121.00M,121.00M,,337.16M,1.623B,2.564B,,4.037B,304.25M,1.490B,33.59M,,3.045B,,2003-12,,
2003-09,519.89M,,519.89M,772.07M,772.07M,108.81M,147.69M,519.72M,,776.22M,239.98M,,195.30M,2.503B,0.00,62.44M,1.196B,2.622B,,,3.881B,-2.049B,1.832B,,741.63M,741.63M,,495.37M,3.069B,5.572B,221.46M,,221.46M,362.86M,584.32M,,,121.92M,121.92M,,,337.13M,1.043B,1.184B,1.184B,119.09M,119.09M,,328.81M,1.632B,2.675B,,3.951B,257.18M,1.440B,34.45M,,2.897B,,2003-09,,
2003-06,455.22M,,455.22M,825.16M,825.16M,130.47M,152.51M,528.21M,,811.20M,264.99M,,,2.357B,,,,,,,3.846B,-2.031B,1.815B,,648.35M,648.35M,,737.93M,3.202B,5.558B,849.01M,,849.01M,,849.01M,,,163.63M,163.63M,,,,1.013B,1.218B,1.218B,112.81M,112.81M,,316.60M,1.647B,2.660B,,3.822B,252.75M,1.299B,35.14M,,2.898B,,2003-06,,
2003-03,285.47M,3.543M,289.01M,792.13M,792.13M,132.04M,149.65M,479.49M,,761.18M,245.79M,,,2.088B,,,,,,,3.677B,-1.897B,1.781B,,901.10M,901.10M,,477.03M,3.159B,5.247B,829.02M,,829.02M,,829.02M,,,485.23M,485.23M,,,,1.314B,806.28M,806.28M,110.25M,110.25M,,311.32M,1.228B,2.542B,,3.718B,206.26M,1.225B,36.31M,,2.705B,,2003-03,,
2002-12,226.43M,2.868M,229.30M,743.14M,743.14M,135.65M,146.51M,431.86M,,714.03M,238.21M,,,1.925B,,,,,,,3.685B,-1.915B,1.770B,,627.98M,627.98M,,739.23M,3.137B,5.062B,844.32M,,844.32M,,844.32M,,,430.73M,430.73M,,,,1.275B,804.32M,804.32M,108.83M,108.83M,,301.22M,1.214B,2.489B,,3.601B,188.59M,1.190B,37.09M,,2.572B,,2002-12,,
2002-09,243.12M,1.85M,244.96M,746.00M,746.00M,137.69M,132.05M,427.96M,,697.70M,240.05M,,,1.929B,0.00,61.76M,1.129B,2.430B,,,3.621B,-1.856B,1.766B,,902.25M,902.25M,,443.77M,3.112B,5.040B,224.64M,,224.64M,310.24M,534.88M,,,434.64M,434.64M,,,282.93M,1.252B,802.97M,802.97M,105.46M,105.46M,,391.61M,1.300B,2.552B,,3.514B,185.12M,1.138B,37.94M,,2.488B,,2002-09,,
2002-06,175.98M,,175.98M,735.46M,735.46M,154.05M,136.47M,433.82M,,724.34M,199.96M,,,1.836B,,,,,,,3.570B,-1.826B,1.744B,,618.70M,618.70M,,725.41M,3.088B,4.923B,809.26M,,809.26M,,809.26M,,,471.05M,471.05M,,,,1.280B,782.38M,782.38M,93.33M,93.33M,,252.62M,1.128B,2.409B,,3.408B,181.35M,1.090B,38.62M,,2.515B,,2002-06,,
2002-03,180.13M,1.959M,182.09M,737.39M,737.39M,166.69M,130.59M,399.59M,,696.87M,194.79M,,,1.811B,,,,,,,3.486B,-1.761B,1.725B,,1.144B,1.144B,,165.53M,3.034B,4.845B,777.31M,,777.31M,,777.31M,,,559.86M,559.86M,,,,1.337B,762.67M,762.67M,88.25M,88.25M,,245.98M,1.097B,2.434B,,3.314B,171.45M,1.026B,39.66M,,2.411B,,2002-03,,
2001-12,153.54M,1.981M,155.52M,657.33M,657.33M,169.94M,120.65M,413.82M,,704.40M,202.23M,,,1.719B,,,,,,,3.477B,-1.751B,1.726B,460.10M,431.16M,891.26M,,426.67M,3.044B,4.763B,819.82M,,819.82M,,819.82M,,,489.48M,489.48M,,,,1.309B,766.19M,766.19M,92.77M,92.77M,,240.22M,1.099B,2.408B,,3.211B,155.05M,991.60M,40.03M,,2.355B,,2001-12,,
2001-09,82.13M,4.571M,86.70M,768.05M,768.05M,160.21M,115.26M,432.28M,,707.74M,200.45M,,,1.763B,0.00,60.75M,1.081B,2.279B,,,3.420B,-1.704B,1.716B,431.45M,469.33M,900.78M,,422.54M,3.039B,4.802B,205.05M,,205.05M,555.49M,760.54M,,,454.01M,454.01M,50.13M,50.13M,,1.265B,783.00M,783.00M,90.12M,90.12M,,335.73M,1.209B,2.474B,,3.137B,148.69M,937.79M,40.53M,,2.329B,,2001-09,,
2001-06,71.29M,5.497M,76.79M,735.54M,735.54M,162.54M,120.72M,440.58M,,723.84M,200.81M,,,1.737B,,,,,,,3.330B,-1.671B,1.658B,,910.58M,910.58M,,381.61M,2.951B,4.688B,716.54M,,716.54M,,716.54M,,,539.36M,539.36M,,,,1.256B,772.70M,772.70M,102.85M,102.85M,,336.15M,1.212B,2.468B,,3.064B,137.47M,946.00M,41.22M,,2.220B,,2001-06,,
2001-03,79.93M,3.592M,83.52M,722.64M,722.64M,159.34M,119.62M,431.57M,,710.53M,201.34M,,,1.718B,,,,,,,3.272B,-1.649B,1.623B,,937.12M,937.12M,,365.04M,2.925B,4.643B,687.94M,,687.94M,,687.94M,,,617.31M,617.31M,,,,1.305B,778.14M,778.14M,88.96M,88.96M,,337.24M,1.204B,2.510B,,2.965B,130.43M,952.41M,41.84M,,2.134B,,2001-03,,
2000-12,79.01M,2.339M,81.35M,738.31M,738.31M,156.82M,108.99M,431.65M,,697.46M,199.19M,,,1.716B,,,,,,,3.224B,-1.621B,1.603B,,938.03M,938.03M,,337.76M,2.879B,4.595B,703.31M,,703.31M,,703.31M,,,659.18M,659.18M,,,,1.362B,781.01M,781.01M,90.16M,90.16M,,331.48M,1.203B,2.565B,,2.871B,96.18M,969.22M,42.86M,,2.030B,,2000-12,,
2000-09,49.20M,5.561M,54.76M,,751.72M,,,,,678.68M,,,175.52M,1.661B,,,,,,,3.163B,-1.587B,1.576B,,639.06M,639.06M,,629.30M,2.844B,4.505B,183.97M,,183.97M,,183.97M,,,637.74M,637.74M,,,531.84M,1.354B,779.57M,779.57M,86.49M,86.49M,,329.50M,1.196B,2.549B,,2.836B,75.08M,980.16M,43.57M,,1.956B,,2000-09,,
2000-06,76.94M,6.225M,83.16M,,753.23M,,,,,706.56M,,,165.07M,1.708B,,,,,,,3.124B,-1.586B,1.539B,,665.91M,665.91M,,647.99M,2.853B,4.561B,739.18M,,739.18M,,739.18M,,,701.24M,701.24M,,,,1.440B,787.78M,787.78M,47.06M,47.06M,,330.19M,1.165B,2.605B,,2.776B,73.00M,982.70M,44.39M,,1.955B,,2000-06,,
2000-03,65.06M,11.31M,76.37M,,768.87M,,,,,685.50M,,,177.48M,1.708B,,,,,,,3.038B,-1.552B,1.487B,,685.50M,685.50M,,650.45M,2.822B,4.531B,734.91M,,734.91M,,734.91M,,,729.72M,729.72M,,,,1.465B,819.93M,819.93M,44.12M,44.12M,,327.61M,1.192B,2.656B,,2.686B,62.21M,988.36M,45.07M,,1.874B,,2000-03,,
1999-12,70.90M,0.70M,71.60M,,791.00M,,,,,666.40M,,,173.60M,1.703B,,,,,,,2.969B,-1.526B,1.443B,,1.012B,1.012B,,334.10M,2.789B,4.492B,743.30M,,743.30M,,743.30M,,,611.30M,611.30M,,,0.10M,1.355B,953.40M,953.40M,41.40M,41.40M,,336.80M,1.332B,2.686B,,2.591B,51.90M,993.30M,45.90M,,1.805B,,1999-12,,
1999-09,59.90M,4.70M,64.60M,,812.50M,,,,,642.50M,,,164.10M,1.684B,,,,,,,2.933B,-1.502B,1.431B,,1.035B,1.035B,,287.50M,2.753B,4.437B,209.40M,,209.40M,,209.40M,,,631.30M,631.30M,,,488.60M,1.329B,954.20M,954.20M,40.70M,40.70M,,344.10M,1.339B,2.668B,,2.539B,44.60M,997.30M,46.70M,,1.769B,,1999-09,,
1999-06,67.00M,,67.00M,,737.00M,,,,,594.00M,,,194.80M,1.593B,,,,,,,2.827B,-1.472B,1.355B,,828.10M,828.10M,,307.70M,2.490B,4.083B,667.00M,,667.00M,,667.00M,,,592.60M,592.60M,,,-0.10M,1.260B,759.20M,759.20M,60.30M,60.30M,,335.90M,1.155B,2.415B,,2.485B,,,47.80M,,1.668B,,1999-06,,
1999-03,73.90M,,73.90M,,754.30M,,,,,599.60M,,,205.80M,1.634B,,,,,,,2.786B,-1.459B,1.327B,,876.70M,876.70M,,295.00M,2.498B,4.132B,,,,,,,,658.40M,658.40M,,,641.00M,1.299B,760.80M,760.80M,52.20M,52.20M,,335.30M,1.148B,2.448B,,2.473B,,,48.20M,,1.684B,,1999-03,,
1998-12,128.60M,,128.60M,,677.70M,,,,,592.20M,,,191.50M,1.59B,,,,,,,2.782B,-1.464B,1.318B,,773.90M,773.90M,,253.40M,2.345B,3.935B,656.60M,,656.60M,,656.60M,,,465.00M,465.00M,,,,1.122B,761.50M,761.50M,47.90M,47.90M,,337.50M,1.147B,2.268B,,2.405B,,,48.60M,,1.667B,,1998-12,,
1998-09,83.30M,,83.30M,,726.60M,,,,,536.80M,,,196.10M,1.543B,,,,,,,2.727B,-1.424B,1.303B,,746.30M,746.30M,,254.20M,2.303B,3.846B,208.50M,,208.50M,,208.50M,,,385.20M,385.20M,,,498.20M,1.092B,765.20M,765.20M,48.50M,48.50M,,326.60M,1.140B,2.232B,,2.351B,,,49.00M,,1.614B,,1998-09,,
1998-06,103.40M,,103.40M,,677.50M,,,,,515.20M,,,193.30M,1.489B,,,,,,,2.669B,-1.400B,1.269B,,730.10M,730.10M,,226.60M,2.226B,3.715B,631.40M,,631.40M,,631.40M,,,446.90M,446.90M,,,,1.078B,765.90M,765.90M,61.90M,61.90M,,329.20M,1.157B,2.235B,,2.298B,,,49.50M,,1.480B,,1998-06,,
