,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2006-09,167.66M,94.23M,261.89M,7.94M,,7.94M,,,,,,3.92M,,,273.75M,,,,,,,141.13M,-90.10M,51.04M,,,,,30.40M,81.44M,355.19M,3.657M,,,3.657M,10.36M,14.01M,,,,,,13.64M,13.64M,5.042M,32.70M,200.00M,,200.00M,,,,60.02M,260.02M,292.71M,0.057M,-656.65M,719.16M,,,-0.095M,62.47M
2006-06,114.96M,158.62M,273.58M,12.14M,,12.14M,,,2.128M,,2.128M,3.211M,,,291.06M,,,,,,,143.95M,-90.10M,53.85M,,,,,33.42M,87.28M,378.33M,2.84M,,,2.84M,11.33M,14.17M,,,,,,15.04M,15.04M,2.292M,31.51M,200.00M,,200.00M,,,,63.06M,263.06M,294.56M,0.057M,-629.24M,713.42M,,,-0.473M,83.77M
2006-03,182.33M,120.06M,302.39M,11.01M,,11.01M,0.279M,0.785M,2.19M,,3.254M,2.99M,,,319.65M,,,,,,,147.52M,-90.10M,57.42M,,,,,25.02M,82.44M,402.09M,3.758M,,,3.758M,9.583M,13.34M,,,,,,15.28M,15.28M,5.042M,33.67M,200.00M,,200.00M,,,,66.10M,266.10M,299.77M,0.057M,-605.66M,708.30M,,,-0.371M,102.32M
2005-12,184.51M,114.04M,298.54M,36.52M,,36.52M,0.278M,1.423M,1.203M,,2.904M,3.422M,,,341.39M,0.0,0.475M,88.09M,62.07M,,,150.63M,-90.10M,60.54M,,,,,21.57M,82.11M,423.50M,4.203M,,,4.203M,16.84M,21.04M,,,,,,17.02M,17.02M,2.292M,40.36M,200.00M,,200.00M,,,,69.14M,269.14M,309.50M,0.056M,-585.28M,700.01M,,,-0.785M,114.00M
2005-09,176.09M,131.45M,307.54M,10.54M,,10.54M,0.359M,0.328M,2.15M,,2.837M,4.043M,,,324.96M,,,,,,,141.32M,-77.28M,64.04M,,,,,30.27M,94.32M,419.28M,20.60M,,,20.60M,,20.60M,,,,,,12.92M,12.92M,,33.52M,200.00M,,200.00M,,,,49.37M,249.37M,282.89M,0.056M,-555.61M,693.43M,,,-1.493M,136.38M
2005-06,145.20M,190.61M,335.81M,16.83M,,16.83M,0.39M,0.543M,2.813M,,3.746M,2.923M,,,359.31M,,,,,,,144.65M,-77.28M,67.37M,,,,,20.27M,87.64M,446.95M,17.04M,,,17.04M,,17.04M,,,,,,12.91M,12.91M,,29.95M,200.00M,,200.00M,,,,51.94M,251.94M,281.89M,0.056M,-520.96M,687.96M,,,-2.005M,165.06M
2005-03,147.82M,206.09M,353.91M,10.37M,,10.37M,0.339M,0.266M,2.482M,,3.087M,2.49M,,,369.85M,,,,,,,146.34M,-77.28M,69.06M,,,,,31.38M,100.44M,470.29M,17.47M,,,17.47M,,17.47M,,,,,,12.46M,12.46M,,29.93M,200.00M,,200.00M,,,,54.58M,254.58M,284.51M,0.056M,-493.96M,682.58M,,,-2.893M,185.78M
2004-12,95.23M,200.75M,295.98M,43.10M,,43.10M,0.31M,0.692M,2.227M,,3.229M,1.642M,,,343.96M,0.0,0.475M,87.20M,60.67M,0.172M,,148.52M,-77.28M,71.24M,,,,,57.91M,129.15M,473.11M,18.87M,,,18.87M,,18.87M,,,,,,15.27M,15.27M,,34.14M,200.00M,,200.00M,,,,56.43M,256.43M,290.56M,0.056M,-489.83M,675.39M,,,-3.068M,182.54M
2004-09,105.05M,173.67M,278.72M,24.87M,,24.87M,0.404M,0.609M,3.253M,,4.266M,3.391M,,,311.24M,,,,,,,136.93M,-62.98M,73.94M,,,,,87.50M,161.45M,472.68M,20.28M,,,20.28M,,20.28M,,,,,,15.62M,15.62M,,35.90M,200.00M,,200.00M,,,,57.91M,257.91M,293.81M,0.055M,-492.63M,673.64M,,,-2.191M,178.87M
2004-06,122.83M,221.22M,344.05M,25.40M,,25.40M,0.40M,1.326M,9.124M,,10.85M,3.033M,,,383.33M,,,,,,,138.97M,-62.98M,75.99M,,,,,28.86M,104.84M,488.17M,15.74M,,,15.74M,,15.74M,,,,,,21.63M,21.63M,,37.37M,200.00M,,200.00M,,,,60.67M,260.67M,298.04M,0.055M,-481.55M,674.50M,,,-2.88M,190.13M
2004-03,174.03M,146.70M,320.74M,59.88M,,59.88M,0.396M,0.889M,7.813M,,9.098M,2.568M,,,392.28M,,,,,,,140.60M,-62.98M,77.62M,,,,,36.28M,113.89M,506.18M,18.95M,,,18.95M,,18.95M,,,,,,17.39M,17.39M,,36.34M,200.00M,,200.00M,,,,65.74M,265.74M,302.07M,0.055M,-467.00M,674.24M,,,-3.19M,204.11M
2003-12,118.28M,175.49M,293.77M,15.53M,,15.53M,0.388M,,8.618M,,9.006M,1.898M,,,320.21M,0.0,0.475M,85.16M,56.63M,1.443M,,143.71M,-62.98M,80.72M,,,,,78.62M,159.35M,479.56M,18.93M,,,18.93M,,18.93M,,,13.82M,,13.82M,40.17M,40.17M,,72.92M,200.00M,,200.00M,,,,68.99M,268.99M,341.91M,0.055M,-531.53M,673.12M,,,-3.997M,137.64M
2003-09,298.62M,86.06M,384.67M,9.197M,,9.197M,0.429M,0.951M,6.318M,,7.698M,2.81M,,,404.38M,,,,,,,134.08M,-50.37M,83.72M,,,,,12.41M,96.12M,500.50M,20.97M,,,20.97M,,20.97M,,,9.296M,,9.296M,24.47M,24.47M,,54.74M,200.00M,,200.00M,,,,89.56M,289.56M,344.30M,0.055M,-512.16M,670.12M,,,-1.817M,156.20M
2003-06,129.66M,144.22M,273.87M,7.871M,,7.871M,0.456M,0.626M,9.26M,,10.34M,3.063M,,,295.15M,,,,,,,135.04M,-50.37M,84.67M,,,,,15.73M,100.40M,395.55M,14.04M,,,14.04M,,14.04M,,,,,,35.02M,35.02M,,49.06M,205.15M,,205.15M,,,,3.493M,208.64M,257.70M,0.052M,-482.92M,622.93M,,,-2.219M,137.84M
2003-03,191.59M,120.40M,311.99M,7.238M,,7.238M,0.403M,1.077M,6.957M,,8.437M,2.075M,,,329.74M,,,,,,,133.02M,-50.37M,82.65M,,,,,18.05M,100.70M,430.44M,25.20M,,,25.20M,,25.20M,,,0.061M,,0.061M,34.10M,34.10M,,59.37M,200.00M,,200.00M,,,,5.46M,205.46M,264.83M,0.046M,-454.18M,622.51M,,,-2.756M,165.62M
2002-12,80.08M,184.19M,264.27M,4.017M,,4.017M,0.357M,0.261M,6.213M,,6.831M,1.829M,,,276.95M,0.0,0.475M,46.77M,41.30M,38.64M,,127.19M,-50.37M,76.82M,,,,,37.80M,114.63M,391.57M,30.31M,,,30.31M,,30.31M,,,0.15M,,0.15M,9.659M,9.659M,,40.12M,200.00M,,200.00M,,,,5.475M,205.48M,245.59M,0.044M,-424.08M,573.18M,,,-3.172M,145.98M
2002-09,75.57M,224.32M,299.89M,4.521M,,4.521M,0.368M,0.626M,5.158M,,6.152M,3.259M,,,313.82M,,,,,,,99.10M,-42.96M,56.14M,,,,,48.63M,104.77M,418.59M,24.38M,,,24.38M,,24.38M,,,0.237M,,0.237M,8.041M,8.041M,,32.65M,200.00M,,200.00M,,,,5.15M,205.15M,237.80M,0.045M,-388.38M,569.92M,,,-0.792M,180.79M
2002-06,69.37M,229.33M,298.70M,2.986M,,2.986M,,,,,5.365M,2.649M,,,309.70M,,,,,,,90.43M,-42.96M,47.46M,,,,,83.28M,130.75M,440.45M,16.93M,,,16.93M,,16.93M,,,0.324M,,0.324M,4.22M,4.22M,,21.48M,200.00M,,200.00M,,,,5.815M,205.82M,227.29M,0.044M,-355.57M,569.88M,,,-1.203M,213.16M
2002-03,135.47M,189.60M,325.07M,2.739M,,2.739M,0.401M,0.738M,3.85M,,4.989M,4.32M,,,337.12M,,,,,,,85.00M,-42.96M,42.04M,,,,,92.70M,134.75M,471.86M,17.07M,,,17.07M,,17.07M,,,0.412M,,0.412M,5.464M,5.464M,,22.94M,200.00M,0.053M,200.05M,,,,6.384M,206.44M,229.38M,0.044M,-325.14M,569.61M,,,-2.03M,242.48M
2001-12,247.39M,137.69M,385.08M,2.975M,,2.975M,0.374M,0.227M,3.372M,,3.973M,2.159M,,,394.19M,0.0,0.475M,44.80M,35.00M,2.13M,,82.41M,-42.96M,39.45M,,,,,61.76M,101.21M,495.40M,14.83M,,,14.83M,,14.83M,,,0.426M,,0.426M,6.766M,6.766M,,22.02M,200.00M,0.15M,200.15M,,,,6.87M,207.02M,229.04M,0.044M,-299.70M,567.62M,,,-1.615M,266.36M
2001-09,99.97M,140.74M,240.71M,3.547M,,3.547M,,,,,3.056M,5.415M,,,252.73M,,,,,,,73.62M,-36.20M,37.42M,,,,,28.47M,65.89M,318.61M,10.12M,,,10.12M,,10.12M,0.067M,0.456M,0.523M,,0.523M,3.772M,3.772M,,14.42M,1.416M,0.23M,1.646M,,,,7.681M,9.327M,23.74M,0.044M,-271.32M,565.44M,,,0.712M,294.87M
2001-06,142.96M,101.85M,244.81M,4.38M,,4.38M,0.508M,-0.001M,1.755M,0.001M,2.263M,1.332M,,,252.78M,,,,,,,73.82M,-36.20M,37.62M,,,,,45.89M,83.51M,336.30M,8.304M,,,8.304M,,8.304M,0.067M,0.501M,0.568M,,0.568M,4.054M,4.054M,,12.93M,1.433M,0.316M,1.749M,8.036M,,8.036M,0.29M,10.08M,23.00M,0.044M,-251.39M,564.80M,,,-0.156M,313.29M
2001-03,183.62M,90.38M,274.00M,8.608M,,8.608M,0.617M,0.499M,1.552M,,2.668M,1.357M,,,286.64M,,,,,,,73.36M,-36.20M,37.17M,,,,,25.38M,62.55M,349.18M,9.404M,,,9.404M,,9.404M,,,0.537M,,0.537M,3.682M,3.682M,0.232M,13.86M,1.45M,0.464M,1.914M,,,,9.005M,10.92M,24.77M,0.044M,-236.56M,560.98M,,,-0.063M,324.41M
2000-12,30.98M,86.63M,117.61M,13.84M,,13.84M,,,,,1.915M,0.78M,,,134.14M,,,,,,,73.13M,-36.20M,36.93M,,,,,37.20M,74.13M,208.27M,9.446M,,,9.446M,,9.446M,0.067M,0.545M,0.612M,,0.612M,3.728M,3.728M,,13.79M,1.466M,0.603M,2.069M,,,,10.29M,12.36M,26.14M,0.037M,-223.52M,406.39M,,,-0.78M,182.13M
2000-09,49.64M,67.39M,117.03M,,,9.851M,,,,,8.181M,,,1.942M,137.00M,,,,,,,72.28M,-34.62M,37.66M,,,,,41.66M,79.32M,216.32M,8.021M,,,8.021M,,8.021M,,,0.826M,,0.826M,,,3.895M,12.74M,2.177M,,2.177M,,,,10.43M,12.60M,25.35M,0.037M,-213.78M,404.92M,,,-0.202M,190.97M
2000-06,81.75M,36.11M,117.86M,,,9.568M,,,,,7.931M,,,2.104M,137.46M,,,,,,,70.55M,-33.12M,37.43M,,,,,27.22M,64.65M,202.12M,7.637M,,,7.637M,,7.637M,,,1.106M,,1.106M,,,4.284M,13.03M,2.336M,,2.336M,,,,10.78M,13.12M,26.15M,0.035M,-210.57M,386.92M,,,-0.421M,175.97M
2000-03,12.29M,44.12M,56.41M,,,8.56M,,,,,5.641M,,,2.866M,73.48M,,,,,,,68.31M,-31.68M,36.63M,,,,,21.92M,58.55M,132.03M,6.921M,,,6.921M,,6.921M,,,1.352M,,1.352M,,,4.177M,12.45M,2.52M,,2.52M,,,,11.47M,13.99M,26.44M,0.033M,-207.62M,313.70M,,,-0.516M,105.60M
1999-12,23.70M,42.50M,66.20M,,,0.60M,,,,,4.60M,,,1.60M,73.00M,,,,,,,66.70M,-30.40M,36.30M,,,,,27.70M,64.00M,137.00M,6.60M,,,6.60M,,6.60M,,,1.40M,,1.40M,,,5.30M,13.30M,2.70M,,2.70M,,,,11.50M,14.20M,27.50M,0.00,-200.30M,310.30M,,,-0.50M,109.50M
1999-09,23.50M,40.50M,64.00M,,,8.60M,,,,,,,,1.60M,74.20M,,,,,,,64.20M,-29.10M,35.10M,,,,,25.10M,60.20M,134.40M,4.50M,,,4.50M,,4.50M,,,1.20M,,1.20M,,,3.20M,8.90M,2.10M,,2.10M,,,,12.90M,15.00M,23.90M,0.00,-198.90M,309.80M,,,-0.40M,110.50M
1999-06,20.60M,,20.60M,,,5.00M,,,,,,,,50.60M,76.20M,,,,,,,63.40M,-28.20M,35.20M,,,,,28.40M,63.60M,139.80M,4.90M,,,4.90M,,4.90M,,,1.20M,,1.20M,,,2.60M,8.70M,2.50M,,2.50M,,,,13.20M,15.70M,24.40M,,-194.00M,,,,,115.40M
1999-03,21.80M,,21.80M,,,7.00M,,,,,,,,47.40M,76.20M,,,,,,,61.50M,-27.30M,34.20M,,,,,38.90M,73.10M,149.30M,6.00M,,,6.00M,,6.00M,,,1.10M,,1.10M,,,2.80M,9.90M,2.80M,,2.80M,,,,13.20M,16.00M,25.90M,,-186.20M,,,,,123.40M
1998-12,19.80M,,19.80M,,,5.70M,,,,,,,,67.40M,92.90M,,,,,,,59.60M,-26.60M,33.00M,,,,,31.00M,64.00M,156.90M,5.60M,,,5.60M,,5.60M,,,1.10M,,1.10M,,,2.70M,9.40M,3.10M,,3.10M,,,,13.20M,16.30M,25.70M,,-177.20M,,,,,131.20M
1998-09,22.60M,,22.60M,,,5.40M,,,,,,,,61.20M,89.20M,,,,,,,58.50M,-25.90M,32.60M,,,,,40.60M,73.20M,162.40M,4.40M,,,4.40M,,4.40M,,,1.80M,,1.80M,,,3.40M,9.60M,2.70M,,2.70M,,,,13.20M,15.90M,25.50M,,-171.70M,,,,,136.90M
1998-06,22.50M,,22.50M,,,12.50M,,,,,,,,53.40M,88.40M,,,,,,,55.80M,-23.60M,32.20M,,,,,44.50M,76.70M,165.10M,5.10M,,,5.10M,,5.10M,,,1.20M,,1.20M,,,2.20M,8.50M,3.60M,,3.60M,,,,15.20M,18.80M,27.30M,,-170.30M,,,,,137.80M
