,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-06,2.868B,2.302B,5.17B,2.739B,738.20M,3.477B,,,,2.546B,861.00M,622.50M,,12.68B,,,,,,,15.31B,-6.640B,8.670B,2.337B,,2.337B,,,4.067B,15.07B,27.75B,,810.70M,,,810.70M,,810.70M,68.00M,68.00M,,,4.380B,5.259B,4.546B,,4.546B,63.10M,63.10M,,,,3.146B,7.755B,13.01B,,711.20M,12.80B,3.838B,99.20M,,,-2.512B,14.74B,,,Restated
2008-03,3.145B,2.289B,5.434B,2.661B,709.00M,3.370B,,,,2.594B,529.80M,565.40M,,12.49B,,,,,,,15.16B,-6.502B,8.662B,2.378B,,2.378B,,,3.685B,14.73B,27.22B,,789.80M,,,789.80M,,789.80M,73.00M,73.00M,,,3.302B,4.164B,4.648B,,4.648B,339.30M,339.30M,,,,3.158B,8.146B,12.31B,,711.20M,13.03B,3.788B,99.20M,,,-2.523B,14.91B,,,Restated
2007-12,3.220B,1.611B,4.831B,2.674B,1.031B,3.705B,202.70M,1.803B,653.40M,2.524B,613.60M,642.80M,,12.32B,0.00,180.00M,5.544B,7.455B,,1.663B,14.84B,-6.266B,8.575B,745.70M,1.710B,2.455B,,,3.528B,14.56B,26.87B,,924.40M,,,924.40M,,924.40M,413.70M,413.70M,,,4.099B,5.437B,4.594B,,4.594B,287.50M,287.50M,,,,3.053B,7.934B,13.37B,,709.50M,11.81B,3.805B,100.50M,,,-2.717B,13.50B,,,
2007-09,2.496B,1.070B,3.566B,2.516B,422.40M,2.939B,,,,2.498B,1.070B,380.90M,,10.45B,,,,,,,14.58B,-6.136B,8.441B,2.454B,,2.454B,,,3.626B,14.52B,24.97B,,744.90M,,,744.90M,,744.90M,442.10M,442.10M,,,2.885B,4.072B,4.532B,,4.532B,55.80M,55.80M,,,,3.367B,7.955B,12.03B,,0.00,12.09B,4.457B,100.40M,-767.60M,-2.732B,-3.500B,12.95B,,,
2007-06,2.220B,783.90M,3.004B,2.414B,400.00M,2.814B,,,,2.33B,917.80M,494.90M,,9.561B,,,,,,,14.30B,-5.986B,8.310B,2.494B,,2.494B,,,3.690B,14.49B,24.06B,,719.30M,,,719.30M,,719.30M,464.20M,464.20M,,,3.362B,4.545B,4.574B,,4.574B,56.90M,56.90M,,,,3.320B,7.950B,12.50B,,0.00,11.16B,4.372B,100.40M,,,-3.875B,11.56B,,,
2007-03,2.491B,872.50M,3.364B,2.254B,452.80M,2.707B,,,,2.278B,390.60M,507.10M,,9.246B,,,,,,,14.09B,-5.882B,8.209B,2.415B,,2.415B,,,3.863B,14.49B,23.73B,,606.00M,,,606.00M,,606.00M,734.00M,734.00M,,,2.812B,4.152B,4.624B,,4.624B,57.40M,57.40M,,,,3.366B,8.047B,12.20B,,0.00,11.43B,4.299B,100.40M,,,-4.092B,11.53B,,,
2006-12,3.109B,781.70M,3.891B,2.299B,395.80M,2.694B,187.00M,1.552B,644.50M,2.270B,319.50M,519.20M,,9.694B,0.00,168.70M,4.853B,6.718B,,1.977B,13.72B,-5.564B,8.152B,,,,,,4.109B,12.26B,21.96B,,789.40M,,,789.40M,,789.40M,219.40M,219.40M,,,4.077B,5.086B,3.494B,,3.494B,62.20M,62.20M,,,,2.333B,5.889B,10.97B,,0.00,10.93B,4.280B,101.40M,560.40M,-4.685B,-4.124B,10.98B,,,
2006-09,2.170B,1.449B,3.618B,2.078B,399.60M,2.478B,,,,2.200B,744.20M,731.20M,,9.771B,,,,,,,13.73B,-5.516B,8.215B,,,,,,5.927B,14.14B,23.91B,,630.60M,,,630.60M,,630.60M,334.20M,334.20M,,,2.918B,3.883B,4.553B,,4.553B,847.80M,847.80M,,,,1.575B,6.976B,10.86B,,707.60M,11.69B,3.482B,102.60M,,,-2.725B,13.05B,,,
2006-06,2.670B,1.921B,4.591B,2.102B,415.00M,2.517B,,,,2.099B,733.00M,648.90M,,10.59B,,,,,,,13.57B,-5.480B,8.088B,,,,,,5.759B,13.85B,24.44B,,648.90M,,,648.90M,,648.90M,738.60M,738.60M,,,3.258B,4.645B,5.578B,,5.578B,759.40M,759.40M,,,,1.524B,7.862B,12.51B,,707.00M,10.82B,3.365B,102.60M,,,-2.859B,11.93B,,,
2006-03,2.458B,2.045B,4.504B,2.114B,377.40M,2.491B,,,,1.969B,735.70M,661.10M,,10.36B,,,,,,,13.27B,-5.327B,7.946B,,,,,,5.84B,13.79B,24.15B,,637.70M,,,637.70M,,637.70M,736.00M,736.00M,,,3.152B,4.526B,5.612B,,5.612B,746.70M,746.70M,,,,1.567B,7.926B,12.45B,,706.90M,10.86B,3.255B,102.60M,,,-3.030B,11.69B,,,
2005-12,3.007B,2.031B,5.038B,2.313B,448.40M,2.762B,214.70M,1.272B,471.30M,1.878B,362.00M,756.40M,,10.80B,0.00,166.80M,4.584B,6.314B,,2.071B,13.14B,-5.224B,7.912B,,,,,,5.872B,13.78B,24.58B,,781.30M,,,781.30M,,781.30M,734.70M,734.70M,,,4.200B,5.716B,5.764B,,5.764B,695.10M,695.10M,,,,1.614B,8.073B,13.79B,,706.90M,10.03B,3.324B,104.10M,,,-3.162B,10.79B,,,
2005-09,4.970B,1.262B,6.232B,2.059B,358.70M,2.418B,,,,1.950B,732.50M,614.90M,,11.95B,,,,,,,12.88B,-5.042B,7.835B,,,,,,5.022B,12.86B,24.80B,,611.30M,,,611.30M,,611.30M,629.10M,629.10M,,,3.851B,5.092B,5.881B,,5.881B,718.60M,718.60M,,,,1.729B,8.329B,13.42B,,710.20M,10.17B,3.598B,104.10M,,,-2.993B,11.38B,,,
2005-06,4.642B,760.10M,5.402B,2.086B,373.80M,2.460B,,,,1.989B,710.60M,392.40M,,10.95B,,,,,,,12.73B,-4.993B,7.738B,,,,,,4.728B,12.47B,23.42B,,608.50M,,,608.50M,,608.50M,230.60M,230.60M,,,5.623B,6.462B,4.446B,,4.446B,480.80M,480.80M,,,,1.762B,6.689B,13.15B,,709.20M,9.382B,3.324B,103.80M,,,-3.043B,10.27B,,,
2005-03,5.608B,12.60M,5.620B,2.112B,469.40M,2.582B,,,,2.198B,355.00M,501.90M,,11.26B,,,,,,,12.51B,-4.93B,7.582B,,,,,,4.400B,11.98B,23.24B,,670.50M,,,670.50M,,670.50M,233.10M,233.10M,,,4.478B,5.382B,4.357B,,4.357B,698.10M,698.10M,,,,1.205B,6.260B,11.64B,,708.60M,10.46B,3.228B,103.10M,,,-2.698B,11.60B,,,
2004-12,5.365B,2.099B,7.464B,2.059B,494.30M,2.553B,305.70M,1.356B,717.50M,2.292B,271.50M,255.30M,,12.84B,0.00,147.00M,3.570B,5.627B,,2.995B,12.34B,-4.788B,7.551B,,,,,,4.480B,12.03B,24.87B,,648.60M,,,648.60M,,648.60M,2.021B,2.021B,,,4.924B,7.594B,4.492B,,4.492B,620.40M,620.40M,,,,1.241B,6.353B,13.95B,,708.00M,9.725B,3.119B,103.80M,,,-2.528B,10.92B,,,
2004-09,2.577B,1.597B,4.174B,1.913B,429.70M,2.343B,,,,2.092B,333.00M,643.60M,,9.586B,,,,,,,12.19B,-4.708B,7.483B,,,,,,7.117B,14.60B,24.19B,,680.40M,,,680.40M,,680.40M,1.669B,1.669B,,,4.193B,6.542B,4.510B,,4.510B,,,,,,1.824B,6.334B,12.88B,,707.60M,10.53B,3.093B,103.20M,,,-2.915B,11.31B,,,
2004-06,2.397B,1.015B,3.412B,1.974B,459.30M,2.433B,,,,2.059B,295.80M,589.10M,,8.788B,,,,,,,11.80B,-4.667B,7.135B,,,,,,6.848B,13.98B,22.77B,,788.80M,,,788.80M,,788.80M,1.598B,1.598B,,,4.337B,6.724B,3.532B,,3.532B,,,,,,2.017B,5.549B,12.27B,,707.20M,9.756B,3.066B,102.80M,,,-2.928B,10.50B,,,
2004-03,2.410B,1.065B,3.476B,1.912B,500.90M,2.412B,,,,2.040B,302.20M,569.10M,,8.799B,,,,,,,11.40B,-4.555B,6.847B,,,,,,6.757B,13.60B,22.40B,,800.50M,,,800.50M,,800.50M,807.10M,807.10M,,,3.944B,5.551B,4.504B,,4.504B,,,,,,1.789B,6.293B,11.84B,,706.40M,9.885B,3.008B,103.80M,,,-2.937B,10.56B,,,
2003-12,2.756B,957.00M,3.713B,1.865B,477.60M,2.342B,315.90M,1.169B,542.10M,1.963B,249.50M,500.60M,,8.769B,0.00,124.80M,3.135B,5.306B,,2.503B,11.07B,-4.529B,6.539B,,,,,,6.380B,12.92B,21.69B,,875.90M,,,875.90M,,875.90M,196.50M,196.50M,,,4.488B,5.561B,4.688B,,4.688B,,,,,,1.675B,6.363B,11.92B,,702.30M,9.470B,2.61B,104.20M,,,-2.914B,9.765B,,,
2003-09,2.916B,950.90M,3.867B,1.666B,367.80M,2.034B,,,,1.700B,558.10M,424.60M,,8.583B,0.00,10.38B,,,,,10.38B,-4.434B,5.944B,,,,,,6.274B,12.22B,20.80B,,588.30M,,,588.30M,,588.30M,202.50M,202.50M,,,3.897B,4.688B,4.998B,,4.998B,,,,,,1.63B,6.628B,11.32B,,701.80M,9.438B,2.61B,104.20M,,,-3.161B,9.485B,,,
2003-06,2.037B,947.70M,2.985B,1.684B,423.00M,2.107B,,,,1.710B,541.60M,419.00M,,7.763B,,,,,,,10.10B,-4.408B,5.692B,,,,,,6.596B,12.29B,20.05B,,580.10M,,,580.10M,,580.10M,160.10M,160.10M,,,4.227B,4.968B,4.862B,,4.862B,,,,,,1.536B,6.397B,11.36B,,701.40M,8.675B,2.61B,104.30M,,,-3.197B,8.686B,,,
2003-03,2.204B,1.342B,3.546B,1.656B,461.60M,2.117B,,,,1.585B,536.90M,374.60M,,8.160B,,,,,,,9.683B,-4.229B,5.454B,,,,,,6.028B,11.48B,19.64B,,602.00M,,,602.00M,,602.00M,168.10M,168.10M,,,3.807B,4.577B,4.787B,,4.787B,,,,,,1.551B,6.337B,10.91B,,702.40M,8.887B,2.61B,108.70M,,,-3.363B,8.728B,,,
2002-12,1.946B,1.709B,3.655B,1.670B,403.90M,2.074B,242.70M,816.30M,482.90M,1.495B,248.10M,331.70M,,7.804B,0.00,111.00M,2.872B,5.148B,,1.415B,9.546B,-4.253B,5.293B,,,,,,5.945B,11.24B,19.04B,,676.90M,,,676.90M,,676.90M,545.40M,545.40M,,,3.841B,5.064B,4.358B,,4.358B,,,,,,1.347B,5.705B,10.77B,,702.10M,8.500B,2.61B,109.50M,,,-3.429B,8.274B,,,
2002-09,2.786B,1.549B,4.336B,1.525B,305.10M,1.830B,,,,1.378B,556.00M,212.80M,,8.313B,,,,,,,9.118B,-4.129B,4.988B,,,,,,5.618B,10.61B,18.92B,,499.40M,,,499.40M,,499.40M,884.30M,884.30M,,,3.634B,5.018B,4.363B,,4.363B,,,,,,1.278B,5.641B,10.66B,,702.90M,8.614B,2.61B,131.00M,,,-3.535B,8.262B,,,
2002-06,3.051B,1.038B,4.090B,1.655B,290.40M,1.946B,,,,1.359B,494.70M,229.30M,,8.118B,,,,,,,8.894B,-4.090B,4.804B,,,,,,4.622B,9.426B,17.54B,,555.90M,,,555.90M,,555.90M,479.40M,479.40M,,,4.050B,5.086B,3.499B,,3.499B,,,,,,1.212B,4.711B,9.797B,,702.80M,7.936B,2.61B,110.30M,,,-3.391B,7.747B,,,
2002-03,2.881B,977.10M,3.858B,1.499B,234.30M,1.734B,,,,1.097B,520.10M,215.20M,,7.424B,,,,,,,8.557B,-3.958B,4.599B,,,,,,5.036B,9.635B,17.06B,,510.40M,,,510.40M,,510.40M,472.40M,472.40M,,,3.850B,4.833B,3.383B,,3.383B,,,,,,1.142B,4.526B,9.359B,,703.20M,8.055B,2.61B,110.10M,,,-3.558B,7.700B,,,
2001-12,2.702B,1.029B,3.731B,1.406B,289.00M,1.695B,264.90M,489.60M,315.10M,1.060B,229.20M,223.30M,,6.939B,0.00,99.80M,2.593B,4.777B,,945.70M,8.415B,-3.883B,4.532B,,,,,,4.963B,9.495B,16.43B,,624.10M,,,624.10M,,624.10M,286.30M,286.30M,,,4.293B,5.203B,3.132B,,3.132B,,,,,,995.00M,4.127B,9.330B,,702.70M,7.411B,2.61B,107.40M,,,-3.512B,7.104B,,,
2001-09,2.646B,945.30M,3.592B,1.403B,285.20M,1.688B,,,,1.052B,415.20M,230.30M,,6.977B,0.00,8.214B,,,,,8.214B,-3.807B,4.407B,,,,,,5.014B,9.420B,16.40B,,483.40M,,,483.40M,,483.40M,438.40M,438.40M,,,3.861B,4.783B,3.154B,,3.154B,,,,,,1.093B,4.247B,9.030B,,703.20M,7.587B,2.61B,108.50M,,,-3.425B,7.367B,,,
2001-06,2.972B,527.10M,3.499B,1.522B,254.50M,1.776B,,,,956.80M,433.50M,199.00M,,6.864B,0.00,7.919B,,,,,7.919B,-3.675B,4.243B,,,,,,4.526B,8.769B,15.63B,,477.50M,,,477.50M,,477.50M,430.00M,430.00M,,,4.045B,4.953B,2.898B,,2.898B,90.70M,90.70M,,,,928.10M,3.917B,8.870B,,703.30M,7.058B,2.61B,108.80M,,,-3.499B,6.763B,,,
2001-03,3.231B,514.30M,3.746B,1.471B,293.50M,1.765B,,,,883.30M,377.10M,97.30M,,6.868B,,,,,,,7.793B,-3.618B,4.175B,,,,,,3.710B,7.884B,14.75B,,495.40M,,,495.40M,,495.40M,432.50M,432.50M,,,3.541B,4.469B,2.656B,,2.656B,89.00M,89.00M,,,,944.10M,3.690B,8.159B,,703.10M,6.867B,2.61B,108.60M,,,-3.478B,6.594B,,,
2000-12,4.115B,503.30M,4.618B,1.966B,,1.966B,,,,883.10M,,,475.60M,7.943B,,,,,,,7.785B,-3.608B,4.177B,,,,,,2.571B,6.748B,14.69B,,661.90M,,,661.90M,,661.90M,184.30M,184.30M,,,4.114B,4.961B,2.634B,,2.634B,91.60M,91.60M,,,,957.90M,3.683B,8.644B,,704.40M,6.223B,2.61B,109.50M,,,-3.381B,6.047B,,,
2000-09,3.116B,738.50M,3.855B,,,1.635B,,,,905.00M,,,497.50M,6.892B,,,,,,,7.526B,-3.523B,4.004B,,108.10M,108.10M,,,2.581B,6.693B,13.58B,,375.90M,,,375.90M,,375.90M,45.00M,45.00M,,,3.273B,3.694B,2.785B,,2.785B,77.50M,77.50M,,,,964.00M,3.827B,7.521B,,704.90M,6.259B,2.61B,109.30M,,,-3.401B,6.064B,,,
2000-06,3.370B,256.60M,3.627B,,,1.658B,,,,935.80M,,,530.80M,6.752B,,,,,,,7.468B,-3.477B,3.992B,,106.30M,106.30M,,,2.179B,6.278B,13.03B,,390.00M,,,390.00M,,390.00M,50.10M,50.10M,,,3.156B,3.597B,2.797B,,2.797B,133.90M,133.90M,,,,988.20M,3.920B,7.516B,,705.70M,5.631B,2.61B,107.40M,,,-3.326B,5.514B,,,
2000-03,3.798B,37.00M,3.835B,,,1.645B,,,,899.60M,,,573.70M,6.953B,,,,,,,7.372B,-3.425B,3.946B,,110.00M,110.00M,,,1.685B,5.741B,12.69B,,395.00M,,,395.00M,,395.00M,51.80M,51.80M,,,2.780B,3.226B,2.783B,,2.783B,81.70M,81.70M,,,,944.60M,3.809B,7.036B,,681.30M,5.718B,,106.80M,,,-633.60M,5.658B,,,
1999-12,3.700B,135.60M,3.836B,1.843B,,1.843B,,,,899.60M,,,477.10M,7.056B,,,,,,,7.347B,-3.366B,3.982B,,118.60M,118.60M,,,1.670B,5.770B,12.83B,,445.50M,,,445.50M,,445.50M,241.50M,241.50M,,,3.248B,3.935B,2.812B,,2.812B,137.00M,137.00M,,,,927.90M,3.877B,7.812B,,682.00M,4.986B,,108.30M,,,-546.30M,5.013B,,,
1999-09,3.292B,66.30M,3.358B,,,1.396B,,,,1.029B,,,812.00M,6.595B,,,,,,,7.210B,-3.322B,3.889B,,125.80M,125.80M,,,1.721B,5.736B,12.33B,,439.90M,,,439.90M,,439.90M,345.70M,345.70M,,,2.402B,3.187B,2.816B,,2.816B,329.90M,329.90M,,,,1.131B,4.277B,7.464B,,682.40M,4.804B,,108.30M,,,-511.60M,4.866B,,,
1999-06,2.032B,,2.032B,,,1.611B,,,,943.40M,,,661.20M,5.248B,,,,,,,7.082B,-3.229B,3.853B,,119.90M,119.90M,,,1.599B,5.573B,10.82B,,345.20M,,,345.20M,,345.20M,358.70M,358.70M,,,2.336B,3.040B,1.979B,,1.979B,216.50M,216.50M,,,,1.134B,3.330B,6.369B,,,4.426B,,,,,,4.451B,,,
1999-03,2.404B,,2.404B,,,1.687B,,,,929.80M,,,679.40M,5.700B,,,,,,,7.036B,-3.183B,3.853B,,120.70M,120.70M,,,1.552B,5.525B,11.23B,,319.00M,,,319.00M,,319.00M,356.70M,356.70M,,,2.443B,3.119B,1.982B,,1.982B,234.40M,234.40M,,,,1.030B,3.247B,6.366B,,,4.797B,,,,,,4.86B,,,
1998-12,1.496B,,1.496B,,,2.244B,,,,999.90M,,,667.50M,5.407B,,,,,,,7.274B,-3.178B,4.096B,,1.518B,1.518B,,,1.574B,7.189B,12.60B,,1.186B,,,1.186B,,1.186B,181.40M,181.40M,,,3.240B,4.607B,2.186B,,2.186B,247.90M,247.90M,,,,1.125B,3.559B,8.166B,,,4.229B,,,,,,4.430B,,,
1998-09,1.544B,,1.544B,,,1.988B,,,,1.028B,,,770.20M,5.330B,,,,,,,7.163B,-3.117B,4.046B,,1.501B,1.501B,,,1.704B,7.251B,12.58B,,881.80M,,,881.80M,,881.80M,397.40M,397.40M,,,2.729B,4.008B,2.269B,,2.269B,516.60M,516.60M,,,160.00M,1.119B,3.904B,7.912B,,,4.326B,,,,,,4.509B,,,
1998-06,1.315B,,1.315B,,,1.818B,,,,985.20M,,,679.30M,4.798B,,,,,,,7.092B,-3.047B,4.045B,,1.508B,1.508B,,,1.518B,7.071B,11.87B,,897.10M,,,897.10M,,897.10M,195.10M,195.10M,,,2.355B,3.447B,2.308B,,2.308B,408.20M,408.20M,,,160.00M,904.40M,3.620B,7.067B,,,4.524B,,,,,,4.642B,,,
1998-03,1.265B,,1.265B,,,1.834B,,,,977.80M,,,702.80M,4.779B,,,,,,,7.015B,-2.973B,4.042B,,1.521B,1.521B,,,1.705B,7.268B,12.05B,,841.40M,,,841.40M,,841.40M,220.00M,220.00M,,,2.469B,3.530B,2.337B,,2.337B,333.60M,333.60M,,,160.00M,892.10M,3.563B,7.093B,,,4.552B,,,,,,4.793B,,,
1997-12,1.948B,,1.948B,,,1.883B,,,,900.70M,,,589.30M,5.321B,,,,,,,7.035B,-2.933B,4.102B,,1.550B,1.550B,,,1.604B,7.257B,12.58B,,985.50M,,,985.50M,,985.50M,227.60M,227.60M,,,2.978B,4.192B,2.326B,,2.326B,215.50M,215.50M,,,160.00M,1.039B,3.580B,7.772B,,,4.483B,,,,,,4.646B,,,
1997-09,1.504B,,1.504B,,,1.736B,,,,914.70M,,,454.60M,4.609B,,,,,,,7.023B,-2.928B,4.095B,,1.544B,1.544B,,,1.571B,7.210B,11.82B,,729.50M,,,729.50M,,729.50M,423.40M,423.40M,,,2.494B,3.647B,2.344B,,2.344B,387.60M,387.60M,,,,1.050B,3.781B,7.428B,,,5.302B,,,,,,4.391B,,,
1997-06,1.853B,,1.853B,,,1.665B,,,,945.80M,,,527.90M,4.992B,,,,,,,7.040B,-2.883B,4.156B,,1.557B,1.557B,,,1.583B,7.297B,12.29B,,815.40M,,,815.40M,,815.40M,578.00M,578.00M,,,2.306B,3.700B,2.502B,,2.502B,401.60M,401.60M,,,,1.016B,3.919B,7.619B,,,5.634B,,,,,,4.670B,,,
1997-03,1.042B,,1.042B,,,1.795B,,,,876.30M,,,562.50M,4.276B,,,,,,,7.002B,-2.808B,4.194B,,3.995B,3.995B,,,2.049B,10.24B,14.51B,,694.80M,,,694.80M,,694.80M,1.334B,1.334B,,,2.033B,4.062B,2.510B,,2.510B,375.40M,375.40M,,,,997.40M,3.882B,7.944B,,,7.629B,,,,,,6.570B,,,
1996-12,813.70M,,813.70M,1.737B,,1.737B,,,,881.40M,,,459.10M,3.891B,,,,,,,7.096B,-2.789B,4.307B,,4.028B,4.028B,,,2.081B,10.42B,14.31B,,829.30M,,,829.30M,,829.30M,1.213B,1.213B,,,2.18B,4.222B,2.516B,,2.516B,376.00M,376.00M,,,,1.092B,3.985B,8.207B,,,7.207B,,,,,,6.100B,,,
1996-09,738.10M,,738.10M,,,1.791B,,,,878.30M,,,453.10M,3.861B,,,,,,,7.008B,-2.722B,4.286B,,4.039B,4.039B,,,1.867B,10.19B,14.05B,,707.50M,,,707.50M,,707.50M,1.499B,1.499B,,,1.987B,4.194B,2.582B,,2.582B,332.30M,332.30M,,,,917.40M,3.832B,8.026B,,,7.232B,,,,,,6.027B,,,
1996-06,1.125B,,1.125B,,,1.682B,,,,870.40M,,,381.60M,4.059B,,,,,,,6.886B,-2.646B,4.241B,,4.085B,4.085B,,,1.875B,10.20B,14.26B,,845.90M,,,845.90M,,845.90M,1.951B,1.951B,,,1.720B,4.517B,2.587B,,2.587B,306.30M,306.30M,,,,954.70M,3.848B,8.365B,,,7.014B,,,,,,5.894B,,,
1996-03,898.40M,,898.40M,,,1.750B,,,,843.70M,,,355.50M,3.848B,,,,,,,6.837B,-2.623B,4.214B,,4.114B,4.114B,,,1.985B,10.31B,14.16B,,815.40M,,,815.40M,,815.40M,2.028B,2.028B,,,1.594B,4.436B,2.576B,,2.576B,309.40M,309.40M,,,,992.70M,3.878B,8.315B,,,6.882B,,,,,,5.846B,,,
1995-12,999.50M,,999.50M,,,1.808B,,,,839.60M,,,491.10M,4.139B,,,,,,,6.828B,-2.589B,4.239B,,4.105B,4.105B,,,1.929B,10.27B,14.41B,,1.018B,,,1.018B,,1.018B,1.909B,1.909B,,,2.040B,4.967B,2.593B,,2.593B,295.50M,295.50M,,,,1.124B,4.013B,8.980B,,,6.484B,,,,,,5.433B,,,
1995-09,976.20M,,976.20M,,,1.779B,,,,834.00M,,,521.50M,4.111B,,,,,,,6.756B,-2.592B,4.164B,,4.027B,4.027B,,,1.949B,10.14B,14.25B,,776.10M,,,776.10M,,776.10M,2.581B,2.581B,,,1.958B,5.315B,2.118B,,2.118B,275.20M,275.20M,,,,1.057B,3.450B,8.765B,,,6.670B,,,,,,5.486B,,,
1995-06,989.70M,,989.70M,,,1.856B,,,,903.40M,,,660.80M,4.410B,,,,,,,7.221B,-2.754B,4.468B,,4.353B,4.353B,,,1.867B,10.69B,15.10B,,874.10M,,,874.10M,,874.10M,3.169B,3.169B,,,1.610B,5.653B,2.102B,,2.102B,226.40M,226.40M,,,,1.142B,3.470B,9.123B,,,5.614B,,,,,,5.974B,,,
1995-03,978.80M,,978.80M,,,1.925B,,,,901.10M,,,628.90M,4.434B,,,,,,,7.102B,-2.685B,4.417B,,4.379B,4.379B,,,1.731B,10.53B,14.96B,,783.70M,,,783.70M,,783.70M,3.62B,3.62B,,,1.725B,6.129B,1.639B,,1.639B,218.70M,218.70M,,,,1.139B,2.996B,9.126B,,,5.467B,,,,,,5.835B,,,
1994-12,536.90M,,536.90M,,,1.835B,,,,968.90M,,,621.90M,3.962B,,,,,,,7.026B,-2.615B,4.412B,,4.412B,4.412B,,,1.722B,10.55B,14.51B,,878.20M,,,878.20M,,878.20M,2.724B,2.724B,,,2.067B,5.670B,2.126B,,2.126B,188.90M,188.90M,,,,1.168B,3.482B,9.152B,,,5.062B,,,,,,5.356B,,,
1994-09,999.60M,,999.60M,,,1.090B,,,,1.042B,,,1.045B,4.177B,,,,,,,6.880B,-2.588B,4.293B,,400.50M,400.50M,,,1.638B,6.331B,10.51B,,207.60M,,,207.60M,,207.60M,738.50M,738.50M,,,1.777B,2.723B,1.174B,,1.174B,164.20M,164.20M,,,,1.132B,2.470B,5.193B,,,5.144B,,,,,,5.315B,,,
1994-06,706.80M,,706.80M,,,995.40M,,,,1.131B,,,1.166B,3.999B,,,,,,,6.842B,-2.553B,4.289B,,398.10M,398.10M,,,1.491B,6.178B,10.18B,,208.70M,,,208.70M,,208.70M,676.30M,676.30M,,,1.663B,2.548B,1.173B,,1.173B,179.20M,179.20M,,,,1.128B,2.480B,5.028B,,,5.001B,,,,,,5.149B,,,
1994-03,604.90M,,604.90M,,,1.003B,,,,1.095B,,,1.138B,3.841B,,,,,,,6.671B,-2.466B,4.206B,,404.90M,404.90M,,,1.358B,5.968B,9.809B,,221.00M,,,221.00M,,221.00M,772.00M,772.00M,,,1.729B,2.722B,854.70M,,854.70M,145.60M,145.60M,,,,1.146B,2.146B,4.868B,,,4.835B,,,,,,4.941B,,,
1993-12,539.60M,,539.60M,,,950.10M,,,,1.103B,,,1.104B,3.697B,,,,,,,6.566B,-2.366B,4.200B,,1.239B,1.239B,,,487.70M,5.926B,9.624B,,329.60M,,,329.60M,,329.60M,524.80M,524.80M,,,2.074B,2.928B,835.20M,,835.20M,127.50M,127.50M,,,,1.164B,2.127B,5.055B,,,4.501B,,,,,,4.569B,,,
1993-09,636.10M,,636.10M,,,918.20M,,,,1.147B,,,756.50M,3.458B,,,,,,,6.406B,-2.268B,4.138B,,1.542B,1.542B,,,187.90M,5.867B,9.325B,,203.30M,,,203.30M,,203.30M,463.60M,463.60M,,,1.324B,1.990B,939.90M,,939.90M,224.40M,224.40M,,,,699.30M,1.864B,3.854B,,,5.384B,,,,,,5.471B,,,
1993-06,447.70M,,447.70M,,,116.00M,,,,1.061B,,,1.692B,3.316B,,,,,,,6.255B,-2.186B,4.069B,,1.487B,1.487B,,,226.10M,5.782B,9.099B,,208.50M,,,208.50M,,208.50M,709.70M,709.70M,,,1.167B,2.085B,786.10M,,786.10M,210.30M,210.30M,,,,662.80M,1.659B,3.744B,,,5.267B,,,,,,5.355B,,,
1993-03,594.60M,,594.60M,,,1.022B,,,,1.018B,,,699.70M,3.334B,,,,,,,6.192B,-2.113B,4.079B,,1.393B,1.393B,,,249.60M,5.721B,9.055B,,210.50M,,,210.50M,,210.50M,780.80M,780.80M,,,1.173B,2.164B,779.70M,,779.70M,237.00M,237.00M,,,,653.00M,1.670B,3.834B,,,5.098B,,,,,,5.221B,,,
1992-12,432.40M,,432.40M,,,1.051B,,,,938.40M,,,584.10M,3.006B,,,,,,,6.148B,-2.076B,4.072B,,1.352B,1.352B,,,242.50M,5.667B,8.673B,,323.60M,,,323.60M,,323.60M,591.20M,591.20M,,,1.484B,2.399B,582.30M,,582.30M,169.70M,169.70M,,,,630.10M,1.382B,3.781B,,,4.743B,,,,,,4.892B,,,
