,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2003-03,407.00M,,,,243.30M,144.60M,144.60M,166.20M,,,-13.70M,,-358.40M,-358.40M,589.00M,,-278.60M,,-278.60M,,,337.00M,-57.40M,1.00M,,,,65.30M,17.70M,-65.60M,-47.90M,,-360.50M,,-343.10M,,1.946B,246.90M,11.30M,2.204B,,17.70M,,,-65.60M,,,
2002-12,736.30M,,,,10.80M,99.70M,99.70M,3.10M,,,-9.80M,,1.397B,-145.10M,695.00M,,-390.90M,,-354.10M,,,-240.10M,-68.80M,-663.00M,,,,-361.60M,16.00M,-141.30M,-125.30M,,-333.80M,,-820.70M,,2.786B,-788.70M,-51.60M,1.946B,,16.00M,,,-141.30M,,,
2002-09,683.90M,,,,54.60M,130.60M,130.60M,-46.90M,,,26.40M,,-279.40M,-279.40M,569.20M,,-320.20M,,-320.20M,,,-1.087B,-135.80M,-1.543B,,,,1.092B,9.80M,-65.80M,-56.00M,,-334.50M,,701.90M,,3.051B,-272.20M,7.20M,2.786B,,9.80M,,,-65.80M,,,
2002-06,658.50M,,,,,131.30M,131.30M,324.90M,,,-1.30M,,-545.10M,-545.10M,568.30M,,-227.10M,,-227.10M,,,188.70M,-60.80M,-99.20M,,,,18.10M,11.20M,-122.50M,-111.30M,,-333.50M,,-426.70M,,2.881B,42.40M,127.90M,3.051B,,11.20M,,,-122.50M,,,
2002-03,629.20M,,,,,131.40M,131.40M,65.40M,,,-15.30M,,-572.50M,-572.50M,238.20M,,-192.70M,,-192.70M,,,74.50M,-50.70M,-168.90M,,,,485.50M,27.60M,-55.60M,-28.00M,,-334.00M,,123.50M,,2.702B,192.80M,-14.20M,2.881B,,27.60M,,,-55.60M,,,
2001-12,575.40M,,,,92.60M,77.60M,77.60M,27.40M,,,-5.50M,,390.50M,313.10M,1.081B,,-313.40M,,-281.80M,,,-29.40M,-174.00M,-485.20M,,,,-104.30M,26.10M,-124.20M,-98.10M,,-301.80M,,-504.20M,,2.646B,91.20M,-35.20M,2.702B,,26.10M,,,-124.20M,,,
2001-09,570.10M,,,,137.70M,129.50M,129.50M,88.40M,,,-15.00M,,122.70M,122.70M,1.033B,,-228.00M,,-228.00M,,,-865.70M,-145.70M,-1.239B,,,,183.50M,-2.00M,-58.60M,-60.60M,,-302.10M,,-179.20M,,2.972B,-385.20M,59.70M,2.646B,,-2.00M,,,-58.60M,,,
2001-06,827.70M,,,,,127.40M,127.40M,180.40M,,,-14.90M,,-100.60M,-100.60M,1.02B,,-188.60M,,-188.60M,,,-954.50M,-30.50M,-1.174B,,,,240.60M,42.70M,-55.90M,-13.20M,,-301.30M,,-73.90M,,3.231B,-227.50M,-32.00M,2.972B,,42.70M,,,-55.90M,,,
2001-03,806.80M,,,,,120.40M,120.40M,-22.40M,,,35.40M,,-412.60M,-412.60M,527.60M,,-154.00M,,-154.00M,,,-893.10M,-19.50M,-1.067B,,,,274.90M,42.70M,-307.00M,-264.30M,,-302.00M,,-291.40M,,4.115B,-830.40M,-53.20M,3.231B,,42.70M,,,-307.00M,,,
2000-12,767.30M,,,,117.30M,75.90M,75.90M,-367.80M,,,-84.30M,,-206.20M,571.50M,1.080B,,-244.90M,,-244.90M,,,1.934B,-1.266B,423.20M,,,,-13.80M,53.90M,-298.60M,-244.70M,,-281.00M,,-539.50M,,3.116B,963.60M,35.10M,4.115B,,53.90M,,,-298.60M,,,
2000-09,778.80M,,,,0.00,122.50M,122.50M,-162.60M,,,112.60M,,389.00M,389.00M,1.240B,,-157.00M,,-157.00M,,,-720.50M,-30.80M,-908.30M,,,,-14.50M,4.10M,-251.80M,-247.70M,,-281.70M,,-543.90M,,3.370B,-211.90M,-42.40M,3.116B,,4.10M,,,-251.80M,,,
2000-06,666.20M,,,,0.00,121.20M,121.20M,102.10M,,,2.60M,,-91.00M,-91.00M,801.10M,,-166.00M,,-166.00M,,,-541.80M,-43.20M,-751.00M,,,,-6.40M,75.70M,-260.60M,-184.90M,,-281.10M,,-472.40M,,3.798B,-422.30M,-5.00M,3.370B,,75.70M,,,-260.60M,,,
2000-03,845.50M,,,,-214.40M,116.20M,116.20M,-14.40M,,,-30.90M,,-91.80M,-91.80M,610.20M,,-110.00M,,-110.00M,,,312.50M,-22.90M,179.60M,,,,-194.40M,44.70M,-241.80M,-197.10M,,-282.20M,,-673.70M,,3.700B,116.10M,-18.70M,3.798B,,44.70M,,,-241.80M,,,
1999-12,786.30M,,,,-7.90M,99.30M,99.30M,-157.20M,,,-84.50M,,741.00M,315.20M,951.20M,,-208.10M,78.30M,-129.80M,,,-36.80M,-23.90M,-190.50M,,,,-106.90M,178.20M,-160.30M,17.90M,,-249.00M,,-338.00M,,3.292B,422.70M,-14.20M,3.700B,,178.20M,,,-160.30M,,,
1999-09,732.60M,,,,739.40M,116.00M,116.00M,174.80M,,,39.60M,,-741.00M,-741.00M,1.061B,,-14.90M,1.60B,1.585B,,,1.30M,-1.693B,-106.30M,,,,818.10M,132.00M,-402.20M,-270.20M,,-249.30M,,298.60M,,0.00,1.254B,6.50M,3.292B,,132.00M,,,-402.20M,,,
1999-06,576.40M,,,,-739.40M,112.00M,112.00M,11.60M,,,45.70M,,710.00M,710.00M,716.30M,,-220.60M,-1.60B,-1.821B,,,-12.50M,1.655B,-177.80M,,,,0.70M,-149.50M,-491.30M,-640.80M,,-250.60M,,-890.70M,,2.404B,-352.20M,-20.50M,0.00,,-149.50M,,,-491.30M,,,
1999-03,625.70M,,,,-134.40M,112.40M,112.40M,-2.10M,,,-0.80M,,-710.00M,-710.00M,-109.20M,,-84.70M,1.60B,1.515B,,,101.30M,-55.30M,1.561B,,,,-21.30M,149.50M,-399.20M,-249.70M,,-251.60M,,-522.60M,,1.496B,929.50M,-20.80M,2.404B,,149.50M,,,-399.20M,,,
1998-12,567.30M,,,,-85.80M,131.60M,131.60M,-107.80M,,,441.10M,,,109.10M,1.056B,,-155.80M,30.60M,-125.20M,,,58.00M,-38.10M,-105.30M,,,,-303.90M,,-893.90M,-479.90M,,-215.40M,,-999.20M,,1.544B,-49.00M,1.20M,1.496B,,,,,-893.90M,,,
1998-09,518.20M,,,,605.30M,122.40M,122.40M,-71.40M,,,-391.60M,,,,782.90M,,-51.30M,,-51.30M,,,25.10M,-82.00M,-108.20M,,,,164.90M,,-414.70M,-414.70M,,-221.60M,,-471.40M,,0.00,203.30M,25.00M,1.544B,,,,,-414.70M,,,
1998-06,491.30M,,,,-605.30M,117.20M,117.20M,96.20M,,,-43.20M,,677.90M,677.90M,734.10M,,-135.10M,-24.60M,-159.70M,,,120.40M,7.40M,-31.90M,,,,-40.50M,,-402.10M,-402.10M,,-220.00M,,-662.60M,,1.265B,39.60M,10.90M,0.00,,,,,-402.10M,,,
1998-03,528.30M,,,,-7.20M,119.20M,119.20M,108.40M,,,-13.50M,,-677.90M,-677.90M,57.30M,,-77.70M,24.60M,-53.10M,,,12.00M,-7.40M,-48.50M,,,,3.10M,,-461.90M,-461.90M,,-220.70M,,-679.50M,,1.948B,-670.70M,-12.10M,1.265B,,,,,-461.90M,,,
1997-12,457.50M,,,,0.00,110.00M,110.00M,-248.50M,,,5.10M,,154.50M,634.90M,959.00M,,-152.60M,21.90M,-130.70M,,,-126.50M,-9.80M,-267.00M,,,,-207.80M,365.40M,-171.80M,193.60M,,-223.20M,,-237.40M,,1.504B,454.60M,-11.20M,1.948B,,365.40M,,,-171.80M,,,
1997-09,456.90M,,,,-7.90M,124.80M,124.80M,-56.00M,,,-9.30M,,-14.20M,-14.20M,494.30M,,-77.70M,11.10M,-66.60M,,0.50M,47.10M,-5.90M,-24.90M,,,,-306.30M,-97.50M,-179.50M,-277.00M,,-198.00M,,-781.30M,,1.853B,-311.90M,-37.00M,1.504B,,-97.50M,,,-179.50M,,,
1997-06,-1.732B,,,,2.134B,136.00M,136.00M,164.90M,,,-40.90M,,-18.50M,-18.50M,643.40M,,-77.30M,1.20B,1.123B,,-0.30M,-20.60M,-2.40M,1.099B,,,,-759.10M,44.50M,,44.50M,,-198.90M,,-913.50M,,1.042B,829.30M,-18.40M,1.853B,,44.50M,,,,,,
1997-03,432.60M,,,,,139.00M,139.00M,-153.40M,,,7.30M,,-121.80M,-121.80M,303.70M,,-58.70M,,-58.70M,,-0.20M,77.20M,-16.10M,2.20M,,,,122.50M,53.00M,,53.00M,,-197.90M,,-22.40M,,813.70M,283.50M,-55.10M,1.042B,,53.00M,,,,,,
1996-12,373.00M,,,,,138.70M,138.70M,59.40M,,,57.80M,,259.60M,74.50M,703.40M,,-83.00M,,-71.80M,,-3.80M,-35.30M,-8.70M,-119.60M,,,,-381.30M,,-142.70M,75.70M,,-190.90M,,-496.50M,,738.10M,87.30M,-11.70M,813.70M,,,,,-142.70M,,,
1996-09,415.60M,,,,,135.90M,135.90M,-3.40M,,,15.50M,,-83.20M,-83.20M,480.40M,,-128.10M,,-128.10M,,-4.20M,11.20M,-12.30M,-133.40M,,,,-450.20M,,-102.10M,-102.10M,,-187.20M,,-739.50M,,1.125B,-392.50M,5.60M,738.10M,,,,,-102.10M,,,
1996-06,345.70M,,,,,136.20M,136.20M,-5.90M,,,-108.40M,,219.00M,219.00M,586.60M,,-131.70M,,-131.70M,,-3.10M,146.90M,-10.20M,1.90M,,,,-89.50M,,-61.90M,-61.90M,,-187.50M,,-338.90M,,898.40M,249.60M,-23.00M,1.125B,,,,,-61.90M,,,
1996-03,389.20M,,,,,132.70M,132.70M,157.20M,,,-62.70M,,-395.40M,-395.40M,221.00M,,-101.10M,,-101.10M,,-86.00M,-20.20M,-9.60M,-216.90M,,,,109.20M,,-7.80M,-7.80M,,-187.60M,,-86.20M,,999.50M,-82.10M,-19.00M,898.40M,,,,,-7.80M,,,
1995-12,342.60M,,,,-11.50M,133.90M,133.90M,7.70M,,,53.60M,,473.00M,240.30M,766.60M,,-158.20M,,-136.70M,,-36.80M,-41.70M,-52.40M,-267.60M,,,,-233.60M,,-106.10M,-51.40M,,-187.30M,,-472.30M,,976.20M,26.70M,-3.40M,999.50M,,,,,-106.10M,,,
1995-09,1.228B,,,,-910.00M,140.50M,140.50M,31.20M,,,41.90M,,-220.40M,-220.40M,311.20M,,-147.40M,,-147.40M,,48.40M,73.30M,7.20M,-18.50M,,,,-112.20M,,15.10M,15.10M,,-186.50M,,-283.60M,,989.70M,9.10M,-22.60M,976.20M,,,,,15.10M,,,
1995-06,327.10M,,,,,139.20M,139.20M,44.20M,,,-83.40M,,35.90M,35.90M,463.00M,,-148.80M,,-148.80M,,-20.00M,-46.60M,-5.50M,-220.90M,,,,-16.40M,,-42.60M,-42.60M,,-186.80M,,-245.80M,,978.80M,-3.70M,14.60M,989.70M,,,,,-42.60M,,,
1995-03,393.20M,,,,,140.10M,140.10M,60.90M,,,-21.90M,,-288.50M,-288.50M,283.80M,,-96.90M,,-96.90M,,-28.40M,72.90M,-3.40M,-55.80M,,,,397.00M,,-22.40M,-22.40M,,-186.60M,,188.00M,,536.90M,416.00M,25.90M,978.80M,,,,,-22.40M,,,
1994-12,290.10M,,,,-58.40M,,,44.50M,,,-154.60M,,410.20M,-11.10M,542.70M,,-228.10M,,-169.40M,,-3.976B,291.20M,-7.60M,-3.862B,,,,2.862B,,-69.00M,-18.50M,,-180.80M,,2.856B,,999.60M,-463.30M,0.60M,536.90M,,,,,-69.00M,,,
1994-09,318.70M,,,,44.60M,,,34.10M,,,109.40M,,-4.50M,-4.50M,502.30M,,-97.30M,,-97.30M,,-74.90M,100.60M,-17.70M,-89.30M,,,,66.40M,,-12.80M,-12.80M,,-180.60M,,-127.00M,,706.80M,286.00M,6.80M,999.60M,,,,,-12.80M,,,
1994-06,346.60M,,,,-42.20M,,,33.20M,,,30.50M,,-48.90M,-48.90M,319.20M,,-139.20M,,-139.20M,,,-104.70M,-13.60M,-257.50M,,,,223.40M,,-15.30M,-15.30M,,-180.70M,,27.40M,,604.90M,89.10M,12.80M,706.80M,,,,,-15.30M,,,
1994-03,330.70M,,,,56.00M,,,60.40M,,,77.80M,,-356.80M,-356.80M,168.10M,,-111.90M,,-111.90M,,,-50.60M,-34.00M,-196.50M,,,,276.10M,,-13.90M,-13.90M,,-181.00M,,81.20M,,539.60M,52.80M,12.50M,604.90M,,,,,-13.90M,,,
1993-12,-523.60M,,,,,,,-285.00M,,,779.30M,288.40M,,159.30M,528.30M,,-212.40M,,-207.00M,,,-152.00M,-41.60M,-400.60M,,,,-43.70M,,-17.60M,2.20M,,-177.10M,,-218.60M,,0.00,-90.90M,-5.60M,0.00,,,,,-17.60M,,,
1993-09,294.40M,,,,,,,53.40M,,,40.90M,102.60M,,102.60M,491.30M,,-137.10M,,-137.10M,,,153.10M,-45.90M,-29.90M,,,,-96.10M,,1.00M,1.00M,,-177.10M,,-272.20M,,0.00,189.20M,-0.80M,0.00,,,,,1.00M,,,
1993-06,346.80M,,,,,,,,,,60.10M,-84.90M,,-84.90M,322.00M,,-146.00M,,-146.00M,,,-55.40M,-13.40M,-214.80M,,,,-59.40M,,-8.00M,-8.00M,,-177.10M,,-244.50M,,0.00,-137.30M,-9.60M,0.00,,,,,-8.00M,,,
1993-03,373.50M,,,,,,,,,,107.90M,-306.10M,,-306.10M,175.30M,,-138.00M,,-138.00M,,,-58.10M,-25.30M,-221.40M,,,,390.50M,,-1.20M,-1.20M,,-177.10M,,212.20M,,432.40M,166.10M,-3.90M,0.00,,,,,-1.20M,,,
1992-12,311.20M,,,,,,,,,,-5.30M,429.30M,,210.20M,699.90M,,-389.30M,,-378.70M,,,87.30M,162.00M,-129.40M,,,,-316.90M,,-29.10M,-3.10M,,-163.70M,,-483.70M,,0.00,86.80M,-9.60M,0.00,,,,,-29.10M,,,
1992-09,-264.40M,,,,,,,,,,490.80M,14.60M,,14.60M,241.00M,,-120.90M,,-120.90M,,,-115.80M,-87.60M,-324.30M,,,,170.20M,,-1.70M,-1.70M,,-158.20M,,10.30M,,0.00,-73.00M,2.80M,0.00,,,,,-1.70M,,,
1992-06,338.20M,,,,,,,,,,32.10M,-97.10M,,-97.10M,273.20M,,-294.80M,,-294.80M,,,187.90M,-37.00M,-143.90M,,,,102.60M,,-6.00M,-6.00M,,-160.80M,,-64.20M,,0.00,65.10M,9.00M,0.00,,,,,-6.00M,,,
1992-03,442.60M,,,,,,,,,,31.90M,-205.10M,,-205.10M,269.40M,,-197.10M,,-197.10M,,,-135.40M,1.90M,-330.60M,,,,141.70M,,-31.70M,-31.70M,,-161.00M,,-51.00M,,479.20M,-112.20M,-15.70M,0.00,,,,,-31.70M,,,
1991-12,311.10M,,,,,,,,,,-212.80M,417.80M,,39.20M,437.00M,,-333.60M,,-305.10M,,,272.80M,-38.10M,-70.40M,,,,-59.90M,-916.40M,-25.70M,-942.10M,,-146.40M,,-192.70M,,0.00,173.90M,11.80M,0.00,,-916.40M,,,-25.70M,,,
1991-09,297.50M,,,,,,,,,,86.10M,87.80M,,87.80M,471.40M,,-285.20M,,-285.20M,,,70.00M,-5.50M,-220.70M,,,,-34.80M,0.60M,-12.60M,-12.00M,,-146.20M,,-193.00M,,0.00,57.70M,5.40M,0.00,,0.60M,,,-12.60M,,,
1991-06,317.50M,,,,,,,,,,89.70M,-249.50M,,-249.50M,157.70M,,-279.00M,,-279.00M,,,-30.50M,-13.70M,-323.20M,,,,194.60M,64.70M,-17.80M,46.90M,,-146.20M,,95.30M,,0.00,-70.20M,-2.20M,0.00,,64.70M,,,-17.80M,,,
1991-03,388.60M,,,,,,,,,,14.60M,-214.70M,,-214.70M,188.50M,,-244.60M,,-244.60M,,,46.80M,-43.60M,-241.40M,,,,-721.20M,890.40M,-13.10M,877.30M,,-143.90M,,12.20M,,350.20M,-40.70M,-6.70M,0.00,,890.40M,,,-13.10M,,,
1990-12,255.30M,,,,,,,,,,-118.10M,272.10M,,56.40M,441.10M,,-411.30M,,-390.20M,,,-4.10M,-53.40M,-447.70M,,,,-13.80M,,-34.80M,-13.50M,,-109.50M,,-136.80M,,0.00,-143.40M,-0.40M,0.00,,,,,-34.80M,,,
1990-09,256.80M,,,,,,,,,,26.40M,203.40M,,203.40M,486.60M,,-229.90M,,-229.90M,,,-97.10M,-1.70M,-328.70M,,,,600.70M,,-617.60M,-617.60M,,-112.30M,,-129.20M,,0.00,28.70M,6.20M,0.00,,,,,-617.60M,,,
1990-06,274.40M,,,,,,,,,,-27.80M,-1.30M,,-1.30M,245.30M,,-203.10M,,-203.10M,,,63.20M,14.20M,-125.70M,,,,426.90M,,-393.80M,-393.80M,,-114.00M,,-80.90M,,0.00,38.70M,1.10M,0.00,,,,,-393.80M,,,
1990-03,340.80M,,,,,,,,,,62.90M,-102.30M,,-102.30M,301.40M,,-163.00M,,-163.00M,,,35.10M,-25.90M,-153.80M,,,,88.50M,,-21.00M,-21.00M,,-114.30M,,-46.80M,,323.00M,100.80M,-4.50M,0.00,,,,,-21.00M,,,
