,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2011-01,,,,,63.00M,63.00M,4.00M,,,28.00M,,201.00M,13.00M,-85.00M,-56.00M,-81.00M,33.00M,-176.00M,,120.00M,,-38.00M,,-38.00M,,0.00,5.00M,1.533B,1.50B,,-1.50B,,-1.50B,136.00M,-270.00M,-134.00M,,,,,-1.634B,,2.649B,-14.00M,3.00M,2.638B,2011-01,,136.00M,,-1.50B,-270.00M,,,2011-01,AOR,Restated
2010-10,684.00M,,,-4.00M,67.00M,67.00M,-82.00M,,,15.00M,,-378.00M,-57.00M,-29.00M,28.00M,54.00M,75.00M,71.00M,,373.00M,,-34.00M,0.00,-34.00M,,-14.00M,0.00,5.00M,-43.00M,,0.00,,0.00,35.00M,-52.00M,-17.00M,,,,0.00,-17.00M,,2.317B,313.00M,19.00M,2.649B,2010-10,,35.00M,0.00,0.00,-52.00M,,,2010-10,AOR,Restated
2010-07,-187.00M,,,-129.00M,60.00M,60.00M,-72.00M,-20.00M,,13.00M,,421.00M,-16.00M,-5.00M,30.00M,-72.00M,67.00M,4.00M,,90.00M,,-33.00M,6.00M,-27.00M,,-1.102B,30.00M,1.00M,-1.098B,,733.00M,,733.00M,40.00M,-94.00M,-54.00M,,,,-5.00M,674.00M,,2.646B,-334.00M,5.00M,2.317B,2010-07,,40.00M,747.00M,-14.00M,-94.00M,,,2010-07,AOR,Restated
2010-04,108.00M,,,4.00M,36.00M,36.00M,-39.00M,1.00M,,13.00M,,7.00M,-51.00M,-16.00M,47.00M,79.00M,36.00M,95.00M,,225.00M,,-29.00M,1.00M,-28.00M,,20.00M,4.00M,2.00M,-2.00M,,-15.00M,,-15.00M,121.00M,-165.00M,-44.00M,,,,,-59.00M,,2.481B,164.00M,1.00M,2.646B,2010-04,,121.00M,,-15.00M,-165.00M,,,2010-04,AOR,Restated
2010-01,79.00M,,,,39.00M,39.00M,84.00M,19.00M,,25.00M,,6.00M,-42.00M,-1.00M,8.00M,-61.00M,-126.00M,-222.00M,,30.00M,,-25.00M,,-25.00M,,-12.00M,4.00M,2.00M,-31.00M,,0.00,,0.00,103.00M,-100.00M,3.00M,,,,,3.00M,,2.479B,2.00M,0.00,2.481B,2010-01,,103.00M,,0.00,-100.00M,,,2010-01,AOR,Restated
2009-10,25.00M,,-3.00M,-32.00M,40.00M,40.00M,14.00M,-37.00M,,15.00M,,43.00M,-50.00M,10.00M,56.00M,54.00M,75.00M,145.00M,,213.00M,,-30.00M,1.00M,-29.00M,,-10.00M,13.00M,46.00M,20.00M,,748.00M,,748.00M,18.00M,0.00,18.00M,,,,,761.00M,,1.479B,994.00M,6.00M,2.479B,2009-10,,18.00M,748.00M,0.00,0.00,,,2009-10,AOR,Restated
2009-07,-19.00M,,-13.00M,10.00M,41.00M,41.00M,-20.00M,5.00M,,17.00M,,3.00M,40.00M,24.00M,-5.00M,-32.00M,-23.00M,4.00M,,41.00M,,-30.00M,0.00,-30.00M,,0.00,19.00M,5.00M,-6.00M,,0.00,,0.00,26.00M,0.00,26.00M,,,,,26.00M,,1.40B,61.00M,18.00M,1.479B,2009-07,,26.00M,0.00,0.00,0.00,,,2009-07,AOR,Restated
2009-04,-101.00M,,,,40.00M,40.00M,29.00M,13.00M,,18.00M,,20.00M,63.00M,35.00M,-5.00M,34.00M,-9.00M,118.00M,,137.00M,,-34.00M,0.00,-34.00M,,-1.00M,12.00M,6.00M,-17.00M,,-50.00M,,-50.00M,1.00M,-32.00M,-31.00M,,,,,-81.00M,,1.362B,39.00M,-1.00M,1.40B,2009-04,,1.00M,50.00M,-100.00M,-32.00M,,,2009-04,AOR,Restated
2009-01,64.00M,,,,41.00M,41.00M,5.00M,19.00M,,21.00M,,29.00M,140.00M,-22.00M,-53.00M,-142.00M,-85.00M,-162.00M,,17.00M,,-34.00M,,-34.00M,,-1.00M,20.00M,4.00M,-11.00M,,50.00M,,50.00M,26.00M,-125.00M,-99.00M,,,,,-49.00M,,1.405B,-43.00M,0.00,1.362B,2009-01,,26.00M,275.00M,-225.00M,-125.00M,,,2009-01,,Restated
2008-10,231.00M,,0.00,6.00M,44.00M,44.00M,-96.00M,-4.00M,,15.00M,,8.00M,-58.00M,24.00M,105.00M,64.00M,-81.00M,54.00M,,258.00M,,-44.00M,0.00,-44.00M,,-1.00M,17.00M,0.00,-28.00M,,-194.00M,,-194.00M,13.00M,-251.00M,-238.00M,,,,,-432.00M,,1.64B,-202.00M,-33.00M,1.405B,2008-10,,13.00M,36.00M,-230.00M,-251.00M,,,2008-10,,Restated
