,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2001-10,1.606B,1.606B,1.24B,366.00M,734.00M,324.00M,-11.00M,,,,,1.058B,-692.00M,,,,-11.00M,,-703.00M,-254.00M,-449.00M,640.00M,0.00,191.00M,-441.97M,-692.00M,,2001-10,-0.67,-0.31,0.43,,2001-10,-0.67,-0.31,0.43,,2001-10,,,2001-10,,
2001-07,1.819B,1.819B,1.075B,744.00M,772.00M,303.00M,35.00M,,,,,1.075B,-331.00M,,,,35.00M,,-296.00M,-76.00M,-220.00M,-5.00M,,-225.00M,-246.01M,-331.00M,,2001-07,-0.47,-0.01,-0.48,,2001-07,-0.47,-0.01,-0.48,,2001-07,,,2001-07,,
2001-04,2.406B,2.406B,1.353B,1.053B,771.00M,331.00M,260.00M,,,,,1.102B,-49.00M,,,,260.00M,,211.00M,122.00M,89.00M,13.00M,,102.00M,-67.00M,-49.00M,,2001-04,0.19,0.03,0.22,,2001-04,0.19,0.03,0.22,,2001-04,,,2001-04,,
2001-01,2.841B,2.841B,1.449B,1.392B,741.00M,372.00M,19.00M,,,,,1.113B,279.00M,,,,19.00M,,298.00M,119.00M,179.00M,,-25.00M,154.00M,167.59M,279.00M,,2001-01,0.34,0.00,0.34,,2001-01,0.33,0.00,0.33,,2001-01,,,2001-01,,
2000-10,3.017B,3.017B,1.373B,1.644B,942.00M,255.00M,9.00M,,,,,1.197B,447.00M,,,,9.00M,,456.00M,155.00M,301.00M,4.00M,,305.00M,295.06M,447.00M,,2000-10,0.66,0.01,0.67,,2000-10,0.65,0.00,0.65,,2000-10,,,2000-10,,
2000-07,2.351B,2.351B,1.189B,1.162B,685.00M,288.00M,27.00M,,,,,973.00M,189.00M,,,,27.00M,,216.00M,73.00M,143.00M,12.00M,,155.00M,125.12M,189.00M,,2000-07,0.31,0.03,0.34,,2000-07,0.31,0.03,0.34,,2000-07,,,2000-07,,
2000-04,2.142B,2.142B,1.069B,1.073B,626.00M,263.00M,28.00M,,,,,889.00M,184.00M,,,,28.00M,,212.00M,72.00M,140.00M,26.00M,,166.00M,121.51M,184.00M,,2000-04,0.31,0.06,0.37,,2000-04,0.31,0.06,0.37,,2000-04,,,2000-04,,
2000-01,2.246B,2.246B,1.16B,1.086B,625.00M,290.00M,31.00M,,,,,915.00M,171.00M,,,,31.00M,,202.00M,71.00M,131.00M,,,131.00M,110.90M,171.00M,,2000-01,0.30,0.00,0.30,,2000-01,0.2977,0.00,0.2977,,2000-01,,,2000-01,,
1999-10,947.00M,947.00M,,,,,,,,,,,-5.461B,,,,,,,,-60.00M,,,146.00M,-60.00M,-5.461B,,1999-10,-0.01,0.54,0.53,,1999-10,-0.01,0.54,0.53,,1999-10,,,1999-10,,
1999-07,2.087B,2.087B,,,,,,,,,,,2.087B,,,,,,,,135.00M,,,135.00M,135.00M,2.087B,,1999-07,0.30,0.00,0.30,,1999-07,0.30,0.00,0.30,,1999-07,,,1999-07,,
1999-04,2.01B,2.01B,,,,,,,,,,,2.01B,,,,,,,,157.00M,,,157.00M,157.00M,2.01B,,1999-04,0.35,0.00,0.35,,1999-04,0.34,0.00,0.34,,1999-04,,,1999-04,,
1999-01,1.786B,1.786B,,,,,,,,,,,1.786B,,,,,,,,74.00M,,,74.00M,74.00M,1.786B,,1999-01,0.17,0.00,0.17,,1999-01,0.16,0.00,0.16,,1999-01,,,1999-01,,
