,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-06,386.28M,386.28M,304.86M,81.43M,50.20M,,0.06M,0.193M,,,,50.26M,31.17M,,,0.193M,,27.68M,9.688M,17.99M,,,,,17.99M,17.87M,44.00M,12.83M,31.17M,,0.1133,0.00,0.1125,0.1133,,0.11,0.00,0.1092,0.11,,158.92M,163.39M,0.0217,,,
2002-03,371.93M,371.93M,295.03M,76.90M,53.20M,,0.081M,-0.789M,,,,53.28M,23.62M,,,-0.789M,,18.65M,6.528M,12.12M,,,,,12.12M,12.63M,35.91M,12.30M,23.62M,,0.0833,0.0017,0.0869,0.085,,0.0833,0.00,0.0869,0.0833,,143.14M,143.14M,0.0217,,,
2001-12,255.54M,255.54M,213.22M,42.32M,35.90M,,1.756M,-9.028M,,,,37.66M,4.664M,,,-9.028M,,-7.915M,-2.809M,-5.106M,,,,,-5.106M,0.7180M,16.91M,12.24M,4.664M,,-0.0367,0.00,0.0042,-0.0367,,-0.0367,0.00,0.0038,-0.0367,,142.36M,143.95M,0.0217,,,
2001-09,269.13M,269.13M,226.50M,42.64M,35.38M,,1.733M,-0.763M,,,,37.11M,5.527M,,,-0.763M,,0.599M,0.213M,0.386M,,,,,0.386M,0.8777M,17.38M,11.85M,5.527M,,0.0033,0.00,0.0068,0.0033,,0.0033,0.00,0.0068,0.0033,,142.25M,143.55M,0.0217,,,
2001-06,308.25M,308.25M,249.66M,58.58M,36.34M,,1.734M,-0.349M,,,,38.07M,20.51M,,,-0.349M,,16.26M,5.57M,10.69M,,,,,10.69M,10.92M,32.08M,11.57M,20.51M,,0.075,0.00,0.0766,0.075,,0.075,0.00,0.0766,0.075,,141.87M,143.47M,0.0217,,,
2001-03,318.24M,318.24M,259.44M,58.80M,38.12M,,1.733M,-0.599M,,,,39.86M,18.94M,,,-0.599M,,13.54M,5.01M,8.529M,,,,,8.529M,8.906M,30.35M,11.41M,18.94M,,0.06,0.00,0.0627,0.06,,0.06,0.00,0.0626,0.06,,141.07M,142.97M,0.0217,,,
2000-12,271.27M,271.27M,224.32M,46.95M,36.11M,,1.734M,0.247M,,,,37.85M,9.104M,,,0.247M,,4.008M,1.443M,2.565M,-13.82M,,,,-11.26M,2.407M,20.02M,10.91M,9.104M,,0.0167,-0.0983,0.0155,-0.0817,,0.0167,-0.0983,0.0156,-0.0817,,140.93M,142.23M,0.0217,,,
2000-09,290.82M,290.82M,236.49M,54.34M,35.29M,,1.739M,-0.241M,,,,37.03M,17.31M,,,-0.241M,,11.47M,4.131M,7.343M,1.493M,,,,8.836M,7.497M,28.69M,11.38M,17.31M,,0.0517,0.0117,0.0528,0.0633,,0.0517,0.01,0.0528,0.0617,,140.23M,141.76M,0.0217,,,
2000-06,341.28M,341.28M,267.82M,73.47M,39.30M,,1.732M,0.53M,,,,41.04M,32.43M,,,0.53M,,27.23M,9.634M,17.59M,-0.032M,,,,17.56M,17.25M,43.88M,11.45M,32.43M,,0.125,0.00,0.1226,0.125,,0.1233,0.00,0.1209,0.1233,,140.18M,142.41M,0.02,,,
2000-03,344.57M,344.57M,271.20M,73.37M,42.99M,,1.727M,-0.843M,,,,44.72M,28.65M,,,-0.843M,,22.38M,8.224M,14.16M,0.456M,,,,14.61M,14.69M,39.97M,11.32M,28.65M,,0.1017,0.0033,0.1055,0.105,,0.10,0.0033,0.1038,0.1033,,140.17M,142.19M,0.02,,,
1999-12,317.66M,317.66M,237.01M,80.65M,57.69M,,,5.643M,,,,62.85M,17.80M,,,5.643M,,17.45M,5.831M,11.62M,-6.884M,,,,4.739M,7.865M,28.95M,11.15M,17.80M,,0.0833,-0.05,0.0563,0.0333,,0.08,-0.05,0.0539,0.0317,,138.96M,144.10M,0.02,,,
1999-09,287.41M,287.41M,232.68M,54.73M,31.02M,,,-1.854M,,,,31.02M,23.71M,,,-1.854M,,18.49M,6.011M,12.48M,-0.112M,,,,12.37M,13.73M,34.06M,10.35M,23.71M,,0.09,-0.0017,0.0990,0.0883,,0.0867,-0.0017,0.0954,0.0867,,139.14M,143.07M,0.02,,,
1999-06,235.42M,235.42M,185.95M,49.46M,23.85M,,,-1.397M,,,,23.85M,25.62M,,,-1.397M,,22.41M,8.191M,14.22M,-0.302M,,,,13.92M,15.10M,33.59M,7.971M,25.62M,,0.1017,-0.0017,0.1080,0.10,,0.10,-0.0017,0.1062,0.0983,,138.91M,142.36M,0.02,,,
1999-03,229.86M,229.86M,183.94M,45.93M,23.75M,,,-1.78M,,,,23.75M,22.18M,,,-1.78M,,18.74M,6.789M,11.95M,-0.55M,,,,11.40M,13.09M,30.02M,7.846M,22.18M,,0.085,-0.0033,0.0931,0.0817,,0.0833,-0.0033,0.0913,0.08,,139.35M,142.45M,0.02,,,
1998-12,107.91M,107.91M,70.93M,36.99M,24.61M,,,5.274M,,,,27.12M,9.863M,,,4.616M,,10.48M,3.602M,6.875M,,,,,10.71M,3.414M,13.78M,3.914M,9.863M,,0.05,0.0267,0.0262,0.0767,,0.0483,0.0267,0.0268,0.075,,145.72M,161.07M,0.02,,,
1998-09,243.25M,243.25M,196.23M,47.02M,26.32M,,,-0.927M,,,,26.32M,20.70M,,,-1.652M,,17.33M,6.356M,10.97M,,,,,10.97M,11.56M,29.27M,8.575M,20.70M,,0.0783,0.00,0.0825,0.0783,,0.0767,0.00,0.0809,0.0767,,139.75M,139.75M,0.02,,,
1998-06,226.68M,226.68M,178.83M,47.85M,26.38M,,,-0.692M,,,,26.38M,21.47M,,,-1.366M,,19.82M,7.193M,12.63M,,,,,12.63M,13.07M,28.53M,7.058M,21.47M,,0.06,0.00,0.0621,0.06,,0.0578,0.00,0.0599,0.0578,,212.38M,212.38M,0.0189,,,
1998-03,222.96M,222.96M,177.19M,45.77M,27.90M,,,-0.722M,,,,27.90M,17.87M,,,-1.741M,,16.22M,6.038M,10.18M,,,,,10.18M,10.63M,24.79M,6.919M,17.87M,,0.0467,0.00,0.0488,0.0467,,0.0456,0.00,0.0476,0.0456,,216.84M,222.42M,0.0189,,,
1997-12,51.06M,51.06M,40.74M,10.32M,4.558M,,,-1.011M,,,,4.558M,5.763M,,,-1.641M,,6.624M,2.367M,4.257M,11.92M,,,,16.18M,4.907M,8.007M,2.244M,5.763M,,0.0189,0.0622,0.0217,0.0811,,0.0189,0.06,0.0217,0.0789,,229.47M,229.47M,0.0189,,,
1997-09,205.96M,205.96M,167.06M,38.90M,25.01M,,,-0.394M,,,,25.01M,13.89M,,,-1.061M,,13.93M,4.918M,9.009M,0.98M,,,,9.989M,9.264M,20.57M,6.682M,13.89M,,0.0378,0.0044,0.0389,0.0422,,0.0367,0.0033,0.0378,0.04,,229.47M,229.47M,0.0189,,,
1997-06,224.94M,224.94M,176.30M,48.64M,29.84M,,,-0.701M,,,,29.84M,18.80M,,,-1.282M,,18.37M,6.694M,11.68M,96.08M,,,,107.76M,12.12M,25.38M,6.582M,18.80M,,0.0456,0.3778,0.0474,0.4233,,0.0456,0.37,0.0474,0.4156,,237.17M,237.17M,0.0189,,,
1997-03,196.25M,196.25M,153.45M,42.80M,27.39M,,,-0.99M,,,,27.39M,15.40M,,,-1.707M,,11.51M,4.391M,7.121M,12.79M,,,,19.91M,7.733M,21.53M,6.126M,15.40M,,0.0256,0.0467,0.0291,0.0722,,0.0256,0.0456,0.0291,0.0711,,171.43M,171.43M,0.0189,,,
1996-12,191.81M,191.81M,150.55M,41.27M,25.73M,,,-2.191M,,,,25.73M,15.53M,,,-3.576M,,9.879M,3.848M,6.031M,10.78M,,,,16.81M,7.369M,22.56M,7.021M,15.53M,,0.0222,0.0389,0.0270,0.0611,,0.02,0.0378,0.0247,0.0578,,282.29M,282.29M,0.0189,,,
1996-09,188.12M,188.12M,147.50M,40.62M,26.88M,,,-0.239M,,,,26.88M,13.74M,,,-1.438M,,10.41M,4.249M,6.158M,6.376M,,,,12.53M,6.301M,19.35M,5.609M,13.74M,,0.0211,0.0233,0.0216,0.0444,,0.0211,0.0233,0.0216,0.0444,,282.29M,282.29M,0.0189,,,
1996-06,206.47M,206.47M,161.80M,44.66M,27.56M,,,-1.812M,,,,27.56M,17.11M,,,-2.716M,,12.47M,5.174M,7.293M,11.44M,,,,18.73M,8.380M,22.45M,5.339M,17.11M,,0.0256,0.0411,0.0294,0.0667,,0.0256,0.0411,0.0294,0.0667,,282.26M,282.26M,0.0189,,,
1996-03,194.79M,194.79M,154.37M,40.42M,27.17M,,,-1.338M,,,,27.17M,13.25M,,,-1.744M,,9.576M,3.809M,5.767M,11.58M,,,,17.34M,6.573M,18.88M,5.632M,13.25M,,0.0211,0.0411,0.0240,0.0622,,0.0211,0.0411,0.0240,0.0622,,282.26M,282.26M,0.0167,,,
1995-12,-450.49M,-450.49M,-422.72M,-27.77M,7.015M,,,-1.783M,,,,7.015M,-34.78M,,,-3.585M,,-35.94M,-14.10M,-21.85M,,,,,15.57M,-20.76M,-34.78M,-18.87M,-34.78M,,-0.0767,0.1322,-0.0728,0.0556,,-0.0778,0.1311,-0.0739,0.0533,,282.47M,282.47M,0.0167,,,
1995-09,354.36M,354.36M,313.92M,40.44M,26.11M,,,-0.02M,,,,26.11M,14.34M,,,0.724M,,11.82M,4.37M,7.455M,,,,,7.455M,7.468M,28.85M,14.52M,14.34M,,0.0267,0.00,0.0267,0.0267,,0.0267,0.00,0.0267,0.0267,,282.19M,282.19M,0.0167,,,
1995-06,399.84M,399.84M,335.54M,64.31M,29.32M,,,-1.147M,,,,29.32M,34.99M,,,0.125M,,31.77M,11.74M,20.02M,,,,,20.02M,20.75M,48.69M,13.69M,34.99M,,0.0711,0.00,0.0737,0.0711,,0.0711,0.00,0.0737,0.0711,,282.19M,282.19M,0.0167,,,
1995-03,392.99M,392.99M,328.84M,64.14M,28.96M,,,-1.984M,,,,28.96M,35.18M,,,-2.198M,,29.77M,11.41M,18.36M,,,,,18.36M,19.58M,48.01M,12.83M,35.18M,,0.0656,0.00,0.0699,0.0656,,0.0656,0.00,0.0699,0.0656,,282.19M,282.19M,0.0144,,,
1994-12,-374.72M,-374.72M,-343.92M,-30.80M,9.69M,,,-3.018M,,,,9.69M,-40.49M,,,-4.094M,,-43.34M,-16.62M,-26.73M,,,,,13.55M,-24.87M,-40.49M,-15.22M,-40.49M,,-0.0944,0.1433,-0.0878,0.0489,,-0.0944,0.1433,-0.0878,0.0489,,279.93M,279.93M,0.0144,,,
1994-09,332.73M,332.73M,286.44M,46.29M,27.28M,,,-0.087M,,,,27.28M,19.01M,,,0.388M,,16.26M,6.135M,10.13M,,,,,10.13M,10.18M,31.42M,12.40M,19.01M,,0.0356,0.00,0.0357,0.0356,,0.0356,0.00,0.0357,0.0356,,282.08M,282.08M,0.0144,,,
1994-06,350.19M,350.19M,291.65M,58.54M,26.01M,,,-0.922M,,,,26.01M,32.53M,,,-0.675M,,28.77M,10.81M,17.96M,,,,,17.96M,18.53M,45.73M,13.21M,32.53M,,0.0633,0.00,0.0654,0.0633,,0.0633,0.00,0.0654,0.0633,,282.03M,282.03M,0.0144,,,
1994-03,339.80M,339.80M,286.42M,53.38M,25.54M,,,-0.216M,,,,25.54M,27.84M,,,0.138M,,25.01M,9.303M,15.71M,,,,,15.71M,15.84M,39.18M,11.34M,27.84M,,0.0567,0.00,0.0571,0.0567,,0.0567,0.00,0.0571,0.0567,,281.52M,281.52M,0.0122,,,
1993-12,309.17M,309.17M,297.10M,12.07M,25.94M,,,-2.379M,,,,-5.355M,17.43M,,,-0.095M,,14.10M,5.024M,9.078M,,,,,9.078M,10.61M,28.74M,11.31M,17.43M,,0.0488,,0.0570,0.0488,,0.0488,,0.0570,0.0488,,186.09M,186.09M,0.0122,,,
1993-09,272.80M,272.80M,227.20M,45.60M,21.90M,,,0.70M,,,,32.30M,13.30M,,,0.70M,,10.60M,5.10M,5.50M,,,,,5.50M,5.08M,23.90M,10.60M,13.30M,,0.02,0.00,0.0178,0.02,,0.02,0.00,0.0178,0.02,,195.20M,195.20M,0.0122,,,
1993-06,315.80M,315.80M,253.20M,62.60M,25.30M,,,1.40M,,,,36.00M,26.60M,,,1.40M,,24.60M,9.50M,15.10M,,,,,15.10M,14.24M,37.30M,10.70M,26.60M,,0.0272,0.00,0.0226,0.0272,,0.0267,0.00,0.0220,0.0267,,185.00M,185.00M,0.0111,,,
1993-03,296.10M,296.10M,238.00M,58.10M,23.20M,,,0.20M,,,,33.20M,24.90M,,,0.20M,,21.50M,8.50M,13.00M,,,,,13.00M,12.88M,34.90M,10.00M,24.90M,,0.0239,0.00,0.0232,0.0239,,0.0233,0.00,0.0227,0.0233,,184.28M,184.28M,0.0111,,,
1992-12,265.30M,265.30M,219.80M,45.50M,23.40M,9.90M,,0.70M,,,,33.30M,12.20M,,,0.70M,,9.20M,3.00M,6.20M,,-46.10M,,0.00,-39.90M,5.728M,22.10M,-9.90M,12.20M,,,,0.0311,-0.2165,,,,0.0311,-0.2165,,184.28M,184.28M,0.0111,,,
1992-09,241.00M,241.00M,203.20M,37.80M,19.30M,10.40M,,2.80M,,,,29.70M,8.10M,,,2.80M,,6.40M,2.20M,4.20M,,,,,4.20M,2.362M,18.50M,-10.40M,8.10M,,,,,,,,,,,,,,0.0111,,,
1992-06,277.40M,277.40M,224.70M,52.70M,19.50M,9.60M,,,,,,29.10M,23.60M,,,,,20.30M,7.50M,12.80M,,,,,12.80M,12.80M,33.20M,-9.70M,23.60M,,,,,,,,,,,,,,0.0111,,,
1992-03,247.90M,247.90M,207.80M,40.10M,18.90M,9.50M,,0.50M,,,,28.40M,11.70M,,,0.50M,,9.00M,3.10M,5.90M,,,,0.90M,5.90M,5.572M,21.20M,-9.50M,11.70M,,,,,,,,,,,,,,0.0111,,,
1991-12,223.30M,223.30M,193.40M,29.90M,9.40M,10.00M,,-2.70M,,,,19.40M,10.50M,,,-2.70M,,4.90M,2.10M,2.80M,,,,0.80M,2.80M,4.42M,20.50M,-10.00M,10.50M,,,,,,,,,,,,,,0.0111,,,
1991-09,213.80M,213.80M,183.80M,30.00M,16.20M,8.80M,,0.50M,,,,25.00M,5.00M,,,0.50M,,2.20M,0.80M,1.40M,,,,0.90M,1.40M,1.082M,13.80M,-8.80M,5.00M,,,,,,,,,,,,,,0.0111,,,
1991-06,242.60M,242.60M,204.10M,38.50M,24.80M,8.80M,,0.80M,,,,33.60M,4.90M,,,0.80M,,2.70M,1.00M,1.70M,,,,0.90M,1.70M,1.196M,13.70M,-8.80M,4.90M,,,,,,,,,,,,,,0.0111,,,
1991-03,200.00M,200.00M,173.60M,26.40M,17.50M,8.60M,,1.10M,,,,26.10M,0.30M,,,1.10M,,-1.90M,-1.00M,-0.90M,,,,0.90M,-0.90M,-1.56M,8.90M,-8.60M,0.30M,,,,,,,,,,,,,,0.0111,,,
1990-12,207.20M,207.20M,172.60M,34.60M,16.90M,9.30M,,2.80M,,,,26.20M,8.40M,,,2.80M,,7.70M,0.70M,7.00M,,,,0.90M,7.00M,4.455M,17.70M,-9.30M,8.40M,,,,,,,,,,,,,,0.0111,,,
1990-09,224.80M,224.80M,190.40M,34.40M,15.80M,8.10M,,1.20M,,,,23.90M,10.50M,,,1.20M,,8.00M,2.00M,6.00M,,,,0.90M,6.00M,5.10M,18.60M,-8.10M,10.50M,,,,,,,,,,,,,,0.0111,,,
1990-06,266.00M,266.00M,216.10M,49.90M,18.90M,8.10M,,0.30M,,,,27.00M,22.90M,,,0.30M,,19.20M,6.70M,12.50M,,,,0.90M,12.50M,12.30M,31.00M,-8.10M,22.90M,,,,,,,,,,,,,,0.0111,,,
1990-03,237.20M,237.20M,200.80M,36.40M,16.60M,8.00M,,-0.30M,,,,24.60M,11.80M,,,-0.30M,,7.20M,2.30M,4.90M,,,,0.90M,4.90M,5.104M,19.80M,-8.00M,11.80M,,,,,,,,,,,,,,0.0111,,,
1989-12,216.00M,216.00M,191.40M,24.60M,13.90M,6.70M,,-15.90M,,,,20.60M,4.00M,,,-15.90M,,-15.80M,-2.20M,-13.60M,,,,0.90M,-13.60M,0.0861M,10.70M,-6.70M,4.00M,,,,,,,,,,,,,,0.0111,,,
1989-09,217.70M,217.70M,196.30M,21.40M,16.50M,8.30M,,-0.20M,,,,24.80M,-3.40M,,,-0.20M,,-8.00M,-3.40M,-4.60M,,,,0.90M,-4.60M,-4.48M,4.90M,8.30M,-3.40M,,,,,,,,,,,,,,0.0111,,,
1989-06,268.20M,268.20M,,,,,,,,,,,268.20M,,,,,,,7.50M,,,,,7.50M,7.50M,268.20M,,268.20M,,,,,,,,,,,,,,0.0111,,,
1989-03,274.40M,274.40M,,,,,,,,,,,274.40M,,,,,,,5.70M,,,,,5.70M,5.70M,274.40M,,274.40M,,,,,,,,,,,,,,0.0111,,,
1988-12,262.30M,262.30M,,,,,,,,,,,-710.40M,,,,,,,6.40M,,,,,6.40M,6.40M,-710.40M,,-710.40M,,,,,,,,,,,,,,0.0111,,,
1988-09,236.60M,236.60M,,,,,,,,,,,236.60M,,,,,,,1.00M,,,,,1.00M,1.00M,236.60M,,236.60M,,,,,,,,,,,,,,0.0111,,,
1988-06,266.10M,266.10M,,,,,,,,,,,266.10M,,,,,,,7.30M,,,,,7.30M,7.30M,266.10M,,266.10M,,,,,,,,,,,,,,0.0111,,,
1988-03,250.40M,250.40M,,,,,,,,,,,250.40M,,,,,,,4.20M,,,,,4.20M,4.20M,250.40M,,250.40M,,,,,,,,,,,,,,0.0111,,,
1987-12,236.20M,236.20M,,,,,,,,,,,-702.50M,,,,,,,2.00M,,,,,2.00M,2.00M,-702.50M,,-702.50M,,,,,,,,,,,,,,0.0111,,,
1987-09,222.30M,222.30M,,,,,,,,,,,222.30M,,,,,,,-0.70M,,,,,-0.70M,-0.70M,222.30M,,222.30M,,,,,,,,,,,,,,0.0111,,,
1987-06,250.80M,250.80M,,,,,,,,,,,250.80M,,,,,,,5.90M,,,,,5.90M,5.90M,250.80M,,250.80M,,,,,,,,,,,,,,0.0111,,,
1987-03,261.10M,261.10M,,,,,,,,,,,261.10M,,,,,,,8.20M,,,,,8.20M,8.20M,261.10M,,261.10M,,,,,,,,,,,,,,0.0111,,,
1986-12,212.20M,212.20M,,,,,,,,,,,-647.60M,,,,,,,5.30M,,,,,8.20M,5.30M,-647.60M,,-647.60M,,,,,,,,,,,,,,0.0111,,,
1986-09,220.60M,220.60M,,,,,,,,,,,220.60M,,,,,,,2.20M,,,,,2.20M,2.20M,220.60M,,220.60M,,,,,,,,,,,,,,0.0111,,,
1986-06,250.40M,250.40M,,,,,,,,,,,250.40M,,,,,,,9.90M,,,,,9.90M,9.90M,250.40M,,250.40M,,,,,,,,,,,,,,0.0111,,,
1986-03,227.70M,227.70M,,,,,,,,,,,227.70M,,,,,,,7.70M,,,,,7.70M,7.70M,227.70M,,227.70M,,,,,,,,,,,,,,0.0111,,,
1985-12,215.40M,215.40M,,,,,,,,,,,-629.50M,,,,,,,7.30M,,,,,7.30M,7.30M,-629.50M,,-629.50M,,,,,,,,,,,,,,0.0111,,,
1985-09,205.00M,205.00M,,,,,,,,,,,205.00M,,,,,,,2.90M,,,,,2.90M,2.90M,205.00M,,205.00M,,,,,,,,,,,,,,0.0083,,,
1985-06,248.50M,248.50M,,,,,,,,,,,248.50M,,,,,,,10.30M,,,,,10.30M,10.30M,248.50M,,248.50M,,,,,,,,,,,,,,0.0083,,,
1985-03,228.60M,228.60M,,,,,,,,,,,228.60M,,,,,,,7.30M,,,,,7.30M,7.30M,228.60M,,228.60M,,,,,,,,,,,,,,0.0067,,,
1984-12,165.30M,165.30M,,,,,,,,,,,-659.30M,,,,,,,10.60M,,,,,-55.30M,10.60M,-659.30M,,-659.30M,,,,,,,,,,,,,,,,,
1984-09,210.50M,210.50M,,,,,,,,,,,210.50M,,,,,,,-1.80M,,,,,-1.80M,-1.80M,210.50M,,210.50M,,,,,,,,,,,,,,,,,
1984-06,244.80M,244.80M,,,,,,,,,,,244.80M,,,,,,,6.10M,,,,,6.10M,6.10M,244.80M,,244.80M,,,,0.0331,0.0331,,,,0.0331,0.0331,,184.28M,184.28M,,,,
1984-03,255.90M,255.90M,,,,,,,,,,,255.90M,,,,,,,7.80M,,,,,7.80M,7.80M,255.90M,,255.90M,,,,0.0423,0.0423,,,,0.0423,0.0423,,184.28M,184.28M,,,,
