,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-03,46.60M,,46.60M,,,418.70M,116.50M,53.90M,193.90M,,282.10M,28.30M,33.00M,808.70M,,,,,,961.20M,-546.70M,414.50M,513.00M,85.50M,598.50M,,65.80M,1.079B,1.888B,,286.80M,,286.80M,102.30M,389.10M,,,13.50M,13.50M,36.80M,439.40M,417.60M,,417.60M,35.10M,35.10M,,,,,203.00M,655.70M,1.095B,,65.70M,815.50M,78.30M,84.20M,,,-82.90M,792.40M,,,
2007-12,37.20M,,37.20M,,,415.10M,112.90M,50.00M,177.80M,,261.80M,34.00M,19.50M,767.60M,0.00,12.50M,188.70M,752.40M,,953.60M,-532.50M,421.10M,512.90M,86.60M,599.50M,0.00,66.20M,1.087B,1.854B,,305.60M,3.40M,309.00M,110.70M,419.70M,,,15.60M,15.60M,37.30M,472.60M,379.60M,,379.60M,,,,55.40M,,,189.00M,624.00M,1.097B,,65.60M,799.00M,76.70M,84.20M,,,-99.30M,757.80M,,,Restated
2007-09,36.30M,,36.30M,406.90M,,406.90M,112.00M,61.50M,188.00M,,280.30M,26.00M,32.10M,781.60M,,,,,,953.50M,-530.90M,422.60M,515.10M,87.40M,602.50M,,65.90M,1.091B,1.873B,,274.20M,,274.20M,112.40M,386.60M,,,9.60M,9.60M,37.40M,433.60M,417.10M,,417.10M,13.60M,13.60M,,,,,268.20M,698.90M,1.132B,,65.70M,787.60M,75.90M,55.10M,,,-134.00M,740.10M,,,
2007-06,30.10M,,30.10M,424.60M,,424.60M,109.50M,66.30M,207.80M,,300.40M,26.70M,40.20M,822.00M,,,,,,941.00M,-518.00M,423.00M,513.30M,86.50M,599.80M,,65.40M,1.088B,1.910B,,294.70M,,294.70M,107.70M,402.40M,,,6.90M,6.90M,37.40M,446.70M,446.50M,,446.50M,13.00M,13.00M,,,,,279.40M,738.90M,1.186B,,65.80M,768.40M,74.50M,54.70M,,,-129.40M,724.60M,,,
2007-03,21.10M,,21.10M,425.20M,,425.20M,106.20M,64.90M,210.20M,,298.10M,22.40M,39.10M,805.90M,,,,,,929.10M,-505.70M,423.40M,499.90M,87.20M,587.10M,,65.10M,1.076B,1.882B,,286.70M,,286.70M,102.10M,388.80M,,,6.90M,6.90M,33.40M,429.10M,459.50M,,459.50M,13.50M,13.50M,,,,,273.80M,746.80M,1.176B,,65.70M,746.70M,73.30M,52.20M,,,-127.90M,705.60M,,,
2006-12,25.80M,,25.80M,378.70M,,378.70M,110.60M,66.40M,191.10M,,297.30M,22.30M,35.90M,760.00M,0.00,12.40M,176.70M,695.70M,33.80M,918.60M,-491.40M,427.20M,499.70M,87.80M,587.50M,,65.20M,1.080B,1.840B,,286.60M,,286.60M,104.50M,391.10M,,,6.90M,6.90M,39.30M,437.30M,432.10M,,432.10M,20.60M,20.60M,,,,,265.30M,718.00M,1.155B,,65.70M,732.30M,71.40M,55.30M,-0.10M,-129.40M,-129.50M,684.60M,,,
2006-09,32.40M,,32.40M,411.00M,,411.00M,102.20M,62.00M,190.40M,,299.60M,6.90M,81.50M,831.40M,,,,,,898.60M,-482.70M,415.90M,480.20M,92.20M,572.40M,11.00M,65.30M,1.065B,1.896B,,302.50M,,302.50M,103.10M,405.60M,,,6.90M,6.90M,35.80M,448.30M,492.10M,,492.10M,,,,,,,287.50M,779.60M,1.228B,,65.70M,718.70M,70.80M,55.90M,,,-131.20M,668.10M,,,
2006-06,45.30M,,45.30M,417.20M,,417.20M,105.10M,58.40M,184.90M,,293.40M,0.40M,103.60M,859.90M,,,,,,888.90M,-473.00M,415.90M,475.90M,92.30M,568.20M,12.10M,64.90M,1.061B,1.921B,,304.90M,,304.90M,122.10M,427.00M,,,6.90M,6.90M,35.40M,469.30M,504.40M,,504.40M,,,,,,,285.60M,790.00M,1.259B,,65.70M,706.80M,69.80M,56.60M,,,-124.00M,661.70M,,,
2006-03,37.30M,,37.30M,314.40M,,314.40M,79.20M,51.20M,166.40M,,241.80M,6.40M,50.90M,650.80M,,,,,,795.70M,-442.70M,353.00M,313.00M,10.40M,323.40M,3.10M,34.30M,713.80M,1.365B,,,,,72.00M,72.00M,,,242.70M,242.70M,17.60M,332.30M,191.50M,,191.50M,,,,,,,209.20M,400.70M,733.00M,,66.50M,686.60M,67.60M,58.20M,,,-130.90M,631.60M,,,
2005-12,24.00M,,24.00M,278.80M,,278.80M,86.00M,48.50M,145.90M,,225.40M,9.90M,37.90M,576.00M,0.00,9.30M,148.50M,620.70M,26.70M,805.20M,-448.30M,356.90M,313.00M,10.50M,323.50M,3.40M,32.90M,716.70M,1.293B,,205.10M,,205.10M,78.30M,283.40M,,,6.90M,6.90M,17.30M,307.60M,162.40M,,162.40M,,,,,,,209.80M,372.20M,679.80M,,66.50M,675.90M,65.90M,59.00M,,,-136.40M,612.90M,,,
2005-09,52.60M,,52.60M,280.40M,,280.40M,76.80M,52.60M,150.20M,,213.20M,7.80M,32.40M,586.40M,,,,,,788.60M,-440.80M,347.80M,,313.50M,313.50M,,22.70M,684.00M,1.270B,,183.80M,,183.80M,71.20M,255.00M,,,10.90M,10.90M,16.50M,282.40M,197.50M,,197.50M,17.30M,17.30M,,,,,157.20M,372.00M,654.40M,,66.50M,664.70M,68.30M,67.50M,,,-116.00M,616.00M,,,
2005-06,11.90M,,11.90M,308.80M,,308.80M,79.00M,53.70M,160.60M,,226.90M,11.00M,29.70M,588.30M,,,,,,788.10M,-439.50M,348.60M,,313.50M,313.50M,,22.80M,684.90M,1.273B,,170.30M,,170.30M,31.40M,201.70M,,,10.90M,10.90M,54.80M,267.40M,226.10M,,226.10M,16.30M,16.30M,,,,,156.60M,399.00M,666.40M,,66.50M,659.80M,68.90M,69.50M,,,-118.90M,606.80M,,,
2005-03,10.10M,,10.10M,294.90M,,294.90M,83.40M,62.80M,174.00M,,253.50M,10.20M,38.80M,607.50M,,,,,,781.90M,-428.50M,353.40M,,313.10M,313.10M,,55.60M,722.10M,1.330B,,175.70M,,175.70M,27.60M,203.30M,,,8.60M,8.60M,56.30M,268.20M,257.20M,,257.20M,15.60M,15.60M,,,,,187.50M,460.30M,728.50M,,66.60M,658.00M,70.80M,79.10M,,,-115.20M,601.10M,,,
2004-12,25.10M,,25.10M,281.60M,,281.60M,81.70M,57.70M,141.60M,,233.50M,12.10M,33.90M,586.20M,0.00,9.30M,136.80M,606.60M,21.10M,773.80M,-415.00M,358.80M,,313.20M,313.20M,,55.80M,727.80M,1.314B,,158.80M,,158.80M,60.40M,219.20M,,,8.60M,8.60M,18.60M,246.40M,272.50M,,272.50M,11.60M,11.60M,,,,,192.90M,477.00M,723.40M,,66.60M,648.40M,70.80M,79.50M,,,-115.70M,590.60M,,,
2004-09,21.80M,,21.80M,273.00M,,273.00M,78.30M,45.80M,163.20M,,261.60M,12.60M,28.20M,597.20M,,,,,,743.00M,-395.80M,347.20M,,311.60M,311.60M,,64.90M,723.70M,1.321B,,148.20M,,148.20M,69.20M,217.40M,,,8.60M,8.60M,18.00M,244.00M,286.40M,,286.40M,32.80M,32.80M,,,,,159.40M,478.60M,722.60M,,66.60M,641.50M,72.80M,84.60M,,,-98.00M,598.30M,,,
2004-06,16.20M,,16.20M,306.30M,,306.30M,78.80M,50.40M,151.60M,,255.10M,16.00M,25.80M,619.40M,,,,,,733.50M,-384.30M,349.20M,,311.80M,311.80M,,64.10M,725.10M,1.344B,,175.00M,,175.00M,66.00M,241.00M,,,8.60M,8.60M,23.10M,272.70M,280.70M,,280.70M,32.70M,32.70M,,,,,161.70M,475.10M,747.80M,,66.60M,643.20M,73.40M,86.40M,,,-100.10M,596.70M,,,
2004-03,8.10M,,8.10M,289.10M,,289.10M,76.90M,51.80M,143.90M,,246.90M,10.40M,42.00M,596.50M,,,,,,727.20M,-372.40M,354.80M,,311.80M,311.80M,,64.20M,730.80M,1.327B,,163.60M,,163.60M,70.30M,233.90M,,,120.40M,120.40M,18.90M,373.20M,167.90M,,167.90M,29.60M,29.60M,,,,,164.00M,361.50M,734.70M,,66.60M,630.20M,73.60M,87.30M,,,-90.50M,592.60M,,,
2003-12,18.70M,,18.70M,236.70M,,236.70M,70.80M,48.20M,153.80M,,247.00M,14.30M,31.00M,547.70M,0.00,10.90M,140.00M,568.00M,,718.90M,-360.20M,358.70M,,310.90M,310.90M,,62.60M,732.20M,1.280B,,144.50M,,144.50M,68.20M,212.70M,,,105.40M,105.40M,20.50M,338.60M,170.10M,,170.10M,27.90M,27.90M,,,,,167.10M,365.10M,703.70M,,66.70M,623.90M,73.90M,91.10M,,,-97.20M,576.20M,,,
2003-09,35.40M,,35.40M,225.70M,,225.70M,68.00M,46.10M,162.90M,,248.70M,21.90M,14.00M,545.70M,,,,,,713.60M,-361.40M,352.20M,,302.40M,302.40M,,73.80M,728.40M,1.274B,,148.10M,,148.10M,81.00M,229.10M,,,8.60M,8.60M,19.30M,257.00M,259.80M,,259.80M,17.00M,17.00M,,,,,192.10M,468.90M,725.90M,,66.70M,615.50M,73.70M,92.30M,,,-115.40M,548.20M,,,
2003-06,34.80M,,34.80M,272.50M,,272.50M,66.10M,45.20M,150.20M,,233.20M,21.30M,20.40M,582.20M,,,,,,702.40M,-350.10M,352.30M,,309.00M,309.00M,,66.60M,727.90M,1.310B,,162.70M,,162.70M,49.90M,212.60M,,,10.90M,10.90M,60.30M,283.80M,269.20M,,269.20M,14.50M,14.50M,,,,,195.20M,478.90M,762.70M,,66.80M,613.90M,73.60M,93.80M,,,-113.10M,547.40M,,,
2003-03,27.50M,,27.50M,246.13M,,246.13M,59.34M,42.76M,143.92M,,217.69M,26.01M,18.29M,535.62M,,,,,,691.74M,-336.64M,355.11M,,309.08M,309.08M,,65.84M,730.03M,1.266B,,150.87M,,150.87M,92.45M,243.32M,,,11.67M,11.67M,23.17M,278.16M,253.44M,,253.44M,10.50M,10.50M,,,,,201.52M,465.45M,743.60M,,66.89M,598.13M,73.58M,95.83M,,,-120.74M,522.04M,,,
2002-12,32.85M,,32.85M,215.48M,,215.48M,58.31M,39.69M,130.68M,,200.35M,26.71M,12.86M,488.25M,0.00,10.03M,143.42M,532.73M,,686.18M,-323.45M,362.73M,,309.15M,309.15M,,64.72M,736.61M,1.225B,,131.42M,,131.42M,97.32M,228.74M,,,11.67M,11.67M,21.26M,261.68M,239.08M,,239.08M,7.512M,7.512M,,,,,205.53M,452.13M,713.80M,,66.93M,588.49M,73.53M,96.02M,,,-121.88M,511.05M,,,
2002-09,32.94M,,32.94M,208.26M,,208.26M,54.26M,36.26M,130.29M,,196.70M,24.71M,13.63M,476.24M,,,,,,668.15M,-316.61M,351.54M,,302.05M,302.05M,,177.62M,831.20M,1.307B,,130.06M,,130.06M,101.26M,231.32M,,,11.67M,11.67M,22.26M,265.25M,220.36M,,220.36M,78.76M,78.76M,,,,,129.07M,428.20M,693.44M,,66.94M,581.33M,73.49M,97.89M,,,-9.885M,613.99M,,,
2002-06,26.44M,,26.44M,239.03M,,239.03M,52.32M,35.76M,127.17M,,191.14M,22.37M,11.37M,490.36M,,,,,,652.27M,-306.17M,346.10M,,302.10M,302.10M,,172.56M,820.76M,1.311B,,136.01M,,136.01M,87.58M,223.60M,,,12.47M,12.47M,24.62M,260.68M,242.04M,,242.04M,73.90M,73.90M,,,,,129.48M,445.42M,706.10M,,67.22M,575.34M,74.24M,105.36M,,,-6.427M,605.01M,,,
2002-03,21.85M,,21.85M,237.69M,,237.69M,54.30M,37.23M,125.16M,,192.58M,18.88M,16.46M,487.45M,,,,,,641.80M,-292.82M,348.99M,,302.20M,302.20M,,166.58M,817.77M,1.305B,,138.19M,,138.19M,87.41M,225.60M,,,13.27M,13.27M,24.48M,263.35M,378.87M,,378.87M,66.58M,66.58M,,,,,130.28M,575.72M,839.07M,,67.24M,560.45M,55.70M,214.42M,,,-2.815M,466.15M,,,
2001-12,20.76M,,20.76M,209.87M,,209.87M,58.38M,40.21M,120.23M,,194.71M,22.40M,29.84M,477.57M,0.00,9.408M,136.19M,491.91M,,637.50M,-282.20M,355.30M,,301.92M,301.92M,,159.13M,816.35M,1.294B,,131.07M,,131.07M,87.97M,219.04M,3.28M,13.27M,16.55M,16.55M,20.36M,255.95M,390.38M,,390.38M,62.15M,62.15M,,,,,133.56M,586.10M,842.04M,,67.30M,551.42M,54.78M,214.76M,,,-6.858M,451.88M,,,
2001-09,12.84M,,12.84M,175.26M,,175.26M,41.60M,35.29M,98.59M,0.84M,158.01M,3.955M,42.94M,393.01M,,,,,,563.05M,-286.03M,277.02M,,239.85M,239.85M,,116.45M,633.32M,1.026B,,96.33M,,96.33M,59.06M,155.40M,,,13.27M,13.27M,11.96M,180.62M,260.51M,,260.51M,73.10M,73.10M,,,,,54.68M,388.28M,568.90M,,67.34M,559.62M,54.61M,214.81M,,,-9.328M,457.42M,,,
2001-06,15.19M,,15.19M,198.23M,,198.23M,41.05M,36.19M,99.04M,0.882M,158.86M,1.568M,38.90M,412.74M,,,,,,555.37M,-276.54M,278.83M,,241.42M,241.42M,,115.10M,635.35M,1.048B,,101.59M,,101.59M,54.50M,156.09M,,,11.13M,11.13M,11.83M,179.05M,275.89M,,275.89M,69.69M,69.69M,,,,,59.15M,404.72M,583.77M,,67.38M,562.32M,54.44M,215.00M,,,-4.826M,464.32M,,,
2001-03,13.06M,,13.06M,202.72M,,202.72M,39.89M,38.15M,109.17M,0.909M,169.81M,6.488M,22.43M,414.50M,,,,,,549.85M,-267.55M,282.30M,,243.09M,243.09M,,112.25M,637.65M,1.052B,,97.68M,,97.68M,53.24M,150.93M,,,11.13M,11.13M,14.43M,176.49M,295.71M,,295.71M,64.74M,64.74M,,,,,62.51M,422.96M,599.44M,,67.42M,554.70M,53.69M,216.18M,,,-6.929M,452.71M,,,
2000-12,15.29M,,15.29M,169.12M,,169.12M,40.19M,37.19M,109.70M,0.86M,169.63M,12.91M,30.44M,397.38M,0.00,6.69M,99.89M,435.44M,,542.02M,-259.18M,282.84M,,244.82M,244.82M,,139.83M,667.49M,1.065B,,91.78M,,91.78M,54.25M,146.03M,,,11.13M,11.13M,13.27M,170.43M,316.37M,,316.37M,67.81M,67.81M,,,,,61.86M,446.04M,616.47M,,67.44M,549.24M,53.52M,216.37M,,,-5.438M,448.40M,,,
2000-09,8.496M,,8.496M,186.89M,,186.89M,40.95M,35.66M,112.00M,0.889M,171.55M,11.46M,32.80M,411.20M,,,,,,541.32M,-260.11M,281.21M,,246.56M,246.56M,,153.02M,680.78M,1.092B,,97.99M,,97.99M,58.40M,156.39M,,,9.629M,9.629M,12.24M,178.26M,321.66M,,321.66M,62.60M,62.60M,,,,,67.61M,451.87M,630.13M,,67.44M,563.55M,53.41M,216.45M,,,-6.098M,461.85M,,,
2000-06,8.308M,,8.308M,221.25M,,221.25M,40.40M,36.53M,107.27M,0.954M,165.74M,10.56M,24.20M,430.06M,,,,,,535.99M,-252.30M,283.70M,,248.04M,248.04M,,148.99M,680.72M,1.111B,,103.30M,,103.30M,61.22M,164.52M,,,9.629M,9.629M,15.62M,189.77M,344.80M,,344.80M,56.33M,56.33M,,,,,63.28M,464.41M,654.18M,,67.44M,557.76M,53.25M,217.22M,,,-4.627M,456.60M,,,
2000-03,5.132M,,5.132M,224.35M,,224.35M,42.27M,39.89M,106.00M,1.247M,170.00M,11.05M,22.67M,433.20M,,,,,,527.83M,-243.61M,284.22M,,249.77M,249.77M,,146.71M,680.70M,1.114B,,101.35M,,101.35M,57.28M,158.62M,0.644M,9.629M,10.27M,10.27M,20.01M,188.91M,364.78M,,364.78M,51.97M,51.97M,,,,,66.04M,482.80M,671.70M,,67.44M,543.01M,53.21M,217.24M,,,-4.228M,442.19M,,,
1999-12,14.76M,,14.76M,179.40M,,179.40M,42.00M,40.20M,99.34M,1.322M,163.44M,11.32M,19.70M,388.63M,0.00,6.69M,91.42M,420.63M,,518.74M,-235.25M,283.49M,,251.08M,251.08M,,140.78M,675.36M,1.064B,,81.22M,,81.22M,59.57M,140.79M,,,9.629M,9.629M,18.02M,168.44M,351.25M,,351.25M,48.68M,48.68M,,,,,64.54M,464.46M,632.90M,,67.44M,531.20M,53.03M,217.35M,,,-3.238M,431.08M,,,
1999-09,10.08M,,10.08M,226.12M,,226.12M,53.16M,40.02M,95.19M,2.226M,162.22M,10.31M,8.084M,416.82M,,,,,,617.26M,-285.72M,331.53M,,253.38M,253.38M,,95.15M,680.06M,1.097B,,102.44M,,102.44M,44.46M,146.90M,,,4.629M,4.629M,52.32M,203.85M,344.35M,,344.35M,50.38M,50.38M,,,,,69.80M,464.53M,668.38M,,67.44M,529.27M,52.16M,218.11M,,,-2.272M,428.50M,,,
1999-06,31.70M,,31.70M,165.34M,,165.34M,50.06M,19.62M,59.82M,1.533M,102.39M,10.34M,5.932M,315.70M,,,,,,525.51M,-271.03M,254.48M,145.55M,,145.55M,,92.25M,492.28M,807.99M,,83.22M,,83.22M,34.32M,117.54M,,,4.629M,4.629M,31.36M,153.53M,131.21M,,131.21M,47.29M,47.29M,,,,,58.35M,236.84M,390.37M,,67.48M,519.69M,51.43M,218.54M,,,-2.461M,417.62M,,,
1999-03,17.55M,,17.55M,171.44M,,171.44M,49.34M,18.81M,59.69M,1.768M,100.83M,10.88M,5.058M,305.76M,,,,,,518.68M,-265.57M,253.11M,146.60M,,146.60M,,89.71M,489.42M,795.18M,,77.24M,,77.24M,34.12M,111.36M,,,4.629M,4.629M,34.58M,150.57M,131.54M,,131.54M,44.50M,44.50M,,,,,62.01M,238.05M,388.62M,,67.50M,508.56M,51.33M,218.60M,,,-2.23M,406.56M,,,
1998-12,37.67M,,37.67M,113.10M,,113.10M,40.02M,16.86M,51.06M,0.902M,87.22M,10.35M,19.55M,267.88M,0.00,5.528M,80.46M,319.55M,,405.54M,-201.09M,204.46M,,143.68M,143.68M,,120.55M,468.69M,736.57M,,51.07M,,51.07M,43.37M,94.44M,,,4.629M,4.629M,13.57M,112.65M,131.20M,,131.20M,36.81M,36.81M,,,,,54.82M,222.83M,335.48M,,67.50M,499.95M,51.12M,215.99M,,,-1.488M,401.09M,,,
1998-09,26.19M,,26.19M,146.77M,,146.77M,46.69M,16.20M,52.92M,1.563M,86.98M,11.49M,12.86M,284.30M,,,,,,488.47M,-255.86M,232.61M,141.49M,,141.49M,,104.17M,478.27M,762.56M,,74.87M,,74.87M,31.52M,106.39M,,,4.629M,4.629M,31.48M,142.50M,126.93M,,126.93M,44.71M,44.71M,,,,,55.29M,226.93M,369.43M,,67.56M,492.04M,51.07M,216.01M,-1.525M,,-1.525M,393.13M,,,
1998-06,99.67M,,99.67M,146.76M,,146.76M,46.08M,17.92M,42.86M,1.611M,78.16M,9.707M,4.19M,338.49M,,,,,,458.26M,-250.52M,207.74M,50.92M,,50.92M,,99.47M,358.13M,696.62M,,57.14M,,57.14M,25.23M,82.37M,,,5.566M,5.566M,30.25M,118.18M,100.19M,,100.19M,30.26M,30.26M,,,,,55.12M,185.57M,303.76M,,67.57M,483.90M,50.78M,207.47M,-1.902M,,-1.902M,392.87M,,,
1998-03,110.29M,,110.29M,144.16M,,144.16M,45.09M,18.68M,43.99M,1.615M,79.13M,10.94M,4.511M,349.03M,,,,,,454.74M,-246.48M,208.27M,51.35M,,51.35M,,94.80M,354.42M,703.45M,,63.72M,,63.72M,30.73M,94.44M,,,5.598M,5.598M,30.06M,130.10M,101.60M,,101.60M,28.65M,28.65M,,,,,56.27M,186.52M,316.62M,,45.05M,473.94M,72.73M,203.01M,-1.891M,,-1.891M,386.83M,,,
1997-12,145.90M,,145.90M,126.23M,,126.23M,42.87M,19.66M,45.09M,1.634M,79.05M,11.85M,2.702M,365.73M,0.00,6.323M,91.13M,352.70M,,450.15M,-242.39M,207.76M,51.78M,,51.78M,,91.25M,350.79M,716.52M,,61.30M,,61.30M,39.95M,101.25M,,,5.59M,5.59M,21.04M,127.88M,100.97M,,100.97M,28.44M,28.44M,,,,,59.52M,188.93M,316.81M,,45.05M,466.51M,72.54M,182.82M,-1.579M,,-1.579M,399.70M,,,
1997-09,185.03M,,185.03M,130.86M,,130.86M,46.36M,14.68M,51.74M,1.537M,84.37M,13.50M,3.984M,417.74M,,,,,,440.41M,-238.42M,201.99M,52.21M,,52.21M,,96.95M,351.15M,768.89M,,64.36M,,64.36M,49.58M,113.94M,,,5.625M,5.625M,30.73M,150.29M,100.98M,,100.98M,28.55M,28.55M,,,,,58.96M,188.50M,338.78M,,45.06M,453.23M,72.16M,131.68M,-8.661M,,-8.661M,430.11M,,,
1997-06,220.33M,,220.33M,135.08M,,135.08M,50.42M,16.66M,51.29M,1.738M,90.22M,12.40M,4.86M,462.89M,,,,,,431.52M,-232.72M,198.80M,,,,,154.93M,353.73M,816.62M,,61.40M,,61.40M,74.98M,136.39M,,,5.225M,5.225M,36.45M,178.06M,105.75M,,105.75M,29.80M,29.80M,,,,,57.54M,193.09M,371.15M,,45.06M,446.23M,71.64M,108.38M,-9.074M,,-9.074M,445.47M,,,
1997-03,2.803M,,2.803M,140.30M,,140.30M,48.52M,18.63M,50.72M,1.398M,89.57M,12.56M,111.31M,356.55M,,,,,,420.60M,-228.47M,192.12M,,,,,542.84M,734.96M,1.092B,,76.83M,,76.83M,18.74M,95.57M,,,384.57M,384.57M,30.14M,510.29M,103.07M,,103.07M,30.18M,30.18M,,,,,51.60M,184.86M,695.14M,,45.06M,341.71M,71.29M,53.78M,-7.917M,,-7.917M,396.36M,,,
1996-12,6.405M,,6.405M,121.57M,,121.57M,37.59M,19.59M,51.71M,1.368M,80.44M,12.42M,4.537M,225.37M,0.00,3.957M,80.38M,322.68M,,407.02M,-224.42M,182.60M,6.54M,,6.54M,,456.64M,645.78M,871.15M,,66.51M,,66.51M,34.59M,101.10M,,,11.93M,11.93M,11.52M,124.55M,238.45M,,238.45M,31.27M,31.27M,,,,,52.24M,321.96M,446.51M,,45.08M,325.36M,69.41M,7.815M,-7.401M,,-7.401M,424.64M,,,
1996-09,7.252M,,7.252M,153.67M,11.14M,164.81M,45.52M,47.71M,60.98M,9.59M,117.09M,19.03M,69.93M,378.11M,,,,,,1.093B,-570.56M,522.38M,,,,,184.92M,707.30M,1.085B,,162.20M,,162.20M,55.44M,217.64M,,,8.814M,8.814M,40.14M,266.59M,230.36M,,230.36M,67.39M,67.39M,,,,,110.53M,408.28M,674.87M,,45.24M,312.11M,68.90M,7.992M,-7.712M,,-7.712M,410.54M,,,
1996-06,4.24M,,4.24M,178.65M,11.92M,190.57M,42.47M,43.54M,50.55M,9.782M,99.81M,18.21M,52.60M,365.42M,,,,,,1.040B,-554.60M,485.12M,,,,,166.00M,651.12M,1.017B,,148.73M,,148.73M,46.90M,195.62M,,,6.183M,6.183M,39.78M,241.59M,198.22M,,198.22M,65.80M,65.80M,,,,,109.38M,373.40M,614.99M,,45.25M,303.13M,68.89M,7.992M,-7.721M,,-7.721M,401.56M,,,
1996-03,4.171M,,4.171M,188.23M,12.69M,200.92M,47.33M,47.55M,55.70M,9.172M,113.31M,18.12M,66.78M,403.30M,,,,,,1.010B,-550.86M,459.29M,,,,,155.34M,614.63M,1.018B,,138.04M,,138.04M,39.94M,177.98M,,,4.987M,4.987M,47.41M,230.38M,216.39M,,216.39M,64.46M,64.46M,,,12.25M,,108.20M,389.04M,619.42M,,45.22M,287.96M,68.90M,8.013M,-7.819M,,-7.819M,386.25M,,,
1995-12,4.807M,,4.807M,135.52M,,135.52M,37.04M,20.33M,46.91M,1.073M,74.96M,9.842M,32.59M,257.71M,0.00,3.957M,78.76M,286.91M,,369.62M,-207.75M,161.88M,,,,,346.07M,507.95M,765.65M,,71.61M,,71.61M,34.41M,106.02M,,,4.933M,4.933M,10.14M,121.09M,190.94M,,190.94M,32.04M,32.04M,,,,,49.22M,272.20M,393.29M,,45.25M,273.75M,68.87M,8.013M,-7.499M,,-7.499M,372.36M,,,
1995-09,5.373M,,5.373M,152.18M,14.95M,167.14M,41.92M,50.88M,53.54M,9.199M,110.32M,22.96M,41.58M,347.36M,,,,,,939.46M,-516.62M,422.85M,,,,,119.63M,542.47M,889.84M,,112.93M,,112.93M,37.85M,150.78M,,,7.45M,7.45M,70.25M,228.48M,164.06M,,164.06M,54.65M,54.65M,,,,,92.29M,311.00M,539.49M,,45.26M,261.32M,68.85M,8.06M,-7.359M,-9.653M,-17.01M,350.35M,,,
1995-06,5.177M,,5.177M,155.85M,15.33M,171.18M,44.39M,49.46M,53.00M,8.278M,109.96M,22.28M,31.62M,340.22M,,,,,,912.10M,-503.47M,408.63M,,,,,117.39M,526.02M,866.24M,,95.03M,,95.03M,37.13M,132.16M,,,7.427M,7.427M,69.86M,209.45M,163.07M,,163.07M,53.33M,53.33M,,,,,94.23M,310.63M,520.07M,,45.55M,257.00M,68.55M,8.06M,-7.224M,-9.653M,-16.88M,346.16M,,,
1995-03,5.904M,,5.904M,154.79M,16.14M,170.93M,46.16M,48.60M,59.48M,8.232M,117.28M,25.75M,25.56M,345.42M,,,,,,896.26M,-491.86M,404.40M,,,,,114.48M,518.88M,864.30M,,106.98M,,106.98M,29.50M,136.48M,,,9.028M,9.028M,71.29M,216.80M,168.06M,,168.06M,53.87M,53.87M,,,,,96.44M,318.37M,535.17M,,45.60M,240.11M,68.50M,8.06M,-7.371M,-9.653M,-17.02M,329.13M,,,
1994-12,8.485M,,8.485M,132.63M,16.36M,148.99M,41.71M,48.89M,55.33M,7.457M,110.86M,28.10M,33.08M,329.52M,0.00,7.527M,186.32M,687.87M,,881.72M,-479.94M,401.78M,,,,,116.56M,518.34M,847.86M,,112.94M,,112.94M,84.10M,197.04M,,,7.255M,7.255M,11.63M,215.92M,166.13M,,166.13M,54.44M,54.44M,,,,,98.62M,319.19M,535.11M,,45.84M,224.47M,68.21M,8.085M,-8.035M,-9.653M,-17.69M,312.74M,,,
1994-09,6.874M,,6.874M,157.55M,16.87M,174.42M,46.21M,40.08M,56.46M,7.555M,108.74M,26.60M,36.06M,352.70M,,,,,,863.47M,-481.29M,382.18M,,,,,131.74M,513.92M,866.61M,,115.21M,,115.21M,35.62M,150.83M,,,9.632M,9.632M,72.01M,232.47M,178.36M,,178.36M,47.23M,47.23M,,,,,98.77M,324.36M,556.82M,,45.98M,213.63M,68.07M,8.085M,-0.67M,-9.141M,-9.811M,309.79M,,,
