,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2007-06,1.834B,,1.834B,1.031B,,1.031B,,,223.50M,,4.120B,7.208B,,,,66.74B,-51.81B,14.93B,,,1.011B,,,,2.899B,18.84B,26.05B,,2007-06,1.039B,,1.039B,4.157B,5.195B,,,,468.10M,,468.10M,,,,5.663B,7.443B,7.443B,3.084B,,3.084B,,1.086B,,18.54B,,2007-06,605.40M,-598.00M,,-222.00M,6.423B,,2007-06,,
2007-03,1.868B,,1.868B,1.272B,,1.272B,,,266.10M,,3.014B,6.421B,,,,20.26B,-5.811B,14.45B,,,1.011B,,,,4.053B,19.52B,25.94B,,2007-03,1.164B,,1.164B,3.481B,4.645B,,,,387.70M,,387.70M,,,,5.032B,7.508B,7.508B,2.961B,,2.961B,,1.077B,,18.67B,,2007-03,604.20M,-970.90M,,-42.20M,6.192B,,2007-03,,
2006-12,2.269B,0.00,2.269B,981.00M,,981.00M,238.00M,,238.00M,337.00M,374.00M,6.322B,,245.00M,,19.95B,-5.791B,14.16B,1.011B,,1.011B,866.00M,1.844B,636.00M,565.00M,19.08B,25.40B,,2006-12,906.00M,129.00M,1.268B,836.00M,2.104B,,,392.00M,392.00M,,392.00M,,,2.043B,4.694B,7.622B,7.622B,2.88B,985.00M,3.865B,1.92B,,,19.33B,,2006-12,603.00M,-1.034B,,-60.00M,6.073B,,2006-12,,Restated
2006-09,1.075B,,1.075B,1.233B,,1.233B,,,260.20M,,3.122B,5.69B,,,,18.81B,-5.163B,13.65B,,,1.011B,,,,4.468B,19.13B,24.82B,,2006-09,1.055B,,1.055B,3.554B,4.609B,,,,142.30M,,142.30M,,,,4.752B,7.275B,7.275B,2.898B,,2.898B,,438.40M,,18.31B,,2006-09,601.80M,-1.126B,,68.60M,6.071B,,2006-09,,
2006-06,980.40M,,980.40M,1.165B,,1.165B,,,307.70M,,3.971B,6.424B,,,,18.17B,-5.163B,13.00B,,,1.014B,,,,5.175B,19.19B,25.62B,,2006-06,971.30M,,971.30M,4.098B,5.069B,,,,170.70M,,170.70M,,,,5.240B,7.293B,7.293B,2.753B,,2.753B,,437.90M,,19.30B,,2006-06,601.20M,-1.178B,,-60.30M,5.882B,,2006-06,,
2006-03,1.115B,,1.115B,1.174B,,1.174B,,,277.80M,,4.198B,6.765B,,,,17.85B,-5.163B,12.68B,,,1.014B,,,,5.567B,19.26B,26.03B,,2006-03,994.40M,,994.40M,4.385B,5.380B,,,,175.70M,,175.70M,,,,5.556B,7.253B,7.253B,2.663B,,2.663B,,213.50M,,19.89B,,2006-03,600.70M,-1.049B,,-121.10M,5.926B,,2006-03,,
2005-12,1.597B,,1.597B,1.614B,,1.614B,,,273.00M,,6.213B,9.697B,,,,17.57B,-5.163B,12.41B,,,1.015B,,,,6.322B,19.75B,29.44B,,2005-12,1.361B,,1.361B,6.967B,8.328B,,,,123.00M,,123.00M,,,-1.00M,8.45B,7.591B,7.591B,2.509B,,2.509B,,214.00M,,23.80B,,2005-12,579.00M,-1.136B,,-302.00M,5.428B,,2005-12,,Restated
2005-09,1.360B,,1.360B,1.490B,,1.490B,,,302.80M,,9.475B,12.63B,,,,17.19B,-4.988B,12.20B,,,1.014B,,,,7.810B,21.03B,33.66B,,2005-09,1.217B,,1.217B,10.49B,11.71B,,,,122.40M,,122.40M,,,,11.83B,7.599B,7.599B,2.268B,,2.268B,,206.10M,,28.30B,,2005-09,578.60M,-1.160B,,-541.00M,5.154B,,2005-09,,
2005-06,1.297B,,1.297B,1.227B,,1.227B,,,259.50M,,3.989B,6.773B,,,,16.84B,-4.858B,11.98B,,,1.014B,,,,6.634B,19.63B,26.40B,,2005-06,944.80M,,944.80M,4.679B,5.624B,,,,98.60M,,98.60M,,,,5.722B,7.646B,7.646B,2.377B,,2.377B,,95.40M,,20.95B,,2005-06,577.20M,-1.121B,,-357.10M,5.354B,,2005-06,,
2005-03,1.21B,,1.21B,1.243B,,1.243B,,,222.80M,,4.755B,7.431B,,,,16.54B,-4.686B,11.85B,,,1.014B,,,,6.136B,19.00B,26.43B,,2005-03,954.90M,,954.90M,5.201B,6.156B,,,,99.50M,,99.50M,,,,6.255B,7.650B,7.650B,2.515B,,2.515B,,92.30M,,21.08B,,2005-03,573.70M,-1.134B,,-422.60M,5.261B,,2005-03,,
2004-12,930.00M,,930.00M,1.423B,,1.423B,,,261.10M,,3.430B,6.044B,,,,16.45B,-4.566B,11.89B,,,1.014B,,,,5.048B,17.95B,23.99B,,2004-12,1.043B,,1.043B,3.853B,4.896B,,,,250.10M,,250.10M,,,,5.146B,7.712B,7.712B,2.470B,,2.470B,,99.70M,,18.94B,,2004-12,563.80M,-1.306B,,-266.10M,4.956B,,2004-12,,
2004-09,976.70M,,976.70M,1.267B,,1.267B,,,261.70M,,4.615B,7.120B,,,,16.25B,-4.436B,11.82B,,,1.014B,,,,5.607B,18.44B,25.56B,,2004-09,920.70M,,920.70M,5.110B,6.030B,,,,276.60M,,276.60M,,,,6.307B,8.667B,8.667B,2.303B,,2.303B,,94.20M,,21.46B,,2004-09,526.30M,-1.352B,,-348.40M,4.009B,,2004-09,,
2004-06,1.030B,,1.030B,1.461B,,1.461B,,,255.30M,,5.015B,7.762B,,,,16.04B,-4.273B,11.77B,,,1.014B,,,,5.622B,18.41B,26.17B,,2004-06,1.045B,,1.045B,4.863B,5.908B,,,,276.60M,,276.60M,,,,6.185B,9.483B,9.483B,2.326B,,2.326B,,89.70M,,22.08B,,2004-06,525.60M,-1.446B,,-259.60M,3.999B,,2004-06,,
2004-03,1.998B,,1.998B,1.511B,,1.511B,,,206.90M,,5.408B,9.124B,,,,16.19B,-4.160B,12.03B,,,1.014B,,,,5.618B,18.67B,27.79B,,2004-03,997.30M,,997.30M,4.941B,5.938B,,,,443.40M,,443.40M,,,,6.382B,10.82B,10.82B,2.405B,,2.405B,,87.70M,,23.67B,,2004-03,523.00M,-1.422B,,-234.10M,4.034B,,2004-03,,
2003-12,2.316B,,2.316B,1.613B,,1.613B,,,242.90M,,4.623B,8.795B,,,,15.75B,-4.018B,11.73B,,,1.014B,,,,5.478B,18.23B,27.02B,,2003-12,1.228B,,1.228B,4.104B,5.332B,,,,938.50M,,938.50M,,,,6.271B,11.04B,11.04B,2.453B,,2.453B,,84.10M,,22.84B,,2003-12,521.40M,-1.427B,,-149.00M,4.102B,,2003-12,,
2003-09,3.428B,,3.428B,1.691B,,1.691B,,,270.00M,,5.941B,11.33B,,,,16.05B,-3.923B,12.13B,,,1.060B,,,743.30M,5.044B,18.97B,30.30B,,2003-09,1.398B,,1.398B,4.767B,6.165B,,,,1.920B,,1.920B,,,,8.085B,10.99B,10.99B,3.127B,,3.127B,,98.60M,,26.01B,,2003-09,521.20M,-1.368B,,-112.20M,4.195B,,2003-09,,
2003-06,3.284B,,3.284B,1.696B,,1.696B,,,299.50M,,9.004B,14.28B,,,,15.98B,-3.796B,12.19B,,,1.060B,,,753.10M,5.568B,19.57B,33.85B,,2003-06,434.40M,,434.40M,9.148B,9.583B,,,,1.816B,,1.816B,,,,11.40B,11.21B,11.21B,2.843B,,2.843B,,92.40M,,29.76B,,2003-06,520.90M,-1.469B,,-202.80M,4.002B,,2003-06,,
2003-03,1.501B,,1.501B,2.589B,,2.589B,,,383.40M,,10.14B,14.61B,,,,19.04B,-4.360B,14.68B,,,1.082B,,,927.60M,4.143B,20.83B,35.44B,,2003-03,1.927B,,1.927B,9.309B,11.24B,,,,3.272B,,3.272B,,,,14.51B,10.49B,10.49B,2.800B,,2.800B,,430.30M,,30.86B,,2003-03,792.10M,-1.711B,271.30M,-76.40M,4.153B,,2003-03,,
2002-12,1.650B,,1.650B,2.415B,,2.415B,,,368.10M,,8.452B,12.89B,,,,15.69B,-3.664B,12.03B,,,1.060B,,,,9.017B,22.10B,34.99B,,2002-12,1.878B,,1.878B,7.351B,9.230B,,,,2.079B,,2.079B,,,,11.31B,11.08B,11.08B,3.354B,,3.354B,,83.70M,,29.86B,,2002-12,791.20M,-884.30M,271.30M,3.50M,5.049B,,2002-12,,
2002-09,1.293B,,1.293B,3.438B,,3.438B,,,820.20M,,7.210B,12.76B,,,,20.44B,-5.057B,15.39B,,,1.087B,,,,6.634B,23.11B,35.87B,,2002-09,2.746B,,2.746B,6.607B,9.352B,,,,2.322B,,2.322B,,,,11.67B,12.29B,12.29B,3.189B,,3.189B,,419.50M,,30.08B,,2002-09,791.00M,-653.20M,271.30M,100.80M,5.369B,,2002-09,,
2002-06,773.30M,,773.30M,3.679B,,3.679B,,,969.20M,,6.952B,12.37B,,,,22.87B,-5.412B,17.46B,,,1.107B,,,,6.628B,25.19B,37.57B,,2002-06,3.424B,,3.424B,6.722B,10.15B,,,,2.348B,,2.348B,,,,12.49B,11.97B,11.97B,3.421B,,3.421B,,443.20M,429.50M,31.50B,,2002-06,791.90M,-345.20M,272.30M,70.00M,5.618B,,2002-06,,
2002-03,1.703B,,1.703B,3.232B,,3.232B,,,908.30M,,8.148B,13.99B,,,,22.32B,-5.27B,17.05B,,,1.164B,,,,7.913B,26.13B,40.12B,,2002-03,2.848B,,2.848B,7.979B,10.83B,,,,2.617B,,2.617B,,,,13.44B,12.23B,12.23B,3.542B,,3.542B,,201.30M,428.80M,33.87B,,2002-03,791.80M,134.40M,272.30M,69.30M,6.042B,,2002-03,,
2001-12,1.258B,,1.258B,2.762B,,2.762B,,,543.50M,,8.261B,12.82B,,,,18.44B,-4.046B,14.39B,,,1.141B,,,964.00M,9.295B,25.79B,38.61B,,2001-12,2.571B,,2.571B,8.387B,10.96B,,,,2.424B,,2.424B,,,,13.38B,8.693B,8.693B,3.690B,,3.690B,,1.061B,976.40M,31.51B,,2001-12,518.90M,199.60M,,280.10M,6.044B,,2001-12,,
2001-09,413.90M,,413.90M,4.190B,,4.190B,,,861.60M,,7.112B,12.58B,,,,22.75B,-5.058B,17.70B,,,1.142B,,,,6.797B,25.64B,38.21B,,2001-09,3.371B,,3.371B,7.670B,11.04B,,,,2.456B,,2.456B,,,,13.50B,8.821B,8.821B,3.827B,,3.827B,,1.075B,,29.68B,,2001-09,518.40M,1.764B,,311.40M,7.455B,,2001-09,,
2001-06,1.015B,,1.015B,3.856B,,3.856B,,,751.30M,,5.622B,11.24B,,,,19.68B,-4.872B,14.81B,,,,,,,7.570B,22.38B,33.63B,,2001-06,3.714B,,3.714B,6.155B,9.869B,,,,3.138B,,3.138B,,,,13.01B,6.983B,6.983B,3.101B,,3.101B,,1.074B,,26.65B,,2001-06,488.10M,1.635B,,144.00M,5.902B,,2001-06,,
2001-03,237.80M,,237.80M,3.251B,,3.251B,,,672.80M,,9.558B,13.72B,,,,19.24B,-4.690B,14.55B,,,,,,,8.227B,22.77B,36.49B,,2001-03,3.293B,,3.293B,9.070B,12.36B,,,,2.098B,,2.098B,,,,14.46B,6.852B,6.852B,2.870B,,2.870B,,1.069B,,28.36B,,2001-03,487.50M,3.192B,,-222.60M,7.065B,,2001-03,,
2000-12,996.80M,,996.80M,3.357B,,3.357B,,,848.40M,,8.995B,14.20B,,,,19.03B,-4.823B,14.21B,,,42.50M,,,,6.331B,20.58B,34.78B,,2000-12,3.088B,,3.088B,8.985B,12.07B,,,,3.671B,,3.671B,,,,15.74B,6.830B,6.830B,2.864B,,2.864B,,98.10M,1.068B,28.79B,,2000-12,447.90M,3.066B,,-53.00M,5.892B,,2000-12,,
2000-09,1.028B,,1.028B,3.024B,,3.024B,,,943.70M,,3.872B,8.868B,,,,23.03B,-4.771B,18.26B,,,393.90M,,,,4.705B,23.36B,32.23B,,2000-09,2.705B,,2.705B,3.820B,6.526B,,,,3.469B,,3.469B,,,,9.994B,10.01B,10.01B,2.966B,,2.966B,,514.70M,,25.52B,,2000-09,447.50M,3.181B,,149.60M,6.195B,,2000-09,,
2000-06,427.40M,,427.40M,2.769B,,2.769B,,,811.20M,,2.862B,6.870B,,,,21.65B,-4.626B,17.02B,,,410.00M,,,,4.095B,21.53B,28.40B,,2000-06,2.454B,,2.454B,3.635B,6.089B,,,,1.652B,,1.652B,,,,7.741B,9.339B,9.339B,2.774B,,2.774B,,518.40M,,21.89B,,2000-06,446.30M,3.126B,,41.80M,5.992B,,2000-06,,
2000-03,626.10M,,626.10M,2.572B,,2.572B,,,707.40M,,2.088B,5.994B,,,,20.11B,-4.242B,15.87B,,,424.20M,,,,3.513B,19.81B,25.80B,,2000-03,2.172B,,2.172B,2.218B,4.390B,,,,1.933B,,1.933B,,,,6.322B,8.945B,8.945B,2.512B,,2.512B,,517.90M,,19.58B,,2000-03,445.30M,2.841B,,73.60M,5.707B,,2000-03,,
1999-12,1.092B,,1.092B,2.508B,,2.508B,,,631.50M,,2.285B,6.517B,,,,19.25B,-4.094B,15.16B,,,435.60M,,,,3.181B,18.77B,25.29B,,1999-12,2.050B,,2.050B,2.148B,4.197B,,,,1.575B,,1.575B,,,,5.772B,9.235B,9.235B,2.582B,,2.582B,,561.50M,,19.14B,,1999-12,444.50M,2.807B,,21.90M,5.585B,,1999-12,,
1999-09,287.90M,,287.90M,2.40B,,2.40B,,,655.70M,,913.30M,4.257B,,,,18.07B,-3.972B,14.10B,,,548.90M,,,,2.459B,17.11B,21.37B,,1999-09,1.665B,,1.665B,1.809B,3.474B,,,,1.828B,,1.828B,,,,5.302B,7.773B,7.773B,2.468B,,2.468B,,532.40M,,16.60B,,1999-09,507.50M,2.734B,69.00M,-70.00M,4.230B,,1999-09,,
1999-06,200.10M,,200.10M,1.910B,,1.910B,,,569.10M,,883.90M,3.564B,,,,17.24B,-3.806B,13.44B,,,558.40M,,,,2.452B,16.45B,20.01B,,1999-06,1.214B,,1.214B,1.768B,2.982B,,,,2.405B,,2.405B,,,,5.388B,6.190B,6.190B,2.489B,,2.489B,,514.30M,,15.17B,,1999-06,509.60M,2.785B,71.80M,-5.80M,4.332B,,1999-06,,
1999-03,330.10M,,330.10M,1.654B,,1.654B,,,533.90M,,787.40M,3.306B,,,,16.61B,-3.704B,12.91B,,,635.00M,,,,2.321B,15.87B,19.17B,,1999-03,978.30M,,978.30M,1.579B,2.557B,,,,2.376B,,2.376B,,,,4.933B,6.192B,6.192B,2.132B,,2.132B,,504.50M,,14.34B,,1999-03,515.40M,2.834B,79.70M,-11.10M,4.330B,,1999-03,,
1998-12,503.30M,,503.30M,1.725B,,1.725B,,,497.50M,,806.70M,3.532B,,,,16.23B,-3.621B,12.60B,,,583.60M,,,,1.927B,15.12B,18.65B,,1998-12,1.158B,,1.158B,1.838B,2.996B,,,,1.443B,,1.443B,,,,4.439B,6.366B,6.366B,2.061B,,2.061B,,508.30M,,13.88B,,1998-12,534.50M,2.850B,102.20M,-61.80M,4.257B,,1998-12,,
1998-09,91.60M,,91.60M,1.756B,,1.756B,,,434.90M,,691.40M,2.974B,,,,15.83B,-3.442B,12.39B,,,588.80M,,,,1.783B,14.76B,17.73B,,1998-09,1.051B,,1.051B,1.711B,2.762B,,,,942.70M,,942.70M,,,,3.705B,6.323B,6.323B,2.072B,,2.072B,,284.60M,,13.13B,,1998-09,533.90M,2.948B,102.20M,-85.70M,4.322B,,1998-09,,
1998-06,135.50M,,135.50M,1.581B,,1.581B,,,482.20M,,1.005B,3.203B,,,,15.38B,-3.310B,12.07B,,,598.80M,,,,1.702B,14.37B,17.57B,,1998-06,1.049B,,1.049B,1.964B,3.013B,,,,1.092B,,1.092B,,,,4.104B,5.843B,5.843B,2.070B,,2.070B,,183.10M,,13.02B,,1998-06,545.00M,2.982B,116.50M,-38.10M,4.368B,,1998-06,,
