,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2002-06,-5.50M,,,0.033M,,0.497M,0.497M,,,,,,,,0.542M,0.046M,-0.677M,-0.724M,,-1.059M,,-1.872M,-6.842M,-0.215M,,-0.215M,,14.69M,-0.039M,14.44M,,-0.02M,0.061M,,0.061M,,,0.041M,45.67M,7.635M,,53.30M,0.061M,,,,
2002-03,-1.346M,,,,,-1.185M,-1.185M,,,,,,,,-2.955M,0.777M,0.391M,-0.66M,,-1.845M,,-4.292M,-6.427M,-0.424M,,-0.424M,,10.62M,,9.75M,,-0.019M,0.161M,,0.161M,,,0.142M,42.20M,3.465M,,45.67M,0.161M,,,,
2001-12,-6.445M,,,,,1.001M,1.001M,,,,,,,,0.143M,-0.881M,0.008M,0.601M,,0.67M,,0.541M,-4.903M,-0.427M,-1.15M,-1.577M,,-2.975M,,-4.552M,,-0.019M,0.07M,,0.07M,,,0.051M,51.61M,-9.404M,,42.20M,0.07M,,,,
2001-09,-7.101M,,,,,0.956M,0.956M,,,,,,,,2.306M,-0.657M,0.112M,-0.202M,,0.023M,,1.582M,-4.563M,-0.293M,1.15M,0.857M,,-5.489M,,-4.632M,,-0.019M,0.533M,,0.533M,,,0.514M,60.29M,-8.681M,,51.61M,0.533M,,,,
2001-06,-6.301M,,,,,0.999M,0.999M,,,,,,,,2.027M,0.072M,-0.582M,0.107M,,-0.041M,,1.583M,-3.719M,-0.48M,,-0.48M,,-25.77M,,-26.25M,,-0.435M,0.228M,,0.228M,,,-0.207M,90.46M,-30.18M,,60.29M,0.228M,,,,
2001-03,-12.11M,,,,,-0.087M,-0.087M,,,,,,,,-1.593M,0.164M,-0.245M,0.469M,0.294M,2.395M,,1.484M,-3.641M,-0.571M,,-0.571M,,6.701M,,5.619M,,-0.059M,0.509M,,0.509M,,,0.45M,87.23M,2.428M,,90.46M,0.509M,,,,
2000-12,-3.755M,,,,,0.999M,0.999M,,,,,,,,-0.412M,0.106M,,0.201M,-0.102M,0.574M,,0.367M,-2.389M,-0.639M,,-0.639M,,-0.62M,,-1.259M,,-0.06M,-0.045M,,-0.045M,,,-0.105M,90.99M,-3.753M,,87.23M,-0.045M,,,,
2000-09,-1.48M,,,,,0.491M,0.491M,,,,,,,,-1.555M,-0.163M,0.311M,0.063M,-0.192M,-0.211M,,-1.747M,-2.736M,-0.521M,,-0.521M,,2.149M,,1.628M,,-0.117M,0.302M,,0.302M,,,0.185M,91.91M,-0.923M,,90.99M,0.302M,,,,
2000-06,-1.985M,,,,,0.504M,0.504M,,,,,,,,0.197M,-0.203M,-0.311M,-0.157M,,-0.845M,,-1.319M,-2.80M,-0.676M,,-0.676M,,-6.599M,,-7.275M,,,0.068M,,0.068M,,,0.068M,101.92M,-10.01M,,91.91M,0.068M,,,,
2000-03,-3.054M,,,,,-0.015M,-0.015M,,,,,,,,0.146M,0.05M,0.195M,-0.422M,,1.194M,,1.163M,-1.906M,-0.558M,,-0.558M,,3.235M,,2.677M,,0.361M,95.71M,,95.71M,,,96.07M,5.00M,96.84M,,101.92M,95.71M,,,,
1999-12,-3.60M,,,,,0.40M,0.40M,,,,,,,,0.10M,0.00,,0.20M,0.20M,0.70M,,1.20M,-2.00M,0.40M,,0.40M,,0.90M,-0.10M,1.20M,,0.20M,0.50M,,0.50M,,,0.70M,5.10M,-0.10M,,5.00M,0.50M,,,,
1999-09,-3.062M,,,,,0.6347M,0.6347M,,,,,,,,0.8433M,-0.5311M,0.2575M,0.9646M,-0.20M,-0.0349M,,1.300M,-1.128M,-0.9531M,,-0.9531M,,1.368M,0.10M,0.5152M,,,0.0816M,,0.0816M,,,0.0816M,5.710M,-0.5310M,,5.10M,0.0816M,,,,
1999-06,-0.7380M,,,,,0.6653M,0.6653M,,,,,,,,-1.343M,-0.1689M,-0.2575M,-0.0646M,,-0.3651M,,-2.200M,-2.272M,-0.2469M,,-0.2469M,,-1.068M,,-1.315M,,,0.0184M,,0.0184M,,,0.0184M,9.279M,-3.569M,,5.710M,0.0184M,,,,
1999-03,-1.369M,,,,,0.2282M,0.2282M,,,,,,,0.1000M,-1.257M,0.4968M,-0.0414M,-0.3087M,,1.573M,,-0.8373M,-1.878M,-0.1382M,,-0.1382M,,7.797M,,7.659M,,,0.1125M,,0.1125M,,,0.1125M,3.490M,5.893M,,9.30M,0.1125M,,,,
1998-12,-2.306M,,,,,0.4080M,0.4080M,,,,,,,0.0000M,-0.2448M,-0.2146M,0.2012M,-0.0783M,,0.4082M,,0.0717M,-1.826M,-0.2634M,,-0.2634M,,3.826M,,3.563M,,,0.036M,,0.036M,,,0.036M,1.717M,1.773M,,3.490M,0.036M,,,,
1998-09,-2.483M,,,,,0.3894M,0.3894M,,,,,,,0.049M,1.257M,-0.3779M,-0.1506M,-0.2944M,,0.0244M,,0.4583M,-1.586M,-0.5448M,,-0.5448M,,0.9542M,,0.4094M,,,0.5044M,,0.5044M,,,0.5044M,2.389M,-0.6725M,,1.717M,0.5044M,,,,
1998-06,-0.5421M,,,,,0.3745M,0.3745M,,,,,,,-0.049M,-0.8553M,-0.5042M,-0.0092M,-0.5186M,,-0.0054M,,-1.893M,-2.109M,-0.6536M,,-0.6536M,,2.322M,,1.668M,,,0.1471M,,0.1471M,,,0.1471M,2.683M,-0.2938M,,2.389M,0.1471M,,,,
