,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2007-06,62.23M,0.499M,62.73M,13.83M,13.83M,4.659M,1.985M,4.156M,10.80M,1.972M,,,89.33M,0.0,,2.522M,17.57M,,0.859M,,20.96M,-14.77M,6.185M,27.00M,7.024M,34.02M,,,,,40.21M,129.54M,3.555M,,3.555M,5.87M,9.425M,,,,,,,0.719M,0.719M,,10.14M,,,,1.494M,1.494M,0.275M,1.769M,11.91M,0.325M,-179.74M,296.31M,0.116M,,0.847M,117.62M
2007-03,69.65M,5.479M,75.12M,10.93M,10.93M,3.755M,1.771M,3.041M,8.567M,1.758M,,,96.38M,0.0,,2.522M,16.88M,,0.654M,,20.06M,-14.29M,5.764M,26.71M,7.329M,34.04M,,,,,39.80M,136.18M,5.185M,,5.185M,7.017M,12.20M,,,,,,,0.695M,0.695M,,12.90M,,,,1.191M,1.191M,,1.191M,14.09M,0.323M,-171.19M,292.47M,0.116M,0.61M,0.61M,122.10M
2006-12,6.081M,11.16M,17.24M,9.23M,9.23M,3.134M,1.318M,2.431M,6.883M,1.64M,,,34.99M,0.0,,2.619M,16.53M,,0.436M,,19.58M,-14.01M,5.572M,26.36M,7.613M,33.97M,,,,,39.54M,74.53M,4.636M,,4.636M,5.786M,10.42M,,,,,,,0.577M,0.577M,,11.00M,,,,0.873M,0.873M,5.583M,6.456M,17.46M,0.268M,-164.84M,221.44M,0.116M,,0.329M,57.08M
2006-09,7.052M,14.93M,21.98M,8.30M,8.30M,2.255M,0.827M,2.508M,5.59M,2.071M,,,37.94M,0.0,,2.615M,15.93M,,0.455M,,19.00M,-13.50M,5.492M,19.97M,7.674M,27.64M,,,,,33.14M,71.08M,3.512M,,3.512M,5.374M,8.886M,,,,,,,0.666M,0.666M,,9.552M,,,,0.55M,0.55M,,0.55M,10.10M,0.267M,-158.12M,219.50M,0.066M,,-0.611M,60.98M
2006-06,9.732M,15.06M,24.80M,9.679M,9.679M,2.031M,0.39M,1.788M,4.209M,2.226M,,,40.91M,0.0,,2.57M,13.63M,,1.762M,,17.96M,-12.51M,5.458M,20.11M,8.211M,28.32M,,,,,33.78M,74.69M,2.375M,,2.375M,4.062M,6.437M,,,,,,,0.705M,0.705M,,7.142M,,,,0.447M,0.447M,,0.447M,7.589M,0.266M,-149.44M,216.72M,0.066M,,-0.379M,67.10M
2006-03,7.832M,23.00M,30.84M,8.88M,8.88M,1.764M,0.659M,2.445M,4.868M,1.86M,,,46.44M,0.0,,2.546M,13.36M,,0.991M,,16.90M,-12.08M,4.824M,19.11M,8.164M,27.27M,,,,,32.09M,78.54M,3.07M,,3.07M,5.185M,8.255M,,,,,,,0.484M,0.484M,,8.739M,,,,0.31M,0.31M,,0.31M,9.049M,0.265M,-143.31M,214.67M,0.066M,,-2.069M,69.49M
2005-12,7.907M,24.05M,31.96M,8.416M,8.416M,1.855M,0.865M,3.30M,6.02M,0.967M,,,47.36M,,,,,,,,15.61M,-11.74M,3.87M,,30.30M,30.30M,,,,0.321M,34.49M,81.84M,1.803M,,1.803M,4.213M,6.016M,,,,,,,0.391M,0.391M,,6.407M,,,,,,,3.736M,10.14M,0.264M,-139.63M,213.92M,0.066M,,-2.786M,71.70M
2005-09,15.26M,20.39M,35.66M,7.94M,7.94M,1.881M,1.461M,2.697M,6.039M,1.385M,,,51.02M,,,,,,,,15.14M,-11.50M,3.639M,,27.64M,27.64M,,,,0.357M,31.64M,82.66M,1.633M,,1.633M,4.354M,5.987M,,,,,,,0.228M,0.228M,,6.215M,,,,,,,,6.215M,0.263M,-135.15M,213.66M,0.066M,,-2.274M,76.44M
2005-06,6.788M,32.44M,39.23M,7.113M,7.113M,1.823M,1.287M,2.528M,5.638M,1.782M,,,53.76M,,,,,,,,14.83M,-11.08M,3.742M,,28.04M,28.04M,,,,0.183M,31.96M,85.73M,2.23M,,2.23M,4.969M,7.199M,,,,,,,0.138M,0.138M,,7.337M,,,,,,,,7.337M,0.262M,-132.37M,213.15M,,,-2.651M,78.39M
2005-03,7.618M,33.89M,41.50M,8.635M,8.635M,1.016M,0.871M,1.99M,3.877M,1.207M,,,55.22M,0.0,,2.415M,11.26M,,,,13.67M,-10.87M,2.804M,,0.418M,0.418M,,,,2.615M,5.837M,61.06M,1.132M,,1.132M,3.623M,4.755M,,,,,,,0.127M,0.127M,,4.882M,,,,,,,,4.882M,0.221M,-113.86M,170.10M,,,-0.278M,56.18M
2004-12,7.13M,34.25M,41.38M,7.322M,7.322M,1.382M,1.091M,1.937M,4.41M,0.725M,,,53.84M,0.0,,2.309M,11.22M,,,,13.53M,-10.61M,2.926M,,0.549M,0.549M,,,,3.335M,6.81M,60.65M,1.066M,,1.066M,3.366M,4.432M,,,,,,,0.138M,0.138M,,4.57M,,,,,,,,4.57M,0.22M,-113.64M,169.53M,,,-0.028M,56.08M
2004-09,4.721M,32.17M,36.89M,6.788M,6.788M,1.425M,1.317M,1.899M,4.641M,1.028M,,,49.35M,0.0,,2.286M,11.14M,,,,13.43M,-10.34M,3.085M,,0.597M,0.597M,,,,6.613M,10.30M,59.64M,0.971M,,0.971M,3.266M,4.237M,,,,,,,0.194M,0.194M,,4.431M,,,,,,,,4.431M,0.219M,-113.44M,168.46M,,,-0.031M,55.21M
2004-06,6.223M,26.50M,32.72M,5.416M,5.416M,1.09M,0.99M,2.043M,4.123M,1.223M,,,43.48M,0.0,,2.268M,10.90M,,,,13.16M,-10.05M,3.117M,,,,,,,13.04M,16.16M,59.64M,1.309M,,1.309M,3.515M,4.824M,,,,,,,0.27M,0.27M,,5.094M,,,,,,,,5.094M,0.218M,-113.90M,168.26M,,,-0.034M,54.54M
2004-03,6.893M,20.43M,27.32M,5.972M,5.972M,0.69M,0.45M,1.555M,2.695M,0.987M,,,36.98M,0.0,,2.236M,10.74M,,,,12.98M,-9.774M,3.201M,,0.765M,0.765M,,,,18.22M,22.18M,59.16M,1.368M,,1.368M,3.267M,4.635M,,,,,,,0.19M,0.19M,,4.825M,,,,,,,,4.825M,0.214M,-111.52M,165.70M,,,-0.057M,54.34M
2003-12,15.21M,13.18M,28.39M,3.854M,3.854M,0.94M,0.481M,1.577M,2.998M,0.609M,,,35.85M,0.0,,2.208M,10.58M,,,,12.79M,-9.482M,3.305M,,0.618M,0.618M,,,,19.06M,22.98M,58.83M,1.02M,,1.02M,2.525M,3.545M,,,,,,,0.438M,0.438M,,3.983M,,,,,,,,3.983M,0.212M,-109.98M,164.62M,,,,54.85M
2003-09,42.26M,6.507M,48.76M,3.352M,3.352M,1.138M,0.774M,1.411M,3.323M,0.975M,,,56.41M,0.0,,2.184M,10.56M,,,,12.74M,-9.178M,3.561M,,0.64M,0.64M,,,,,4.201M,60.62M,0.788M,,0.788M,2.608M,3.396M,,,,,,,0.744M,0.744M,,4.14M,,,,,,,,4.14M,0.211M,-108.02M,164.28M,,,,56.48M
2003-06,41.85M,8.642M,50.49M,4.273M,4.273M,1.24M,0.681M,1.093M,3.014M,1.253M,,,59.03M,0.0,,2.176M,10.52M,,,,12.69M,-8.868M,3.825M,,0.70M,0.70M,,,,,4.525M,63.56M,0.918M,,0.918M,2.689M,3.607M,,,,,,,1.00M,1.00M,,4.607M,,,,,,,,4.607M,0.211M,-105.26M,164.00M,,,,58.95M
2003-03,44.57M,9.877M,54.45M,5.224M,5.224M,1.407M,0.794M,0.655M,2.856M,0.884M,,,63.41M,0.0,,2.167M,10.39M,,,,12.56M,-8.55M,4.008M,,1.095M,1.095M,,,,,5.103M,68.52M,1.399M,,1.399M,4.152M,5.551M,,,,,,,0.875M,0.875M,,6.426M,,,,,,,,6.426M,0.21M,-102.07M,163.95M,,,,62.09M
2002-12,49.99M,8.104M,58.09M,4.351M,4.351M,1.552M,0.792M,1.081M,3.425M,0.621M,,,66.49M,0.0,2.159M,,10.25M,,,,12.41M,-8.214M,4.195M,,,,,,,0.75M,4.945M,71.43M,0.81M,,0.81M,3.841M,4.651M,,,,,,,1.75M,1.75M,,6.401M,,,,,,,,6.401M,0.21M,-99.03M,163.85M,,,,65.03M
2002-09,48.60M,12.27M,60.86M,5.408M,5.408M,1.925M,0.734M,1.415M,4.074M,0.86M,,,71.21M,,,,10.13M,2.169M,,,12.30M,-7.912M,4.387M,,,,,,,0.972M,5.359M,76.56M,1.048M,,1.048M,3.949M,4.997M,,,,0.014M,,0.014M,2.083M,2.083M,,7.094M,,,,,,,,7.094M,0.21M,-94.59M,163.85M,,,,69.47M
2002-06,53.30M,10.96M,64.27M,6.554M,6.554M,2.085M,0.811M,1.291M,4.187M,1.514M,,,76.52M,0.0,,2.083M,9.885M,,,,11.97M,-7.478M,4.49M,,,,,,,0.993M,5.483M,82.00M,1.251M,,1.251M,3.953M,5.204M,,,,0.034M,,0.034M,2.24M,2.24M,,7.478M,,,,,,,,7.478M,0.21M,-89.30M,163.62M,,,,74.53M
2002-03,45.67M,25.65M,71.32M,7.056M,7.056M,2.17M,0.709M,1.354M,4.233M,0.825M,,,83.44M,0.0,,2.041M,9.712M,,,,11.75M,-7.046M,4.707M,,1.034M,1.034M,,,,,5.741M,89.18M,1.975M,,1.975M,4.906M,6.881M,,,,0.054M,,0.054M,2.373M,2.373M,,9.308M,,,,,,,,9.308M,0.21M,-83.90M,163.56M,,,,79.87M
2001-12,42.20M,36.27M,78.47M,5.552M,5.552M,1.909M,1.307M,1.924M,5.14M,1.032M,,,90.20M,0.0,1.984M,,9.394M,,,,11.38M,-6.68M,4.698M,,,,,,,4.79M,9.488M,99.68M,2.635M,,2.635M,5.735M,8.37M,,,,0.073M,,0.073M,1.551M,1.551M,,9.994M,,,,,,,0.027M,10.02M,0.209M,-72.94M,159.24M,,,3.145M,89.66M
2001-09,51.61M,32.14M,83.75M,5.695M,5.695M,1.50M,1.222M,1.537M,4.259M,1.161M,,,94.86M,0.0,1.934M,,9.017M,,,,10.95M,-6.247M,4.704M,,,,,,,5.236M,9.94M,104.80M,2.034M,,2.034M,5.021M,7.055M,,,,0.078M,,0.078M,1.579M,1.579M,,8.712M,,,,,,,0.056M,8.768M,0.209M,-66.49M,159.18M,,,3.145M,96.04M
2001-06,60.29M,27.80M,88.09M,8.001M,8.001M,1.406M,0.845M,1.351M,3.602M,1.435M,,,101.13M,0.0,,1.883M,8.775M,,,,10.66M,-5.858M,4.80M,,,,,,,5.641M,10.44M,111.57M,2.236M,,2.236M,5.70M,7.936M,,,,0.077M,,0.077M,0.862M,0.862M,,8.875M,,,,,,,0.091M,8.966M,0.208M,-59.39M,158.64M,,,3.145M,102.60M
2001-03,90.46M,2.036M,92.50M,10.03M,10.03M,1.418M,0.737M,1.519M,3.674M,0.766M,,,106.97M,0.0,,3.528M,8.353M,,,,11.88M,-7.129M,4.752M,,,,,,,6.295M,11.05M,118.01M,2.129M,,2.129M,5.60M,7.729M,,,,0.242M,,0.242M,0.996M,0.996M,,8.967M,,,,,,,0.368M,9.335M,0.208M,-53.09M,158.42M,,,3.145M,108.68M
2000-12,87.23M,9.537M,96.77M,8.461M,8.461M,1.779M,0.532M,1.495M,3.806M,0.543M,,,109.58M,0.0,,3.253M,7.909M,,,,11.16M,-6.717M,4.445M,,,,,,,6.606M,11.05M,120.63M,1.66M,,1.66M,5.978M,7.638M,,,,0.24M,,0.24M,,,,7.878M,,,,,,,0.434M,8.312M,0.207M,-48.91M,161.02M,,,,112.32M
2000-09,90.99M,8.917M,99.90M,8.049M,8.049M,1.686M,0.693M,1.533M,3.912M,0.583M,,,112.45M,0.0,,2.93M,7.593M,,,,10.52M,-6.27M,4.253M,,,,,,,7.086M,11.34M,123.79M,1.459M,,1.459M,5.471M,6.93M,,,,0.239M,,0.239M,,,,7.169M,0.498M,,0.498M,,,,0.498M,7.667M,0.206M,-45.15M,161.07M,,,,116.12M
2000-06,91.91M,11.07M,102.98M,6.494M,6.494M,1.696M,0.678M,1.375M,3.749M,0.818M,,,114.04M,0.0,,2.642M,7.36M,,,,10.00M,-5.822M,4.18M,,,,,,,0.652M,4.832M,118.87M,1.396M,,1.396M,5.515M,6.911M,,,,0.237M,,0.237M,,,,7.148M,0.655M,,0.655M,,,,0.655M,7.803M,0.102M,-43.67M,154.64M,,,,111.07M
2000-03,101.92M,4.467M,106.38M,6.691M,6.691M,1.49M,0.713M,1.343M,3.546M,0.526M,,,117.15M,0.0,,2.277M,7.049M,,,,9.326M,-5.375M,3.951M,,,,,,,0.69M,4.641M,121.79M,1.553M,,1.553M,6.36M,7.913M,,,,0.236M,,0.236M,,,,8.149M,,,,,,,0.715M,8.864M,0.102M,-41.69M,154.51M,,,,112.92M
1999-12,5.006M,7.705M,12.71M,6.862M,6.862M,1.391M,0.7265M,1.500M,3.617M,0.4606M,,,23.65M,0.0,,2.276M,6.512M,,,,8.788M,-5.453M,3.335M,,,,,,,1.033M,4.368M,28.02M,1.945M,,1.945M,5.190M,7.135M,,0.0651M,0.0675M,0.1326M,,0.1326M,,,,7.268M,0.1790M,0.1465M,0.3255M,,,0.1861M,0.5116M,7.779M,0.0870M,-38.62M,58.77M,,,,20.24M
1999-09,5.117M,8.543M,13.66M,6.916M,6.916M,1.494M,1.122M,0.9433M,3.559M,0.5788M,,,24.71M,0.0,,2.026M,6.891M,,,,8.917M,-5.110M,3.808M,,,,,,,1.136M,4.944M,29.66M,1.729M,,1.729M,4.439M,6.168M,,,,,,,,,,6.168M,,,,,,,0.1588M,6.327M,0.0866M,-35.04M,58.29M,,,,23.33M
1999-06,5.710M,9.970M,15.68M,7.781M,7.781M,1.228M,0.5661M,1.271M,3.065M,0.4942M,,,27.02M,0.0,,1.838M,6.156M,,,,7.994M,-4.497M,3.497M,,,,,,,1.315M,4.812M,31.83M,0.8100M,,0.8100M,4.480M,5.290M,,,,,,,,,,5.290M,,,,,,,0.1900M,5.480M,0.0865M,-31.97M,58.24M,,,,26.35M
1999-03,9.30M,,9.30M,6.40M,6.40M,,,,2.90M,,,9.20M,27.80M,,,,,,,,7.80M,-3.90M,3.90M,,,,,,,1.30M,5.20M,33.00M,0.90M,,0.90M,,0.90M,,,,,,,,,4.80M,5.70M,,,,,,,0.20M,5.90M,0.10M,-31.20M,58.20M,,,,27.10M
1998-12,3.490M,16.61M,20.10M,5.199M,5.199M,1.678M,0.6752M,1.071M,3.424M,0.3021M,,,29.03M,0.0,,1.690M,6.184M,,,,7.873M,-3.790M,4.084M,,,,,,,0.3886M,4.472M,33.50M,1.166M,,1.166M,3.497M,4.663M,,,,,,,,,,4.663M,,,,,,,0.4626M,5.125M,0.0864M,-29.85M,58.14M,,,,28.37M
1998-09,1.717M,20.44M,22.16M,4.955M,4.955M,1.436M,0.5162M,1.257M,3.210M,0.4131M,,,30.73M,0.0,,1.690M,5.920M,,,,7.610M,-3.417M,4.193M,,,,,,,0.5222M,4.715M,35.45M,1.244M,,1.244M,2.948M,4.192M,,,,,,,,,,4.192M,,,,,,,0.6107M,4.803M,0.0857M,-27.55M,58.11M,,,,30.64M
1998-06,2.389M,21.39M,23.78M,6.212M,6.212M,1.401M,0.6367M,0.7936M,2.832M,0.3453M,,,33.17M,0.0,,1.630M,5.435M,,,,7.065M,-3.063M,4.002M,,,,,,,0.4749M,4.477M,37.65M,1.539M,,1.539M,2.840M,4.379M,,,,,,,,,,4.379M,,,,,,,0.6452M,5.024M,0.0858M,-25.06M,57.60M,,,,32.62M
