,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,RentandLandingExpense,InvestmentWriteOff,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
1999-12,583.43M,583.43M,,121.45M,121.45M,,,,,121.45M,1.383M,356.30M,194.80M,78.76M,116.04M,,,,,116.04M,116.04M,21.43M,564.28M,,0.29,0.00,,0.29,0.29,,0.28,0.00,,0.28,0.28,,414.85M,428.63M,0.16,,,
1999-09,579.35M,579.35M,,125.68M,125.68M,,,,,125.68M,-3.003M,357.29M,293.20M,97.75M,195.45M,,,,,195.45M,195.45M,30.85M,638.73M,,0.43,0.00,,0.43,0.43,,0.41,0.00,,0.41,0.41,,454.53M,476.70M,0.16,,,
1999-06,573.53M,573.53M,,133.71M,133.71M,,,,,133.71M,0.988M,352.32M,272.02M,91.85M,180.17M,,,,,180.17M,180.17M,21.00M,588.30M,,0.40,0.00,,0.40,0.40,,0.39,0.00,,0.39,0.39,,456.30M,469.42M,0.1333,,,
1999-03,545.69M,545.69M,,101.18M,101.18M,,,,,101.18M,1.632M,339.10M,265.99M,89.64M,176.34M,,,,,176.34M,176.34M,30.72M,567.70M,,0.3867,0.00,,0.3867,0.3867,,0.38,0.00,,0.38,0.38,,454.73M,468.26M,0.1333,,,
1998-12,817.60M,817.60M,,197.10M,197.10M,,,,,197.10M,4.80M,519.80M,331.20M,112.20M,219.00M,,,,,219.00M,219.00M,57.70M,855.40M,,0.3867,0.00,,0.3867,0.3867,,0.3767,0.00,,0.3767,0.3767,,613.26M,629.01M,0.1333,,,
1998-09,420.10M,420.10M,,91.10M,91.10M,,,,,91.10M,2.20M,252.70M,222.10M,77.30M,144.80M,,,,,144.80M,144.80M,19.90M,478.50M,,0.36,0.00,,0.36,0.36,,0.35,0.00,,0.35,0.35,,402.22M,413.71M,0.1133,,,
1998-06,397.90M,397.90M,,79.70M,79.70M,,,,,79.70M,0.50M,249.60M,92.10M,34.30M,57.80M,,,,,57.80M,57.80M,18.20M,355.90M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,385.33M,385.33M,0.1133,,,
1998-03,383.00M,383.00M,,84.50M,84.50M,,,,,84.50M,4.20M,242.90M,186.80M,62.60M,124.20M,,,,,124.20M,124.20M,22.20M,450.70M,,0.31,0.00,,0.31,0.31,,0.31,0.00,,0.31,0.31,,400.65M,400.65M,0.1133,,,
1997-12,373.90M,373.90M,,73.30M,73.30M,,,,,73.30M,3.50M,236.60M,181.80M,61.70M,120.10M,,,,,120.10M,120.10M,18.60M,438.70M,,0.3033,0.00,,0.3033,0.3033,,0.3033,0.00,,0.3033,0.3033,,396.08M,396.08M,0.0978,,,
1997-09,357.50M,357.50M,,75.70M,75.70M,,,,,75.70M,2.00M,228.40M,178.10M,59.50M,118.60M,,,,,118.60M,118.60M,22.00M,434.10M,,0.30,0.00,,0.30,0.30,,0.30,0.00,,0.30,0.30,,395.33M,395.33M,0.0978,,,
1997-06,293.50M,293.50M,,59.00M,59.00M,,,,,59.00M,0.20M,184.80M,145.60M,49.50M,96.10M,,,,,96.10M,96.10M,13.60M,327.10M,,0.29,0.00,,0.29,0.29,,0.28,0.00,,0.28,0.28,,331.38M,343.21M,0.0978,,,
1997-03,279.90M,279.90M,,57.40M,57.40M,,,,,57.40M,0.70M,181.30M,141.50M,47.00M,94.50M,,,,,94.50M,94.50M,15.20M,322.90M,,0.28,0.00,,0.28,0.28,,0.27,0.00,,0.27,0.27,,337.50M,350.00M,0.0859,,,
1996-12,478.80M,478.80M,,104.90M,104.90M,,,,,104.90M,5.80M,330.70M,208.40M,67.50M,140.90M,,,,,140.90M,140.90M,23.80M,624.30M,,0.2656,0.00,,0.2656,0.2656,,0.2478,0.00,,0.2478,0.2478,,550.76M,581.10M,0.0859,,,
1996-09,272.50M,272.50M,,58.90M,58.90M,,,,,58.90M,,177.10M,118.40M,39.30M,79.10M,,,,,79.10M,79.10M,12.40M,300.30M,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,359.55M,359.55M,0.0859,,,
1996-06,263.30M,263.30M,,60.00M,60.00M,,,,,60.00M,0.20M,171.50M,124.80M,41.60M,83.20M,,,,,83.20M,83.20M,14.10M,296.90M,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,361.74M,361.74M,0.0770,,,
1996-03,245.30M,245.30M,,56.80M,56.80M,,,,,56.80M,0.20M,161.60M,118.30M,39.20M,79.10M,,,,,79.10M,79.10M,12.30M,279.80M,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,343.91M,343.91M,0.0770,,,
1995-12,233.70M,233.70M,,46.40M,46.40M,,,,,46.40M,0.70M,151.20M,115.60M,37.70M,77.90M,,,,,77.90M,77.90M,8.20M,277.80M,,0.2322,0.00,,0.2322,0.2322,,0.2322,0.00,,0.2322,0.2322,,335.82M,335.82M,0.077,,,
1995-09,223.10M,223.10M,,49.60M,49.60M,,,,,49.60M,4.10M,142.80M,112.90M,37.70M,75.20M,,,,,75.20M,75.20M,12.20M,272.80M,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,341.82M,341.82M,0.0691,,,
1995-06,208.20M,208.20M,,47.30M,47.30M,,,,,47.30M,,135.70M,102.80M,34.30M,68.50M,,,,,68.50M,68.50M,3.50M,255.10M,,0.21,0.00,,0.21,0.21,,0.21,0.00,,0.21,0.21,,326.19M,326.19M,0.0691,,,
1995-03,204.10M,204.10M,,47.60M,47.60M,,,,,47.60M,,133.70M,99.30M,33.20M,66.10M,,,,,66.10M,66.10M,3.70M,234.80M,,0.20,0.00,,0.20,0.20,,0.20,0.00,,0.20,0.20,,330.50M,330.50M,0.0691,,,
1994-12,196.40M,196.40M,,45.00M,45.00M,,,,,45.00M,0.10M,130.50M,96.60M,31.90M,64.70M,,,,,64.70M,64.70M,6.40M,214.80M,,0.2006,0.00,,0.2006,0.2006,,0.2006,0.00,,0.2006,0.2006,,323.11M,326.91M,0.0613,,,
1994-09,194.70M,194.70M,,47.40M,47.40M,,,,,47.40M,,131.20M,92.40M,29.60M,62.80M,,,,,62.80M,62.80M,7.90M,198.10M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,330.53M,330.53M,0.0614,,,
1994-06,175.50M,175.50M,,40.50M,40.50M,,,,,40.50M,,118.30M,86.20M,28.80M,57.40M,,,,,57.40M,57.40M,4.60M,173.10M,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,318.89M,318.89M,0.0614,,,
1994-03,177.70M,177.70M,,41.50M,41.50M,,,,,41.50M,0.30M,117.90M,82.40M,27.60M,54.80M,,,,,54.80M,54.80M,11.10M,157.80M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,322.35M,322.35M,0.0534,,,
1993-12,169.80M,169.80M,,39.50M,39.50M,,,,,39.50M,0.30M,111.90M,78.30M,26.00M,52.30M,,,,,52.30M,52.30M,8.10M,152.00M,,0.18,0.00,,0.18,0.18,,0.16,0.00,,0.16,0.16,,288.83M,327.20M,0.0534,,,
1993-09,168.60M,168.60M,,38.40M,38.40M,,,,,38.40M,4.30M,109.50M,77.80M,26.20M,51.60M,,,,,51.60M,51.60M,2.80M,150.70M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,303.53M,303.53M,0.0534,,,
1993-06,164.30M,164.30M,,36.80M,36.80M,,,,,36.80M,0.60M,109.30M,71.60M,23.70M,47.90M,,,,,47.90M,47.90M,9.00M,145.00M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,319.33M,319.33M,0.0475,,,
1993-03,160.50M,160.50M,,38.00M,38.00M,,,,,38.00M,1.40M,105.80M,67.30M,22.70M,44.60M,,,,,44.60M,44.60M,10.50M,138.20M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,297.33M,297.33M,0.0475,,,
1992-12,160.20M,160.20M,,36.40M,36.40M,,,,,36.40M,0.10M,106.00M,65.00M,20.70M,44.30M,,,,,44.30M,44.30M,11.50M,136.20M,,0.16,0.00,,0.16,0.16,,0.15,0.00,,0.15,0.15,,271.92M,294.02M,0.0475,,,
1992-09,150.40M,150.40M,,35.50M,35.50M,,,,,35.50M,0.10M,101.40M,63.80M,20.60M,43.20M,,,,,43.20M,43.20M,9.50M,137.40M,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,308.57M,308.57M,0.0435,,,
1992-06,146.40M,146.40M,,32.60M,32.60M,,,,,32.60M,1.20M,95.90M,58.70M,18.30M,40.40M,,,,,40.40M,40.40M,6.20M,136.30M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,310.77M,310.77M,0.0435,,,
1992-03,137.20M,137.20M,,33.10M,33.10M,,,,,33.10M,0.10M,90.90M,52.20M,16.00M,36.20M,,,,,36.20M,36.20M,5.90M,130.10M,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,301.67M,301.67M,0.0435,,,
1991-12,132.90M,132.90M,,30.20M,30.20M,,,,,30.20M,0.10M,87.90M,54.10M,17.20M,36.90M,,,,,36.90M,36.90M,4.70M,144.00M,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,307.92M,307.92M,0.0396,,,
1991-09,128.40M,128.40M,,30.40M,30.40M,,,,,30.40M,1.20M,83.50M,51.60M,15.40M,36.20M,,,,,36.20M,36.20M,3.80M,148.20M,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,301.67M,301.67M,0.0396,,,
1991-06,123.60M,123.60M,,30.20M,30.20M,,,,,30.20M,0.80M,81.70M,48.70M,14.30M,34.40M,,,,,34.40M,34.40M,3.60M,145.60M,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,312.73M,312.73M,0.0396,,,
1991-03,119.30M,119.30M,,30.60M,30.60M,,,,,30.60M,2.20M,79.10M,44.30M,13.50M,30.80M,,,,,30.80M,30.80M,3.00M,142.20M,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,308.00M,308.00M,0.0356,,,
1990-12,112.50M,112.50M,,29.00M,29.00M,,,,,29.00M,,76.30M,45.50M,13.50M,32.00M,,,,,32.00M,32.00M,2.60M,151.30M,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,290.63M,290.63M,0.0356,,,
1990-09,110.50M,110.50M,,27.70M,27.70M,,,,,27.70M,0.10M,73.80M,44.40M,12.40M,32.00M,,,,,32.00M,32.00M,2.60M,148.30M,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,290.91M,290.91M,0.0356,,,
1990-06,105.70M,105.70M,,27.50M,27.50M,,,,,27.50M,-0.10M,72.40M,41.60M,11.70M,29.90M,,,,,29.90M,29.90M,2.10M,139.00M,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,299.00M,299.00M,0.0317,,,
1990-03,104.20M,104.20M,,28.50M,28.50M,,,,,28.50M,,71.10M,36.80M,10.30M,26.50M,,,,,26.50M,26.50M,2.60M,132.70M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,294.44M,294.44M,0.0317,,,
1989-12,,,,,,,,,,,,,,,36.50M,,,,,36.50M,,,,,,,,,,,,,,,,,296.49M,296.49M,0.0317,,,
1989-09,,,,,,,,,,,,,,,25.50M,,,,,25.50M,,,,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,250.30M,250.30M,0.0436,,,
1989-06,,,,,,,,,,,,,,,24.80M,,,,,24.80M,,,,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,250.19M,250.19M,,,,
1989-03,,,,,,,,,,,,,,,21.60M,,,,,21.60M,,,,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,250.19M,250.19M,0.0291,,,
1988-12,,,,,,,,,,,,,,,22.90M,,,,,22.90M,,,,,,,,,,,,,,,,,247.52M,247.52M,0.0264,,,
1988-09,,,,,,,,,,,,,,,21.90M,,,,,21.90M,,,,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,237.69M,237.69M,0.0264,,,
1988-06,,,,,,,,,,,,,,,21.60M,,,,,21.60M,,,,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,236.19M,236.19M,,,,
1988-03,,,,,,,,,,,,,,,17.70M,,,,,17.70M,,,,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,236.11M,236.11M,0.0237,,,
1987-12,,,,,,,,,,,,,,,15.30M,,,,,15.30M,,,,,,,,,,,,,,,,,224.15M,224.15M,0.0237,,,
1987-09,,,,,,,,,,,,,,,16.00M,,,,,16.00M,,,,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,219.02M,219.02M,0.0237,,,
1987-06,,,,,,,,,,,,,,,15.10M,,,,,15.10M,,,,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,219.02M,219.02M,,,,
1987-03,,,,,,,,,,,,,,,13.70M,,,,,13.70M,,,,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,219.02M,219.02M,0.0211,,,
1986-12,,,,,,,,,,,,,,,16.70M,,,,,16.70M,,,,,,,,,,,,,,,,,218.84M,218.84M,0.0211,,,
1986-09,,,,,,,,,,,,,,,13.70M,,,,,13.70M,,,,,0.07,0.00,,0.07,0.07,,0.06,0.00,,0.06,0.06,,205.21M,205.21M,0.0188,,,
1986-06,,,,,,,,,,,,,,,12.50M,,,,,12.50M,,,,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,196.19M,196.19M,,,,
1986-03,,,,,,,,,,,,,,,12.20M,,,,,12.20M,,,,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,201.40M,201.40M,0.0188,,,
1985-12,,,,,,,,,,,,,,,13.30M,,,,,13.30M,,,,,,,,,,,,,,,,,196.09M,196.09M,0.0176,,,
1985-09,,,,,,,,,,,,,,,11.10M,,,,,11.10M,,,,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,191.67M,191.67M,0.0157,,,
1985-06,,,,,,,,,,,,,,,10.50M,,,,,10.50M,,,,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,191.13M,191.13M,,,,
1985-03,,,,,,,,,,,,,,,9.30M,,,,,9.30M,,,,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,190.81M,190.81M,0.0157,,,
1984-12,,,,,,,,,,,,,,,10.10M,,,,,10.10M,,,,,,,,,,,,,,,,,190.81M,190.81M,0.0095,,,
1984-09,,,,,,,,,,,,,,,8.50M,,,,,8.50M,,,,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,179.52M,179.52M,,,,
1984-06,,,,,,,,,,,,,,,8.40M,,,,,8.40M,,,,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,179.46M,179.46M,,,,
1984-03,,,,,,,,,,,,,,,7.70M,,,,,7.70M,,,,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,179.46M,179.46M,,,,
