,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2005-12,3.078B,,3.078B,,,,,3.078B,,,,,,,,,1.869B,,,2.818B,72.54B,744.00M,-1.313B,70.48B,22.59B,102.15B,105.22B,,2.142B,2.142B,,2.142B,4.246B,4.246B,4.246B,11.71B,15.23B,15.23B,67.43B,,,82.66B,95.78B,,1.304B,8.007B,1.827B,1.279B,9.00M,-413.00M,9.446B,,,
2005-09,3.372B,,3.372B,482.00M,,482.00M,,3.854B,,,,,,,,,1.802B,,,2.813B,71.28B,727.00M,-1.284B,69.26B,23.09B,100.75B,104.61B,,2.136B,2.136B,,2.136B,6.075B,6.075B,6.075B,11.76B,16.52B,16.52B,65.50B,,,82.02B,95.22B,,1.304B,7.886B,1.848B,1.336B,9.00M,-317.00M,9.385B,,,
2005-06,2.781B,,2.781B,451.00M,,451.00M,,3.232B,,,,,,,,,1.742B,,,2.787B,68.38B,722.00M,-1.294B,66.36B,25.15B,99.93B,103.16B,,2.456B,2.456B,,2.456B,4.972B,4.972B,4.972B,11.95B,17.49B,17.49B,63.18B,,,80.67B,93.81B,,1.304B,7.702B,1.756B,1.274B,9.00M,-135.00M,9.353B,,,
2005-03,2.42B,,2.42B,438.00M,,438.00M,,2.858B,,,,,,,,,1.753B,,,2.788B,65.71B,717.00M,,64.99B,26.74B,99.86B,102.71B,,2.273B,2.273B,,2.273B,5.70B,5.70B,5.70B,10.64B,16.32B,16.32B,65.31B,,,81.63B,93.82B,,1.304B,7.48B,1.785B,1.358B,9.00M,-323.00M,8.888B,,,
2004-12,2.561B,,2.561B,397.00M,,397.00M,,2.958B,,,,,,,,,1.619B,,,1.481B,61.24B,713.00M,-1.43B,59.10B,25.02B,91.50B,94.46B,,2.216B,2.216B,,2.216B,5.312B,5.312B,5.312B,12.24B,13.98B,13.98B,58.23B,,,72.21B,85.53B,,1.304B,7.269B,1.934B,1.414B,9.00M,-169.00M,8.924B,,,
2004-09,2.313B,,2.313B,416.00M,,416.00M,,2.729B,,,,,,,,,1.627B,,,1.137B,59.94B,785.00M,-1.452B,57.70B,32.28B,95.56B,98.29B,,2.199B,2.199B,,2.199B,8.605B,8.605B,8.605B,16.17B,15.13B,15.13B,56.86B,,,71.99B,89.25B,,1.304B,7.289B,1.922B,1.257B,9.00M,-218.00M,9.04B,,,
2004-06,2.358B,,2.358B,397.12M,,397.12M,,2.755B,,,,,,,,,1.693B,,,1.143B,58.68B,811.82M,-1.419B,56.44B,30.75B,92.86B,95.61B,,1.971B,1.971B,,1.971B,7.666B,7.666B,7.666B,13.49B,14.78B,14.78B,57.91B,,,72.68B,87.22B,,1.305B,6.999B,1.922B,1.278B,9.25M,-554.14M,8.393B,,,
2004-03,2.012B,,2.012B,412.00M,,412.00M,,2.424B,,,,,,,,,1.759B,,,892.83M,57.04B,782.81M,-1.470B,54.79B,31.04B,91.31B,93.73B,,2.411B,2.411B,,2.411B,7.752B,7.752B,7.752B,17.66B,10.99B,10.99B,55.25B,,,66.24B,84.87B,,1.305B,6.731B,1.953B,1.224B,9.25M,98.77M,8.864B,,,
2003-12,2.359B,,2.359B,408.10M,,408.10M,,2.767B,,,,,,,,,1.828B,,,932.62M,55.62B,770.39M,-1.427B,53.42B,29.46B,88.41B,91.18B,,2.200B,2.200B,,2.200B,6.242B,6.242B,6.242B,15.37B,9.063B,9.063B,57.10B,,,66.16B,82.51B,,1.305B,6.481B,1.965B,962.73M,9.25M,-120.70M,8.667B,,,
2003-09,2.394B,,2.394B,,,425.14M,,2.819B,,,,,,,,,999.89M,,,1.197B,53.33B,771.71M,,52.56B,28.41B,86.60B,89.41B,,2.391B,2.391B,,2.391B,6.907B,6.907B,6.907B,16.13B,9.255B,9.255B,54.29B,,,63.55B,80.86B,,1.305B,6.714B,1.302B,757.23M,9.25M,-9.406M,8.554B,,,
2003-06,1.776B,,1.776B,,,525.19M,,2.302B,,,,,,,,,947.66M,,,1.166B,53.81B,734.76M,-1.209B,51.87B,29.44B,85.96B,88.26B,,2.569B,2.569B,,2.569B,5.687B,5.687B,5.687B,14.10B,8.338B,8.338B,55.88B,,481.96M,64.21B,79.23B,,1.305B,6.442B,1.352B,780.30M,9.25M,236.09M,8.554B,,,
2003-03,1.772B,,1.772B,,,540.63M,,2.312B,,,,,,,,,921.08M,,,1.182B,51.51B,703.35M,-1.232B,49.57B,28.09B,81.97B,84.29B,,2.433B,2.433B,,2.433B,4.275B,4.275B,4.275B,11.63B,8.033B,8.033B,54.56B,,471.73M,62.59B,75.15B,,1.304B,6.173B,1.402B,513.38M,9.25M,296.73M,8.664B,,,
2002-12,1.891B,,1.891B,,,569.53M,,2.460B,,,,,,,,,890.93M,,,1.202B,50.55B,683.19M,-1.262B,48.60B,25.83B,78.43B,80.89B,,2.308B,2.308B,,2.308B,4.075B,4.075B,4.075B,11.13B,8.179B,8.179B,52.21B,,461.50M,60.39B,71.96B,,1.304B,5.904B,1.441B,544.00M,9.25M,369.00M,8.475B,,,
2002-09,1.830B,,1.830B,,,524.06M,,2.354B,,,,,,,,,849.54M,,,1.208B,47.91B,660.93M,-1.039B,46.21B,25.02B,75.34B,77.69B,,2.341B,2.341B,,2.341B,4.155B,4.155B,4.155B,9.505B,7.458B,7.458B,51.45B,,452.10M,58.90B,68.87B,,1.304B,5.630B,1.432B,311.20M,9.25M,319.76M,8.376B,,,
2002-06,1.746B,,1.746B,,,519.48M,,2.266B,,,,,,,,,837.44M,,,935.59M,45.64B,649.17M,-959.82M,44.03B,24.00B,72.66B,74.92B,,2.328B,2.328B,,2.328B,3.689B,3.689B,3.689B,7.910B,7.545B,7.545B,50.09B,,440.35M,57.63B,66.29B,,1.304B,5.364B,1.460B,163.08M,9.25M,224.54M,8.190B,,,
2002-03,1.345B,,1.345B,,,469.58M,,1.814B,,,,,,,,,837.66M,,,945.15M,44.41B,628.60M,-910.08M,42.87B,21.70B,68.75B,70.57B,,2.034B,2.034B,,2.034B,3.662B,3.662B,3.662B,8.511B,7.518B,7.518B,45.87B,,430.92M,53.38B,62.33B,,1.304B,5.094B,1.484B,48.38M,9.25M,-31.08M,7.803B,,,
2001-12,2.031B,,2.031B,,,618.00M,,2.649B,,,,,,,,,833.00M,,,950.00M,44.64B,624.00M,-911.00M,43.10B,20.75B,68.38B,71.03B,,1.963B,1.963B,,1.963B,4.909B,4.909B,4.909B,9.416B,7.03B,7.03B,45.85B,,421.00M,52.88B,62.97B,,1.303B,4.838B,1.495B,4.00M,9.00M,8.00M,7.639B,,,
2001-09,1.446B,,1.446B,,,593.64M,,2.040B,,,,,,,,,826.17M,,,,43.97B,616.61M,-873.40M,42.48B,21.44B,68.08B,70.12B,,2.332B,2.332B,,2.332B,4.640B,4.640B,4.640B,9.219B,6.957B,6.957B,45.57B,,172.50M,52.53B,62.54B,,1.292B,4.571B,1.318B,13.39M,9.25M,237.94M,7.406B,,,
2001-06,1.585B,,1.585B,,,545.63M,,2.131B,,,,,,,,,819.06M,,,,45.48B,617.27M,-970.91M,43.89B,19.44B,67.70B,69.83B,,1.965B,1.965B,,1.965B,5.161B,5.161B,5.161B,11.48B,5.452B,5.452B,45.10B,,172.50M,50.56B,62.59B,,1.289B,4.423B,1.271B,,9.25M,84.92M,7.068B,,,
2001-03,754.92M,,754.92M,,,372.31M,,1.127B,,,,,,,,,540.09M,,,,28.71B,395.69M,-1.045B,27.27B,15.95B,45.89B,47.01B,,1.482B,1.482B,,1.482B,2.757B,2.757B,2.757B,7.818B,4.723B,4.723B,28.72B,,172.50M,33.45B,41.64B,,1.047B,3.421B,683.43M,,,49.52M,5.201B,,,
2000-12,985.00M,,985.00M,,,390.00M,,1.375B,,,,,,,,,521.00M,,,,27.49B,383.00M,-984.00M,26.12B,15.83B,44.48B,45.86B,,1.375B,1.375B,,1.375B,3.095B,3.095B,3.095B,5.635B,3.861B,3.861B,30.95B,,173.00M,34.81B,40.79B,,1.034B,3.242B,593.00M,1.00M,,23.00M,4.891B,,,
2000-09,779.59M,,779.59M,,,348.41M,,1.128B,,,,,,,,,498.99M,,,,27.36B,383.92M,-1.056B,25.92B,15.09B,43.27B,44.40B,,1.158B,1.158B,,1.158B,4.596B,4.596B,4.596B,9.352B,4.722B,4.722B,25.47B,,172.50M,30.20B,39.79B,,1.033B,3.103B,620.89M,164.77M,,-156.03M,4.436B,,,
2000-06,750.99M,,750.99M,,,343.80M,,1.095B,,,,,,,,,495.95M,,,,27.39B,382.52M,-964.88M,26.05B,15.31B,43.63B,44.72B,,980.43M,980.43M,,980.43M,5.811B,5.811B,5.811B,10.04B,2.287B,2.287B,27.46B,,172.50M,29.75B,40.23B,,1.032B,3.056B,499.04M,,,-262.70M,4.325B,,,
2000-03,947.52M,,947.52M,,,317.76M,,1.265B,,,,,,,,,489.92M,,,,25.56B,,,25.56B,15.37B,43.12B,44.39B,,850.73M,850.73M,,850.73M,2.619B,2.619B,2.619B,8.749B,1.843B,1.843B,28.99B,,172.50M,30.83B,40.06B,,687.49M,2.836B,926.28M,,,-298.19M,4.152B,,,
1999-12,1.213B,,1.213B,,,321.00M,,1.534B,,,,,,,,,482.00M,,,,26.18B,367.00M,-923.00M,24.89B,13.17B,40.06B,41.59B,,786.00M,786.00M,,786.00M,5.402B,5.402B,5.402B,9.16B,1.804B,1.804B,26.08B,,173.00M,27.89B,37.34B,,1.029B,2.705B,568.00M,,,-225.00M,4.077B,,,
1999-09,716.60M,,716.60M,,,259.60M,,976.20M,,,,,,,,,345.30M,,,,21.48B,303.40M,-834.10M,20.34B,10.43B,32.26B,33.24B,,774.70M,774.70M,,774.70M,4.142B,4.142B,4.142B,8.223B,1.658B,1.658B,19.54B,,,21.20B,29.83B,,,2.401B,,,,-138.10M,3.405B,,,
1999-06,703.30M,,703.30M,,,265.60M,,968.90M,,,,,,,,,335.40M,,,,20.21B,284.40M,-770.70M,19.16B,9.672B,30.66B,31.63B,,784.10M,784.10M,,784.10M,2.139B,2.139B,2.139B,6.162B,1.823B,1.823B,20.13B,,,21.95B,28.30B,,,2.250B,,,,-46.80M,3.333B,,,
1999-03,726.30M,,726.30M,,,269.20M,,995.50M,,,,,,,,,331.90M,,,,19.15B,270.70M,-707.60M,18.17B,9.417B,28.66B,29.65B,,842.50M,842.50M,,842.50M,2.459B,2.459B,2.459B,5.537B,1.788B,1.788B,18.86B,,,20.65B,26.37B,,,2.349B,,,,77.70M,3.279B,,,
1998-12,1.045B,,1.045B,,,343.00M,,1.388B,,,,,,,,,449.00M,,,,23.66B,332.00M,-713.00M,22.61B,11.47B,35.70B,37.09B,,754.00M,754.00M,,754.00M,2.377B,2.377B,2.377B,5.269B,3.063B,3.063B,24.50B,,173.00M,27.56B,33.12B,,,2.204B,,,,,3.795B,,,
1998-09,748.70M,,748.70M,,,,,748.70M,,,,,,,,,324.20M,,,,18.47B,261.60M,-669.30M,17.54B,8.644B,27.58B,28.33B,,756.40M,756.40M,,756.40M,1.776B,1.776B,1.776B,4.556B,1.843B,1.843B,18.64B,,,20.48B,25.22B,,,2.006B,,,,117.70M,3.110B,,,
1998-06,882.40M,,882.40M,221.20M,,221.20M,,1.104B,,,,,,,,,316.60M,,,,18.95B,270.10M,-647.50M,18.03B,8.030B,27.19B,28.29B,,651.20M,651.20M,,651.20M,2.062B,2.062B,2.062B,4.586B,1.637B,1.637B,18.79B,,,20.43B,25.22B,,,1.907B,,,,91.20M,3.077B,,,
1998-03,707.60M,,707.60M,181.70M,,181.70M,,889.30M,,,,,,,,,261.50M,,,,14.36B,202.70M,-558.40M,13.59B,7.310B,21.97B,22.86B,,550.90M,550.90M,,550.90M,2.945B,2.945B,2.945B,4.654B,948.00M,948.00M,14.73B,,,15.68B,20.52B,,,1.471B,,,,79.20M,2.339B,,,
1997-12,777.40M,,777.40M,,,,,777.40M,,,,,,,,,301.00M,,,,18.15B,251.00M,-573.90M,17.33B,8.405B,26.93B,27.71B,,567.90M,567.90M,,567.90M,2.397B,2.397B,2.397B,4.219B,1.509B,1.509B,19.02B,,,20.53B,24.95B,,,1.821B,,,,98.30M,2.763B,,,
1997-09,645.90M,,645.90M,170.50M,,170.50M,,816.40M,,,,,,,,,245.20M,,,,13.50B,194.80M,-475.80M,12.83B,6.545B,20.11B,20.93B,,475.00M,475.00M,,475.00M,2.002B,2.002B,2.002B,3.607B,457.80M,457.80M,14.59B,,,15.05B,18.78B,,,1.446B,,,,49.20M,2.143B,,,
1997-06,847.50M,,847.50M,167.10M,,167.10M,,1.015B,,,,,,,,,233.20M,,,,13.18B,191.40M,-455.20M,12.53B,6.337B,19.68B,20.69B,,410.30M,410.30M,,410.30M,2.105B,2.105B,2.105B,4.086B,457.80M,457.80M,13.97B,,,14.43B,18.69B,,,1.377B,,,,17.40M,2.004B,,,
1997-03,506.70M,,506.70M,162.00M,,162.00M,,668.70M,,,,,,,,,233.20M,,,,12.88B,187.30M,-446.30M,12.25B,6.586B,19.51B,20.18B,,387.10M,387.10M,,387.10M,1.890B,1.890B,1.890B,3.790B,457.70M,457.70M,13.92B,,,14.38B,18.26B,,,1.432B,,,,-27.00M,1.915B,,,
1996-12,808.90M,,808.90M,182.90M,,182.90M,,991.80M,,,,,,,,,231.40M,,,,12.96B,187.30M,-448.20M,12.33B,6.445B,19.56B,20.55B,,374.30M,374.30M,,374.30M,1.845B,1.845B,1.845B,3.640B,277.70M,277.70M,14.37B,,,14.65B,18.40B,,,1.368B,,,,16.60M,2.144B,,,
1996-09,683.20M,,683.20M,167.30M,,167.30M,,850.50M,,,,,,,,,227.60M,,,,12.80B,185.70M,-404.90M,12.21B,6.309B,19.24B,20.09B,,389.60M,389.60M,,389.60M,2.011B,2.011B,2.011B,3.111B,277.60M,277.60M,14.58B,,,14.85B,18.06B,,,1.305B,,,,-32.70M,2.031B,,,
1996-06,475.00M,,475.00M,157.20M,,157.20M,,632.20M,,,,,,,,,223.30M,,,,12.64B,183.90M,-371.80M,12.08B,6.297B,19.22B,19.86B,,311.50M,311.50M,,311.50M,1.607B,1.607B,1.607B,2.786B,282.60M,282.60M,14.72B,,,15.01B,17.90B,,,1.257B,,,,-61.60M,1.951B,,,
1996-03,470.30M,,470.30M,146.40M,,146.40M,,616.70M,,,,,,,,,219.70M,,,,12.45B,181.00M,-345.10M,11.92B,5.622B,18.25B,18.87B,,346.80M,346.80M,,346.80M,1.315B,1.315B,1.315B,2.803B,429.70M,429.70M,13.71B,,,14.14B,17.08B,,,1.201B,,,,-18.20M,1.793B,,,
1995-12,628.50M,,628.50M,134.00M,,134.00M,,762.50M,,,,,,,,,196.00M,,,,12.02B,177.40M,-326.00M,11.51B,4.338B,16.29B,17.05B,,315.00M,315.00M,,315.00M,1.452B,1.452B,1.452B,2.320B,425.40M,425.40M,12.49B,,,12.91B,15.33B,,,1.148B,,,,14.80M,1.725B,,,
1995-09,561.50M,,561.50M,142.20M,,142.20M,,703.70M,,,,,,,,,188.00M,,,,11.88B,173.50M,-285.30M,11.42B,4.638B,16.45B,17.15B,,,,,,1.933B,1.933B,1.933B,2.925B,430.60M,430.60M,11.72B,,,12.15B,15.51B,,,1.171B,,,,-10.70M,1.645B,,,
1995-06,601.90M,,601.90M,128.10M,,128.10M,,730.00M,,,,,,,,,179.20M,,,,10.47B,,,10.47B,4.592B,15.43B,16.16B,,,,,,2.065B,2.065B,2.065B,2.888B,169.00M,169.00M,11.19B,,,11.36B,14.63B,,,1.119B,,,,-14.80M,1.536B,,,
1995-03,603.40M,,603.40M,118.70M,,118.70M,,722.10M,,,,,,,,,178.60M,,,,10.98B,161.50M,-254.00M,10.57B,3.943B,14.88B,15.60B,,,,,,1.731B,1.731B,1.731B,2.459B,173.80M,173.80M,11.14B,,,11.32B,14.13B,,,1.074B,,,,-25.90M,1.479B,,,
1994-12,695.00M,,695.00M,114.00M,,114.00M,,809.00M,,,,,,,,,176.90M,,,,10.52B,155.90M,-232.20M,10.13B,3.637B,14.15B,14.96B,,,194.80M,,194.80M,1.736B,1.736B,1.736B,2.647B,178.70M,178.70M,10.63B,,,10.81B,13.56B,,,1.030B,,,,-48.20M,1.399B,,,
1994-09,587.90M,,587.90M,99.50M,,99.50M,,687.40M,,,,,,,,,174.60M,,,,10.18B,159.20M,-199.00M,9.822B,3.377B,13.58B,14.27B,,206.70M,206.70M,,206.70M,1.446B,1.446B,1.446B,1.992B,183.60M,183.60M,10.63B,,,10.81B,12.91B,,,985.70M,,,,-37.70M,1.360B,,,
1994-06,557.60M,,557.60M,90.10M,,90.10M,,647.70M,,,,,,,,,164.70M,,,,9.465B,143.60M,-173.70M,9.147B,2.612B,12.10B,12.75B,,185.60M,185.60M,,185.60M,1.351B,1.351B,1.351B,2.037B,283.40M,283.40M,9.094B,,,9.378B,11.51B,,,882.10M,,,,-29.70M,1.240B,,,
1994-03,556.30M,,556.30M,84.20M,,84.20M,,640.50M,,,,,,,,,157.90M,,,,9.184B,139.30M,-166.40M,8.878B,2.639B,11.86B,12.50B,,198.20M,198.20M,,198.20M,610.90M,610.90M,610.90M,2.298B,283.10M,283.10M,8.624B,,,8.907B,11.29B,,,843.90M,,,,-11.60M,1.214B,,,
1993-12,580.90M,,580.90M,92.80M,,92.80M,,673.70M,,,,,,,,,156.10M,,,,8.966B,135.10M,-154.60M,8.676B,2.306B,11.29B,11.97B,,172.90M,172.90M,,172.90M,570.70M,570.70M,570.70M,1.775B,282.80M,282.80M,8.628B,,,8.911B,10.77B,,,805.70M,,,,,1.198B,,,
1993-09,499.20M,,499.20M,,,,,499.20M,,,,,,,,,144.40M,,,,8.776B,132.60M,-147.90M,8.495B,1.997B,10.86B,11.36B,,,,,,626.40M,626.40M,626.40M,1.624B,282.60M,282.60M,8.114B,,,8.397B,10.25B,,,770.00M,,,,,1.108B,,,
1993-06,511.70M,,511.70M,78.10M,,78.10M,,589.80M,,,,,,,,,125.00M,,,,8.431B,127.70M,-138.10M,8.166B,1.851B,10.37B,10.96B,,,,,,687.90M,687.90M,687.90M,1.182B,254.40M,254.40M,8.155B,,,8.410B,9.887B,,,734.60M,,,,,1.072B,,,
1993-03,432.30M,,432.30M,77.30M,,77.30M,,509.60M,,,,,,,,,123.00M,,,,7.838B,119.10M,-125.10M,7.593B,2.081B,9.986B,10.50B,,,,,,668.40M,668.40M,668.40M,1.069B,254.10M,254.10M,7.884B,,,8.138B,9.459B,,,701.10M,,,,,1.037B,,,
1992-12,566.70M,,566.70M,,,76.00M,,642.70M,,,,,,,,,120.70M,,,,7.594B,114.80M,-119.00M,7.360B,1.933B,9.571B,10.21B,,106.70M,106.70M,,106.70M,1.230B,1.230B,1.230B,1.336B,254.10M,254.10M,7.532B,,,7.786B,9.208B,,,670.80M,,,,,1.005B,,,
1992-09,500.70M,,500.70M,,,74.20M,,615.20M,,,,,,,,,120.60M,,,,7.121B,108.80M,-112.60M,6.900B,2.064B,9.274B,9.889B,,132.10M,132.10M,,132.10M,1.299B,1.299B,1.299B,1.431B,111.70M,111.70M,7.284B,,,7.395B,8.915B,,,640.90M,,,,,974.40M,,,
1992-06,552.40M,,552.40M,,,73.00M,,863.60M,,,,,,,,,117.70M,,,,6.741B,102.50M,-107.30M,6.531B,1.781B,8.623B,9.486B,,127.40M,127.40M,,127.40M,1.150B,1.150B,1.150B,1.278B,12.80M,12.80M,7.159B,,,7.172B,8.545B,,,610.90M,,,,,941.10M,,,
1992-03,539.50M,,539.50M,,,74.70M,,664.20M,,,,,,,,,116.60M,,,,6.33B,97.00M,-102.00M,6.131B,1.995B,8.440B,9.104B,,140.20M,140.20M,,140.20M,988.80M,988.80M,988.80M,1.129B,12.80M,12.80M,6.952B,,,6.965B,8.192B,,,583.50M,,,,,912.80M,,,
1991-12,523.40M,,523.40M,,,76.10M,,769.50M,,,,,,,,,111.80M,,,,5.912B,90.30M,-105.20M,5.716B,2.064B,8.057B,8.826B,,118.20M,118.20M,,118.20M,1.043B,1.043B,1.043B,1.161B,12.80M,12.80M,6.687B,,,6.700B,7.947B,,,604.70M,,,,,879.50M,,,
1991-09,490.10M,,490.10M,,,84.10M,,1.035B,,,,,,,,,112.50M,,,,5.842B,90.40M,-106.50M,5.645B,1.838B,7.773B,8.808B,,131.00M,131.00M,,131.00M,730.00M,730.00M,730.00M,861.00M,13.30M,13.30M,6.956B,,,6.969B,7.955B,,,579.80M,,,,,852.50M,,,
1991-06,417.10M,,417.10M,,,88.40M,,777.80M,,,,,,,,,109.30M,,,,5.728B,88.70M,-109.80M,5.530B,1.771B,7.516B,8.294B,,122.30M,122.30M,,122.30M,881.90M,881.90M,881.90M,1.004B,13.40M,13.40M,6.386B,,,6.400B,7.467B,,,555.50M,,,,,827.10M,,,
1991-03,373.60M,,373.60M,,,89.30M,,685.40M,,,,,,,,,108.60M,,,,5.624B,86.60M,-104.00M,5.434B,1.730B,7.359B,8.044B,,134.00M,134.00M,,134.00M,759.50M,759.50M,759.50M,893.50M,13.50M,13.50M,6.281B,,,6.294B,7.240B,,,532.90M,,,,,803.60M,,,
1990-12,641.20M,,641.20M,,,84.50M,,985.20M,,,,,,,,,108.10M,,,,5.608B,85.00M,-111.30M,5.412B,1.355B,6.971B,7.956B,,124.30M,124.30M,,124.30M,607.00M,607.00M,607.00M,731.30M,13.50M,13.50M,6.385B,,,6.399B,7.173B,,,512.80M,,,,,782.70M,,,
1990-09,499.20M,,499.20M,,,87.60M,,866.80M,,,,,,,,,104.80M,,,,5.527B,83.70M,-113.10M,5.331B,1.267B,6.792B,7.659B,,123.60M,123.60M,,123.60M,535.80M,535.80M,535.80M,659.40M,13.90M,13.90M,6.186B,,,6.200B,6.899B,,,491.40M,,,,,760.00M,,,
1990-06,458.10M,,458.10M,,,83.30M,,766.70M,,,,,,,,,107.90M,,,,5.402B,81.60M,-121.50M,5.198B,1.175B,6.577B,7.344B,,110.30M,110.30M,,110.30M,443.20M,443.20M,443.20M,553.50M,14.00M,14.00M,5.991B,,,6.005B,6.606B,,,470.00M,,,,,738.10M,,,
1990-03,395.00M,,395.00M,,,77.00M,,629.00M,,,,,,,,,103.90M,,,,5.287B,80.50M,-120.20M,5.087B,1.146B,6.407B,7.036B,,122.90M,122.90M,,122.90M,418.00M,418.00M,418.00M,540.90M,12.50M,12.50M,5.724B,,,5.736B,6.319B,,,449.50M,,,,,717.20M,,,
1989-12,482.30M,,482.30M,,,79.90M,,807.50M,,,,,,,,,102.40M,,,,5.283B,80.00M,-118.90M,5.084B,1.059B,6.336B,7.143B,,119.80M,119.80M,,119.80M,479.20M,479.20M,479.20M,599.00M,12.60M,12.60M,5.784B,,,5.796B,6.444B,,,432.40M,,,,,699.30M,,,
