,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2006-12,1.09B,1.09B,3.673B,3.673B,1.409B,1.001B,2.41B,573.00M,7.746B,,,,,,,8.008B,-4.788B,3.22B,6.077B,625.00M,6.702B,1.435B,11.36B,19.10B,2.086B,,2.086B,1.951B,4.037B,,,,1.167B,1.167B,,,322.00M,5.526B,,3.375B,,3.375B,746.00M,746.00M,,,,173.00M,1.077B,5.198B,10.72B,477.00M,11.47B,4.00M,4.122B,,,376.00M,8.206B
2006-09,810.00M,810.00M,3.716B,3.716B,1.335B,887.00M,2.222B,582.00M,7.33B,0.0,188.00M,1.536B,5.811B,,354.00M,7.889B,-4.669B,3.22B,6.013B,163.00M,6.176B,1.946B,11.34B,18.67B,2.305B,,2.305B,1.933B,4.238B,,,,898.00M,898.00M,,,238.00M,5.374B,,3.128B,,3.128B,724.00M,724.00M,,,,176.00M,1.116B,4.968B,10.34B,238.00M,11.31B,161.00M,3.865B,,,306.00M,8.154B
2006-06,695.00M,695.00M,3.668B,3.668B,1.33B,882.00M,2.212B,592.00M,7.167B,,,,7.736B,,,7.736B,-4.66B,3.076B,6.005B,,6.005B,2.136B,11.22B,18.38B,2.031B,,2.031B,1.892B,3.923B,,,,984.00M,984.00M,,,303.00M,5.21B,,3.132B,,3.132B,,,,,,,1.946B,5.078B,10.29B,238.00M,10.97B,155.00M,3.423B,,,158.00M,8.096B
2006-03,604.00M,604.00M,3.404B,3.404B,1.211B,852.00M,2.063B,560.00M,6.631B,,,,,,,7.50B,-4.51B,2.99B,5.636B,,5.636B,1.952B,10.58B,17.21B,1.867B,,1.867B,1.705B,3.572B,,,,412.00M,412.00M,,,279.00M,4.263B,,3.132B,,3.132B,,,,,,,1.867B,4.999B,9.262B,238.00M,10.66B,141.00M,3.127B,,,30.00M,7.947B
2005-12,624.00M,624.00M,3.222B,3.222B,1.157B,785.00M,1.942B,501.00M,6.289B,,,,,,,7.384B,-4.415B,2.969B,,5.477B,5.477B,1.891B,10.34B,16.63B,1.738B,,1.738B,1.648B,3.386B,,,,453.00M,453.00M,,,260.00M,4.099B,,3.128B,,3.128B,,,,,,,1.782B,4.91B,9.009B,238.00M,10.42B,132.00M,3.083B,,,-85.00M,7.617B
2005-09,1.233B,1.233B,3.256B,3.256B,1.102B,711.00M,1.813B,535.00M,6.837B,,,,7.356B,,,7.356B,-4.353B,3.003B,5.479B,,5.479B,1.908B,10.39B,17.23B,1.841B,,1.841B,1.839B,3.68B,,,,970.00M,970.00M,,,281.00M,4.931B,,3.128B,,3.128B,,,,,,,1.768B,4.896B,9.827B,238.00M,10.20B,120.00M,3.092B,,,-65.00M,7.40B
2005-06,1.564B,1.564B,3.138B,3.138B,1.09B,749.00M,1.839B,481.00M,7.022B,,,,,,,7.35B,-4.421B,2.929B,,5.334B,5.334B,1.859B,10.12B,17.14B,1.61B,,1.61B,1.751B,3.361B,,,,1.622B,1.622B,,,244.00M,5.227B,,2.879B,,2.879B,,,,,,,1.72B,4.599B,9.826B,238.00M,9.952B,112.00M,2.915B,,,-69.00M,7.318B
2005-03,1.606B,1.606B,3.155B,3.155B,1.135B,772.00M,1.907B,478.00M,7.146B,,,,,,,7.404B,-4.428B,2.976B,,5.406B,5.406B,1.735B,10.12B,17.26B,1.653B,,1.653B,1.736B,3.389B,,,,1.569B,1.569B,,,149.00M,5.107B,,2.881B,,2.881B,,,,,,,1.664B,4.545B,9.652B,238.00M,9.767B,105.00M,2.674B,,,175.00M,7.611B
2004-12,1.485B,1.485B,3.027B,3.027B,1.115B,746.00M,1.861B,468.00M,6.841B,,,,,,,7.324B,-4.369B,2.955B,,5.379B,5.379B,1.781B,10.12B,16.96B,1.52B,,1.52B,1.748B,3.268B,,,,1.28B,1.28B,,,201.00M,4.749B,,2.886B,,2.886B,,,,,,,1.666B,4.552B,9.301B,238.00M,9.593B,92.00M,2.473B,,,205.00M,7.655B
2004-09,1.346B,1.346B,2.932B,2.932B,1.012B,693.00M,1.705B,433.00M,6.416B,0.0,184.00M,1.402B,5.284B,,249.00M,7.119B,-4.182B,2.937B,,5.259B,5.259B,1.749B,9.945B,16.36B,1.629B,,1.629B,1.695B,3.324B,,,,902.00M,902.00M,,,113.00M,4.339B,,3.136B,,3.136B,,,,,,,1.648B,4.784B,9.123B,238.00M,9.471B,87.00M,2.47B,,,-88.00M,7.238B
2004-06,1.386B,1.386B,2.874B,2.874B,960.00M,648.00M,1.608B,475.00M,6.343B,,,,,,,7.017B,-4.173B,2.844B,,5.024B,5.024B,1.726B,9.594B,15.94B,1.387B,,1.387B,1.662B,3.049B,,,,878.00M,878.00M,,,186.00M,4.113B,,3.149B,,3.149B,,,,,,,1.673B,4.822B,8.935B,238.00M,9.286B,79.00M,2.424B,,,-177.00M,7.002B
2004-03,1.165B,1.165B,2.874B,2.874B,970.00M,661.00M,1.631B,638.00M,6.308B,,,,,,,6.808B,-3.902B,2.906B,,5.022B,5.022B,1.785B,9.713B,16.02B,1.40B,,1.40B,1.556B,2.956B,,,,504.00M,504.00M,,,152.00M,3.612B,,3.756B,,3.756B,,,,,,,1.648B,5.404B,9.016B,238.00M,9.114B,73.00M,2.321B,,,-99.00M,7.005B
2003-12,1.009B,1.009B,2.705B,2.705B,962.00M,685.00M,1.647B,619.00M,5.98B,0.0,6.977B,,,,,6.977B,-4.033B,2.944B,,5.013B,5.013B,1.77B,9.727B,15.71B,1.324B,,1.324B,1.482B,2.806B,,,,647.00M,647.00M,,,190.00M,3.643B,,3.733B,,3.733B,,,,,,,1.605B,5.338B,8.981B,238.00M,8.964B,64.00M,2.329B,,,-211.00M,6.726B
2003-09,696.00M,696.00M,2.65B,2.65B,930.00M,628.00M,1.558B,596.00M,5.50B,0.0,178.00M,1.341B,5.129B,,216.00M,6.864B,-3.902B,2.962B,,4.942B,4.942B,1.79B,9.694B,15.19B,1.397B,,1.397B,1.513B,2.91B,,,,391.00M,391.00M,,,116.00M,3.417B,,3.733B,,3.733B,,,,,,,1.584B,5.317B,8.734B,238.00M,8.889B,65.00M,2.346B,,,-386.00M,6.46B
2003-06,709.00M,709.00M,2.668B,2.668B,978.00M,678.00M,1.656B,581.00M,5.614B,,,,,,,6.897B,-3.904B,2.993B,,4.956B,4.956B,1.82B,9.769B,15.38B,1.214B,,1.214B,1.522B,2.736B,,,,936.00M,936.00M,,,61.00M,3.733B,,3.735B,,3.735B,,,,,,,1.431B,5.166B,8.899B,238.00M,8.777B,62.00M,2.35B,,,-243.00M,6.484B
2003-03,606.00M,606.00M,2.547B,2.547B,982.00M,697.00M,1.679B,450.00M,5.282B,,,,,,,6.787B,-3.765B,3.022B,,4.96B,4.96B,1.54B,9.522B,14.80B,1.222B,,1.222B,1.46B,2.682B,,,,1.045B,1.045B,,,138.00M,3.865B,,3.486B,,3.486B,,,,,,,1.414B,4.90B,8.765B,238.00M,8.583B,56.00M,2.353B,,,-485.00M,6.039B
2002-12,437.00M,437.00M,2.395B,2.395B,988.00M,683.00M,1.671B,436.00M,4.939B,,,,,,,6.721B,-3.651B,3.07B,,4.93B,4.93B,1.556B,9.556B,14.50B,1.136B,,1.136B,1.387B,2.523B,,,,1.017B,1.017B,,,174.00M,3.714B,,3.486B,,3.486B,,,,,,,1.415B,4.901B,8.615B,238.00M,8.513B,51.00M,2.355B,,,-567.00M,5.88B
2002-09,381.00M,381.00M,2.513B,2.513B,962.00M,662.00M,1.624B,443.00M,4.961B,0.0,172.00M,1.318B,4.878B,,281.00M,6.649B,-3.533B,3.116B,,4.91B,4.91B,1.558B,9.584B,14.54B,1.268B,,1.268B,1.448B,2.716B,,,,1.56B,1.56B,,,124.00M,4.40B,,2.99B,,2.99B,,,,,,,1.414B,4.404B,8.804B,238.00M,8.461B,52.00M,2.363B,,,-647.00M,5.741B
2002-06,548.00M,548.00M,2.604B,2.604B,1.023B,674.60M,1.698B,451.60M,5.301B,,,,,,,6.649B,-3.541B,3.108B,,4.876B,4.876B,1.612B,9.596B,14.90B,1.176B,,1.176B,1.471B,2.647B,,,,2.344B,2.344B,,,173.00M,5.164B,,2.749B,,2.749B,,,,,,,1.327B,4.076B,9.240B,238.30M,8.375B,47.90M,2.346B,,,-658.10M,5.657B
2002-03,448.10M,448.10M,2.531B,2.531B,1.051B,699.70M,1.751B,467.50M,5.198B,,,,,,,6.575B,-3.450B,3.125B,,5.729B,5.729B,1.482B,10.34B,15.53B,1.032B,,1.032B,1.363B,2.395B,,,,2.514B,2.514B,,,185.40M,5.094B,,2.738B,,2.738B,,,,,,,1.330B,4.068B,9.162B,238.30M,9.194B,42.60M,2.349B,,,-754.80M,6.372B
2001-12,467.40M,467.40M,2.448B,2.448B,1.125B,752.30M,1.878B,465.80M,5.259B,,,,,,,6.624B,-3.420B,3.204B,5.757B,,5.757B,1.278B,10.24B,15.50B,986.50M,,986.50M,1.375B,2.361B,,,,2.685B,2.685B,,,160.00M,5.206B,,2.747B,,2.747B,,,,,,,1.304B,4.050B,9.256B,238.30M,9.083B,35.80M,2.360B,,,-755.20M,6.242B
2001-09,356.00M,356.00M,2.551B,2.551B,1.174B,723.00M,1.897B,516.00M,5.32B,0.0,172.00M,1.304B,4.821B,-1.00M,368.00M,6.664B,-3.376B,3.288B,,5.182B,5.182B,1.256B,9.726B,15.05B,1.128B,,1.128B,1.619B,2.747B,,,,2.448B,2.448B,,,184.00M,5.379B,,2.256B,,2.256B,,,,,,,1.297B,3.553B,8.932B,238.00M,8.991B,31.00M,2.405B,,,-741.00M,6.114B
2001-06,423.20M,423.20M,2.717B,2.717B,1.263B,795.70M,2.059B,471.50M,5.671B,0.0,,6.672B,,,,6.672B,-3.392B,3.28B,,5.225B,5.225B,1.302B,9.807B,15.48B,1.163B,,1.163B,1.522B,2.685B,,,,2.394B,2.394B,,,117.60M,5.197B,,2.276B,,2.276B,,,,,,,1.295B,3.571B,8.768B,238.30M,9.168B,27.30M,1.953B,-770.80M,,-770.80M,6.710B
2001-03,403.60M,403.60M,2.880B,2.880B,1.326B,885.70M,2.212B,454.40M,5.949B,,,,,,,6.471B,-3.168B,3.303B,,5.325B,5.325B,1.16B,9.788B,15.74B,1.264B,,1.264B,1.463B,2.726B,,,,2.521B,2.521B,,,260.40M,5.508B,,2.279B,,2.279B,,,,,,,1.269B,3.548B,9.057B,238.30M,9.001B,20.20M,1.917B,-661.80M,,-661.80M,6.680B
2000-12,359.70M,359.70M,2.743B,2.743B,1.342B,875.70M,2.218B,465.50M,5.786B,,,,,,,6.525B,-3.262B,3.263B,,5.300B,5.300B,1.165B,9.728B,15.51B,1.185B,,1.185B,1.398B,2.583B,,,,2.447B,2.447B,,,371.50M,5.401B,,2.279B,,2.279B,,,,,,,1.269B,3.548B,8.950B,238.30M,8.806B,10.80M,1.867B,-623.50M,,-623.50M,6.564B
2000-09,280.80M,280.80M,2.706B,2.706B,,,2.053B,443.60M,5.483B,,,,,,,6.412B,-3.168B,3.243B,5.32B,,5.32B,1.118B,9.682B,15.16B,1.211B,,1.211B,1.391B,2.601B,,,,2.353B,2.353B,,,264.90M,5.219B,,2.248B,,2.248B,,,,,,,1.295B,3.543B,8.762B,238.30M,8.613B,53.00M,1.923B,-578.60M,,-578.60M,6.403B
2000-06,402.50M,402.50M,2.804B,2.804B,1.173B,838.80M,2.011B,446.60M,5.664B,,,,,,,6.322B,-3.181B,3.141B,,5.410B,5.410B,1.099B,9.65B,15.31B,1.028B,,1.028B,1.339B,2.367B,,,,3.354B,3.354B,,,294.30M,6.015B,,1.753B,,1.753B,,,,,,,1.266B,3.019B,9.034B,238.30M,8.395B,52.70M,1.935B,,,-470.50M,6.280B
2000-03,373.40M,373.40M,2.647B,2.647B,1.184B,839.10M,2.024B,436.40M,5.481B,,,,,,,6.548B,-3.311B,3.237B,,5.091B,5.091B,1.134B,9.462B,14.94B,1.001B,,1.001B,1.233B,2.234B,,,,3.382B,3.382B,,,245.80M,5.862B,,1.444B,,1.444B,,,,,,,1.506B,2.950B,8.813B,238.30M,8.174B,50.90M,1.948B,,,-384.90M,6.13B
1999-12,339.50M,339.50M,2.488B,2.488B,1.117B,836.50M,1.953B,421.60M,5.202B,,,,,,,6.439B,-3.296B,3.143B,,4.208B,4.208B,1.076B,8.427B,13.63B,890.40M,,890.40M,1.192B,2.082B,,,,2.065B,2.065B,,,362.40M,4.510B,,1.401B,,1.401B,,,,,,,1.530B,2.931B,7.440B,238.30M,7.974B,20.50M,1.730B,,,-314.00M,6.189B
1999-09,266.10M,266.10M,2.516B,2.516B,,,1.921B,420.90M,5.124B,,,,,,,6.378B,-3.223B,3.154B,,4.263B,4.263B,1.082B,8.499B,13.62B,1.069B,,1.069B,,1.069B,,,,1.954B,1.954B,,,1.568B,4.590B,,1.317B,,1.317B,,,,,,,1.536B,2.853B,7.443B,238.30M,7.804B,23.90M,1.614B,,,-271.60M,6.180B
1999-06,332.80M,332.80M,2.563B,2.563B,1.033B,854.60M,1.887B,377.90M,5.161B,,,,,,,6.294B,-3.225B,3.068B,4.175B,,4.175B,1.130B,8.373B,13.53B,836.60M,,836.60M,1.308B,2.145B,,,,2.301B,2.301B,,,195.10M,4.641B,,1.334B,,1.334B,,,,,,,1.510B,2.844B,7.485B,238.30M,7.605B,24.30M,1.519B,-299.20M,,-299.20M,6.049B
1999-03,305.60M,305.60M,2.566B,2.566B,1.110B,816.50M,1.926B,392.30M,5.190B,,,,,,,6.242B,-3.194B,3.048B,4.004B,,4.004B,1.013B,8.066B,13.26B,872.30M,,872.30M,1.243B,2.115B,,,,2.046B,2.046B,,,229.50M,4.391B,,1.286B,,1.286B,,,,,,,1.632B,2.918B,7.309B,238.30M,7.401B,25.10M,1.467B,-250.40M,,-250.40M,5.947B
1998-12,321.70M,321.70M,2.396B,2.396B,1.128B,870.20M,1.998B,374.50M,5.091B,,,,,,,6.213B,-3.159B,3.054B,4.002B,,4.002B,1.015B,8.071B,13.16B,831.30M,,831.30M,1.139B,1.97B,,,,2.009B,2.009B,,,320.30M,4.300B,,1.243B,,1.243B,,,,,,,1.647B,2.890B,7.190B,238.30M,7.216B,26.80M,1.343B,-166.90M,,-166.90M,5.972B
1998-09,209.70M,209.70M,2.416B,2.416B,1.138B,858.60M,1.996B,379.00M,5.001B,0.0,173.40M,1.206B,4.374B,,318.30M,6.071B,-3.059B,3.012B,3.703B,,3.703B,944.20M,7.658B,12.66B,1.037B,,1.037B,1.253B,2.289B,,,,1.524B,1.524B,,,207.90M,4.022B,,1.057B,,1.057B,,,,,,,1.778B,2.835B,6.856B,238.30M,7.056B,27.90M,1.283B,-236.20M,,-236.20M,5.803B
1998-06,413.70M,413.70M,2.445B,2.445B,1.154B,800.10M,1.954B,365.30M,5.178B,,,,,,,5.885B,-3.000B,2.885B,3.356B,,3.356B,909.00M,7.151B,12.33B,767.10M,,767.10M,1.206B,1.973B,,,,1.994B,1.994B,,,244.10M,4.212B,,610.40M,,610.40M,,,,,,,1.734B,2.345B,6.557B,238.30M,6.872B,31.70M,1.146B,-224.00M,,-224.00M,5.772B
1998-03,426.50M,426.50M,2.386B,2.386B,1.093B,783.90M,1.877B,405.60M,5.095B,,,,,,,5.676B,-2.869B,2.807B,3.317B,,3.317B,891.10M,7.015B,12.11B,725.70M,,725.70M,1.171B,1.897B,,,,1.921B,1.921B,,,256.90M,4.075B,,601.90M,,601.90M,,,,,,,1.703B,2.305B,6.380B,238.30M,6.678B,34.90M,990.10M,-230.10M,,-230.10M,5.731B
