,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-12,3.226B,3.226B,2.083B,1.143B,,717.00M,,-45.00M,,,,,717.00M,426.00M,,,,-45.00M,,323.00M,105.00M,218.00M,,,,218.00M,248.37M,553.00M,127.00M,426.00M,0.26,0.0,,0.2962,0.26,0.26,0.0,,0.2961,0.26,838.00M,841.20M,0.1962
2002-09,3.462B,3.462B,2.242B,1.220B,,715.30M,,-67.50M,,,,,715.30M,504.40M,,,,-67.50M,,396.30M,131.30M,265.00M,,-0.30M,,248.70M,310.14M,636.00M,131.60M,504.40M,0.315,1.1,0.0,0.3693,0.295,0.315,1.1,-0.0047,0.3693,0.295,831.52M,831.52M,0.1938
2002-06,3.571B,3.571B,2.340B,1.230B,,716.50M,,-32.60M,,,,,716.50M,514.00M,,,,-32.60M,,420.90M,139.30M,281.60M,,,,281.60M,303.41M,654.50M,140.50M,514.00M,0.34,0.0,,0.3663,0.34,0.335,0.0,,0.3609,0.335,828.24M,840.60M,0.1938
2002-03,3.421B,3.421B,2.232B,1.189B,,724.30M,,2.00M,,,,,724.30M,464.40M,,,,2.00M,,404.60M,129.90M,274.70M,,,,274.70M,273.34M,602.30M,137.90M,464.40M,0.325,0.0,,0.3234,0.325,0.325,0.0,,0.3234,0.325,845.23M,845.23M,0.1938
2001-12,3.295B,3.295B,2.125B,1.17B,,748.00M,,16.00M,,,,,748.00M,422.00M,,,,16.00M,,368.00M,114.00M,255.00M,,-938.00M,,-683.00M,243.96M,553.00M,131.00M,422.00M,0.305,-1.12,-0.0,0.2918,-0.815,0.305,-1.12,-1.121,0.2919,-0.815,836.80M,840.80M,0.1938
2001-09,3.383B,3.383B,2.263B,1.121B,,755.80M,,-292.50M,,,,,755.80M,364.80M,,,,-292.50M,,21.30M,18.80M,2.50M,,,,-14.50M,178.00M,537.60M,172.80M,364.80M,0.01,-0.02,,0.2188,-0.01,0.005,-0.02,,0.211,-0.015,840.34M,852.05M,0.1912
2001-06,3.905B,3.905B,2.540B,1.365B,,731.20M,,-58.10M,,,,,731.20M,633.40M,,,,-58.10M,,503.20M,172.80M,330.40M,,,,330.40M,368.55M,817.40M,184.00M,633.40M,0.385,0.0,,0.4295,0.385,0.385,0.0,,0.4295,0.385,858.18M,858.18M,0.1912
2001-03,4.103B,4.103B,2.652B,1.451B,,790.00M,,-36.10M,,,,,790.00M,660.80M,,,,-36.10M,,545.40M,186.70M,358.70M,,,,358.70M,382.44M,841.60M,180.80M,660.80M,0.42,0.0,,0.4478,0.42,0.415,0.0,,0.4425,0.415,854.05M,864.34M,0.1912
2000-12,3.920B,3.920B,2.532B,1.388B,,774.00M,,13.70M,,,,,774.00M,614.00M,,,,13.70M,,544.10M,186.70M,357.40M,,,,357.40M,348.40M,785.40M,171.40M,614.00M,0.42,0.0,,0.4094,0.42,0.415,0.0,,0.4046,0.415,850.95M,861.20M,0.1912
2000-09,4.065B,4.065B,1.929B,2.136B,,775.40M,,-28.80M,,,,,1.454B,681.80M,,,,-28.80M,,569.60M,198.60M,371.00M,,,,371.00M,389.76M,853.80M,172.00M,681.80M,0.435,0.0,,0.4569,0.435,0.43,0.0,,0.4517,0.43,854.81M,865.79M,0.1788
2000-06,4.042B,4.042B,2.605B,1.437B,,767.30M,,-12.10M,,,,,767.30M,669.40M,,,,-12.10M,,574.10M,200.40M,373.70M,,,,373.70M,381.58M,840.30M,170.90M,669.40M,0.44,0.0,,0.4493,0.44,0.435,0.0,,0.4442,0.435,849.32M,859.08M,0.1788
2000-03,3.895B,3.895B,2.342B,1.552B,,743.30M,,-29.50M,,,,,915.40M,637.10M,,,,-29.50M,,538.60M,185.80M,352.80M,,,,352.80M,372.12M,809.20M,172.10M,637.10M,0.415,0.0,,0.4376,0.415,0.41,0.0,,0.4324,0.41,854.40M,861.40M,0.1788
1999-12,3.543B,3.543B,2.125B,1.418B,,701.90M,,-4.60M,,,,,865.40M,552.60M,,,,-4.60M,,496.00M,171.10M,324.90M,,,,324.90M,327.91M,716.10M,163.50M,552.60M,0.375,0.0,,0.3785,0.375,0.375,0.0,,0.3785,0.375,866.40M,866.40M,0.1788
1999-09,3.620B,3.620B,2.176B,1.444B,,684.60M,,-42.00M,,,,,840.90M,603.10M,,,,-42.00M,,510.00M,169.80M,340.20M,,,,340.20M,368.22M,759.40M,156.30M,603.10M,0.395,0.0,,0.4275,0.395,0.39,0.0,,0.4221,0.39,860.93M,872.12M,0.1625
1999-06,3.634B,3.634B,2.176B,1.458B,,695.50M,,-15.40M,,,,,859.50M,598.50M,,,,-15.40M,,534.20M,189.10M,345.10M,,,,345.10M,355.05M,762.50M,164.00M,598.50M,0.4,0.0,,0.4115,0.4,0.395,0.0,,0.4064,0.395,862.75M,873.67M,0.1625
1999-03,3.589B,3.589B,2.151B,1.438B,,698.70M,,-31.10M,,,,,857.30M,580.20M,,,,-31.10M,,504.30M,178.40M,325.90M,,,,325.90M,346.00M,738.80M,158.60M,580.20M,0.375,0.0,,0.3981,0.375,0.37,0.0,,0.3928,0.37,869.07M,880.81M,0.1625
1998-12,3.427B,3.427B,2.212B,1.215B,,691.40M,,-6.40M,,,,,691.40M,523.70M,,,,-6.40M,,472.40M,170.00M,302.40M,,,,302.40M,306.50M,523.70M,,523.70M,0.345,0.0,,0.3497,0.345,0.345,0.0,,0.3496,0.345,872.00M,881.20M,0.1625
1998-09,3.428B,3.428B,2.195B,1.233B,,672.20M,,-27.70M,,,,,672.20M,560.90M,,,,-27.70M,,494.30M,180.40M,313.90M,,,,313.90M,331.49M,560.90M,,560.90M,0.36,0.0,,0.3802,0.36,0.355,0.0,,0.375,0.355,871.49M,879.50M,0.1475
1998-06,3.465B,3.465B,2.211B,1.254B,,684.80M,,-24.50M,,,,,684.80M,569.30M,,,,-24.50M,,507.50M,182.70M,324.80M,,,,324.80M,340.48M,569.30M,,569.30M,0.37,0.0,,0.3878,0.37,0.365,0.0,,0.3826,0.365,878.80M,889.00M,0.1475
