,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2013-03,66.80M,427.50M,930.70M,1.358B,345.10M,345.10M,43.80M,4.00M,87.70M,,135.50M,46.50M,,9.40M,,1.895B,,,,,,,,,249.90M,138.00M,99.80M,237.80M,1.758B,95.60M,,2.341B,4.236B,67.90M,,67.90M,51.60M,119.50M,,,,192.10M,192.10M,,377.60M,,,,,,86.00M,86.00M,463.60M,0.00,1.386B,2.378B,,,,,8.10M,3.772B
2012-12,89.70M,553.70M,770.70M,1.324B,370.30M,370.30M,41.20M,4.40M,75.90M,,121.50M,67.30M,,9.30M,,1.893B,0.0,83.60M,99.10M,178.10M,,15.40M,376.20M,-134.40M,241.80M,138.10M,103.40M,241.50M,1.596B,87.00M,,2.166B,4.059B,57.60M,5.80M,63.40M,48.50M,111.90M,,,,185.70M,185.70M,,401.60M,,,,,,0.80M,77.50M,479.10M,0.00,1.333B,2.240B,,,,,6.60M,3.580B
2012-09,,396.20M,745.20M,1.141B,336.20M,336.20M,37.20M,3.10M,85.50M,,125.80M,42.60M,,7.10M,,1.653B,,,,,,,,,223.40M,138.10M,69.80M,207.90M,1.560B,88.10M,,2.079B,3.732B,56.10M,,56.10M,62.10M,118.20M,,,,171.80M,171.80M,,364.90M,,,,,,,73.80M,438.70M,0.00,1.209B,2.079B,,,,,5.80M,3.294B
2012-06,,484.40M,728.10M,1.212B,323.20M,323.20M,34.30M,3.30M,81.80M,,119.40M,40.80M,,7.40M,,1.703B,,,,,,,,,216.10M,138.10M,75.30M,213.40M,1.419B,74.60M,,1.923B,3.626B,54.60M,,54.60M,49.50M,104.10M,,,,168.20M,168.20M,,346.80M,,,,,,,96.90M,443.70M,0.00,1.186B,1.993B,,,,,3.60M,3.182B
2012-03,,325.90M,645.40M,971.30M,299.70M,299.70M,31.90M,2.60M,84.30M,,118.80M,39.90M,,6.40M,,1.436B,,,,,,,,,210.10M,138.10M,81.40M,219.50M,1.400B,67.50M,,1.897B,3.333B,49.80M,,49.80M,45.60M,95.40M,,,,160.50M,160.50M,,313.60M,,,,,,,92.00M,405.60M,0.00,1.045B,1.880B,,,,,1.50M,2.927B
2011-12,51.60M,465.80M,563.40M,1.029B,297.90M,297.90M,34.80M,2.50M,74.80M,,112.10M,20.90M,,6.20M,,1.466B,0.0,72.10M,88.10M,134.20M,,11.40M,305.80M,-108.60M,197.20M,116.90M,71.00M,187.90M,1.143B,69.10M,,1.597B,3.063B,45.80M,8.50M,54.30M,29.00M,83.30M,,,,154.20M,154.20M,,320.60M,,,,,,1.00M,96.90M,417.50M,0.00,901.90M,1.743B,,,,,0.90M,2.646B
2011-09,,298.20M,612.40M,910.60M,265.10M,265.10M,29.80M,3.00M,75.80M,,108.60M,22.80M,,4.80M,,1.312B,,,,,,,,,196.00M,116.90M,75.40M,192.30M,976.70M,69.10M,,1.434B,2.746B,43.20M,,43.20M,36.90M,80.10M,,,,143.70M,143.70M,,284.10M,,,,,,,92.90M,377.00M,0.00,750.70M,1.617B,,,,,1.50M,2.369B
2011-06,,382.00M,611.90M,993.90M,250.30M,250.30M,26.80M,2.60M,70.70M,,100.10M,17.00M,,4.00M,,1.365B,,,,,,,,,194.20M,116.90M,68.10M,185.00M,828.10M,77.30M,,1.285B,2.650B,37.50M,,37.50M,47.60M,85.10M,,,,134.30M,134.30M,,274.00M,,,,,,,87.40M,361.40M,0.00,798.50M,1.487B,,,,,2.60M,2.288B
2011-03,,449.80M,640.00M,1.090B,259.90M,259.90M,25.50M,3.40M,64.40M,,93.30M,32.20M,,8.40M,,1.484B,,,,,,,,,162.60M,116.90M,72.50M,189.40M,667.20M,65.50M,,1.085B,2.568B,43.20M,,43.20M,78.80M,122.00M,,,,130.30M,130.30M,,252.30M,,,,,,,85.10M,337.40M,0.00,812.00M,1.420B,,,,,-0.70M,2.231B
2010-12,,279.80M,630.60M,910.40M,246.80M,246.80M,25.60M,2.50M,58.70M,,86.80M,23.30M,,8.50M,,1.276B,0.0,41.80M,62.40M,108.60M,,34.00M,246.80M,-87.00M,159.80M,116.90M,66.10M,183.00M,698.50M,73.30M,,1.115B,2.390B,35.60M,,35.60M,48.70M,84.30M,,,,126.10M,126.10M,,273.80M,,,,,,,79.20M,353.00M,0.00,718.90M,1.317B,,,,,1.60M,2.037B
2010-09,,382.00M,598.90M,980.90M,207.90M,207.90M,27.40M,2.40M,55.20M,,85.00M,20.30M,,7.40M,,1.302B,,,,,,,,,156.60M,116.90M,70.60M,187.50M,639.70M,65.20M,1.30M,1.050B,2.352B,35.70M,,35.70M,114.80M,150.50M,,,,116.80M,116.80M,,267.30M,,,,,,,76.20M,343.50M,0.00,720.10M,1.288B,,,,,0.70M,2.008B
2010-06,,420.00M,547.90M,967.90M,194.70M,194.70M,17.20M,4.80M,52.00M,,74.00M,20.30M,,7.20M,,1.264B,,,,,,,,,144.40M,110.70M,49.80M,160.50M,620.30M,53.20M,0.60M,979.00M,2.243B,41.60M,,41.60M,42.10M,83.70M,,,,107.60M,107.60M,52.00M,243.30M,,,,,,,75.40M,318.70M,0.00,685.70M,1.238B,,,,,0.70M,1.924B
2010-03,,313.60M,429.80M,743.40M,180.20M,180.20M,17.50M,2.90M,48.10M,,68.50M,20.10M,,7.30M,,1.020B,,,,,,,,,132.90M,110.70M,52.40M,163.10M,652.10M,48.40M,0.60M,997.10M,2.017B,34.40M,,34.40M,36.10M,70.50M,,,,103.30M,103.30M,,173.80M,,,,,,,72.80M,246.60M,0.00,597.00M,1.171B,,,,,2.20M,1.77B
2009-12,,221.40M,334.00M,555.40M,205.40M,205.40M,16.30M,2.50M,38.80M,,57.60M,21.40M,,7.30M,,847.10M,0.0,41.80M,48.50M,54.70M,31.20M,15.10M,191.30M,-65.60M,125.70M,110.70M,56.20M,166.90M,616.60M,53.40M,,962.60M,1.810B,27.60M,,27.60M,75.80M,103.40M,,,,99.40M,99.40M,,202.80M,,,,,,,69.60M,272.40M,0.00,511.70M,1.024B,,,,,1.30M,1.537B
2009-09,,206.10M,306.70M,512.80M,186.53M,186.53M,16.10M,3.341M,37.21M,,56.65M,16.21M,,9.041M,,781.22M,,,,,,,,,122.86M,110.74M,60.11M,170.85M,511.19M,51.22M,0.467M,856.59M,1.638B,24.97M,,24.97M,69.93M,94.90M,,,,90.70M,90.70M,,185.60M,,,,,,,61.95M,247.55M,0.038M,434.16M,954.86M,,,,,1.205M,1.390B
2009-06,,173.42M,207.24M,380.66M,175.22M,175.22M,16.28M,2.956M,40.01M,,59.25M,13.63M,,9.299M,,638.06M,,,,,,,,,122.58M,110.74M,63.99M,174.73M,521.40M,44.12M,0.385M,863.22M,1.501B,26.56M,,26.56M,64.23M,90.78M,,,,88.22M,88.22M,,179.00M,,,,,,,51.10M,230.10M,0.038M,369.64M,900.71M,,,,,0.794M,1.271B
2009-03,,96.60M,243.41M,340.02M,139.34M,139.34M,21.00M,4.054M,39.33M,,64.38M,11.12M,,9.643M,,564.50M,,,,,,,169.76M,-47.19M,122.57M,110.74M,68.08M,178.82M,,38.18M,481.98M,821.55M,1.386B,21.21M,,21.21M,44.91M,66.12M,,,,96.86M,96.86M,,162.98M,,,,,,,47.96M,210.93M,0.038M,307.25M,868.81M,,,0.042M,-1.019M,-0.977M,1.175B
