,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,RepurchaseofCapitalStock
2002-09,-6.464M,,0.00,0.838M,0.342M,1.18M,1.18M,,,,,,-3.831M,-2.641M,-0.323M,1.066M,,1.728M,,-4.001M,-9.285M,-0.423M,0.00,-0.423M,,2.023M,,1.60M,1.185M,0.859M,0.00,0.859M,,,2.044M,23.87M,-5.641M,0.109M,18.34M,0.859M,0.00
2002-06,-3.74M,,-0.005M,0.787M,0.374M,1.161M,1.161M,,,,,,0.279M,-0.988M,1.189M,-1.151M,,2.979M,,2.308M,-0.276M,-0.781M,0.019M,-0.762M,,17.45M,,16.69M,-0.876M,0.088M,0.00,0.088M,,,-0.788M,8.335M,15.63M,-0.091M,23.87M,0.088M,0.00
2002-03,-5.617M,,0.069M,0.622M,0.411M,1.033M,1.033M,,,,,,-2.244M,-0.06M,0.24M,0.884M,,-1.364M,,-2.544M,-7.059M,-4.024M,0.043M,-3.981M,,7.379M,,3.398M,0.467M,1.001M,-0.001M,1.00M,,,1.467M,10.49M,-2.194M,0.042M,8.335M,1.001M,-0.001M
2001-12,-4.252M,,0.00,0.699M,0.453M,1.152M,1.152M,,,,,,2.309M,1.413M,-0.405M,2.118M,,2.408M,,7.843M,4.743M,-1.772M,0.00,-1.772M,,-16.65M,,-18.42M,-0.464M,0.086M,-0.001M,0.085M,,,-0.379M,24.62M,-14.06M,,10.49M,0.086M,-0.001M
2001-09,-4.798M,,0.003M,0.64M,0.507M,1.147M,1.147M,,,,,,-5.871M,-0.804M,-0.939M,-0.753M,,1.458M,,-6.909M,-10.56M,-0.831M,0.001M,-0.83M,,11.86M,,11.03M,-0.016M,0.677M,-0.002M,0.675M,,,0.659M,23.48M,1.135M,,24.62M,0.677M,-0.002M
2001-06,-4.243M,,-0.014M,0.57M,0.604M,1.174M,1.174M,,,,,,0.58M,-0.268M,-0.178M,1.395M,,0.466M,,1.995M,-1.088M,-1.362M,0.035M,-1.327M,,12.10M,,10.77M,-0.663M,0.796M,-0.001M,0.795M,,,0.132M,13.67M,9.814M,,23.48M,0.796M,-0.001M
2001-03,-3.407M,,,0.428M,0.811M,1.239M,1.239M,,,,,,-3.822M,-0.447M,0.099M,-1.588M,,-3.649M,,-9.407M,-11.58M,-1.562M,,-1.562M,,3.791M,,2.229M,-0.335M,0.755M,-0.061M,0.694M,,,0.359M,22.66M,-8.987M,,13.67M,0.755M,-0.061M
2000-12,-4.981M,,,-1.147M,-2.192M,1.413M,1.413M,,,,,,1.929M,-0.82M,1.054M,1.903M,-1.124M,2.496M,,5.438M,1.87M,-1.278M,,-1.278M,3.00M,-4.811M,-3.00M,-6.089M,0.698M,0.218M,-0.005M,0.213M,,,0.911M,25.96M,-3.308M,,22.66M,0.218M,-0.005M
2000-09,-4.02M,,,1.147M,2.192M,1.343M,1.343M,,,,,,-3.088M,-0.46M,-1.054M,0.40M,0.433M,1.507M,,-2.262M,-4.939M,-0.565M,,-0.565M,-3.00M,-14.69M,3.00M,-15.26M,-0.602M,6.286M,-0.006M,6.28M,,,5.678M,40.48M,-14.52M,,25.96M,6.286M,-0.006M
2000-06,-4.49M,,,,,1.265M,1.265M,,,,,,-2.505M,-1.223M,,1.37M,0.004M,1.64M,,-0.714M,-3.939M,-0.957M,,-0.957M,,-31.32M,-3.00M,-35.28M,-0.468M,41.12M,0.00,41.12M,,,40.66M,39.05M,1.438M,,40.48M,41.12M,0.00
2000-03,-5.032M,,,,,0.731M,0.731M,,,,,,-0.736M,-0.712M,,0.733M,-0.437M,-0.343M,,-1.495M,-5.796M,-0.755M,,-0.755M,,6.562M,,5.807M,0.113M,34.82M,-0.009M,34.82M,,,34.93M,4.106M,34.94M,,39.05M,34.82M,-0.009M
