,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1993-10,58.10M,,58.10M,,,383.90M,,,,183.60M,,,79.30M,704.90M,,,,,,556.60M,-283.60M,273.00M,,133.40M,133.40M,,,,116.30M,522.70M,1.228B,,60.40M,,60.40M,,60.40M,,,17.20M,,17.20M,,,174.00M,251.60M,,,,4.80M,4.80M,,,,104.90M,109.70M,361.30M,,,912.20M,,,,,866.30M,,,
1993-07,67.80M,,67.80M,,,393.50M,,,,179.60M,,,77.90M,718.80M,,,,,,543.70M,-268.80M,274.90M,,135.70M,135.70M,,,,103.10M,513.70M,1.232B,,67.90M,,67.90M,,67.90M,,,40.70M,,40.70M,,,178.20M,286.80M,,,,4.80M,4.80M,,,,97.70M,102.50M,389.30M,,,889.00M,,,,,843.20M,,,
1993-04,77.00M,,77.00M,,,350.00M,,,,189.10M,,,158.60M,774.70M,,,,,,550.50M,-267.70M,282.80M,,139.60M,139.60M,,,,89.40M,511.80M,1.286B,,82.20M,,82.20M,,82.20M,,,91.90M,,91.90M,,,174.00M,348.10M,10.90M,,10.90M,5.00M,5.00M,,,,81.00M,96.90M,445.00M,,,870.30M,,,,,841.50M,,,
1993-01,143.50M,,143.50M,,,339.40M,,,,189.30M,,,137.20M,809.40M,,,,,,541.20M,-267.90M,273.30M,,142.10M,142.10M,,,,84.20M,499.60M,1.309B,,54.00M,,54.00M,,54.00M,,,54.50M,,54.50M,,,170.90M,279.40M,,,,21.90M,21.90M,,,,101.40M,123.30M,402.70M,,,942.10M,,,,,906.30M,,,
1992-10,135.20M,,135.20M,,,343.90M,,,,192.10M,,,113.70M,784.90M,,,,,,536.50M,-266.40M,270.10M,,145.70M,145.70M,,,,71.60M,487.40M,1.272B,,60.10M,,60.10M,,60.10M,,,45.80M,,45.80M,,,167.30M,273.20M,,,,22.10M,22.10M,,,,95.80M,117.90M,391.10M,,,904.70M,,,,,881.20M,,,
1992-07,66.80M,,66.80M,,,352.60M,,,,189.80M,,,73.20M,682.40M,,,,,,526.70M,-258.80M,267.90M,,151.90M,151.90M,,,,75.10M,494.90M,1.177B,,57.30M,,57.30M,,57.30M,,,50.40M,,50.40M,,,157.10M,264.80M,,,,16.80M,16.80M,,,,46.00M,62.80M,327.60M,,,865.90M,,,,,849.70M,,,
1992-04,100.80M,,100.80M,,,332.90M,,,,173.20M,,,89.00M,695.90M,,,,,,497.60M,-240.80M,256.80M,,135.20M,135.20M,,,,75.60M,467.60M,1.164B,,66.10M,,66.10M,,66.10M,,,80.60M,,80.60M,,,161.90M,308.60M,8.60M,,8.60M,17.70M,17.70M,,,,32.10M,58.40M,367.00M,,,824.20M,,,,,796.50M,,,
1992-01,85.10M,,85.10M,,,322.10M,,,,174.60M,,,86.90M,668.70M,,,,,,465.70M,-228.10M,237.60M,,136.80M,136.80M,,,,76.90M,451.30M,1.12B,,55.50M,,55.50M,,55.50M,,,86.10M,,86.10M,,,140.30M,281.90M,,,,14.80M,14.80M,,,,42.20M,57.00M,338.90M,,,806.90M,,,,,781.10M,,,
1991-10,66.10M,,66.10M,,,293.60M,,,,162.00M,,,110.30M,632.00M,,,,,,456.90M,-227.60M,229.30M,,137.30M,137.30M,,,,66.00M,432.60M,1.065B,,48.50M,,48.50M,,48.50M,,,80.70M,,80.70M,,,141.20M,270.40M,,,,14.60M,14.60M,,,,36.50M,51.10M,321.50M,,,772.70M,,,,,743.10M,,,
1991-07,66.60M,,66.60M,,,282.50M,,,,146.40M,,,103.00M,598.50M,,,,,,433.80M,-215.60M,218.20M,,138.30M,138.30M,,,,58.20M,414.70M,1.013B,,40.20M,,40.20M,,40.20M,,,81.70M,,81.70M,,,134.90M,256.80M,,,,14.20M,14.20M,,,,33.90M,48.10M,304.90M,,,740.90M,,,,,708.30M,,,
1991-04,88.80M,,88.80M,,,300.00M,,,,139.40M,,,83.90M,612.10M,,,,,,426.00M,-208.80M,217.20M,,140.70M,140.70M,,,,54.10M,412.00M,1.024B,,55.40M,,55.40M,,55.40M,,,90.90M,,90.90M,,,145.80M,292.10M,7.90M,,7.90M,14.50M,14.50M,,,,26.40M,48.80M,340.90M,,,716.10M,,,,,683.20M,,,
1991-01,71.30M,,71.30M,,,290.10M,,,,145.20M,,,59.10M,565.70M,,,,,,421.10M,-211.00M,210.10M,,145.00M,145.00M,,,,52.30M,407.40M,973.10M,,134.90M,,134.90M,,134.90M,,,,,,,,130.20M,265.10M,,,,18.30M,18.30M,,,,35.30M,53.60M,318.70M,,,677.70M,,,,,654.40M,,,
1990-10,57.70M,,57.70M,,,279.70M,,,,149.90M,,,79.90M,567.20M,,,,,,397.80M,-205.10M,192.70M,,146.50M,146.50M,,,,51.00M,390.20M,957.40M,,147.20M,,147.20M,,147.20M,,,,,,,,136.70M,283.90M,,,,19.10M,19.10M,,,,33.10M,52.20M,336.10M,,,646.50M,,,,,621.30M,,,
1990-07,55.90M,,55.90M,,,252.30M,,,,133.90M,,,53.20M,495.30M,,,,,,372.40M,-191.20M,181.20M,,147.80M,147.80M,,,,58.80M,387.80M,883.10M,,135.40M,,135.40M,,135.40M,,,,,,,,131.10M,266.50M,,,,17.50M,17.50M,,,,31.30M,48.80M,315.30M,,,598.10M,,,,,567.80M,,,
1990-04,36.20M,,36.20M,,,253.10M,,,,128.00M,,,61.50M,478.80M,,,,,,360.40M,-182.30M,178.10M,,142.90M,142.90M,,,,56.70M,377.70M,856.50M,,43.20M,,43.20M,,43.20M,,,86.30M,,86.30M,,,130.90M,260.40M,8.00M,,8.00M,17.20M,17.20M,,,,29.90M,55.10M,315.50M,,,572.60M,,,,,541.00M,,,
1990-01,24.60M,,24.60M,,,228.00M,,,,130.80M,,,57.80M,441.20M,,,,,,351.00M,-179.50M,171.50M,,146.20M,146.20M,,,,54.00M,371.70M,812.90M,,113.30M,,113.30M,,113.30M,,,,,,,,122.40M,235.70M,,,,14.50M,14.50M,,,,37.10M,51.60M,287.30M,,,558.80M,,,,,525.60M,,,
1989-10,29.20M,,29.20M,,,213.90M,,,,123.90M,,,66.00M,433.00M,,,,,,334.80M,-170.90M,163.90M,,147.20M,147.20M,,,,51.10M,362.20M,795.20M,,115.70M,,115.70M,,115.70M,,,,,,,,112.20M,227.90M,,,,14.00M,14.00M,,,,35.80M,49.80M,277.70M,,,514.10M,,,,,517.50M,,,
1989-04,51.30M,,51.30M,,,211.10M,,,,119.60M,,,39.20M,421.20M,,,,,,307.30M,-155.90M,151.40M,,149.10M,149.10M,,,,37.90M,338.40M,759.60M,,,,,,,,,72.10M,,72.10M,,,159.50M,231.60M,7.80M,,7.80M,13.70M,13.70M,,,,32.90M,54.40M,286.00M,,,471.50M,,,,,473.60M,,,
1988-04,78.50M,,78.50M,,,202.60M,,,,107.30M,,,32.40M,420.80M,,,,,,264.30M,-136.00M,128.30M,,55.40M,55.40M,,,,36.30M,220.00M,640.80M,,,,,,,,,50.80M,,50.80M,,,137.90M,188.70M,9.10M,,9.10M,20.10M,20.10M,,,,27.00M,56.20M,244.90M,,,389.40M,,,,,395.90M,,,
1987-04,113.70M,,113.70M,,,146.70M,,,,84.10M,,,21.40M,365.90M,,,,,,240.10M,-125.00M,115.10M,,45.30M,45.30M,,,,33.40M,193.80M,559.70M,,,,,,,,,31.90M,,31.90M,,,93.70M,125.60M,5.50M,,5.50M,17.10M,17.10M,,,,24.50M,47.10M,172.70M,,,381.90M,,,,,387.00M,,,
1986-04,135.40M,,135.40M,,,118.80M,,,,77.30M,,,23.30M,354.80M,,,,,,212.20M,-103.60M,108.60M,,48.30M,48.30M,,,,15.70M,172.60M,527.40M,,,,,,,,,36.10M,,36.10M,,,96.90M,133.00M,10.50M,,10.50M,16.00M,16.00M,,,,19.20M,45.70M,178.70M,,,348.00M,,,,,348.70M,,,
1985-04,137.10M,,137.10M,,,92.50M,,,,79.30M,,,13.00M,321.90M,,,,,,191.80M,-80.80M,111.00M,,,,,,,33.60M,144.60M,466.50M,,,,,,,,,32.20M,,32.20M,,,69.00M,101.20M,9.70M,,9.70M,13.30M,13.30M,,,,13.70M,36.70M,137.90M,,,315.20M,,,,,328.60M,,,
1984-04,116.50M,,116.50M,,,104.30M,,,,88.20M,,,10.90M,319.90M,,,,,,176.50M,-65.80M,110.70M,,,,,,,29.30M,140.00M,459.90M,,,,,,,,,18.20M,,18.20M,,,68.20M,86.40M,11.80M,,11.80M,13.10M,13.10M,,,,13.20M,38.10M,124.50M,,,288.70M,,,,,335.40M,,,
