,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-12,,1.046B,1.494B,2.54B,913.00M,913.00M,99.00M,837.00M,439.00M,1.375B,267.00M,695.00M,,5.79B,0.00,83.00M,2.948B,4.29B,7.321B,-4.017B,3.304B,840.00M,273.00M,1.113B,653.00M,990.00M,56.00M,6.133B,11.92B,,324.00M,40.00M,364.00M,1.168B,1.532B,,,,,,,,1.532B,,,,59.00M,,425.00M,640.00M,,1.065B,2.597B,,1.74B,21.17B,1.022B,13.81B,,-790.00M,9.326B,,AOR,Restated
2008-09,,1.715B,278.00M,1.993B,1.774B,1.774B,103.00M,982.00M,490.00M,1.575B,191.00M,679.00M,,6.212B,,,,,7.499B,-3.982B,3.517B,840.00M,301.00M,1.141B,,688.00M,908.00M,6.254B,12.47B,,601.00M,,601.00M,1.102B,1.703B,,,,,,,35.00M,1.738B,,,,52.00M,,52.00M,,582.00M,634.00M,2.372B,,1.74B,21.20B,973.00M,13.48B,,-342.00M,10.09B,,,Restated
2008-06,,1.317B,331.00M,1.648B,1.811B,1.811B,111.00M,997.00M,543.00M,1.651B,259.00M,641.00M,,6.01B,,,,,7.603B,-3.999B,3.604B,840.00M,328.00M,1.168B,,626.00M,974.00M,6.372B,12.38B,,677.00M,,677.00M,1.057B,1.734B,,,,,,,26.00M,1.76B,,,,57.00M,,57.00M,,581.00M,638.00M,2.398B,,1.74B,20.77B,940.00M,13.14B,,-331.00M,9.984B,,,Restated
2008-03,,1.45B,426.00M,1.876B,1.669B,1.669B,111.00M,943.00M,524.00M,1.578B,193.00M,659.00M,,5.975B,,,,,7.493B,-3.908B,3.585B,838.00M,330.00M,1.168B,,618.00M,992.00M,6.363B,12.34B,,680.00M,,680.00M,950.00M,1.63B,,,,,,,218.00M,1.848B,,,,60.00M,,60.00M,,573.00M,633.00M,2.481B,,1.74B,20.32B,926.00M,12.78B,,-351.00M,9.857B,,,Restated
2007-12,,1.328B,1.596B,2.924B,1.742B,1.742B,105.00M,876.00M,437.00M,1.418B,180.00M,654.00M,,6.918B,0.00,82.00M,2.895B,4.591B,7.568B,-3.959B,3.609B,838.00M,342.00M,1.18B,,510.00M,450.00M,5.749B,12.67B,,657.00M,,657.00M,604.00M,1.261B,,,,,,,764.00M,2.025B,,,,49.00M,,49.00M,,618.00M,667.00M,2.692B,,1.74B,19.79B,931.00M,12.16B,,-324.00M,9.975B,,,
2007-09,,807.00M,2.862B,3.669B,2.023B,2.023B,102.00M,934.00M,414.00M,1.45B,209.00M,702.00M,,8.053B,,,,,7.597B,-3.916B,3.681B,796.00M,350.00M,1.146B,,425.00M,419.00M,5.671B,13.72B,,644.00M,,644.00M,1.235B,1.879B,,,,,,,152.00M,2.031B,,,,27.00M,,27.00M,,529.00M,556.00M,2.587B,,1.74B,19.17B,853.00M,10.34B,,-284.00M,11.14B,,,
2007-06,,1.266B,2.315B,3.581B,1.897B,1.897B,106.00M,876.00M,442.00M,1.424B,246.00M,1.072B,,8.22B,,,,,7.657B,-3.859B,3.798B,792.00M,376.00M,1.168B,,405.00M,429.00M,5.80B,14.02B,,622.00M,,622.00M,1.146B,1.768B,,,,,,,187.00M,1.955B,,,,20.00M,,20.00M,,551.00M,571.00M,2.526B,,1.739B,18.51B,761.00M,9.233B,,-284.00M,11.49B,,,
2007-03,,965.00M,2.371B,3.336B,1.756B,1.756B,114.00M,879.00M,416.00M,1.409B,257.00M,1.071B,4.00M,7.833B,,,,,7.715B,-3.835B,3.88B,792.00M,411.00M,1.203B,,436.00M,398.00M,5.917B,13.75B,,550.00M,,550.00M,928.00M,1.478B,,,43.00M,43.00M,,,286.00M,1.807B,,,,10.00M,,10.00M,,650.00M,660.00M,2.467B,,1.739B,18.02B,822.00M,8.94B,,-355.00M,11.28B,,,
2006-12,,1.183B,2.534B,3.717B,1.774B,1.774B,105.00M,930.00M,402.00M,1.437B,181.00M,741.00M,4.00M,7.854B,0.00,82.00M,2.89B,4.779B,7.751B,-3.801B,3.95B,792.00M,306.00M,1.098B,,601.00M,427.00M,6.076B,13.93B,,560.00M,,560.00M,530.00M,1.09B,,,43.00M,43.00M,,,945.00M,2.078B,,,,23.00M,,23.00M,,469.00M,492.00M,2.57B,,1.739B,17.53B,885.00M,8.43B,,-363.00M,11.36B,,,
2006-09,,1.43B,2.754B,4.184B,2.089B,2.089B,117.00M,946.00M,428.00M,1.491B,190.00M,666.00M,1.00M,8.621B,,,,,7.89B,-3.901B,3.989B,792.00M,306.00M,1.098B,,411.00M,666.00M,6.164B,14.78B,,744.00M,,744.00M,1.184B,1.928B,,,43.00M,43.00M,,,458.00M,2.429B,,,,14.00M,,14.00M,,315.00M,329.00M,2.758B,,1.739B,16.93B,820.00M,7.413B,,-46.00M,12.03B,,,
2006-06,,1.678B,3.992B,5.67B,1.929B,1.929B,108.00M,818.00M,409.00M,1.335B,215.00M,632.00M,11.00M,9.792B,,,,,8.406B,-4.422B,3.984B,792.00M,314.00M,1.106B,,428.00M,618.00M,6.136B,15.93B,,788.00M,,788.00M,1.071B,1.859B,,,43.00M,43.00M,,,881.00M,2.783B,,,,15.00M,,15.00M,,342.00M,357.00M,3.14B,,1.739B,16.27B,779.00M,5.911B,,-90.00M,12.79B,,,
2006-03,,722.00M,2.942B,3.664B,1.798B,1.798B,91.00M,819.00M,336.00M,1.246B,248.00M,626.00M,495.00M,8.077B,,,,,8.442B,-4.574B,3.868B,793.00M,222.00M,1.015B,,390.00M,688.00M,5.961B,14.04B,,720.00M,,720.00M,938.00M,1.658B,,,,,,,437.00M,2.095B,318.00M,,318.00M,17.00M,,17.00M,,370.00M,705.00M,2.80B,,1.739B,13.93B,744.00M,5.092B,,-83.00M,11.24B,,,
2005-12,,1.214B,4.116B,5.33B,1.648B,1.648B,83.00M,813.00M,289.00M,1.185B,135.00M,619.00M,495.00M,9.412B,0.00,79.00M,2.93B,5.365B,8.374B,-4.644B,3.73B,677.00M,303.00M,980.00M,,393.00M,548.00M,5.651B,15.06B,,702.00M,,702.00M,461.00M,1.163B,,,301.00M,301.00M,,,913.00M,2.377B,329.00M,,329.00M,23.00M,,23.00M,,397.00M,749.00M,3.126B,,1.739B,13.39B,742.00M,3.856B,,-82.00M,11.94B,,,
2005-09,,1.946B,3.305B,5.251B,1.915B,1.915B,114.00M,719.00M,325.00M,1.158B,226.00M,581.00M,,9.131B,,,,,9.189B,-5.324B,3.865B,,1.046B,1.046B,,413.00M,529.00M,5.853B,14.98B,,796.00M,,796.00M,1.065B,1.861B,,,303.00M,303.00M,,,82.00M,2.246B,55.00M,,55.00M,33.00M,,33.00M,,777.00M,865.00M,3.111B,,1.739B,12.79B,674.00M,3.152B,,-175.00M,11.87B,,,
2005-06,,2.133B,2.345B,4.478B,1.902B,1.902B,116.00M,700.00M,386.00M,1.202B,320.00M,597.00M,,8.499B,,,,,9.323B,-5.566B,3.757B,,1.082B,1.082B,,568.00M,580.00M,5.987B,14.49B,,1.479B,,1.479B,,1.479B,,,306.00M,306.00M,,,325.00M,2.11B,55.00M,,55.00M,35.00M,,35.00M,,823.00M,913.00M,3.023B,,1.739B,12.20B,611.00M,2.908B,,-176.00M,11.46B,,,
2005-03,,1.856B,3.284B,5.14B,1.696B,1.696B,113.00M,756.00M,376.00M,1.245B,413.00M,577.00M,,9.071B,,,,,9.409B,-5.564B,3.845B,,1.091B,1.091B,,457.00M,581.00M,5.974B,15.04B,,1.573B,,1.573B,40.00M,1.613B,,,318.00M,318.00M,,,262.00M,2.193B,55.00M,,55.00M,40.00M,,40.00M,,853.00M,948.00M,3.141B,,1.738B,11.61B,679.00M,1.929B,,-194.00M,11.90B,,,
2004-12,,2.668B,3.69B,6.358B,1.696B,1.696B,117.00M,756.00M,383.00M,1.256B,326.00M,554.00M,,10.19B,0.00,88.00M,2.80B,6.685B,9.573B,-5.655B,3.918B,,1.119B,1.119B,,449.00M,623.00M,6.109B,16.30B,,552.00M,,552.00M,1.159B,1.711B,,,11.00M,11.00M,,,203.00M,1.925B,368.00M,,368.00M,40.00M,,40.00M,,903.00M,1.311B,3.236B,,1.738B,11.24B,750.00M,480.00M,,-187.00M,13.06B,,,
2004-09,,1.674B,2.312B,3.986B,1.965B,1.965B,122.00M,885.00M,349.00M,1.356B,541.00M,451.00M,,8.299B,,,,,9.83B,-5.711B,4.119B,,818.00M,818.00M,,476.00M,2.425B,7.838B,16.14B,,1.55B,,1.55B,208.00M,1.758B,,,10.00M,10.00M,,,124.00M,1.892B,373.00M,,373.00M,63.00M,,63.00M,,913.00M,1.349B,3.241B,,1.738B,10.80B,789.00M,248.00M,,-178.00M,12.90B,,,
2004-06,,1.623B,2.311B,3.934B,1.93B,1.93B,135.00M,799.00M,351.00M,1.285B,491.00M,467.00M,,8.107B,,,,,9.831B,-5.654B,4.177B,,831.00M,831.00M,,496.00M,2.439B,7.943B,16.05B,,1.601B,,1.601B,183.00M,1.784B,,,415.00M,415.00M,,,35.00M,2.234B,375.00M,,375.00M,59.00M,,59.00M,,944.00M,1.378B,3.612B,,1.738B,10.27B,812.00M,193.00M,,-188.00M,12.44B,,,
2004-03,,1.615B,2.522B,4.137B,1.678B,1.678B,126.00M,692.00M,330.00M,1.148B,545.00M,490.00M,,7.998B,,,,,9.738B,-5.55B,4.188B,,847.00M,847.00M,,524.00M,2.228B,7.787B,15.78B,,1.553B,,1.553B,82.00M,1.635B,,,435.00M,435.00M,,,210.00M,2.28B,394.00M,,394.00M,57.00M,,57.00M,,969.00M,1.42B,3.70B,,1.738B,9.865B,859.00M,200.00M,,-177.00M,12.08B,,,
2003-12,,1.818B,2.511B,4.329B,1.451B,1.451B,106.00M,624.00M,254.00M,984.00M,496.00M,449.00M,,7.709B,0.00,100.00M,2.917B,6.532B,9.549B,-5.417B,4.132B,,862.00M,862.00M,,626.00M,2.181B,7.801B,15.51B,,1.496B,,1.496B,17.00M,1.513B,,,437.00M,437.00M,,,250.00M,2.20B,395.00M,,395.00M,59.00M,,59.00M,,992.00M,1.446B,3.646B,,1.738B,9.535B,901.00M,135.00M,,-175.00M,11.86B,,,
2003-09,,943.00M,2.36B,3.303B,1.522B,1.522B,106.00M,625.00M,264.00M,995.00M,398.00M,576.00M,,6.794B,,,,,9.443B,-5.202B,4.241B,,887.00M,887.00M,,612.00M,2.552B,8.292B,15.09B,,1.436B,,1.436B,15.00M,1.451B,,,434.00M,434.00M,,,284.00M,2.169B,402.00M,,402.00M,87.00M,,87.00M,,1.00B,1.489B,3.658B,,1.74B,9.059B,953.00M,198.00M,,-126.00M,11.43B,,,
2003-06,,1.019B,2.075B,3.094B,1.44B,1.44B,113.00M,590.00M,297.00M,1.00B,327.00M,586.00M,,6.447B,,,,,9.362B,-4.986B,4.376B,,798.00M,798.00M,,529.00M,2.484B,8.187B,14.63B,,1.295B,,1.295B,14.00M,1.309B,,,68.00M,68.00M,,,264.00M,1.641B,809.00M,,809.00M,87.00M,,87.00M,,1.155B,2.051B,3.692B,,1.74B,8.648B,966.00M,185.00M,,-227.00M,10.94B,,,
2003-03,,1.089B,1.847B,2.936B,1.365B,1.365B,107.00M,546.00M,229.00M,882.00M,379.00M,560.00M,,6.122B,,,,,9.438B,-4.862B,4.576B,,809.00M,809.00M,,622.00M,2.266B,8.273B,14.40B,,1.17B,,1.17B,11.00M,1.181B,,,168.00M,168.00M,,,329.00M,1.678B,832.00M,,832.00M,98.00M,,98.00M,,1.058B,1.988B,3.666B,,1.74B,8.564B,1.011B,228.00M,,-358.00M,10.73B,,,
2002-12,,949.00M,2.063B,3.012B,1.217B,1.217B,121.00M,478.00M,191.00M,790.00M,562.00M,545.00M,,6.126B,0.00,93.00M,2.891B,6.532B,9.516B,-4.722B,4.794B,,823.00M,823.00M,,618.00M,2.318B,8.553B,14.68B,,511.00M,,511.00M,708.00M,1.219B,,,422.00M,422.00M,,,293.00M,1.934B,833.00M,,833.00M,129.00M,,129.00M,,1.049B,2.011B,3.945B,,1.74B,8.484B,1.042B,229.00M,,-303.00M,10.73B,,,
2002-09,,964.00M,1.624B,2.588B,1.503B,1.503B,128.00M,495.00M,200.00M,823.00M,205.00M,600.00M,,5.719B,,,,,9.51B,-4.551B,4.959B,,827.00M,827.00M,,657.00M,2.737B,9.18B,14.90B,,1.332B,,1.332B,15.00M,1.347B,,,171.00M,171.00M,,,209.00M,1.727B,1.084B,,1.084B,70.00M,,70.00M,,926.00M,2.08B,3.807B,,1.74B,9.109B,1.076B,253.00M,,-580.00M,11.09B,,,
2002-06,,487.00M,1.983B,2.47B,1.535B,1.535B,124.00M,474.00M,222.00M,820.00M,237.00M,582.00M,,5.644B,,,,,9.486B,-4.402B,5.084B,,846.00M,846.00M,,340.00M,3.075B,9.345B,14.99B,,1.23B,,1.23B,127.00M,1.357B,,,155.00M,155.00M,,,195.00M,1.707B,1.097B,,1.097B,85.00M,,85.00M,,724.00M,1.906B,3.613B,,1.74B,8.958B,1.106B,217.00M,,-211.00M,11.38B,,,
2002-03,,313.00M,2.302B,2.615B,1.249B,1.249B,122.00M,443.00M,203.00M,768.00M,258.00M,602.00M,,5.492B,,,,,9.538B,-4.237B,5.301B,548.00M,192.00M,740.00M,,271.00M,3.734B,10.05B,15.54B,,1.104B,,1.104B,15.00M,1.119B,,,46.00M,46.00M,,,272.00M,1.437B,1.206B,,1.206B,316.00M,,316.00M,,731.00M,2.253B,3.69B,,1.74B,8.90B,1.141B,204.00M,,271.00M,11.85B,,,
2001-12,,431.00M,2.513B,2.944B,1.198B,1.198B,133.00M,407.00M,211.00M,751.00M,328.00M,554.00M,,5.775B,,,,,9.683B,-4.094B,5.589B,748.00M,,748.00M,,421.00M,3.246B,10.00B,15.78B,,1.205B,,1.205B,10.00M,1.215B,,,38.00M,38.00M,,,327.00M,1.58B,1.211B,,1.211B,331.00M,,331.00M,,778.00M,2.32B,3.90B,,1.74B,8.975B,1.216B,235.00M,,183.00M,11.88B,,,
2001-09,,387.00M,2.605B,2.992B,1.449B,1.449B,162.00M,530.00M,208.00M,900.00M,380.00M,383.00M,,6.104B,,,,,9.575B,-3.745B,5.83B,,792.00M,792.00M,,462.00M,2.056B,9.14B,15.24B,,1.367B,,1.367B,12.00M,1.379B,,,42.00M,42.00M,,,200.00M,1.621B,1.222B,,1.222B,162.00M,,162.00M,,691.00M,2.075B,3.696B,,1.74B,9.128B,1.287B,320.00M,,-287.00M,11.55B,,,
2001-06,,542.00M,2.472B,3.014B,1.666B,1.666B,188.00M,613.00M,281.00M,1.082B,122.00M,394.00M,,6.278B,,,,,9.724B,-3.781B,5.943B,,829.00M,829.00M,,251.00M,3.401B,10.42B,16.70B,,1.385B,,1.385B,56.00M,1.441B,,,43.00M,43.00M,,,174.00M,1.658B,1.202B,,1.202B,463.00M,,463.00M,,712.00M,2.377B,4.035B,,1.74B,9.282B,1.291B,221.00M,,575.00M,12.67B,,,
2001-03,,304.00M,2.785B,3.089B,1.948B,1.948B,218.00M,678.00M,284.00M,1.18B,140.00M,547.00M,,6.904B,,,,,9.702B,-3.709B,5.993B,,874.00M,874.00M,,116.00M,3.355B,10.34B,17.24B,,795.00M,,795.00M,1.042B,1.837B,,,46.00M,46.00M,,,,1.883B,1.228B,,1.228B,495.00M,,495.00M,,634.00M,2.357B,4.24B,,1.737B,9.517B,1.249B,96.00M,,595.00M,13.00B,,,
2000-12,,745.00M,3.258B,4.003B,2.204B,2.204B,245.00M,681.00M,307.00M,1.233B,80.00M,595.00M,,8.115B,,,,,9.099B,-3.652B,5.447B,,961.00M,961.00M,,106.00M,3.091B,9.605B,17.72B,,1.921B,,1.921B,421.00M,2.342B,,,148.00M,148.00M,,,323.00M,2.813B,1.216B,,1.216B,469.00M,,469.00M,,634.00M,2.319B,5.132B,,1.733B,9.323B,1.185B,93.00M,,440.00M,12.59B,,,
2000-09,,938.00M,3.617B,4.555B,2.362B,2.362B,221.00M,647.00M,254.00M,1.122B,100.00M,569.00M,,8.708B,,,,,8.478B,-3.623B,4.855B,,1.017B,1.017B,,53.00M,3.706B,9.631B,18.34B,,828.00M,,828.00M,1.837B,2.665B,,,204.00M,204.00M,,,,2.869B,1.213B,,1.213B,822.00M,,822.00M,,994.00M,3.029B,5.898B,,1.731B,8.727B,1.102B,123.00M,,1.004B,12.44B,,,
2000-06,,1.33B,2.768B,4.098B,2.098B,2.098B,171.00M,565.00M,283.00M,1.019B,116.00M,556.00M,,7.887B,,,,,7.973B,-3.485B,4.488B,,466.00M,466.00M,,49.00M,6.668B,11.67B,19.56B,,757.00M,,757.00M,1.961B,2.718B,,,385.00M,385.00M,,,,3.103B,966.00M,,966.00M,1.762B,,1.762B,,1.057B,3.785B,6.888B,,1.641B,7.813B,219.00M,96.00M,,3.093B,12.67B,,,
2000-03,,675.00M,1.755B,2.43B,1.911B,1.911B,164.00M,508.00M,265.00M,937.00M,113.00M,583.00M,,5.974B,,,,,7.583B,-3.367B,4.216B,,500.00M,500.00M,,39.00M,6.771B,11.53B,17.50B,,853.00M,,853.00M,,853.00M,,,385.00M,385.00M,,,1.28B,2.518B,991.00M,,991.00M,1.724B,,1.724B,,1.068B,3.783B,6.301B,,819.00M,6.569B,995.00M,161.00M,,2.977B,11.20B,,,
1999-12,,781.00M,2.045B,2.826B,1.909B,1.909B,167.00M,501.00M,226.00M,894.00M,109.00M,615.00M,,6.353B,,,,,7.338B,-3.405B,3.933B,,502.00M,502.00M,,41.00M,4.598B,9.074B,15.43B,,1.722B,,1.722B,374.00M,2.096B,,,331.00M,331.00M,,,270.00M,2.697B,1.099B,,1.099B,998.00M,,998.00M,,1.055B,3.152B,5.849B,,851.00M,6.406B,877.00M,109.00M,,1.553B,9.578B,,,
1999-09,,291.00M,1.724B,2.015B,2.03B,2.03B,118.00M,411.00M,224.00M,753.00M,99.00M,591.00M,,5.488B,,,,,6.747B,-3.228B,3.519B,,,,,33.00M,4.158B,7.71B,13.20B,,624.00M,,624.00M,1.55B,2.174B,,,264.00M,264.00M,,,,2.438B,1.159B,,1.159B,665.00M,,665.00M,,1.013B,2.837B,5.275B,,794.00M,5.633B,657.00M,119.00M,,958.00M,7.923B,,,
1999-06,,334.00M,1.409B,1.743B,1.749B,1.749B,89.00M,380.00M,220.00M,689.00M,87.00M,553.00M,,4.821B,,,,,6.626B,-3.219B,3.407B,,,,,38.00M,2.781B,6.226B,11.05B,,554.00M,,554.00M,1.261B,1.815B,,,263.00M,263.00M,,,,2.078B,960.00M,,960.00M,264.00M,,264.00M,,1.024B,2.248B,4.326B,,394.00M,5.295B,1.01B,108.00M,,130.00M,6.721B,,,
1999-03,,893.00M,1.316B,2.209B,1.471B,1.471B,80.00M,365.00M,196.00M,641.00M,73.00M,574.00M,,4.968B,,,,,6.455B,-3.129B,3.326B,,,,,21.00M,2.80B,6.147B,11.12B,,535.00M,,535.00M,1.248B,1.783B,,,260.00M,260.00M,,,,2.043B,989.00M,,989.00M,354.00M,,354.00M,,1.05B,2.393B,4.436B,,393.00M,4.995B,1.088B,103.00M,,306.00M,6.679B,,,
1998-12,,632.00M,1.709B,2.341B,1.373B,1.373B,79.00M,368.00M,171.00M,618.00M,79.00M,588.00M,,4.999B,,,,,6.536B,-3.085B,3.451B,171.00M,,171.00M,,23.00M,2.846B,6.491B,11.49B,,1.606B,,1.606B,153.00M,1.759B,,,267.00M,267.00M,,,197.00M,2.223B,1.027B,,1.027B,384.00M,,384.00M,,1.12B,2.531B,4.754B,,400.00M,4.927B,1.248B,134.00M,,295.00M,6.736B,,,
1998-09,,1.08B,1.062B,2.142B,1.406B,1.406B,118.00M,264.00M,188.00M,570.00M,68.00M,538.00M,,4.724B,,,,,6.558B,-3.052B,3.506B,,,,,110.00M,2.178B,5.794B,10.52B,,456.00M,,456.00M,1.48B,1.936B,,,268.00M,268.00M,,,,2.204B,1.04B,,1.04B,,,,,1.246B,2.286B,4.49B,,392.00M,4.64B,1.199B,125.00M,,-78.00M,6.028B,,,
1998-06,,1.273B,1.131B,2.404B,1.581B,1.581B,108.00M,310.00M,288.00M,706.00M,78.00M,531.00M,,5.30B,,,,,7.761B,-3.494B,4.267B,,,,,119.00M,564.00M,4.95B,10.25B,,568.00M,,568.00M,1.302B,1.87B,,,80.00M,80.00M,,,,1.95B,1.23B,,1.23B,,,,,1.111B,2.341B,4.291B,,392.00M,4.508B,1.206B,102.00M,,-45.00M,5.959B,,,
1998-03,,830.00M,1.536B,2.366B,1.666B,1.666B,113.00M,360.00M,303.00M,776.00M,66.00M,576.00M,,5.45B,,,,,7.672B,-3.389B,4.283B,,,,,134.00M,503.00M,4.92B,10.37B,,670.00M,,670.00M,1.248B,1.918B,,,67.00M,67.00M,,,,1.985B,1.246B,,1.246B,,,,,1.162B,2.408B,4.393B,,391.00M,4.499B,1.203B,56.00M,,-60.00M,5.977B,,,
1997-12,,1.015B,2.005B,3.02B,1.705B,1.705B,105.00M,364.00M,273.00M,742.00M,59.00M,577.00M,,6.103B,,,,,7.414B,-3.234B,4.18B,,,,,134.00M,432.00M,4.746B,10.85B,,2.082B,,2.082B,189.00M,2.271B,,,71.00M,71.00M,,,154.00M,2.496B,1.286B,,1.286B,288.00M,,288.00M,,865.00M,2.439B,4.935B,,390.00M,4.488B,1.183B,94.00M,,-53.00M,5.914B,,,
1997-09,,2.727B,1.509B,4.236B,1.766B,1.766B,114.00M,363.00M,281.00M,758.00M,50.00M,532.00M,,7.342B,,,,,7.212B,-3.054B,4.158B,,,,,183.00M,391.00M,4.732B,12.07B,,648.00M,,648.00M,2.335B,2.983B,,,86.00M,86.00M,,,,3.069B,1.54B,,1.54B,,,,,1.145B,2.685B,5.754B,,195.00M,4.806B,1.38B,40.00M,,-21.00M,6.32B,,,
1997-06,,657.00M,534.00M,1.191B,1.769B,1.769B,108.00M,356.00M,273.00M,737.00M,55.00M,427.00M,524.00M,4.703B,,,,,6.994B,-2.874B,4.12B,,,,,163.00M,401.00M,4.684B,9.387B,,748.00M,,748.00M,1.342B,2.09B,,,52.00M,52.00M,,,,2.142B,1.667B,,1.667B,,,,,1.115B,2.782B,4.924B,,192.00M,3.127B,1.183B,13.00M,,-26.00M,4.463B,,,
1997-03,,989.00M,63.00M,1.052B,1.699B,1.699B,103.00M,337.00M,223.00M,663.00M,54.00M,402.00M,553.00M,4.423B,,,,,6.816B,-2.724B,4.092B,,,,,188.00M,560.00M,4.84B,9.263B,,652.00M,,652.00M,1.29B,1.942B,,,368.00M,368.00M,,,,2.31B,1.643B,,1.643B,,,,,1.076B,2.719B,5.029B,,191.00M,2.911B,1.157B,13.00M,,-12.00M,4.234B,,,
1996-12,,964.00M,14.00M,978.00M,1.799B,1.799B,111.00M,361.00M,231.00M,703.00M,50.00M,395.00M,529.00M,4.454B,,,,,6.712B,-2.55B,4.162B,,,,,192.00M,552.00M,4.906B,9.36B,,1.94B,,1.94B,69.00M,2.009B,,,314.00M,314.00M,,,163.00M,2.486B,1.697B,,1.697B,,,,,1.08B,2.777B,5.263B,,190.00M,2.814B,1.116B,12.00M,,-11.00M,4.097B,,,
1996-09,,676.00M,8.00M,684.00M,2.174B,2.174B,242.00M,728.00M,293.00M,1.003B,57.00M,474.00M,,4.392B,,,,,7.214B,-2.872B,4.342B,,,,,220.00M,603.00M,5.165B,9.557B,,808.00M,,808.00M,1.522B,2.33B,,,207.00M,207.00M,,,,2.537B,1.677B,,1.677B,,,,,1.228B,2.905B,5.442B,,190.00M,2.875B,1.104B,12.00M,,-42.00M,4.115B,,,
1996-06,,978.00M,39.00M,1.017B,1.976B,1.976B,246.00M,716.00M,397.00M,1.155B,59.00M,492.00M,,4.699B,,,,,6.534B,-2.639B,3.895B,,,,,237.00M,410.00M,4.542B,9.241B,,931.00M,,931.00M,1.516B,2.447B,,,83.00M,83.00M,,,,2.53B,1.223B,,1.223B,,,,,1.209B,2.432B,4.962B,,190.00M,3.055B,1.088B,12.00M,,-42.00M,4.279B,,,
1996-03,,1.279B,52.00M,1.331B,2.057B,2.057B,248.00M,723.00M,376.00M,1.151B,65.00M,464.00M,,5.068B,,,,,6.04B,-2.524B,3.516B,,,,,226.00M,312.00M,4.054B,9.122B,,984.00M,,984.00M,1.576B,2.56B,,,37.00M,37.00M,,,,2.597B,1.105B,,1.105B,,,,,1.189B,2.294B,4.891B,,190.00M,3.012B,1.083B,12.00M,,-42.00M,4.231B,,,
1995-12,,1.364B,189.00M,1.553B,2.079B,2.079B,209.00M,341.00M,428.00M,978.00M,57.00M,357.00M,421.00M,5.445B,,,,,4.88B,-1.986B,2.894B,,,,,175.00M,234.00M,3.303B,8.748B,,2.313B,,2.313B,369.00M,2.682B,,,27.00M,27.00M,,,170.00M,2.879B,804.00M,,804.00M,,,,,970.00M,1.774B,4.653B,,190.00M,2.881B,1.081B,12.00M,,-45.00M,4.095B,,,
1995-09,,1.268B,335.00M,1.603B,2.205B,2.205B,308.00M,593.00M,354.00M,1.063B,52.00M,360.00M,,5.283B,,,,,5.239B,-2.384B,2.855B,,,,,267.00M,239.00M,3.361B,8.644B,,893.00M,,893.00M,1.937B,2.83B,,,64.00M,64.00M,,,,2.894B,822.00M,,822.00M,,,,,1.079B,1.901B,4.795B,,189.00M,2.622B,1.05B,12.00M,,,3.849B,,,
1995-06,,967.00M,485.00M,1.452B,1.941B,1.941B,314.00M,587.00M,313.00M,1.012B,60.00M,349.00M,,4.814B,,,,,5.026B,-2.352B,2.674B,,,,,255.00M,218.00M,3.147B,7.961B,,797.00M,,797.00M,1.705B,2.502B,,,27.00M,27.00M,,,,2.529B,820.00M,,820.00M,,,,,1.054B,1.874B,4.403B,,94.00M,2.365B,1.109B,10.00M,,,3.558B,,,
1995-03,,917.00M,427.00M,1.344B,1.664B,1.664B,282.00M,596.00M,264.00M,944.00M,56.00M,355.00M,,4.363B,,,,,4.915B,-2.327B,2.588B,,,,,246.00M,224.00M,3.058B,7.421B,,670.00M,,670.00M,1.622B,2.292B,,,53.00M,53.00M,,,,2.345B,792.00M,,792.00M,,,,,1.011B,1.803B,4.148B,,93.00M,2.119B,1.068B,7.00M,,,3.273B,,,
1994-12,,760.00M,530.00M,1.29B,1.442B,1.442B,237.00M,553.00M,318.00M,882.00M,66.00M,337.00M,,4.017B,,,,,4.895B,-2.327B,2.568B,,,,,243.00M,161.00M,2.972B,6.989B,,1.877B,,1.877B,254.00M,2.131B,,,12.00M,12.00M,,,56.00M,2.199B,808.00M,,808.00M,,,,,943.00M,1.751B,3.95B,,93.00M,1.912B,1.041B,6.00M,,-1.00M,3.039B,,,
