,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2007-09,258.94M,,,-2.269M,,,212.84M,79.76M,,,,-21.60M,86.09M,-122.30M,-98.64M,34.98M,26.75M,-32.54M,-105.68M,45.79M,467.78M,2007-09,-503.70M,,-503.70M,38.95M,467.45M,-485.08M,-482.38M,,,,430.16M,1.287M,,1.287M,,-97.55M,,0.00,333.90M,,41.58M,319.29M,,360.87M,2007-09,,1.287M,,,,4.156M,,2007-09,,
2007-06,68.78M,,,-38.80M,,,231.59M,66.51M,,,,-3.487M,95.68M,-21.39M,-3.593M,-4.882M,-108.56M,-5.27M,-48.02M,52.43M,329.02M,2007-06,-496.41M,,-496.41M,,,3.875M,-492.53M,,,,228.94M,3.174M,,3.174M,,-92.02M,,0.00,140.09M,,65.00M,-23.42M,,41.58M,2007-06,,3.174M,,,,2.777M,,2007-06,,
2007-03,119.71M,,,41.07M,,,231.86M,43.06M,,,,-3.107M,-57.24M,118.48M,-147.14M,180.78M,82.01M,-25.12M,151.77M,6.701M,591.06M,2007-03,-482.54M,,-482.54M,,,4.068M,-478.48M,,,,6.992M,4.509M,,4.509M,,-91.68M,,-4.859M,-85.04M,,37.46M,27.54M,,65.00M,2007-03,,4.509M,,,,4.23M,,2007-03,,
2006-12,94.65M,,,-2.727M,,,223.33M,45.95M,,,,2.097M,-91.52M,35.59M,235.50M,-197.54M,-45.39M,-39.35M,-102.70M,58.00M,318.59M,2006-12,-460.20M,,-435.53M,,33.78M,-37.57M,-439.32M,,,,208.22M,8.528M,,8.528M,,-91.52M,,,125.23M,,32.96M,4.497M,,37.46M,2006-12,,8.528M,,,,12.56M,,2006-12,,
2006-09,224.46M,,,14.90M,,,231.34M,-60.70M,,,,-20.11M,18.68M,-146.26M,-39.73M,-20.64M,166.95M,-44.83M,-65.83M,68.85M,392.92M,2006-09,-433.80M,,-433.80M,,-33.78M,24.36M,-443.22M,,,,8.226M,4.119M,,4.119M,,-91.29M,,,-78.94M,,161.40M,-129.25M,,32.96M,2006-09,,4.119M,,,,-6.31M,,2006-09,,
2006-06,98.28M,,,-24.10M,,,221.26M,-6.586M,,,,3.874M,179.92M,-13.08M,34.15M,62.90M,-115.13M,-11.89M,136.87M,97.87M,527.46M,2006-06,-412.97M,,-412.97M,,,0.689M,-412.28M,,,,51.66M,1.62M,,1.62M,,-88.15M,,,-34.88M,,81.91M,80.30M,,161.40M,2006-06,,1.62M,,,,6.524M,,2006-06,,
2006-03,151.30M,,,5.739M,,,218.92M,-38.50M,,,,-0.52M,69.65M,152.72M,-335.63M,389.63M,90.78M,10.40M,377.56M,-16.39M,698.10M,2006-03,-320.65M,,-320.65M,,,65.37M,-255.28M,,,,-347.32M,2.008M,,2.008M,,-87.79M,,,-433.10M,,72.20M,9.711M,,81.91M,2006-03,,2.008M,,,,0.559M,,2006-03,,
2005-12,112.07M,,,-43.45M,,,209.94M,25.98M,,,,12.01M,-147.03M,-30.46M,170.37M,-394.90M,66.02M,-3.046M,-339.06M,-121.58M,-144.09M,2005-12,-409.50M,,-398.27M,,,40.69M,-357.58M,,,,473.54M,2.322M,,2.322M,,-87.68M,,0.00,388.19M,,185.68M,-113.48M,,72.20M,2005-12,,2.322M,,,,0.016M,,2005-12,,
2005-09,196.02M,,,4.938M,,,202.04M,149.10M,,,,-10.44M,-92.15M,-171.90M,247.43M,-21.58M,37.55M,-81.48M,-82.14M,61.84M,521.35M,2005-09,-268.90M,,-268.90M,,39.62M,-64.56M,-293.84M,,,,-6.64M,2.985M,,2.985M,,-87.57M,,0.00,-91.22M,,49.39M,136.29M,,185.68M,2005-09,,2.985M,,,,10.61M,,2005-09,,
2005-06,80.42M,,,-3.584M,,,198.30M,24.96M,,,,-1.566M,5.901M,-11.33M,36.91M,-60.51M,-78.74M,32.18M,-75.58M,82.75M,305.69M,2005-06,-328.92M,,-328.92M,,-39.62M,22.26M,-346.28M,,,,103.79M,2.435M,,2.435M,,-83.69M,,0.00,22.53M,,67.44M,-18.06M,,49.39M,2005-06,,2.435M,,,,,,2005-06,,
2005-03,124.46M,,,4.784M,,,205.51M,5.027M,,,,,-17.03M,119.09M,-173.28M,106.23M,43.34M,52.35M,130.70M,9.711M,480.20M,2005-03,-304.12M,,-304.12M,,,76.19M,-227.94M,,,,-125.16M,1.343M,,1.343M,,-84.16M,,-0.20M,-208.18M,,23.36M,44.08M,,67.44M,2005-03,,1.343M,,,,,,2005-03,,
2004-12,-44.09M,,,154.17M,,,200.68M,-34.24M,,,,-24.50M,-138.78M,5.704M,161.47M,-167.56M,54.20M,,-84.97M,21.37M,188.42M,2004-12,-419.71M,,-419.71M,,,15.38M,-404.33M,,,,233.28M,2.515M,0.00,2.515M,,-84.79M,,0.00,151.00M,,84.83M,-64.91M,3.439M,23.36M,2004-12,,2.515M,,,0.00,,,2004-12,,
2004-09,163.84M,,,5.809M,,,196.00M,37.08M,,,,402.35M,-13.90M,-107.02M,9.068M,-60.18M,51.68M,-59.85M,-180.20M,-321.42M,303.45M,2004-09,-344.16M,,-344.16M,,,19.15M,-325.02M,,,,82.84M,4.47M,0.00,4.47M,,-83.79M,,0.00,3.519M,,109.00M,-18.05M,-2.644M,84.83M,2004-09,,4.47M,,,0.00,,,2004-09,,
2004-06,86.31M,,,-17.04M,,,186.29M,56.40M,,,,-377.85M,45.10M,-18.68M,116.45M,-89.83M,-123.27M,84.16M,13.93M,-30.63M,-82.59M,2004-06,-268.07M,,-268.07M,,,-14.88M,-282.94M,,,,32.44M,,0.00,0.00,,-75.99M,,0.00,-43.55M,,-19.02M,-409.08M,2.644M,109.00M,2004-06,,,,,0.00,,,2004-06,,
2004-03,149.91M,,,-7.426M,,,187.16M,-1.974M,,,,,-15.46M,73.78M,-153.71M,120.26M,59.56M,-24.32M,60.10M,4.091M,391.87M,2004-03,-244.47M,,-244.47M,,,25.49M,-218.98M,,,,-113.57M,,-32.02M,-32.02M,,-75.87M,,-0.20M,-221.66M,,29.76M,-48.78M,,-19.02M,2004-03,,,,,-32.02M,,,2004-03,,
2003-12,477.45M,,,-382.98M,,,199.59M,33.90M,,,,45.40M,-47.47M,14.62M,146.32M,-23.57M,-116.44M,,-26.54M,37.95M,384.77M,2003-12,626.33M,,626.33M,,,-961.20M,-334.87M,,,,-60.98M,2.386M,,2.386M,,-75.86M,,,-134.46M,,657.67M,-84.55M,,573.24M,2003-12,,2.386M,,,,-25.88M,,2003-12,,
2003-09,287.50M,,,-75.11M,,,219.27M,23.38M,,,,-132.20M,-53.27M,-64.42M,198.99M,-97.89M,109.40M,,92.81M,9.898M,425.54M,2003-09,-245.11M,,-245.11M,,,18.77M,-226.34M,,,,134.85M,0.615M,,0.615M,,-75.82M,,11.77M,71.41M,,387.06M,270.61M,,657.67M,2003-09,,0.615M,,,,-6.234M,,2003-09,,
2003-06,-282.56M,,,329.59M,,,191.66M,7.087M,,,,-7.879M,116.41M,-28.34M,-221.08M,12.76M,-108.10M,,-228.35M,216.23M,225.78M,2003-06,-218.07M,,-218.07M,,,-58.37M,-276.44M,,,,-167.75M,0.218M,,0.218M,,-75.82M,,12.82M,-230.53M,,668.25M,-281.19M,,387.06M,2003-06,,0.218M,,,,38.50M,,2003-06,,
2003-03,140.01M,,,-7.941M,,,206.91M,49.62M,,,,12.12M,-145.63M,81.38M,-21.50M,-63.40M,111.06M,,-38.10M,-17.20M,345.42M,2003-03,-205.44M,,-205.44M,,,116.99M,-88.45M,,,,27.11M,,,,,-75.81M,,-24.59M,-73.30M,,484.58M,183.67M,,668.25M,2003-03,,,,,,,,2003-03,,
2002-12,-204.76M,,,-486.82M,,,27.71M,998.09M,,,,,60.84M,-54.29M,-218.90M,-29.84M,-290.75M,75.94M,-457.00M,,-25.28M,2002-12,2.076B,-40.46M,2.036B,,,-2.445B,-409.17M,,,,-1.093B,-500.75M,,-500.75M,,-75.82M,,,-204.80M,,1.249B,-639.25M,-5.979M,484.70M,2002-12,,-500.75M,,,,,,2002-12,,
2002-09,-2.204B,,,3.248B,,,254.26M,-867.98M,,,,,-51.28M,12.37M,207.48M,259.84M,153.63M,-111.02M,471.02M,,901.48M,2002-09,-805.29M,29.31M,-775.98M,,,106.32M,-669.66M,,,,734.11M,12.05M,,12.05M,,-149.93M,,,596.23M,,495.61M,828.05M,5.291M,1.249B,2002-09,,12.05M,,,,,,2002-09,,
2002-06,87.30M,,,10.75M,,,281.25M,14.59M,,,,,167.27M,-49.40M,-80.52M,-68.93M,-129.58M,39.43M,-121.74M,,272.15M,2002-06,-732.30M,11.15M,-721.14M,,,-225.76M,-946.91M,,,,852.87M,23.63M,,23.63M,,-139.81M,,,736.69M,,429.44M,61.93M,4.243M,495.61M,2002-06,,23.63M,,,,,,2002-06,,
2002-03,103.50M,,,-1.627M,,,265.14M,4.06M,,,,,-148.68M,70.01M,-45.11M,-44.44M,126.78M,-4.347M,-45.78M,,325.30M,2002-03,-602.50M,,-602.50M,,,-83.08M,-685.58M,,,,48.22M,534.56M,,534.56M,,-130.82M,,,451.97M,,341.31M,91.69M,-3.555M,429.44M,2002-03,,534.56M,,,,,,2002-03,,
2001-12,144.90M,,,20.25M,,,236.96M,45.38M,,,,,63.26M,-54.70M,169.95M,-14.28M,-172.99M,-192.27M,-201.03M,,246.46M,2001-12,-711.11M,,-711.11M,,,166.50M,-544.61M,,,,455.63M,24.48M,,24.48M,,-130.40M,,,349.71M,,302.49M,51.56M,-12.74M,341.31M,2001-12,,24.48M,,,,,,2001-12,,
2001-09,272.90M,,,-77.48M,,,261.57M,-34.99M,,,,,100.68M,-56.32M,72.08M,98.63M,210.88M,-39.86M,386.09M,,808.09M,2001-09,-1.370B,,-1.370B,,,-243.92M,-1.614B,,,,855.46M,24.97M,,24.97M,,-130.10M,,,750.32M,,346.62M,-55.77M,11.63M,302.49M,2001-09,,24.97M,,,,,,2001-09,,
2001-06,167.86M,,,-42.50M,,,243.78M,6.724M,,,,,93.70M,-59.26M,-213.52M,177.62M,-21.18M,-84.08M,-106.71M,,269.15M,2001-06,-1.714B,,-1.714B,,,422.82M,-1.291B,,,,1.110B,43.27M,,43.27M,,-129.52M,,,1.024B,,343.88M,1.81M,0.929M,346.62M,2001-06,,43.27M,,,,,,2001-06,,
2001-03,209.31M,,,-43.36M,,,232.31M,-5.924M,,,,,-39.29M,-8.25M,-354.46M,78.51M,68.52M,122.95M,-132.03M,,260.31M,2001-03,-1.570B,,-1.570B,,,-147.59M,-1.718B,,,,1.204B,514.71M,,514.71M,,-128.87M,,,1.589B,,216.49M,131.78M,-4.386M,343.88M,2001-03,,514.71M,,,,,,2001-03,,
2000-12,118.84M,,,66.43M,,,237.02M,46.72M,,,,,-255.33M,76.92M,441.14M,-372.63M,68.86M,4.942M,-36.09M,,432.91M,2000-12,-499.82M,,-499.82M,,,-40.05M,-539.87M,,,,116.14M,18.80M,,18.80M,,-75.08M,,,59.87M,,263.22M,-47.09M,,216.49M,2000-12,,18.80M,,,,,,2000-12,,
2000-09,111.57M,,,17.89M,,,215.28M,-17.04M,,,,,-121.55M,-75.84M,262.11M,-93.21M,41.17M,-35.93M,-23.25M,,304.45M,2000-09,-447.11M,,-447.11M,,,23.06M,-424.05M,,,,348.94M,46.50M,,46.50M,,-169.20M,,,226.24M,,156.58M,106.64M,,263.22M,2000-09,,46.50M,,,,,,2000-09,,
2000-06,248.41M,,,-62.42M,,,288.40M,22.42M,,,,,-66.47M,20.86M,9.816M,-18.45M,19.53M,-142.49M,-177.22M,,319.60M,2000-06,-354.33M,,-354.33M,,17.84M,-125.56M,-462.05M,,,,-267.17M,487.73M,,487.73M,,-193.27M,,,27.29M,,187.98M,-115.16M,,156.58M,2000-06,,487.73M,,,,,,2000-06,,
2000-03,48.00M,,,13.95M,,,132.67M,10.63M,,,,,,,,,,145.52M,145.52M,,350.76M,2000-03,-1.880B,,-1.880B,,-17.84M,-23.34M,-1.921B,,,,1.742B,17.35M,,17.35M,,-57.44M,,,1.702B,,55.97M,132.01M,,187.98M,2000-03,,17.35M,,,,,,2000-03,,
1999-12,395.83M,,,-129.95M,,,408.38M,55.26M,,,,,,,,,,-4.404M,-31.26M,,800.73M,1999-12,-2.397B,,-2.397B,930.20M,,6.141M,-1.461B,,,,925.79M,54.62M,,54.62M,,-323.76M,,0.10M,656.76M,,86.70M,-3.50M,,139.73M,1999-12,,54.62M,,,,,,1999-12,,
1999-09,111.29M,,,-31.54M,,,121.14M,-3.354M,,,,,,,,,,73.31M,73.31M,,270.85M,1999-09,769.28M,,769.28M,-930.20M,,-90.94M,-251.87M,,,,12.98M,13.14M,,13.14M,,-56.61M,,-0.10M,-30.59M,,98.17M,-11.61M,,86.70M,1999-09,,13.14M,,,,,,1999-09,,
1999-06,11.49M,,,57.67M,,,112.42M,-28.22M,,,,,,,,,,-161.09M,-161.09M,,-7.729M,1999-06,-1.075B,,-1.075B,,23.14M,-61.64M,-1.114B,,,,1.203B,14.65M,,14.65M,,-56.96M,,,1.161B,,58.28M,39.89M,,98.17M,1999-06,,14.65M,,,,,,1999-06,,
1999-03,52.32M,,,-2.437M,,,111.64M,-5.529M,,,,,,,,,,105.58M,105.58M,,261.58M,1999-03,-96.07M,,-96.07M,,-23.14M,-7.313M,-126.53M,,,,-76.91M,12.90M,,12.90M,,-55.13M,,,-119.13M,,42.36M,15.92M,,58.28M,1999-03,,12.90M,,,,,,1999-03,,
1998-12,430.53M,,,-15.30M,,,,6.10M,,,,-659.13M,,,,,,-34.20M,-34.20M,,151.20M,1998-12,-98.90M,,-98.90M,,,-73.40M,-172.30M,,,,16.90M,12.80M,0.00,12.80M,,-55.20M,,0.20M,-25.30M,,88.90M,-46.40M,,42.40M,1998-12,,12.80M,,,0.00,,,1998-12,,
1998-09,101.60M,,,-3.80M,,,,-4.40M,,,,108.60M,,,,,,78.90M,78.90M,,280.90M,1998-09,-131.70M,,-131.70M,,,-30.10M,-161.80M,,,,-29.30M,14.00M,0.00,14.00M,,-54.70M,,-0.20M,-70.20M,,40.10M,48.90M,,88.90M,1998-09,,14.00M,,,0.00,,,1998-09,,
1998-06,35.10M,,,-6.60M,,,,3.50M,,,,104.80M,,,,,,-87.50M,-87.50M,,49.30M,1998-06,-105.70M,,-105.70M,,,-53.50M,-159.20M,,,,39.30M,29.50M,0.00,29.50M,,-53.80M,,0.10M,15.10M,,134.80M,-94.80M,,40.10M,1998-06,,29.50M,,,0.00,,,1998-06,,
