,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2000-12,442.79M,442.79M,332.84M,109.95M,,-0.347M,9.267M,,,,61.01M,48.94M,,,-0.347M,,36.35M,13.38M,22.97M,,,22.97M,23.19M,64.72M,15.78M,48.94M,0.7,0.0,,0.7067,0.7,0.7,0.0,,0.7067,0.7,32.81M,32.91M,0.29
2000-09,159.14M,159.14M,101.14M,58.00M,,4.304M,4.843M,,,,56.47M,1.532M,,,4.304M,,-5.579M,-1.996M,-3.583M,,,-3.583M,-6.347M,17.26M,15.73M,1.532M,-0.1359,,,-0.224,-0.1359,-0.1359,0.0,,-0.2227,-0.1359,31.36M,31.85M,0.285
2000-06,152.36M,152.36M,92.33M,60.03M,,4.794M,7.114M,,,,62.37M,-2.344M,,,4.794M,,-7.714M,-3.318M,-4.396M,,,-4.396M,-7.272M,12.79M,15.14M,-2.344M,-0.14,0.0,,-0.2313,-0.14,-0.14,0.0,,-0.2313,-0.14,31.50M,31.50M,0.285
2000-03,314.20M,314.20M,196.07M,118.13M,,1.688M,9.196M,,,,62.14M,55.99M,,,1.688M,,46.65M,17.08M,29.57M,,,29.57M,28.50M,72.48M,16.49M,55.99M,0.94,0.0,,0.9058,0.94,0.94,0.0,,0.9061,0.94,31.33M,31.54M,0.285
1999-12,224.50M,224.50M,134.90M,89.60M,,4.00M,7.50M,,,,59.40M,30.20M,,,4.00M,,22.90M,8.60M,14.30M,,,14.30M,11.80M,46.70M,16.50M,30.20M,0.46,0.0,,0.3797,0.46,0.46,0.0,,0.3797,0.46,31.09M,31.09M,0.285
1999-09,108.96M,108.96M,66.10M,42.86M,,-3.00M,8.30M,,,0.00,71.60M,-28.74M,,,-3.00M,,-33.90M,-12.70M,-21.20M,,,-21.20M,-19.32M,-13.24M,15.50M,-28.74M,-0.7,0.0,,-0.6392,-0.7,-0.7,0.0,,-0.6398,-0.7,30.87M,31.15M,0.275
1999-06,109.59M,109.59M,56.20M,53.39M,,1.10M,6.80M,,,,52.90M,0.49M,,,1.10M,,-8.20M,-2.90M,-5.30M,,,-5.30M,-6.011M,14.49M,14.00M,0.49M,-0.17,0.0,,-0.1932,-0.17,-0.17,0.0,,-0.1932,-0.17,30.67M,30.67M,0.275
1999-03,261.40M,261.40M,149.00M,112.40M,,2.40M,9.00M,,,3.30M,61.60M,50.80M,,,2.40M,,45.00M,16.20M,28.80M,,,28.80M,27.26M,64.60M,,50.80M,0.95,0.0,,0.8996,0.95,0.94,0.0,,0.89,0.94,30.45M,30.70M,0.275
1998-12,210.20M,210.20M,119.00M,91.20M,,1.70M,7.40M,,,,59.50M,31.70M,,,1.70M,,24.40M,9.00M,15.40M,,,15.40M,14.33M,45.30M,,31.70M,0.51,0.0,,0.4745,0.51,0.5,0.0,,0.4652,0.5,30.20M,30.80M,0.275
1998-09,127.00M,127.00M,76.10M,50.90M,,-1.20M,5.00M,,,,54.10M,-3.20M,,,-1.20M,,-8.00M,-4.10M,-3.90M,,,-3.90M,-3.18M,8.30M,,-3.20M,-0.15,0.0,,-0.1264,-0.15,-0.15,0.0,,-0.1267,-0.15,30.49M,30.88M,0.265
1998-06,137.30M,137.30M,79.90M,57.40M,,2.50M,7.20M,,,,49.40M,8.00M,,,2.50M,,2.70M,1.00M,1.70M,,,1.70M,0.1259M,20.30M,,8.00M,0.06,0.0,,0.0044,0.06,0.06,0.0,,0.0044,0.06,28.33M,28.33M,0.265
