,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-03,56.19M,,,,,141.19M,141.19M,,,31.07M,50.56M,-168.34M,25.07M,-168.34M,117.78M,-143.28M,85.17M,-102.70M,,-102.70M,-95.95M,-18.73M,67.15M,-150.22M,201.70M,201.70M,5.877M,-2.064M,3.813M,,0.00,0.00,,,-39.38M,-146.94M,19.19M,535.62M,-45.87M,489.76M,5.877M,1.348B,-1.147B,-2.064M
2003-12,173.51M,,,,,130.37M,130.37M,,,20.59M,-51.80M,-24.93M,7.881M,-24.93M,202.20M,108.42M,432.89M,-142.66M,,-353.90M,-447.83M,77.56M,276.08M,-236.86M,138.91M,138.91M,94.40M,,0.447M,,,,,,-170.43M,8.505M,-22.57M,361.07M,173.46M,535.62M,94.40M,869.19M,-730.28M,-93.95M
2003-09,58.40M,,,,,136.48M,136.48M,,,35.17M,-11.11M,131.65M,-21.60M,131.65M,-263.06M,-32.47M,197.59M,-98.23M,-184.93M,-71.91M,-191.31M,-40.25M,186.45M,-328.27M,308.04M,308.04M,0.769M,,0.769M,,0.00,0.00,,,-165.63M,-2.835M,140.34M,351.41M,9.659M,361.07M,0.769M,329.44M,-21.40M,0.00
2003-06,65.98M,,,,,124.86M,124.86M,,,31.28M,2.984M,50.21M,-46.20M,50.21M,-16.96M,40.24M,262.36M,-52.58M,92.70M,40.13M,-1.09M,-17.36M,-68.33M,-46.65M,-106.58M,-106.58M,3.725M,,3.725M,,0.00,0.00,,,-165.56M,-2.835M,-271.24M,406.94M,-55.53M,351.41M,3.725M,559.09M,-665.66M,0.00
2003-03,70.82M,,,,,126.85M,126.85M,,,10.65M,67.81M,-181.86M,67.81M,-181.86M,77.82M,-150.29M,58.03M,-60.44M,92.22M,31.78M,-174.39M,-19.95M,12.68M,-149.88M,269.15M,269.15M,0.83M,,0.83M,,0.00,0.00,,,-165.48M,-2.835M,101.66M,397.13M,9.812M,406.94M,0.83M,778.78M,-509.63M,0.00
2002-12,111.99M,,,,,126.98M,126.98M,,,-13.38M,-52.37M,117.99M,-52.37M,117.99M,,131.24M,356.84M,-59.46M,,-59.46M,-10.18M,-425.06M,471.27M,-23.42M,-6.354M,-6.354M,0.085M,,0.085M,,,,,,-267.40M,111.59M,-162.08M,225.80M,171.33M,397.13M,0.085M,14.27M,-20.62M,
2002-09,90.72M,,,,,129.36M,129.36M,,,61.16M,-22.36M,56.41M,1.954M,48.88M,-105.61M,-20.73M,260.52M,-60.35M,,-60.35M,-125.35M,457.63M,-415.60M,-143.68M,-270.13M,-270.13M,327.08M,,327.08M,,,,,,-66.68M,-106.35M,-116.09M,220.20M,0.749M,225.80M,327.08M,997.84M,-1.268B,
2002-06,173.37M,,,,,120.96M,120.96M,,,-92.18M,19.90M,-56.18M,10.86M,-48.83M,36.30M,-37.95M,164.19M,-64.27M,,-64.27M,-1.056B,-27.17M,499.05M,-648.42M,609.98M,609.98M,6.174M,,6.174M,,,,,,-149.20M,-2.768M,464.18M,240.25M,-20.05M,220.20M,6.174M,963.20M,-353.22M,
2002-03,46.50M,,,,,114.00M,114.00M,,,21.96M,53.29M,-120.90M,38.01M,-120.72M,69.31M,-81.01M,101.45M,-29.91M,,-29.91M,62.42M,-5.399M,2.676M,29.79M,-28.39M,-28.39M,8.11M,,8.11M,,,,,,-123.14M,-2.472M,-145.90M,254.91M,-14.66M,240.25M,8.11M,433.38M,-461.77M,
2001-12,60.40M,,,,,134.99M,134.99M,,,88.45M,-42.74M,155.40M,-48.14M,155.40M,-112.66M,107.26M,391.10M,-64.59M,,-64.59M,-282.07M,-35.08M,187.87M,-193.86M,50.20M,50.20M,0.914M,,0.914M,,,,,,-160.07M,9.941M,-99.01M,152.82M,98.23M,259.76M,0.914M,1.003B,-952.55M,
2001-09,52.52M,,,,,111.57M,111.57M,,,-31.69M,32.13M,15.51M,-0.412M,12.81M,-2.419M,57.62M,190.01M,86.86M,,-65.62M,33.31M,-92.42M,-153.92M,-126.16M,60.28M,60.28M,3.008M,,3.008M,,,,,,-140.69M,-5.285M,-82.69M,171.67M,-18.84M,152.82M,3.008M,787.11M,-726.83M,
2001-06,45.95M,,,,,109.19M,109.19M,,,-17.38M,-24.20M,37.91M,-24.20M,40.60M,,30.11M,167.86M,-229.98M,,-77.50M,112.01M,-20.43M,182.95M,44.55M,-17.85M,-17.85M,3.604M,,3.604M,,,,,,-157.40M,4.588M,-167.05M,135.02M,45.36M,171.67M,3.604M,87.59M,-105.44M,
2001-03,40.12M,,,,,109.15M,109.15M,,,78.66M,37.16M,-96.08M,37.16M,-96.08M,,-117.84M,110.09M,-74.84M,,-74.84M,,,-0.998M,-75.84M,15.30M,15.30M,0.559M,,0.559M,,,,,,-105.52M,-32.68M,-122.35M,223.11M,-88.09M,135.02M,0.559M,577.54M,-562.24M,
2000-12,226.13M,,,,,430.40M,430.40M,,,54.47M,-15.12M,29.92M,-18.57M,37.31M,,33.54M,744.54M,-419.38M,,-419.38M,-3.124M,,297.16M,-125.35M,48.51M,48.51M,1.178M,-50.83M,-49.65M,,,,,,-542.44M,-14.65M,-558.23M,7.222M,60.96M,223.11M,1.178M,1.475B,-1.426B,-50.83M
2000-09,-0.646M,,,,,0.025M,0.025M,,,-1.044M,-0.57M,2.192M,,,,1.622M,-0.043M,,0.00,0.00,0.001M,,-1.403M,-1.402M,0.00,0.00,-0.018M,-0.144M,-0.162M,,,,,,,2.172M,2.01M,6.657M,0.565M,7.222M,-0.018M,,0.00,-0.144M
2000-06,-39.61M,,,,,-101.80M,-101.80M,,,-42.31M,-61.44M,98.36M,-58.56M,93.16M,,71.52M,-112.19M,109.86M,0.00,109.86M,1.798M,,-40.00M,71.66M,-77.74M,-77.74M,0.049M,,0.049M,,,,,,107.86M,49.84M,80.00M,122.11M,39.47M,6.657M,0.049M,-693.18M,615.43M,
2000-03,37.46M,,,,,101.84M,101.84M,,,41.11M,58.56M,-93.16M,58.56M,-93.16M,,-69.20M,111.21M,-109.86M,,-109.86M,,,30.71M,-79.15M,77.64M,77.64M,,,,,,,,,-107.86M,-37.37M,-67.59M,157.63M,-35.52M,122.11M,,693.18M,-615.54M,
1999-12,-18.88M,,,,,112.25M,112.25M,,,142.43M,-9.618M,0.123M,-9.618M,0.123M,,-18.99M,216.81M,123.94M,,123.94M,-339.06M,,-6.529M,-221.65M,190.16M,190.16M,-0.537M,,-0.537M,,,,,,-272.99M,146.95M,63.58M,98.90M,58.74M,154.92M,-0.537M,509.47M,-319.31M,
1999-09,127.85M,,,,,96.70M,96.70M,,,-62.83M,-43.03M,41.23M,-43.03M,41.23M,,-3.59M,158.13M,-416.34M,,-416.34M,88.44M,,-4.727M,-332.63M,269.78M,269.78M,0.747M,,0.747M,,,,,,-9.635M,-131.30M,129.59M,142.24M,-44.91M,98.90M,0.747M,566.79M,-297.01M,
1999-06,26.65M,,,,,92.60M,92.60M,,,-13.77M,-3.374M,54.87M,-3.374M,54.87M,,102.99M,208.47M,-68.36M,,-68.36M,-88.44M,,129.23M,-27.57M,10.62M,10.62M,1.053M,,1.053M,,,,,,-175.16M,35.90M,-127.59M,,14.61M,142.24M,1.053M,178.31M,-167.69M,
1999-03,67.40M,,,,,92.10M,92.10M,,,46.60M,-4.50M,-60.10M,-4.50M,-60.10M,,-129.20M,76.90M,-130.60M,,-130.60M,,,51.40M,-79.20M,104.50M,104.50M,0.20M,,0.20M,,,,,,-105.20M,-35.90M,-36.40M,127.60M,,,0.20M,913.50M,-809.00M,
1998-12,18.70M,,,,,93.00M,93.00M,,,54.98M,-6.60M,17.10M,-6.60M,17.10M,,21.00M,187.68M,-178.00M,,-178.00M,,,-25.54M,-203.54M,138.70M,138.70M,0.00,,0.00,,,,,,-127.10M,30.86M,42.46M,,,129.20M,0.00,477.10M,-338.40M,
1998-09,52.90M,,,,,64.90M,64.90M,,,-28.30M,-17.10M,40.40M,-17.10M,40.40M,,46.60M,136.10M,-1.742B,,-1.742B,,,43.60M,-1.699B,1.664B,1.664B,22.20M,,22.20M,,,,,,-113.00M,-11.10M,1.562B,,,,22.20M,1.820B,-156.10M,
1998-06,57.30M,,,,,60.50M,60.50M,,,8.10M,-4.90M,-10.20M,-4.90M,-10.20M,,-30.20M,95.70M,-311.00M,,-311.00M,,,333.20M,22.20M,-109.10M,-109.10M,91.90M,,91.90M,,,,,,-99.40M,0.10M,-116.50M,,,,91.90M,1.188B,-1.298B,
