,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2001-06,171.67M,,171.67M,401.28M,1.46M,402.74M,,574.41M,,,,,,13.15B,-1.668B,11.48B,37.80M,,37.80M,1.273B,,,,12.79B,13.67B,471.43M,18.49M,489.92M,,489.92M,,,,,489.92M,8.730B,,8.730B,1.362B,,,8.730B,9.368B,537.25M,-824.72M,3.318B,52.33M,537.23M,,,-8.405M,2.078B
2001-03,128.31M,,128.31M,471.85M,1.432M,473.28M,,601.60M,,,,,,13.03B,-1.548B,11.49B,38.09M,,38.09M,1.322B,,,,12.85B,13.74B,415.73M,19.29M,435.02M,,435.02M,,,,,435.02M,8.747B,,8.747B,1.383B,,,8.747B,9.366B,538.75M,-768.20M,3.312B,52.33M,538.74M,,,-7.441M,2.107B
2000-12,223.11M,,223.11M,,,,,223.11M,,,,,,,,11.56B,,38.38M,38.38M,,,,,11.60B,13.94B,,,,,,,,,,,8.729B,,8.729B,1.399B,,,8.729B,9.474B,0.018M,-711.40M,3.299B,52.33M,,,,,3.064B
2000-09,7.222M,,7.222M,3.12M,,3.12M,,10.34M,,,,,,,,,,,,8.388M,,,33.22M,41.61M,51.95M,,,,,8.517M,,,,,8.517M,24.50M,,24.50M,0.651M,,5.051M,29.55M,38.07M,29.64M,-16.22M,,0.189M,,,,,8.185M
2000-06,6.657M,,6.657M,2.81M,,2.81M,,9.467M,,,,,,,,,,,,7.869M,,,31.58M,39.45M,48.92M,,,,,6.323M,,,,,6.323M,22.33M,,22.33M,0.928M,,5.329M,27.66M,33.98M,29.62M,-15.57M,,0.028M,,,,,8.685M
2000-03,117.92M,,117.92M,229.32M,14.49M,243.81M,,361.73M,,,,,,12.86B,-1.183B,11.68B,39.26M,,39.26M,1.552B,,,,13.27B,14.08B,,,,,430.08M,,,,,430.08M,8.845B,,8.845B,1.453B,,,8.845B,9.104B,881.19M,-611.65M,3.294B,7.953M,881.18M,,,-6.632M,2.562B
1999-12,157.63M,,157.63M,,,,,157.63M,,,,,,,,11.70B,,39.56M,39.56M,,,,,11.74B,14.22B,,,,,,,,,,,8.769B,,8.769B,1.468B,,,8.769B,9.502B,0.018M,-552.93M,3.284B,7.953M,,,,,3.254B
1999-09,,,,,,,,,,,,,,,,11.62B,,40.80M,40.80M,,,,,11.66B,13.88B,,,,,,,,,,,8.542B,,8.542B,339.50M,,,8.542B,10.29B,0.00,-515.10M,3.276B,,,,,,3.251B
1999-06,,,,,,,,,,,,,,,,11.49B,,41.40M,41.40M,,,,,11.53B,13.45B,,,,,,,,,,,8.275B,,8.275B,339.50M,,,8.275B,9.824B,,-469.90M,,,,,,,3.291B
1999-03,,,,,,,,,,,,,,,,11.34B,,57.30M,57.30M,,,,,11.40B,13.40B,,,,,,,6.00M,6.00M,,6.00M,8.263B,,8.263B,339.40M,,,8.263B,9.743B,,-421.10M,,,,,,,3.314B
1998-12,129.20M,,129.20M,,,,,129.20M,,,,,,,,11.13B,,58.10M,58.10M,,,,,11.19B,13.28B,,,,,,,,,,,7.973B,,7.973B,339.30M,,,7.973B,9.528B,,-372.60M,,,,,,,3.409B
1998-09,,,,,,,,,,,,,,,,11.03B,,62.20M,62.20M,,,,,11.10B,13.04B,,,,,,,,,,,7.746B,,7.746B,339.30M,,,7.746B,9.345B,,-429.90M,,,,,,,3.359B
1998-06,,,,,,,,,,,,,,,,6.505B,,,,,,,,6.505B,7.933B,,,,,,,,,,,5.228B,,5.228B,734.60M,,,5.228B,5.582B,,-323.90M,,,,,,,1.616B
1998-03,,,,,,,,,,,,,,,,6.495B,,,,,,,,6.495B,7.957B,,,,,,,,,,,5.330B,,5.330B,718.30M,,,5.330B,5.681B,,-294.80M,,,,,,,1.557B
1997-12,109.70M,,109.70M,,,188.36M,,298.06M,,,,,,6.867B,-461.79M,6.406B,0.00,,0.00,669.12M,,,,7.075B,7.663B,,,,,245.12M,,,,,245.12M,5.078B,,5.078B,,,,5.078B,6.106B,339.07M,-263.31M,1.492B,,339.06M,,,2.42M,1.557B
