,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2004-06,623.02M,591.56M,,,12.72M,3.46M,16.18M,,,3.213M,-354.59M,,,546.88M,354.59M,236.98M,,,11.62M,,108.39M,6.632M,101.76M,1.688M,,-3.82M,7.834M,78.54M,65.95M,386.04M,149.06M,236.98M,0.33,0.01,,,0.2776,0.34,0.33,0.01,,,0.2776,0.34,207.97M,207.97M,0.65
2004-03,585.70M,582.13M,,,12.61M,3.561M,16.17M,,,3.401M,-353.27M,,,549.89M,353.27M,228.86M,,,-13.50M,,78.18M,2.01M,76.17M,-0.594M,,-0.861M,7.836M,56.19M,69.93M,370.05M,141.19M,228.86M,0.24,0.0,,,0.3053,0.24,0.24,0.0,,,0.3053,0.24,201.46M,201.46M,0.65
2003-12,597.83M,597.83M,,,,3.976M,-33.86M,,,,,,,,-964.18M,1.562B,,,,,,,64.27M,,,,,118.38M,100.07M,1.692B,130.37M,1.562B,0.61,0.25,,,0.61,0.86,0.61,0.25,,,0.61,0.86,197.58M,197.58M,0.6
2003-09,559.55M,559.55M,,,14.19M,4.03M,18.22M,,-5.146M,2.132M,,,,193.22M,339.85M,219.71M,,,-5.146M,,,,86.23M,-10.75M,,-0.888M,15.68M,58.40M,72.24M,356.19M,136.48M,219.71M,0.27,-0.04,,,0.2866,0.23,0.26,-0.04,,,0.2759,0.22,185.74M,194.19M,0.6
2003-06,581.82M,556.23M,,,12.24M,4.03M,16.28M,,0.00,4.059M,-346.42M,,,531.84M,328.58M,227.65M,,,,,101.40M,2.064M,99.33M,-15.51M,,-0.586M,15.68M,65.98M,81.49M,352.51M,124.86M,227.65M,0.33,-0.06,,,0.33,0.27,0.32,-0.06,,,0.32,0.26,186.27M,193.43M,0.6
2003-03,556.27M,534.86M,,,11.46M,3.044M,14.50M,,,4.363M,-316.29M,,,492.77M,316.29M,218.57M,,,0.023M,,86.94M,1.963M,84.98M,3.085M,,-1.833M,15.68M,70.82M,67.71M,345.42M,126.85M,218.57M,0.26,0.03,,,0.2599,0.29,0.26,0.03,,,0.2599,0.29,190.14M,190.14M,0.6
2002-12,564.88M,267.49M,,,22.13M,,25.37M,,,,-276.02M,,,,-250.66M,518.15M,,,6.215M,,,,135.65M,12.28M,,4.129M,15.68M,147.94M,131.92M,645.13M,126.98M,518.15M,0.42,0.1,,,0.4,0.52,0.42,0.1,,,0.4,0.52,186.34M,186.34M,0.55
2002-09,564.08M,564.08M,,,14.22M,,14.22M,,,,-315.74M,,,,-301.52M,865.60M,,,0.076M,,,,94.69M,2.248M,,1.811M,15.68M,96.94M,94.64M,994.97M,129.36M,865.60M,0.31,0.01,,,0.3098,0.32,0.31,0.01,,,0.3098,0.32,185.53M,186.26M,0.55
2002-06,516.53M,516.53M,,,11.86M,,11.86M,,169.16M,1.51M,,,,165.29M,295.11M,221.43M,,,169.16M,,,,238.81M,,16.14M,-1.97M,16.34M,188.48M,70.84M,342.39M,120.96M,221.43M,0.92,0.07,0.0,,0.3381,0.99,0.9,0.06,0.0852,,0.3643,0.96,174.44M,189.46M,0.55
2002-03,504.38M,494.33M,,,11.78M,,11.78M,,,3.202M,-293.51M,,,460.53M,292.70M,201.64M,,,,,,,30.14M,,0.00,-2.588M,16.50M,46.64M,46.64M,315.63M,114.00M,201.64M,0.17,0.0,0.0,,0.17,0.17,0.17,0.0,0.0,,0.17,0.17,173.95M,174.53M,0.525
2001-12,622.41M,572.14M,,,24.47M,,24.47M,,,0.587M,-342.20M,,,512.07M,324.10M,248.04M,,,-46.67M,,,,79.59M,,0.346M,-2.754M,16.50M,60.80M,60.01M,383.03M,134.99M,248.04M,0.26,0.0,0.0,,0.2588,0.26,0.25,0.0,0.002,,0.2489,0.2509,170.15M,177.24M,0.525
2001-09,505.94M,499.24M,,,14.05M,,14.05M,,,2.676M,-284.61M,,,441.33M,284.61M,214.63M,,,-0.131M,,,,69.81M,,-0.22M,-2.486M,16.50M,52.92M,53.43M,326.19M,111.57M,214.63M,0.21,0.0,0.0,-0.0013,0.2105,0.21,0.21,0.0,-0.0013,-0.0013,0.2105,0.21,172.75M,173.03M,0.525
2001-06,502.14M,487.64M,,,12.62M,,12.62M,,,2.248M,-279.09M,,,435.97M,278.47M,209.17M,,,-0.028M,,,,70.03M,,0.00,-3.115M,9.177M,45.96M,45.98M,318.36M,109.19M,209.17M,0.21,0.0,0.0,,0.2101,0.21,0.21,0.0,0.0,,0.2101,0.21,172.48M,172.80M,0.525
2001-03,505.12M,505.12M,,,13.81M,,13.81M,,,,-281.30M,,,,-267.50M,772.62M,,,2.711M,,,,63.78M,,-1.638M,2.116M,9.185M,62.11M,62.15M,881.76M,109.15M,772.62M,0.19,0.01,0.0,-0.0001,0.1805,0.2,0.18,0.01,-0.0096,-0.0001,0.1705,0.19,171.33M,171.33M,0.505
2000-12,2.121B,2.013B,,,,,58.82M,,,,,,,,-1.071B,3.084B,,,,,,,349.57M,,,10.02M,,337.26M,350.22M,3.514B,430.40M,3.084B,1.112,,,,1.112,1.112,1.112,,,,1.112,1.112,170.27M,170.27M,0.505
2000-09,2.852M,2.852M,,,,,2.581M,,,,,,,1.886M,4.492M,-1.64M,,,,,-0.606M,0.00,-0.606M,,,0.277M,,-0.606M,-0.606M,-1.615M,0.025M,-1.64M,-0.35,0.0,,,-0.35,-0.35,-0.35,0.0,,,-0.35,-0.35,1.728M,1.728M,0.505
2000-06,2.591M,2.591M,,,,,2.075M,,,,,,,2.277M,4.378M,-1.787M,,,,,-1.501M,0.00,-1.501M,,,0.07M,,-1.501M,-1.501M,-1.761M,-101.80M,-1.787M,-0.86,0.0,,,-0.86,-0.86,-0.86,0.0,,,-0.86,-0.86,1.737M,169.95M,0.505
2000-03,502.94M,502.94M,,,16.01M,,16.01M,,,,-270.71M,,,,-254.70M,757.63M,,,7.096M,,,,71.14M,,-12.78M,2.434M,9.221M,58.35M,66.88M,859.48M,101.84M,757.63M,0.21,-0.05,0.0,,0.1867,0.16,0.21,-0.05,-0.0699,,0.1867,0.16,182.76M,182.76M,0.505
1999-12,526.27M,526.27M,,,20.44M,,20.44M,,,,-283.70M,,,,-263.26M,789.53M,,,7.358M,,,,75.50M,,,3.019M,9.171M,89.10M,93.60M,901.78M,112.25M,789.53M,-0.0729,,,,-0.0729,-0.0729,-0.0729,,,,-0.0729,-0.0729,171.38M,171.38M,0.505
1999-09,489.70M,489.70M,,,15.90M,,15.90M,,,,-256.40M,,,,-240.50M,730.20M,,,,,,,87.20M,,-12.40M,2.20M,8.70M,74.80M,87.20M,826.90M,96.70M,730.20M,0.25,-0.01,0.0,,0.25,0.24,0.25,-0.01,-0.0715,,0.25,0.24,173.48M,173.48M,0.505
1999-06,465.89M,465.89M,,,14.85M,,14.85M,,,,-247.19M,,,,-232.34M,698.22M,,,-4.188M,,,,69.52M,,,3.688M,8.789M,69.48M,72.03M,790.83M,92.60M,698.22M,0.23,0.0,,-0.0002,0.2445,0.23,0.23,0.0,,-0.0002,0.2445,0.23,173.34M,173.61M,0.505
1999-03,459.50M,459.50M,,,14.70M,,14.70M,,,,-249.20M,,,,-234.50M,694.00M,,,,,,,67.40M,,-1.80M,1.80M,7.30M,65.60M,67.40M,786.10M,92.10M,694.00M,0.21,0.0,0.0,,0.21,0.21,0.21,0.0,-0.0104,,0.21,0.21,173.18M,173.18M,0.505
1998-12,485.10M,463.76M,,,22.80M,,22.80M,,,,-249.40M,,,,-226.60M,690.36M,,,,,,,94.73M,,,78.70M,11.40M,18.80M,18.70M,783.36M,93.00M,690.36M,0.0444,,,,0.0444,0.0444,0.0444,,,,0.0444,0.0444,166.78M,166.78M,0.4721
1998-09,326.10M,326.10M,,,11.30M,,11.30M,,,,-174.70M,,,,-163.40M,489.50M,,,,,,,52.80M,,,1.10M,7.60M,52.80M,52.80M,554.40M,64.90M,489.50M,0.25,0.0,,,0.25,0.25,0.25,0.0,,,0.25,0.25,180.80M,180.80M,0.505
1998-06,310.60M,310.60M,,,8.60M,,8.60M,,,,-172.30M,,,,-163.70M,474.30M,,,,,,,43.50M,,7.00M,2.20M,7.30M,50.50M,43.50M,534.80M,60.50M,474.30M,0.21,0.04,0.0,,0.21,0.25,0.21,0.04,0.0616,,0.21,0.25,109.09M,109.09M,0.505
