,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-09,737.90M,194.06M,931.96M,375.62M,,375.62M,,36.60M,976.73M,2.321B,,,,,336.92M,-144.12M,192.80M,4.682B,2.407B,7.089B,,191.91M,424.01M,7.898B,10.22B,,287.77M,,287.77M,335.58M,623.36M,,,,,206.25M,,206.25M,124.15M,155.41M,31.26M,776.10M,1.761B,2.350B,,2.350B,1.020B,,1.020B,,3.758M,,328.72M,0.2728M,,,2.011M,1.314B,3.489B,13.15M,,,,-36.70M,4.755B,,,Restated
2008-06,740.00M,136.97M,876.97M,354.93M,,354.93M,,18.07M,913.62M,2.164B,,,,,304.18M,-144.12M,160.06M,4.075B,2.040B,6.114B,,163.52M,367.58M,6.805B,8.969B,,219.87M,,219.87M,262.70M,482.56M,,,,,98.44M,,98.44M,164.51M,188.44M,23.94M,826.36M,1.596B,1.545B,,1.545B,864.70M,,864.70M,,12.90M,,235.18M,0.2724M,,,2.004M,1.253B,3.474B,9.896M,,,,-4.695M,4.715B,,,Restated
2008-03,736.02M,121.21M,857.23M,403.61M,,403.61M,,15.99M,658.18M,1.935B,,,,,333.90M,-144.12M,189.79M,3.919B,2.214B,6.133B,,156.95M,376.70M,6.856B,8.791B,,208.84M,,208.84M,238.62M,447.45M,,,,,68.91M,,68.91M,203.20M,232.77M,29.58M,664.93M,1.414B,1.575B,,1.575B,925.83M,,925.83M,,12.39M,,251.84M,2.752B,,,2.001M,1.152B,3.465B,9.259M,,,,2.888M,4.613B,,,Restated
2007-12,1.325B,,1.325B,249.52M,,249.52M,,10.79M,96.38M,1.682B,,,208.64M,,208.64M,-144.12M,64.52M,980.74M,181.61M,1.162B,,63.28M,7.23M,1.297B,2.979B,,218.69M,,218.69M,89.02M,307.71M,,,,,,,,60.54M,69.34M,8.807M,34.14M,411.20M,118.44M,,118.44M,91.81M,,91.81M,,,,149.67M,359.92M,,,1.393M,1.030B,1.189B,8.035M,,1.458M,-6.155M,-4.697M,2.208B,,,
2007-09,1.259B,9.201M,1.268B,274.14M,,274.14M,,104.73M,64.19M,1.711B,,,,,221.12M,-159.11M,62.01M,975.74M,186.51M,1.162B,,58.05M,6.778M,1.289B,3.000B,,127.53M,,127.53M,122.78M,250.32M,,,,,,,,93.78M,94.01M,0.232M,180.50M,524.83M,443.09M,,443.09M,91.06M,,91.06M,,,,160.32M,694.47M,,,1.307M,951.44M,1.064B,225.17M,,,,-10.69M,1.781B,,,
2007-06,575.00M,1.695B,2.270B,284.61M,,284.61M,,18.04M,40.08M,2.613B,,,,,219.65M,-159.11M,60.54M,1.029B,189.79M,1.219B,,100.84M,12.40M,1.393B,4.005B,,256.59M,,256.59M,94.48M,351.07M,,,,,10.68M,,10.68M,128.67M,260.54M,131.87M,,622.29M,1.488B,,1.488B,95.34M,,95.34M,,,,196.92M,1.780B,,,1.307M,586.44M,1.057B,231.87M,,,,190.51M,1.603B,,,
2007-03,493.25M,1.532B,2.025B,299.20M,,299.20M,,18.09M,26.51M,2.369B,,,,,221.01M,-159.11M,61.89M,1.029B,194.71M,1.224B,,100.26M,12.63M,1.398B,3.767B,,200.90M,,200.90M,98.58M,299.48M,,,,,10.68M,,10.68M,161.61M,231.35M,69.75M,,541.52M,1.490B,,1.490B,96.51M,,96.51M,,,,197.08M,1.784B,,,1.307M,530.31M,1.051B,236.67M,,,,95.60M,1.442B,,,
2006-12,322.00M,1.628B,1.950B,233.27M,,233.27M,,11.10M,117.98M,2.313B,,,224.38M,,224.38M,-159.11M,65.27M,1.029B,199.62M,1.228B,,96.99M,13.29M,1.404B,3.716B,,170.75M,,170.75M,127.66M,298.41M,,,,,10.68M,,10.68M,56.45M,151.44M,94.99M,,460.54M,1.493B,,1.493B,115.79M,,115.79M,,0.096M,,189.73M,1.798B,,,1.307M,513.00M,1.047B,239.75M,,1.642M,134.56M,136.20M,1.457B,,,
2006-09,440.54M,1.420B,1.860B,228.39M,,228.39M,,11.45M,34.59M,2.135B,,,,,292.85M,-229.90M,62.95M,999.28M,204.60M,1.204B,,126.15M,14.61M,1.408B,3.542B,,118.39M,,118.39M,122.72M,241.11M,,,,,11.69M,,11.69M,86.66M,86.66M,,10.14M,349.60M,1.595B,,1.595B,88.33M,,88.33M,,0.411M,,192.08M,1.875B,,,1.307M,449.96M,1.041B,245.88M,,,,71.17M,1.317B,,,
2006-06,488.82M,1.216B,1.704B,234.40M,0.09M,234.48M,,14.32M,35.54M,1.989B,0.00,31.65M,285.56M,,317.21M,-222.90M,94.30M,988.28M,207.25M,1.196B,,124.27M,12.45M,1.427B,3.415B,,112.09M,,112.09M,92.62M,204.71M,,,,,11.85M,,11.85M,114.87M,114.87M,,9.798M,341.23M,1.613B,,1.613B,89.22M,,89.22M,,0.545M,,192.88M,1.895B,,,1.308M,419.74M,1.039B,249.59M,,,,-31.89M,1.179B,,,
2006-03,374.90M,221.28M,596.18M,241.02M,0.049M,241.07M,,13.33M,38.71M,889.29M,0.00,60.92M,294.02M,,354.94M,-247.17M,107.76M,988.46M,216.48M,1.205B,,127.84M,16.71M,1.457B,2.347B,,112.64M,,112.64M,88.86M,201.50M,,,,,7.50M,,7.50M,140.60M,140.60M,,9.257M,358.86M,1.183B,,1.183B,93.03M,,93.03M,,0.862M,,189.26M,1.465B,,,1.307M,403.09M,607.15M,488.91M,,,,-1.247M,521.39M,,,
2005-12,165.24M,179.37M,344.61M,207.63M,,207.63M,,9.953M,34.77M,596.96M,0.00,60.92M,295.54M,,356.46M,-233.89M,122.58M,,1.177B,1.177B,,133.34M,16.54M,1.450B,2.047B,,118.88M,,118.88M,117.13M,236.02M,,,,,7.50M,,7.50M,53.59M,53.59M,,28.22M,325.33M,1.185B,,1.185B,95.15M,,95.15M,,0.998M,,187.37M,1.467B,,,96.32M,385.79M,383.67M,613.37M,95.02M,,,0.589M,253.01M,,,
2005-09,288.76M,256.48M,545.25M,133.28M,0.019M,133.30M,,11.27M,56.43M,746.24M,0.00,60.83M,303.65M,,364.48M,-238.10M,126.38M,,181.81M,181.81M,,57.16M,1.659M,367.00M,1.113B,,56.19M,,56.19M,86.84M,143.02M,,,,,,,,84.62M,84.62M,,20.53M,248.18M,467.33M,,467.33M,28.33M,,28.33M,,1.156M,,163.05M,658.72M,906.89M,,95.99M,369.69M,363.48M,625.02M,94.69M,,,1.046M,205.19M,,,
2005-06,304.29M,246.05M,550.34M,112.86M,0.019M,112.88M,,7.468M,25.68M,696.37M,0.00,79.63M,337.37M,,417.00M,-282.32M,134.68M,,181.70M,181.70M,,58.19M,1.07M,375.64M,1.072B,,46.22M,,46.22M,71.95M,118.16M,,,,,,,,115.34M,115.34M,,18.53M,252.04M,467.24M,,467.24M,21.12M,,21.12M,,,,167.90M,656.26M,908.29M,,95.33M,353.27M,358.12M,643.59M,94.03M,,,0.584M,163.72M,,,
2005-03,83.94M,261.66M,345.60M,108.02M,0.019M,108.04M,,22.74M,19.25M,495.62M,0.00,96.95M,341.90M,,438.85M,-276.74M,162.11M,,182.48M,182.48M,,46.25M,1.023M,391.87M,887.49M,,42.78M,,42.78M,69.38M,112.16M,,,,,,,,143.20M,143.20M,,20.61M,275.96M,265.00M,,265.00M,25.24M,,25.24M,,,,152.77M,443.01M,718.97M,,132.37M,341.54M,356.21M,661.40M,131.06M,,,-0.195M,168.52M,,,
2004-12,58.19M,203.51M,261.70M,104.26M,3.229M,107.49M,,24.21M,12.80M,406.20M,0.00,97.32M,345.30M,,442.63M,-268.79M,173.84M,,182.17M,182.17M,,48.76M,3.846M,408.62M,814.82M,,40.18M,,40.18M,91.85M,132.03M,,,,,,,,59.54M,59.54M,,16.75M,208.32M,265.00M,,265.00M,29.51M,,29.51M,,,,155.43M,449.94M,658.26M,,131.44M,330.70M,355.94M,662.00M,130.13M,,,0.481M,156.56M,,,
2004-09,47.99M,214.58M,262.57M,92.52M,,92.52M,,29.63M,14.13M,398.85M,0.00,96.71M,470.52M,,567.23M,-361.89M,205.34M,,184.13M,184.13M,,55.79M,6.433M,451.68M,850.54M,,37.29M,,37.29M,110.23M,147.52M,,,,,,,,84.01M,84.01M,,8.805M,240.34M,265.00M,,265.00M,35.32M,,35.32M,,,,152.80M,453.12M,693.45M,,135.15M,329.11M,358.54M,666.54M,133.84M,,,0.836M,157.08M,,,
2004-06,222.38M,200.93M,423.31M,74.22M,,74.22M,,37.20M,11.51M,546.24M,0.00,96.76M,509.65M,,606.41M,-391.79M,214.63M,,0.812M,0.812M,,69.94M,23.46M,308.84M,855.08M,,22.67M,,22.67M,109.61M,132.28M,,,,,,,,105.86M,105.86M,,8.181M,246.31M,265.00M,,265.00M,40.91M,,40.91M,,,,140.44M,446.35M,692.66M,,135.15M,335.60M,358.62M,666.54M,133.84M,,,-0.395M,162.42M,,,
2004-03,133.61M,263.34M,396.95M,111.50M,,111.50M,,38.83M,13.90M,561.18M,0.00,96.59M,518.06M,,614.65M,-386.64M,228.01M,,0.841M,0.841M,,72.43M,11.01M,312.29M,873.47M,,24.56M,,24.56M,99.39M,123.95M,,,,,,,,126.56M,126.56M,,9.433M,259.94M,265.00M,,265.00M,40.55M,,40.55M,,,,145.98M,451.53M,711.47M,,135.15M,334.36M,359.32M,667.85M,133.84M,,,1.029M,162.00M,,,
2003-12,148.93M,209.47M,358.40M,119.14M,,119.14M,,40.46M,11.62M,529.62M,0.00,96.58M,515.41M,,611.98M,-369.04M,242.94M,,0.871M,0.871M,,72.08M,5.744M,321.64M,851.25M,,29.96M,,29.96M,,29.96M,,,,,1.607M,,1.607M,59.74M,59.74M,,146.33M,237.63M,265.00M,,265.00M,40.92M,,40.92M,,,,147.01M,452.93M,690.56M,,135.15M,332.53M,358.92M,667.76M,133.84M,,,1.865M,160.70M,,,
2003-09,127.84M,221.54M,349.38M,128.05M,5.678M,133.73M,,53.95M,19.34M,556.39M,0.00,96.40M,603.22M,,699.62M,-421.16M,278.46M,,1.944M,1.944M,,70.36M,2.688M,353.46M,909.84M,,44.74M,,44.74M,,44.74M,4.954M,,,5.911M,10.86M,,10.86M,83.95M,83.95M,,125.84M,265.40M,268.26M,3.026M,271.29M,51.90M,,51.90M,,,,138.92M,462.11M,727.51M,,135.15M,356.07M,359.20M,668.43M,133.84M,,,0.351M,182.33M,,,
2003-06,269.11M,261.50M,530.60M,139.13M,7.23M,146.36M,,50.27M,23.89M,751.12M,0.00,95.53M,645.36M,,740.89M,-411.90M,328.99M,,6.145M,6.145M,,74.21M,5.834M,415.18M,1.166B,,47.00M,,47.00M,117.96M,164.96M,4.892M,,,6.048M,10.94M,,10.94M,108.60M,108.60M,,26.59M,311.09M,418.22M,3.996M,422.22M,51.02M,,51.02M,,6.642M,,148.76M,622.00M,933.09M,,135.15M,396.62M,358.83M,668.43M,133.84M,,,4.404M,226.57M,,,
2003-03,277.31M,243.17M,520.48M,144.66M,7.825M,152.49M,,53.49M,26.50M,752.96M,0.00,95.73M,664.50M,,760.23M,-404.80M,355.43M,,18.69M,18.69M,,73.11M,10.42M,457.66M,1.211B,,61.92M,,61.92M,38.28M,100.20M,10.92M,,,4.468M,15.38M,,15.38M,134.18M,134.18M,,53.28M,303.04M,430.28M,6.546M,436.83M,52.59M,,52.59M,,-2.941M,,149.00M,638.42M,941.46M,,135.15M,448.17M,359.38M,669.60M,133.84M,,,-1.001M,272.10M,,,
2002-12,204.27M,240.80M,445.07M,166.47M,11.27M,177.74M,,53.05M,21.14M,697.01M,0.00,94.55M,644.40M,,738.95M,-377.72M,361.22M,,16.64M,16.64M,,69.97M,31.07M,478.91M,1.176B,,99.76M,,99.76M,88.02M,187.78M,11.33M,,,4.396M,15.72M,,15.72M,64.63M,64.63M,,27.32M,295.46M,429.69M,7.735M,437.42M,49.24M,,49.24M,,-6.482M,,129.40M,616.06M,911.52M,,135.14M,446.25M,358.24M,669.45M,133.84M,,,0.691M,270.87M,,,
2002-09,274.17M,200.16M,474.33M,174.02M,12.14M,186.15M,,50.82M,10.24M,721.54M,0.00,93.04M,181.86M,484.09M,758.99M,-399.80M,359.19M,,17.58M,17.58M,,73.16M,20.08M,470.01M,1.192B,,89.82M,,89.82M,,89.82M,,,,,4.048M,,4.048M,90.78M,90.78M,,97.04M,281.70M,440.12M,9.046M,449.17M,50.77M,,50.77M,,-2.654M,,146.54M,646.48M,928.17M,,132.70M,448.38M,358.00M,669.45M,131.40M,,,-3.586M,266.03M,,,
2002-06,330.84M,133.76M,464.60M,187.22M,17.30M,204.53M,,58.11M,9.952M,737.18M,0.00,93.47M,647.06M,,740.53M,-370.67M,369.86M,,18.25M,18.25M,,76.39M,31.51M,496.01M,1.233B,,115.35M,,115.35M,74.58M,189.94M,,,,,4.076M,,4.076M,117.31M,117.31M,,22.41M,333.73M,442.44M,10.15M,452.59M,41.38M,,41.38M,,0.30M,,151.07M,645.03M,978.76M,,130.26M,438.10M,357.83M,669.45M,128.96M,,,-2.615M,254.13M,,,
2002-03,172.41M,134.73M,307.14M,201.80M,39.24M,241.04M,,50.11M,6.954M,605.25M,0.00,91.55M,639.60M,,731.14M,-358.87M,372.27M,,18.97M,18.97M,,70.20M,38.55M,499.99M,1.105B,,112.38M,,112.38M,68.08M,180.47M,,,,,4.228M,,4.228M,141.26M,141.26M,,43.79M,369.74M,289.16M,10.99M,300.15M,39.60M,,39.60M,,2.956M,,153.03M,492.78M,862.52M,,127.82M,431.78M,356.37M,669.45M,,,,-6.746M,239.77M,,,
2001-12,293.73M,228.03M,521.76M,200.06M,28.94M,228.99M,,51.17M,13.25M,815.17M,0.00,88.86M,626.50M,,715.36M,-336.53M,378.83M,,19.47M,19.47M,,74.99M,37.79M,511.08M,1.326B,,123.14M,,123.14M,92.41M,215.55M,,,,,4.454M,,4.454M,65.37M,65.37M,,9.556M,294.92M,288.55M,12.12M,300.67M,40.61M,,40.61M,,5.377M,,166.28M,507.56M,802.49M,,1.302M,412.89M,348.46M,240.00M,,,,-4.261M,518.39M,,,
2001-09,329.10M,,329.10M,,,207.38M,,46.24M,247.02M,829.73M,,,,,695.56M,-315.15M,380.41M,,,,258.03M,54.61M,-204.32M,488.73M,1.318B,,,,34.15M,69.59M,103.74M,,,,,4.105M,,4.105M,,,,182.41M,290.26M,286.50M,,286.50M,36.25M,122.81M,159.05M,16.56M,4.447M,,35.16M,497.27M,787.53M,,1.29M,426.15M,338.02M,240.00M,,,,-0.806M,526.47M,,AOR,Restated
2001-06,344.85M,,344.85M,,,223.43M,,37.79M,280.65M,886.72M,,,,,667.12M,-294.91M,372.20M,,,,283.99M,61.10M,-237.35M,479.95M,1.367B,,,,39.99M,84.86M,124.85M,,,,,5.107M,,5.107M,,,,219.95M,349.91M,283.43M,,283.43M,40.41M,128.48M,168.89M,14.60M,1.992M,,34.17M,501.09M,851.00M,,1.287M,418.20M,337.04M,240.00M,,,,-4.125M,513.68M,,AOR,Restated
2001-03,245.11M,,245.11M,,,251.94M,,35.74M,336.56M,869.36M,,,,,645.27M,-276.58M,368.69M,,,,326.15M,60.50M,-289.50M,465.84M,1.335B,,,,50.13M,75.46M,125.59M,,,,,9.744M,,9.744M,,,,220.95M,356.28M,36.96M,,36.96M,39.47M,129.97M,169.44M,12.40M,12.28M,,28.98M,247.78M,604.06M,,1.287M,398.62M,318.04M,,,,,0.478M,718.85M,,AOR,Restated
2000-12,262.26M,,262.26M,,,180.91M,,32.37M,268.93M,744.46M,,,,,578.70M,-252.38M,326.32M,,,,260.67M,61.26M,-228.30M,419.94M,1.164B,,,,44.74M,66.39M,111.13M,,,,13.88M,13.88M,5.495M,19.37M,,,,151.73M,282.23M,25.00M,9.107M,34.11M,32.12M,138.17M,170.28M,10.39M,15.54M,,6.685M,221.46M,503.70M,,1.237M,372.43M,273.39M,0.00,,,,-1.892M,645.16M,,AOR,
