,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2007-06,56.13M,,,,3.252M,,,9.796M,9.796M,-1.70M,,,,,1.188M,18.56M,45.90M,,-114.49M,83.66M,33.64M,,102.30M,,-3.699M,,-3.699M,-1.243M,-6.232M,-12.78M,-23.96M,,,,-2.671M,3.56M,,3.56M,,,,2.517M,3.406M,,493.25M,81.75M,,575.00M,,3.56M,,,,,,,,
2007-03,18.32M,,,,43.39M,,,9.839M,9.839M,-31.02M,,,,,6.641M,-67.37M,32.36M,,90.75M,-24.90M,30.84M,,78.00M,,-4.077M,,-4.077M,1.243M,30.71M,63.82M,91.70M,,,,-2.67M,2.178M,,2.178M,,,,2.051M,1.559M,,322.00M,171.25M,,493.25M,,2.178M,,,,,,,,
2006-12,63.04M,,,,-69.28M,,,10.58M,10.58M,16.70M,,,,,19.29M,3.158M,40.10M,12.11M,-19.39M,-21.91M,14.08M,,54.41M,,-8.775M,0.027M,-8.748M,0.00,-47.59M,,-79.68M,,,,-102.67M,4.844M,-105.06M,-100.22M,,105.06M,,4.551M,-93.27M,,440.54M,-118.55M,,322.00M,,4.844M,,,-105.06M,,,,,
2006-09,30.23M,,,,8.715M,,,14.31M,14.31M,-1.946M,,,,,-0.997M,9.999M,6.58M,-12.11M,-6.824M,11.43M,9.071M,,59.38M,,-6.271M,30.24M,23.97M,-15.90M,-100.38M,,-92.31M,,,,-18.30M,1.742M,105.06M,106.80M,,-105.06M,,1.216M,-15.35M,,488.82M,-48.27M,,440.54M,,1.742M,,,105.06M,,,,,
2006-06,16.64M,,,,15.29M,,,21.47M,21.47M,1.477M,,,,,-10.94M,23.73M,0.043M,-0.377M,-20.38M,-13.38M,-10.36M,,33.57M,,-5.339M,0.064M,-5.275M,0.00,-1.017B,,-1.022B,,,,431.80M,664.86M,-105.06M,559.80M,,105.06M,,5.594M,1.102B,,374.90M,113.91M,,488.82M,,664.86M,,,-105.06M,,,,,
2006-03,17.99M,,,,2.805M,,,24.55M,24.55M,-2.828M,,,,,0.203M,-27.36M,-4.577M,0.377M,42.96M,-0.393M,11.00M,,53.72M,,-0.65M,0.234M,-0.416M,-38.06M,-42.00M,,-80.48M,,,,,328.10M,,328.10M,,-105.06M,,13.40M,236.43M,,165.24M,209.67M,,374.90M,,328.10M,,,,,,,,
2005-12,17.15M,,,,3.083M,20.22M,0.046M,20.27M,20.27M,-0.362M,,,,,-0.306M,-2.432M,16.19M,-8.364M,-27.72M,,-22.33M,,17.50M,,-11.86M,0.042M,-11.82M,-942.97M,77.29M,-4.263M,-881.76M,,,,725.00M,18.00M,-38.52M,-20.53M,,-0.714M,,36.97M,740.73M,,288.76M,-123.53M,,165.24M,,18.00M,,,-38.52M,,,,,
2005-09,17.80M,,,,-0.085M,46.76M,1.312M,14.95M,14.95M,5.559M,,,,,2.805M,-17.62M,8.576M,-16.60M,-20.60M,13.62M,-32.63M,,8.402M,,-4.512M,0.024M,-4.488M,-30.56M,-10.55M,4.263M,-41.34M,,,,0.00,18.19M,40.31M,58.50M,,-2.506M,,-38.58M,17.42M,,304.29M,-15.52M,,288.76M,,18.19M,,,40.31M,,,,,
2005-06,13.97M,,,,6.057M,-18.19M,-0.317M,14.62M,14.62M,-1.076M,,,,,0.044M,1.504M,2.98M,6.359M,-21.68M,-13.98M,-24.82M,,8.796M,,-3.793M,17.90M,14.11M,3.063M,15.43M,-3.063M,29.54M,,,,205.00M,16.30M,-40.31M,-24.02M,,1.004M,,0.022M,182.01M,,83.94M,220.34M,,304.29M,,16.30M,,,-40.31M,,,,,
2005-03,12.77M,,,,1.336M,18.19M,0.317M,18.51M,18.51M,-0.652M,,,,,,1.679M,-0.718M,-6.359M,59.27M,0.364M,54.24M,,86.20M,,-5.239M,0.075M,-5.164M,,-57.72M,3.063M,-59.83M,,,,,0.444M,-0.042M,0.402M,,-1.004M,,-0.022M,-0.624M,,58.19M,25.76M,,83.94M,,0.444M,,,-0.042M,,,,,
2004-12,7.431M,,,,6.048M,-55.00M,-0.409M,20.93M,20.93M,7.408M,,,,,6.419M,-17.91M,2.472M,5.038M,-34.80M,4.119M,-41.08M,,-2.399M,,-12.20M,11.05M,-1.149M,0.00,12.90M,,11.75M,,,,,1.893M,0.00,1.893M,,-1.004M,,-0.037M,0.852M,,47.99M,10.20M,,58.19M,,1.893M,,,0.00,,,,,
2004-09,-5.485M,,,,0.772M,18.87M,0.182M,19.05M,19.05M,13.50M,,,,,-1.424M,-0.10M,2.686M,-4.744M,-8.231M,,-10.39M,,16.03M,,-3.732M,0.00,-3.732M,-190.00M,4.296M,,-189.44M,,,,,0.00,-0.001M,-0.001M,,-1.004M,,0.013M,-0.992M,,222.38M,-174.40M,,47.99M,,0.00,,,-0.001M,,,,,
2004-06,4.785M,,,,-1.809M,16.51M,0.311M,16.82M,16.82M,7.113M,,,,,4.399M,36.87M,-1.887M,1.983M,-21.31M,2.594M,18.25M,,49.56M,,-4.243M,0.019M,-4.224M,,46.66M,,42.43M,,,,,0.38M,0.001M,0.381M,,-3.547M,,-0.049M,-3.215M,,133.61M,88.78M,,222.38M,,0.38M,,,0.001M,,,,,
2004-03,4.631M,,,,2.358M,19.62M,-0.084M,19.53M,19.53M,-1.053M,,,,,,7.493M,-5.403M,-2.277M,31.15M,-2.594M,28.37M,,53.84M,,-5.853M,0.228M,-5.625M,,-60.43M,,-66.06M,,,,,,-0.085M,-0.085M,,-2.799M,,-0.217M,-3.101M,,148.93M,-15.32M,,133.61M,,,,,-0.085M,,,,,
2003-12,-10.81M,,,,-8.525M,20.94M,-0.172M,20.77M,20.77M,2.576M,,,,,2.196M,13.45M,-8.243M,5.306M,32.74M,,43.26M,-19.74M,29.72M,,-5.957M,0.101M,-5.856M,,7.894M,0.00,2.038M,,,,0.00,0.356M,0.00,0.356M,,-2.543M,,-0.038M,-2.225M,,119.39M,29.54M,,148.93M,,0.356M,,,0.00,,,,,
2003-09,12.14M,,,,-19.60M,21.16M,-0.167M,20.99M,20.99M,-1.834M,,,,,-1.637M,10.18M,0.539M,6.703M,-50.32M,,-32.90M,-2.091M,-24.93M,,-2.857M,0.00,-2.857M,,37.06M,0.00,34.21M,,,,-150.00M,0.00,0.00,0.00,,-2.542M,,-0.05M,-152.59M,,262.70M,-143.31M,,119.39M,,0.00,,,0.00,,,,,
2003-06,-49.01M,,,,52.39M,25.11M,-0.281M,24.83M,24.83M,1.639M,,,,,11.59M,-0.345M,-12.16M,6.132M,-2.914M,,-9.288M,-13.44M,18.72M,,-7.357M,0.00,-7.357M,,-18.27M,0.00,-25.62M,,,,,0.64M,0.00,0.64M,,-2.544M,,-0.02M,-1.924M,,271.54M,-8.831M,,262.70M,,0.64M,,,0.00,,,,,
2003-03,2.566M,,,,11.02M,22.78M,0.57M,23.35M,23.35M,-0.278M,,,,,,23.73M,-11.81M,-4.078M,42.55M,,50.39M,-5.289M,81.75M,,-15.42M,0.042M,-15.38M,,7.029M,-2.50M,-10.85M,,,,,,-0.147M,-0.147M,,-0.65M,,-0.032M,-0.829M,,201.46M,70.07M,,271.54M,,,,,-0.147M,,,,,
2002-12,22.21M,,,,10.53M,13.27M,0.313M,13.59M,13.59M,2.699M,,,,,13.56M,11.64M,-2.59M,-16.51M,-23.84M,,-31.30M,,2.733M,,3.656M,-26.06M,-22.41M,,-34.82M,-3.00M,-60.23M,,,,-1.574M,-0.556M,0.00,-0.556M,,,,-0.50M,-2.63M,,274.17M,-60.12M,,201.46M,,-0.556M,,,0.00,,,,,
2002-09,12.71M,,,,2.301M,25.13M,0.476M,25.61M,25.61M,20.40M,,,,,1.998M,15.93M,-26.46M,0.351M,-29.31M,,-39.49M,,23.52M,,-27.98M,11.83M,-16.14M,,-61.12M,-0.60M,-77.86M,,,,-2.321M,1.298M,0.00,1.298M,,,,-1.298M,-2.321M,,330.84M,-56.66M,,274.17M,,1.298M,,,0.00,,,,,
2002-06,8.77M,,,,18.39M,24.80M,1.057M,25.85M,25.85M,-12.89M,,,,,-5.328M,32.13M,-7.555M,1.475M,-44.16M,,-18.11M,,16.68M,,-20.97M,10.44M,-10.53M,,-3.172M,-4.00M,-17.70M,,,,158.00M,0.144M,0.00,0.144M,,,,1.298M,159.45M,,172.41M,158.42M,,330.84M,,0.144M,,,0.00,,,,,
2002-03,21.33M,,,,4.533M,25.30M,1.309M,26.61M,26.61M,3.46M,,,,,-2.034M,-14.17M,0.708M,5.408M,65.86M,,57.81M,,111.71M,,-29.86M,11.92M,-17.94M,,95.65M,-8.40M,69.31M,,,,-4.109M,1.352M,-305.16M,-303.80M,,,,5.569M,-302.34M,,293.73M,-121.32M,,172.41M,,1.352M,,,-305.16M,,,,,
2001-12,-13.26M,,,,,,,34.72M,34.72M,-20.09M,,,,,-26.95M,-26.70M,9.919M,-23.50M,,-0.075M,-24.86M,,-23.45M,,-23.01M,-3.212M,-26.23M,0.558M,-0.392M,-1.116M,-27.18M,,-249.54M,,2.049M,77.77M,0.00,77.77M,,,,-64.56M,15.26M,,329.10M,-35.37M,,293.73M,,77.77M,-249.54M,,0.00,,,,,
2001-09,7.945M,,,,,,,22.89M,22.89M,-6.111M,,,,,14.30M,14.60M,-43.76M,2.977M,,-38.98M,-65.17M,,-26.14M,,-22.66M,-8.442M,-31.10M,0.00,29.65M,0.00,-1.451M,,3.069M,8.769M,11.84M,0.00,0.00,0.00,,,,0.00,11.84M,,344.85M,-15.75M,,329.10M,,0.00,3.069M,8.769M,0.00,,,,AOR,Restated
2001-06,19.58M,,,,,,,21.89M,21.89M,2.781M,,,,,-4.084M,25.57M,32.87M,1.054M,,-24.09M,35.40M,,75.57M,,-43.92M,18.52M,-25.40M,-0.29M,37.88M,0.58M,12.77M,,246.47M,-4.637M,241.84M,0.00,-240.00M,-240.00M,,,,9.564M,11.40M,,245.11M,99.74M,,344.85M,,0.00,246.47M,-4.637M,-240.00M,,,,AOR,Restated
2001-03,26.19M,,,,,,,20.78M,20.78M,0.238M,,,,,20.28M,-80.23M,-13.06M,-0.716M,,63.15M,-30.86M,,36.64M,,-32.96M,3.349M,-29.61M,-0.268M,-63.99M,0.536M,-93.34M,,0.00,-4.132M,-4.132M,0.00,0.00,0.00,,,,43.69M,39.56M,,262.26M,-17.15M,,245.11M,,0.00,0.00,-4.132M,0.00,,,,AOR,Restated
2000-12,10.72M,,,,,,,20.03M,20.03M,11.50M,,,,,-64.80M,-9.059M,15.58M,-7.274M,,81.02M,80.27M,,57.72M,,-95.18M,-8.723M,-103.91M,0.00,4.171M,,-99.74M,,0.00,2.071M,2.071M,,0.00,0.00,,,,4.206M,6.277M,,298.00M,-35.74M,,262.26M,,,0.00,2.071M,0.00,,,,AOR,
2000-09,22.03M,,,,,,,17.08M,17.08M,-67.60M,,,,,67.60M,20.37M,7.11M,1.328M,,-5.538M,23.27M,,62.38M,,-55.29M,8.076M,-47.21M,0.00,-73.19M,,-120.40M,,0.00,0.434M,0.434M,,0.00,0.00,,,,0.00,0.434M,,355.59M,-57.59M,,298.00M,,,0.00,0.434M,0.00,,,,AOR,
2000-06,45.30M,,,,,,,15.26M,15.26M,-6.011M,,,,,6.011M,-15.43M,6.265M,7.171M,,-10.11M,-12.11M,,48.45M,,-25.40M,3.085M,-22.32M,0.00,-20.63M,,-42.95M,,0.00,6.314M,6.314M,,0.00,0.00,,,,284.14M,290.46M,,59.63M,295.96M,,355.59M,,,0.00,6.314M,0.00,,,,AOR,
2000-03,-54.74M,,,,,,,13.27M,13.27M,-4.953M,,,,,106.04M,-62.40M,26.54M,-3.393M,,66.64M,27.38M,,87.01M,,-20.03M,0.67M,-19.36M,-16.98M,7.179M,,-29.16M,,,-8.819M,-8.819M,,,,,,,,-8.819M,,10.60M,49.03M,,59.63M,,,,-8.819M,,,,,AOR,
