,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,RentandLandingExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2012-12,755.00M,755.00M,450.00M,305.00M,6.00M,78.00M,84.00M,26.00M,-12.00M,,24.00M,4.00M,-20.00M,8.00M,119.00M,186.00M,4.00M,24.00M,-20.00M,-13.00M,-20.00M,153.00M,68.00M,85.00M,,,1.00M,,86.00M,93.80M,204.00M,27.00M,177.00M,,0.52,,,0.5674,0.52,,0.50,,,0.5459,0.50,,164.47M,169.83M,0.13,,AOR,Restated
2012-09,746.00M,746.00M,447.00M,299.00M,6.00M,82.00M,88.00M,22.00M,-21.00M,,24.00M,2.00M,-22.00M,8.00M,122.00M,177.00M,2.00M,24.00M,-22.00M,-21.00M,-22.00M,134.00M,45.00M,89.00M,,,0.00,,89.00M,102.86M,184.00M,26.00M,158.00M,,0.53,,,0.6134,0.53,,0.52,,,0.6013,0.52,,166.24M,170.52M,0.13,,AOR,Restated
2012-06,815.00M,815.00M,501.00M,314.00M,6.00M,81.00M,87.00M,23.00M,-46.00M,,24.00M,2.00M,-22.00M,9.00M,121.00M,193.00M,2.00M,24.00M,-22.00M,-46.00M,-22.00M,125.00M,33.00M,92.00M,,,1.00M,,93.00M,127.04M,174.00M,25.00M,149.00M,,0.55,,,0.7510,0.55,,0.53,,,0.7262,0.53,,169.35M,173.46M,0.13,,AOR,Restated
2012-03,804.00M,804.00M,502.00M,302.00M,6.00M,79.00M,85.00M,23.00M,-23.00M,,24.00M,2.00M,-22.00M,9.00M,120.00M,182.00M,2.00M,24.00M,-22.00M,-23.00M,-22.00M,137.00M,53.00M,84.00M,,,1.00M,,85.00M,99.03M,187.00M,26.00M,161.00M,,0.49,,,0.5711,0.49,,0.48,,,0.5590,0.48,,172.96M,177.51M,,,AOR,Restated
2011-12,843.00M,843.00M,874.00M,-31.00M,9.00M,-263.00M,-254.00M,,-18.00M,,26.00M,3.00M,-23.00M,,-191.00M,160.00M,3.00M,26.00M,-23.00M,-17.00M,-23.00M,120.00M,39.00M,81.00M,,,0.00,,81.00M,93.15M,174.00M,28.00M,146.00M,,0.47,,,0.5392,0.47,,0.45,,,0.5178,0.45,,175.48M,179.09M,,,AOR,Restated
2011-09,944.00M,944.00M,508.00M,436.00M,4.00M,206.00M,210.00M,,-2.00M,,30.00M,3.00M,-27.00M,,238.00M,198.00M,3.00M,30.00M,-27.00M,-1.00M,-27.00M,170.00M,61.00M,109.00M,,,1.00M,,110.00M,111.28M,228.00M,28.00M,200.00M,,0.62,0.00,,0.6272,0.62,,0.61,0.00,,0.6171,0.61,,177.10M,180.92M,,,AOR,Restated
2011-06,837.00M,837.00M,422.00M,415.00M,5.00M,197.00M,202.00M,,-29.00M,,31.00M,3.00M,-28.00M,,228.00M,187.00M,3.00M,31.00M,-28.00M,-28.00M,-28.00M,131.00M,40.00M,91.00M,,,1.00M,,92.00M,112.15M,188.00M,26.00M,162.00M,,0.52,0.00,,0.6340,0.52,,0.51,0.00,,0.6216,0.51,,176.65M,180.52M,,,AOR,Restated
2011-03,815.00M,815.00M,402.00M,413.00M,5.00M,193.00M,198.00M,,-6.00M,,32.00M,2.00M,-30.00M,,225.00M,188.00M,2.00M,32.00M,-30.00M,-6.00M,-30.00M,152.00M,49.00M,103.00M,,,1.00M,,104.00M,108.07M,211.00M,27.00M,184.00M,,0.59,0.00,,0.6131,0.59,,0.57,0.00,,0.5925,0.57,,176.09M,181.08M,,,AOR,Restated
2010-12,777.00M,777.00M,794.00M,-17.00M,6.00M,-263.00M,-257.00M,,-2.00M,,26.00M,2.00M,-24.00M,,-194.00M,177.00M,2.00M,26.00M,-24.00M,-5.00M,-24.00M,148.00M,13.00M,135.00M,,,2.00M,,137.00M,138.82M,202.00M,28.00M,174.00M,,0.69,,,0.6993,0.69,,0.68,,,0.6892,0.68,,195.23M,198.44M,,,AOR,Restated
2010-09,757.00M,757.00M,385.00M,372.00M,5.00M,176.00M,181.00M,,-1.00M,,25.00M,2.00M,-23.00M,,206.00M,166.00M,2.00M,25.00M,-23.00M,1.00M,-23.00M,143.00M,43.00M,100.00M,,,1.00M,,101.00M,101.70M,193.00M,25.00M,168.00M,,0.51,0.00,,0.5135,0.51,,0.50,0.00,,0.5034,0.50,,200.12M,204.07M,,,AOR,Restated
