,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2012-09,239.95M,,-1.14M,0.982M,,-0.158M,53.01M,28.16M,81.17M,81.17M,54.03M,,31.26M,31.26M,85.22M,-38.02M,-19.63M,-269.66M,,,-171.13M,-413.22M,,-6.971M,-76.68M,8.645M,8.645M,-194.55M,,0.168M,-262.42M,-70.73M,32.96M,-37.77M,,-107.99M,-107.99M,-61.36M,-61.36M,11.78M,23.68M,-171.67M,838.32M,-441.06M,38.87M,436.13M,,38.92M,-76.69M,-107.99M
2012-06,302.30M,0.00,2.921M,-4.326M,,-3.899M,51.00M,26.52M,77.53M,77.53M,-1.524M,,16.83M,16.83M,47.70M,27.00M,-38.35M,57.18M,,,39.16M,132.69M,,523.92M,-64.72M,-15.56M,-15.56M,-125.25M,,15.69M,-189.85M,-2.862M,-50.06M,-52.92M,,-123.42M,-123.42M,-62.05M,-62.05M,2.148M,3.558M,-232.69M,773.46M,101.39M,-36.53M,838.32M,,-47.61M,-5.313M,-123.42M
2012-03,312.69M,0.00,-1.613M,3.432M,,1.819M,51.08M,29.19M,80.27M,80.27M,-35.02M,,19.64M,19.64M,-209.18M,42.54M,30.57M,173.22M,,,26.49M,63.65M,,443.04M,-57.20M,4.381M,4.381M,-17.35M,,-1.883M,-72.05M,0.749M,48.10M,48.85M,,-20.00M,-20.00M,-59.58M,-59.58M,6.618M,-60.96M,-85.07M,487.98M,285.92M,-0.447M,773.46M,,121.06M,-72.21M,-20.00M
2011-12,242.34M,0.00,0.171M,5.494M,,5.665M,53.33M,25.97M,79.30M,79.30M,-15.81M,,16.56M,16.56M,38.65M,-5.225M,-34.37M,-211.66M,,,138.46M,-74.14M,,253.92M,-52.91M,5.519M,5.519M,-3.246M,,-14.68M,-65.31M,-0.886M,0.00,-0.886M,,-20.00M,-20.00M,-119.03M,-56.03M,0.782M,1.41M,-74.72M,424.35M,113.89M,-50.26M,487.98M,,0.07M,-0.956M,-20.00M
2011-09,298.16M,,-1.479M,-0.30M,,-1.779M,55.09M,29.74M,84.83M,84.83M,-4.094M,,27.90M,27.90M,31.74M,-92.65M,15.16M,20.17M,,,-69.94M,-95.52M,,309.50M,-43.99M,5.66M,5.66M,-10.41M,,0.181M,-48.55M,-0.202M,-0.001M,-0.203M,,-293.54M,-293.54M,,-63.00M,1.051M,-75.34M,-431.04M,657.47M,-170.10M,-63.01M,424.35M,,0.034M,-0.237M,-293.54M
2011-06,294.65M,,8.191M,8.146M,,8.627M,56.77M,28.91M,85.68M,85.68M,13.16M,,16.45M,16.45M,-4.079M,-4.806M,-21.45M,152.01M,,,-173.24M,-51.56M,,367.00M,-48.84M,-23.82M,-23.82M,0.00,,30.83M,-41.82M,-100.31M,-0.007M,-100.32M,,-636.86M,-636.86M,,-63.18M,2.88M,5.372M,-792.10M,1.108B,-466.93M,16.44M,657.47M,,-0.005M,-100.31M,-636.86M
2011-03,281.65M,,-2.947M,-7.095M,,-10.04M,55.50M,28.33M,83.83M,83.83M,-23.56M,,15.46M,15.46M,-282.28M,-4.616M,18.08M,184.32M,,,128.94M,44.44M,,391.78M,-48.66M,6.575M,6.575M,-16.87M,,1.118M,-57.84M,-4.645M,0.007M,-4.638M,,-26.24M,-26.24M,,-52.00M,6.676M,18.89M,-57.30M,808.74M,276.64M,22.58M,1.108B,,-4.026M,-0.612M,-26.24M
2010-12,231.82M,,-5.035M,1.485M,,-3.55M,59.23M,26.07M,85.31M,85.31M,0.088M,,12.09M,12.09M,46.89M,-61.10M,-0.92M,-62.87M,,,37.52M,-40.48M,,285.28M,-57.10M,15.07M,15.07M,-35.23M,,-9.051M,-86.31M,-255.91M,-18.37M,-274.28M,,-20.00M,-20.00M,,-47.26M,12.72M,15.45M,-313.37M,923.84M,-114.40M,-0.695M,808.74M,,1.163M,-275.44M,-20.00M
2010-09,249.03M,,-0.209M,7.934M,,7.725M,57.74M,27.25M,84.99M,84.99M,31.03M,,29.24M,29.24M,-20.28M,-68.54M,10.76M,55.80M,,,-256.89M,-279.14M,,122.88M,-52.69M,2.169M,2.169M,-8.129M,,-0.318M,-58.97M,294.49M,-0.539M,293.95M,,-10.00M,-10.00M,,-43.65M,3.585M,3.11M,247.00M,575.53M,310.91M,37.40M,923.84M,,294.55M,-0.599M,-10.00M
2010-06,556.36M,,1.441M,-4.163M,,-2.722M,57.30M,27.19M,84.49M,84.49M,-8.21M,,11.17M,-274.00M,-80.21M,-10.17M,-23.47M,143.40M,,,40.09M,69.64M,,377.42M,-38.36M,7.875M,7.875M,0.00,,-11.24M,-41.73M,-40.42M,-36.48M,-76.90M,,-10.08M,-10.08M,,-41.95M,2.589M,10.68M,-115.67M,380.56M,220.03M,-25.06M,575.53M,,0.223M,-77.12M,-10.08M
2010-03,-178.93M,,3.269M,4.05M,,7.319M,59.07M,29.01M,88.08M,88.08M,30.02M,,11.08M,296.25M,-213.98M,19.16M,8.125M,217.88M,,,-86.92M,-55.74M,,235.15M,-29.63M,-1.611M,-1.611M,-5.451M,,2.126M,-34.57M,-2.106M,-7.324M,-9.43M,,-4.915M,-4.915M,,-40.42M,3.18M,1.53M,-50.06M,233.90M,150.52M,-3.861M,380.56M,,1.133M,-10.56M,-4.915M
