,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-09,584.13M,182.64M,766.76M,803.63M,,803.63M,232.40M,135.24M,198.05M,565.69M,255.75M,121.60M,31.60M,2.545B,,,,,,602.45M,-160.66M,441.80M,129.90M,,129.90M,,367.77M,1.833B,2.773B,5.318B,264.50M,,264.50M,394.14M,658.63M,,0.245M,,0.245M,32.56M,32.56M,,,691.44M,1.419B,,1.419B,,,,161.60M,,63.60M,1.483B,2.174B,0.929M,-121.56M,3.116B,,,,-13.52M,2.982B
2007-06,701.65M,174.78M,876.42M,734.51M,,734.51M,167.83M,187.35M,218.16M,573.34M,50.09M,172.69M,40.12M,2.447B,,,,,,551.67M,-160.66M,391.02M,130.19M,,130.19M,,370.47M,1.487B,2.379B,4.826B,265.26M,,265.26M,406.78M,672.05M,,0.305M,,0.305M,18.91M,18.91M,,60.47M,751.72M,1.407B,,1.407B,,,,111.68M,,65.98M,1.473B,2.225B,0.926M,-519.88M,3.014B,,,,-6.05M,2.489B
2007-03,729.14M,196.59M,925.74M,692.07M,,692.07M,215.92M,112.32M,194.18M,522.41M,48.53M,219.70M,32.12M,2.441B,,,,,,537.72M,-160.66M,377.07M,131.41M,,131.41M,,356.05M,1.310B,2.175B,4.615B,297.27M,,297.27M,365.89M,663.16M,,0.307M,,0.307M,27.63M,27.63M,,19.40M,710.49M,1.396B,,1.396B,,,,57.89M,,68.36M,1.464B,2.175B,0.466M,-498.03M,2.885B,,,,-5.051M,2.383B
2006-12,816.01M,120.84M,936.85M,609.32M,,609.32M,361.58M,46.16M,156.40M,564.14M,50.11M,245.92M,22.86M,2.429B,0.0,54.60M,256.45M,171.51M,39.39M,521.96M,-160.66M,361.30M,,,,,302.54M,992.94M,1.657B,4.086B,367.03M,,367.03M,334.07M,701.10M,,18.75M,,18.75M,17.78M,17.78M,,26.65M,764.28M,1.392B,,1.392B,,,,53.09M,,61.05M,1.453B,2.217B,0.461M,-891.36M,2.704B,,12.30M,-10.08M,2.221M,1.816B
2006-09,559.58M,2.294B,2.854B,585.05M,,585.05M,179.62M,56.97M,136.68M,373.27M,44.40M,113.60M,62.14M,4.032B,,,,,,418.77M,-130.66M,288.10M,,,,,239.64M,738.98M,1.267B,5.299B,207.81M,,207.81M,297.15M,504.96M,,60.12M,,60.12M,16.76M,16.76M,,,581.83M,1.380B,,1.380B,,,,,,38.05M,1.418B,2.000B,0.459M,774.28M,2.518B,,,,6.062M,3.299B
2006-06,884.45M,603.13M,1.488B,489.32M,,489.32M,189.29M,60.38M,69.04M,318.71M,37.54M,101.95M,56.77M,2.492B,,,,,,384.42M,-130.66M,253.76M,,,,,211.00M,2.223B,2.688B,5.180B,153.82M,,153.82M,221.83M,375.65M,,60.25M,,60.25M,13.57M,13.57M,,58.50M,507.97M,1.439B,,1.439B,,,,,,34.35M,1.474B,1.982B,0.456M,826.45M,2.386B,,,,-15.37M,3.198B
2006-03,268.68M,2.271B,2.540B,433.63M,,433.63M,138.80M,31.13M,54.44M,224.37M,39.10M,97.90M,40.77M,3.375B,,,,,,371.25M,-130.66M,240.59M,,,,,60.16M,360.38M,661.13M,4.037B,60.21M,,60.21M,214.73M,274.94M,,60.37M,,60.37M,12.88M,12.88M,,73.71M,421.90M,184.38M,,184.38M,,,,10.05M,,31.79M,216.17M,638.07M,0.463M,1.072B,2.318B,,,,-2.473M,3.388B
2005-12,707.91M,1.603B,2.311B,396.12M,,396.12M,147.95M,25.06M,43.89M,216.90M,48.38M,84.84M,34.92M,3.092B,0.0,45.06M,201.08M,113.28M,13.82M,373.23M,-130.66M,242.57M,,,,,66.89M,364.65M,674.11M,3.766B,70.91M,,70.91M,219.96M,290.86M,,60.21M,,60.21M,18.35M,18.35M,,95.74M,465.16M,240.65M,,240.65M,,,,,,32.72M,273.38M,738.54M,0.46M,809.64M,2.206B,,,,11.45M,3.028B
2005-09,592.72M,1.068B,1.660B,400.62M,,400.62M,130.86M,10.58M,32.60M,174.04M,33.53M,13.82M,15.43M,2.298B,,,,,,345.12M,-106.81M,238.31M,,,,,16.76M,365.90M,620.97M,2.919B,33.13M,,33.13M,216.15M,249.28M,,0.118M,,0.118M,11.62M,11.62M,,6.839M,267.87M,0.291M,,0.291M,,,,-1.465M,,33.66M,33.95M,301.82M,0.457M,528.04M,2.081B,,,,9.197M,2.618B
2005-06,793.62M,995.66M,1.789B,371.98M,,371.98M,124.34M,9.955M,31.77M,166.06M,40.61M,16.89M,,2.385B,,,,,,344.03M,-106.81M,237.22M,,,,,27.78M,38.30M,303.29M,2.688B,57.70M,,57.70M,170.49M,228.20M,,0.141M,,0.141M,15.84M,15.84M,,17.02M,261.19M,0.293M,,0.293M,,,,-0.743M,,34.60M,34.89M,296.08M,0.455M,348.81M,2.031B,,,,12.18M,2.393B
2005-03,281.94M,1.190B,1.472B,385.44M,,385.44M,98.62M,11.69M,25.20M,135.51M,44.53M,33.00M,,2.070B,,,,,,332.24M,-106.81M,225.43M,,,,,34.91M,38.90M,299.24M,2.369B,35.86M,,35.86M,180.81M,216.67M,,0.161M,,0.161M,15.11M,15.11M,,38.27M,270.22M,0.259M,,0.259M,,,,0.115M,,35.54M,35.80M,306.02M,0.451M,152.84M,1.911B,,,,-0.868M,2.063B
2004-12,280.91M,973.13M,1.254B,371.24M,,371.24M,93.94M,11.10M,30.95M,135.99M,35.37M,53.05M,,1.850B,0.0,45.06M,177.70M,95.19M,11.97M,329.92M,-106.81M,223.11M,,,,,45.45M,37.72M,306.27M,2.156B,47.55M,,47.55M,185.84M,233.39M,,0.181M,,0.181M,19.88M,19.88M,,0.001M,253.45M,0.234M,,0.234M,,,,,,31.40M,31.64M,285.09M,0.449M,-4.272M,1.894B,,,,-19.23M,1.871B
2004-09,301.45M,846.97M,1.148B,304.30M,,304.30M,65.85M,20.39M,30.00M,116.23M,30.83M,107.58M,0.001M,1.707B,,,,,,301.75M,-89.94M,211.81M,,,,,30.03M,36.47M,278.31M,1.986B,33.55M,,33.55M,143.71M,177.26M,,,,,16.35M,40.27M,23.92M,,217.53M,345.29M,,345.29M,,,,,,27.58M,372.88M,590.40M,0.432M,-114.52M,1.510B,,,,-0.158M,1.395B
2004-06,226.56M,749.02M,975.59M,277.30M,,277.30M,72.04M,9.007M,24.92M,105.96M,36.95M,135.97M,,1.532B,,,,,,296.73M,-89.94M,206.79M,,,,,32.77M,37.13M,276.69M,1.808B,29.99M,,29.99M,115.88M,145.87M,,,,,12.59M,12.59M,,16.37M,174.83M,345.30M,,345.30M,,,,,,21.17M,366.48M,541.30M,0.215M,-227.76M,1.493B,,,,1.743M,1.267B
2004-03,155.58M,682.06M,837.64M,257.49M,,257.49M,64.87M,7.719M,28.66M,101.25M,35.78M,162.85M,,1.395B,,,,,,288.89M,-89.94M,198.95M,,,,,43.99M,37.56M,280.51M,1.676B,28.10M,,28.10M,120.78M,148.89M,,,,,12.36M,12.36M,,14.54M,175.79M,345.33M,,345.33M,,,,,,22.30M,367.64M,543.42M,0.214M,-339.22M,1.464B,,,,6.979M,1.132B
2003-12,194.72M,512.28M,707.00M,235.22M,,235.22M,54.18M,11.78M,32.15M,98.10M,28.01M,197.57M,,1.266B,0.0,45.06M,146.44M,86.34M,10.29M,288.14M,-89.94M,198.20M,,,,,52.49M,38.13M,288.82M,1.555B,35.65M,,35.65M,144.63M,180.28M,,0.139M,,0.139M,5.474M,5.474M,,,185.90M,345.32M,,345.32M,,,,,,20.53M,365.85M,551.75M,0.426M,-453.64M,1.453B,,,,3.201M,1.003B
2003-09,103.32M,517.54M,620.86M,201.06M,,201.06M,37.30M,12.28M,31.78M,81.36M,23.72M,,,927.00M,,,,,,280.33M,-80.78M,199.55M,,,,,,41.59M,241.14M,1.168B,24.68M,,24.68M,,24.68M,,0.077M,,0.077M,7.167M,7.167M,,101.47M,133.40M,595.00M,0.39M,595.39M,,,,,,21.02M,616.41M,749.81M,0.202M,-646.23M,1.062B,,,,2.719M,418.33M
2003-06,169.36M,512.09M,681.44M,200.31M,,200.31M,26.55M,10.08M,26.90M,63.53M,18.49M,,,963.77M,,,,,,151.54M,-80.78M,70.76M,,,,,,40.33M,111.09M,1.075B,23.64M,,23.64M,104.67M,128.31M,,0.089M,,0.089M,8.191M,8.191M,,,136.59M,595.00M,0.328M,595.33M,,,,,,15.94M,611.27M,747.86M,0.201M,-719.32M,1.041B,,,,4.656M,327.01M
2003-03,117.48M,494.67M,612.14M,145.98M,,145.98M,18.67M,15.39M,22.46M,56.52M,17.81M,,,832.45M,,,,,,150.31M,-80.78M,69.53M,,,,,,40.79M,110.32M,942.77M,24.10M,,24.10M,100.83M,124.93M,,0.149M,,0.149M,4.936M,4.936M,,,130.01M,595.00M,,595.00M,,,,,,16.58M,611.58M,741.59M,0.20M,-819.69M,1.018B,,,,2.666M,201.18M
2002-12,616.93M,325.44M,942.37M,125.04M,50.00M,175.04M,24.84M,16.55M,10.24M,51.63M,14.72M,,,1.184B,0.0,,61.01M,79.03M,8.467M,148.50M,-80.78M,67.73M,,,,,,36.70M,104.42M,1.288B,24.41M,,24.41M,72.60M,97.01M,,0.194M,,0.194M,7.692M,7.692M,,,104.89M,595.27M,,595.27M,,,,,,16.68M,611.95M,716.84M,0.198M,-381.64M,950.31M,,,,2.475M,571.34M
2002-09,121.61M,503.18M,624.79M,114.06M,,114.06M,16.58M,12.12M,9.469M,38.17M,11.11M,,,788.14M,,,,134.01M,,134.01M,-68.30M,65.71M,,,,,,22.38M,88.09M,876.23M,17.25M,,17.25M,60.80M,78.06M,,0.263M,,0.263M,7.155M,7.155M,,,85.48M,250.00M,,250.00M,,,,,,17.92M,267.92M,353.40M,0.197M,-417.12M,937.28M,,,,2.469M,522.83M
2002-06,122.01M,437.48M,559.49M,101.46M,,101.46M,16.59M,15.67M,10.42M,42.68M,22.70M,,,726.32M,,,,,,132.97M,-68.30M,64.67M,,,,,,24.98M,89.65M,815.97M,12.49M,,12.49M,52.38M,64.87M,,0.687M,,0.687M,17.14M,17.14M,,,82.69M,250.30M,,250.30M,,,,,,6.947M,257.24M,339.94M,0.196M,-437.88M,928.81M,,,,-15.09M,476.04M
2002-03,115.09M,449.58M,564.67M,76.94M,,76.94M,,,,46.20M,12.84M,,,700.64M,,,,,,131.15M,-68.30M,62.85M,,,,,,24.24M,87.09M,787.74M,9.526M,,9.526M,54.10M,63.62M,,1.098M,,1.098M,4.362M,4.362M,,,69.08M,250.33M,,250.33M,,,,,,11.38M,261.71M,330.79M,0.195M,-457.59M,916.83M,,,,-2.492M,456.94M
2001-12,123.49M,459.36M,582.85M,74.23M,,74.23M,18.09M,10.00M,11.19M,39.28M,11.40M,,,707.76M,0.0,,55.66M,69.23M,6.238M,131.13M,-68.30M,62.83M,,,,,,24.20M,87.03M,794.79M,19.17M,,19.17M,55.46M,74.63M,,1.492M,,1.492M,3.996M,3.996M,,,80.12M,250.39M,,250.39M,,,,,,11.84M,262.23M,342.35M,0.193M,-453.74M,898.53M,,,,7.448M,452.44M
2001-09,37.35M,403.21M,440.55M,59.40M,,59.40M,19.29M,5.648M,6.267M,31.21M,13.44M,,,544.61M,,,,,,135.80M,-72.87M,62.92M,,,,,,25.40M,88.33M,632.94M,15.26M,,15.26M,50.12M,65.38M,,2.467M,,2.467M,3.899M,3.899M,,,71.74M,250.75M,,250.75M,,,,,,12.30M,263.05M,334.80M,0.096M,-585.31M,876.91M,,,,6.444M,298.14M
2001-06,46.92M,409.10M,456.02M,54.35M,,54.35M,12.46M,7.084M,4.179M,23.72M,12.10M,,,546.19M,,,,,,133.01M,-72.87M,60.14M,,,,,,30.33M,90.47M,636.66M,12.15M,,12.15M,39.82M,51.96M,,2.609M,,2.609M,2.116M,2.116M,,,56.69M,251.41M,,251.41M,,,,,,14.15M,265.56M,322.25M,0.095M,-560.12M,872.42M,,,,2.023M,314.42M
2001-03,77.40M,406.41M,483.81M,51.19M,,51.19M,9.866M,4.113M,6.558M,20.54M,,,14.84M,570.38M,,,,,,127.85M,-72.87M,54.98M,,,,,,32.19M,87.17M,657.54M,9.908M,,9.908M,,9.908M,,2.854M,,2.854M,2.914M,2.914M,,39.53M,55.20M,251.94M,,251.94M,,,,,,16.06M,268.00M,323.20M,0.094M,-527.73M,859.57M,,,,2.403M,334.34M
2000-12,197.29M,315.59M,512.88M,48.81M,,48.81M,,,,20.56M,,,11.54M,593.80M,,,,,,128.05M,-72.87M,55.17M,,,,,,29.13M,84.30M,678.10M,11.60M,,11.60M,,11.60M,,3.034M,,3.034M,,,,43.60M,58.24M,252.24M,,252.24M,,,,,,16.50M,268.74M,326.98M,0.094M,-506.01M,857.94M,,,,-0.904M,351.12M
2000-09,43.37M,249.82M,293.20M,,,46.08M,,,,19.23M,,,11.33M,369.84M,,,,,,118.19M,-64.10M,54.09M,,,,,,11.98M,66.08M,435.92M,6.704M,,6.704M,,6.704M,,2.876M,,2.876M,,,,41.05M,50.63M,3.134M,,3.134M,,,,,,6.049M,9.183M,59.82M,0.047M,-476.74M,854.47M,,,,-1.676M,376.10M
2000-06,42.74M,252.81M,295.55M,,,46.64M,,,,20.29M,,,8.964M,371.45M,,,,,,115.87M,-64.10M,51.77M,,,,,,13.32M,65.09M,436.54M,4.658M,,4.658M,,4.658M,,2.889M,,2.889M,,,,37.08M,44.63M,83.38M,,83.38M,,,,,,6.322M,89.70M,134.33M,0.045M,-459.18M,764.32M,,,,-2.978M,302.21M
2000-03,37.30M,254.50M,291.79M,,,46.67M,,,,20.99M,,,8.162M,367.61M,,,,,,116.32M,-64.10M,52.22M,,,,,,14.49M,66.72M,434.32M,6.57M,,6.57M,,6.57M,,3.017M,,3.017M,,,,33.09M,42.67M,84.02M,,84.02M,,,,,,6.59M,90.61M,133.28M,0.045M,-454.99M,759.04M,,,,-3.044M,301.04M
1999-12,47.01M,247.38M,294.39M,,,45.60M,,,,20.96M,,,11.03M,371.98M,,,,,,115.50M,-64.10M,51.40M,,,,,,13.43M,64.83M,436.81M,9.481M,,9.481M,,9.481M,,3.191M,,3.191M,,,,35.20M,47.88M,84.79M,,84.79M,,,,,,6.853M,91.64M,139.52M,0.044M,-449.23M,749.08M,,,,-2.601M,297.29M
1999-09,70.80M,236.60M,307.40M,,,46.70M,,,,20.10M,,,13.50M,387.70M,,,,,,66.90M,-17.70M,49.20M,,,,,,12.30M,61.50M,449.20M,10.80M,,10.80M,,10.80M,,3.60M,,3.60M,,,,42.40M,56.80M,92.60M,,92.60M,,,,,,,92.60M,149.40M,0.00,-440.30M,742.70M,,,,-2.70M,299.80M
1999-06,45.30M,,45.30M,,,,,,,,,,210.10M,255.40M,,,,,,30.20M,-17.70M,12.50M,,,,,,4.20M,16.70M,272.10M,3.60M,,3.60M,,3.60M,,0.80M,,0.80M,,,,22.60M,27.00M,0.20M,,0.20M,,,,,,,0.20M,27.20M,,-249.40M,,,,,,244.90M
1999-03,58.40M,,58.40M,,,,,,,,,,213.60M,272.00M,,,,,,29.80M,-17.70M,12.10M,,,,,,4.50M,16.60M,288.60M,3.50M,,3.50M,,3.50M,,0.80M,,0.80M,,,,25.00M,29.30M,0.40M,,0.40M,,,,,,,0.40M,29.70M,,-234.30M,,,,,,258.90M
1998-12,101.10M,,101.10M,,,43.10M,,,,16.60M,,,256.10M,416.90M,,,,,,68.70M,-17.70M,51.00M,,,,,,19.90M,70.90M,487.80M,7.70M,,7.70M,,7.70M,,4.80M,,4.80M,,,,44.80M,57.30M,96.70M,,96.70M,,,,,,0.10M,96.80M,154.10M,,-382.70M,,,,,,333.70M
1998-09,43.20M,,43.20M,,,,,,,,,,262.40M,305.60M,,,,,,25.30M,-15.60M,9.70M,,,,,,1.40M,11.10M,316.70M,2.70M,,2.70M,,2.70M,,0.80M,,0.80M,,,,27.80M,31.30M,0.70M,,0.70M,,,,,,,0.70M,32.00M,,-202.30M,,,,,,284.70M
1998-06,37.00M,,37.00M,,,,,,,,,,284.80M,321.80M,,,,,,25.70M,-15.60M,10.10M,,,,,,1.40M,11.50M,333.30M,3.70M,,3.70M,,3.70M,,0.90M,,0.90M,,,,27.30M,31.90M,0.90M,,0.90M,,,,,,,0.90M,32.80M,,-184.70M,,,,,,300.50M
