,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2000-12,55.26M,55.26M,16.18M,39.08M,22.52M,43.90M,,,,,57.73M,-18.65M,,,,-0.973M,,-15.44M,0.153M,-15.60M,,,-29.26M,-15.60M,-15.33M,3.321M,-18.65M,-0.0209,0.0,,-0.0209,-0.0209,-0.0209,,,-0.0209,-0.0209,1.506B,1.509B,
2000-09,45.09M,45.09M,6.673M,38.42M,21.52M,35.13M,-0.246M,,,,59.36M,-20.94M,,,,-0.246M,,-17.35M,0.214M,-17.56M,,,-17.56M,-17.42M,-18.23M,2.71M,-20.94M,-0.0119,0.0,,-0.0118,-0.0119,-0.0119,0.0,,-0.0118,-0.0119,1.475B,1.475B,
2000-06,50.13M,50.13M,8.684M,41.44M,19.62M,27.46M,,,,,47.08M,-5.635M,,,,-0.718M,,-3.511M,0.525M,-4.036M,,,-4.036M,-4.036M,-2.551M,3.084M,-5.635M,-0.0031,0.0,,-0.0031,-0.0031,-0.0031,0.0,,-0.0031,-0.0031,1.427B,1.427B,
2000-03,47.71M,47.71M,5.054M,42.66M,17.97M,26.25M,-0.921M,,,,47.11M,-4.451M,,,,-0.921M,,-2.964M,0.307M,-3.271M,-16.94M,,-20.21M,-2.718M,-1.558M,2.893M,-4.451M,-0.0025,-0.0094,0.0,-0.0021,-0.0119,-0.0025,-0.0094,-0.0119,-0.0021,-0.0119,1.419B,1.419B,
1999-12,48.80M,48.80M,4.70M,44.10M,-0.40M,33.00M,-19.50M,,,,35.70M,8.397M,,,,-19.50M,,-8.80M,0.20M,-9.00M,,,-9.00M,2.70M,11.50M,3.10M,8.397M,-0.0062,0.0,,0.0021,-0.0062,-0.0062,0.0,,0.0021,-0.0062,1.407B,1.407B,
1999-09,38.40M,38.40M,-0.50M,38.90M,34.60M,27.70M,-1.20M,,,,70.10M,-31.20M,,,,-1.20M,,-30.20M,0.20M,-30.40M,,,-30.40M,-29.68M,-23.40M,3.453M,-31.20M,-0.0219,0.0,,-0.0214,-0.0219,-0.0219,0.0,,-0.0214,-0.0219,1.391B,1.391B,
1999-06,43.54M,43.54M,4.033M,39.50M,21.56M,27.25M,-1.488M,,,,51.87M,-12.36M,,,,-1.488M,,-11.27M,0.424M,-11.69M,,,-11.69M,-10.80M,-9.308M,3.055M,-12.36M,-0.0088,0.0,,-0.0081,-0.0088,-0.0088,0.0,,-0.0081,-0.0088,1.348B,1.348B,
1999-03,38.28M,38.28M,4.407M,33.87M,21.83M,25.60M,-1.613M,,,,50.42M,-16.55M,,,,-1.613M,,-15.39M,0.082M,-15.48M,,,-15.48M,-14.51M,-13.56M,2.992M,-16.55M,-0.0119,0.0,,-0.0109,-0.0119,-0.0119,0.0,,-0.0109,-0.0119,993.12M,993.12M,
1998-12,42.40M,42.40M,3.30M,39.10M,21.60M,35.20M,-17.70M,,,,60.00M,-20.90M,,,,-17.70M,,-18.40M,0.30M,-18.70M,,,-18.70M,-8.08M,-17.70M,3.20M,-20.90M,-0.019,,,-0.0082,-0.019,-0.019,0.0,,-0.0082,-0.019,982.72M,982.72M,
1998-09,31.90M,31.90M,5.10M,26.80M,19.10M,28.60M,20.80M,,,,48.40M,-21.60M,,,,20.80M,,2.50M,0.30M,2.20M,,,2.20M,-16.10M,-13.00M,8.60M,-21.60M,0.0019,0.0,,-0.0137,0.0019,0.0019,0.0,,-0.0137,0.0019,1.173B,1.173B,
1998-06,7.00M,7.00M,-0.60M,7.60M,8.40M,18.30M,5.00M,,,,27.40M,-19.80M,,,,5.00M,,,,-14.80M,,,-14.80M,-17.80M,-19.10M,0.70M,-19.80M,-0.0156,0.0,,-0.0188,-0.0156,-0.0156,0.0,,-0.0188,-0.0156,947.20M,947.20M,
