,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2001-03,27.27M,27.27M,16.14M,11.14M,7.58M,,2.516M,1.737M,,,,-2.516M,9.317M,1.82M,,,,,-0.857M,-0.343M,-0.514M,-0.014M,,-0.528M,-0.514M,6.073M,2.516M,1.82M,,-0.01,0.00,,-0.01,-0.01,,-0.01,0.00,,-0.01,-0.01,,47.18M,47.18M,0.00,,,
2000-12,-5.075M,-5.075M,5.876M,-10.95M,-2.139M,,,,,,,,-8.911M,-2.04M,,,,,1.531M,-0.649M,2.18M,-16.52M,,-14.34M,2.18M,-6.029M,-3.989M,-2.04M,,0.0609,-0.3522,,0.0609,-0.2914,,0.05,-0.3639,,0.05,-0.2914,,44.95M,46.66M,0.00,,,
2000-09,34.38M,34.38M,17.52M,16.86M,11.30M,,,,0.251M,,,,16.20M,0.659M,,,0.251M,,-2.636M,-0.16M,-2.476M,-0.082M,,-2.558M,-2.712M,5.561M,4.902M,0.659M,,-0.05,0.00,,-0.0551,-0.05,,-0.0531,-0.0018,,-0.0581,-0.0548,,46.65M,46.65M,0.00,,,
2000-06,32.14M,32.14M,17.16M,14.98M,12.66M,,,,-0.09M,,,,17.23M,-2.255M,,,-0.09M,,-4.365M,-0.454M,-3.911M,-0.068M,,-3.979M,-3.830M,2.321M,4.576M,-2.255M,,-0.09,0.00,,-0.0882,-0.09,,-0.09,-0.0015,,-0.0882,-0.09,,44.89M,44.89M,0.00,,,
2000-03,21.80M,21.80M,11.37M,10.42M,8.507M,,2.395M,1.919M,,,,-2.395M,10.43M,-0.001M,,,,,-3.279M,-0.942M,-2.337M,-1.382M,,-3.719M,-2.337M,4.313M,4.197M,-0.001M,,-0.06,-0.03,,-0.06,-0.09,,-0.06,-0.03,,-0.06,-0.09,,43.29M,43.29M,0.00,,,
1999-12,-2.204M,-2.204M,0.011M,-2.215M,4.576M,,,,,,,,3.088M,-5.303M,,,,,-6.157M,-2.679M,-3.478M,1.089M,,-2.389M,-3.478M,-6.791M,-1.488M,-5.303M,,-0.0854,0.0302,,-0.0854,-0.0552,,-0.09,0.0281,,-0.09,-0.0552,,46.12M,46.12M,0.00,,,
1999-09,27.54M,27.54M,13.21M,14.33M,9.054M,,,,,,,,12.65M,1.676M,,,,,0.638M,0.441M,0.197M,-0.602M,,-0.405M,0.197M,5.275M,3.301M,1.676M,,0.00,-0.01,,0.00,-0.01,,0.00,-0.01,,0.00,-0.01,,40.54M,42.07M,0.00,,,
1999-06,26.93M,26.93M,11.70M,15.22M,9.649M,,,,,,,,12.15M,3.075M,,,,,2.148M,1.446M,0.702M,-0.78M,,-0.078M,0.702M,5.575M,2.486M,3.075M,,0.02,-0.02,,0.02,0.00,,0.02,-0.02,,0.02,0.00,,36.67M,36.67M,0.00,,,
1999-03,18.81M,18.81M,9.111M,9.702M,5.468M,,,,,,,,7.28M,2.422M,,,,,1.593M,0.98M,0.613M,-0.565M,,0.048M,0.613M,4.234M,1.812M,2.422M,,0.02,-0.02,,0.02,0.00,,0.02,-0.02,,0.02,0.00,,35.54M,35.54M,0.00,,,
1998-12,-9.36M,-9.36M,-1.95M,-7.41M,-0.866M,,,,-2.846M,,,,-2.174M,-5.236M,,,-2.846M,,-7.316M,-2.652M,-4.664M,-6.096M,,-10.76M,-2.850M,-6.544M,-1.308M,-5.236M,,-0.1314,-0.1809,,-0.0785,-0.3124,,-0.14,-0.1908,,-0.0871,-0.3124,,34.29M,34.29M,0.00,,,
1998-09,16.00M,16.00M,6.80M,9.20M,4.70M,,,,,,,,6.60M,2.60M,,,,,2.10M,1.00M,1.10M,-0.20M,,0.90M,1.10M,4.50M,1.50M,2.60M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,30.00M,30.00M,0.00,,,
1998-06,12.00M,12.00M,5.80M,6.20M,3.20M,,,,,,,,3.90M,2.30M,,,,,1.70M,0.80M,0.90M,0.40M,,1.30M,0.90M,3.50M,1.20M,2.30M,,0.03,0.01,,0.03,0.04,,0.03,0.01,,0.03,0.04,,32.50M,32.50M,0.00,,,
1998-03,4.80M,4.80M,2.30M,2.50M,1.60M,,,,0.10M,,,,2.20M,0.30M,,,0.10M,,0.20M,0.10M,0.10M,,,0.10M,0.04M,0.90M,0.60M,0.30M,,0.01,0.00,,0.0082,0.01,,0.01,0.00,,0.0082,0.01,,34.12M,34.12M,0.00,,,
1997-12,-58.20M,-58.20M,-31.80M,-26.40M,-21.30M,,,,0.30M,,,,-22.70M,-3.699M,,,0.30M,,-3.40M,-1.40M,-2.00M,1.50M,,-0.50M,-2.18M,-5.099M,-1.40M,-3.699M,,-0.0919,0.0689,,-0.1002,-0.0230,,-0.0919,0.0689,,-0.1002,-0.0230,,21.76M,21.76M,0.00,,,
1997-09,20.20M,20.20M,11.60M,8.60M,8.30M,,,,0.20M,,,,8.40M,0.20M,,,0.20M,,0.50M,0.20M,0.30M,-2.50M,,-2.20M,0.18M,0.30M,0.10M,0.20M,,0.01,-0.14,,0.0029,-0.13,,0.01,-0.14,,0.0029,-0.13,,16.92M,16.92M,0.00,,,
1997-06,23.00M,23.00M,11.60M,11.40M,12.60M,,,,0.20M,,,,13.30M,-1.90M,,,0.20M,,-1.70M,-0.60M,-1.10M,,,-1.10M,-1.229M,-1.20M,0.70M,-1.90M,,-0.06,0.00,,-0.0671,-0.06,,-0.06,0.00,,-0.0671,-0.06,,18.33M,18.33M,0.00,,,
1997-03,26.50M,26.50M,11.50M,15.00M,14.20M,,,,0.20M,,,,14.90M,0.10M,,,0.20M,,0.20M,0.10M,0.10M,,,0.10M,-0.02M,0.80M,0.70M,0.10M,,0.01,0.00,,0.0040,0.01,,0.01,0.00,,0.0040,0.01,,19.88M,19.88M,0.00,,,
1996-12,-83.10M,-83.10M,-39.30M,-43.80M,-40.50M,,,,0.30M,,,,-43.50M,-0.30M,,,0.30M,,-0.40M,-0.10M,-0.30M,,,-56.60M,-0.525M,-3.30M,-3.00M,-0.30M,,-0.01,-2.84,,-0.0209,-2.85,,-0.01,-2.84,,-0.0209,-2.85,,20.60M,20.60M,0.00,,,
1996-09,25.90M,25.90M,12.80M,13.10M,15.60M,,,,0.10M,,,,16.70M,-3.60M,,,0.10M,,-3.60M,-0.10M,-3.50M,,,-3.50M,-3.597M,-2.50M,1.10M,-3.60M,,-0.18,0.00,,-0.185,-0.18,,-0.18,0.00,,-0.185,-0.18,,19.44M,19.44M,0.00,,,
1996-06,26.60M,26.60M,13.20M,13.40M,14.90M,,,,0.10M,,,,15.90M,-2.50M,,,0.10M,,-2.40M,-1.30M,-1.10M,,,-1.10M,-1.16M,-1.50M,1.00M,-2.50M,,-0.06,0.00,,-0.0633,-0.06,,-0.06,0.00,,-0.0633,-0.06,,18.33M,18.33M,0.00,,,
1996-03,30.80M,30.80M,13.20M,17.60M,16.80M,,,,0.10M,,,,17.80M,-0.20M,,,0.10M,,-0.20M,-0.10M,-0.10M,,,-0.10M,-0.16M,0.80M,1.00M,-0.20M,,-0.0050,,,-0.0080,-0.0050,,-0.0050,,,-0.0080,-0.0050,,19.88M,19.88M,0.00,,,
1995-12,-167.70M,-167.70M,-133.10M,-34.60M,-29.10M,,,,,,,,-37.20M,2.60M,,,,,6.20M,3.60M,2.60M,,,-12.90M,2.60M,-5.50M,-8.10M,2.60M,,0.13,-0.78,,0.13,-0.65,,0.13,-0.78,,0.13,-0.65,,19.53M,19.53M,0.00,,,
1995-09,86.40M,86.40M,63.20M,23.20M,22.00M,,,,,,,,25.60M,-2.40M,,,,,-3.80M,-1.50M,-2.30M,,,-2.30M,-2.30M,1.20M,3.60M,-2.40M,,-0.11,0.00,,-0.11,-0.11,,-0.11,0.00,,-0.11,-0.11,,20.91M,20.91M,0.00,,,
1995-06,87.90M,87.90M,63.90M,24.00M,20.60M,,,,,,,,24.00M,0.00,,,,,-1.60M,-1.20M,-0.40M,,,-0.40M,-0.40M,3.40M,3.40M,0.00,,-0.02,0.00,,-0.02,-0.02,,-0.02,0.00,,-0.02,-0.02,,20.00M,20.00M,0.00,,,
1995-03,80.30M,80.30M,54.90M,25.40M,23.20M,,,,,,,,26.50M,-1.10M,,,,,-2.70M,-1.40M,-1.30M,,,-1.30M,-1.30M,2.20M,3.30M,-1.10M,,-0.07,0.00,,-0.07,-0.07,,-0.07,0.00,,-0.07,-0.07,,18.57M,18.57M,0.00,,,
1994-12,112.40M,112.40M,72.80M,39.60M,34.20M,,,,,,,,37.60M,2.00M,,,,,0.70M,1.20M,-0.50M,,,-0.50M,-0.50M,5.40M,3.40M,2.00M,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,20.00M,20.00M,0.00,,,
1994-09,83.70M,83.70M,61.40M,22.30M,22.50M,,,,,,,,25.60M,-3.30M,,,,,-4.50M,-1.30M,-3.20M,,,-3.20M,-3.20M,-0.10M,3.20M,-3.30M,,-0.16,0.00,,-0.16,-0.16,,-0.16,0.00,,-0.16,-0.16,,20.00M,20.00M,0.00,,,
1994-06,85.10M,85.10M,59.20M,25.90M,22.60M,,,,,,,,25.70M,0.20M,,,,,-0.60M,-0.30M,-0.30M,,,-0.30M,-0.30M,3.30M,3.10M,0.20M,,-0.02,0.00,,-0.02,-0.02,,-0.02,0.00,,-0.02,-0.02,,15.00M,15.00M,0.00,,,
1994-03,76.60M,76.60M,50.10M,26.50M,24.10M,,,,,,,,27.20M,-0.70M,,,,,-1.30M,-0.60M,-0.70M,,,-0.70M,-0.70M,2.40M,3.10M,-0.70M,,-0.03,0.00,,-0.03,-0.03,,-0.03,0.00,,-0.03,-0.03,,23.33M,23.33M,0.00,,,
1993-12,66.90M,66.90M,48.60M,18.30M,15.20M,,,,,,,,17.80M,0.50M,,,,,0.40M,0.00,0.40M,,0.00,0.40M,0.40M,3.10M,2.60M,0.50M,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,-0.0301,0.00,0.00,,20.30M,20.30M,0.00,,,
1993-09,77.90M,77.90M,59.20M,18.70M,14.40M,,,,,,,,17.10M,1.60M,,,,,1.60M,1.20M,0.40M,,,0.40M,0.40M,4.30M,2.60M,1.60M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,20.00M,20.00M,0.00,,,
1993-06,76.80M,76.80M,56.50M,20.30M,14.80M,,,,,,,,17.50M,2.80M,,,,,2.50M,1.10M,1.40M,,,1.40M,1.40M,5.50M,2.70M,2.80M,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,20.00M,20.00M,0.00,,,
1993-03,60.80M,60.80M,46.00M,14.80M,13.60M,,,,,,,,16.30M,-1.50M,,,,,-1.60M,-0.70M,-0.90M,,-3.60M,-4.50M,-0.90M,1.20M,2.70M,-1.50M,,-0.04,-0.18,0.00,-0.04,-0.22,,-0.04,-0.18,-0.176,-0.04,-0.22,,20.45M,20.45M,0.00,,,
1992-12,65.80M,65.80M,48.20M,17.60M,14.80M,,,,,,,,17.60M,0.00,,,,,-0.10M,-0.10M,0.00,,,0.00,0.00,2.80M,2.80M,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,20.00M,20.00M,0.00,,,
1992-09,77.00M,77.00M,56.50M,20.50M,14.30M,,,,,,,,17.10M,3.40M,,,,,3.20M,1.60M,1.60M,,,1.60M,1.60M,6.20M,2.70M,3.40M,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,20.00M,20.00M,0.00,,,
1992-06,76.90M,76.90M,57.20M,19.70M,14.00M,,,,,,,,16.80M,2.90M,,,,,2.80M,1.30M,1.50M,,,1.50M,1.50M,5.70M,2.80M,2.90M,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,21.43M,21.43M,0.00,,,
1992-03,66.50M,66.50M,50.80M,15.70M,12.70M,,,,,,,,15.40M,0.30M,,,,,0.20M,0.10M,0.10M,,,0.10M,0.10M,3.00M,2.70M,0.30M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,20.85M,20.85M,0.00,,,
1991-12,65.30M,65.30M,49.60M,15.70M,12.10M,,,,,,,,15.00M,0.70M,,,,,0.60M,0.30M,0.30M,,,0.30M,0.30M,3.60M,2.90M,0.70M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,21.31M,21.31M,0.00,,,
1991-09,77.70M,77.70M,57.70M,20.00M,13.30M,,,,,,,,16.00M,4.00M,,,,,3.70M,1.40M,2.30M,,,2.30M,2.30M,6.70M,2.70M,4.00M,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,20.91M,20.91M,0.00,,,
1991-06,73.30M,73.30M,55.90M,17.40M,13.30M,,,,,,,,15.80M,1.60M,,,,,1.20M,0.30M,0.90M,,,0.90M,0.90M,4.10M,2.50M,1.60M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,22.50M,22.50M,0.00,,,
1991-03,50.10M,50.10M,41.90M,8.20M,8.90M,,,,,,,,11.20M,-3.00M,,,,,-3.10M,-0.70M,-2.40M,,,-2.40M,-2.40M,-0.70M,2.30M,-3.00M,,-0.11,0.00,,-0.11,-0.11,,-0.11,0.00,,-0.11,-0.11,,21.82M,21.82M,0.00,,,
1990-12,47.90M,47.90M,39.70M,8.20M,6.10M,,,,,,,,8.40M,-0.20M,,,,,0.10M,0.00,0.10M,0.00,,0.10M,0.10M,2.10M,2.30M,-0.20M,,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,22.94M,22.94M,0.00,,,
1990-09,59.50M,59.50M,46.40M,13.10M,6.70M,,,,0.10M,,,,11.00M,2.10M,,,0.10M,,2.20M,0.80M,1.40M,,,1.40M,1.336M,6.40M,2.20M,2.10M,,0.07,0.00,,0.0668,0.07,,0.07,0.00,,0.0668,0.07,,20.00M,20.00M,0.00,,,
1990-06,58.90M,58.90M,48.00M,10.90M,6.80M,,,,0.20M,,,,8.90M,2.00M,,,0.20M,,2.10M,0.70M,1.40M,0.50M,,1.90M,1.267M,4.10M,2.10M,2.00M,,0.07,0.02,,0.0637,0.09,,0.07,0.02,,0.0637,0.09,,21.11M,21.11M,0.00,,,
1990-03,51.30M,51.30M,41.10M,10.20M,7.10M,,,,,,,,9.20M,1.00M,,,,,1.00M,0.40M,0.60M,-0.40M,,0.20M,0.60M,3.10M,2.10M,1.00M,,0.03,-0.02,,0.03,0.01,,0.03,-0.02,,0.03,0.01,,20.00M,20.00M,0.02,,,
1989-12,44.70M,44.70M,,,,,,,,,,,,-147.60M,,,,,,,-1.80M,0.10M,,-1.70M,,-147.60M,,-147.60M,,,0.0048,,,0.0048,,,0.0048,,,0.0048,,20.82M,20.82M,0.02,,,
1989-09,51.70M,51.70M,,,,,,,,,,,,51.70M,,,,,,,0.50M,1.70M,,2.20M,,51.70M,,51.70M,,0.02,0.09,,0.02,0.11,,0.02,0.09,,0.02,0.11,,20.82M,20.82M,,,,
1989-06,51.70M,51.70M,,,,,,,,,,,,51.70M,,,,,,,0.80M,2.10M,,2.90M,,51.70M,,51.70M,,0.04,0.09,,0.04,0.13,,0.04,0.09,,0.04,0.13,,20.82M,20.82M,,,,
1989-03,41.30M,41.30M,,,,,,,,,,,,41.30M,,,,,,,-1.80M,-0.20M,,-2.00M,,41.30M,,41.30M,,-0.08,-0.01,,-0.08,-0.09,,-0.08,-0.01,,-0.08,-0.09,,20.82M,20.82M,,,,
1988-12,44.90M,44.90M,,,,,,,,,,,,-135.60M,,,,,,,-2.00M,2.90M,,0.90M,,-135.60M,,-135.60M,,,0.1351,,,0.1351,,,0.1351,,,0.1351,,21.47M,21.47M,,,,
1988-09,48.10M,48.10M,,,,,,,,,,,,48.10M,,,,,,,-0.40M,10.90M,,10.50M,,48.10M,,48.10M,,-0.02,0.57,,-0.02,0.55,,-0.02,0.57,,-0.02,0.55,,21.47M,21.47M,,,,
1988-06,48.20M,48.20M,,,,,,,,,,,,48.20M,,,,,,,1.60M,6.40M,,8.00M,,48.20M,,48.20M,,0.09,0.37,,0.09,0.46,,0.09,0.37,,0.09,0.46,,21.47M,21.47M,,,,
1988-03,38.00M,38.00M,,,,,,,,,,,,38.00M,,,,,,,-0.50M,2.10M,,1.60M,,38.00M,,38.00M,,-0.03,0.13,,-0.03,0.10,,-0.03,0.13,,-0.03,0.10,,21.47M,21.47M,,,,
