,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2002-12,4.398M,1.075M,2.167M,2.167M,,,,-0.311M,,,,,,,-4.359M,-3.026M,-2.185M,5.502M,,-7.701M,1.807M,-5.894M,,,,5.445M,-2.241M,,,,-0.057M,0.006M,0.00,0.006M,,,0.00,-0.051M,,10.53M,3.21M,13.74M,,0.006M,,,0.00,,,
2002-09,1.739M,0.047M,2.137M,2.137M,,,,0.022M,,,,,,,3.776M,3.776M,-0.273M,7.448M,,-0.545M,-1.783M,-2.328M,,,,-1.939M,-2.475M,,,,-0.167M,0.018M,-4.00M,-3.982M,,,-0.055M,-4.528M,,10.09M,0.445M,10.53M,,0.018M,,,-4.00M,,,
2002-06,1.29M,0.001M,2.126M,2.126M,,,,0.289M,,,,,,,0.996M,0.996M,,4.702M,,-0.807M,1.783M,0.976M,,,,-2.831M,-1.855M,,,,-0.122M,0.233M,,0.233M,,,-0.058M,0.053M,,7.189M,2.90M,10.09M,,0.233M,,,,,,
2002-03,0.562M,-0.048M,2.092M,2.092M,,,,,,,,,,,-0.413M,-0.413M,,2.193M,,-0.665M,,-0.665M,,,,-0.738M,-1.403M,,,,-0.11M,1.365M,,1.365M,,,-0.127M,1.128M,,5.271M,1.918M,7.189M,,1.365M,,,,,,
2001-12,0.198M,1.865M,2.904M,2.904M,1.544M,,,0.86M,,,,,,,0.946M,1.801M,,6.582M,,-7.056M,0.00,-7.056M,,,,6.063M,-5.096M,,,,0.765M,-0.028M,,-0.028M,,,-0.002M,-0.257M,,4.042M,1.229M,5.271M,,-0.028M,,,,,,
2001-09,0.228M,0.177M,2.811M,2.811M,-0.178M,,,-0.98M,,,,,,,5.727M,5.727M,,7.785M,,-0.667M,3.10M,2.433M,,,,-1.461M,0.972M,,,,-5.569M,0.258M,,0.258M,,,0.00,-5.311M,,0.596M,3.446M,4.042M,,0.258M,,,,,,
2001-06,0.371M,,2.679M,2.679M,0.071M,,,0.12M,,,,,,,-4.793M,-4.793M,,-1.552M,,-0.931M,0.575M,-0.356M,,,,-1.503M,-1.859M,,,,4.319M,,,,,,-0.116M,4.203M,,0.517M,0.792M,0.596M,,,,,,,,
2001-03,-0.528M,,2.516M,2.516M,-0.179M,,,,,,,,,,-1.88M,-1.88M,,-0.071M,,-0.672M,,-0.672M,,,,-3.051M,-3.723M,,,,-4.619M,,,,,,,-4.619M,,8.93M,-8.413M,0.517M,,,,,,,,
2000-12,-14.34M,3.758M,-3.989M,-3.989M,-1.698M,,,,,,,,,,6.227M,5.18M,,-2.875M,,-6.572M,65.80M,59.23M,,0.00,,8.656M,65.68M,,,,-51.76M,0.00,,0.00,,,0.00,-54.69M,,0.555M,8.122M,8.217M,,0.00,,,,,,
2000-09,-2.558M,-0.251M,4.902M,4.902M,-0.344M,,,,,,,,,,-1.11M,-1.11M,,0.639M,,-0.598M,14.02M,13.42M,,0.00,,-2.15M,11.27M,,,,-12.78M,0.00,,0.00,,,-0.45M,-13.23M,,1.873M,-1.318M,0.555M,,0.00,,,,,,
2000-06,-3.979M,,4.576M,4.576M,-0.376M,,,0.003M,,,,,,,-5.117M,-5.117M,,-4.893M,,-1.037M,,-1.037M,,0.00,,-3.095M,-4.132M,,,,0.659M,9.289M,,9.289M,,,-0.85M,9.098M,,1.80M,0.073M,1.873M,,9.289M,,,,,,
2000-03,-3.719M,,4.197M,4.197M,-0.472M,,,-0.003M,,,,,,,,,,0.003M,,-1.152M,,-1.152M,,-3.073M,,-3.198M,-7.423M,,,,6.796M,,,,,,,6.796M,,2.424M,-0.624M,1.80M,,,,,,,,
1999-12,-2.389M,2.239M,-1.488M,-1.488M,-0.583M,,,2.246M,,,,,,,3.163M,-7.541M,,-0.601M,,-8.805M,0.142M,-8.663M,,-3.458M,,2.985M,-9.136M,,,,11.72M,0.00,,0.00,,,-1.238M,10.48M,,1.678M,0.741M,1.987M,,0.00,,,,,,
1999-09,-0.405M,0.665M,3.301M,3.301M,-0.518M,,,-1.793M,,,,,,,-0.50M,-0.50M,,0.75M,,21.45M,3.816M,25.26M,,-22.49M,,-1.48M,1.293M,,,,-1.042M,0.019M,,0.019M,,,-0.20M,-1.223M,,0.90M,0.82M,1.678M,,0.019M,,,,,,
1999-06,-0.078M,0.00,2.486M,2.486M,-0.314M,,,1.797M,,,,,,,-2.663M,-2.663M,,1.228M,,-23.12M,11.30M,-11.82M,,5.781M,,-13.04M,-19.08M,,,,16.79M,,,,,,0.10M,16.89M,,1.821M,-0.963M,0.90M,,,,,,,,
1999-03,0.048M,-0.665M,1.812M,1.812M,-0.141M,,,-1.782M,,,,,,,,,,-0.728M,,-1.384M,,-1.384M,,-5.781M,,9.344M,2.179M,,,,-1.188M,,,,,,,-1.188M,,1.558M,0.263M,1.821M,,,,,,,,
1998-12,-10.76M,,-1.308M,-1.308M,1.173M,,,3.181M,-1.66M,,,-0.196M,-0.292M,0.878M,,-1.27M,,-0.144M,,31.47M,0.049M,31.52M,,,,1.933M,-1.287M,,,,1.717M,0.009M,0.20M,0.209M,,,-0.433M,1.493M,,1.00M,0.062M,1.126M,,0.009M,,,0.20M,,,
1998-09,1.00M,0.80M,1.50M,1.50M,-0.80M,,,-1.90M,,,,,,,,,,0.60M,,-3.30M,0.00,-3.30M,,,,-1.10M,-4.40M,,,,3.80M,0.00,-0.20M,-0.20M,,,-0.10M,3.50M,,0.00,-0.30M,1.00M,,0.00,,,-0.20M,,,
1998-06,1.30M,1.80M,1.20M,1.20M,0.20M,,,-1.10M,0.90M,,,0.90M,-0.60M,-0.20M,,1.00M,,4.40M,,-5.00M,0.00,-5.00M,,,,-0.50M,-5.50M,,,,0.50M,0.00,,0.00,,,,0.50M,,0.00,-0.60M,0.00,,0.00,,,,,,
1998-03,0.10M,-2.60M,0.60M,0.60M,-0.20M,,,-0.10M,-0.90M,,,-0.90M,0.60M,0.20M,,-1.00M,,-3.20M,,-27.90M,2.60M,-25.30M,,,,-0.30M,-25.60M,,,,22.20M,0.20M,,0.20M,,,,22.40M,,8.40M,-6.40M,0.00,,0.20M,,,,,,
1997-12,-0.50M,0.10M,-1.40M,-1.40M,-1.90M,,,-4.30M,0.50M,0.40M,,-2.30M,0.10M,-0.80M,,-2.10M,,-7.30M,,-0.70M,,5.10M,,,,-5.70M,-0.60M,,,,,0.40M,,-1.20M,,,,-1.20M,,0.00,-9.10M,8.364M,,0.40M,,,,,,
1997-09,-1.80M,0.20M,0.10M,0.10M,-0.20M,,,4.30M,-11.50M,-1.00M,,2.80M,0.00,2.00M,,-7.70M,,-5.10M,,-0.10M,,-0.10M,,,,-0.50M,-0.60M,,,,,3.70M,,3.70M,,,,3.70M,,0.00,-2.00M,0.00,,3.70M,,,,,,
1997-06,-1.10M,-0.30M,0.70M,0.70M,-0.20M,,,,5.10M,0.90M,,-1.40M,0.10M,-1.10M,,3.60M,,2.70M,,-0.10M,,-0.10M,,,,-0.10M,-0.20M,,,,,,,,,,,0.00,,0.00,2.50M,0.00,,,,,,,,
1997-03,0.10M,0.10M,0.70M,0.70M,-0.20M,,,,5.90M,-0.30M,,0.80M,0.10M,-3.30M,,3.20M,,3.90M,,-0.50M,,-0.50M,,,,-0.10M,-0.60M,,,,,,,,,,,0.00,,15.80M,3.30M,0.00,,,,,,,,
1996-12,-56.60M,7.60M,-3.00M,-3.00M,,,,0.10M,-13.60M,3.10M,,-0.80M,2.20M,5.60M,,-3.50M,,4.70M,,2.10M,7.20M,9.30M,,,,-7.10M,2.20M,,,,,,,,,,,0.00,,0.00,6.90M,0.00,,,,,,,,
1996-09,-3.50M,0.10M,1.10M,1.10M,,,,-0.20M,1.40M,-3.60M,,1.40M,0.40M,-1.50M,,-1.90M,,-4.40M,,-4.00M,-7.60M,-11.60M,,,,9.40M,-2.20M,,,,,,,,,,,0.00,,0.00,-6.60M,0.00,,,,,,,,
1996-06,-1.10M,0.00,1.00M,1.00M,,,,0.20M,5.10M,0.30M,,0.20M,-0.10M,-2.20M,,3.30M,,3.40M,,0.30M,0.00,0.30M,,,,-0.80M,-0.50M,,,,,,,,,,,0.00,,0.00,2.90M,0.00,,,,,,,,
1996-03,-0.10M,0.10M,1.00M,1.00M,,,,-0.10M,7.30M,0.20M,,-0.80M,0.30M,-5.10M,,1.90M,,2.80M,,-2.00M,8.00M,6.00M,,,,0.60M,6.60M,,,,,,,,,,,0.00,,3.20M,9.40M,0.00,,,,,,,,
1995-12,-12.90M,-0.30M,-8.10M,-8.10M,,,,29.20M,-5.50M,0.90M,,2.30M,-0.10M,9.10M,,6.70M,,15.60M,,8.10M,59.80M,67.90M,,,,-10.00M,57.90M,,,,-71.70M,,,,,,,-71.70M,,0.00,1.80M,0.00,,,,,,,,
1995-09,-2.30M,0.10M,3.60M,3.60M,,,,-0.30M,-2.80M,0.30M,,0.60M,0.70M,-2.10M,,-3.30M,,-2.20M,,-2.30M,0.00,-2.30M,,,,-0.20M,-2.50M,,,,3.60M,,,,,,,3.60M,,0.00,-1.10M,0.00,,,,,,,,
1995-06,-0.40M,0.10M,3.40M,3.40M,,,,0.10M,2.30M,2.80M,,-2.20M,-0.30M,-2.50M,,0.10M,,3.30M,,-3.20M,0.10M,-3.10M,,,,0.20M,-2.90M,,,,0.80M,,,,,,,0.80M,,0.00,1.20M,0.00,,,,,,,,
1995-03,-1.30M,0.10M,3.30M,3.30M,,,,,4.70M,-3.40M,,-0.20M,-0.10M,-3.60M,,-2.60M,,-0.50M,,-4.30M,0.10M,-4.20M,,,,-0.20M,-4.40M,,,,4.60M,,,,,,,4.60M,,2.00M,-0.30M,0.00,,,,,,,,
1994-12,-0.50M,0.60M,3.40M,3.40M,,,,0.20M,-9.50M,1.10M,,0.80M,0.00,9.70M,,2.10M,,5.80M,,-6.70M,0.20M,-6.50M,,,,0.50M,-6.00M,,,,-0.60M,0.10M,0.00,0.10M,,,,-0.50M,,0.00,-0.70M,0.00,,0.10M,,,0.00,,,
1994-09,-3.20M,0.10M,3.20M,3.20M,,,,0.00,1.20M,-4.70M,,2.00M,-0.20M,-2.90M,,-4.60M,,-4.50M,,-3.70M,0.10M,-3.60M,,,,-1.60M,-5.20M,,,,9.70M,0.10M,0.20M,0.30M,,,,10.00M,,0.00,0.30M,0.00,,0.10M,,,0.20M,,,
1994-06,-0.30M,0.40M,3.10M,3.10M,,,,-0.10M,2.90M,-3.80M,,1.20M,0.10M,-4.30M,,-3.90M,,-0.80M,,-2.00M,,-2.00M,,,,-0.10M,-2.10M,,,,5.40M,,-1.80M,-1.80M,,,,3.60M,,0.00,0.70M,0.00,,,,,-1.80M,,,
1994-03,-0.70M,0.10M,3.10M,3.10M,,,,,5.40M,-4.50M,,-1.10M,0.20M,-5.60M,,-5.60M,,-3.10M,,-1.60M,,-1.60M,,,,-59.00M,-60.60M,,,,49.00M,,-1.60M,-1.60M,,,,47.40M,,18.00M,-16.30M,0.00,,,,,-1.60M,,,
1993-12,0.40M,0.10M,2.60M,2.60M,-1.20M,,,-0.10M,4.90M,-1.40M,,-0.80M,0.10M,0.30M,,3.10M,,4.90M,,-1.10M,0.00,-1.10M,,,,-1.80M,-2.90M,,,,,,-1.20M,-1.10M,,,,-1.10M,,0.00,0.90M,0.00,,,,,-1.20M,,,
1993-09,0.40M,0.00,2.60M,2.60M,0.10M,,,0.20M,0.70M,2.80M,,-1.30M,-0.10M,3.80M,,5.90M,,9.20M,,-2.20M,0.20M,-2.00M,,,,1.00M,-1.00M,,,,,,-0.10M,-0.10M,,,,-0.10M,,0.00,8.10M,0.00,,,,,-0.10M,,,
1993-06,1.40M,0.10M,2.70M,2.70M,,,,0.00,-3.30M,4.20M,,1.40M,0.10M,2.60M,,5.00M,,9.20M,,-2.90M,1.10M,-1.80M,,,,1.00M,-0.80M,,,,,,-0.40M,-0.40M,,,,-0.40M,,0.00,8.00M,0.00,,,,,-0.40M,,,
1993-03,-0.90M,,2.70M,2.70M,,,,-0.10M,-2.50M,0.10M,,-0.50M,,-3.80M,,-6.70M,,-5.00M,,-4.70M,0.10M,-4.60M,,,,-0.90M,-5.50M,,,,,,-0.50M,-0.50M,,,,-0.50M,,12.10M,-11.00M,0.00,,,,,-0.50M,,,
1992-12,0.00,0.00,2.80M,2.80M,,,,,5.70M,0.40M,,0.20M,-0.70M,1.50M,,7.10M,,8.80M,,-3.40M,1.30M,-2.10M,,,,-1.90M,-4.00M,,,,,0.80M,-1.10M,-0.30M,,,,-0.20M,,0.00,4.60M,0.00,,0.80M,,,-1.10M,,,
1992-09,1.60M,0.00,2.70M,2.70M,,,,,3.30M,0.60M,,-1.30M,0.20M,0.80M,,3.60M,,7.90M,,-1.70M,0.10M,-1.60M,,,,-0.10M,-1.70M,,,,-1.00M,,-0.10M,-0.10M,,,,-1.10M,,0.00,5.10M,0.00,,,,,-0.10M,,,
1992-06,1.50M,0.10M,2.80M,2.80M,,,,,-3.30M,0.00,,1.80M,0.30M,1.80M,,0.60M,,5.00M,,-1.40M,0.10M,-1.30M,,,,-0.20M,-1.50M,,,,-1.50M,-0.30M,,-0.30M,,,,-1.80M,,0.00,1.70M,0.00,,-0.30M,,,,,,
1992-03,0.10M,,2.70M,2.70M,,,,,-5.50M,-4.50M,,-0.70M,-0.10M,-2.10M,,-12.90M,,-10.10M,,-2.30M,0.10M,-2.20M,,,,-0.10M,-2.30M,,,,2.50M,0.30M,,0.30M,,,,2.80M,,10.30M,-9.60M,0.00,,0.30M,,,,,,
1991-12,0.30M,-0.20M,2.90M,2.90M,,,,,9.20M,-5.40M,,-0.40M,0.70M,-1.50M,,2.60M,,4.80M,,24.90M,0.50M,25.40M,,,,-25.00M,0.40M,,,,-0.80M,0.50M,,0.10M,,,-0.10M,-0.80M,,0.00,4.40M,0.00,,0.50M,,,,,,
1991-09,2.30M,0.10M,2.70M,2.70M,,,,-0.10M,-1.60M,3.00M,,1.00M,-0.40M,4.80M,,6.80M,,11.80M,,-0.80M,0.10M,-0.70M,,,,0.20M,-0.50M,,,,-6.90M,0.00,,0.00,,,0.10M,-6.80M,,0.00,4.50M,0.00,,0.00,,,,,,
1991-06,1.00M,0.10M,2.50M,2.50M,,,,0.00,-5.80M,5.80M,,1.70M,0.30M,1.50M,,3.50M,,7.10M,,-0.60M,,-0.60M,,,,0.50M,-0.10M,,,,-8.00M,0.00,,0.00,,,,-8.00M,,0.00,-1.00M,0.00,,0.00,,,,,,
1991-03,-2.40M,0.10M,2.30M,2.30M,,,,0.10M,-0.10M,-1.00M,,0.30M,-0.10M,-1.30M,,-2.20M,,-2.10M,,-28.60M,,-28.60M,,,,-0.40M,-29.00M,,,,15.70M,0.50M,,0.50M,,,,16.20M,,17.30M,-14.90M,0.00,,0.50M,,,,,,
1990-12,0.10M,0.00,2.30M,2.30M,2.30M,,,0.10M,7.40M,-2.70M,,-0.10M,0.20M,-5.50M,,-0.70M,0.00,4.10M,,-2.20M,0.10M,-2.10M,,,,0.90M,-1.20M,,,,0.00,0.40M,-0.50M,-0.10M,0.00,,,0.00,,0.00,2.90M,0.00,,0.40M,,,-0.50M,,,
1990-09,1.40M,0.20M,2.20M,2.20M,0.00,,,0.00,0.70M,0.90M,,-1.40M,0.00,3.00M,,3.20M,0.00,7.00M,,-6.00M,0.00,-6.00M,,,,-0.20M,-6.20M,,,,0.00,0.10M,-2.50M,-2.40M,0.00,,,-2.40M,,0.00,-1.60M,0.00,,0.10M,,,-2.50M,,,
1990-06,1.90M,-0.40M,2.10M,2.10M,0.00,,,-0.30M,-3.30M,1.20M,,-2.10M,-0.30M,0.90M,,-3.60M,-0.20M,-0.50M,,-2.60M,0.10M,-2.50M,,,,-0.60M,-3.10M,,,,16.50M,2.50M,-0.60M,1.90M,0.00,,,18.40M,,0.00,14.80M,0.00,,2.50M,,,-0.60M,,,
1990-03,0.20M,0.60M,2.10M,2.10M,-0.10M,,,0.10M,-7.30M,-2.30M,,2.70M,-0.40M,-1.30M,,-8.60M,-5.60M,-11.30M,,-3.30M,,-3.30M,,,,,-3.30M,,,,15.00M,0.20M,,0.20M,-0.40M,,,14.80M,,1.00M,0.20M,0.00,,0.20M,,,,,,
