,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2013-03,2.00B,2.00B,982.00M,1.018B,515.00M,122.00M,,35.00M,12.00M,-23.00M,,637.00M,381.00M,12.00M,35.00M,-23.00M,2.00M,-23.00M,360.00M,84.00M,276.00M,0.00,,,276.00M,276.00M,531.00M,136.00M,395.00M,1.42,0.0,,1.42,1.42,1.39,0.0,,1.39,1.39,194.61M,198.14M,0.495
2012-12,1.90B,1.90B,894.00M,1.006B,496.00M,118.00M,,35.00M,8.00M,-27.00M,,614.00M,392.00M,8.00M,35.00M,-27.00M,1.00M,-27.00M,366.00M,95.00M,270.00M,355.00M,,,625.00M,270.00M,530.00M,129.00M,401.00M,1.38,1.81,,1.38,3.18,1.35,1.78,,1.35,3.13,196.43M,199.57M,0.495
2012-09,1.967B,1.967B,965.96M,1.001B,483.91M,128.03M,,35.63M,11.62M,-24.01M,,611.94M,388.90M,11.62M,35.63M,-24.01M,-3.392M,-24.01M,361.49M,87.74M,274.75M,14.36M,,,289.12M,274.75M,524.56M,127.44M,397.12M,1.35,0.07,,1.35,1.45,1.35,0.07,,1.35,1.43,199.02M,202.96M,0.45
2012-06,1.981B,1.981B,947.40M,1.033B,469.13M,114.99M,,34.85M,6.253M,-28.60M,,584.12M,449.02M,6.253M,34.85M,-28.60M,-1.881M,-28.60M,418.54M,106.96M,311.58M,15.28M,,,326.87M,311.58M,576.23M,122.84M,453.39M,1.54,0.08,,1.54,1.62,1.52,0.07,,1.52,1.59,202.02M,205.29M,0.45
2012-03,1.929B,1.929B,941.18M,987.78M,487.69M,116.75M,,35.14M,16.68M,-18.46M,,604.45M,383.33M,16.68M,35.14M,-18.46M,4.657M,-18.46M,369.52M,94.40M,275.12M,15.91M,,,291.03M,275.12M,532.46M,127.79M,404.66M,1.33,0.08,,1.33,1.41,1.31,0.08,,1.31,1.39,206.43M,209.80M,0.45
2011-12,1.832B,1.832B,900.46M,931.26M,482.27M,112.23M,,29.38M,15.45M,-13.93M,,594.50M,336.76M,15.45M,29.38M,-13.93M,-0.385M,-13.93M,322.44M,73.90M,248.54M,14.44M,,,262.98M,248.54M,484.75M,132.93M,351.82M,1.16,0.07,,1.16,1.23,1.14,0.07,,1.14,1.21,214.30M,217.63M,0.45
2011-09,1.988B,1.988B,970.92M,1.017B,480.05M,125.01M,,22.32M,1.706M,-20.61M,,605.06M,412.16M,1.706M,22.32M,-20.61M,1.436M,-20.61M,393.99M,108.82M,285.16M,14.82M,,,299.98M,285.16M,545.54M,129.24M,416.30M,1.32,0.07,,1.32,1.39,1.29,0.07,,1.29,1.36,216.68M,221.77M,0.41
2011-06,1.952B,1.952B,922.65M,1.029B,467.97M,114.08M,-1.318M,22.21M,11.51M,-10.70M,,582.05M,447.19M,11.51M,22.21M,-10.70M,-1.318M,-10.70M,435.17M,113.63M,321.54M,21.52M,,,343.06M,322.51M,576.75M,119.36M,457.38M,1.47,0.1,,1.474,1.57,1.44,0.1,,1.444,1.53,218.97M,223.57M,0.41
2011-03,1.922B,1.922B,920.59M,1.001B,441.94M,119.15M,-2.522M,23.92M,14.56M,-9.357M,,561.09M,440.34M,14.56M,23.92M,-9.357M,-2.522M,-9.357M,428.46M,117.40M,311.06M,0.957M,,,312.02M,312.89M,574.59M,122.20M,452.38M,1.41,0.0,,1.4180000000000001,1.41,1.38,0.0,,1.3880000000000001,1.38,220.89M,225.47M,0.41
2010-12,1.842B,1.842B,865.43M,976.57M,447.95M,115.54M,-4.596M,15.55M,15.22M,-0.331M,,563.50M,413.08M,15.22M,15.55M,-0.331M,-4.596M,-0.331M,408.15M,93.88M,314.28M,1.661M,,,315.94M,317.81M,546.90M,123.19M,423.70M,1.38,0.01,,1.396,1.39,1.35,0.01,,1.365,1.36,228.08M,232.92M,0.41
2010-09,1.625B,1.625B,786.06M,839.19M,407.72M,115.38M,,12.28M,14.59M,2.316M,,523.09M,316.10M,14.59M,12.28M,2.316M,1.285M,2.316M,319.70M,88.14M,231.56M,165.14M,,,396.70M,231.56M,444.82M,112.85M,331.98M,1.01,0.71,,1.01,1.71,0.98,0.68,,0.98,1.67,231.36M,237.09M,0.37
2010-06,1.831B,1.831B,883.43M,947.48M,416.47M,108.05M,1.402M,13.08M,2.094M,-10.99M,,524.52M,422.96M,2.094M,13.08M,-10.99M,1.402M,-10.99M,413.37M,119.21M,294.16M,12.75M,,,306.91M,293.16M,556.02M,129.56M,426.46M,1.26,0.05,,1.256,1.32,1.23,0.05,,1.226,1.29,233.24M,238.32M,0.37
2010-03,1.799B,1.799B,864.49M,934.92M,421.08M,100.19M,0.164M,12.91M,9.652M,-3.261M,,521.27M,413.65M,9.652M,12.91M,-3.261M,0.164M,-3.261M,410.55M,125.52M,285.03M,12.60M,,,297.63M,284.92M,548.72M,125.26M,423.46M,1.21,0.05,,1.21,1.26,1.18,0.05,,1.18,1.24,235.32M,240.86M,0.37
2009-12,1.869B,1.869B,894.32M,974.49M,445.67M,99.15M,-2.354M,12.99M,8.789M,-4.198M,,544.82M,429.67M,8.789M,12.99M,-4.198M,-2.354M,-4.198M,423.12M,119.02M,304.09M,12.28M,,,316.38M,305.78M,559.86M,123.75M,436.10M,1.28,0.05,,1.287,1.33,1.25,0.05,,1.2570000000000001,1.3,237.36M,242.96M,0.37
2009-09,1.724B,1.724B,825.99M,897.59M,408.48M,110.18M,-3.312M,13.78M,14.42M,0.636M,,518.66M,378.94M,14.42M,13.78M,0.636M,-3.312M,0.636M,376.26M,116.21M,260.05M,57.17M,,,317.22M,262.34M,502.40M,112.36M,390.04M,1.08,0.24,,1.09,1.32,1.06,0.23,,1.069,1.29,239.15M,245.94M,0.33
2009-06,1.820B,1.820B,860.06M,960.19M,429.94M,98.49M,-4.247M,11.29M,12.77M,1.479M,,528.43M,431.76M,12.77M,11.29M,1.479M,-4.247M,1.479M,429.00M,90.29M,338.70M,2.323M,,,341.03M,342.06M,558.74M,118.45M,440.28M,1.41,0.01,,1.4240000000000002,1.42,1.38,0.01,,1.3940000000000001,1.39,240.11M,245.70M,0.33
2009-03,1.725B,1.725B,829.35M,895.62M,436.36M,98.59M,-5.701M,7.495M,4.312M,-3.183M,,534.95M,360.67M,4.312M,7.495M,-3.183M,-5.701M,-3.183M,351.79M,92.61M,259.17M,2.115M,,,261.29M,263.37M,476.62M,117.33M,359.28M,1.08,0.01,,1.097,1.09,1.05,0.01,,1.067,1.06,240.24M,245.89M,0.33
2008-12,1.718B,1.718B,796.27M,921.64M,406.02M,97.31M,9.411M,7.824M,1.651M,-6.173M,,503.33M,418.31M,1.651M,7.824M,-6.173M,9.411M,-6.173M,421.55M,112.13M,309.42M,2.649M,,,312.07M,302.51M,545.83M,116.46M,429.37M,1.28,0.01,,1.252,1.29,1.25,0.01,,1.222,1.26,242.40M,248.31M,0.33
2008-09,1.755B,1.755B,845.82M,908.84M,417.78M,108.00M,-1.736M,,,,,525.78M,383.06M,,,,-1.736M,,379.32M,107.39M,271.93M,10.25M,,,282.18M,273.17M,544.96M,124.01M,420.94M,1.12,0.05,,1.125,1.15,1.08,0.04,,1.085,1.12,243.86M,251.89M,0.285
2008-06,1.868B,1.868B,917.36M,950.22M,440.59M,100.07M,-1.285M,,,,,540.66M,409.57M,,,,-1.285M,,410.22M,112.81M,297.41M,-0.32M,,,297.09M,298.34M,530.62M,121.05M,409.57M,1.22,0.0,,1.224,1.22,1.18,0.0,,1.1840000000000002,1.18,244.27M,251.65M,0.285
2008-03,1.747B,1.747B,853.81M,893.12M,415.52M,96.03M,0.828M,,,,,511.56M,381.56M,,,,0.828M,,382.30M,106.66M,275.64M,0.55M,,,276.18M,275.04M,498.41M,116.85M,381.56M,1.13,0.0,,1.128,1.13,1.09,0.0,,1.088,1.09,244.41M,253.38M,0.285
2007-12,1.706B,1.706B,829.85M,875.92M,421.72M,91.53M,0.707M,,,,,513.24M,362.68M,,,,0.707M,,366.57M,95.68M,270.90M,0.652M,,,271.55M,270.37M,477.89M,115.21M,362.68M,1.11,0.0,,1.1079999999999999,1.11,1.07,0.0,,1.068,1.07,244.64M,253.78M,0.285
2007-09,1.651B,1.651B,807.38M,843.72M,399.52M,100.43M,-4.334M,,,,,499.96M,343.77M,,,,-4.334M,,338.25M,89.14M,249.11M,10.70M,,,259.81M,252.30M,461.54M,117.78M,343.77M,1.03,0.05,,1.043,1.06,0.98,0.04,,0.9925,1.02,245.09M,254.64M,0.245
2007-06,1.631B,1.631B,791.07M,840.09M,412.16M,92.99M,-5.62M,,,,,505.16M,334.93M,,,,-5.62M,,329.65M,89.18M,240.47M,4.34M,,,244.81M,244.57M,447.47M,112.54M,334.93M,0.98,0.02,,0.9967,1.0,0.95,0.02,,0.9661,0.96,244.81M,255.01M,0.245
2007-03,1.576B,1.576B,764.54M,811.38M,406.63M,86.69M,5.872M,,,,,493.32M,318.06M,,,,5.872M,,321.34M,85.80M,235.54M,6.994M,,,242.53M,231.23M,428.01M,109.95M,318.06M,0.96,0.03,,0.9424,0.99,0.92,0.03,,0.9031,0.95,244.98M,255.30M,0.245
2006-12,1.502B,1.502B,708.93M,792.59M,384.08M,194.68M,-2.368M,,,,,578.76M,213.83M,,,,-2.368M,,214.71M,83.66M,131.05M,11.83M,,,142.88M,132.50M,314.91M,101.08M,213.83M,0.53,0.05,,0.5359,0.58,0.51,0.05,,0.5157,0.56,246.34M,255.14M,0.245
2006-09,1.463B,1.463B,709.04M,753.58M,378.25M,82.40M,-4.763M,,,,,460.65M,292.93M,,,,-4.763M,,289.60M,72.72M,216.88M,-42.90M,,,173.98M,220.45M,399.05M,106.12M,292.93M,0.88,-0.17,,0.8944,0.7,0.85,-0.17,,0.8639,0.68,248.43M,255.94M,0.215
2006-06,1.457B,1.457B,719.52M,737.83M,374.56M,76.70M,-2.386M,,,,,451.26M,286.57M,,,,-2.386M,,280.90M,69.83M,211.07M,-4.697M,,,206.37M,212.86M,385.74M,99.18M,286.57M,0.86,-0.02,,0.8673,0.84,0.83,-0.02,,0.837,0.81,245.68M,254.78M,0.215
2006-03,1.424B,1.424B,698.77M,725.44M,346.32M,127.72M,-0.451M,,,,,474.04M,251.41M,,,,-0.451M,,248.14M,84.68M,163.46M,-9.39M,,,154.07M,163.76M,349.28M,97.87M,251.41M,0.66,-0.04,,0.6612,0.62,0.63,-0.04,,0.6312,0.6,248.50M,256.78M,0.215
2005-12,1.394B,1.394B,665.95M,727.90M,349.03M,68.36M,-1.163M,,,,,417.39M,310.51M,,,,-1.163M,,307.26M,83.56M,223.70M,-5.842M,,,217.86M,224.55M,409.67M,99.16M,310.51M,0.9,-0.02,,0.9034,0.88,0.87,-0.02,,0.8733,0.85,247.57M,256.31M,0.215
2005-09,1.379B,1.379B,662.75M,716.73M,376.51M,76.55M,-0.977M,,,,,454.06M,262.67M,,,,-0.977M,,260.68M,139.10M,121.58M,27.52M,,0.00,149.09M,122.16M,361.94M,99.27M,262.67M,0.61,-0.01,,0.6124,0.6,0.59,-0.01,,0.5923,0.58,249.12M,257.79M,0.18
2005-06,1.381B,1.381B,686.76M,694.54M,365.92M,67.00M,-0.984M,,,,,432.92M,261.62M,,,,-0.984M,,257.08M,67.27M,189.80M,-0.133M,,,189.67M,190.53M,356.81M,95.19M,261.62M,0.75,0.0,,0.7529,0.75,0.73,0.0,,0.7328,0.73,252.89M,259.82M,0.18
2005-03,1.366B,1.366B,678.02M,687.51M,366.34M,65.99M,-2.242M,,,,,432.33M,255.18M,,,,-2.242M,,248.39M,61.88M,186.51M,1.641M,,,188.15M,188.19M,353.54M,98.36M,255.18M,0.74,0.01,,0.7466,0.74,0.71,0.01,,0.7164,0.72,254.26M,261.32M,0.18
2004-12,1.288B,1.288B,634.50M,653.87M,341.09M,62.08M,-2.861M,,,,,403.17M,250.70M,,,,-2.861M,,238.71M,44.32M,194.40M,0.953M,,0.367M,195.35M,196.73M,345.38M,94.69M,250.70M,0.77,0.0,,0.7793,0.78,0.74,0.0,,0.749,0.75,249.98M,259.98M,0.18
2004-09,1.253B,1.253B,620.98M,632.30M,320.27M,58.71M,-0.161M,,,,0.00,378.98M,253.32M,,,,-0.161M,,244.57M,61.24M,183.33M,-115.89M,,0.51M,67.44M,183.45M,343.55M,90.23M,253.32M,0.28,0.0,,0.2805,0.27,0.26,0.0,,0.2605,0.26,249.66M,260.07M,0.15
