,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2008-12,322.70M,0.00,322.70M,109.62M,,109.62M,89.14M,56.78M,22.53M,,168.45M,67.29M,16.99M,,685.06M,0.00,16.56M,134.33M,630.45M,,1.44M,,782.77M,-484.32M,298.45M,,187.00M,187.00M,51.61M,,1.242B,,2008-12,61.16M,,,61.16M,125.27M,186.43M,,,122.50M,,122.50M,58.03M,58.03M,,366.96M,,,,8.73M,30.37M,125.88M,,164.97M,531.94M,21.21M,-287.77M,1.124B,,,,-148.11M,709.72M,,2008-12,,Restated
2008-09,292.57M,15.50M,308.08M,193.87M,,193.87M,43.16M,46.78M,30.70M,,120.65M,44.09M,30.81M,,697.49M,,,,,,,,758.88M,-463.71M,295.17M,242.52M,91.56M,334.08M,,,1.561B,,2008-09,64.21M,,,64.21M,117.70M,181.91M,,,,,,67.79M,67.79M,,249.70M,,,,21.35M,,,102.01M,123.36M,373.07M,21.13M,97.21M,1.113B,,,,-44.13M,1.188B,,2008-09,,Restated
2008-06,286.09M,19.78M,305.87M,212.46M,,212.46M,50.29M,42.49M,25.67M,,118.44M,39.80M,30.78M,,707.36M,,,,,,,,830.81M,-477.70M,353.10M,241.73M,96.59M,338.32M,,,1.581B,,2008-06,80.46M,,,80.46M,119.69M,200.14M,,,,,,53.78M,53.78M,,253.92M,,,,20.50M,,,108.58M,129.08M,383.00M,20.98M,119.90M,1.104B,,,,-46.93M,1.198B,,2008-06,,Restated
2008-03,323.08M,31.51M,354.59M,201.91M,,201.91M,39.80M,41.62M,22.27M,,103.69M,73.91M,,,734.09M,,,,,,,,847.84M,-476.32M,371.52M,242.70M,128.22M,370.92M,,,1.611B,,2008-03,87.72M,,,87.72M,113.46M,201.17M,,,,,,47.89M,47.89M,,249.06M,,,,,,,,125.78M,374.85M,21.51M,135.75M,1.127B,,,,-48.81M,1.236B,,2008-03,,Restated
2007-12,562.37M,75.59M,637.96M,189.49M,,189.49M,27.63M,31.27M,21.41M,,80.31M,33.95M,3.216M,,944.93M,0.00,24.58M,198.29M,601.03M,,1.874M,,825.77M,-473.06M,352.71M,69.15M,5.992M,75.14M,,6.28M,1.555B,,2007-12,57.43M,,,57.43M,123.88M,181.31M,,,,,,41.93M,41.93M,,223.23M,,,,,,,,102.88M,326.11M,21.64M,148.12M,1.105B,,,,-46.03M,1.229B,,2007-12,,
2007-09,429.08M,187.18M,616.25M,231.56M,,231.56M,38.34M,53.51M,,,91.85M,31.34M,,,971.01M,,,,,,,,821.85M,-470.14M,351.71M,69.15M,36.62M,105.77M,,,1.596B,,2007-09,64.52M,,,64.52M,113.56M,178.08M,,,,,,38.71M,38.71M,5.262M,222.05M,,,,,,,,104.81M,326.86M,22.23M,167.53M,1.137B,,,,-57.06M,1.269B,,2007-09,,
2007-06,393.22M,187.13M,580.35M,211.46M,,211.46M,8.733M,79.31M,,,88.04M,24.31M,,5.487M,909.65M,,,,,,,,845.18M,-487.58M,357.60M,69.15M,34.61M,103.76M,,,1.708B,,2007-06,55.82M,,,55.82M,109.74M,165.56M,,,,,,41.96M,41.96M,12.81M,220.34M,,,,,,,,99.54M,319.87M,23.57M,228.06M,1.196B,,,,-59.83M,1.388B,,2007-06,,
2007-03,405.59M,76.65M,482.24M,169.41M,,169.41M,6.338M,75.46M,,,81.80M,21.31M,,,754.76M,,,,,,,,886.21M,-524.11M,362.10M,69.15M,37.34M,106.48M,,,1.657B,,2007-03,40.33M,,,40.33M,103.04M,143.36M,,,,,,45.44M,45.44M,,188.80M,,,,,,,,98.66M,287.46M,23.71M,215.16M,1.194B,,,,-63.42M,1.369B,,2007-03,,
2006-12,568.02M,47.77M,615.79M,155.77M,,155.77M,42.15M,50.66M,,,92.81M,21.53M,,3.509M,889.41M,0.00,26.09M,202.52M,648.96M,,5.476M,,883.05M,-516.70M,366.35M,69.15M,35.82M,104.97M,,,1.721B,,2006-12,39.92M,,,39.92M,134.83M,174.75M,,,,,,44.05M,44.05M,40.91M,259.72M,,,,,,,,100.15M,359.87M,23.62M,224.86M,1.179B,,2.886M,-69.20M,-66.31M,1.361B,,2006-12,,
2006-09,755.03M,65.05M,820.08M,231.78M,,231.78M,13.56M,82.72M,,,96.28M,23.57M,,,1.172B,,,,,,,,882.45M,-511.89M,370.56M,69.15M,,69.15M,,,1.976B,,2006-09,63.46M,,,63.46M,130.16M,193.62M,,,261.00M,,261.00M,38.80M,38.80M,28.34M,521.77M,,,,,,,,89.23M,611.00M,23.80M,228.94M,1.187B,,,,-74.67M,1.365B,,2006-09,,
2006-06,336.52M,280.66M,617.18M,276.96M,,276.96M,10.44M,101.06M,,,111.50M,32.26M,,,1.038B,,,,,,,,978.38M,-587.94M,390.44M,69.15M,,69.15M,,,2.036B,,2006-06,82.91M,,,82.91M,128.97M,211.88M,,,285.00M,,285.00M,39.19M,39.19M,18.08M,554.14M,,,,,,,,86.92M,641.07M,24.79M,223.82M,1.226B,,,,-80.29M,1.395B,,2006-06,,
2006-03,322.78M,321.23M,644.01M,259.20M,,259.20M,11.21M,104.45M,,,115.66M,31.80M,,,1.051B,,,,,,,,1.035B,-621.48M,413.73M,69.15M,,69.15M,,,1.896B,,2006-03,68.84M,,,68.84M,112.48M,181.33M,,,285.00M,,285.00M,38.45M,38.45M,9.199M,513.97M,,,,,,,,77.69M,591.66M,24.77M,141.42M,1.218B,,,,-79.82M,1.305B,,2006-03,,
2005-12,340.70M,354.04M,694.74M,232.46M,,232.46M,37.03M,105.68M,,,142.71M,25.03M,,,1.095B,0.00,37.00M,267.16M,735.53M,,19.19M,,1.059B,-637.58M,421.29M,69.15M,,69.15M,,,1.860B,,2005-12,48.01M,,,48.01M,129.94M,177.96M,2.547M,300.28M,302.83M,,302.83M,31.48M,31.48M,3.234M,515.50M,1.819M,,1.819M,,,,99.75M,101.57M,617.07M,24.63M,96.50M,1.222B,,,,-100.45M,1.243B,,2005-12,,
2005-09,230.34M,91.29M,321.64M,269.28M,,269.28M,79.95M,142.24M,,,222.19M,32.68M,,,845.78M,,,,,,,,1.327B,-813.12M,513.95M,,116.18M,116.18M,,,1.761B,,2005-09,89.75M,,,89.75M,135.66M,225.41M,2.657M,0.294M,2.951M,,2.951M,29.03M,29.03M,7.891M,265.28M,378.51M,,378.51M,,,,87.28M,465.79M,731.08M,24.61M,268.30M,801.57M,,,,-65.01M,1.029B,,2005-09,,
2005-06,199.06M,73.22M,272.28M,235.28M,,235.28M,125.84M,131.78M,,,257.62M,34.12M,,,799.29M,,,,,,,,1.327B,-798.50M,528.11M,,116.18M,116.18M,,,1.765B,,2005-06,70.35M,,,70.35M,112.48M,182.83M,2.705M,0.30M,3.005M,,3.005M,34.20M,34.20M,3.242M,223.28M,378.62M,,378.62M,,,,99.31M,477.94M,701.22M,24.58M,303.68M,798.55M,,,,-63.12M,1.064B,,2005-06,,
2005-03,190.01M,47.46M,237.47M,218.64M,,218.64M,140.28M,116.30M,,,256.58M,40.41M,,,753.09M,,,,,,,,1.374B,-821.87M,552.49M,,116.18M,116.18M,,,1.816B,,2005-03,72.30M,,,72.30M,122.44M,194.74M,2.80M,0.31M,3.11M,,3.11M,29.67M,29.67M,6.456M,233.97M,378.81M,,378.81M,,,,107.07M,485.88M,719.86M,24.46M,349.15M,788.75M,,,,-66.60M,1.096B,,2005-03,,
2004-12,209.15M,75.43M,284.58M,169.71M,,169.71M,113.89M,101.03M,,,214.92M,27.51M,,109.12M,805.83M,0.00,46.67M,280.87M,778.04M,,27.04M,,1.133B,-664.98M,467.65M,,115.58M,115.58M,,,1.923B,,2004-12,45.52M,,,45.52M,167.66M,213.18M,4.826M,0.321M,5.147M,,5.147M,29.34M,29.34M,28.90M,276.56M,398.93M,,398.93M,,,,113.51M,512.44M,789.00M,24.28M,401.72M,768.88M,,,,-61.31M,1.134B,,2004-12,,
2004-09,264.02M,86.22M,350.23M,255.52M,,255.52M,140.28M,151.78M,,,292.06M,33.91M,,,931.73M,,,,,,,,1.353B,-806.24M,546.83M,,116.18M,116.18M,,,1.969B,,2004-09,85.32M,,,85.32M,163.82M,249.13M,7.081M,0.302M,7.383M,,7.383M,36.62M,36.62M,19.01M,312.15M,398.86M,,398.86M,,,,123.81M,522.67M,834.82M,24.27M,398.37M,767.68M,,,,-56.49M,1.134B,,2004-09,,
2004-06,224.34M,104.85M,329.18M,295.45M,,295.45M,134.22M,149.69M,,,283.91M,,,34.60M,943.15M,,,,,,,,1.313B,-774.91M,538.47M,,116.18M,116.18M,,,1.968B,,2004-06,130.94M,,,130.94M,154.13M,285.07M,7.217M,0.308M,7.525M,,7.525M,34.70M,34.70M,13.18M,340.47M,407.49M,,407.49M,,,,130.55M,538.04M,878.51M,27.60M,357.22M,763.67M,,,,-59.17M,1.089B,,2004-06,,
2004-03,222.97M,67.28M,290.25M,255.25M,,255.25M,128.26M,119.55M,,,247.81M,33.22M,,,826.53M,,,,,,,,1.299B,-756.94M,542.17M,,116.23M,116.23M,,,1.863B,,2004-03,118.36M,,,118.36M,141.72M,260.09M,7.521M,0.321M,7.842M,,7.842M,29.44M,29.44M,7.313M,304.68M,448.58M,,448.58M,,,,93.48M,542.06M,846.74M,27.58M,276.73M,1.321B,559.03M,,,-49.44M,1.017B,,2004-03,,
2003-12,228.44M,60.97M,289.42M,229.53M,,229.53M,109.54M,105.40M,,,214.93M,35.39M,,,769.28M,0.00,50.50M,328.47M,894.92M,,31.36M,,1.305B,-760.88M,544.37M,,175.10M,175.10M,,,1.785B,,2003-12,74.10M,,,74.10M,173.74M,247.84M,7.272M,0.31M,7.582M,,7.582M,25.39M,25.39M,,280.82M,407.66M,,407.66M,,,,147.32M,554.98M,835.79M,27.33M,236.48M,1.295B,557.06M,,,-51.85M,949.57M,,2003-12,,
2003-09,187.00M,52.20M,239.21M,225.37M,,225.37M,106.12M,114.69M,,,220.81M,30.82M,,,716.20M,,,,,,,,1.360B,-772.52M,587.62M,,191.84M,191.84M,,,1.799B,,2003-09,86.34M,,,86.34M,175.34M,261.68M,6.986M,0.298M,7.284M,,7.284M,25.49M,25.49M,6.628M,301.08M,407.66M,,407.66M,,,,154.52M,562.18M,863.26M,27.25M,247.98M,1.283B,557.06M,,,-65.46M,935.29M,,2003-09,,
2003-06,237.90M,53.67M,291.58M,220.58M,,220.58M,120.93M,111.63M,1.747M,,234.31M,35.00M,,,781.47M,,,,,,,,1.367B,-742.57M,624.26M,,190.43M,190.43M,,,1.836B,,2003-06,89.79M,,,89.79M,150.22M,240.01M,6.745M,1.408M,8.153M,,8.153M,29.15M,29.15M,7.10M,284.41M,449.89M,,449.89M,,,,152.81M,602.70M,887.11M,26.72M,301.49M,1.238B,557.06M,,,-59.78M,949.19M,,2003-06,,
2003-03,219.88M,58.60M,278.48M,221.83M,,221.83M,135.75M,114.80M,1.468M,,252.02M,32.53M,,,784.86M,,,,,,,,1.378B,-727.01M,651.11M,,176.76M,176.76M,,,1.842B,,2003-03,83.93M,,,83.93M,151.42M,235.35M,6.718M,1.386M,8.104M,,8.104M,28.55M,28.55M,8.162M,280.16M,450.24M,,450.24M,,,,139.33M,589.57M,869.73M,26.45M,353.98M,1.214B,557.06M,,,-65.34M,972.23M,,2003-03,,
2002-12,251.52M,73.83M,325.35M,174.84M,4.816M,179.65M,165.15M,106.16M,8.245M,,279.55M,24.72M,,,809.27M,0.00,73.39M,353.64M,952.83M,,40.62M,,1.420B,-735.21M,685.27M,,189.91M,189.91M,,,1.900B,,2002-12,63.33M,,,63.33M,170.77M,234.09M,6.704M,1.365M,8.069M,,8.069M,27.62M,27.62M,9.587M,279.36M,450.56M,,450.56M,,,,141.75M,592.31M,871.68M,26.23M,430.48M,1.195B,557.06M,,,-66.42M,1.028B,,2002-12,,
2002-09,289.36M,31.51M,320.87M,223.28M,4.718M,228.00M,,121.74M,8.467M,196.36M,326.58M,29.06M,116.15M,,1.021B,,,,,,,,1.441B,-703.97M,737.09M,,118.65M,118.65M,,164.40M,2.338B,,2002-09,84.22M,,,84.22M,185.17M,269.39M,6.949M,1.338M,8.287M,,8.287M,36.55M,36.55M,6.855M,321.09M,450.87M,,450.87M,47.64M,,,,498.51M,819.60M,22.88M,854.24M,648.24M,,,,-7.092M,1.518B,,2002-09,,
2002-06,312.28M,28.95M,341.23M,207.17M,9.318M,216.48M,,137.52M,7.033M,197.90M,342.45M,27.63M,116.15M,,1.044B,,,,,,,,1.460B,-674.67M,785.06M,,194.97M,194.97M,,116.78M,2.459B,,2002-06,69.86M,,,69.86M,153.01M,222.86M,7.097M,1.325M,8.422M,,8.422M,46.81M,46.81M,9.107M,287.21M,451.25M,,451.25M,,,,38.94M,490.19M,777.40M,22.88M,1.021B,648.00M,,,,-10.80M,1.681B,,2002-06,,
2002-03,211.35M,187.44M,398.79M,175.81M,12.92M,188.73M,,150.54M,8.89M,213.81M,373.23M,24.62M,115.07M,,1.100B,,,,,,,,1.449B,-636.12M,812.60M,,194.12M,194.12M,,87.17M,2.498B,,2002-03,61.33M,,,61.33M,143.61M,204.95M,6.486M,1.279M,7.765M,,7.765M,52.02M,52.02M,11.34M,276.08M,451.32M,,451.32M,,,,42.33M,493.65M,769.73M,22.85M,1.072B,642.84M,,,,-8.893M,1.729B,,2002-03,,
2001-12,317.59M,50.10M,367.69M,169.63M,,169.63M,,132.10M,12.37M,262.52M,406.99M,24.70M,141.01M,97.00M,1.207B,0.00,73.14M,348.71M,918.16M,,104.52M,,1.445B,-608.96M,835.57M,,276.95M,276.95M,,4.313M,2.542B,,2001-12,59.76M,,,59.76M,175.04M,234.80M,6.557M,1.263M,7.82M,,7.82M,52.22M,52.22M,1.292M,296.13M,451.68M,,451.68M,30.19M,,,,481.88M,778.01M,22.64M,1.149B,600.54M,,,,-7.742M,1.764B,,2001-12,,
2001-09,112.76M,49.22M,161.98M,187.92M,,187.92M,293.83M,119.52M,,,413.35M,98.88M,73.06M,,935.18M,,,,,,,,1.423B,-595.94M,826.82M,,,,,,2.006B,,2001-09,64.58M,,,64.58M,168.14M,232.72M,7.11M,0.277M,7.387M,,7.387M,54.64M,54.64M,,294.74M,8.01M,,8.01M,22.42M,,,,30.43M,325.17M,21.99M,1.262B,394.63M,,,,2.405M,1.681B,,2001-09,,
2001-06,144.04M,56.45M,200.48M,235.08M,,235.08M,341.16M,133.91M,0.307M,,475.38M,37.55M,73.06M,,1.022B,,,,,,,,1.406B,-564.73M,841.33M,,,,,,2.091B,,2001-06,71.32M,,,71.32M,136.62M,207.94M,6.851M,0.266M,7.117M,,7.117M,64.42M,64.42M,4.291M,283.77M,7.957M,,7.957M,21.98M,,,,29.94M,313.71M,21.88M,1.365B,388.69M,,,,1.56M,1.777B,,2001-06,,
2001-03,171.46M,23.29M,194.74M,343.79M,,343.79M,363.71M,156.19M,0.307M,,520.21M,46.23M,73.06M,,1.178B,,,,,,,,1.331B,-531.85M,798.85M,,,,,,2.219B,,2001-03,120.72M,,,120.72M,67.56M,188.28M,6.931M,0.225M,7.156M,,7.156M,79.08M,79.08M,107.33M,381.85M,8.062M,,8.062M,20.94M,,,,29.01M,410.85M,21.77M,1.405B,378.68M,,,,2.138M,1.808B,,2001-03,,
2000-12,242.42M,60.15M,302.58M,420.04M,,420.04M,318.79M,159.12M,34.65M,,512.56M,48.70M,93.96M,,1.378B,0.00,54.77M,293.12M,831.54M,,75.52M,,1.255B,-521.17M,733.79M,,,,,,2.356B,,2000-12,153.90M,,,153.90M,245.45M,399.35M,7.389M,0.169M,7.558M,,7.558M,183.46M,183.46M,28.91M,619.29M,8.352M,,8.352M,21.26M,,,,29.61M,648.90M,21.57M,1.351B,334.24M,,,,,1.707B,,2000-12,,
2000-09,227.09M,98.78M,325.88M,538.21M,,538.21M,296.35M,176.51M,,,472.86M,42.39M,49.72M,,1.429B,,,,,,,,1.175B,-499.94M,675.06M,,,,,,2.321B,,2000-09,189.13M,,,189.13M,245.36M,434.48M,7.801M,0.102M,7.903M,,7.903M,88.06M,88.06M,32.55M,563.00M,8.63M,,8.63M,19.78M,,,,28.41M,591.41M,21.90M,1.298B,409.55M,,,,,1.729B,,2000-09,,
2000-06,163.25M,133.76M,297.01M,485.91M,,485.91M,223.49M,188.24M,,,411.73M,36.38M,49.72M,,1.281B,,,,,,,,1.066B,-477.68M,588.29M,,,,,,2.032B,,2000-06,186.67M,,,186.67M,228.94M,415.61M,8.089M,4.595M,12.68M,,12.68M,78.75M,78.75M,11.58M,518.62M,8.729M,,8.729M,13.91M,,,,22.64M,541.26M,21.68M,1.144B,325.26M,,,,,1.491B,,2000-06,,
2000-03,130.20M,112.91M,243.10M,428.25M,,428.25M,160.25M,148.04M,,,308.28M,36.37M,49.72M,,1.066B,,,,,,,,1.028B,-507.27M,520.34M,,,,,,1.753B,,2000-03,159.92M,,,159.92M,160.35M,320.27M,8.055M,4.623M,12.68M,,12.68M,80.09M,80.09M,22.91M,435.95M,8.733M,,8.733M,13.91M,,,,22.64M,458.59M,21.59M,1.007B,265.82M,,,,,1.294B,,2000-03,,
1999-12,181.30M,66.30M,247.60M,296.20M,,296.20M,,,,,268.70M,,,95.20M,907.70M,,,,,,,,981.90M,-484.20M,497.70M,,,,,,1.568B,,1999-12,104.30M,,,104.30M,,104.30M,,,12.90M,,12.90M,,,275.10M,392.30M,8.90M,,8.90M,13.90M,,,0.10M,22.90M,415.20M,21.30M,897.50M,234.20M,,,,,1.153B,,1999-12,,
1999-09,121.20M,102.62M,223.83M,314.95M,,314.95M,124.46M,158.17M,,,282.63M,34.12M,49.26M,,904.80M,,,,,,,,945.83M,-476.75M,469.08M,,,,,,1.534B,,1999-09,119.81M,,,119.81M,165.34M,285.15M,8.012M,4.729M,12.74M,,12.74M,66.98M,66.98M,2.048M,366.92M,8.841M,,8.841M,17.55M,,,,26.40M,393.32M,21.40M,822.31M,297.36M,,,,,1.141B,,1999-09,,
1999-06,143.28M,103.32M,246.60M,284.81M,,284.81M,123.80M,133.35M,,,257.16M,36.93M,49.26M,,874.76M,,,,,,,,905.88M,-457.42M,448.47M,,,,,,1.451B,,1999-06,99.97M,,,99.97M,149.79M,249.76M,7.065M,0.418M,7.483M,,7.483M,63.16M,63.16M,5.905M,326.31M,12.98M,,12.98M,17.55M,,,,30.53M,356.84M,21.33M,759.65M,312.68M,,,,,1.094B,,1999-06,,
1999-03,195.76M,11.80M,207.56M,260.06M,,260.06M,150.98M,91.36M,,,242.34M,27.91M,49.26M,,787.14M,,,,,,,,881.86M,-444.12M,437.74M,,,,,,1.349B,,1999-03,65.80M,,,65.80M,113.08M,178.88M,7.077M,0.94M,8.017M,,8.017M,60.94M,60.94M,7.36M,255.20M,12.98M,,12.98M,17.55M,,,,30.54M,285.74M,10.62M,723.84M,329.02M,,,,,1.063B,,1999-03,,
1998-12,185.50M,,185.50M,219.30M,,219.30M,,,,,266.30M,,,88.40M,759.50M,,,,,,,,857.60M,-422.60M,435.00M,,,,,,1.313B,,1998-12,45.00M,,,45.00M,,45.00M,,,8.70M,,8.70M,,,202.00M,255.70M,13.20M,,13.20M,17.60M,,,-0.10M,30.70M,286.40M,10.50M,705.90M,310.10M,,,,,1.026B,,1998-12,,
1998-09,131.26M,21.48M,152.74M,281.10M,,281.10M,188.29M,108.36M,,,296.65M,24.62M,40.53M,,795.64M,,,,,,,,838.64M,-402.39M,436.25M,,,,,,1.332B,,1998-09,60.48M,,,60.48M,129.35M,189.83M,6.313M,1.636M,7.949M,,7.949M,64.27M,64.27M,3.407M,265.46M,12.72M,,12.72M,23.43M,,,,36.14M,301.60M,10.51M,694.01M,326.18M,,,,,1.031B,,1998-09,,
1998-06,67.31M,23.17M,90.48M,354.96M,,354.96M,201.96M,146.54M,,,348.50M,27.85M,,40.53M,862.33M,,,,,,,,798.70M,-385.00M,413.71M,,,,,,1.371B,,1998-06,78.03M,,,78.03M,149.23M,227.26M,6.133M,1.601M,7.734M,,7.734M,58.29M,58.29M,14.41M,307.70M,13.05M,,13.05M,23.43M,,,,36.48M,344.18M,10.50M,692.73M,323.11M,,,,,1.026B,,1998-06,,
