,NetIncome,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-06,322.71M,,20.51M,,,93.98M,93.98M,-16.87M,,,2.684M,,,,143.46M,-205.01M,,-61.56M,361.45M,-75.84M,0.317M,-75.52M,-108.73M,,-24.35M,-208.60M,,,,1.138M,-205.84M,-204.70M,,-92.29M,2.181M,-294.81M,773.99M,-141.96M,,1.061B,1.138M,,,-205.84M
2005-03,354.67M,,31.16M,,,91.29M,91.29M,-16.20M,,,-12.85M,,,,2.802M,137.07M,,139.87M,587.94M,-71.26M,0.294M,-70.96M,-44.14M,,-8.176M,-123.28M,,,,25.26M,,25.26M,,-64.08M,-2.181M,-41.00M,350.33M,423.66M,,773.99M,25.26M,,,
2004-12,341.42M,,8.943M,,,91.50M,91.50M,59.59M,,,26.21M,,,,832.63M,-411.57M,,-398.23M,129.44M,-87.92M,0.281M,-87.64M,0.00,,-13.91M,-101.54M,,,0.00,21.86M,,21.86M,,56.00M,-84.86M,-6.997M,909.87M,20.90M,,779.05M,21.86M,,,
2004-09,415.39M,,34.06M,,,98.13M,98.13M,-20.30M,,,-2.017M,,,,-320.22M,318.36M,,-1.853M,523.40M,-86.48M,0.357M,-86.13M,-169.65M,,-15.06M,-270.83M,,,20.00M,14.22M,,14.22M,,-92.46M,61.76M,3.526M,502.05M,256.10M,,909.87M,14.22M,,,
2004-06,251.44M,,28.69M,,,97.38M,97.38M,-28.20M,,,4.551M,,,,-225.73M,42.34M,,-183.40M,170.46M,-45.34M,0.801M,-44.53M,,,-13.86M,-58.40M,,,,16.30M,,16.30M,,-16.65M,-7.576M,-7.929M,397.91M,104.14M,,502.05M,16.30M,,,
2004-03,113.24M,,9.201M,,,96.30M,96.30M,-4.40M,,,3.034M,,,,-286.68M,270.76M,,-15.92M,201.45M,-66.19M,1.655M,-64.53M,,,-39.63M,-104.16M,,,,16.26M,,16.26M,,-16.57M,-49.39M,-49.70M,350.33M,47.58M,,397.91M,16.26M,,,
2003-12,20.55M,,2.767M,,,90.21M,90.21M,74.30M,,,-29.34M,,,,64.39M,-118.64M,,-31.52M,126.97M,-68.15M,,-56.52M,0.00,,-3.485M,-60.00M,,,0.00,14.43M,,14.43M,,-15.72M,-0.2811M,-1.571M,284.94M,65.39M,,350.33M,14.43M,,,
2003-09,16.02M,,6.198M,,,90.86M,90.86M,,,,0.5886M,,,,-15.81M,63.02M,,47.21M,160.88M,-53.18M,,-53.18M,0.00,,-16.18M,-69.36M,,,25.00M,3.404M,,3.404M,,-15.66M,-1.602M,11.14M,182.28M,102.66M,,284.94M,3.404M,,,
2003-06,8.425M,,4.339M,,,91.58M,91.58M,-6.10M,,,11.65M,,,,-0.6233M,-30.30M,,-30.92M,78.97M,-51.78M,,-51.78M,0.00,,-2.093M,-53.87M,,,0.00,0.9475M,,0.9475M,,-15.64M,-9.840M,-24.53M,181.71M,0.5658M,,182.28M,0.9475M,,,
2003-03,17.78M,,6.238M,,,91.46M,91.46M,6.10M,,,-3.874M,,,,-47.96M,58.05M,,10.10M,127.80M,-42.30M,,-42.30M,-34.94M,,-7.109M,-84.35M,,,-16.00M,0.1821M,,0.1821M,,-15.64M,-49.29M,-80.75M,219.00M,-37.29M,,181.71M,0.1821M,,,
2002-12,42.89M,,13.25M,,,78.92M,78.92M,,,,49.24M,,,,176.18M,-206.51M,,-130.49M,85.00M,-101.83M,,-101.38M,-621.62M,,-0.1195M,-723.13M,,,350.00M,2.112M,,2.112M,,-14.85M,-3.131M,334.13M,523.01M,-304.00M,,219.00M,2.112M,,,
2002-09,39.18M,,12.01M,,,76.17M,76.17M,,,,3.773M,,,,-64.58M,42.02M,,-22.56M,108.57M,-65.28M,,-65.28M,-31.07M,,-2.048M,-98.39M,,,0.00,0.1955M,,0.1955M,,-14.85M,-10.09M,-24.75M,531.45M,-14.57M,,523.01M,0.1955M,,,
2002-06,59.75M,,24.47M,,,76.30M,76.30M,,,,-5.511M,,,,-83.70M,76.45M,,-7.251M,147.76M,-28.39M,,-28.39M,,,-3.405M,-31.80M,,,-1.90M,6.558M,,6.558M,,-14.85M,-24.40M,-34.60M,456.22M,81.36M,,531.45M,6.558M,,,
2002-03,20.26M,,29.75M,,,75.72M,75.72M,,,,-7.780M,,,,-27.90M,65.85M,,37.95M,155.90M,-48.10M,,-48.10M,,,,-48.10M,,,,9.966M,,9.966M,,-14.83M,-109.07M,-113.93M,462.35M,-6.132M,,456.22M,9.966M,,,
2001-12,26.47M,,10.31M,,,69.44M,69.44M,,,,,,,,38.01M,-87.80M,-25.00M,-35.70M,81.52M,-66.32M,6.925M,-59.40M,-6.924M,,,-66.32M,,,,2.018M,,2.018M,,-13.23M,-12.78M,-23.99M,471.14M,-8.793M,,462.35M,2.018M,,,
2001-09,20.46M,,24.92M,,,75.82M,75.82M,,,,,,,,19.67M,38.37M,-4.950M,53.09M,174.30M,-68.70M,0.00,-68.70M,0.00,,,-68.70M,,,,0.9069M,,0.9069M,,-13.21M,-7.326M,-19.63M,385.17M,85.97M,,471.14M,0.9069M,,,
2001-06,33.29M,,16.44M,,,74.71M,74.71M,,,,,,,,-26.70M,44.75M,6.974M,25.03M,149.47M,-64.11M,0.00,-64.11M,0.00,,,-64.11M,,,,7.042M,,7.042M,,-13.23M,-25.99M,-32.19M,331.99M,53.18M,,385.17M,7.042M,,,
2001-03,32.74M,,31.14M,,,69.09M,69.09M,,,,,,,,-30.99M,-20.50M,8.344M,-43.15M,89.82M,-62.01M,15.72M,-46.29M,-114.98M,,,-161.27M,,,,0.4435M,,0.4435M,,-13.19M,-74.39M,-87.14M,490.58M,-158.58M,,331.99M,0.4435M,,,
2000-12,79.82M,,40.80M,,,57.09M,57.09M,,,,23.97M,,,,-5.465M,-61.69M,86.65M,15.02M,236.10M,-89.46M,,-84.33M,,,,-84.33M,,,174.14M,3.913M,-12.61M,-8.699M,,-11.62M,-119.88M,33.93M,304.88M,185.70M,,490.58M,3.913M,,,-12.61M
2000-09,67.79M,,35.65M,,,67.39M,67.39M,,,,-14.23M,,,,66.17M,7.226M,,73.40M,230.00M,-86.64M,,-86.64M,,,,-86.64M,,,-104.14M,0.1344M,-122.18M,-122.05M,,75.96M,,-150.22M,311.73M,-6.858M,,304.88M,0.1344M,,,-122.18M
2000-06,81.80M,,36.79M,,,66.33M,66.33M,,,,-7.741M,,,,-13.25M,1.147M,-5.398M,-17.50M,159.68M,-120.85M,,-120.85M,,,,-120.85M,,,,0.3829M,-161.18M,-160.79M,,-99.76M,54.01M,-206.55M,479.45M,-167.71M,,311.73M,0.3829M,,,-161.18M
2000-03,81.49M,,38.04M,,,68.55M,68.55M,,,,,,,,-47.46M,48.95M,5.398M,6.891M,194.97M,-118.46M,,-118.46M,,,,-118.46M,,,,0.3067M,-102.76M,-102.45M,,-12.79M,-54.01M,-169.25M,572.19M,-92.74M,,479.45M,0.3067M,,,-102.76M
1999-12,97.60M,,35.20M,,,65.00M,65.00M,,,,20.60M,,,,21.80M,-22.60M,,-67.50M,161.50M,-166.40M,,-166.00M,,,,-166.00M,,,0.00,2.70M,-6.00M,-3.30M,,-11.40M,-7.70M,-22.40M,889.30M,-26.90M,,572.20M,2.70M,,,-6.00M
1999-09,68.20M,,17.70M,,,65.70M,65.70M,,,,4.10M,,,,-28.90M,65.10M,,36.20M,191.90M,-86.30M,,-86.30M,,,,-86.30M,,,0.00,0.40M,-3.90M,-3.50M,,-11.30M,-9.80M,-24.60M,0.00,81.00M,,889.30M,0.40M,,,-3.90M
1999-06,50.60M,,17.90M,,,64.20M,64.20M,,,,-23.70M,,,,-10.30M,65.20M,,54.90M,163.90M,-76.40M,,-76.40M,,,,-76.40M,,,0.00,1.90M,-0.70M,1.20M,,-11.40M,-17.90M,-28.10M,0.00,59.40M,,0.00,1.90M,,,-0.70M
1999-03,28.20M,,14.90M,,,61.70M,61.70M,,,,-1.10M,,,,17.40M,-33.60M,,-16.20M,87.50M,-45.60M,,-45.60M,,,,-45.60M,,,175.00M,0.20M,-4.20M,-4.00M,,-11.30M,-51.70M,108.00M,308.70M,149.90M,,0.00,0.20M,,,-4.20M
1998-12,61.20M,,30.70M,,,74.60M,74.60M,,,,-0.20M,,,,29.20M,20.30M,,35.90M,201.20M,-139.50M,,-136.60M,,,,-136.60M,,,0.00,3.10M,-12.20M,-9.10M,,-10.50M,-10.60M,-30.20M,0.00,34.40M,,308.70M,3.10M,,,-12.20M
1998-09,65.10M,,23.60M,,,59.80M,59.80M,,,,9.00M,,,,-13.90M,30.30M,,16.40M,173.90M,-150.40M,,-150.40M,,,,-150.40M,,,0.00,0.20M,-19.80M,-19.60M,,-10.50M,-10.40M,-40.50M,0.00,-17.00M,,0.00,0.20M,,,-19.80M
1998-06,72.30M,,24.90M,,,59.80M,59.80M,,,,-11.00M,,,,1.50M,-16.20M,,-14.70M,131.30M,-121.70M,,-121.70M,,,,-121.70M,,,47.50M,0.70M,,0.70M,,-10.50M,-25.40M,12.30M,0.00,21.90M,,0.00,0.70M,,,
