,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2006-09,308.67M,32.69M,341.36M,58.58M,,58.58M,19.90M,17.80M,,,437.63M,,,,,,97.81M,-77.08M,20.74M,218.81M,153.11M,371.93M,,182.82M,21.42M,596.90M,1.035B,53.81M,,53.81M,43.24M,97.04M,,,,,,7.295M,104.34M,523.72M,,523.72M,42.99M,42.99M,20.71M,13.47M,12.26M,592.43M,696.77M,0.329M,-1.275B,2.066B,486.25M,,,,12.24M,317.05M
2006-06,118.77M,72.72M,191.49M,53.02M,,53.02M,21.05M,21.28M,,,286.85M,,,,,,97.08M,-77.08M,20.00M,213.85M,149.27M,363.12M,,143.01M,15.20M,541.32M,828.18M,56.40M,,56.40M,36.88M,93.28M,,,,,,10.45M,103.73M,223.26M,,223.26M,41.88M,41.88M,25.63M,13.47M,11.71M,290.32M,394.05M,0.327M,-1.323B,2.076B,356.31M,,,,11.87M,408.50M
2006-03,81.91M,85.55M,167.45M,33.82M,,33.82M,21.57M,20.99M,,,243.83M,,,,,,95.11M,-77.08M,18.03M,201.34M,146.46M,347.80M,,145.78M,17.98M,529.60M,773.43M,49.39M,,49.39M,20.26M,69.65M,,,,,,18.60M,88.25M,223.22M,,223.22M,41.17M,41.17M,24.20M,13.47M,11.17M,289.03M,377.28M,0.325M,-1.336B,2.067B,356.24M,,,,-3.475M,371.95M
2005-12,80.34M,72.74M,153.09M,30.04M,,30.04M,18.24M,22.31M,,,223.68M,,95.35M,,,,95.35M,-77.08M,18.27M,,348.09M,348.09M,,146.55M,17.43M,530.35M,754.03M,37.85M,,37.85M,19.87M,57.72M,,,,,,13.29M,71.02M,223.55M,,223.55M,42.38M,42.38M,23.66M,13.47M,10.89M,290.28M,361.30M,0.323M,-1.335B,2.069B,350.63M,,,,-15.22M,369.07M
2005-09,100.09M,52.88M,152.97M,36.20M,,36.20M,19.06M,22.61M,,,230.84M,,,,,,87.37M,-69.67M,17.71M,,361.37M,361.37M,,148.36M,17.55M,544.99M,775.83M,48.92M,,48.92M,25.10M,74.02M,,,,,,14.07M,88.09M,223.56M,,223.56M,44.58M,44.58M,23.92M,13.47M,3.091M,284.71M,372.80M,0.321M,-1.338B,2.077B,350.63M,,,,-9.314M,379.12M
2005-06,118.27M,137.60M,255.87M,31.81M,,31.81M,8.075M,22.04M,,,317.80M,,,,,,87.30M,-69.67M,17.63M,,214.40M,214.40M,,,17.43M,249.46M,567.26M,57.18M,,57.18M,20.61M,77.78M,,,,,,15.40M,93.18M,224.25M,,224.25M,21.86M,21.86M,4.476M,13.47M,0.844M,260.42M,353.60M,0.32M,-1.509B,2.074B,350.63M,,,,-5.39M,209.18M
2005-03,100.07M,141.97M,242.04M,25.92M,,25.92M,6.419M,23.86M,,,298.23M,,,,,,87.34M,-69.67M,17.67M,,226.74M,226.74M,,,17.16M,261.57M,559.80M,58.90M,,58.90M,19.62M,78.52M,,,,,,12.00M,90.52M,223.58M,,223.58M,22.62M,22.62M,4.459M,13.47M,1.573M,261.24M,351.76M,0.319M,-1.521B,2.072B,350.63M,,,,3.596M,203.58M
2004-12,101.27M,122.81M,224.08M,18.31M,,18.31M,6.578M,23.57M,,,272.55M,,85.50M,,,,85.50M,-69.67M,15.83M,,237.77M,237.77M,,,15.94M,269.54M,542.08M,40.61M,,40.61M,23.65M,64.26M,,,,,,10.12M,74.38M,224.42M,,224.42M,25.67M,25.67M,4.314M,13.47M,0.692M,264.25M,338.62M,0.317M,-1.525B,2.064B,350.63M,,,,10.68M,199.14M
2004-09,77.28M,144.38M,221.66M,24.15M,,24.15M,7.223M,25.97M,,,279.00M,,,,,,74.92M,-59.02M,15.90M,,226.77M,226.77M,,,16.19M,258.85M,537.85M,50.64M,,50.64M,25.10M,75.74M,,,,,,10.91M,86.65M,224.57M,,224.57M,25.31M,25.31M,4.471M,13.47M,0.632M,263.98M,350.63M,0.316M,-1.530B,2.063B,350.63M,,,,0.061M,182.75M
2004-06,156.31M,206.36M,362.67M,23.73M,,23.73M,6.156M,23.50M,,,416.06M,,,,,,74.49M,-59.02M,15.47M,,46.41M,46.41M,,,16.67M,78.56M,494.61M,49.38M,,49.38M,22.41M,71.79M,,,,,,12.21M,84.00M,223.35M,,223.35M,,,0.691M,13.47M,2.029M,238.85M,322.85M,0.315M,-1.540B,2.063B,350.63M,,,,-1.515M,171.07M
2004-03,176.09M,79.58M,255.67M,19.05M,,19.05M,3.435M,22.38M,,,300.54M,,,,,,74.71M,-59.02M,15.69M,,15.59M,15.59M,,,21.38M,52.67M,353.21M,38.02M,,38.02M,18.12M,56.14M,,,,,,3.127M,59.27M,125.00M,,125.00M,,,,13.47M,0.435M,138.90M,198.17M,0.307M,-1.551B,2.057B,350.63M,,,,-0.468M,155.04M
2003-12,93.73M,151.74M,245.47M,10.78M,,10.78M,4.778M,22.48M,,,283.51M,,75.54M,,,,75.54M,-59.02M,16.52M,8.779M,7.053M,15.83M,17.35M,3.921M,0.64M,54.27M,337.78M,25.06M,,25.06M,21.03M,46.09M,,,,,,3.522M,49.61M,124.52M,,124.52M,0.00,0.00,,13.47M,1.069M,139.06M,188.68M,0.306M,-1.555B,2.056B,350.63M,,,,0.674M,149.11M
2003-09,115.30M,148.03M,263.33M,18.81M,,18.81M,6.737M,20.75M,,,309.62M,,,,,,66.72M,-50.11M,16.60M,,13.74M,13.74M,,,22.31M,52.65M,362.28M,38.47M,,38.47M,22.97M,61.44M,,,,,,3.10M,64.54M,125.00M,,125.00M,,,,13.47M,0.545M,139.02M,203.55M,0.306M,-1.558B,2.056B,338.41M,,,,-1.04M,158.72M
2003-06,69.29M,62.99M,132.28M,23.56M,,23.56M,8.158M,16.87M,,,180.88M,,,,,,66.22M,-50.11M,16.11M,,10.52M,10.52M,,,21.51M,48.13M,229.01M,46.86M,,46.86M,23.30M,70.16M,,,,,,2.134M,72.29M,,,,,,,13.47M,0.276M,13.75M,86.04M,0.303M,-1.566B,2.049B,338.41M,,0.116M,-1.619M,-1.503M,142.97M
2003-03,52.56M,70.19M,122.75M,16.11M,,16.11M,6.243M,17.02M,,,162.13M,,,,,,67.80M,-50.11M,17.69M,,10.52M,10.52M,,,17.92M,46.13M,208.26M,36.02M,,36.02M,24.98M,61.00M,,,,,,2.833M,63.84M,,,,,,,13.47M,0.422M,13.89M,77.73M,1.886M,-1.574B,2.041B,338.41M,,,,,130.53M
2002-12,67.18M,64.15M,131.34M,13.64M,,13.64M,6.348M,18.25M,,,169.57M,,71.52M,,,,71.52M,-50.11M,21.41M,,10.52M,10.52M,,,9.664M,41.59M,211.16M,35.38M,,35.38M,27.89M,63.26M,,,,,,2.063M,65.33M,,,,,,,13.47M,0.715M,14.18M,79.51M,1.884M,-1.566B,2.034B,338.41M,,0.101M,,0.101M,131.65M
2002-09,66.86M,67.48M,134.34M,16.65M,,16.65M,9.068M,18.17M,,,178.23M,,,,,,58.61M,-33.33M,25.28M,10.52M,,10.52M,,,9.791M,45.59M,223.82M,40.97M,,40.97M,25.86M,66.83M,,,,,,3.495M,70.33M,,,,,,,,,1.001M,71.33M,15.35M,-1.558B,2.034B,338.41M,13.47M,0.065M,,0.065M,152.49M
2002-06,98.14M,62.46M,160.60M,21.98M,,21.98M,8.64M,19.57M,,,210.79M,,,,,,61.54M,-33.33M,28.20M,,22.54M,22.54M,,,20.61M,71.35M,282.13M,55.42M,,55.42M,37.27M,92.69M,,,,,,,92.69M,,,,,,,13.47M,1.483M,14.95M,107.65M,1.882M,-1.534B,2.033B,326.63M,,0.07M,,0.07M,174.49M
2002-03,92.05M,68.33M,160.38M,20.22M,,20.22M,10.54M,17.45M,,,208.59M,,,,,,64.62M,-33.33M,31.29M,,22.54M,22.54M,,,19.73M,73.56M,282.15M,62.18M,,62.18M,31.75M,93.93M,,,,,,5.05M,98.98M,,,,,,,13.47M,2.365M,15.84M,114.81M,1.88M,-1.540B,2.033B,326.63M,,,,,167.34M
2001-12,99.94M,49.27M,149.21M,15.66M,,15.66M,5.038M,15.40M,,,185.31M,,65.60M,,,,65.60M,-33.33M,32.27M,23.65M,,23.65M,,,20.97M,76.88M,262.19M,45.94M,,45.94M,36.24M,82.18M,,,,,,5.115M,87.30M,,,,,,,25.34M,2.838M,28.18M,115.48M,1.836M,-1.544B,2.016B,326.63M,,,,,146.71M
2001-09,99.01M,45.50M,144.51M,15.02M,10.00M,25.02M,9.431M,7.013M,,,185.98M,,,,,,48.22M,-15.09M,33.14M,,,,,,22.57M,55.71M,241.68M,34.93M,,34.93M,30.48M,65.42M,,,,,,4.943M,70.36M,,,,,,25.34M,,3.367M,3.367M,73.72M,1.832M,-1.543B,2.014B,326.63M,,,,-3.539M,142.62M
2001-06,124.28M,30.43M,154.72M,25.84M,,25.84M,10.91M,11.02M,,8.50M,210.98M,,,,,,49.96M,-15.09M,34.87M,,,,,,22.81M,57.68M,268.66M,69.53M,,69.53M,32.21M,101.74M,,,,,,5.161M,106.90M,,,,,,55.03M,,3.789M,3.789M,110.69M,1.72M,-1.539B,1.972B,326.63M,,,,-4.304M,102.94M
2001-03,98.70M,26.39M,125.09M,20.71M,,20.71M,15.19M,17.51M,,,178.50M,,,,,,50.95M,-15.09M,35.86M,,,,,,26.20M,62.06M,240.56M,51.38M,,51.38M,26.63M,78.01M,,,,,,4.978M,82.98M,,,,,,80.00M,,4.747M,4.747M,87.73M,1.65M,-1.542B,1.949B,326.63M,,,,-8.471M,72.83M
2000-12,77.02M,10.95M,87.98M,,,13.89M,,,,29.36M,131.22M,,,,,,52.17M,-15.09M,37.08M,,,,,,26.77M,63.86M,195.08M,40.69M,,40.69M,,40.69M,,,,,,38.61M,79.30M,,,,,,359.58M,,5.108M,5.108M,84.40M,1.454M,-1.528B,1.619B,326.63M,,,,-14.21M,-248.91M
2000-09,104.50M,26.12M,130.62M,,,29.73M,,,,20.76M,181.11M,,,,,,64.38M,-18.12M,46.26M,,,,,,58.21M,104.46M,285.57M,59.45M,,59.45M,,59.45M,,,,,,35.44M,94.89M,,,,,,,,,,94.89M,360.97M,-1.405B,1.595B,359.58M,359.58M,,,-1.162M,190.68M
2000-06,95.43M,43.27M,138.71M,,,42.76M,,,,27.18M,208.65M,,,,,,55.26M,-13.67M,41.59M,,,,,,242.59M,284.18M,492.84M,73.29M,,73.29M,,73.29M,,,,,,27.64M,100.94M,,,,,,,,,,100.94M,360.96M,-1.206B,1.594B,359.58M,359.58M,,,2.224M,391.90M
2000-03,125.86M,23.62M,149.48M,,,52.86M,,,,15.78M,218.12M,,,,,,47.38M,-10.25M,37.13M,,,,,,227.47M,264.60M,482.72M,59.41M,,59.41M,,59.41M,,,,,,18.05M,77.46M,,,,,,,,,,77.46M,1.361M,-1.194B,1.592B,,,,,5.969M,405.26M
1999-12,133.20M,38.80M,172.00M,,,21.80M,,,,17.90M,211.70M,,,,,,35.40M,-7.40M,28.00M,,,,,,202.20M,230.20M,441.90M,24.30M,,24.30M,,24.30M,,,,,,15.00M,39.30M,,,,,,,,,,39.30M,1.30M,-1.180B,1.582B,,,,,,402.60M
1999-09,115.50M,77.40M,192.90M,,,30.90M,,,,10.40M,234.20M,,,,,,22.70M,-2.10M,20.60M,,,,,,12.30M,32.90M,267.10M,32.90M,,32.90M,,32.90M,,,,,,10.80M,43.70M,,,,,,,,,,43.70M,1.20M,-258.90M,481.10M,,,,,,223.40M
1999-06,142.80M,,142.80M,,,24.10M,,,,16.60M,183.50M,,,,,,17.40M,-2.10M,15.30M,,,,,,6.00M,21.30M,204.80M,26.90M,,26.90M,,26.90M,,,,,,6.60M,33.50M,,,,,,,,,,33.50M,,-156.70M,,,,,,,171.30M
1999-03,30.60M,,30.60M,,,160.20M,,,,6.60M,197.40M,,,,,,12.10M,-2.10M,10.00M,,,,,,2.30M,12.30M,209.70M,13.10M,,13.10M,,13.10M,,,,,,9.00M,22.10M,1.00M,,1.00M,,,,,,1.00M,23.10M,,-142.50M,,,,,,,186.60M
