,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-01,254.03M,254.03M,41.49M,212.55M,,,122.21M,39.20M,5.224M,-16.57M,,,,,166.63M,45.92M,,,,-16.57M,,31.10M,9.329M,21.77M,21.77M,33.37M,61.60M,15.68M,45.92M,0.0975,0.0,0.1499,0.0975,0.0925,0.0,0.1431,0.0925,221.40M,229.19M,0.015
2001-10,216.36M,216.36M,37.80M,178.56M,,,113.60M,39.64M,5.198M,2.171M,,,,,158.44M,20.12M,,,,2.171M,,26.62M,5.147M,21.47M,21.47M,19.72M,35.66M,15.54M,20.12M,0.0975,0.0,0.0894,0.0975,0.095,0.0,0.0872,0.095,217.48M,224.04M,0.015
2001-07,231.36M,231.36M,35.19M,196.17M,,,118.25M,43.58M,5.174M,-9.774M,,,,,167.00M,29.16M,,,,-9.774M,,27.39M,8.217M,19.17M,19.17M,26.01M,44.98M,15.82M,29.16M,0.0875,0.0,0.1192,0.0875,0.085,0.0,0.1157,0.085,216.05M,222.84M,0.015
2001-04,245.74M,245.74M,36.72M,209.02M,,,120.95M,46.16M,5.307M,,,,,,172.41M,36.60M,,,,-1.211M,,41.59M,12.48M,27.90M,27.90M,27.90M,52.47M,15.86M,36.60M,0.13,0.0,0.13,0.13,0.125,0.0,0.125,0.125,216.13M,222.75M,0.015
2001-01,264.90M,264.90M,26.85M,238.04M,,,137.88M,45.30M,,-2.834M,,,,,199.53M,38.51M,,,,-2.834M,,43.08M,14.72M,28.36M,28.36M,30.23M,54.86M,16.35M,38.51M,0.1275,0.0,0.1359,0.1275,0.125,0.0,0.1333,0.125,221.11M,224.40M,0.015
2000-10,221.85M,221.85M,27.54M,194.30M,,,106.36M,42.66M,,-5.462M,,,,,165.22M,29.09M,,,,-5.462M,,30.00M,11.48M,18.51M,18.51M,21.88M,45.28M,16.20M,29.09M,0.0825,0.0,0.0974,0.0825,0.08,0.0,0.0948,0.08,226.72M,228.29M,0.015
2000-07,226.25M,226.25M,28.56M,197.70M,,,104.13M,42.27M,,-5.314M,,,,,163.70M,34.00M,,,,-5.314M,,32.99M,12.23M,20.75M,20.75M,24.10M,51.30M,17.30M,34.00M,0.09,0.0,0.1045,0.09,0.0875,0.0,0.1016,0.0875,231.01M,236.29M,0.015
2000-04,231.26M,231.26M,36.73M,194.53M,,,109.31M,40.26M,7.788M,0.80M,,,,-0.80M,156.55M,37.98M,,,,-1.445M,,40.96M,13.10M,25.61M,25.61M,25.06M,56.99M,19.01M,37.98M,0.1075,0.0,0.1052,0.1075,0.1025,0.0,0.1003,0.1025,236.02M,250.33M,0.015
2000-01,220.23M,220.23M,25.85M,194.38M,,,107.39M,39.58M,,1.752M,,,,,165.52M,28.86M,,,,1.752M,,37.02M,11.81M,25.21M,25.21M,24.02M,47.40M,18.55M,28.86M,0.1025,0.0,0.0972,0.1025,0.1025,0.0,0.0976,0.1025,226.05M,243.30M,0.015
1999-10,202.07M,202.07M,24.90M,177.17M,,,107.60M,41.20M,,-14.70M,,,,,166.90M,10.27M,,,,-14.70M,,2.10M,0.70M,1.40M,1.40M,11.20M,28.37M,18.10M,10.27M,0.005,0.0,0.04,0.005,0.005,0.0,0.04,0.005,280.00M,280.00M,0.015
1999-07,202.90M,202.90M,21.10M,181.80M,,,116.10M,44.70M,,,,,,,187.10M,-5.30M,,,,,,0.60M,0.20M,0.40M,0.40M,0.40M,21.00M,26.30M,-5.30M,0.0025,0.0,0.0025,0.0025,0.0025,0.0,0.0025,0.0025,235.86M,235.86M,0.015
1999-04,194.94M,194.94M,22.80M,172.14M,,,115.20M,38.60M,,-17.30M,,,,,170.60M,1.539M,,,,-17.30M,,-15.70M,1.40M,-17.10M,-17.10M,-6.72M,18.34M,16.80M,1.539M,-0.0725,0.0,-0.0285,-0.0725,-0.0725,0.0,-0.0285,-0.0725,235.72M,235.72M,0.015
1999-01,217.58M,217.58M,13.48M,204.10M,,,104.76M,38.48M,,0.011M,,,,,170.72M,33.38M,,,,0.011M,,36.52M,13.29M,23.23M,23.23M,23.23M,60.86M,27.48M,33.38M,0.1025,0.0,0.1025,0.1025,0.0975,0.0,0.0975,0.0975,225.36M,236.82M,0.015
1998-10,204.60M,204.60M,29.40M,175.20M,,,100.10M,40.90M,,,,,,,150.00M,25.20M,,,,,,29.10M,11.50M,17.60M,17.60M,17.60M,41.00M,15.80M,25.20M,0.0775,0.0,0.0775,0.0775,0.0775,0.0,0.0775,0.0775,227.10M,227.10M,0.015
1998-07,226.80M,226.80M,31.20M,195.60M,,,103.00M,38.40M,,6.60M,,,,,153.30M,42.30M,,,,6.60M,,48.90M,21.40M,27.50M,27.50M,23.54M,61.30M,19.00M,42.30M,0.1225,0.0,0.1049,0.1225,0.115,0.0,0.0984,0.115,224.49M,239.13M,0.015
