,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2007-03,22.20M,,,,,,1.30M,,38.10M,38.10M,9.20M,,,19.20M,34.60M,-4.50M,-50.30M,-18.80M,,,-39.00M,,2007-03,-77.10M,8.00M,-69.10M,,,30.70M,-38.40M,2007-03,,,-15.00M,0.10M,,0.10M,,-8.70M,,,-23.60M,2007-03,79.00M,-11.00M,,,2007-03,0.10M,,,,,,2007-03,,
2006-12,40.60M,,,,,,-4.60M,,42.10M,42.10M,10.10M,,,-5.10M,0.80M,4.60M,13.00M,-60.30M,,55.80M,13.90M,,2006-12,-128.70M,29.60M,-99.10M,,-29.30M,53.90M,-74.50M,2006-12,,,-0.70M,1.20M,,1.20M,,0.00,,-8.20M,-7.70M,2006-12,64.20M,14.80M,,,2006-12,1.20M,,,,,,2006-12,,
2006-09,31.30M,,,,,,-3.90M,,37.70M,37.70M,15.30M,,,17.80M,-34.80M,9.60M,71.80M,5.30M,28.80M,-64.30M,16.40M,,2006-09,-47.50M,0.40M,-47.10M,,37.50M,-27.00M,-36.60M,2006-09,,,-40.10M,2.20M,,2.20M,,-0.10M,,2.00M,-36.00M,2006-09,22.20M,42.00M,,,2006-09,2.20M,,,,,,2006-09,,
2006-06,24.10M,,,,,,-2.40M,,36.80M,36.80M,8.50M,,,5.00M,30.90M,-19.10M,-58.70M,-2.20M,-36.30M,,-85.40M,,2006-06,-36.40M,-0.30M,-36.70M,,-8.20M,48.70M,3.80M,2006-06,,,6.10M,4.40M,,4.40M,,0.00,,-8.80M,1.70M,2006-06,30.10M,-7.90M,,,2006-06,4.40M,,,,,,2006-06,,
2006-03,12.90M,,,,,,0.60M,,38.40M,38.40M,7.10M,,,-11.80M,-15.50M,5.30M,18.50M,6.30M,7.50M,,22.10M,,2006-03,-67.00M,0.30M,-66.70M,,8.20M,-0.20M,-58.70M,2006-03,,,-7.50M,0.80M,,0.80M,,-4.20M,,-0.70M,-11.60M,2006-03,31.10M,-1.00M,,,2006-03,0.80M,,,,,,2006-03,,
2005-12,5.20M,,,,,,40.10M,,32.40M,32.40M,-23.70M,,,-13.60M,-32.90M,17.80M,8.70M,12.50M,-11.90M,,-5.80M,,2005-12,-137.30M,0.40M,-136.90M,-10.10M,,8.10M,-146.90M,2005-12,,,70.60M,203.00M,,2.60M,,-2.10M,,-0.10M,71.00M,2005-12,72.40M,-41.30M,,,2005-12,203.00M,,,,,,2005-12,,
2005-09,112.70M,,,,,,-139.00M,,40.60M,40.60M,-28.50M,,,96.90M,3.70M,-11.50M,5.60M,0.70M,30.20M,,28.70M,,2005-09,-71.30M,5.90M,-65.40M,-8.50M,,5.60M,-68.30M,2005-09,,,4.10M,-2.50M,,-2.50M,,-2.20M,,-11.90M,-12.50M,2005-09,41.80M,30.60M,,,2005-09,-2.50M,,,,,,2005-09,,
2005-06,-25.10M,,,,,,-9.00M,,40.40M,40.40M,27.70M,,,-54.40M,27.60M,-4.10M,6.50M,-0.10M,-3.30M,,26.60M,,2005-06,-48.20M,-0.40M,-48.60M,7.30M,,-11.90M,-53.20M,2005-06,,,50.70M,2.20M,,2.20M,,-2.30M,,-3.10M,47.50M,2005-06,41.30M,0.50M,,,2005-06,2.20M,,,,,,2005-06,,
2005-03,8.10M,,,,,,1.70M,,14.30M,14.30M,7.20M,,,-1.10M,7.40M,-3.00M,-10.30M,2.60M,-0.30M,,-3.60M,,2005-03,-18.90M,0.40M,-18.50M,1.20M,,-3.80M,-21.10M,2005-03,,,-2.20M,1.20M,,1.20M,,-2.10M,,0.30M,-2.80M,2005-03,38.60M,2.70M,,,2005-03,1.20M,,,,,,2005-03,,
2004-12,0.70M,,,,,,16.00M,,14.20M,14.20M,9.20M,,,0.70M,-14.30M,-6.10M,-0.40M,1.70M,-11.30M,,-30.40M,,2004-12,-23.80M,2.40M,-21.40M,,,-216.40M,-237.30M,2004-12,,,94.40M,3.70M,,3.70M,,-2.10M,,-0.50M,95.50M,2004-12,170.00M,-131.40M,,,2004-12,3.70M,,,,,,2004-12,,
2004-09,11.10M,,,,,,-1.40M,,13.40M,13.40M,23.40M,,,5.90M,-10.90M,2.60M,5.70M,-2.70M,34.90M,,29.60M,,2004-09,-27.10M,0.60M,-26.50M,,,-38.80M,-65.30M,2004-09,,,-1.40M,0.80M,,0.80M,,-2.20M,,-0.40M,-3.20M,2004-09,156.50M,13.50M,,,2004-09,0.80M,,,,,,2004-09,,
2004-06,9.20M,,,,,,5.20M,,13.10M,13.10M,4.00M,,,2.00M,-5.30M,-2.70M,5.80M,0.90M,-21.90M,,-23.20M,,2004-06,-37.30M,1.40M,-35.90M,,,-2.70M,-38.60M,2004-06,,,-1.60M,0.80M,,0.80M,,-2.20M,,-0.80M,-3.80M,2004-06,188.60M,-32.10M,,,2004-06,0.80M,,,,,,2004-06,,
2004-03,3.40M,,,,,,-0.80M,,12.80M,12.80M,-0.70M,,,,5.50M,-5.20M,-0.90M,-2.10M,28.00M,,25.30M,,2004-03,-29.00M,0.50M,-28.50M,,,-7.10M,-35.60M,2004-03,,,51.00M,2.10M,,2.10M,,-2.20M,,-2.10M,48.80M,2004-03,135.40M,53.20M,,,2004-03,2.10M,,,,,,2004-03,,
2003-12,-5.20M,,,,,,-6.80M,,16.20M,16.20M,-6.20M,,,15.80M,-1.50M,-0.50M,-1.10M,0.80M,-18.60M,,-20.90M,,2003-12,-32.80M,6.40M,-26.40M,,0.00,-5.40M,-31.80M,2003-12,,,-55.30M,1.50M,,1.50M,,-2.10M,,,-55.90M,2003-12,230.20M,-94.80M,,,2003-12,1.50M,,,,,,2003-12,,
2003-09,4.30M,,,,,,-2.50M,,16.20M,16.20M,0.70M,,,-3.40M,3.70M,-0.60M,10.90M,10.50M,-5.10M,,19.40M,,2003-09,-20.80M,0.90M,-19.90M,,32.70M,-6.80M,6.00M,2003-09,,,-1.40M,1.50M,,1.50M,,-2.50M,,,-2.40M,2003-09,191.90M,38.30M,,,2003-09,1.50M,,,,,,2003-09,,
2003-06,-0.50M,,,,,,2.10M,,16.00M,16.00M,0.10M,,,-4.40M,-7.80M,0.70M,-10.40M,-11.60M,7.70M,,-21.40M,,2003-06,-18.30M,0.20M,-18.10M,,,-38.50M,-56.60M,2003-06,,,-1.70M,193.70M,,193.70M,,0.00,,0.60M,192.60M,2003-06,64.00M,127.90M,,,2003-06,193.70M,,,,,,2003-06,,
2003-03,13.60M,,,,,,-16.40M,,15.90M,15.90M,7.00M,,,-0.80M,9.60M,-2.10M,-1.80M,15.60M,7.90M,,29.20M,,2003-03,-12.10M,7.50M,-4.60M,,,1.00M,-3.60M,2003-03,,,-0.80M,1.60M,,1.60M,,-0.10M,,-0.60M,0.10M,2003-03,19.00M,45.00M,,,2003-03,1.60M,,,,,,2003-03,,
2002-12,20.40M,,,,,,-17.60M,,16.10M,16.10M,20.10M,,,-5.00M,-6.30M,-1.40M,7.20M,-6.00M,-27.70M,,-34.20M,,2002-12,-14.80M,0.60M,-14.20M,,0.00,0.40M,-13.80M,2002-12,,,-0.60M,2.60M,,2.60M,,0.00,,-4.50M,-2.50M,2002-12,35.50M,-16.50M,,,2002-12,2.60M,,,,,,2002-12,,
2002-09,10.60M,,,,,,-12.50M,,15.80M,15.80M,2.80M,,,-0.10M,21.10M,-4.70M,-1.50M,1.20M,3.50M,,19.60M,,2002-09,-24.00M,-30.00M,-54.00M,,31.70M,-2.90M,-25.20M,2002-09,,,-6.90M,4.00M,,4.00M,,-0.10M,,4.00M,1.00M,2002-09,23.50M,12.00M,,,2002-09,4.00M,,,,,,2002-09,,
2002-06,14.50M,,,,,,-15.90M,,14.60M,14.60M,-2.10M,,,9.50M,-1.80M,-2.30M,-0.10M,7.90M,-3.70M,,0.00,,2002-06,-21.70M,38.20M,16.50M,,,-33.30M,-16.80M,2002-06,,,-32.90M,1.60M,,1.60M,,0.00,,-5.80M,-37.10M,2002-06,56.80M,-33.30M,,,2002-06,1.60M,,,,,,2002-06,,
2002-03,11.70M,,,,,,-13.00M,,14.90M,14.90M,1.00M,,,-0.50M,-0.60M,-0.40M,-8.70M,26.70M,6.10M,,23.10M,,2002-03,-17.40M,9.30M,-8.10M,,,30.90M,22.80M,2002-03,,,-30.50M,2.10M,,2.10M,,-0.10M,,0.60M,-27.90M,2002-03,24.70M,32.10M,,,2002-03,2.10M,,,,,,2002-03,,
2001-12,11.10M,,,,,,-5.10M,,14.40M,14.40M,15.50M,,,19.10M,10.40M,0.90M,-0.50M,-26.90M,7.00M,,-9.10M,,2001-12,-66.00M,3.10M,-62.90M,42.20M,,-0.90M,-21.60M,2001-12,,,-26.50M,3.30M,,3.30M,,0.00,,-3.30M,-26.50M,2001-12,26.90M,-2.20M,,,2001-12,3.30M,,,,,,2001-12,,
2001-09,9.00M,,,,,,-6.10M,,14.70M,14.70M,5.40M,,,-1.30M,-5.10M,0.90M,2.30M,2.40M,-6.80M,,-6.30M,,2001-09,27.00M,8.80M,35.80M,-42.20M,,0.10M,-6.30M,2001-09,,,-1.60M,4.00M,,4.00M,,-0.10M,,-3.10M,-0.80M,2001-09,18.60M,8.30M,,,2001-09,4.00M,,,,,,2001-09,,
2001-06,4.70M,,,,,,-7.70M,,14.50M,14.50M,4.70M,,,-3.20M,4.00M,2.10M,1.60M,3.00M,-22.70M,,-12.00M,,2001-06,-27.00M,5.70M,-21.30M,13.90M,,-6.80M,-14.20M,2001-06,,,4.70M,0.80M,,0.80M,,0.00,,-2.30M,3.20M,2001-06,28.60M,-10.00M,,,2001-06,0.80M,,,,,,2001-06,,
2001-03,5.90M,,,,,,-5.40M,,14.40M,14.40M,4.80M,,,,-5.30M,2.20M,-8.50M,2.20M,3.50M,,-5.90M,,2001-03,,0.50M,0.50M,-13.90M,,-0.20M,-13.60M,2001-03,,,7.10M,0.80M,,0.80M,,-0.10M,,-0.90M,6.90M,2001-03,21.50M,7.10M,,,2001-03,0.80M,,,,,,2001-03,,
2000-12,3.60M,,,,,,367.40M,,13.70M,13.70M,-0.30M,,,-6.00M,-15.20M,0.20M,17.20M,1.90M,6.20M,,10.30M,,2000-12,,-1.10M,-1.10M,-25.50M,,-0.70M,-27.30M,2000-12,,,-10.80M,0.10M,,0.10M,,0.00,,4.40M,-6.30M,2000-12,30.20M,-8.70M,,,2000-12,0.10M,,,,,,2000-12,,
2000-09,26.00M,,,,,,-32.90M,,13.80M,13.80M,23.40M,,,4.60M,5.00M,-0.10M,-14.90M,0.50M,-1.30M,,-10.80M,,2000-09,,2.90M,2.90M,-24.50M,,-1.30M,-22.90M,2000-09,,,3.90M,-5.30M,,-5.30M,,0.00,,-3.70M,-5.10M,2000-09,34.10M,-3.90M,,,2000-09,-5.30M,,,,,,2000-09,,
2000-06,166.40M,,,,,,-161.30M,,14.40M,14.40M,-5.00M,,,2.40M,-4.60M,5.20M,-1.80M,-0.50M,23.30M,,21.60M,,2000-06,,2.40M,2.40M,-34.20M,,-0.20M,-32.00M,2000-06,,,-18.40M,7.90M,,7.90M,,-0.10M,,0.40M,-10.20M,2000-06,37.80M,-3.70M,,,2000-06,7.90M,,,,,,2000-06,,
2000-03,193.20M,,,,,,-187.30M,,14.20M,14.20M,5.00M,,,,12.00M,1.20M,-16.20M,2.30M,-34.70M,,-35.40M,,2000-03,,1.30M,1.30M,-20.30M,,-0.60M,-19.60M,2000-03,,,61.90M,15.20M,,15.20M,,-4.70M,,-16.60M,55.80M,2000-03,11.90M,25.90M,,,2000-03,15.20M,,,,,,2000-03,,
1999-12,91.30M,,,,,,211.80M,43.00M,99.90M,99.90M,-9.90M,,,-125.90M,-3.80M,4.10M,12.40M,-7.40M,10.30M,37.10M,52.70M,,1999-12,65.60M,1.90M,67.50M,,,-4.40M,-43.10M,1999-12,,,,,,,,0.20M,,42.90M,-20.20M,1999-12,68.40M,-56.50M,,,1999-12,,,,,,,1999-12,,
1999-09,87.30M,,,,,,-76.00M,-14.30M,-14.30M,-14.30M,-0.50M,,,62.70M,-2.60M,5.70M,14.70M,4.50M,8.90M,-37.10M,-5.90M,,1999-09,-30.40M,0.50M,-29.90M,,,-0.60M,-30.50M,1999-09,,,,,,,,-4.40M,,-38.10M,-42.50M,1999-09,88.10M,-19.70M,,,1999-09,,,,,-39.00M,,1999-09,AOR,
1999-06,76.10M,,,,,,-55.60M,-7.60M,-7.60M,-7.60M,5.20M,,,13.70M,42.60M,0.20M,-20.90M,-6.90M,-13.60M,10.20M,11.60M,,1999-06,-11.30M,0.20M,-11.10M,,19.50M,12.50M,20.90M,1999-06,,,,,,,,-4.50M,,7.40M,2.90M,1999-06,42.50M,67.20M,,,1999-06,,,,,39.00M,,1999-06,AOR,
1999-03,68.60M,,,,,,-23.00M,-21.10M,-21.10M,-21.10M,15.00M,,,43.70M,-36.60M,-3.50M,-1.70M,7.70M,35.60M,-10.20M,-8.70M,,1999-03,-23.90M,0.20M,-23.70M,,-19.50M,-1.30M,-44.50M,1999-03,,,,,,,,-8.90M,,-5.80M,-14.70M,1999-03,27.20M,15.30M,,,1999-03,,,,,,,1999-03,AOR,
1998-12,30.10M,,,,,,0.50M,53.40M,126.90M,126.90M,-11.40M,,,-111.40M,-9.30M,-2.90M,-8.30M,9.30M,22.00M,,10.80M,,1998-12,-32.00M,0.70M,-31.30M,,-50.80M,27.20M,-54.90M,1998-12,,,,,,,,0.00,,65.50M,8.70M,1998-12,27.90M,-0.70M,,,1998-12,,,,,,,1998-12,AOR,
1998-09,55.20M,,,,,,19.10M,-18.70M,-18.70M,-18.70M,12.30M,,,107.10M,1.00M,-4.80M,2.00M,0.10M,1.10M,-62.30M,-62.90M,,1998-09,-32.70M,2.30M,-30.40M,,7.90M,-30.80M,-53.30M,1998-09,,,,,,,,-4.40M,,-35.30M,-39.70M,1998-09,8.80M,19.10M,,,1998-09,,,,,,,1998-09,AOR,
1998-06,58.70M,,,,,,-16.00M,-17.90M,-17.90M,-17.90M,11.00M,,,21.10M,-4.50M,-1.00M,-1.20M,-5.90M,-2.10M,23.70M,9.00M,,1998-06,-25.10M,3.30M,-21.80M,,-27.80M,-1.50M,-51.10M,1998-06,,,,,,,,-4.50M,,-21.20M,-25.70M,1998-06,19.70M,-10.90M,,,1998-06,,,,,,,1998-06,AOR,
