,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2006-12,138.00M,,138.00M,2.753B,,2.753B,,1.101B,,,,4.106B,8.098B,,,43.58B,-14.19B,29.38B,,,4.926B,,,6.863B,41.17B,49.27B,2.142B,,,2.142B,4.277B,6.419B,,,,4.81B,4.81B,,,11.23B,,14.79B,,14.79B,5.858B,5.858B,,,23.00M,257.00M,,20.91B,36.33B,0.00,1.96B,11.38B,,50.00M,-475.00M,-425.00M,12.91B
2006-09,126.00M,,126.00M,2.405B,,2.405B,,1.225B,,,,4.269B,8.025B,,,43.42B,-13.79B,29.64B,,,4.924B,,,7.575B,42.14B,50.16B,2.015B,,,2.015B,5.307B,7.322B,,,,4.302B,4.302B,,,11.62B,,14.37B,,14.37B,5.678B,5.678B,,,21.00M,257.00M,,20.31B,36.59B,0.00,2.172B,11.87B,,,,-494.00M,13.55B
2006-06,81.00M,,81.00M,2.461B,,2.461B,,1.034B,,,,4.948B,8.524B,,,42.94B,-13.42B,29.52B,,,4.298B,,,8.327B,42.14B,50.67B,1.773B,,,1.773B,8.238B,10.01B,,,,1.065B,1.065B,,,11.08B,,15.70B,,15.70B,5.384B,5.384B,,,17.00M,,,21.09B,38.28B,257.00M,1.762B,11.80B,257.00M,,,-1.452B,12.37B
2006-03,69.00M,,69.00M,2.909B,,2.909B,,,,,,6.029B,9.007B,,,41.89B,-13.06B,28.82B,,,4.298B,,,8.414B,41.54B,50.54B,1.953B,,,1.953B,8.687B,10.64B,,,,1.403B,1.403B,,,12.04B,,15.02B,,15.02B,5.129B,5.129B,,,,257.00M,,20.40B,39.10B,11.30B,1.844B,127.00M,,,,-1.825B,11.44B
2005-12,146.00M,,146.00M,3.561B,,3.561B,,1.167B,,,,5.255B,10.13B,,,42.06B,-13.12B,28.94B,,,4.298B,,,9.293B,42.53B,52.66B,2.756B,,,2.756B,7.776B,10.53B,,,,3.948B,3.948B,,,14.48B,,14.65B,,14.65B,4.984B,4.984B,,,,257.00M,,19.89B,42.26B,0.00,1.55B,11.41B,,,,-2.564B,10.40B
2005-09,1.237B,,1.237B,2.763B,,2.763B,,1.162B,,,,7.984B,13.15B,,,41.38B,-12.83B,28.55B,,,4.298B,,,9.598B,42.44B,55.59B,2.183B,,,2.183B,11.12B,13.30B,,,,2.038B,2.038B,,,15.34B,,16.70B,,16.70B,4.747B,4.747B,,,,,,21.44B,45.56B,11.52B,1.528B,120.00M,257.00M,,,-3.14B,10.03B
2005-06,44.00M,,44.00M,2.596B,,2.596B,,871.00M,,,,3.838B,7.349B,,,40.54B,-12.54B,28.00B,,,4.298B,,,7.85B,40.15B,47.50B,1.841B,,,1.841B,5.202B,7.043B,,,,2.80B,2.80B,,,9.843B,,15.14B,,15.14B,5.233B,5.233B,,,,,,20.37B,36.46B,11.11B,1.745B,110.00M,257.00M,,,-1.93B,11.04B
2005-03,271.00M,,271.00M,2.877B,,2.877B,,652.00M,,,,4.305B,8.105B,,,39.58B,-12.28B,27.30B,,,4.298B,,,7.412B,39.01B,47.12B,1.814B,,,1.814B,5.972B,7.786B,,,,2.815B,2.815B,,,10.60B,,14.60B,,14.60B,5.308B,5.308B,,,,,,19.91B,36.19B,11.10B,1.642B,106.00M,257.00M,,,-1.921B,10.93B
2004-12,361.00M,,361.00M,2.905B,,2.905B,,893.00M,,,,2.935B,7.094B,,,38.66B,-11.95B,26.72B,,,4.298B,,,7.31B,38.32B,45.42B,1.956B,,,1.956B,4.131B,6.087B,,,,1.941B,1.941B,,,8.028B,,15.51B,,15.51B,5.499B,5.499B,,,,,,21.01B,33.74B,11.14B,1.442B,92.00M,257.00M,,,-996.00M,11.68B
2004-09,96.00M,,96.00M,2.768B,,2.768B,,976.00M,,,,3.984B,7.824B,,,38.79B,-12.04B,26.75B,,,4.298B,,,7.276B,38.32B,46.15B,2.358B,,,2.358B,5.055B,7.413B,,,,2.109B,2.109B,,,9.522B,,15.16B,,15.16B,5.356B,5.356B,,,,,,20.52B,35.36B,10.62B,1.443B,84.00M,257.00M,,,-1.357B,10.78B
2004-06,83.00M,,83.00M,3.423B,,3.423B,,726.00M,,,,2.746B,6.978B,,,38.08B,-11.76B,26.32B,,,4.298B,,,7.167B,37.79B,44.76B,2.604B,,,2.604B,4.015B,6.619B,,,,1.819B,1.819B,,,8.438B,,15.48B,,15.48B,4.835B,4.835B,,,,,,20.31B,33.93B,10.54B,1.32B,82.00M,257.00M,,,-1.107B,10.83B
2004-03,256.00M,,256.00M,4.226B,,4.226B,,595.00M,,,,2.342B,7.419B,,,37.53B,-11.52B,26.02B,,,4.298B,,,6.975B,37.29B,44.71B,2.558B,,,2.558B,3.878B,6.436B,,,,2.602B,2.602B,,,9.038B,,15.82B,,15.82B,4.641B,4.641B,,,,,,20.46B,33.94B,10.37B,1.281B,63.00M,257.00M,,,-945.00M,10.77B
2003-12,126.00M,,126.00M,3.136B,,3.136B,,870.00M,,,,2.409B,6.541B,,,37.11B,-11.26B,25.85B,,,4.30B,,,6.855B,37.00B,43.55B,1.929B,,,1.929B,3.451B,5.38B,,,,2.704B,2.704B,,,8.084B,,15.78B,,15.78B,4.706B,92.00M,,,,,,15.87B,32.75B,10.31B,1.054B,61.00M,257.00M,,,-629.00M,10.80B
2003-09,191.00M,,191.00M,3.267B,,3.267B,,914.00M,,,,1.909B,6.281B,,,35.74B,-11.69B,24.05B,,,4.328B,,,6.876B,35.26B,41.54B,2.304B,,,2.304B,3.873B,6.177B,,,,875.00M,875.00M,,,7.052B,,15.25B,,15.25B,4.658B,4.658B,,,10.00M,,,19.91B,30.33B,10.24B,1.437B,60.00M,257.00M,,,-542.00M,11.20B
2003-06,133.00M,,133.00M,3.491B,,3.491B,,622.00M,,,,2.94B,7.186B,,,35.45B,-11.42B,24.03B,,,4.328B,,,6.76B,35.12B,42.30B,2.503B,,,2.503B,3.739B,6.242B,,,,1.483B,1.483B,,,7.725B,,14.09B,,14.09B,4.359B,4.359B,,,19.00M,1.397B,,19.85B,30.89B,10.18B,1.903B,58.00M,257.00M,,,-751.00M,11.39B
2003-03,498.00M,,498.00M,4.418B,,4.418B,,454.00M,,,,3.124B,8.494B,,,34.27B,-11.22B,23.05B,,,4.328B,,,6.461B,33.84B,42.33B,3.411B,,,3.411B,3.787B,7.198B,,,,2.111B,2.111B,,,9.309B,,13.71B,,13.71B,4.272B,4.272B,,,23.00M,1.397B,,19.38B,31.67B,9.386B,1.869B,47.00M,257.00M,,,-667.00M,10.64B
2002-12,291.00M,,291.00M,3.054B,,3.054B,,637.00M,,,,2.843B,6.825B,,,32.63B,-10.29B,22.34B,,,4.301B,,,6.53B,33.17B,40.00B,2.31B,,,2.31B,2.815B,5.125B,,,,3.318B,3.318B,,,8.443B,,12.06B,,12.06B,4.209B,110.00M,,,,1.397B,,13.57B,29.53B,9.308B,1.561B,47.00M,257.00M,,,-446.00M,10.47B
2002-09,183.00M,,183.00M,2.496B,,2.496B,,687.00M,,,,2.025B,5.391B,,,31.99B,-12.10B,19.88B,,,4.544B,,,6.101B,30.53B,35.92B,1.955B,,,1.955B,2.636B,4.591B,,,,3.825B,3.825B,,,8.416B,,11.67B,,11.67B,3.822B,3.822B,,,,1.397B,,16.89B,26.72B,8.025B,1.42B,47.00M,134.00M,,,-293.00M,9.199B
2002-06,225.00M,,225.00M,2.253B,,2.253B,,589.00M,,,,2.233B,5.30B,,,31.28B,-11.95B,19.33B,,,4.539B,,,6.234B,30.11B,35.41B,1.78B,,,1.78B,2.658B,4.438B,,,,3.203B,3.203B,,,7.641B,,12.37B,,12.37B,3.637B,3.637B,,,,1.132B,,17.14B,26.32B,8.219B,990.00M,46.00M,384.00M,,,-173.00M,9.082B
2002-03,648.00M,,648.00M,2.187B,,2.187B,,458.00M,,,,2.479B,5.772B,,,33.06B,-14.49B,18.58B,,,4.551B,,,6.047B,29.18B,34.95B,1.75B,,,1.75B,2.704B,4.454B,,,,3.174B,3.174B,,,7.628B,,11.98B,,11.98B,3.622B,3.622B,,,,1.132B,,16.73B,25.73B,8.166B,1.077B,27.00M,384.00M,,,-48.00M,9.222B
2001-12,486.00M,,486.00M,1.996B,,1.996B,,577.00M,,,,2.344B,5.403B,,,29.80B,-11.43B,18.36B,,,4.527B,,,6.075B,28.97B,34.37B,1.776B,,,1.776B,2.489B,4.265B,,,,3.213B,3.213B,,,7.478B,,12.12B,,12.12B,3.94B,128.00M,,,,1.132B,,13.38B,25.62B,7.513B,922.00M,28.00M,384.00M,,,289.00M,8.752B
2001-09,367.00M,,367.00M,2.023B,,2.023B,,547.00M,,,,2.428B,5.365B,,,30.40B,-14.43B,15.97B,,,3.672B,,,6.265B,25.90B,31.27B,1.581B,,,1.581B,2.795B,4.376B,,,,1.83B,1.83B,,,6.206B,,11.76B,,11.76B,3.297B,133.00M,,,,935.00M,,12.83B,23.20B,6.646B,1.213B,23.00M,509.00M,,,188.00M,8.07B
2001-06,476.00M,,476.00M,2.794B,,2.794B,,437.00M,,,,2.964B,6.671B,,,29.98B,-14.21B,15.77B,,,3.663B,,,6.152B,25.58B,32.25B,2.175B,,,2.175B,2.704B,4.879B,,,,2.466B,2.466B,,,7.345B,,12.13B,,12.13B,3.151B,138.00M,,,,935.00M,,13.20B,24.55B,6.595B,1.03B,23.00M,509.00M,,,51.00M,7.699B
2001-03,882.00M,,882.00M,2.442B,,2.442B,,306.00M,,,,1.661B,5.291B,,,29.38B,-13.90B,15.48B,,,3.691B,,,6.044B,25.21B,30.50B,1.672B,,,1.672B,2.19B,3.862B,,,,2.59B,2.59B,,,6.452B,,11.80B,,11.80B,2.879B,142.00M,,,1.00M,935.00M,,12.88B,23.02B,6.538B,1.028B,16.00M,509.00M,,,-102.00M,7.48B
2000-12,360.00M,,360.00M,2.353B,,2.353B,,327.00M,,,,2.76B,5.80B,,,28.01B,-13.16B,14.85B,,,3.502B,,,5.146B,23.50B,29.30B,1.688B,,,1.688B,2.335B,4.023B,,,,3.573B,3.573B,,,7.596B,,10.10B,,10.10B,2.968B,147.00M,,,1.00M,385.00M,,10.63B,21.80B,6.488B,1.028B,16.00M,509.00M,,,-31.00M,7.501B
2000-09,438.00M,,438.00M,1.803B,,1.803B,,470.00M,,,,2.68B,5.391B,,,31.48B,-13.37B,18.11B,,,58.00M,,,6.265B,24.43B,29.82B,1.43B,,,1.43B,1.889B,3.319B,,,,3.946B,3.946B,,,7.265B,,11.32B,,11.32B,2.872B,152.00M,,,5.00M,385.00M,,11.86B,22.62B,6.102B,1.081B,16.00M,509.00M,,,-4.00M,7.195B
2000-06,306.00M,,306.00M,1.573B,,1.573B,,306.00M,,,,2.575B,4.76B,,,31.10B,-13.15B,17.95B,,,86.00M,,,6.298B,24.34B,29.10B,1.178B,,,1.178B,1.551B,2.729B,,,,5.961B,5.961B,,,8.69B,,9.258B,,9.258B,2.977B,157.00M,,,6.00M,385.00M,,9.80B,22.10B,6.053B,940.00M,,509.00M,,,3.00M,6.996B
2000-03,390.00M,,390.00M,1.495B,,1.495B,,251.00M,,,,1.857B,3.993B,,,31.05B,-12.95B,18.10B,,,141.00M,,,6.80B,25.04B,29.03B,949.00M,,,949.00M,1.182B,2.131B,,,,6.133B,6.133B,,,8.264B,,9.322B,,9.322B,3.02B,161.00M,,,78.00M,385.00M,,9.868B,21.71B,6.048B,1.199B,,509.00M,,,-5.00M,7.242B
1999-12,280.00M,,280.00M,933.00M,,933.00M,,254.00M,,,,710.00M,2.177B,,,18.70B,-7.906B,10.80B,,,132.00M,,,4.676B,15.60B,17.78B,711.00M,,,711.00M,882.00M,1.593B,,,,1.406B,1.406B,,,2.999B,,6.936B,,6.936B,1.856B,146.00M,,,99.00M,385.00M,,7.467B,12.40B,4.07B,1.212B,16.00M,509.00M,,,-15.00M,5.283B
1999-09,357.00M,,357.00M,1.095B,,1.095B,,250.30M,,,,926.80M,2.629B,,,19.00B,-7.989B,11.01B,,,149.60M,,,4.626B,15.79B,18.41B,814.80M,,,814.80M,982.00M,1.797B,,,,1.549B,1.549B,,,3.346B,,6.857B,,6.857B,1.785B,150.80M,,,681.90M,,,7.008B,12.22B,4.288B,1.245B,16.20M,509.00M,,,-34.90M,5.514B
1999-06,238.90M,,238.90M,1.218B,,1.218B,,246.60M,,,,777.60M,2.482B,,,18.81B,-7.807B,11.01B,,,146.70M,,,4.357B,15.51B,17.99B,904.60M,,,904.60M,875.50M,1.780B,,,,1.233B,1.233B,,,3.013B,,6.621B,,6.621B,1.798B,155.00M,,,683.20M,,,6.776B,11.66B,4.521B,1.136B,16.20M,689.00M,,,-18.80M,5.654B
1999-03,473.20M,,473.20M,950.40M,,950.40M,,241.80M,,,,725.00M,2.390B,,,18.28B,-7.601B,10.68B,,,148.40M,,,4.267B,15.10B,17.49B,625.20M,,,625.20M,878.40M,1.504B,,,,1.152B,1.152B,,,2.655B,,6.456B,,6.456B,1.816B,159.20M,,,685.30M,,,6.615B,11.15B,4.520B,1.143B,16.20M,689.00M,,,-23.20M,5.656B
1998-12,426.00M,,426.00M,1.034B,,1.034B,,253.00M,,,,746.00M,2.459B,,,18.11B,-7.469B,10.64B,,,150.00M,,,4.271B,15.06B,17.52B,699.00M,,,699.00M,895.00M,1.594B,,,,744.00M,744.00M,,,2.338B,,6.252B,,6.252B,2.014B,221.00M,,,311.00M,385.00M,,6.858B,11.20B,4.622B,1.387B,16.00M,689.00M,,,-20.00M,6.005B
1998-09,965.20M,,965.20M,763.70M,,988.20M,,236.20M,,,,1.078B,3.268B,,,18.44B,-7.488B,10.95B,,,178.30M,,,3.768B,14.90B,18.16B,788.90M,,,788.90M,935.50M,1.724B,,,,1.966B,1.966B,,,3.690B,,5.438B,,5.438B,1.963B,225.70M,,,714.40M,,,5.663B,11.32B,4.663B,1.460B,16.20M,689.00M,,,-8.10M,6.131B
1998-06,371.20M,,371.20M,1.060B,,1.273B,,234.10M,,,,2.304B,4.182B,,,20.21B,-7.445B,12.77B,,,1.954B,,,3.635B,18.36B,22.54B,927.50M,,,927.50M,2.569B,3.496B,,,,1.727B,1.727B,,,5.224B,,7.877B,,7.877B,2.190B,229.90M,,,725.60M,,,8.107B,15.92B,4.709B,1.162B,,689.00M,,,21.70M,5.893B
1998-03,280.10M,,280.10M,902.20M,,1.117B,,224.40M,,,,606.40M,2.228B,,,19.91B,-7.223B,12.68B,,,1.972B,,,3.648B,18.30B,20.53B,654.00M,,,654.00M,919.20M,1.573B,,,,1.471B,1.471B,,,3.044B,,7.698B,,7.698B,2.265B,234.10M,,,790.00M,,,7.932B,13.68B,4.668B,1.370B,16.20M,689.00M,,,4.30M,6.059B
