,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2009-06,3.406B,3.406B,1.454B,1.952B,,69.00M,107.00M,220.00M,-220.00M,685.00M,1.063B,889.00M,220.00M,-220.00M,69.00M,-220.00M,738.00M,265.00M,473.00M,-15.00M,,-4.00M,,454.00M,424.78M,1.273B,315.00M,958.00M,0.79,-0.03,,,0.7155,0.76,0.79,-0.03,,,0.7156,0.76,593.70M,594.00M,0.4375
2009-03,4.586B,4.586B,2.256B,2.33B,,-61.00M,153.00M,219.00M,-219.00M,1.234B,1.666B,664.00M,219.00M,-219.00M,-61.00M,-219.00M,384.00M,141.00M,243.00M,9.00M,,-4.00M,,248.00M,277.60M,928.00M,325.00M,603.00M,0.41,0.01,,,0.476,0.42,0.4081,0.01,,,0.474,0.42,585.30M,585.70M,0.4375
2008-12,3.778B,3.778B,1.862B,1.916B,,-52.00M,118.00M,195.00M,-195.00M,,1.257B,659.00M,195.00M,-195.00M,-52.00M,-195.00M,412.00M,252.00M,160.00M,192.00M,,-4.00M,,348.00M,189.80M,910.00M,303.00M,607.00M,0.26,0.33,,,0.3183,0.59,0.26,0.33,,,0.318,0.59,580.20M,582.30M,0.395
2008-09,4.365B,4.365B,2.177B,2.188B,,14.00M,112.00M,213.00M,-213.00M,762.00M,1.133B,1.055B,213.00M,-213.00M,14.00M,-213.00M,856.00M,344.00M,512.00M,0.00,,-4.00M,,508.00M,499.60M,1.381B,312.00M,1.069B,0.88,0.0,,,0.8655,0.88,0.87,0.0,,,0.8556,0.87,578.60M,582.00M,0.395
2008-06,3.399B,3.399B,1.518B,1.881B,,-1.00M,109.00M,206.00M,-206.00M,804.00M,1.17B,711.00M,206.00M,-206.00M,-1.00M,-206.00M,504.00M,200.00M,304.00M,-2.00M,,-4.00M,,298.00M,300.60M,992.00M,282.00M,710.00M,0.52,0.0,,,0.521,0.52,0.51,0.0,,,0.511,0.51,577.10M,580.70M,0.395
2008-03,4.353B,4.353B,2.043B,2.31B,,-3.00M,154.00M,219.00M,-219.00M,843.00M,1.251B,1.059B,219.00M,-219.00M,-3.00M,-219.00M,837.00M,157.00M,680.00M,,,,,680.00M,682.44M,1.35B,294.00M,1.056B,1.18,0.0,,,1.1840000000000002,1.18,1.18,0.0,,,1.1840000000000002,1.18,575.30M,578.40M,0.395
2007-12,3.694B,3.694B,1.611B,2.083B,,10.00M,116.00M,,,1.016B,1.384B,699.00M,,,10.00M,,509.00M,207.00M,302.00M,-3.00M,0.00,1.00M,,299.00M,295.50M,988.00M,289.00M,699.00M,0.6,0.0,0.0,,0.5887,0.59,0.6,0.0,-0.0092,,0.5887,0.59,574.00M,574.00M,0.395
2007-09,3.589B,3.589B,1.371B,2.218B,,3.65B,113.00M,,,1.223B,1.62B,598.00M,,,3.65B,,3.818B,1.498B,2.32B,-3.00M,,7.00M,,2.317B,102.08M,920.00M,322.00M,598.00M,3.65,-0.01,,,0.1605,3.64,3.63,-0.01,,,0.1623,3.62,635.60M,639.60M,0.355
2007-06,3.73B,3.73B,1.549B,2.181B,,43.00M,140.00M,,,1.998B,2.561B,-380.00M,,,43.00M,,-624.00M,-232.00M,-392.00M,20.00M,-158.00M,-9.00M,,-530.00M,-419.01M,84.00M,464.00M,-380.00M,-0.56,0.03,0.0,,-0.5987,-0.76,-0.56,0.03,-0.2266,,-0.5987,-0.76,697.37M,697.37M,0.355
2007-03,4.661B,4.661B,2.241B,2.42B,,49.00M,184.00M,,,828.00M,1.421B,999.00M,,,49.00M,,785.00M,310.00M,475.00M,-22.00M,,-5.00M,,453.00M,445.35M,1.457B,458.00M,999.00M,0.68,-0.03,,,0.6375,0.65,0.68,-0.03,,,0.6375,0.65,696.92M,696.92M,0.355
