,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2013-03,197.00M,,,6.00M,31.00M,37.00M,101.00M,101.00M,-66.00M,,15.00M,-5.00M,-273.00M,-109.00M,-39.00M,-33.00M,43.00M,-411.00M,43.00M,-89.00M,,-63.00M,,,940.00M,739.00M,,1.614B,,-600.00M,6.00M,-594.00M,32.00M,-140.00M,-108.00M,-84.00M,-84.00M,3.00M,-800.00M,,1.306B,725.00M,-10.00M,2.021B,,32.00M,0.00,-600.00M,-140.00M,57.00M,66.00M,,AOR,Restated
2012-12,58.00M,,,11.00M,33.00M,44.00M,84.00M,84.00M,-80.00M,,18.00M,-19.00M,396.00M,136.00M,-104.00M,10.00M,1.00M,439.00M,204.00M,748.00M,,-137.00M,,193.00M,-69.00M,-472.00M,-7.00M,-735.00M,,12.00M,-2.00M,10.00M,12.00M,0.00,12.00M,-91.00M,-91.00M,47.00M,-110.00M,,1.392B,-97.00M,11.00M,1.306B,,12.00M,0.00,12.00M,0.00,136.00M,41.00M,,AOR,Restated
2012-09,310.00M,,,-2.00M,38.00M,36.00M,104.00M,104.00M,-127.00M,,53.00M,-101.00M,164.00M,41.00M,-50.00M,19.00M,95.00M,269.00M,61.00M,605.00M,,-70.00M,-21.00M,-91.00M,-20.00M,-368.00M,42.00M,-446.00M,,386.00M,-18.00M,368.00M,39.00M,0.00,39.00M,-90.00M,-90.00M,-115.00M,202.00M,,1.017B,361.00M,14.00M,1.392B,,39.00M,397.00M,-11.00M,0.00,367.00M,178.00M,,AOR,Restated
2012-06,328.00M,,,-4.00M,36.00M,32.00M,103.00M,103.00M,,,,-81.00M,-103.00M,5.00M,85.00M,-8.00M,-19.00M,-40.00M,94.00M,436.00M,,-66.00M,-8.00M,-74.00M,11.00M,-174.00M,0.00,-249.00M,,-15.00M,-11.00M,-26.00M,21.00M,0.00,21.00M,-90.00M,-90.00M,-23.00M,-131.00M,,978.00M,56.00M,-17.00M,1.017B,,21.00M,0.00,-15.00M,0.00,,,,AOR,Restated
2012-03,-16.00M,,,-2.00M,36.00M,34.00M,108.00M,108.00M,,,,350.00M,-286.00M,-129.00M,14.00M,-14.00M,-81.00M,-496.00M,18.00M,-2.00M,,-57.00M,29.00M,-28.00M,-44.00M,-91.00M,-7.00M,-181.00M,,-176.00M,21.00M,-155.00M,50.00M,-92.00M,-42.00M,-87.00M,-87.00M,-28.00M,-312.00M,,1.457B,-495.00M,16.00M,978.00M,,50.00M,0.00,-176.00M,-92.00M,,,,AOR,Restated
2011-12,-11.00M,,,13.00M,19.00M,32.00M,73.00M,73.00M,,,,-35.00M,283.00M,116.00M,-150.00M,20.00M,56.00M,325.00M,,659.00M,,-91.00M,-4.00M,231.00M,103.00M,25.00M,-10.00M,-141.00M,,-4.00M,7.00M,9.00M,11.00M,-225.00M,-214.00M,,-87.00M,-62.00M,-362.00M,,1.301B,156.00M,0.00,1.457B,,11.00M,-4.00M,-2.00M,-225.00M,,,,AOR,Restated
2011-09,342.00M,,,-11.00M,139.00M,128.00M,116.00M,116.00M,,,,-172.00M,118.00M,-14.00M,-16.00M,17.00M,6.00M,111.00M,,525.00M,,-101.00M,13.00M,-88.00M,-4.00M,657.00M,-474.00M,169.00M,,7.00M,-10.00M,-9.00M,9.00M,-250.00M,-241.00M,,-58.00M,-1.00M,-309.00M,,982.00M,385.00M,-66.00M,1.301B,,9.00M,1.00M,-4.00M,-250.00M,,,,AOR,Restated
2011-06,372.00M,,,-15.00M,29.00M,14.00M,119.00M,119.00M,,,,8.00M,-196.00M,-34.00M,145.00M,3.00M,-23.00M,-105.00M,,408.00M,,-80.00M,3.00M,-77.00M,-42.00M,-72.00M,561.00M,370.00M,,-401.00M,14.00M,-387.00M,24.00M,-100.00M,-76.00M,,-121.00M,-24.00M,-608.00M,,796.00M,170.00M,16.00M,982.00M,,24.00M,1.00M,-388.00M,-100.00M,,,,AOR,Restated
2011-03,259.00M,,,-4.00M,-67.00M,-71.00M,117.00M,117.00M,,,,23.00M,-312.00M,-142.00M,26.00M,-65.00M,9.00M,-484.00M,,-156.00M,,-54.00M,15.00M,-39.00M,-10.00M,4.00M,,-45.00M,,-2.00M,-2.00M,-4.00M,37.00M,-283.00M,-246.00M,,-89.00M,-14.00M,-353.00M,,1.341B,-554.00M,9.00M,796.00M,,37.00M,2.00M,-6.00M,-283.00M,,,,AOR,Restated
2010-12,228.00M,,,-4.00M,257.00M,253.00M,118.00M,118.00M,,,,-354.00M,207.00M,67.00M,-55.00M,18.00M,130.00M,367.00M,,612.00M,,-149.00M,-1.00M,-150.00M,-16.00M,-624.00M,-7.00M,-797.00M,,759.00M,175.00M,934.00M,77.00M,-311.00M,-234.00M,,-59.00M,-51.00M,590.00M,,930.00M,405.00M,6.00M,1.341B,,77.00M,998.00M,-41.00M,-311.00M,,,,AOR,Restated
