,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-09,2.547B,2.547B,1.614B,933.00M,437.00M,77.00M,84.00M,8.00M,-51.00M,,,,,606.00M,327.00M,,,,-51.00M,,255.00M,77.00M,157.00M,,,-21.00M,157.00M,192.60M,419.00M,92.00M,327.00M,,0.465,0.00,,0.5704,0.465,,0.46,0.00,,0.5643,0.46,,337.63M,341.30M,0.235,,,
2005-06,2.656B,2.656B,1.65B,1.006B,461.00M,76.00M,85.00M,8.00M,4.00M,,,,,630.00M,376.00M,,,,4.00M,,360.00M,111.00M,231.00M,,,-18.00M,231.00M,228.23M,469.00M,93.00M,376.00M,,0.675,0.00,,0.6669,0.675,,0.67,0.00,,0.6620,0.67,,342.22M,344.78M,0.235,,,
2005-03,2.493B,2.493B,1.558B,935.00M,450.00M,77.00M,87.00M,8.00M,-147.00M,,,,,622.00M,313.00M,,,,-147.00M,,145.00M,34.00M,95.00M,,,-16.00M,95.00M,207.53M,408.00M,95.00M,313.00M,,0.275,0.00,,0.6007,0.275,,0.275,0.00,,0.6007,0.275,,345.45M,345.45M,0.225,,,
2004-12,2.411B,2.411B,1.526B,885.00M,444.00M,79.00M,89.00M,8.00M,20.00M,,,,,620.00M,265.00M,,,,20.00M,,265.00M,72.00M,183.00M,,,-10.00M,183.00M,168.43M,362.00M,97.00M,265.00M,,0.305,0.23,,0.2624,0.535,,0.30,0.23,,0.2578,0.53,,341.94M,345.23M,0.225,,,
2004-09,2.409B,2.409B,1.516B,893.00M,422.00M,74.00M,88.00M,8.00M,15.00M,,,,,592.00M,301.00M,,,,15.00M,,294.00M,82.00M,194.00M,,,-18.00M,194.00M,183.18M,397.00M,96.00M,301.00M,,0.565,0.00,,0.5335,0.565,,0.56,0.00,,0.5288,0.56,,343.36M,346.43M,0.225,,,
2004-06,2.429B,2.429B,1.519B,910.00M,423.00M,74.00M,90.00M,8.00M,12.00M,,,,,595.00M,315.00M,,,,12.00M,,302.00M,99.00M,187.00M,,,-16.00M,187.00M,178.93M,413.00M,98.00M,315.00M,,0.545,0.00,,0.5215,0.545,,0.54,0.00,,0.5167,0.54,,343.12M,346.30M,0.225,,,
2004-03,2.264B,2.264B,1.438B,826.00M,426.00M,76.00M,90.00M,7.00M,-2.00M,,,,,599.00M,227.00M,,,,-2.00M,,202.00M,69.00M,119.00M,,,-14.00M,119.00M,120.32M,324.00M,97.00M,227.00M,,0.345,0.00,,0.3488,0.345,,0.345,0.00,,0.3488,0.345,,344.93M,344.93M,0.22,,,
2003-12,2.175B,2.175B,1.364B,811.00M,417.00M,75.00M,90.00M,7.00M,-6.00M,,,,,589.00M,222.00M,,,,-6.00M,,190.00M,59.00M,122.00M,,0.00,-9.00M,122.00M,126.14M,319.00M,97.00M,222.00M,,0.11,0.265,0.00,0.1222,0.36,,0.105,0.265,-0.0000,0.1170,0.355,,338.90M,343.62M,0.22,,,
2003-09,2.206B,2.206B,1.37B,836.00M,395.00M,71.00M,93.00M,7.00M,-6.00M,,,,,566.00M,270.00M,,,,-6.00M,,239.00M,86.00M,142.00M,,,-11.00M,142.00M,145.84M,370.00M,100.00M,270.00M,,0.415,0.00,,0.4262,0.415,,0.415,0.00,,0.4262,0.415,,342.17M,342.17M,0.215,,,
2003-06,2.304B,2.304B,1.445B,859.00M,389.00M,72.00M,92.00M,8.00M,-7.00M,,,,,561.00M,298.00M,,,,-7.00M,,245.00M,93.00M,152.00M,,,-18.00M,152.00M,156.34M,398.00M,100.00M,298.00M,,0.45,0.00,,0.4629,0.45,,0.445,0.00,,0.4577,0.445,,337.78M,341.57M,0.215,,,
2003-03,2.071B,2.071B,1.342B,729.00M,377.00M,72.00M,90.00M,7.00M,-4.00M,,,,,546.00M,183.00M,,,,-4.00M,,151.00M,55.00M,84.00M,,-6.00M,-12.00M,78.00M,86.54M,280.00M,97.00M,183.00M,,0.245,-0.015,0.00,0.2525,0.23,,0.245,-0.015,-0.0177,0.2525,0.23,,339.13M,339.13M,0.215,,,
2002-12,1.99B,1.99B,1.261B,729.00M,366.00M,71.00M,91.00M,8.00M,-14.00M,,,,,536.00M,193.00M,,,,-15.00M,,158.00M,57.00M,94.00M,,0.00,-7.00M,94.00M,102.95M,292.00M,99.00M,193.00M,,0.28,0.00,0.00,0.3065,0.28,,0.28,0.00,0.0000,0.3065,0.28,,338.09M,338.09M,0.215,,,
2002-09,2.068B,2.068B,1.291B,777.00M,352.00M,68.00M,92.00M,7.00M,25.00M,,,,,519.00M,258.00M,,,,25.00M,,248.00M,89.00M,148.00M,,,-11.00M,148.00M,131.97M,357.00M,99.00M,258.00M,,0.435,0.00,,0.3879,0.435,,0.435,0.00,,0.3879,0.435,,340.23M,340.23M,0.215,,,
2002-06,2.134B,2.134B,1.325B,809.00M,359.00M,68.00M,92.00M,9.00M,-766.00M,,,,,528.00M,281.00M,,,,-766.00M,,-531.00M,-186.00M,-345.00M,,,-13.00M,-345.00M,152.68M,382.00M,101.00M,281.00M,,-1.02,0.00,,0.4514,-1.02,,-1.02,0.00,,0.4442,-1.02,,338.24M,339.90M,0.21,,,
2002-03,1.875B,1.875B,1.189B,686.00M,342.00M,66.00M,91.00M,8.00M,-62.00M,,,,,507.00M,179.00M,,,,-62.00M,,76.00M,33.00M,43.00M,,-9.00M,-8.00M,34.00M,80.20M,278.00M,99.00M,179.00M,,0.125,-0.025,0.00,0.2344,0.10,,0.125,-0.025,-0.0265,0.2344,0.10,,340.00M,340.00M,0.21,,,
2001-12,1.907B,1.907B,1.21B,697.00M,354.00M,66.00M,94.00M,18.00M,-25.00M,,,,,532.00M,165.00M,,,,-10.00M,,133.00M,50.00M,83.00M,,,-5.00M,83.00M,98.60M,277.00M,112.00M,165.00M,,0.245,0.00,,0.2911,0.245,,0.245,0.00,,0.2911,0.245,,338.35M,338.63M,0.21,,,
2001-09,1.999B,1.999B,1.261B,738.00M,348.00M,66.00M,93.00M,18.00M,-17.00M,,,,,525.00M,213.00M,,,,-17.00M,,148.00M,55.00M,93.00M,,,-5.00M,93.00M,103.68M,324.00M,111.00M,213.00M,,0.28,0.00,,0.3122,0.28,,0.275,0.00,,0.3066,0.275,,332.14M,338.18M,0.21,,,
2001-06,2.164B,2.164B,1.342B,822.00M,342.00M,67.00M,94.00M,18.00M,6.00M,,,,,521.00M,301.00M,,,,6.00M,,261.00M,94.00M,155.00M,,,-12.00M,155.00M,151.16M,413.00M,112.00M,301.00M,,0.46,0.00,,0.4486,0.46,,0.46,0.00,,0.4487,0.46,,336.60M,338.60M,0.21,,,
2001-03,2.099B,2.099B,1.324B,775.00M,351.00M,67.00M,94.00M,18.00M,-83.00M,,,,,530.00M,245.00M,,,,-83.00M,,104.00M,48.00M,56.00M,,,-10.00M,56.00M,105.80M,357.00M,112.00M,245.00M,,0.165,0.00,,0.3117,0.165,,0.165,0.00,,0.3117,0.165,,339.39M,339.39M,0.21,,,
2000-12,2.058B,2.058B,1.286B,772.00M,365.00M,70.00M,93.00M,18.00M,-61.00M,,,,,546.00M,226.00M,,,,-22.00M,,162.00M,36.00M,126.00M,,,-7.00M,126.00M,173.44M,337.00M,111.00M,226.00M,,0.375,0.00,,0.5159,0.375,,0.375,0.00,,0.5146,0.375,,336.78M,339.96M,0.20,,,
2000-09,2.144B,2.144B,1.337B,807.00M,329.00M,72.00M,94.00M,18.00M,-2.00M,,,,,513.00M,294.00M,,,,-2.00M,,242.00M,92.00M,150.00M,,,-7.00M,150.00M,151.24M,406.00M,112.00M,294.00M,,0.435,0.00,,0.4386,0.435,,0.43,0.00,,0.4336,0.43,,345.60M,348.40M,0.20,,,
2000-06,2.21B,2.21B,1.327B,883.00M,343.00M,70.00M,94.00M,18.00M,29.00M,,,,,525.00M,358.00M,,,,29.00M,,337.00M,132.00M,205.00M,,,-6.00M,205.00M,187.36M,470.00M,112.00M,358.00M,,0.59,0.00,,0.5392,0.59,,0.585,0.00,,0.5347,0.585,,347.46M,350.43M,0.20,,,
2000-03,2.152B,2.152B,1.319B,833.00M,327.00M,70.00M,93.00M,19.00M,-25.00M,,,,,509.00M,324.00M,,,,-25.00M,,248.00M,109.00M,139.00M,,,-8.00M,139.00M,154.00M,436.00M,112.00M,324.00M,,0.40,0.00,,0.4431,0.40,,0.395,0.00,,0.4377,0.395,,348.20M,351.40M,0.20,,,
1999-12,2.291B,2.291B,1.483B,808.00M,322.00M,78.00M,,,21.00M,,,,,545.00M,263.00M,,,,49.00M,,267.00M,105.00M,162.00M,,,-10.00M,162.00M,149.26M,408.00M,145.00M,263.00M,,0.465,0.00,,0.4283,0.465,,0.46,0.00,,0.4240,0.46,,346.80M,353.81M,0.19,,,
1999-09,1.954B,1.954B,1.206B,748.00M,315.00M,72.00M,,,-50.00M,,,,,479.00M,269.00M,,,,-50.00M,,176.00M,77.00M,99.00M,,,-8.00M,99.00M,129.00M,361.00M,92.00M,269.00M,,0.285,0.00,,0.3714,0.285,,0.28,0.00,,0.3655,0.28,,347.40M,350.80M,0.19,,,
1999-06,1.947B,1.947B,1.165B,782.00M,307.00M,67.00M,,,12.00M,,,,,461.00M,321.00M,,,,12.00M,,300.00M,116.00M,184.00M,,,-4.00M,184.00M,176.64M,408.00M,87.00M,321.00M,,0.53,0.00,,0.5088,0.53,,0.525,0.00,,0.5040,0.525,,347.00M,350.40M,0.19,,,
1999-03,1.803B,1.803B,1.103B,700.00M,286.00M,67.00M,,,-22.00M,,,,,444.00M,256.00M,,,,-22.00M,,202.00M,79.00M,123.00M,,,-6.00M,123.00M,136.40M,347.00M,91.00M,256.00M,,0.355,0.00,,0.3934,0.355,,0.35,0.00,,0.3881,0.35,,348.40M,351.60M,0.19,,,
1998-12,2.03B,2.03B,1.304B,726.00M,295.00M,69.00M,,,-10.00M,,,,,480.00M,246.00M,,,,20.00M,,248.00M,86.00M,162.00M,,,-5.00M,162.00M,168.53M,362.00M,116.00M,246.00M,,0.455,0.00,,0.4734,0.455,,0.455,0.00,,0.4733,0.455,,354.50M,356.36M,0.18,,,
1998-09,1.804B,1.804B,1.082B,722.00M,282.00M,68.00M,,,119.00M,,,,,437.00M,285.00M,,,,119.00M,,372.00M,124.00M,248.00M,,,-5.00M,248.00M,168.67M,372.00M,87.00M,285.00M,,0.70,0.00,,0.4759,0.70,,0.695,0.00,,0.4730,0.695,,354.00M,357.40M,0.18,,,
1998-06,2.004B,2.004B,1.186B,818.00M,293.00M,67.00M,,,-5.00M,,,,,449.00M,369.00M,,,,-5.00M,,329.00M,130.00M,199.00M,,,-7.00M,199.00M,202.02M,458.00M,89.00M,369.00M,,0.565,0.00,,0.5735,0.565,,0.555,0.00,,0.5634,0.555,,354.00M,358.40M,0.18,,,
1998-03,1.913B,1.913B,1.145B,768.00M,263.00M,67.00M,,,9.00M,,,,,419.00M,349.00M,,,,9.00M,,318.00M,126.00M,192.00M,,,-10.00M,192.00M,186.57M,438.00M,89.00M,349.00M,,0.54,0.00,,0.5247,0.54,,0.535,0.00,,0.5199,0.535,,355.00M,358.80M,0.17,,,
1997-12,1.846B,1.846B,1.085B,761.00M,280.00M,68.00M,,,-55.00M,,,,,435.00M,326.00M,,,,-55.00M,,242.00M,83.00M,159.00M,,,-8.00M,159.00M,195.14M,413.00M,87.00M,326.00M,,0.445,0.00,,0.5464,0.445,,0.445,0.00,,0.5464,0.445,,356.39M,356.55M,0.17,,,
1997-09,1.812B,1.812B,1.079B,733.00M,266.00M,63.00M,,,-7.00M,,,,,417.00M,316.00M,,,,-7.00M,,279.00M,108.00M,171.00M,,,-5.00M,171.00M,175.29M,404.00M,88.00M,316.00M,,0.48,0.00,,0.4920,0.48,,0.475,0.00,,0.4869,0.475,,357.60M,361.60M,0.165,,,
1997-06,1.944B,1.944B,1.146B,798.00M,275.00M,61.00M,,,14.00M,,,,,424.00M,374.00M,,,,14.00M,,356.00M,138.00M,218.00M,,,-6.00M,218.00M,209.43M,462.00M,88.00M,374.00M,,0.605,0.00,,0.5812,0.605,,0.60,0.00,,0.5764,0.60,,360.20M,364.00M,0.165,,,
1997-03,1.777B,1.777B,1.087B,689.80M,247.70M,58.00M,,,4.20M,,,,,390.40M,299.40M,,,,4.20M,,271.90M,105.90M,166.00M,,,-6.70M,166.00M,163.44M,384.10M,84.70M,299.40M,,0.455,0.00,,0.4480,0.455,,0.45,0.00,,0.4430,0.45,,364.60M,368.40M,0.165,,,
1996-12,1.754B,1.754B,1.073B,681.60M,263.10M,63.20M,,,0.80M,,,,,414.40M,267.20M,,,,0.80M,,249.00M,96.90M,152.10M,,,-6.40M,152.10M,151.61M,355.30M,88.10M,267.20M,,0.415,0.00,,0.4137,0.415,,0.415,0.00,,0.4137,0.415,,367.20M,368.80M,0.16,,,
1996-09,1.801B,1.801B,1.072B,729.10M,249.30M,59.00M,,,7.60M,,,,,393.60M,335.50M,,,,7.60M,,311.60M,120.50M,191.10M,,,-5.70M,191.10M,186.44M,420.80M,85.30M,335.50M,,0.515,0.00,,0.5025,0.515,,0.51,0.00,,0.4976,0.51,,373.00M,377.00M,0.16,,,
1996-06,1.914B,1.914B,1.128B,785.70M,252.70M,58.20M,,,12.80M,,,,,394.30M,391.40M,,,,12.80M,,372.80M,144.30M,228.50M,,,-6.80M,228.50M,220.65M,474.80M,83.40M,391.40M,,0.60,0.00,,0.5792,0.60,,0.60,0.00,,0.5795,0.60,,377.20M,381.80M,0.16,,,
1996-03,1.749B,1.749B,1.067B,681.60M,238.90M,58.60M,,,8.80M,,,,,380.70M,300.90M,,,,8.80M,,281.60M,109.30M,172.30M,,,-6.10M,172.30M,166.92M,384.10M,83.20M,300.90M,,0.45,0.00,,0.4360,0.45,,0.44,0.00,,0.4262,0.44,,384.80M,389.60M,0.15,,,
1995-12,1.723B,1.723B,1.045B,677.50M,240.50M,60.00M,,,-13.40M,,,,,386.40M,291.10M,,,,-13.40M,,263.20M,101.60M,161.60M,,,-2.90M,161.60M,169.83M,377.00M,85.90M,291.10M,,0.415,0.00,,0.4360,0.415,,0.415,0.00,,0.4360,0.415,,392.00M,392.00M,0.15,,,
1995-09,1.724B,1.724B,1.029B,694.70M,246.80M,59.80M,,,-3.60M,,,,,389.80M,304.90M,,,,-3.60M,,276.80M,106.40M,170.40M,,,-3.30M,170.40M,172.62M,388.10M,83.20M,304.90M,,0.425,0.00,,0.4305,0.425,,0.42,0.00,,0.4255,0.42,,401.80M,406.40M,0.15,,,
1995-06,1.870B,1.870B,1.109B,761.10M,258.20M,59.30M,,,16.90M,,,,,400.40M,360.70M,,,,16.90M,,352.40M,135.60M,216.80M,,,-4.50M,216.80M,206.40M,443.60M,82.90M,360.70M,,0.53,0.00,,0.5047,0.53,,0.525,0.00,,0.4999,0.525,,410.40M,414.40M,0.145,,,
1995-03,1.741B,1.741B,1.028B,712.70M,231.50M,56.90M,,,35.10M,,,,,368.40M,344.30M,,,,35.10M,,355.60M,136.40M,219.20M,,,-3.30M,219.20M,197.56M,424.30M,80.00M,344.30M,,0.53,0.00,,0.4776,0.53,,0.525,0.00,,0.4733,0.525,,413.00M,418.40M,0.145,,,
1994-12,1.660B,1.660B,1.004B,656.00M,253.80M,59.00M,,,-2.80M,,,,,394.20M,261.80M,,,,-2.80M,,245.30M,94.30M,151.00M,,,-2.90M,151.00M,152.72M,343.20M,81.40M,261.80M,,0.36,0.00,,0.3641,0.36,,0.36,0.00,,0.3640,0.36,,419.00M,428.80M,0.145,,,
1994-09,1.575B,1.575B,962.10M,613.20M,225.70M,55.70M,,,5.30M,,,,,360.00M,253.20M,,,,5.30M,,231.70M,86.20M,145.50M,,,-5.00M,145.50M,142.17M,331.80M,78.60M,253.20M,,0.34,0.00,,0.3322,0.34,,0.34,0.00,,0.3322,0.34,,425.00M,428.60M,0.14,,,
1994-06,1.619B,1.619B,987.90M,631.40M,223.40M,54.50M,,,-90.90M,,,,,356.90M,274.50M,,,,-90.90M,,157.10M,60.90M,96.20M,,,-4.10M,96.20M,151.86M,353.50M,79.00M,274.50M,,0.23,0.00,,0.3610,0.23,,0.225,0.00,,0.3551,0.225,,424.80M,428.00M,0.14,,,
1994-03,1.477B,1.477B,911.80M,565.10M,216.00M,49.00M,,,9.80M,,,,,343.50M,221.60M,,,,9.80M,,205.70M,83.80M,121.90M,,,-3.90M,121.90M,116.02M,300.10M,78.50M,221.60M,,0.285,0.00,,0.2712,0.285,,0.28,0.00,,0.2664,0.28,,425.80M,431.80M,0.135,,,
1993-12,1.378B,1.378B,849.50M,528.70M,265.00M,,,,-26.80M,,,,,364.40M,164.30M,,,,-26.80M,,110.80M,56.90M,53.90M,,-6.10M,-1.50M,47.80M,69.98M,263.70M,99.40M,164.30M,,0.125,-0.015,0.00,0.1574,0.11,,0.125,-0.015,0.0107,0.1574,0.11,,496.00M,496.00M,0.135,,,
1993-09,1.405B,1.405B,884.90M,520.50M,266.00M,,,,-87.40M,,,,,348.20M,172.30M,,,,-87.40M,,55.60M,30.80M,24.80M,,,-4.80M,24.80M,77.24M,254.50M,82.20M,172.30M,,0.06,0.00,,0.1869,0.06,,0.06,0.00,,0.1869,0.06,,413.33M,413.33M,0.135,,,
1993-06,1.524B,1.524B,965.80M,557.80M,274.10M,,,,10.20M,,,,,358.10M,199.70M,,,,10.20M,,180.00M,73.80M,106.20M,,,-4.50M,106.20M,100.08M,283.70M,84.00M,199.70M,,0.25,0.00,,0.2356,0.25,,0.25,0.00,,0.2356,0.25,,424.80M,424.80M,0.125,,,
1993-03,1.447B,1.447B,914.00M,532.70M,267.80M,,,,34.60M,,,,,352.40M,180.30M,,,,34.60M,,184.80M,74.70M,110.10M,,-266.70M,-2.10M,-156.60M,89.34M,264.90M,84.60M,180.30M,,0.26,-0.63,-0.0000,0.2110,-0.37,,0.26,-0.63,-0.6301,0.2110,-0.37,,423.24M,423.24M,0.125,,,
1992-12,1.413B,1.413B,898.50M,514.80M,278.70M,,,,19.50M,,,,,386.20M,128.60M,,,,19.50M,,114.90M,47.00M,67.90M,,,0.10M,67.90M,56.20M,236.10M,107.50M,128.60M,,0.16,0.00,,0.1324,0.16,,0.155,0.00,,0.1281,0.155,,424.12M,435.40M,0.125,,,
1992-09,1.441B,1.441B,921.90M,518.90M,264.40M,,,,-24.10M,,,,,352.80M,166.10M,,,,-24.10M,,105.60M,39.60M,66.00M,,,0.10M,66.00M,81.06M,254.50M,88.40M,166.10M,,0.155,0.00,,0.1904,0.155,,0.155,0.00,,0.1904,0.155,,425.81M,425.81M,0.115,,,
1992-06,1.513B,1.513B,941.40M,571.70M,265.10M,,,,1.90M,,,,,353.20M,218.50M,,,,1.90M,,184.10M,77.40M,106.70M,,,-1.40M,106.70M,105.56M,306.70M,88.20M,218.50M,,0.255,0.00,,0.2523,0.255,,0.255,0.00,,0.2523,0.255,,418.43M,418.43M,0.115,,,
1992-03,1.447B,1.447B,911.30M,535.40M,274.70M,,,,0.70M,,,,,363.80M,171.60M,,,,0.70M,,133.20M,54.40M,78.80M,,,-2.80M,78.80M,78.38M,260.70M,89.10M,171.60M,,0.185,0.00,,0.1840,0.185,,0.185,0.00,,0.1840,0.185,,425.95M,425.95M,0.115,,,
1991-12,1.424B,1.424B,911.90M,512.60M,276.10M,,,,-24.20M,,,,,387.90M,124.70M,,,,-24.20M,,59.80M,28.30M,31.50M,,,-1.30M,31.50M,46.02M,236.50M,111.80M,124.70M,,0.07,0.00,,0.1032,0.07,,0.065,0.00,,0.0969,0.065,,437.48M,455.52M,0.115,,,
1991-09,1.394B,1.394B,893.30M,500.20M,274.50M,,,,17.10M,,,,,361.50M,138.70M,,,,17.10M,,119.10M,50.20M,68.90M,,,-0.60M,68.90M,58.64M,225.70M,87.00M,138.70M,,0.165,0.00,,0.1404,0.165,,0.165,0.00,,0.1404,0.165,,417.58M,417.58M,0.105,,,
1991-06,1.478B,1.478B,949.70M,528.20M,266.20M,,,,-1.90M,,,,,353.00M,175.20M,,,,-1.90M,,132.80M,53.70M,79.10M,,,-2.20M,79.10M,80.24M,262.00M,86.80M,175.20M,,0.19,0.00,,0.1927,0.19,,0.19,0.00,,0.1927,0.19,,416.32M,416.32M,0.105,,,
1991-03,1.377B,1.377B,899.60M,477.10M,262.10M,,,,-50.50M,,,,,349.30M,127.80M,,,,-50.50M,,36.40M,14.50M,21.90M,,,-1.30M,21.90M,52.28M,215.00M,87.20M,127.80M,,0.055,0.00,,0.1313,0.055,,0.055,0.00,,0.1313,0.055,,398.18M,398.18M,0.105,,,
1990-12,1.500B,1.500B,938.20M,561.60M,278.50M,,,,17.30M,,,,,383.10M,178.50M,,,,17.30M,,153.40M,52.00M,101.40M,,,-1.50M,101.40M,89.96M,283.10M,104.60M,178.50M,,0.24,0.00,,0.2130,0.24,,0.235,0.00,,0.2085,0.235,,423.40M,431.15M,0.105,,,
1990-09,1.472B,1.472B,922.50M,549.20M,263.00M,,,,11.60M,,,,,345.80M,203.40M,,,,11.60M,,175.40M,68.30M,107.10M,,,-2.10M,107.10M,100.02M,286.20M,82.80M,203.40M,,0.25,0.00,,0.2335,0.25,,0.25,0.00,,0.2335,0.25,,428.40M,428.40M,0.105,,,
1990-06,1.572B,1.572B,949.60M,621.90M,254.90M,,,,-14.10M,,,,,334.60M,287.30M,,,,-14.10M,,232.10M,91.10M,141.00M,,,-4.50M,141.00M,149.57M,367.00M,79.70M,287.30M,,0.33,0.00,,0.3500,0.33,,0.33,0.00,,0.3500,0.33,,427.27M,427.27M,0.105,,,
1990-03,1.478B,1.478B,911.10M,567.10M,254.30M,,,,10.10M,,,,,332.00M,235.10M,,,,10.10M,,206.00M,80.70M,125.30M,,,-3.70M,125.30M,119.16M,312.80M,77.70M,235.10M,,0.29,0.00,,0.2758,0.29,,0.29,0.00,,0.2758,0.29,,432.07M,432.07M,0.095,,,
1989-12,1.424B,1.424B,872.70M,551.50M,254.40M,,,,-6.90M,,,,,354.30M,197.20M,,,,-6.90M,,160.20M,58.80M,101.40M,,,2.80M,101.40M,105.77M,297.10M,99.90M,197.20M,,0.23,0.00,,0.2399,0.23,,0.225,0.00,,0.2347,0.225,,441.53M,450.09M,0.095,,,
1989-09,1.360B,1.360B,874.30M,485.80M,241.00M,,,,24.70M,,,,,310.10M,175.70M,,,,24.70M,,165.30M,58.60M,106.70M,,,-2.60M,106.70M,90.76M,244.80M,69.10M,175.70M,,0.245,0.00,,0.2084,0.245,,0.245,0.00,,0.2084,0.245,,435.51M,435.51M,0.095,,,
1989-06,1.490B,1.490B,,,,,,,,,,,,,1.490B,,,,,,,,127.30M,,,,127.30M,,1.490B,,1.490B,,0.285,0.00,,0.285,0.285,,0.285,0.00,,0.285,0.285,,,,0.095,,,
1989-03,1.459B,1.459B,,,,,,,,,,,,,1.459B,,,,,,,,129.80M,,,,129.80M,,1.459B,,1.459B,,0.29,0.00,,0.29,0.29,,0.29,0.00,,0.29,0.29,,,,0.085,,,
1988-12,1.454B,1.454B,,,,,,,,,,,,,-3.265B,,,,,,,,102.30M,,,,102.30M,,-3.265B,,-3.265B,,,,,,,,,,,,,,,,0.085,,,
1988-09,1.361B,1.361B,,,,,,,,,,,,,1.361B,,,,,,,,112.90M,,,,112.90M,,1.361B,,1.361B,,0.26,0.00,,0.26,0.26,,0.26,0.00,,0.26,0.26,,,,0.085,,,
1988-06,1.450B,1.450B,,,,,,,,,,,,,1.450B,,,,,,,,133.80M,,,,133.80M,,1.450B,,1.450B,,0.305,0.00,,0.305,0.305,,0.305,0.00,,0.305,0.305,,,,0.075,,,
1988-03,1.373B,1.373B,,,,,,,,,,,,,1.373B,,,,,,,,118.60M,,,,118.60M,,1.373B,,1.373B,,0.27,0.00,,0.27,0.27,,0.27,0.00,,0.27,0.27,,,,0.075,,,
1987-12,1.328B,1.328B,,,,,,,,,,,,,-3.204B,,,,,,,,96.50M,,,,96.50M,,-3.204B,,-3.204B,,,,,,,,,,,,,,,,0.075,,,
1987-09,1.260B,1.260B,,,,,,,,,,,,,1.260B,,,,,,,,91.30M,,,,91.30M,,1.260B,,1.260B,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,,,0.0675,,,
1987-06,1.334B,1.334B,,,,,,,,,,,,,1.334B,,,,,,,,102.40M,,,,102.40M,,1.334B,,1.334B,,0.215,0.00,,0.215,0.215,,0.215,0.00,,0.215,0.215,,,,0.0675,,,
1987-03,1.261B,1.261B,,,,,,,,,,,,,1.261B,,,,,,,,86.90M,,,,86.90M,,1.261B,,1.261B,,0.185,0.00,,0.185,0.185,,0.185,0.00,,0.185,0.185,,,,0.0675,,,
1986-12,1.201B,1.201B,,,,,,,,,,,,,-2.868B,,,,,,,,72.90M,,,,72.90M,,-2.868B,,-2.868B,,,,,,,,,,,,,,,,0.06,,,
1986-09,1.140B,1.140B,,,,,,,,,,,,,1.140B,,,,,,,,82.50M,,,,82.50M,,1.140B,,1.140B,,0.175,0.00,,0.175,0.175,,0.175,0.00,,0.175,0.175,,,,0.06,,,
1986-06,1.209B,1.209B,,,,,,,,,,,,,1.209B,,,,,,,,91.80M,,,,91.80M,,1.209B,,1.209B,,0.195,0.00,,0.195,0.195,,0.195,0.00,,0.195,0.195,,,,0.06,,,
1986-03,1.137B,1.137B,,,,,,,,,,,,,1.137B,,,,,,,,69.20M,,,,69.20M,,1.137B,,1.137B,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,,,0.055,,,
1985-12,1.096B,1.096B,,,,,,,,,,,,,-2.692B,,,,,,,,59.00M,,,,59.00M,,-2.692B,,-2.692B,,,,,,,,,,,,,,,,,,,
1985-09,1.09B,1.09B,,,,,,,,,,,,,1.09B,,,,,,,,73.90M,,,,73.90M,,1.09B,,1.09B,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,,,,,,
1985-06,1.127B,1.127B,,,,,,,,,,,,,1.127B,,,,,,,,89.40M,,,,89.40M,,1.127B,,1.127B,,0.16,0.00,,0.16,0.16,,0.16,0.00,,0.16,0.16,,,,,,,
1985-03,1.036B,1.036B,,,,,,,,,,,,,1.036B,,,,,,,,80.40M,,,,80.40M,,1.036B,,1.036B,,0.145,0.00,,0.145,0.145,,0.145,0.00,,0.145,0.145,,,,,,,
1984-12,1.057B,1.057B,,,,,,,,,,,,,-2.678B,,,,,,,,65.70M,,,,65.70M,,-2.678B,,-2.678B,,,,,,,,,,,,,,,,,,,
1984-09,1.041B,1.041B,,,,,,,,,,,,,1.041B,,,,,,,,76.70M,,,,76.70M,,1.041B,,1.041B,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,,,,,,
1984-06,1.108B,1.108B,,,,,,,,,,,,,1.108B,,,,,,,,86.10M,,,,86.10M,,1.108B,,1.108B,,0.155,0.00,,0.155,0.155,,0.155,0.00,,0.155,0.155,,,,,,,
