,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1995-09,118.30M,,118.30M,1.320B,,1.320B,138.90M,,507.80M,113.20M,759.90M,,,176.60M,2.375B,,,,,,,6.393B,-3.629B,2.764B,,,,,,1.050B,3.814B,6.188B,,1.096B,,,1.096B,,1.096B,,,444.60M,,444.60M,39.40M,1.580B,744.50M,,744.50M,355.00M,355.00M,,,72.20M,795.40M,1.895B,3.475B,,484.30M,4.146B,72.40M,1.875B,4.10M,-190.90M,-186.80M,2.641B,,,
1995-06,100.60M,,100.60M,1.403B,,1.403B,132.50M,,513.70M,114.20M,760.40M,,,188.40M,2.452B,,,,,,,6.348B,-3.590B,2.758B,,,,,,967.60M,3.725B,6.177B,,1.078B,,,1.078B,,1.078B,,,370.00M,,370.00M,64.80M,1.513B,652.80M,,652.80M,317.40M,317.40M,,,76.80M,802.00M,1.772B,3.285B,,484.30M,4.037B,70.00M,1.605B,23.40M,-193.90M,-170.50M,2.816B,,,
1995-03,73.20M,,73.20M,1.413B,,1.413B,131.20M,,522.90M,113.20M,767.30M,,,197.60M,2.451B,,,,,,,6.010B,-3.252B,2.759B,,,,,,938.00M,3.697B,6.148B,,1.059B,,,1.059B,,1.059B,,,382.20M,,382.20M,134.70M,1.576B,655.50M,,655.50M,303.70M,303.70M,,,74.30M,791.60M,1.751B,3.327B,,484.30M,3.877B,69.20M,1.516B,6.40M,-174.60M,-168.20M,2.747B,,,
1994-12,62.10M,,62.10M,1.229B,,1.229B,111.90M,,462.70M,111.80M,686.40M,,117.40M,73.40M,2.168B,0.00,280.70M,1.103B,4.402B,226.70M,150.20M,6.163B,-3.420B,2.742B,,,,,,983.40M,3.726B,5.894B,,517.80M,,,517.80M,516.60M,1.034B,,,370.70M,,370.70M,19.40M,1.424B,745.00M,28.40M,773.40M,302.70M,302.70M,,,70.30M,766.00M,1.842B,3.267B,,484.30M,3.717B,67.50M,1.489B,-38.60M,-184.70M,-223.30M,2.557B,,,
1994-09,165.70M,,165.70M,1.229B,,1.229B,117.00M,,455.60M,114.20M,686.80M,,,233.90M,2.316B,,,,,,,6.128B,-3.410B,2.719B,,,,,,832.00M,3.551B,5.866B,,971.50M,,,971.50M,,971.50M,,,300.70M,,300.70M,17.50M,1.290B,767.70M,,767.70M,280.30M,280.30M,,,65.10M,773.80M,1.822B,3.112B,,484.30M,3.626B,65.90M,1.280B,-2.30M,-204.60M,-206.90M,2.690B,,,
1994-06,52.50M,,52.50M,1.295B,,1.295B,119.60M,,460.60M,114.30M,694.50M,,,221.10M,2.263B,,,,,,,6.076B,-3.341B,2.736B,,,,,,826.30M,3.562B,5.825B,,989.40M,,,989.40M,,989.40M,,,381.00M,,381.00M,0.10M,1.370B,769.10M,,769.10M,272.00M,272.00M,,,59.60M,780.40M,1.822B,3.192B,,484.30M,3.540B,66.80M,1.283B,-14.50M,-220.40M,-234.90M,2.573B,,,
1994-03,116.90M,,116.90M,1.221B,,1.221B,121.20M,,483.60M,113.40M,718.20M,,,227.10M,2.284B,,,,,,,6.085B,-3.322B,2.763B,,,,,,855.90M,3.619B,5.902B,,929.90M,,,929.90M,,929.90M,,,475.80M,,475.80M,54.60M,1.460B,771.90M,,771.90M,277.50M,277.50M,,,56.10M,821.00M,1.870B,3.331B,,242.10M,3.502B,308.30M,1.284B,-38.30M,-214.80M,-253.10M,2.515B,,,
1993-12,111.90M,,111.90M,996.70M,,996.70M,,,,,683.30M,,,234.00M,2.026B,,,,,,,6.042B,-3.255B,2.787B,,,,,,838.30M,3.626B,5.652B,,921.20M,,,921.20M,,921.20M,,,355.10M,,355.10M,4.70M,1.281B,774.00M,,774.00M,268.60M,268.60M,,,51.90M,802.90M,1.846B,3.126B,,,3.437B,,,,,,2.473B,,,
1993-09,61.30M,,61.30M,,,1.107B,,,,,735.90M,,,208.90M,2.113B,,,,,,,6.108B,-3.269B,2.839B,,,,,,816.10M,3.655B,5.768B,,904.90M,,,904.90M,,904.90M,,,433.90M,,433.90M,4.50M,1.343B,781.40M,,781.40M,232.50M,232.50M,,,51.80M,893.50M,1.907B,3.251B,,,3.446B,,,,,,2.466B,,,
1993-06,53.90M,,53.90M,,,1.140B,,,,,741.60M,,,199.90M,2.135B,,,,,,,6.187B,-3.279B,2.908B,,,,,,799.30M,3.707B,5.842B,,862.90M,,,862.90M,,862.90M,,,522.10M,,522.10M,33.80M,1.419B,790.80M,,790.80M,217.30M,217.30M,,,47.20M,840.10M,1.848B,3.267B,,,3.477B,,,,,,2.528B,,,
1993-03,89.40M,,89.40M,,,1.205B,,,,,748.70M,,,200.00M,2.243B,,,,,,,6.186B,-3.234B,2.952B,,,,,,799.80M,3.752B,5.995B,,888.60M,,,888.60M,,888.60M,,,522.20M,,522.20M,52.30M,1.463B,865.40M,,865.40M,256.30M,256.30M,,,48.90M,872.10M,1.994B,3.457B,,,3.423B,,,,,,2.489B,,,
1992-12,61.40M,,61.40M,,,1.023B,,,,,742.30M,,,123.70M,1.951B,,,,,,,6.158B,-3.186B,2.972B,,,,,,739.40M,3.711B,5.662B,,447.00M,,,447.00M,,447.00M,,,434.40M,,434.40M,371.60M,1.253B,872.30M,,872.30M,471.60M,471.60M,,,60.30M,305.60M,1.650B,2.902B,,,3.632B,,,,,,2.699B,,,
1992-09,80.70M,,80.70M,,,1.151B,,,,,822.60M,,,155.00M,2.210B,,,,,,,6.296B,-3.226B,3.070B,,,,,,759.20M,3.830B,6.039B,,887.10M,,,887.10M,,887.10M,,,451.60M,,451.60M,28.10M,1.367B,1.011B,,1.011B,481.30M,481.30M,,,67.80M,338.50M,1.831B,3.198B,,,3.614B,,,,,,2.773B,,,
1992-06,85.60M,,85.60M,,,1.173B,,,,,831.80M,,,152.10M,2.242B,,,,,,,6.162B,-3.051B,3.112B,,,,,,730.70M,3.842B,6.084B,,899.50M,,,899.50M,,899.50M,,,374.40M,,374.40M,41.60M,1.316B,1.104B,,1.104B,487.70M,487.70M,,,75.10M,353.60M,1.945B,3.260B,,,3.589B,,,,,,2.749B,,,
1992-03,72.10M,,72.10M,,,1.148B,,,,,830.50M,,,153.40M,2.204B,,,,,,,6.142B,-3.051B,3.091B,,,,,,699.30M,3.791B,5.995B,,840.70M,,,840.70M,,840.70M,,,486.30M,,486.30M,40.90M,1.368B,1.096B,,1.096B,477.30M,477.30M,,,75.70M,348.10M,1.921B,3.289B,,,3.534B,,,,,,2.630B,,,
1991-12,37.60M,,37.60M,,,1.058B,,,,,875.30M,,,202.50M,2.173B,,,,,,,6.212B,-3.029B,3.183B,,,,,,699.70M,3.883B,6.056B,,915.10M,,,915.10M,,915.10M,,,410.40M,,410.40M,15.00M,1.340B,1.163B,,1.163B,475.60M,475.60M,,,75.50M,346.90M,1.986B,3.326B,,,3.501B,,,,,,2.654B,,,
1991-09,55.50M,,55.50M,,,1.110B,,,,,828.10M,,,154.20M,2.148B,,,,,,,6.067B,-2.934B,3.133B,,,,,,703.30M,3.836B,5.984B,,842.70M,,,842.70M,,842.70M,,,341.90M,,341.90M,8.50M,1.193B,1.286B,,1.286B,460.50M,460.50M,,,70.10M,361.20M,2.108B,3.301B,,,3.516B,,,,,,2.613B,,,
1991-06,61.00M,,61.00M,,,1.162B,,,,,833.10M,,,127.90M,2.184B,,,,,,,5.967B,-2.861B,3.105B,,,,,,680.60M,3.786B,5.970B,,837.50M,,,837.50M,,837.50M,,,450.10M,,450.10M,8.40M,1.296B,1.267B,,1.267B,454.60M,454.60M,,,66.50M,346.70M,2.068B,3.364B,,,3.489B,,,,,,2.539B,,,
1991-03,63.10M,,63.10M,,,1.062B,,,,,913.60M,,,150.10M,2.188B,,,,,,,6.009B,-2.825B,3.184B,,,,,,656.50M,3.840B,6.029B,,871.90M,,,871.90M,,871.90M,,,596.00M,,596.00M,10.40M,1.478B,1.140B,,1.140B,460.80M,460.80M,,,72.90M,344.30M,1.945B,3.423B,,,3.452B,,,,,,2.533B,,,
1990-12,59.30M,,59.30M,,,1.069B,,,,,945.10M,,,143.20M,2.217B,,,,,,,5.995B,-2.740B,3.255B,,,,,,636.20M,3.891B,6.108B,,1.016B,,,1.016B,,1.016B,,,431.80M,,431.80M,23.00M,1.470B,1.186B,,1.186B,460.90M,460.90M,,,69.40M,374.70M,2.022B,3.492B,,,3.398B,,,,,,2.546B,,,
1990-09,4.00M,,4.00M,,,1.179B,,,,,871.50M,,,157.30M,2.211B,,,,,,,5.831B,-2.667B,3.164B,,,,,,653.00M,3.817B,6.028B,,911.40M,,,911.40M,,911.40M,,,667.60M,,667.60M,23.90M,1.603B,1.070B,,1.070B,447.60M,447.60M,,,67.00M,380.80M,1.898B,3.501B,,,3.338B,,,,,,2.460B,,,
1990-06,47.40M,,47.40M,,,1.251B,,,,,769.10M,,,146.30M,2.214B,,,,,,,5.596B,-2.577B,3.019B,,,,,,605.00M,3.624B,5.838B,,888.10M,,,888.10M,,888.10M,,,691.90M,,691.90M,32.10M,1.612B,920.00M,,920.00M,453.30M,453.30M,,,61.60M,375.60M,1.749B,3.361B,,,3.273B,,,,,,2.415B,,,
1990-03,33.00M,,33.00M,,,1.218B,,,,,755.60M,,,137.60M,2.145B,,,,,,,5.514B,-2.511B,3.003B,,,,,,598.00M,3.601B,5.746B,,832.30M,,,832.30M,,832.30M,,,540.30M,,540.30M,85.30M,1.458B,1.087B,,1.087B,442.00M,442.00M,,,66.20M,361.50M,1.891B,3.348B,,,3.175B,,,,,,2.331B,,,
1989-12,64.60M,,64.60M,,,1.108B,,,,,753.70M,,,130.10M,2.056B,,,,,,,5.448B,-2.441B,3.007B,,,,,,582.30M,3.589B,5.645B,,851.40M,,,851.40M,,851.40M,,,441.10M,,441.10M,45.20M,1.338B,1.178B,,1.178B,416.90M,416.90M,,,64.00M,367.00M,1.961B,3.299B,,,3.089B,,,,,,2.282B,,,
1989-09,31.10M,,31.10M,,,1.063B,,,,,715.00M,,,124.20M,1.934B,,,,,,,5.292B,-2.379B,2.913B,,,,,,459.40M,3.372B,5.306B,,817.70M,,,817.70M,,817.70M,,,273.00M,,273.00M,18.70M,1.109B,1.156B,,1.156B,432.90M,432.90M,,,65.20M,350.50M,1.940B,3.049B,,,3.023B,,,,,,2.191B,,,
1988-12,103.40M,,103.40M,,,1.01B,,,,,683.10M,,,102.50M,1.899B,,,,,,,5.006B,-2.248B,2.758B,,,,,,497.40M,3.255B,5.154B,,,,,,,,,,426.40M,,426.40M,838.10M,1.264B,876.90M,,876.90M,399.40M,399.40M,,,,369.90M,1.646B,2.911B,,,2.781B,,,,,,2.243B,,,
1987-12,82.10M,,82.10M,,,1.037B,,,,,650.70M,,,65.50M,1.836B,,,,,,,4.754B,-2.069B,2.685B,,,,,,467.30M,3.152B,4.988B,,,,,,,,,,509.50M,,509.50M,765.30M,1.275B,903.30M,,903.30M,370.40M,370.40M,,,,395.90M,1.670B,2.944B,,,2.460B,,,,,,2.044B,,,
1986-12,66.30M,,66.30M,,,896.00M,,,,,601.60M,,,52.00M,1.616B,,,,,,,4.573B,-1.912B,2.661B,,,,,,364.90M,3.026B,4.641B,,,,,,,,,,345.80M,,345.80M,629.90M,975.70M,1.008B,,1.008B,367.70M,367.70M,,,,311.80M,1.688B,2.664B,,,2.214B,,,,,,1.978B,,,
1985-12,24.30M,,24.30M,,,764.60M,,,,,527.60M,,,53.60M,1.370B,,,,,,,4.181B,-1.703B,2.478B,,,,,,235.20M,2.714B,4.084B,,,,,,,,,,238.70M,,238.70M,584.90M,823.60M,983.30M,,983.30M,,,,,,571.60M,1.555B,2.378B,,,2.009B,,,,,,1.705B,,,
1984-12,64.40M,,64.40M,,,739.50M,,,,,463.70M,,,64.10M,1.332B,,,,,,,3.810B,-1.553B,2.257B,,,,,,208.10M,2.465B,3.797B,,,,,,,,,,175.20M,,175.20M,598.00M,773.20M,489.00M,,489.00M,,,,,,519.40M,1.008B,1.782B,,,1.817B,,,,,,2.015B,,,
