,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2012-12,80.80M,,,-1.60M,,-1.60M,15.80M,9.80M,25.60M,25.60M,-0.80M,,1.80M,-0.60M,-0.70M,7.50M,21.60M,,63.20M,0.00,,6.90M,99.20M,207.70M,,-24.80M,,-24.80M,,-656.30M,,650.80M,-30.30M,,0.00,-0.70M,-0.70M,,-50.00M,-50.00M,-33.50M,-33.50M,7.50M,0.60M,-76.10M,,241.20M,101.30M,0.50M,343.00M,,,-0.70M,0.00,-50.00M,9.60M,5.00M,,AOR,Restated
2012-09,93.90M,,,-2.40M,,-2.40M,13.70M,6.40M,20.10M,20.10M,6.20M,,1.70M,-1.50M,-0.30M,-4.60M,3.80M,,14.80M,-0.40M,,-6.70M,6.90M,126.70M,,-9.70M,,-9.70M,,-2.90M,,-650.20M,-662.80M,,399.60M,222.20M,621.80M,,0.00,0.00,-33.50M,-33.50M,2.80M,-1.90M,589.20M,,184.20M,53.10M,3.90M,241.20M,,,621.80M,0.00,0.00,29.10M,0.10M,,AOR,Restated
2012-06,79.30M,,,-2.40M,,-2.40M,13.70M,6.40M,20.10M,20.10M,6.30M,,7.40M,-8.30M,0.30M,-7.20M,-15.20M,,-12.90M,3.50M,,0.40M,-31.40M,75.30M,,-24.90M,,-24.90M,,-3.80M,,-1.00M,-29.70M,,0.00,32.30M,32.30M,,-110.10M,-110.10M,-33.30M,-33.30M,12.30M,8.30M,-90.50M,,232.40M,-44.90M,-3.30M,184.20M,,,29.80M,2.50M,-110.10M,66.40M,4.60M,,AOR,Restated
2012-03,95.80M,,,-2.50M,,-2.50M,12.80M,6.40M,19.20M,19.20M,1.50M,,1.50M,-4.20M,-0.40M,-4.70M,-11.30M,,24.30M,-1.10M,,-6.50M,0.70M,113.90M,,-15.10M,,-15.10M,,-3.00M,0.00,-0.40M,-18.50M,,0.00,-2.50M,-2.50M,,-90.30M,-90.30M,-34.20M,-34.20M,5.40M,4.20M,-117.40M,,251.40M,-22.00M,3.00M,232.40M,,,0.00,-2.50M,-90.30M,18.70M,0.00,,AOR,Restated
2011-12,63.80M,,,-9.50M,-9.70M,-19.20M,11.50M,6.90M,18.40M,18.40M,21.80M,,,,0.80M,-6.30M,20.30M,,5.00M,-4.30M,,5.80M,20.50M,118.60M,,-35.80M,,-35.80M,,-7.50M,-1.50M,1.90M,-42.90M,,0.00,-1.30M,-1.30M,,-80.10M,-80.10M,,-24.30M,6.90M,1.40M,-97.40M,,275.00M,-21.70M,-1.90M,251.40M,,,0.00,,-80.10M,,,,AOR,Restated
2011-09,79.60M,,,0.10M,1.30M,1.40M,12.70M,6.80M,19.50M,19.50M,16.80M,,,,0.50M,5.70M,-13.80M,,42.00M,2.40M,,-6.60M,29.70M,147.50M,,-17.20M,,-17.20M,,0.00,0.20M,-0.70M,-17.70M,,0.00,3.90M,3.90M,,0.00,0.00,,-24.50M,3.50M,4.70M,-12.40M,,163.40M,117.40M,-5.80M,275.00M,,,0.00,,0.00,,,,AOR,Restated
2011-06,82.60M,,,0.00,6.60M,6.60M,13.00M,6.80M,19.80M,19.80M,7.50M,,,,-0.60M,-19.70M,-0.60M,,-2.20M,2.40M,,-3.60M,-23.70M,92.20M,,-16.80M,,-16.80M,,-64.80M,0.20M,0.30M,-81.10M,,,0.00,0.00,,0.00,0.00,,-24.30M,10.90M,3.10M,-10.30M,,159.10M,0.80M,3.50M,163.40M,,,,,0.00,,,,AOR,Restated
2011-03,83.60M,,,-0.60M,1.80M,1.20M,12.60M,6.80M,19.40M,19.40M,13.30M,,,,-0.50M,-15.00M,-14.90M,,1.70M,-6.60M,,-2.70M,-37.50M,79.50M,,-6.80M,,-6.80M,,,1.10M,-0.40M,-6.10M,,,-90.00M,-90.00M,,-0.10M,-0.10M,,-24.30M,5.80M,2.20M,-106.40M,,189.20M,-33.00M,2.90M,159.10M,,,,,-0.10M,,,,AOR,Restated
2010-12,47.00M,,-3.30M,-7.70M,-10.10M,-15.60M,10.20M,7.00M,17.20M,17.20M,11.10M,,,,,20.60M,22.50M,,12.00M,0.20M,,8.50M,63.80M,139.80M,,-26.40M,-8.20M,-34.60M,,-46.00M,-1.70M,1.90M,-72.20M,,-408.30M,90.00M,-318.30M,,0.00,0.00,,-12.10M,4.50M,-5.50M,-331.40M,,453.50M,-263.80M,-0.50M,189.20M,,,,-658.00M,0.00,,,,AOR,Restated
2010-09,69.40M,,4.00M,2.50M,2.00M,8.50M,11.30M,6.70M,18.00M,18.00M,19.20M,,,,,-3.20M,18.10M,,35.70M,4.10M,,-4.90M,49.80M,164.90M,,-16.90M,0.00,-16.90M,,-10.00M,0.10M,-0.60M,-27.40M,,-41.20M,-1.80M,-43.00M,,0.00,0.00,,-12.10M,1.70M,2.00M,-51.40M,,364.30M,86.10M,3.10M,453.50M,,,,-41.20M,0.00,,,,AOR,Restated
2010-06,74.30M,,0.70M,-0.90M,6.30M,6.10M,11.30M,6.90M,18.20M,18.20M,4.60M,,,,,-5.90M,-3.40M,,-40.90M,1.30M,,-2.50M,-51.40M,51.80M,,-11.30M,0.00,-11.30M,,-69.80M,1.60M,-2.20M,-81.70M,,-41.10M,-3.00M,-44.10M,,0.00,0.00,,-9.90M,4.40M,1.50M,-48.10M,,446.60M,-78.00M,-4.30M,364.30M,,,,-41.10M,0.00,,,,AOR,Restated
2010-03,80.00M,,-1.40M,1.10M,1.80M,0.50M,11.30M,6.90M,18.20M,18.20M,4.00M,,,,,-24.20M,-13.10M,,8.30M,-3.70M,,2.00M,-30.70M,72.00M,,-9.20M,8.20M,-1.00M,,-0.20M,,2.10M,0.90M,,-41.10M,-30.10M,-71.20M,,-0.10M,-0.10M,,-9.90M,5.40M,3.00M,-72.80M,,447.10M,0.10M,-0.60M,446.60M,,,,-41.10M,-0.10M,,,,AOR,Restated
