,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2001-02,229.26M,229.26M,44.57M,184.68M,88.00M,7.234M,,,,,97.80M,86.88M,,,,7.234M,,94.12M,27.76M,66.35M,,66.35M,61.25M,96.68M,9.803M,86.88M,,0.18,0.00,0.1663,0.18,,0.18,0.00,0.1665,0.18,,373.06M,377.68M,0.09,,,
2000-11,208.10M,208.10M,37.68M,170.42M,77.58M,5.965M,,,,,86.99M,83.42M,,,,5.965M,,89.39M,27.26M,62.13M,,62.13M,57.98M,92.84M,9.415M,83.42M,,0.17,0.00,0.1589,0.17,,0.16,0.00,0.1490,0.16,,372.62M,377.84M,0.09,,,
2000-08,186.47M,203.88M,36.62M,167.26M,79.13M,5.534M,,,,,88.44M,78.83M,,,,5.534M,,84.36M,25.73M,58.63M,,58.63M,54.78M,88.14M,9.309M,78.83M,,0.16,0.00,0.1497,0.16,,0.16,0.00,0.1498,0.16,,372.02M,377.16M,0.06,,,
2000-05,197.22M,197.22M,37.20M,160.02M,80.54M,4.879M,,,,,90.13M,69.89M,,,,4.879M,,74.77M,23.16M,51.61M,,51.61M,48.24M,79.48M,9.584M,69.89M,,0.1367,0.00,0.1276,0.1367,,0.1367,0.00,0.1277,0.1367,,371.56M,374.40M,0.06,,,
2000-02,192.20M,192.20M,36.80M,155.40M,78.30M,4.00M,,,,,87.50M,67.90M,,,,4.00M,,71.90M,22.30M,49.60M,,49.60M,46.84M,77.10M,9.20M,67.90M,,0.1333,0.00,0.1259,0.1333,,0.1333,0.00,0.1260,0.1333,,370.97M,377.72M,0.06,,,
1999-11,172.40M,172.40M,32.50M,139.90M,68.50M,3.90M,,,,,77.40M,62.50M,,,,3.90M,,66.40M,20.60M,45.80M,,45.80M,43.11M,71.40M,8.90M,62.50M,,0.0867,0.00,0.0794,0.0867,,0.08,0.00,0.0727,0.08,,370.71M,370.71M,0.06,,,
1999-08,166.40M,166.40M,30.60M,135.80M,68.30M,3.70M,,,,,77.10M,58.70M,,,,3.70M,,62.30M,19.30M,43.00M,,43.00M,40.45M,67.50M,8.80M,58.70M,,0.0733,0.00,0.0664,0.0733,,0.0733,0.00,0.0664,0.0733,,369.89M,369.89M,0.04,,,
1999-05,156.60M,156.60M,29.14M,127.45M,65.98M,3.581M,,,,,75.09M,52.36M,,,,3.581M,,55.94M,18.04M,37.90M,,37.90M,35.47M,61.47M,9.111M,52.36M,,0.1026,,0.0960,0.1026,,0.1026,,0.0960,0.1026,,369.49M,369.49M,0.04,,,
1999-02,158.40M,158.40M,32.50M,125.90M,68.90M,3.10M,,,,,77.40M,48.50M,,,,3.10M,,51.60M,15.40M,36.20M,,36.20M,34.03M,57.00M,8.50M,48.50M,,0.0444,0.00,0.0385,0.0444,,0.0444,0.00,0.0385,0.0444,,368.92M,368.92M,0.04,,,
1998-11,142.90M,142.90M,29.10M,113.80M,61.10M,3.00M,,,,,68.90M,44.90M,,,,3.00M,,48.00M,14.40M,33.60M,,33.60M,31.50M,52.70M,7.80M,44.90M,,0.04,0.00,0.0343,0.04,,0.04,0.00,0.0343,0.04,,368.14M,368.14M,0.04,,,
1998-08,139.30M,139.30M,28.40M,110.90M,61.80M,3.00M,,,,,69.30M,41.60M,,,,3.00M,,44.60M,13.20M,31.40M,,31.40M,29.29M,49.10M,7.50M,41.60M,,0.04,0.00,0.0343,0.04,,0.04,0.00,0.0343,0.04,,367.61M,367.61M,0.0267,,,
1998-05,-231.50M,-231.50M,-342.63M,111.13M,60.57M,2.673M,,,,,74.23M,36.90M,,,,2.673M,,39.57M,11.55M,28.02M,,28.02M,26.13M,50.56M,13.66M,36.90M,,0.0763,,0.0712,0.0763,,0.0763,,0.0712,0.0763,,367.17M,367.17M,0.0267,,,
1998-02,271.40M,271.40M,173.80M,97.60M,61.70M,2.30M,,,,,62.70M,34.90M,,,,2.30M,,37.20M,10.80M,26.40M,,26.40M,24.77M,35.90M,1.00M,34.90M,,0.0207,0.00,0.0163,0.0207,,0.0207,0.00,0.0163,0.0207,,367.01M,367.01M,0.0267,,,
1997-11,235.20M,235.20M,143.30M,91.90M,52.70M,2.30M,,,,,59.30M,32.60M,,,,2.30M,,34.80M,10.10M,24.70M,,24.70M,23.07M,39.20M,6.60M,32.60M,,0.0207,0.00,0.0163,0.0207,,0.0207,0.00,0.0163,0.0207,,366.84M,366.84M,0.0267,,,
1997-08,218.60M,218.60M,129.90M,88.70M,52.30M,2.20M,,,,,58.30M,30.40M,,,,2.20M,,32.60M,9.50M,23.10M,,23.10M,21.54M,36.40M,6.00M,30.40M,,0.0178,0.00,0.0135,0.0178,,0.0178,0.00,0.0135,0.0178,,366.53M,366.53M,0.0178,,,
1997-05,203.60M,203.60M,116.20M,87.40M,50.50M,2.00M,,,,,61.20M,26.20M,,,,2.00M,,28.30M,7.50M,20.80M,,20.80M,19.33M,36.90M,10.70M,26.20M,,0.0568,,0.0528,0.0568,,0.0568,,0.0528,0.0568,,366.25M,366.25M,0.0178,,,
1997-02,195.60M,195.60M,116.10M,79.50M,51.10M,1.80M,,,,,54.40M,25.10M,,,,1.80M,,26.80M,7.50M,19.30M,,19.30M,18.00M,28.40M,3.30M,25.10M,,0.0099,0.00,0.0063,0.0099,,0.0099,0.00,0.0063,0.0099,,366.08M,366.08M,0.0178,,,
1996-11,169.50M,169.50M,98.60M,70.90M,43.90M,1.70M,,,,,47.60M,23.30M,,,,1.70M,,25.10M,7.00M,18.10M,,18.10M,16.87M,27.00M,2.80M,23.30M,,0.0099,0.00,0.0065,0.0099,,0.0099,0.00,0.0065,0.0099,,365.25M,365.25M,0.0178,,,
1996-08,166.00M,166.00M,96.70M,69.30M,42.60M,1.50M,,,,,47.20M,22.10M,,,,1.50M,,23.60M,6.50M,17.10M,,17.10M,16.01M,26.70M,4.60M,22.10M,,0.0099,0.00,0.0069,0.0099,,0.0099,0.00,0.0069,0.0099,,362.86M,362.86M,0.0119,,,
1996-05,327.10M,327.10M,255.80M,71.30M,43.30M,1.30M,,,,,50.00M,21.30M,,,,1.30M,,22.80M,5.70M,17.10M,,17.10M,16.12M,28.00M,6.70M,21.30M,,0.0492,,0.0464,0.0492,,0.0492,,0.0464,0.0492,,347.79M,347.79M,0.0119,,,
1996-02,84.90M,84.90M,22.40M,62.50M,42.90M,1.40M,,,,,46.30M,16.20M,,,,1.40M,,17.70M,4.80M,12.90M,,12.90M,11.88M,19.60M,3.40M,16.20M,,0.0053,0.00,0.0023,0.0053,,0.0053,0.00,0.0023,0.0053,,346.94M,346.94M,0.0119,,,
1995-11,78.20M,78.20M,20.20M,58.00M,38.00M,1.40M,,,,,41.60M,16.40M,,,,1.40M,,17.90M,5.10M,12.80M,,12.80M,11.80M,20.00M,3.60M,16.40M,,0.0053,0.00,0.0024,0.0053,,0.0053,0.00,0.0024,0.0053,,346.15M,346.15M,0.0119,,,
1995-08,76.20M,76.20M,18.90M,57.30M,38.00M,1.40M,,,,,41.50M,15.80M,,,,1.40M,,17.10M,4.90M,12.20M,,12.20M,11.20M,19.30M,3.50M,15.80M,,0.0040,0.00,0.0011,0.0040,,0.0040,0.00,0.0011,0.0040,,344.61M,344.61M,0.0079,,,
1995-05,71.90M,71.90M,18.20M,53.70M,37.40M,1.00M,,,,,40.40M,13.30M,,,,1.00M,,14.20M,3.70M,10.50M,,10.50M,9.761M,16.30M,3.00M,13.30M,,0.0308,,0.0286,0.0308,,0.0308,,0.0286,0.0308,,341.10M,341.10M,0.0079,,,
1995-02,68.60M,68.60M,18.60M,50.00M,35.40M,1.00M,,,,,38.10M,11.90M,,,,1.00M,,12.80M,3.50M,9.30M,,9.30M,8.573M,14.60M,2.70M,11.90M,,0.0026,0.00,0.0005,0.0026,,0.0026,0.00,0.0005,0.0026,,340.59M,340.59M,0.0079,,,
1994-11,63.80M,63.80M,15.70M,48.10M,32.40M,0.80M,,,,,35.10M,13.00M,,,,0.80M,,13.70M,4.10M,9.60M,,9.60M,9.039M,15.70M,2.70M,13.00M,,0.0026,0.00,0.0010,0.0026,,0.0026,0.00,0.0010,0.0026,,339.88M,339.88M,0.0079,,,
1994-08,62.90M,62.90M,15.10M,47.80M,32.40M,0.70M,,,,,35.00M,12.80M,,,,0.70M,,13.60M,4.00M,9.60M,,9.60M,9.106M,15.40M,2.60M,12.80M,,0.0026,0.00,0.0012,0.0026,,0.0026,0.00,0.0012,0.0026,,339.74M,339.74M,0.0053,,,
1994-05,58.90M,58.90M,14.80M,44.10M,32.00M,0.60M,,,,,34.70M,9.40M,,,,0.60M,,10.00M,2.60M,7.40M,,7.40M,6.956M,12.10M,2.70M,9.40M,,0.0218,,0.0205,0.0218,,0.0218,,0.0205,0.0218,,339.64M,339.64M,0.0053,,,
1994-02,57.60M,57.60M,15.40M,42.20M,31.00M,0.70M,,,,,33.60M,8.60M,,,,0.70M,,9.30M,2.70M,6.60M,,6.60M,6.103M,11.20M,2.60M,8.60M,,0.0018,0.00,0.0003,0.0018,,0.0018,0.00,0.0003,0.0018,,339.52M,339.52M,0.0053,,,
1993-11,54.30M,54.30M,13.30M,41.00M,28.20M,0.50M,,,,,31.30M,9.70M,,,,0.50M,,10.10M,3.00M,7.10M,,7.10M,6.749M,12.80M,3.10M,9.70M,,0.0018,0.00,0.0007,0.0018,,0.0018,0.00,0.0007,0.0018,,339.16M,339.16M,0.0053,,,
1993-08,53.30M,53.30M,13.40M,39.90M,28.00M,0.50M,,,,,30.80M,9.10M,,,,0.50M,,9.50M,2.60M,6.90M,,6.90M,6.537M,11.90M,2.80M,9.10M,,0.0018,0.00,0.0007,0.0018,,0.0018,0.00,0.0007,0.0018,,338.63M,338.63M,0.0023,,,
1993-05,50.30M,50.30M,13.00M,37.30M,27.90M,0.60M,,,,,30.60M,6.70M,,,,0.60M,,7.30M,2.00M,5.30M,,5.30M,4.864M,9.40M,2.70M,6.70M,,0.0157,,0.0144,0.0157,,0.0157,,0.0144,0.0157,,338.29M,338.29M,0.0023,,,
1993-02,48.60M,48.60M,13.90M,34.70M,26.20M,0.30M,,,,,28.90M,5.80M,,,,0.30M,,6.20M,1.80M,4.40M,,4.40M,4.187M,8.50M,2.70M,5.80M,,0.0006,0.00,-0.0000,0.0006,,0.0006,0.00,-0.0000,0.0006,,337.93M,337.93M,0.0023,,,
1992-11,45.70M,45.70M,11.80M,33.90M,24.30M,0.30M,,,,,27.00M,6.90M,,,,0.30M,,7.40M,2.20M,5.20M,,5.20M,4.989M,9.60M,2.70M,6.90M,,0.0006,0.00,-0.0000,0.0006,,0.0006,0.00,-0.0000,0.0006,,337.55M,337.55M,0.0023,,,
1992-08,45.30M,45.30M,11.30M,34.00M,24.30M,0.30M,,,,,26.90M,7.10M,,,,0.30M,,7.20M,2.10M,5.10M,,5.10M,4.888M,9.70M,2.60M,7.10M,,0.0006,0.00,-0.0000,0.0006,,0.0006,0.00,-0.0000,0.0006,,336.84M,336.84M,0.0023,,,
1992-05,42.40M,42.40M,10.70M,31.70M,24.10M,0.30M,,,,,26.90M,4.80M,,,,0.30M,,4.90M,1.40M,3.50M,,3.50M,3.286M,7.60M,2.80M,4.80M,,0.0104,,0.0098,0.0104,,0.0104,,0.0098,0.0104,,336.54M,336.54M,0.0010,,,
1992-02,41.70M,41.70M,12.30M,29.40M,23.00M,0.20M,,,,,25.30M,4.10M,,,,0.20M,,4.20M,1.20M,3.00M,,3.00M,2.857M,6.40M,2.30M,4.10M,,0.0004,0.00,-0.0000,0.0004,,0.0004,0.00,-0.0000,0.0004,,336.11M,336.11M,0.0010,,,
1991-11,39.20M,39.20M,10.40M,28.80M,21.30M,0.20M,,,,,23.50M,5.30M,,,,0.20M,,5.50M,1.70M,3.80M,,3.80M,3.662M,7.50M,2.20M,5.30M,,0.0004,0.00,-0.0000,0.0004,,0.0004,0.00,-0.0000,0.0004,,334.70M,334.70M,0.0010,,,
1991-08,38.00M,38.00M,10.00M,28.00M,20.80M,0.20M,,,,,23.30M,4.70M,,,,0.20M,,4.90M,1.50M,3.40M,,3.40M,3.261M,7.20M,2.50M,4.70M,,0.0004,0.00,-0.0000,0.0004,,0.0004,0.00,-0.0000,0.0004,,333.66M,333.66M,0.0008,,,
1991-05,35.30M,35.30M,10.20M,25.10M,20.10M,0.20M,,,,,22.50M,2.60M,,,,0.20M,,2.70M,0.70M,2.00M,,2.00M,1.852M,5.00M,2.40M,2.60M,,0.0060,,0.0056,0.0060,,0.0060,,0.0056,0.0060,,333.47M,333.47M,0.0008,,,
1991-02,35.30M,35.30M,11.70M,23.60M,19.00M,0.20M,,,,,21.00M,2.60M,,,,0.20M,,2.80M,0.90M,1.90M,,1.90M,1.764M,4.60M,1.90M,2.60M,,0.0004,0.00,-0.0000,0.0004,,0.0004,0.00,-0.0000,0.0004,,333.47M,333.47M,0.0008,,,
1990-11,33.50M,33.50M,9.80M,23.70M,17.60M,0.30M,,,,,19.60M,4.10M,,,,0.30M,,4.20M,1.40M,2.80M,,2.80M,2.60M,6.10M,2.00M,4.10M,,0.0004,0.00,-0.0002,0.0004,,0.0004,0.00,-0.0002,0.0004,,333.27M,333.27M,0.0008,,,
1990-08,33.10M,33.10M,9.70M,23.40M,17.10M,0.30M,,,,,19.20M,4.20M,,,,0.30M,,4.40M,1.50M,2.90M,,2.90M,2.702M,6.30M,2.10M,4.20M,,0.0004,0.00,-0.0002,0.0004,,0.0004,0.00,-0.0002,0.0004,,333.13M,333.13M,0.0007,,,
1990-05,31.20M,31.20M,9.70M,21.50M,17.00M,0.30M,,,,,19.10M,2.40M,,,,0.30M,,2.60M,0.80M,1.80M,,1.80M,1.592M,4.50M,2.10M,2.40M,,0.0054,,0.0048,0.0054,,0.0054,,0.0048,0.0054,,333.10M,333.10M,0.0007,,,
1990-02,31.00M,31.00M,10.90M,20.10M,16.60M,0.30M,,,,,18.40M,1.70M,,,,0.30M,,1.90M,0.60M,1.30M,,1.30M,1.095M,3.50M,1.80M,1.70M,,0.0004,0.00,-0.0002,0.0004,,0.0004,0.00,-0.0002,0.0004,,332.93M,332.93M,0.0007,,,
1989-11,29.50M,29.50M,9.00M,20.50M,14.70M,0.30M,,,,,16.40M,4.10M,,,,0.30M,,4.30M,1.60M,2.70M,,2.70M,2.512M,5.80M,1.70M,4.10M,,0.0004,0.00,-0.0002,0.0004,,0.0004,0.00,-0.0002,0.0004,,332.88M,332.88M,0.0007,,,
1989-08,28.50M,28.50M,8.20M,20.30M,14.70M,0.30M,,,,,16.40M,3.90M,,,,0.30M,,4.30M,1.60M,2.70M,,2.70M,2.512M,5.60M,1.70M,3.90M,,0.0004,0.00,-0.0002,0.0004,,0.0004,0.00,-0.0002,0.0004,,332.65M,332.65M,0.0005,,,
1989-05,26.60M,26.60M,,,,,,,,,,-60.40M,,,,,,,,2.10M,,2.10M,,-60.40M,,-60.40M,,,,,,,,,,,,332.49M,332.49M,0.0005,,,
1989-02,25.80M,25.80M,,,,,,,,,,25.80M,,,,,,,,2.00M,,2.00M,,25.80M,,25.80M,,0.0004,0.00,0.0004,0.0004,,0.0004,0.00,0.0004,0.0004,,331.90M,331.90M,0.0005,,,
1988-11,24.00M,24.00M,,,,,,,,,,24.00M,,,,,,,,2.50M,,2.50M,,24.00M,,24.00M,,0.0004,0.00,0.0004,0.0004,,0.0004,0.00,0.0004,0.0004,,331.90M,331.90M,0.0005,,,
1988-08,24.90M,24.90M,,,,,,,,,,24.90M,,,,,,,,2.80M,,2.80M,,24.90M,,24.90M,,0.0004,0.00,0.0004,0.0004,,0.0004,0.00,0.0004,0.0004,,329.95M,329.95M,,,,
1988-05,21.50M,21.50M,,,,,,,,,,-47.10M,,,,,,,,1.50M,,1.50M,,-47.10M,,-47.10M,,,,,,,,,,,,329.95M,329.95M,,,,
1988-02,20.70M,20.70M,,,,,,,,,,20.70M,,,,,,,,1.50M,,1.50M,,20.70M,,20.70M,,0.0004,0.00,0.0004,0.0004,,0.0004,0.00,0.0004,0.0004,,329.95M,329.95M,,,,
1987-11,19.20M,19.20M,,,,,,,,,,19.20M,,,,,,,,2.10M,,2.10M,,19.20M,,19.20M,,0.0004,0.00,0.0004,0.0004,,0.0004,0.00,0.0004,0.0004,,329.24M,329.24M,,,,
1987-08,18.00M,18.00M,,,,,,,,,,18.00M,,,,,,,,1.80M,,1.80M,,18.00M,,18.00M,,0.0003,0.00,0.0003,0.0003,,0.0003,0.00,0.0003,0.0003,,329.03M,329.03M,,,,
1987-05,17.00M,17.00M,,,,,,,,,,-36.80M,,,,,,,,1.30M,,1.30M,,-36.80M,,-36.80M,,,,,,,,,,,,333.30M,333.30M,,,,
1987-02,16.60M,16.60M,,,,,,,,,,16.60M,,,,,,,,1.10M,,1.10M,,16.60M,,16.60M,,0.0003,0.00,0.0003,0.0003,,0.0003,0.00,0.0003,0.0003,,328.72M,328.72M,,,,
1986-11,15.30M,15.30M,,,,,,,,,,15.30M,,,,,,,,1.20M,,1.20M,,15.30M,,15.30M,,0.0003,0.00,0.0003,0.0003,,0.0003,0.00,0.0003,0.0003,,326.51M,326.51M,,,,
1986-08,15.00M,15.00M,,,,,,,,,,15.00M,,,,,,,,1.50M,,1.50M,,15.00M,,15.00M,,0.0003,0.00,0.0003,0.0003,,0.0003,0.00,0.0003,0.0003,,326.27M,326.27M,,,,
1986-05,13.80M,13.80M,,,,,,,,,,-29.20M,,,,,,,,1.30M,,1.30M,,-29.20M,,-29.20M,,,,,,,,,,,,326.51M,326.51M,,,,
1986-02,13.20M,13.20M,,,,,,,,,,13.20M,,,,,,,,0.90M,,0.90M,,13.20M,,13.20M,,0.0002,0.00,0.0002,0.0002,,0.0002,0.00,0.0002,0.0002,,325.90M,325.90M,,,,
1985-11,12.10M,12.10M,,,,,,,,,,12.10M,,,,,,,,1.00M,,1.00M,,12.10M,,12.10M,,0.0002,0.00,0.0002,0.0002,,0.0002,0.00,0.0002,0.0002,,325.81M,325.81M,,,,
1985-08,11.70M,11.70M,,,,,,,,,,11.70M,,,,,,,,1.00M,,1.00M,,11.70M,,11.70M,,0.0002,0.00,0.0002,0.0002,,0.0002,0.00,0.0002,0.0002,,325.81M,325.81M,,,,
1985-05,10.90M,10.90M,,,,,,,,,,-25.40M,,,,,,,,0.90M,,0.90M,,-25.40M,,-25.40M,,,,,,,,,,,,325.81M,325.81M,,,,
1985-02,10.50M,10.50M,,,,,,,,,,10.50M,,,,,,,,0.60M,,0.60M,,10.50M,,10.50M,,0.0002,0.00,0.0002,0.0002,,0.0002,0.00,0.0002,0.0002,,325.81M,325.81M,,,,
1984-11,9.90M,9.90M,,,,,,,,,,9.90M,,,,,,,,0.80M,,0.80M,,9.90M,,9.90M,,0.0002,0.00,0.0002,0.0002,,0.0002,0.00,0.0002,0.0002,,325.81M,325.81M,,,,
1984-08,9.60M,9.60M,,,,,,,,,,9.60M,,,,,,,,0.70M,,0.70M,,9.60M,,9.60M,,0.0002,0.00,0.0002,0.0002,,0.0002,0.00,0.0002,0.0002,,325.81M,325.81M,,,,
1984-05,8.60M,8.60M,,,,,,,,,,-19.00M,,,,,,,,0.60M,-0.20M,0.40M,,-19.00M,,-19.00M,,,-0.0006,,-0.0006,,,-0.0006,,-0.0006,,325.81M,325.81M,,,,
1984-02,8.00M,8.00M,,,,,,,,,,8.00M,,,,,,,,0.50M,-0.10M,0.40M,,8.00M,,8.00M,,0.0002,-0.0002,0.0002,0.00,,0.0002,-0.0002,0.0002,0.00,,325.81M,325.81M,,,,
