,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-05,164.24M,228.73M,392.96M,184.69M,,219.12M,,38.47M,3.808B,7.274M,,4.466B,0.00,3.617M,84.72M,401.74M,,52.08M,76.24M,618.40M,-343.10M,275.30M,433.32M,74.50M,507.82M,41.80M,13.82M,5.151M,843.88M,5.310B,,40.25M,,40.25M,132.59M,172.84M,,,,10.33M,10.33M,0.00,3.854B,4.037B,,,,9.60M,9.60M,17.73M,48.55M,75.88M,4.113B,,3.605M,745.35M,431.64M,16.05M,1.197B,,,Restated
2008-02,159.79M,248.21M,408.00M,158.04M,31.22M,189.26M,,26.78M,,16.95M,4.407B,5.048B,0.00,3.617M,158.26M,297.54M,92.29M,53.42M,,605.14M,-330.77M,274.37M,433.12M,78.31M,511.43M,,13.68M,24.27M,823.74M,5.872B,,34.46M,,34.46M,140.91M,175.37M,,,,8.83M,8.83M,,4.464B,4.648B,,,,7.127M,7.127M,,65.05M,72.17M,4.720B,,3.604M,718.05M,421.56M,8.771M,1.152B,,,
2007-11,52.93M,414.03M,466.95M,213.79M,38.56M,252.35M,,38.58M,,,3.472B,4.230B,0.00,3.617M,152.39M,289.24M,89.08M,48.44M,,582.76M,-317.86M,264.90M,433.12M,69.89M,503.01M,,14.14M,14.70M,796.75M,5.026B,,63.36M,,63.36M,111.84M,175.20M,,,,5.948M,8.067M,2.119M,3.528B,3.712B,,,,7.318M,7.318M,,62.89M,70.20M,3.782B,,3.637M,815.15M,416.62M,9.005M,1.244B,,,
2007-08,110.61M,338.64M,449.25M,210.98M,35.37M,246.36M,,26.10M,,13.08M,3.525B,4.260B,0.00,3.306M,148.47M,280.61M,87.92M,44.93M,,565.24M,-304.29M,260.94M,440.31M,64.77M,505.08M,,15.07M,516.99M,1.298B,5.558B,,91.81M,,91.81M,147.59M,239.39M,,,,6.705M,6.705M,,3.599B,3.845B,,,,7.318M,7.318M,,61.01M,68.32M,3.914B,,3.747M,1.236B,408.88M,-4.096M,1.644B,,,
2007-05,79.35M,511.77M,591.12M,186.27M,53.62M,239.90M,,33.36M,,23.84M,3.973B,4.861B,0.00,3.557M,141.82M,274.54M,81.61M,46.51M,,548.04M,-291.95M,256.09M,407.71M,67.21M,474.92M,,15.21M,638.98M,1.385B,6.247B,,46.96M,,46.96M,125.27M,172.23M,,,,7.758M,7.758M,,4.057B,4.237B,,,,9.567M,9.567M,,47.23M,56.80M,4.294B,,3.822M,1.595B,362.98M,-9.661M,1.952B,,,
2007-02,80.92M,566.89M,647.81M,163.67M,38.63M,202.30M,,25.76M,,20.50M,3.547B,4.444B,0.00,3.555M,137.86M,272.73M,78.01M,43.23M,,535.40M,-281.91M,253.48M,407.71M,68.50M,476.21M,,13.63M,584.84M,1.328B,5.772B,,55.95M,,55.95M,141.50M,197.45M,,,,7.731M,7.731M,,3.606B,3.811B,,,,11.66M,11.66M,,45.64M,57.29M,3.869B,,3.819M,1.554B,348.93M,-3.966M,1.903B,,,
2006-11,129.27M,4.160B,4.289B,215.56M,41.92M,257.48M,,35.16M,,4.049M,,4.586B,0.00,3.555M,134.17M,268.09M,75.14M,35.55M,,516.51M,-269.87M,246.64M,405.84M,69.24M,475.08M,,12.26M,551.24M,1.285B,5.871B,,39.91M,,39.91M,107.66M,147.56M,,,,5.288M,5.288M,,3.833B,3.985B,,,,13.24M,13.24M,,44.94M,58.18M,4.044B,,3.811M,1.508B,317.85M,-1.879M,1.828B,,,
2006-08,343.91M,4.107B,4.451B,194.89M,25.93M,220.82M,,25.89M,,13.40M,,4.711B,0.00,3.552M,129.88M,258.12M,69.20M,35.47M,,496.22M,-259.09M,237.13M,405.84M,59.97M,465.82M,,12.20M,438.35M,1.153B,5.865B,,47.07M,,47.07M,148.83M,195.90M,,,,5.748M,5.748M,,3.863B,4.065B,,,,14.22M,14.22M,,40.11M,54.32M,4.119B,,3.804M,1.455B,294.15M,-7.555M,1.746B,,,
2006-05,137.42M,440.01M,577.43M,189.84M,38.14M,227.97M,,28.97M,,18.31M,3.592B,4.444B,0.00,3.552M,127.50M,247.37M,66.94M,36.35M,,481.72M,-247.05M,234.66M,405.84M,60.70M,466.55M,,12.78M,391.01M,1.105B,5.549B,,46.67M,,46.67M,130.07M,176.74M,,,,5.809M,5.809M,,3.656B,3.838B,,,,15.48M,15.48M,,40.61M,56.09M,3.894B,,3.803M,1.381B,284.40M,-14.33M,1.655B,,,
2006-02,135.72M,798.82M,934.54M,155.32M,28.26M,183.58M,,25.38M,,37.11M,3.840B,5.020B,0.00,3.544M,122.80M,240.92M,64.71M,27.36M,,459.34M,-235.78M,223.56M,,469.49M,469.49M,,,6.341M,699.39M,5.720B,,28.00M,,28.00M,141.83M,169.84M,,,,5.339M,5.339M,,3.906B,4.081B,,,,16.77M,16.77M,,41.48M,58.25M,4.139B,,3.798M,1.319B,269.79M,-12.07M,1.581B,,,
2005-11,315.82M,476.69M,792.51M,210.40M,29.33M,239.73M,,28.97M,,21.33M,2.340B,3.422B,0.00,3.538M,119.22M,234.26M,62.28M,23.65M,,442.95M,-224.05M,218.90M,,472.32M,472.32M,,,6.525M,697.75M,4.120B,,25.35M,,25.35M,105.78M,131.12M,,,,3.505M,3.505M,,2.408B,2.542B,,,,17.06M,17.06M,,39.42M,56.48M,2.599B,,3.796M,1.265B,264.97M,-12.94M,1.521B,,,
2005-08,337.32M,459.85M,797.17M,189.32M,19.50M,208.82M,,21.97M,,24.56M,2.349B,3.401B,0.00,3.402M,115.74M,227.24M,59.56M,21.10M,,427.04M,-213.46M,213.57M,,474.25M,474.25M,,,6.786M,694.61M,4.096B,,28.98M,,28.98M,139.68M,168.65M,,,,3.542M,3.542M,,2.411B,2.584B,,,,17.38M,17.38M,,37.02M,54.41M,2.638B,,3.79M,1.213B,248.51M,-7.745M,1.458B,,,
2005-05,77.67M,225.72M,303.39M,161.85M,31.11M,192.96M,,26.37M,,19.95M,2.979B,3.522B,0.00,3.402M,101.98M,214.78M,58.46M,29.47M,,408.09M,-202.77M,205.32M,405.99M,71.46M,477.45M,,1.213M,411.43M,1.095B,4.617B,,30.38M,,30.38M,106.64M,137.02M,,,,4.271M,4.271M,,3.039B,3.180B,,,,17.54M,17.54M,,33.86M,51.40M,3.232B,,3.786M,1.148B,240.70M,-6.421M,1.386B,,,
2005-02,279.11M,414.27M,693.38M,146.83M,19.52M,166.35M,,20.31M,,26.16M,3.059B,3.965B,0.00,3.745M,86.89M,214.78M,55.19M,16.79M,,377.40M,-200.82M,176.58M,,480.04M,480.04M,,,7.435M,664.05M,4.629B,,23.38M,,23.38M,114.37M,137.75M,,,,5.081M,5.081M,,3.114B,3.257B,,,,15.99M,15.99M,,25.09M,41.08M,3.298B,,3.785M,1.095B,237.11M,-4.857M,1.331B,,,
2004-11,231.91M,365.77M,597.68M,182.73M,22.88M,205.61M,,22.90M,,14.43M,2.529B,3.370B,0.00,4.038M,84.82M,216.69M,58.01M,14.66M,,378.23M,-204.39M,173.84M,,483.41M,483.41M,,,7.803M,665.06M,4.035B,,25.44M,,25.44M,93.19M,118.63M,,,,3.915M,3.915M,,2.585B,2.707B,,,,15.58M,15.58M,,22.37M,37.95M,2.745B,,3.783M,1.052B,234.63M,-0.44M,1.290B,,,
2004-08,213.13M,379.74M,592.87M,165.77M,18.03M,183.80M,,21.91M,,16.90M,,815.48M,,,,,,,,380.48M,-208.91M,171.57M,,486.66M,486.66M,,,2.465B,3.123B,3.939B,,24.58M,,24.58M,117.43M,142.01M,,,,3.829M,3.829M,,55.42M,201.26M,,,,14.76M,14.76M,,2.467B,2.482B,2.683B,,3.782M,1.014B,231.76M,5.755M,1.255B,,,
2004-05,219.49M,304.35M,523.84M,135.76M,22.56M,158.33M,,18.90M,,25.65M,2.554B,3.280B,0.00,4.25M,90.80M,217.14M,57.19M,10.87M,,380.25M,-208.91M,171.35M,,490.20M,490.20M,,,8.207M,669.76M,3.950B,,22.59M,,22.59M,87.34M,109.93M,,,,3.65M,3.65M,,2.608B,2.722B,,,,14.40M,14.40M,,13.93M,28.33M,2.750B,,3.78M,971.74M,227.16M,-2.709M,1.200B,,,
2004-02,208.62M,328.57M,537.20M,115.73M,17.76M,133.49M,,15.84M,,10.63M,2.920B,3.617B,0.00,4.246M,71.79M,212.51M,71.25M,10.23M,,370.03M,-200.97M,169.05M,,482.72M,482.72M,,,6.55M,658.33M,4.275B,,20.50M,,20.50M,97.33M,117.83M,,,,3.61M,3.61M,,2.931B,3.053B,,,,12.52M,12.52M,,14.32M,26.84M,3.080B,,3.777M,955.68M,220.04M,16.01M,1.196B,,,
2003-11,134.24M,315.50M,449.74M,148.76M,21.39M,170.15M,,13.11M,,,2.365B,2.998B,0.00,4.246M,88.95M,261.81M,,8.845M,,363.85M,-194.83M,169.02M,,486.44M,486.44M,,,6.592M,662.06M,3.661B,,22.49M,,22.49M,66.59M,89.08M,,,,2.608M,18.04M,15.43M,2.370B,2.478B,,,,8.307M,8.307M,,20.10M,28.40M,2.506B,,3.775M,920.48M,216.71M,13.64M,1.155B,,,
2003-08,131.82M,306.25M,438.07M,128.17M,16.90M,145.07M,,13.76M,,,2.360B,2.957B,0.00,4.221M,86.40M,250.08M,,6.611M,,347.31M,-187.17M,160.14M,,488.71M,488.71M,,,6.847M,655.70M,3.612B,,21.11M,,21.11M,55.57M,76.68M,,,,2.706M,13.00M,10.30M,2.386B,2.476B,,,,7.332M,7.332M,,19.69M,27.02M,2.503B,,3.77M,885.08M,205.85M,14.52M,1.109B,,,
2003-05,79.87M,301.33M,381.20M,118.51M,22.79M,141.30M,,12.10M,,,2.498B,3.033B,0.00,21.63M,65.63M,244.86M,,4.978M,,337.10M,-178.06M,159.04M,,492.04M,492.04M,,,7.057M,658.14M,3.691B,,22.21M,,22.21M,70.39M,92.60M,,,,3.645M,11.13M,7.488M,2.484B,2.588B,,,,7.045M,7.045M,,18.84M,25.89M,2.613B,,3.767M,846.20M,198.71M,28.70M,1.077B,,,
2003-02,169.60M,382.67M,552.28M,98.84M,18.89M,117.73M,,12.35M,,,2.522B,3.204B,0.00,4.205M,80.82M,240.72M,,,,325.75M,-171.94M,153.82M,,309.77M,309.77M,,,7.154M,470.74M,3.675B,,21.63M,,21.63M,73.61M,95.24M,,,,4.885M,10.40M,5.516M,2.513B,2.619B,,,,,,,,13.15M,2.632B,,3.764M,816.28M,193.81M,29.45M,1.043B,,,
2002-11,98.52M,,98.52M,122.52M,21.11M,143.63M,,12.11M,,,372.23M,626.49M,0.00,21.04M,62.73M,231.64M,,,,315.42M,-163.63M,151.79M,,310.03M,310.03M,,,2.229B,2.691B,3.317B,,19.02M,,19.02M,49.35M,68.37M,,,,2.464M,14.86M,12.39M,18.77M,102.00M,,,,,,,,2.215B,2.317B,,3.763M,786.16M,191.44M,19.10M,1.000B,,,
2002-08,141.62M,,141.62M,112.18M,20.82M,133.00M,,11.81M,,,642.24M,928.67M,0.00,3.155M,66.77M,204.59M,,20.94M,,295.45M,-158.47M,136.98M,,8.726M,8.726M,,0.17M,1.995B,2.140B,3.069B,,14.96M,,14.96M,73.06M,88.01M,,,,2.596M,21.62M,19.02M,15.98M,125.61M,,,,,,,,1.971B,2.097B,,3.761M,752.90M,188.35M,27.13M,972.14M,,,
2002-05,61.90M,,61.90M,109.86M,25.31M,135.17M,,10.11M,,,2.607B,2.815B,0.00,3.155M,53.90M,197.47M,,18.94M,,273.47M,-151.90M,121.57M,,9.04M,9.04M,,,7.895M,138.50M,2.953B,,14.10M,,14.10M,64.77M,78.87M,,,,4.137M,13.64M,9.503M,1.931B,2.023B,,,,,,,,5.688M,2.029B,,3.759M,718.19M,185.01M,17.02M,923.98M,,,
2002-02,159.60M,,159.60M,86.42M,20.40M,106.83M,,10.20M,,,2.872B,3.149B,0.00,3.04M,50.58M,207.89M,,,,261.51M,-154.60M,106.91M,,8.852M,8.852M,,1.247M,8.934M,125.95M,3.275B,,15.06M,,15.06M,85.42M,100.47M,,,,5.189M,12.82M,7.629M,2.272B,2.385B,,,,,,,,5.435M,2.391B,,3.751M,690.86M,169.14M,20.54M,884.30M,,,
2001-11,96.29M,,96.29M,112.91M,24.65M,137.56M,,8.33M,,,2.405B,2.647B,0.00,17.57M,35.51M,203.22M,,,,256.30M,-149.23M,107.07M,,9.316M,9.316M,,,8.713M,125.10M,2.773B,,12.18M,,12.18M,41.91M,54.09M,,,,3.344M,21.19M,17.84M,1.845B,1.920B,,,,,,,,5.866M,1.926B,,3.747M,665.14M,161.54M,16.14M,846.57M,,,
2001-08,59.32M,,59.32M,112.68M,23.28M,135.96M,,8.227M,,,2.473B,2.677B,0.00,3.04M,50.14M,187.56M,,,,240.75M,-144.05M,96.70M,,9.476M,9.476M,,0.266M,8.909M,115.35M,2.792B,,13.14M,,13.14M,55.96M,69.10M,,,,3.239M,16.23M,12.99M,1.886B,1.971B,,,,,,,,5.682M,1.977B,,3.743M,637.66M,153.98M,20.35M,815.73M,,,
2001-05,45.78M,,45.78M,100.64M,28.28M,128.92M,,7.306M,,,2.609B,2.791B,0.00,2.919M,49.47M,181.60M,,,,233.99M,-137.91M,96.08M,,9.612M,9.612M,,1.361M,8.872M,115.92M,2.907B,,16.38M,,16.38M,67.20M,83.58M,,,,4.421M,9.417M,4.996M,2.051B,2.144B,,,,,,,,5.512M,2.149B,,3.736M,601.14M,139.90M,13.07M,757.84M,,,
2001-02,106.80M,506.27M,613.07M,,,110.07M,,,,,1.842B,2.565B,,,,,,,,218.13M,-131.84M,86.29M,,8.843M,8.843M,,,11.26M,106.39M,2.671B,,14.12M,,14.12M,,14.12M,,,,,,,1.934B,1.949B,,,,,,,,5.134M,1.954B,,3.733M,566.99M,133.43M,13.23M,717.39M,,,
2000-11,32.56M,491.21M,523.77M,,,131.55M,,,,,1.850B,2.505B,,,,,,,,209.07M,-128.80M,80.27M,,6.442M,6.442M,,,12.05M,98.76M,2.604B,,14.35M,,14.35M,,14.35M,,,,,,,1.919B,1.933B,,,,,,,,5.157M,1.939B,,3.729M,534.22M,125.13M,2.192M,665.26M,,,
2000-08,48.00M,461.92M,509.92M,,,114.42M,,,,,1.792B,2.416B,,,,,,,,198.75M,-123.17M,75.58M,,6.731M,6.731M,,,12.26M,94.57M,2.511B,,14.02M,,14.02M,,14.02M,,,,,,,1.871B,1.885B,,,,,,,,5.615M,1.891B,,3.723M,505.68M,107.94M,2.766M,620.11M,,,
2000-05,47.14M,,47.14M,87.61M,22.44M,110.04M,,6.531M,,9.539M,2.189B,2.363B,0.00,13.46M,30.20M,149.22M,,,,192.87M,-117.49M,75.38M,,5.584M,5.584M,,2.494M,9.549M,93.00M,2.456B,,17.09M,,17.09M,55.60M,72.69M,,,,4.719M,4.719M,,1.810B,1.887B,,,,,,,,5.20M,1.892B,,3.718M,469.38M,98.90M,-8.575M,563.43M,,,
2000-02,64.80M,373.70M,438.50M,,,95.20M,,,,,1.845B,2.379B,,,,,,,,184.90M,-112.10M,72.80M,,,,,,17.80M,90.60M,2.470B,,12.80M,,12.80M,,12.80M,,,,,,,1.923B,1.936B,,,,,,,,5.10M,1.941B,,2.50M,441.40M,91.30M,-7.00M,528.30M,,,
1999-11,23.80M,358.10M,381.90M,,,104.30M,,,,,1.456B,1.942B,,,,,,,,175.30M,-107.90M,67.40M,,,,,,17.90M,85.30M,2.027B,,10.90M,,10.90M,,10.90M,,,,,,,1.515B,1.526B,,,,,,,,5.30M,1.532B,,2.50M,414.10M,82.50M,-3.20M,495.80M,,,
1999-08,69.20M,309.80M,379.00M,,,88.70M,,,,,1.422B,1.889B,,,,,,,,168.20M,-102.70M,65.50M,,,,,,13.00M,78.50M,1.968B,,11.80M,,11.80M,,11.80M,,,,,,,1.489B,1.500B,,,,,,,,5.00M,1.505B,,2.50M,390.50M,71.90M,-2.40M,462.50M,,,
1999-05,52.69M,,52.69M,62.94M,18.04M,80.99M,,,,,1.659B,1.793B,,,,,,,,168.48M,-102.55M,65.93M,,4.418M,4.418M,,,9.632M,79.98M,1.873B,,10.33M,,10.33M,,10.33M,,,,,,,1.422B,1.432B,,,,,,,,4.965M,1.437B,,,362.30M,,,435.80M,,,
1999-02,54.60M,,54.60M,,,73.80M,,,,,1.750B,1.878B,,,,,,,,167.60M,-99.70M,67.90M,,,,,,14.10M,82.00M,1.960B,,8.20M,,8.20M,,8.20M,,,,,,,1.536B,1.545B,,,,,,,,5.10M,1.550B,,,340.00M,,,410.60M,,,
1998-11,29.40M,,29.40M,,,88.30M,,,,,1.377B,1.495B,,,,,,,,164.60M,-96.30M,68.30M,,,,,,7.30M,75.60M,1.570B,,7.60M,,7.60M,,7.60M,,,,,,,1.176B,1.183B,,,,,,,,5.20M,1.188B,,,318.60M,,,381.90M,,,
1998-08,49.50M,,49.50M,,,78.10M,,,,,1.334B,1.461B,,,,,,,,155.00M,-92.00M,63.00M,,,,,,6.90M,69.90M,1.531B,,6.60M,,6.60M,,6.60M,,,,,,,1.162B,1.169B,,,,,,,,5.10M,1.174B,,,299.70M,,,357.00M,,,
1998-05,35.60M,,35.60M,67.80M,,67.80M,,,,,1.375B,1.479B,,,,,,,,152.10M,-87.40M,64.70M,,,,,,6.30M,71.00M,1.550B,,10.50M,,10.50M,,10.50M,,,,,,,1.205B,1.216B,,,,,,,,4.50M,1.220B,,,278.10M,,,329.60M,,,
1998-02,19.10M,,19.10M,,,62.80M,,,,,1.582B,1.663B,,,,,,,,146.50M,-83.40M,63.10M,,,,,,6.60M,69.70M,1.733B,,4.80M,,4.80M,,4.80M,,,,,,,1.412B,1.417B,,,,,,,,5.00M,1.422B,,,264.90M,,,311.20M,,,
1997-11,52.10M,,52.10M,,,68.70M,,,,,1.125B,1.246B,,,,,,,,139.20M,-79.80M,59.40M,,,,,,6.80M,66.20M,1.312B,,3.70M,,3.70M,,3.70M,,,,,,,1.014B,1.018B,,,,,,,,5.50M,1.023B,,,246.70M,,,288.70M,,,
1997-08,53.30M,,53.30M,,,58.70M,,,,,1.070B,1.182B,,,,,,,,131.50M,-76.00M,55.50M,,,,,,6.90M,62.40M,1.244B,,4.30M,,4.30M,,4.30M,,,,,,,965.50M,969.80M,,,,,,,,4.80M,974.60M,,,230.90M,,,269.70M,,,
1997-05,50.20M,,50.20M,,,56.00M,,,,,1.034B,1.141B,,,,,,,,126.30M,-72.10M,54.20M,,,,,,6.40M,60.60M,1.201B,,5.60M,,5.60M,,5.60M,,,,,,,940.40M,946.00M,,,,,,,,3.80M,949.80M,,,212.90M,,,251.50M,,,
1997-02,47.10M,,47.10M,,,50.60M,,,,,136.00M,233.70M,,,,,,,,122.00M,-68.50M,53.50M,,,,,,6.80M,60.30M,294.00M,,3.80M,,3.80M,,3.80M,,,,,,,49.30M,53.10M,,,,0.10M,0.10M,,3.70M,3.80M,56.90M,,,199.10M,,,237.10M,,,
1996-11,19.60M,,19.60M,,,55.10M,,,,,128.90M,203.60M,,,,,,,,117.50M,-65.10M,52.40M,,,,,,7.30M,59.70M,263.30M,,4.60M,,4.60M,,4.60M,,,,,,,37.80M,42.40M,,,,0.20M,0.20M,,3.30M,3.50M,45.90M,,,186.00M,,,217.40M,,,
1996-08,18.90M,,18.90M,,,49.60M,,,,,125.20M,193.70M,,,,,,,,113.80M,-62.40M,51.40M,,,,,,5.50M,56.90M,250.60M,,3.40M,,3.40M,,3.40M,,,,,,,38.90M,42.30M,,,,0.20M,0.20M,,3.10M,3.30M,45.60M,,,173.90M,,,205.00M,,,
1996-05,15.40M,,15.40M,,,44.90M,,,,,105.00M,165.30M,,,,,,,,110.10M,-60.10M,50.00M,,,,,,4.90M,54.90M,220.20M,,3.80M,,3.80M,,3.80M,,,,,,,24.30M,28.10M,,,,0.40M,0.40M,,0.90M,1.30M,29.40M,,,160.10M,,,190.80M,,,
1996-02,21.50M,,21.50M,,,38.20M,,,,,101.30M,161.00M,,,,,,,,108.10M,-57.90M,50.20M,,,,,,4.90M,55.10M,216.10M,,4.90M,,4.90M,,4.90M,,,,,,,32.60M,37.50M,,,,0.20M,0.20M,,0.70M,0.90M,38.40M,,,150.80M,,,177.70M,,,
1995-11,8.90M,,8.90M,,,44.80M,,,,,88.40M,142.10M,,,,,,,,105.90M,-55.00M,50.90M,,,,,,5.40M,56.30M,198.40M,,5.60M,,5.60M,,5.60M,,,,,,,24.00M,29.60M,,,,0.40M,0.40M,,0.40M,0.80M,30.40M,,,141.90M,,,168.00M,,,
1995-08,11.50M,,11.50M,,,40.00M,,,,,85.70M,137.20M,,,,,,,,99.50M,-51.80M,47.70M,,,,,,1.10M,48.80M,186.00M,,3.40M,,3.40M,,3.40M,,0.70M,0.70M,,,,26.10M,30.20M,,,,0.60M,0.60M,,0.50M,1.10M,31.30M,,,133.30M,,,154.70M,,,
1995-05,12.90M,,12.90M,,,37.50M,,,,,73.80M,124.20M,,,,,,,,88.70M,-45.00M,43.70M,,,,,,0.50M,44.20M,168.40M,,3.50M,,3.50M,,3.50M,,0.20M,0.20M,,,,23.00M,26.70M,0.50M,,0.50M,0.80M,0.80M,,0.50M,1.80M,28.50M,,,121.80M,,,139.90M,,,
1995-02,28.00M,,28.00M,,,82.70M,,,,,4.00M,114.70M,,,,,,,,87.10M,-43.50M,43.60M,,,,,,0.50M,44.10M,158.80M,,4.60M,,4.60M,,4.60M,,0.20M,0.20M,,,,20.90M,25.70M,0.70M,,0.70M,0.70M,0.70M,,0.60M,2.00M,27.70M,,,113.30M,,,131.10M,,,
1994-11,12.00M,,12.00M,,,90.30M,,,,,2.80M,105.10M,,,,,,,,84.20M,-41.30M,42.90M,,,,,,0.40M,43.30M,148.40M,,5.50M,,5.50M,,5.50M,,0.20M,0.20M,,,,18.10M,23.80M,0.70M,,0.70M,0.70M,0.70M,,0.80M,2.20M,26.00M,,,106.10M,,,122.40M,,,
1994-08,10.90M,,10.90M,,,86.90M,,,,,3.40M,101.20M,,,,,,,,82.40M,-40.00M,42.40M,,,,,,0.70M,43.10M,144.30M,,3.70M,,3.70M,,3.70M,,0.40M,0.40M,,,,21.80M,25.90M,0.70M,,0.70M,0.80M,0.80M,,0.80M,2.30M,28.20M,,,100.00M,,,116.10M,,,
1994-05,14.60M,,14.60M,,,68.70M,,,,,3.70M,87.00M,,,,,,,,93.00M,-50.60M,42.40M,,,,,,0.40M,42.80M,129.80M,,3.50M,,3.50M,,3.50M,,0.20M,0.20M,,,,15.30M,19.00M,0.70M,,0.70M,0.70M,0.70M,,0.90M,2.30M,21.30M,,,92.40M,,,108.50M,,,
1994-02,21.00M,,21.00M,,,61.80M,,,,,1.80M,84.60M,,,,,,,,95.80M,-53.10M,42.70M,,,,,,0.70M,43.40M,128.00M,,3.40M,,3.40M,,3.40M,,1.80M,1.80M,,,,17.30M,22.50M,1.00M,,1.00M,0.80M,0.80M,,0.90M,2.70M,25.20M,,,86.80M,,,102.80M,,,
1993-11,4.20M,,4.20M,,,66.20M,,,,,2.40M,72.80M,,,,,,,,92.70M,-51.10M,41.60M,,,,,,0.80M,42.40M,115.20M,,2.90M,,2.90M,,2.90M,,0.30M,0.30M,,,,12.10M,15.30M,1.00M,,1.00M,1.20M,1.20M,,1.10M,3.30M,18.60M,,,82.00M,,,96.60M,,,
1993-08,9.20M,,9.20M,,,58.50M,,,,,3.00M,70.70M,,,,,,,,91.30M,-49.30M,42.00M,,,,,,1.20M,43.20M,113.90M,,3.70M,,3.70M,,3.70M,,0.40M,0.40M,,,,14.90M,19.00M,1.20M,,1.20M,1.50M,1.50M,,1.20M,3.90M,22.90M,,,76.70M,,,91.00M,,,
1993-05,5.00M,,5.00M,,,55.30M,,,,,3.90M,64.20M,,,,,,,,88.70M,-46.60M,42.10M,,,,,,0.60M,42.70M,106.90M,,3.40M,,3.40M,,3.40M,,0.40M,0.40M,,,,14.00M,17.80M,1.20M,,1.20M,1.30M,1.30M,,1.40M,3.90M,21.70M,,,71.00M,,,85.20M,,,
1993-02,15.40M,,15.40M,,,18.20M,,,,,25.50M,59.10M,,,,,,,,87.10M,-43.90M,43.20M,,,,,,0.70M,43.90M,103.00M,,3.10M,,3.10M,,3.10M,,0.40M,0.40M,,,,14.30M,17.80M,1.50M,,1.50M,1.40M,1.40M,,1.40M,4.30M,22.10M,,,67.00M,,,80.90M,,,
1992-11,6.10M,,6.10M,,,19.10M,,,,,25.70M,50.90M,,,,,,,,84.70M,-41.90M,42.80M,,,,,,1.00M,43.80M,94.70M,,3.70M,,3.70M,,3.70M,,0.40M,0.40M,,,,9.50M,13.60M,1.60M,,1.60M,1.30M,1.30M,,1.80M,4.70M,18.30M,,,63.70M,,,76.40M,,,
1992-08,7.60M,,7.60M,,,18.30M,,,,,21.40M,47.30M,,,,,,,,81.70M,-39.30M,42.40M,,,,,,0.90M,43.30M,90.60M,,2.30M,,2.30M,,2.30M,,0.50M,0.50M,,,,11.20M,14.00M,1.50M,,1.50M,1.50M,1.50M,,1.70M,4.70M,18.70M,,,59.80M,,,71.90M,,,
1992-05,5.20M,,5.20M,,,17.50M,,,,,18.90M,41.60M,,,,,,,,82.00M,-38.10M,43.90M,,,,,,0.70M,44.60M,86.20M,,3.50M,,3.50M,,3.50M,,0.40M,0.40M,,,,9.80M,13.70M,1.60M,,1.60M,1.70M,1.70M,,1.80M,5.10M,18.80M,,,55.50M,,,67.40M,,,
1992-02,6.30M,,6.30M,,,26.70M,,,,,3.90M,36.90M,,,,,,,,79.40M,-35.50M,43.90M,,,,,,0.70M,44.60M,81.50M,,2.00M,,2.00M,,2.00M,,0.40M,0.40M,,,,9.50M,11.90M,1.90M,,1.90M,1.40M,1.40M,,1.80M,5.10M,17.00M,,,52.80M,,,64.50M,,,
1991-11,4.60M,,4.60M,,,26.30M,,,,,3.30M,34.20M,,,,,,,,77.40M,-33.30M,44.10M,,,,,,0.90M,45.00M,79.20M,,4.30M,,4.30M,,4.30M,,0.40M,0.40M,,,,8.10M,12.80M,1.90M,,1.90M,1.50M,1.50M,,1.80M,5.20M,18.00M,,,50.60M,,,61.20M,,,
1991-08,4.80M,,4.80M,,,24.90M,,,,,2.60M,32.30M,,,,,,,,72.10M,-31.90M,40.20M,,,,,,0.90M,41.10M,73.40M,,1.60M,,1.60M,,1.60M,,0.40M,0.40M,,,,8.70M,10.70M,2.00M,,2.00M,1.50M,1.50M,,1.80M,5.30M,16.00M,,,47.60M,,,57.40M,,,
