,Cash,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks
2006-03,,545.00M,545.00M,8.111B,,,8.111B,281.00M,1.544B,596.00M,1.925B,1.607B,12.19B,,,,3.609B,-2.032B,1.577B,1.149B,31.00M,1.18B,,2.105B,4.862B,17.05B,,2006-03,854.00M,,2.453B,202.00M,202.00M,,,495.00M,3.15B,7.505B,7.505B,460.00M,460.00M,,,,2.608B,10.57B,13.72B,,2006-03,36.00M,5.924B,1.677B,,-77.00M,3.327B,,2006-03
2005-12,10.00M,796.00M,796.00M,891.00M,,6.667B,7.558B,267.00M,1.41B,527.00M,1.712B,464.00M,11.65B,0.00,1.008B,2.565B,3.573B,-1.999B,1.574B,1.148B,,1.148B,,2.125B,4.847B,16.50B,,2005-12,677.00M,,2.426B,275.00M,275.00M,,,2.197B,4.898B,7.079B,7.079B,461.00M,461.00M,,,,785.00M,8.325B,13.22B,,2005-12,36.00M,5.808B,1.533B,,-78.00M,3.276B,,2005-12
2005-09,,601.00M,601.00M,1.29B,,6.341B,7.631B,230.00M,1.44B,683.00M,1.947B,561.00M,10.74B,,,,4.60B,-2.759B,1.841B,,1.273B,1.273B,,2.047B,5.161B,15.90B,,2005-09,944.00M,,2.601B,23.00M,23.00M,,,,2.624B,6.854B,6.854B,474.00M,474.00M,,,,2.664B,9.992B,12.62B,,2005-09,36.00M,5.736B,1.488B,,-151.00M,3.285B,,2005-09
2005-06,,584.00M,584.00M,1.315B,,,1.315B,222.00M,1.311B,675.00M,1.846B,581.00M,4.326B,,,,4.55B,-2.708B,1.842B,,1.608B,1.608B,,8.145B,11.60B,15.92B,,2005-06,941.00M,,2.561B,24.00M,24.00M,,,,2.585B,6.646B,6.646B,457.00M,457.00M,,,,2.629B,9.732B,12.32B,,2005-06,36.00M,5.946B,1.467B,,-173.00M,3.604B,,2005-06
2005-03,,560.00M,560.00M,1.327B,,6.101B,7.428B,220.00M,1.384B,670.00M,1.833B,626.00M,10.45B,,,,4.557B,-2.684B,1.873B,,1.636B,1.636B,,2.129B,5.638B,16.08B,,2005-03,885.00M,,2.521B,24.00M,24.00M,,,,2.545B,6.827B,6.827B,449.00M,449.00M,,,,2.623B,9.899B,12.44B,,2005-03,36.00M,5.87B,1.434B,,-135.00M,3.641B,,2005-03
2004-12,127.00M,697.00M,697.00M,843.00M,,5.738B,6.581B,210.00M,1.141B,523.00M,1.536B,515.00M,10.96B,0.00,1.001B,2.356B,3.357B,-1.844B,1.513B,1.171B,33.00M,1.204B,,2.196B,4.913B,15.88B,,2004-12,508.00M,,2.21B,420.00M,420.00M,,,520.00M,3.15B,6.133B,6.133B,453.00M,453.00M,527.00M,,,1.96B,9.073B,12.22B,,2004-12,35.00M,5.792B,1.369B,,-97.00M,3.652B,,2004-12
2004-09,,810.00M,810.00M,1.143B,,5.519B,6.662B,202.00M,1.217B,635.00M,1.663B,429.00M,9.564B,,,,4.472B,-2.594B,1.878B,,1.623B,1.623B,,2.487B,5.988B,15.55B,,2004-09,877.00M,,2.338B,395.00M,395.00M,,,,2.733B,1.342B,1.342B,450.00M,450.00M,,,,7.256B,9.048B,11.78B,,2004-09,35.00M,5.714B,1.32B,,-65.00M,3.771B,,2004-09
2004-06,,873.00M,873.00M,1.247B,,5.25B,6.497B,218.00M,1.07B,705.00M,1.648B,443.00M,9.461B,,,,4.424B,-2.549B,1.875B,,1.619B,1.619B,,2.481B,5.975B,15.44B,,2004-06,926.00M,,2.29B,688.00M,688.00M,,,,2.978B,5.665B,5.665B,406.00M,406.00M,,,,2.636B,8.707B,11.68B,,2004-06,35.00M,5.656B,1.256B,,-99.00M,3.751B,,2004-06
2004-03,,689.00M,689.00M,6.278B,,,6.278B,221.00M,881.00M,683.00M,1.567B,444.00M,8.978B,,,,4.403B,-2.499B,1.904B,,1.626B,1.626B,,2.553B,6.083B,15.06B,,2004-03,874.00M,,2.122B,700.00M,700.00M,,,,2.822B,5.57B,5.57B,386.00M,386.00M,,26.00M,,2.599B,8.555B,11.38B,,2004-03,35.00M,5.601B,1.203B,,-80.00M,3.658B,,2004-03
2003-12,357.00M,838.00M,838.00M,1.124B,,5.016B,6.14B,202.00M,681.00M,686.00M,1.503B,525.00M,9.078B,0.00,1.084B,3.256B,4.34B,-2.439B,1.901B,1.589B,39.00M,1.628B,,2.564B,6.093B,15.17B,,2003-12,689.00M,,2.00B,316.00M,316.00M,,,21.00M,2.337B,6.118B,6.118B,390.00M,390.00M,590.00M,,26.00M,2.02B,9.144B,11.48B,,2003-12,35.00M,5.606B,1.148B,,-64.00M,3.69B,,2003-12
2003-09,,232.00M,232.00M,7.177B,,,7.177B,205.00M,691.00M,761.00M,1.525B,631.00M,9.565B,,,,4.25B,-2.345B,1.905B,,1.606B,1.606B,,2.474B,5.985B,15.55B,,2003-09,770.00M,,2.124B,313.00M,313.00M,,,,2.437B,6.577B,6.577B,455.00M,455.00M,,,27.00M,2.514B,9.573B,12.01B,,2003-09,36.00M,5.569B,1.083B,,-111.00M,3.54B,,2003-09
2003-06,,371.00M,371.00M,7.239B,,52.00M,7.291B,233.00M,738.00M,802.00M,1.626B,526.00M,9.814B,,,,4.289B,-2.328B,1.961B,,1.64B,1.64B,,2.511B,6.112B,15.93B,,2003-06,795.00M,,2.126B,512.00M,512.00M,,,,2.638B,6.74B,6.74B,434.00M,434.00M,,,27.00M,2.544B,9.745B,12.38B,,2003-06,36.00M,5.566B,1.072B,,-90.00M,3.543B,,2003-06
2003-03,,457.00M,457.00M,7.551B,,,7.551B,212.00M,796.00M,898.00M,1.755B,555.00M,10.32B,,,,4.182B,-2.245B,1.937B,,1.635B,1.635B,,2.389B,5.961B,16.28B,,2003-03,880.00M,,2.229B,230.00M,230.00M,,,,2.459B,7.064B,7.064B,418.00M,418.00M,,512.00M,,2.413B,9.895B,12.35B,,2003-03,36.00M,5.547B,1.078B,,-211.00M,3.413B,,2003-03
2002-12,,307.00M,307.00M,1.159B,,5.582B,6.741B,191.00M,810.00M,751.00M,1.566B,498.00M,9.349B,0.00,1.046B,3.08B,4.126B,-2.171B,1.955B,1.522B,47.00M,1.569B,,2.641B,6.165B,15.51B,,2002-12,857.00M,,2.181B,25.00M,25.00M,,,86.00M,2.292B,6.523B,6.523B,398.00M,398.00M,611.00M,,512.00M,1.772B,9.816B,12.11B,,2002-12,36.00M,5.526B,1.08B,,-225.00M,3.406B,,2002-12
2002-09,,203.00M,203.00M,7.417B,,,7.417B,319.00M,786.00M,873.00M,1.773B,434.00M,9.827B,,,,4.101B,-2.122B,1.979B,,1.621B,1.621B,,2.375B,5.975B,15.80B,,2002-09,889.00M,,889.00M,216.00M,216.00M,,,1.378B,2.483B,6.875B,6.875B,406.00M,406.00M,,,512.00M,2.158B,9.951B,12.43B,,2002-09,36.00M,5.439B,1.077B,,-215.00M,3.368B,,2002-09
2002-06,,616.00M,616.00M,7.129B,,,7.129B,335.00M,802.00M,856.00M,1.779B,437.00M,9.961B,,,,4.081B,-2.067B,2.014B,1.535B,87.00M,1.622B,,2.395B,6.031B,15.99B,,2002-06,974.00M,,974.00M,537.00M,537.00M,,,1.322B,2.833B,6.708B,6.708B,383.00M,383.00M,,512.00M,,2.142B,9.233B,12.07B,,2002-06,36.00M,5.413B,1.076B,,-180.00M,3.414B,,2002-06
2002-03,,380.00M,380.00M,6.761B,,,6.761B,351.00M,860.00M,857.00M,1.836B,486.00M,9.463B,,,,3.951B,-1.96B,1.991B,2.059B,90.00M,2.149B,,2.424B,6.564B,16.03B,,2002-03,891.00M,,891.00M,627.00M,627.00M,,,1.346B,2.864B,6.229B,6.229B,361.00M,361.00M,,512.00M,,2.18B,8.77B,11.63B,,2002-03,36.00M,5.841B,1.073B,,-237.00M,3.881B,,2002-03
2001-12,,260.00M,260.00M,1.149B,,6.002B,7.151B,377.00M,856.00M,719.00M,1.727B,390.00M,9.528B,0.00,1.011B,2.962B,3.973B,-1.929B,2.044B,2.025B,144.00M,2.169B,,2.311B,6.524B,16.05B,,2001-12,994.00M,,2.402B,673.00M,673.00M,,,,3.075B,5.449B,5.449B,357.00M,357.00M,626.00M,,513.00M,1.588B,9.043B,12.12B,,2001-12,36.00M,5.829B,1.064B,,-223.00M,3.934B,,2001-12
2001-09,,299.00M,299.00M,7.28B,,,7.28B,424.00M,952.00M,871.00M,2.018B,1.25B,10.85B,,,,4.869B,-2.309B,2.56B,,2.183B,2.183B,,1.548B,6.291B,17.14B,,2001-09,1.117B,,1.117B,1.353B,1.353B,,,1.466B,3.936B,6.361B,6.361B,331.00M,331.00M,,,513.00M,2.267B,9.472B,13.41B,,2001-09,36.00M,5.618B,1.059B,,-214.00M,3.73B,,2001-09
2001-06,,243.00M,243.00M,7.441B,,,7.441B,436.00M,1.022B,881.00M,2.079B,487.00M,10.25B,,,,4.928B,-2.376B,2.552B,,2.421B,2.421B,,2.206B,7.179B,17.43B,,2001-06,1.159B,,1.159B,1.172B,1.172B,,,1.439B,3.77B,6.512B,6.512B,317.00M,317.00M,,513.00M,,2.234B,9.063B,12.83B,,2001-06,37.00M,5.995B,1.055B,,-236.00M,4.083B,,2001-06
2001-03,,205.00M,205.00M,,,,1.517B,,,,2.066B,514.00M,4.302B,,,,4.907B,-2.356B,2.551B,,2.449B,2.449B,,7.49B,12.49B,16.79B,,2001-03,1.184B,,2.472B,1.18B,1.18B,,,122.00M,3.774B,5.994B,5.994B,319.00M,319.00M,,512.00M,,2.185B,8.498B,12.27B,,2001-03,36.00M,5.915B,1.044B,,-220.00M,4.008B,,2001-03
2000-12,,289.00M,289.00M,1.318B,,5.473B,6.791B,454.00M,930.00M,727.00M,1.871B,443.00M,9.394B,0.00,1.166B,3.666B,4.832B,-2.264B,2.568B,,2.34B,2.34B,,2.068B,6.976B,16.37B,,2000-12,1.20B,77.00M,2.648B,615.00M,615.00M,,,,3.263B,6.136B,6.136B,315.00M,315.00M,715.00M,,512.00M,1.435B,9.113B,12.38B,,2000-12,36.00M,5.848B,1.026B,,-172.00M,3.994B,,2000-12
2000-09,,144.00M,144.00M,,,,6.983B,,,,2.032B,302.00M,9.461B,,,,4.726B,-2.219B,2.507B,,2.946B,2.946B,,1.862B,7.315B,16.78B,,2000-09,1.128B,,1.128B,825.00M,825.00M,,,1.434B,3.387B,6.127B,6.127B,283.00M,283.00M,,512.00M,,2.17B,8.58B,11.97B,,2000-09,36.00M,6.111B,1.023B,,-212.00M,4.297B,,2000-09
2000-06,,230.00M,230.00M,,,,7.499B,,,,2.083B,317.00M,10.13B,,,,4.707B,-2.178B,2.529B,,2.984B,2.984B,,1.771B,7.284B,17.41B,,2000-06,1.194B,,1.194B,862.00M,862.00M,,,1.449B,3.505B,6.637B,6.637B,285.00M,285.00M,,512.00M,,2.20B,9.122B,12.63B,,2000-06,36.00M,6.001B,1.019B,,-163.00M,4.274B,,2000-06
2000-03,,134.00M,134.00M,,,,7.174B,,,,2.03B,333.00M,9.671B,,,,4.607B,-2.127B,2.48B,,2.789B,2.789B,,1.977B,7.246B,16.92B,,2000-03,1.229B,,1.229B,863.00M,863.00M,,,1.495B,3.587B,6.06B,6.06B,287.00M,287.00M,,512.00M,,2.149B,8.496B,12.08B,,2000-03,36.00M,5.868B,1.016B,,-73.00M,4.322B,,2000-03
1999-12,,209.00M,209.00M,,,,6.828B,,,,1.859B,321.00M,9.217B,,,,4.553B,-2.069B,2.484B,,3.018B,3.018B,,1.674B,7.176B,16.39B,,1999-12,1.214B,,1.214B,688.00M,688.00M,,,1.354B,3.256B,5.63B,5.63B,307.00M,307.00M,,512.00M,,2.311B,8.248B,11.50B,,1999-12,36.00M,5.817B,1.009B,,-98.00M,4.377B,,1999-12
1999-09,,410.00M,410.00M,,,,5.722B,,,,1.968B,309.00M,8.409B,,,,4.40B,-2.011B,2.389B,,2.587B,2.587B,,1.713B,6.689B,15.10B,,1999-09,1.104B,,1.104B,194.00M,194.00M,,,1.576B,2.874B,4.698B,4.698B,337.00M,337.00M,,483.00M,,2.268B,7.303B,10.18B,,1999-09,36.00M,5.665B,991.00M,-86.00M,-86.00M,4.438B,,1999-09
1999-06,,258.00M,258.00M,,,,5.272B,,,,1.828B,319.00M,7.677B,,,,4.303B,-2.009B,2.294B,,2.205B,2.205B,,1.642B,6.141B,13.82B,,1999-06,1.069B,,1.069B,218.00M,218.00M,,,1.618B,2.905B,3.443B,3.443B,330.00M,330.00M,,483.00M,,2.288B,6.061B,8.966B,,1999-06,12.00M,5.567B,,,,4.369B,,1999-06
1999-03,,413.00M,413.00M,,,,5.737B,,,,1.70B,313.00M,8.163B,,,,4.09B,-1.94B,2.15B,,2.06B,2.06B,,1.605B,5.815B,13.98B,,1999-03,933.00M,,933.00M,181.00M,181.00M,,,2.138B,3.252B,3.327B,3.327B,327.00M,327.00M,,483.00M,,2.238B,5.892B,9.144B,,1999-03,12.00M,5.454B,,,,4.351B,,1999-03
1998-12,,53.00M,53.00M,,,,4.688B,,,,1.64B,1.524B,7.905B,,,,4.072B,-1.887B,2.185B,,2.146B,2.146B,,1.485B,5.816B,13.72B,,1998-12,1.01B,,1.01B,1.735B,1.735B,,,1.174B,3.919B,3.709B,3.709B,322.00M,322.00M,,483.00M,,2.291B,6.322B,10.24B,,1998-12,37.00M,3.786B,931.00M,,-96.00M,2.997B,,1998-12
1998-09,,60.00M,60.00M,,,,4.113B,,,,1.65B,1.705B,7.528B,,,,3.823B,-1.829B,1.994B,,1.847B,1.847B,,1.265B,5.106B,12.63B,,1998-09,837.00M,,837.00M,1.232B,1.232B,,,1.07B,3.139B,3.177B,3.177B,313.00M,313.00M,,,,2.718B,6.208B,9.347B,,1998-09,13.00M,3.671B,,,,3.287B,,1998-09
1998-06,,132.00M,132.00M,,,,11.53B,,,,1.602B,883.00M,14.15B,,,,3.933B,-1.917B,2.016B,,1.986B,1.986B,,1.827B,5.829B,19.98B,,1998-06,985.00M,,985.00M,,,,,804.00M,1.789B,11.40B,11.40B,,,,,,3.323B,14.73B,16.52B,,1998-06,13.00M,3.575B,,,,3.462B,,1998-06
