,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2013-03,115.00M,,,,,,,97.00M,97.00M,11.00M,,,,-12.00M,-121.00M,-254.00M,,-272.00M,13.00M,,28.00M,-4.00M,-399.00M,,2013-03,-77.00M,,,-18.00M,,16.00M,,2013-03,-441.00M,205.00M,-236.00M,,0.00,0.00,-5.00M,-5.00M,,-230.00M,,2013-03,1.413B,-9.00M,791.00M,,2013-03,,246.00M,-482.00M,,2013-03,AOR,Restated
2012-12,146.00M,,,,,,,106.00M,106.00M,60.00M,,,,-204.00M,88.00M,93.00M,,287.00M,-24.00M,,-19.00M,-3.00M,530.00M,,2012-12,-166.00M,,,-3.00M,,39.00M,,2012-12,-123.00M,,-123.00M,,,,0.00,0.00,,-393.00M,,2012-12,1.238B,-1.00M,1.413B,,2012-12,,18.00M,-141.00M,,2012-12,AOR,Restated
2012-09,142.00M,,,,,,,94.00M,94.00M,26.00M,,,,71.00M,11.00M,-22.00M,,-25.00M,15.00M,,62.00M,-2.00M,372.00M,,2012-09,-156.00M,,,-8.00M,,33.00M,,2012-09,-81.00M,0.00,-81.00M,,,,-6.00M,-6.00M,,-84.00M,,2012-09,911.00M,6.00M,1.238B,,2012-09,,0.00,-81.00M,,2012-09,AOR,Restated
2012-06,173.00M,,-20.00M,,-20.00M,,,92.00M,92.00M,23.00M,,,,131.00M,9.00M,-200.00M,,106.00M,-42.00M,,9.00M,-2.00M,279.00M,,2012-06,-85.00M,,,0.00,,183.00M,,2012-06,-190.00M,0.00,-190.00M,,,,-6.00M,-6.00M,,-192.00M,,2012-06,646.00M,-5.00M,911.00M,,2012-06,,61.00M,-251.00M,,2012-06,AOR,Restated
2012-03,120.00M,,20.00M,,20.00M,,,91.00M,91.00M,62.00M,,,,-56.00M,-76.00M,-187.00M,,-285.00M,58.00M,,,-1.00M,-254.00M,,2012-03,-73.00M,,,,,123.00M,,2012-03,-117.00M,0.00,-117.00M,,,,-5.00M,-5.00M,,-112.00M,,2012-03,885.00M,4.00M,646.00M,,2012-03,,27.00M,-144.00M,,2012-03,AOR,Restated
2011-12,-17.00M,,,,42.00M,,,114.00M,114.00M,82.00M,,,,-262.00M,-84.00M,201.00M,,36.00M,,,-66.00M,-2.00M,403.00M,,2011-12,-152.00M,-77.00M,-77.00M,,-127.00M,195.00M,,2011-12,-987.00M,-227.00M,-1.214B,,,,,-5.00M,,-1.251B,,2011-12,1.542B,-4.00M,885.00M,,2011-12,,-92.00M,-1.122B,,2011-12,AOR,Restated
2011-09,136.00M,,,,16.00M,,,94.00M,94.00M,-58.00M,,,,45.00M,-22.00M,-52.00M,,120.00M,,,165.00M,-1.00M,443.00M,,2011-09,-102.00M,5.00M,5.00M,,-442.00M,147.00M,,2011-09,294.00M,38.00M,332.00M,,,,,-6.00M,,309.00M,,2011-09,651.00M,-8.00M,1.542B,,2011-09,,564.00M,-232.00M,,2011-09,AOR,Restated
2011-06,92.00M,,,,44.00M,,,100.00M,100.00M,-22.00M,,,,49.00M,74.00M,-110.00M,,-10.00M,,,-53.00M,-1.00M,163.00M,,2011-06,-91.00M,44.00M,122.00M,,187.00M,146.00M,,2011-06,-663.00M,-14.00M,-677.00M,,,,,-6.00M,,-682.00M,,2011-06,1.022B,2.00M,651.00M,,2011-06,,107.00M,-784.00M,,2011-06,AOR,Restated
2011-03,31.00M,,,,,,,95.00M,95.00M,79.00M,,,,56.00M,68.00M,-166.00M,,-110.00M,,,2.00M,-1.00M,54.00M,,2011-03,-78.00M,28.00M,-50.00M,,382.00M,355.00M,,2011-03,-523.00M,203.00M,-320.00M,,,,,-5.00M,,-327.00M,,2011-03,931.00M,9.00M,1.022B,,2011-03,,347.00M,-667.00M,,2011-03,AOR,Restated
2010-12,89.00M,,,,,,,111.00M,111.00M,65.00M,,,,74.00M,-397.00M,373.00M,,-156.00M,,,-186.00M,-1.00M,225.00M,,2010-12,-136.00M,-92.00M,-92.00M,-10.00M,-887.00M,211.00M,,2010-12,-494.00M,,-494.00M,,,,,-6.00M,-2.00M,-496.00M,,2010-12,991.00M,0.00,931.00M,,2010-12,,184.00M,-678.00M,,2010-12,AOR,Restated
