,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1994-01,61.00M,61.00M,,,759.00M,,,788.00M,,165.00M,1.773B,,,,,,,3.626B,-1.320B,2.305B,,605.00M,605.00M,,,,342.00M,3.252B,5.025B,,399.00M,,,399.00M,,399.00M,,,,,540.00M,,540.00M,,,688.00M,1.627B,562.00M,,562.00M,175.00M,175.00M,,,,735.00M,1.472B,3.099B,,,2.238B,,,,,,1.926B,,,
1993-10,48.00M,48.00M,,,806.00M,,,924.00M,,175.00M,1.953B,,,,,,,3.592B,-1.320B,2.272B,,596.00M,596.00M,,,,341.00M,3.209B,5.162B,,465.00M,,,465.00M,,465.00M,,,,,719.00M,,719.00M,,,742.00M,1.926B,561.00M,,561.00M,178.00M,178.00M,,,,738.00M,1.477B,3.403B,,,2.106B,,,,,,1.759B,,,
1993-07,62.60M,62.60M,,,646.30M,,,804.20M,,173.10M,1.686B,,,,,,,3.585B,-1.320B,2.264B,,596.00M,596.00M,,,,350.90M,3.211B,4.898B,,510.00M,,,510.00M,,510.00M,,,,,669.40M,,669.40M,,,671.10M,1.850B,461.90M,,461.90M,164.50M,164.50M,,,104.70M,611.90M,1.238B,3.089B,,,2.002B,,,,,,1.704B,,,
1993-04,70.00M,70.00M,,,695.80M,,,724.80M,,114.00M,1.605B,,,,,,,3.488B,-1.243B,2.245B,,689.30M,689.30M,,,,342.40M,3.276B,4.881B,,376.40M,,,376.40M,,376.40M,,,,,736.70M,,736.70M,,,924.50M,2.038B,470.60M,,470.60M,265.20M,265.20M,,,118.10M,28.50M,764.30M,2.802B,,,2.206B,,,,,,1.961B,,,
1993-01,66.30M,66.30M,,,783.00M,,,758.00M,,99.00M,1.706B,,,,,,,3.156B,-1.243B,1.912B,,413.70M,413.70M,,,,548.30M,2.874B,4.581B,,420.40M,,,420.40M,,420.40M,,,,,398.30M,,398.30M,,,898.70M,1.717B,675.20M,,675.20M,238.40M,238.40M,,,,43.00M,956.60M,2.674B,,,2.161B,,,,,,1.907B,,,
1992-10,60.70M,60.70M,,,757.90M,,,860.30M,,92.80M,1.772B,,,,,,,3.174B,-1.243B,1.931B,,424.90M,424.90M,,,,445.20M,2.801B,4.572B,,494.20M,,,494.20M,,494.20M,,,,,398.80M,,398.80M,,,561.70M,1.455B,681.60M,,681.60M,292.40M,292.40M,,,,46.10M,1.020B,2.475B,,,2.332B,,,,,,2.098B,,,
1992-07,112.10M,112.10M,,,577.10M,,,717.90M,,94.50M,1.502B,,,,,,,3.209B,-1.243B,1.966B,,441.80M,441.80M,,,,444.60M,2.852B,4.354B,,497.80M,,,497.80M,,497.80M,,,,,293.70M,,293.70M,,,508.20M,1.300B,693.30M,,693.30M,288.40M,288.40M,,,22.40M,22.40M,1.004B,2.304B,,,2.224B,,,,,,2.028B,,,
1992-04,102.60M,102.60M,,,646.10M,,,633.10M,,95.00M,1.477B,,,,,,,2.994B,-1.132B,1.863B,,435.80M,435.80M,,,,444.20M,2.743B,4.220B,,351.30M,,,351.30M,,351.30M,,,,,261.50M,,261.50M,,,546.00M,1.159B,797.20M,,797.20M,294.20M,294.20M,,,,43.50M,1.135B,2.294B,,,2.164B,,,,,,1.926B,,,
1992-01,139.80M,139.80M,,,718.20M,,,754.30M,,100.10M,1.712B,,,,,,,2.983B,-1.132B,1.852B,,436.70M,436.70M,,,,375.60M,2.664B,4.376B,,423.80M,,,423.80M,,423.80M,,,,,349.30M,,349.30M,,,557.00M,1.330B,805.50M,,805.50M,272.90M,272.90M,,,,44.90M,1.123B,2.453B,,,2.122B,,,,,,1.923B,,,
1991-10,79.90M,79.90M,,,669.90M,,,873.40M,,111.90M,1.735B,,,,,,,2.932B,-1.132B,1.800B,,439.90M,439.90M,,,,399.00M,2.639B,4.374B,,477.50M,,,477.50M,,477.50M,,,,,432.70M,,432.70M,,,572.20M,1.482B,784.10M,,784.10M,261.60M,261.60M,,,,49.40M,1.095B,2.578B,,,2.005B,,,,,,1.797B,,,
1991-07,178.90M,178.90M,,,527.40M,,,706.70M,,105.50M,1.518B,,,,,,,2.922B,-1.132B,1.790B,,435.50M,435.50M,,,,404.60M,2.630B,4.149B,,482.40M,,,482.40M,,482.40M,,,,,282.20M,,282.20M,,,513.40M,1.278B,772.60M,,772.60M,258.50M,258.50M,,,23.50M,23.00M,1.054B,2.332B,,,1.913B,,,,,,1.793B,,,
1991-04,146.00M,146.00M,,,597.40M,,,687.50M,,120.10M,1.551B,,,,,,,2.759B,-1.017B,1.742B,,323.40M,323.40M,,,,374.00M,2.439B,3.990B,,355.30M,,,355.30M,,355.30M,,,,,89.60M,,89.60M,,,551.40M,996.30M,906.90M,,906.90M,347.50M,347.50M,,,,,1.254B,2.251B,,,1.865B,,,,,,1.740B,,,
1991-01,107.20M,107.20M,,,789.70M,,,787.20M,,141.10M,1.825B,,,,,,,2.792B,-1.017B,1.775B,,340.00M,340.00M,,,,341.10M,2.456B,4.281B,,445.00M,,,445.00M,,445.00M,,,,,251.90M,,251.90M,,,586.70M,1.284B,914.40M,,914.40M,352.80M,352.80M,,,,,1.267B,2.551B,,,1.825B,,,,,,1.731B,,,
1990-10,75.80M,75.80M,,,770.00M,,,992.80M,,150.00M,1.989B,,,,,,,2.747B,-1.017B,1.730B,,386.60M,386.60M,,,,349.00M,2.465B,4.454B,,566.60M,,,566.60M,,566.60M,,,,,451.20M,,451.20M,,,637.70M,1.656B,815.80M,,815.80M,351.20M,351.20M,,,,,1.167B,2.822B,,,1.726B,,,,,,1.631B,,,
1990-07,80.70M,80.70M,,,624.50M,,,819.80M,,140.50M,1.666B,,,,,,,2.735B,-1.017B,1.718B,,383.40M,383.40M,,,,349.00M,2.450B,4.116B,,525.20M,,,525.20M,,525.20M,,,,,202.30M,,202.30M,,,570.60M,1.298B,805.80M,,805.80M,235.10M,235.10M,,,56.30M,28.50M,1.069B,2.368B,,,1.653B,,,,,,1.692B,,,
1990-04,141.30M,141.30M,,,592.70M,,,870.00M,,121.30M,1.725B,,,,,,,2.685B,-1.002B,1.683B,,484.20M,484.20M,,,,371.00M,2.538B,4.263B,,406.20M,,,406.20M,,406.20M,,,,,481.80M,,481.80M,,,477.00M,1.365B,655.00M,,655.00M,311.00M,311.00M,,,,,966.00M,2.331B,,,1.924B,,,,,,1.932B,,,
1990-01,143.50M,143.50M,,,714.10M,,,927.80M,,117.30M,1.903B,,,,,,,2.637B,-1.002B,1.634B,,492.20M,492.20M,,,,339.80M,2.466B,4.369B,,506.20M,,,506.20M,,506.20M,,,,,458.20M,,458.20M,,,504.60M,1.469B,651.70M,,651.70M,307.00M,307.00M,,,,,958.70M,2.428B,,,1.902B,,,,,,1.941B,,,
1989-10,139.30M,139.30M,,,712.30M,,,1.027B,,122.00M,2.000B,,,,,,,2.570B,-1.002B,1.568B,,471.80M,471.80M,,,,337.00M,2.377B,4.377B,,543.00M,,,543.00M,,543.00M,,,,,518.70M,,518.70M,,,530.80M,1.592B,640.00M,,640.00M,301.60M,301.60M,,,,,941.60M,2.534B,,,1.829B,,,,,,1.843B,,,
1989-07,147.10M,147.10M,,,538.00M,,,816.00M,,100.40M,1.602B,,,,,,,2.543B,-1.002B,1.541B,,466.90M,466.90M,,,,323.10M,2.331B,3.932B,,508.20M,,,508.20M,,508.20M,,,,,271.50M,,271.50M,,,452.40M,1.232B,629.20M,,629.20M,218.00M,218.00M,,,54.90M,19.60M,866.80M,2.099B,,,1.776B,,,,,,1.778B,,,
1988-07,120.80M,120.80M,,,486.90M,,,664.70M,,90.50M,1.363B,,,,,,,2.540B,-1.031B,1.509B,,496.60M,496.60M,,,,241.20M,2.247B,3.610B,,,,,,,,,,,,138.00M,,138.00M,,,725.30M,863.30M,525.80M,,525.80M,,,,,,325.50M,851.30M,1.715B,,,1.879B,,,,,,1.895B,,,
1987-07,425.30M,425.30M,,,338.90M,,,623.60M,,42.70M,1.430B,,,,,,,2.355B,-1.006B,1.349B,,132.40M,132.40M,,,,178.10M,1.660B,3.09B,,,,,,,,,,,,93.50M,,93.50M,,,592.90M,686.40M,380.20M,,380.20M,248.00M,248.00M,,,,39.30M,667.50M,1.354B,,,1.710B,,,,,,1.736B,,,
1986-07,393.80M,393.80M,,,299.00M,,,610.50M,,31.50M,1.335B,,,,,,,2.089B,-921.00M,1.168B,,130.20M,130.20M,,,,129.70M,1.428B,2.763B,,,,,,,,,,,,88.90M,,88.90M,,,537.20M,626.10M,362.30M,,362.30M,199.10M,199.10M,,,,36.40M,597.80M,1.224B,,,1.554B,,,,,,1.539B,,,
1985-07,224.90M,224.90M,,,279.80M,,,623.10M,,25.00M,1.153B,,,,,,,1.856B,-828.70M,1.028B,,130.80M,130.80M,,,,126.40M,1.285B,2.438B,,,,,,,,,,,,92.10M,,92.10M,,,481.20M,573.30M,297.10M,,297.10M,154.10M,154.10M,,,,30.50M,481.70M,1.055B,,,1.415B,,,,,,1.382B,,,
1984-07,146.10M,146.10M,,,278.90M,,,602.50M,,35.80M,1.063B,,,,,,,1.745B,-774.00M,970.90M,,129.00M,129.00M,,,,46.90M,1.147B,2.210B,,,,,,,,,,,,63.40M,,63.40M,,,458.40M,521.80M,283.00M,,283.00M,118.00M,118.00M,,,,27.40M,428.40M,950.20M,,,1.296B,,,,,,1.260B,,,
