,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2006-09,111.46M,111.46M,374.63M,,374.63M,461.50M,,,169.95M,1.118B,1.472B,,5.101B,-1.472B,3.629B,,,738.52M,,,,234.32M,,4.602B,5.720B,,345.11M,,,345.11M,388.45M,733.56M,,385.60M,,385.60M,,,,,1.119B,,2.180B,,2.180B,306.17M,,306.17M,,,,2.487B,4.071B,,0.00,224.30M,1.468B,,-43.85M,1.648B,,,
2006-06,85.02M,85.02M,409.09M,,409.09M,437.07M,,,118.99M,1.050B,1.414B,,4.993B,-1.414B,3.579B,,,737.35M,,,,249.87M,,4.566B,5.616B,,306.80M,,,306.80M,407.58M,714.38M,,300.42M,,300.42M,,,,,1.015B,,2.181B,,2.181B,283.76M,,283.76M,,,,2.465B,3.952B,,0.408M,243.96M,1.456B,,-35.84M,1.665B,,,
2006-03,62.44M,62.44M,793.02M,,793.02M,440.95M,,,195.41M,1.492B,1.432B,,4.943B,-1.432B,3.511B,,,737.50M,,,,256.70M,,4.505B,5.997B,,708.13M,,,708.13M,380.03M,1.088B,,265.62M,,265.62M,,,,,1.354B,,2.181B,,2.181B,287.84M,,287.84M,,,,2.469B,4.291B,,0.405M,287.73M,1.448B,,-29.58M,1.706B,,,
2005-12,123.53M,123.53M,1.229B,,1.229B,583.57M,,,239.99M,2.176B,1.413B,,4.853B,-1.413B,3.440B,,,737.64M,,,,265.15M,,4.443B,6.619B,,1.170B,,,1.170B,401.95M,1.572B,,477.34M,,477.34M,,,,,2.050B,,2.181B,,2.181B,284.20M,,284.20M,,,,2.466B,4.981B,,0.404M,224.44M,1.439B,,-26.14M,1.638B,,,
2005-09,121.07M,121.07M,454.31M,,454.31M,450.81M,,,238.24M,1.264B,1.391B,133.93M,4.766B,-1.391B,3.374B,,,737.79M,,,,47.79M,191.31M,4.389B,5.654B,,461.31M,,,461.31M,503.37M,964.68M,,148.07M,,148.07M,,,,,1.113B,,2.183B,,2.183B,292.21M,,292.21M,,,,2.475B,4.051B,,0.00,178.84M,1.427B,,-3.341M,1.602B,,,
2005-06,23.64M,23.64M,299.95M,,299.95M,334.24M,,,98.62M,756.45M,1.383B,,4.688B,-1.383B,3.305B,,,709.98M,,,,286.70M,,4.301B,5.058B,,231.88M,,,231.88M,342.41M,574.29M,,3.242M,,3.242M,,,,,577.53M,,2.184B,,2.184B,222.70M,,222.70M,,,,2.406B,3.442B,,0.401M,220.57M,1.416B,,-21.29M,1.616B,,,
2005-03,247.13M,247.13M,527.41M,,527.41M,273.81M,,,129.42M,1.178B,1.355B,,4.607B,-1.355B,3.252B,,,722.04M,,,,261.04M,,4.235B,5.412B,,533.23M,,,533.23M,298.80M,832.03M,,5.887M,,5.887M,,,,,837.92M,,2.255B,,2.255B,245.84M,,245.84M,,,,2.501B,3.780B,,0.399M,240.92M,1.409B,,-17.77M,1.632B,,,
2004-12,25.16M,25.16M,640.76M,,640.76M,389.62M,,,152.69M,1.208B,1.321B,,4.544B,-1.321B,3.223B,,,703.04M,,,,271.68M,,4.198B,5.406B,,653.40M,,,653.40M,283.13M,936.53M,,34.69M,,34.69M,,,,,971.23M,,2.255B,,2.255B,200.74M,,200.74M,,,,2.456B,3.867B,,0.396M,177.11M,1.393B,,-31.68M,1.539B,,,
2004-09,201.93M,201.93M,211.81M,,211.81M,200.13M,,,99.32M,713.20M,911.13M,38.28M,2.634B,-911.13M,1.723B,,,245.53M,,,,231.38M,,2.199B,2.913B,,185.30M,,,185.30M,238.68M,423.98M,,5.908M,,5.908M,,,,,429.88M,,861.31M,,861.31M,241.26M,,241.26M,,,,1.103B,1.779B,,0.314M,142.03M,1.006B,,-14.53M,1.133B,,,
2004-06,126.90M,126.90M,243.72M,,243.72M,90.14M,,,18.71M,479.46M,903.31M,,2.588B,-903.31M,1.685B,,,275.84M,,,,240.48M,,2.201B,2.681B,,201.12M,,,201.12M,210.76M,411.88M,,5.918M,,5.918M,,,,,417.80M,,863.27M,,863.27M,227.90M,,227.90M,,,,1.091B,1.754B,,0.263M,167.54M,762.46M,,-3.416M,926.85M,,,
2004-03,114.98M,114.98M,396.88M,,396.88M,74.57M,,,54.06M,640.49M,891.04M,,2.552B,-891.04M,1.661B,,,275.87M,,,,243.49M,,2.181B,2.821B,,366.00M,,,366.00M,171.82M,537.82M,,8.093M,,8.093M,,,,,545.91M,,864.62M,,864.62M,234.36M,,234.36M,,,,1.099B,1.888B,,0.261M,178.77M,753.77M,,0.049M,932.85M,,,
2003-12,41.71M,41.71M,407.04M,,407.04M,192.57M,,,90.61M,731.93M,984.88M,,2.523B,-984.88M,1.538B,,,274.84M,,,,267.95M,,2.081B,2.813B,,372.43M,,,372.43M,120.74M,493.17M,,198.99M,,198.99M,,,,,692.16M,,860.70M,,860.70M,243.08M,,243.08M,,,,1.104B,1.934B,,0.259M,136.34M,743.59M,,-0.834M,879.35M,,,
2003-09,15.68M,15.68M,216.78M,,216.78M,168.76M,,,56.77M,458.00M,855.74M,16.15M,2.480B,-855.74M,1.624B,,,273.50M,,,,269.60M,,2.167B,2.625B,,179.85M,,,179.85M,133.96M,313.81M,,127.94M,,127.94M,,,,,441.75M,,862.50M,,862.50M,223.35M,,223.35M,,,,1.086B,1.768B,,0.257M,122.54M,736.18M,,-1.459M,857.52M,,,
2003-06,17.32M,17.32M,251.42M,,251.42M,84.97M,,,29.25M,382.96M,1.010B,,2.505B,-1.010B,1.494B,,,280.27M,,,,219.03M,1.635M,1.995B,2.378B,,203.59M,,,203.59M,168.07M,371.66M,,10.45M,,10.45M,,,,,382.10M,,864.35M,,864.35M,163.44M,,163.44M,,,,1.028B,1.551B,,0.255M,140.37M,727.69M,,-40.86M,827.45M,,,
2003-03,63.18M,63.18M,510.03M,,510.03M,35.42M,,,50.17M,658.80M,994.02M,,2.471B,-994.02M,1.477B,,,280.48M,,,,153.79M,0.28M,1.912B,2.570B,,474.74M,,,474.74M,158.30M,633.04M,,38.86M,,38.86M,,,,,671.89M,,864.23M,,864.23M,168.40M,,168.40M,,,,1.033B,1.863B,,0.228M,154.30M,595.38M,,-42.18M,707.73M,,,
2002-12,39.24M,39.24M,372.53M,,372.53M,113.98M,,,61.76M,587.50M,984.40M,,2.445B,-984.40M,1.461B,,,278.03M,,,,168.00M,4.024M,1.911B,2.498B,,310.83M,,,310.83M,171.34M,482.17M,,214.66M,,214.66M,,,,,696.82M,,815.24M,,815.24M,164.64M,,164.64M,,,,979.88M,1.831B,,0.227M,119.39M,588.62M,,-41.43M,666.81M,,,
2002-09,46.83M,46.83M,136.23M,,136.23M,95.55M,,,51.38M,329.99M,827.51M,24.40M,2.128B,-827.51M,1.300B,,,190.38M,,,,154.29M,5.241M,1.650B,1.980B,,135.61M,,,135.61M,159.73M,295.34M,,167.77M,,167.77M,,,,,463.11M,,670.46M,,670.46M,134.54M,,134.54M,,,,805.00M,1.407B,,0.208M,106.14M,508.26M,,-41.38M,573.24M,,,
2002-06,7.003M,7.003M,158.92M,,158.92M,60.51M,,,45.74M,272.18M,826.23M,,2.211B,-826.23M,1.385B,,,78.46M,,,,178.39M,7.359M,1.649B,1.921B,,144.45M,,,144.45M,140.80M,285.26M,,65.90M,,65.90M,,,,,351.16M,,675.76M,,675.76M,157.49M,,157.49M,,,,833.24M,1.295B,,0.207M,124.01M,503.42M,,-1.251M,626.38M,,,
2002-03,3.113M,3.113M,226.26M,,226.26M,61.33M,,,43.19M,333.89M,810.19M,,2.179B,-810.19M,1.369B,,,76.65M,,,,169.47M,11.59M,1.627B,1.960B,,163.11M,,,163.11M,167.04M,330.15M,,62.97M,,62.97M,,,,,393.12M,,678.98M,,678.98M,131.18M,,131.18M,,,,810.17M,1.330B,,0.206M,132.94M,498.89M,,-1.159M,630.88M,,,
2001-12,12.78M,12.78M,233.60M,,233.60M,114.95M,,,129.84M,491.18M,792.85M,,2.148B,-792.85M,1.355B,,,76.72M,,,,169.78M,30.37M,1.632B,2.124B,,204.19M,,,204.19M,154.59M,358.78M,,227.55M,,227.55M,,,,,586.33M,,679.06M,,679.06M,145.73M,,145.73M,,,,824.79M,1.526B,,0.205M,103.69M,494.31M,,-0.783M,597.42M,,,
2001-09,15.26M,15.26M,124.05M,,124.05M,95.60M,,,189.35M,424.25M,774.47M,53.88M,2.110B,-774.47M,1.335B,,,76.87M,,,,169.89M,29.77M,1.612B,2.036B,,84.47M,,,84.47M,204.62M,289.09M,,221.94M,,221.94M,,,,,511.03M,,692.40M,,692.40M,138.93M,,138.93M,,,,831.33M,1.452B,,0.204M,95.13M,489.95M,,-1.42M,583.86M,,,
2001-06,424.48M,424.48M,117.93M,,117.93M,62.82M,,,73.91M,679.14M,634.08M,,1.636B,-634.08M,1.002B,,,,,,,191.94M,,1.194B,1.873B,,77.90M,,,77.90M,136.13M,214.04M,,140.68M,,140.68M,,,,,354.72M,,700.52M,,700.52M,130.14M,,130.14M,,,,830.65M,1.272B,,0.202M,114.49M,485.87M,,0.044M,600.60M,,,
2001-03,7.623M,7.623M,247.75M,,247.75M,31.74M,,,3.40M,290.52M,618.95M,,1.607B,-618.95M,987.74M,,,,,,,173.87M,,1.162B,1.452B,,136.85M,,,136.85M,125.25M,262.09M,,68.64M,,68.64M,,,,,330.74M,,354.33M,,354.33M,99.27M,,99.27M,,,,453.60M,866.70M,,0.195M,129.63M,455.61M,,-0.016M,585.42M,,,
2000-12,5.559M,5.559M,357.76M,,357.76M,83.45M,,,6.447M,453.22M,610.17M,,1.592B,-610.17M,982.08M,,,,,,,164.71M,,1.147B,1.600B,,259.31M,,,259.31M,65.48M,324.80M,,163.23M,,163.23M,,,,,488.03M,,357.24M,,357.24M,126.13M,,126.13M,,,,483.37M,1.054B,,0.194M,96.84M,452.28M,,-2.891M,546.42M,,,
2000-09,7.379M,7.379M,114.45M,,114.45M,70.68M,,,8.101M,200.61M,597.46M,,1.580B,-597.46M,982.35M,,,,,,,165.81M,,1.148B,1.349B,,73.03M,,,73.03M,41.85M,114.88M,,267.61M,,267.61M,,,,,382.50M,,363.20M,,363.20M,131.62M,,131.62M,,,,494.82M,956.29M,,0.16M,83.15M,306.89M,,2.265M,392.47M,,,
2000-06,8.148M,8.148M,83.66M,,83.66M,39.08M,,,2.304M,133.19M,585.35M,,1.586B,-585.35M,1.000B,,,,,,,143.56M,,1.144B,1.277B,,66.00M,,,66.00M,59.49M,125.49M,,179.57M,,179.57M,,,,,305.06M,,368.78M,,368.78M,123.74M,,123.74M,,,,492.52M,876.49M,,0.159M,95.80M,302.83M,,1.946M,400.74M,,,
2000-03,22.99M,22.99M,119.12M,,119.12M,27.21M,,,2.381M,171.70M,606.72M,,1.574B,-606.72M,967.39M,,,,,,,137.59M,,1.105B,1.277B,,83.96M,,,83.96M,70.10M,154.06M,,141.21M,,141.21M,,,,,295.27M,,372.54M,,372.54M,117.64M,,117.64M,,,,490.19M,864.50M,,0.158M,109.21M,300.05M,,2.753M,412.18M,,,
1999-12,25.20M,25.20M,163.70M,,163.70M,62.80M,,,2.70M,254.40M,601.20M,,1.566B,-601.20M,964.80M,,,,,,,134.90M,,1.100B,1.354B,,95.00M,,,95.00M,32.10M,127.10M,,264.90M,,264.90M,,,,0.10M,392.10M,,372.80M,,372.80M,121.90M,,121.90M,,,,494.70M,964.50M,,0.20M,88.60M,298.40M,,2.40M,389.60M,,,
1999-09,8.60M,8.60M,70.60M,,70.60M,52.90M,,,3.10M,135.20M,583.50M,,1.549B,-583.50M,965.80M,,,,,,,129.60M,-0.10M,1.095B,1.230B,,64.20M,,,64.20M,36.50M,100.70M,,186.20M,,186.20M,,,,-0.10M,286.80M,,377.50M,,377.50M,112.60M,,112.60M,,,,490.10M,852.80M,,0.20M,83.20M,293.40M,,0.90M,377.70M,,,
1999-06,14.40M,14.40M,54.40M,,68.80M,19.80M,,,2.50M,105.50M,567.90M,,1.517B,-567.90M,949.00M,,,,,,,123.60M,-0.10M,1.072B,1.178B,,50.30M,,,50.30M,54.00M,104.30M,,128.40M,,128.40M,,,,,232.70M,,381.40M,,381.40M,86.50M,,86.50M,,,,467.90M,776.60M,,0.20M,112.90M,288.40M,0.10M,,401.40M,,,
1999-03,14.60M,14.60M,100.40M,,100.40M,39.20M,,,3.00M,157.20M,553.80M,,1.495B,-553.80M,941.50M,,,,,,,122.90M,0.10M,1.064B,1.222B,,71.70M,,,71.70M,63.80M,135.50M,,131.10M,,131.10M,,,,,266.60M,,386.60M,,386.60M,84.50M,,84.50M,,,,471.10M,811.80M,,0.20M,126.70M,283.20M,0.10M,,409.90M,,,
1998-12,14.70M,14.70M,118.30M,,118.30M,64.50M,,,3.60M,201.10M,542.70M,,1.467B,-542.70M,924.20M,,,,,,,120.80M,,1.045B,1.246B,,80.80M,,,80.80M,49.60M,130.40M,,186.00M,,186.00M,,,,,316.40M,,390.40M,,390.40M,82.40M,,82.40M,,,,472.80M,861.30M,,0.20M,106.50M,278.20M,,,384.80M,,,
1998-09,4.70M,4.70M,34.90M,,34.90M,64.10M,,,3.70M,107.40M,528.60M,112.90M,1.446B,-528.60M,917.90M,,,,,,,116.20M,-0.10M,1.034B,1.141B,,44.70M,,,44.70M,55.10M,99.80M,,124.20M,,124.20M,,,,0.10M,224.10M,,398.50M,,398.50M,80.20M,,80.20M,,,,478.70M,770.20M,,0.20M,99.40M,271.60M,,,371.20M,,,
1998-06,8.30M,8.30M,40.20M,,40.20M,44.80M,,,5.20M,98.50M,522.60M,,1.411B,-522.60M,888.30M,,,,,,,130.10M,-0.10M,1.018B,1.117B,,40.90M,,,40.90M,75.70M,116.60M,,226.80M,,226.80M,,,,0.10M,343.50M,,249.90M,,249.90M,87.60M,,87.60M,,,,337.50M,738.40M,,0.20M,111.30M,266.90M,,,378.40M,,,
1998-03,10.00M,10.00M,110.40M,,110.40M,36.20M,,,4.20M,160.80M,508.90M,,1.385B,-508.90M,876.10M,,,,,,,111.30M,,987.40M,1.148B,,73.50M,,,73.50M,92.10M,165.60M,,204.40M,,204.40M,,,,-0.10M,369.90M,,252.20M,,252.20M,87.50M,,87.50M,,,,339.70M,768.10M,,0.20M,117.60M,262.30M,,,380.10M,,,
1997-12,9.10M,9.10M,172.80M,,172.80M,59.40M,,,5.20M,246.50M,497.20M,,1.358B,-497.20M,860.70M,,,,,,,98.70M,0.10M,959.50M,1.206B,,111.00M,,,111.00M,73.60M,184.60M,,275.30M,,275.30M,,,,,459.90M,,255.80M,,255.80M,87.70M,,87.70M,,,,343.50M,861.10M,,0.10M,88.20M,256.60M,,,344.90M,,,
1997-09,6.00M,6.00M,71.20M,,71.20M,60.40M,,,6.10M,143.70M,483.50M,31.70M,1.333B,-483.50M,849.10M,,,,,,,95.50M,,944.60M,1.088B,,62.60M,,,62.60M,68.10M,130.70M,,182.50M,,182.50M,,,,,313.20M,,303.00M,,303.00M,87.80M,,87.80M,,,,390.80M,761.00M,,0.10M,75.90M,251.20M,,,327.30M,,,
1997-06,2.10M,2.10M,44.40M,,52.00M,9.80M,,,2.70M,66.60M,272.90M,,722.70M,-272.90M,449.80M,,,,,,,37.50M,,487.30M,553.90M,,41.70M,,,41.70M,35.60M,77.30M,,46.70M,,46.70M,,,,0.10M,124.10M,,157.30M,,157.30M,42.50M,,42.50M,,,,199.80M,365.70M,,0.10M,72.80M,115.30M,,,188.20M,,,
1997-03,6.50M,6.50M,74.60M,,74.60M,12.10M,,,2.40M,95.60M,267.20M,,701.20M,-267.20M,434.00M,,,,,,,38.20M,-0.10M,472.10M,567.70M,,40.80M,,,40.80M,42.80M,83.60M,,53.70M,,53.70M,,,,-0.10M,137.20M,,157.30M,,157.30M,40.70M,,40.70M,,,,198.00M,376.90M,,0.10M,76.40M,114.40M,,,190.80M,,,
1996-12,5.70M,5.70M,89.90M,,89.90M,20.40M,,,2.10M,118.10M,260.80M,,683.00M,-260.80M,422.20M,,,,,,,37.80M,,460.00M,578.10M,,67.70M,,,67.70M,32.20M,99.90M,,60.30M,,60.30M,,,,,160.20M,,157.30M,,157.30M,39.90M,,39.90M,,,,197.20M,398.60M,,0.10M,65.90M,113.50M,,,179.50M,,,
1996-09,11.10M,11.10M,103.40M,,103.40M,57.30M,,,2.80M,174.60M,449.60M,21.20M,1.220B,-449.60M,770.20M,,,,,,,65.80M,,836.00M,1.011B,,80.30M,,,80.30M,51.90M,132.20M,,145.20M,,145.20M,,,,,277.40M,,276.20M,,276.20M,72.10M,,72.10M,,,,348.30M,681.00M,,0.10M,87.80M,241.70M,,,329.60M,,,
1996-06,2.20M,2.20M,34.00M,,34.00M,15.70M,,,2.20M,54.10M,252.30M,,651.00M,-252.30M,398.70M,,,,,,,35.50M,,434.20M,488.30M,,30.20M,,,30.20M,37.20M,67.40M,,42.10M,,42.10M,,,,,109.50M,,125.30M,,125.30M,35.40M,,35.40M,,,,160.70M,309.20M,,0.10M,68.80M,110.10M,,,179.10M,,,
1996-03,3.80M,3.80M,71.10M,,71.10M,9.00M,,,2.00M,85.90M,246.10M,,633.50M,-246.10M,387.40M,,,,,,,36.20M,,423.60M,509.50M,,53.30M,,,53.30M,44.40M,97.70M,,32.10M,,32.10M,,,,0.10M,129.90M,,125.30M,,125.30M,34.80M,,34.80M,,,,160.10M,328.00M,,0.10M,72.40M,109.10M,,,181.50M,,,
1995-12,4.60M,4.60M,68.80M,,68.80M,15.20M,,,2.30M,90.90M,242.70M,,615.30M,-242.70M,372.60M,,,,,,,36.00M,,408.60M,499.50M,,54.00M,,,54.00M,28.40M,82.40M,,53.70M,,53.70M,,,,-0.10M,136.00M,,125.30M,,125.30M,33.90M,,33.90M,,,,159.20M,333.40M,,0.10M,57.80M,108.30M,,,166.10M,,,
1995-09,2.30M,2.30M,25.70M,,25.70M,17.50M,,,2.70M,48.20M,232.10M,5.60M,595.40M,-232.10M,363.30M,,,,,,,34.30M,0.10M,397.70M,445.90M,,24.90M,,,24.90M,21.90M,46.80M,,40.50M,,40.50M,,,,0.10M,87.40M,,131.30M,,131.30M,33.10M,,33.10M,,,,164.40M,287.60M,,0.10M,51.70M,106.50M,,,158.30M,,,
1995-06,2.40M,2.40M,20.50M,,20.50M,13.90M,,,2.20M,39.00M,233.90M,,585.40M,-233.90M,351.50M,,,,,,,33.80M,-0.10M,385.20M,424.20M,,28.00M,,,28.00M,27.90M,55.90M,,10.50M,,10.50M,,,,,66.40M,,131.30M,,131.30M,29.00M,,29.00M,,,,160.30M,261.60M,,0.10M,56.90M,105.60M,,,162.60M,,,
1995-03,6.20M,6.20M,44.60M,,44.60M,9.60M,,,1.90M,62.30M,228.30M,,570.10M,-228.30M,341.80M,,,,,,,35.70M,,377.50M,439.80M,,39.50M,,,39.50M,34.20M,73.70M,,7.00M,,7.00M,,,,0.10M,80.80M,,131.30M,,131.30M,29.40M,,29.40M,,,,160.70M,275.20M,,0.10M,60.40M,104.20M,,,164.60M,,,
1994-12,3.70M,3.70M,56.00M,,56.00M,17.50M,,,2.50M,79.70M,22.50M,,360.30M,-22.50M,337.80M,,,,,,,35.90M,,373.70M,453.40M,,45.60M,,,45.60M,24.40M,70.00M,,30.00M,,30.00M,,,,,100.00M,,131.30M,,131.30M,29.80M,,29.80M,,,,161.10M,300.10M,,0.10M,50.00M,103.30M,,,153.30M,,,
1994-09,2.80M,2.80M,29.70M,,29.70M,18.60M,,,2.20M,53.30M,216.30M,5.90M,543.70M,-216.30M,327.40M,,,,,,,36.00M,,363.40M,416.70M,,22.00M,,,22.00M,20.20M,42.20M,,22.10M,,22.10M,,,,-0.10M,64.20M,,138.30M,,138.30M,30.20M,,30.20M,,,,168.50M,267.10M,,0.10M,47.00M,102.50M,,,149.60M,,,
1994-06,1.00M,1.00M,36.80M,,36.80M,14.60M,,,2.30M,54.70M,28.20M,,347.30M,-28.20M,319.10M,,,,,,,37.40M,,356.50M,411.20M,,31.70M,,,31.70M,24.20M,55.90M,,37.60M,,37.60M,,,,,93.50M,,98.30M,,98.30M,30.20M,,30.20M,,,,128.50M,254.80M,,0.10M,54.80M,101.50M,,,156.40M,,,
1994-03,2.70M,2.70M,66.50M,,66.50M,10.90M,,,3.10M,83.20M,213.00M,,523.80M,-213.00M,310.80M,,,,,,,37.70M,,348.50M,431.70M,,46.60M,,,46.60M,33.20M,79.80M,,31.80M,,31.80M,,,,,111.60M,,98.30M,,98.30M,30.10M,,30.10M,,,,128.40M,271.20M,,0.10M,59.40M,101.00M,,,160.50M,,,
1993-12,2.10M,2.10M,76.10M,,76.10M,19.00M,,,3.10M,100.30M,208.40M,,514.00M,-208.40M,305.60M,,,,,,,34.90M,,340.50M,440.80M,,51.00M,,,51.00M,22.10M,73.10M,,59.20M,,59.20M,,,,,132.30M,,98.30M,,98.30M,30.10M,,30.10M,,,,128.40M,290.10M,,0.10M,49.50M,101.20M,,,150.70M,,,
