,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2001-03,44.07M,,0.725M,,15.90M,-26.41M,,,95.37M,95.37M,129.66M,,-22.90M,-5.88M,-28.78M,,,6.625M,-22.15M,,,,-239.54M,145.38M,,145.38M,,-11.28M,,,-105.44M,,5.559M,2.064M,7.623M,,145.38M,,,,,,,,
2000-12,22.97M,,0.75M,,15.78M,-4.606M,,,-49.53M,-49.53M,-14.63M,,-19.61M,6.625M,-12.99M,,,,-12.99M,,,,31.70M,3.379M,,3.379M,,-9.285M,,,25.80M,,7.379M,-1.82M,5.559M,,3.379M,,,,,,,,
2000-09,-3.583M,,-5.062M,,15.73M,7.706M,,,-7.34M,-78.01M,-63.22M,,-21.21M,6.193M,-15.02M,0.00,,,-15.02M,,,,82.46M,4.073M,,4.073M,,-9.064M,,,77.47M,,8.148M,-0.769M,7.379M,,4.073M,,,,1.749M,10.34M,,,
2000-06,-4.396M,,0.006M,,15.14M,6.558M,,,-12.28M,-12.28M,5.023M,,-15.95M,-0.282M,-16.23M,-32.00M,,,-48.23M,,,,34.59M,2.781M,,2.781M,,-9.015M,,,28.36M,,22.99M,-14.85M,8.148M,,2.781M,,,,-0.666M,13.28M,,,
2000-03,29.60M,,1.09M,,16.49M,-4.513M,,,106.73M,106.73M,149.39M,,-20.90M,0.713M,-20.19M,,,-0.10M,-20.29M,,,,-123.98M,1.696M,,1.696M,,-9.016M,,,-131.30M,,25.20M,-2.191M,22.99M,,1.696M,,,,6.806M,9.618M,,,
1999-12,14.30M,,1.20M,,16.50M,8.50M,,,-77.50M,-77.50M,-37.00M,,-17.50M,0.80M,-16.70M,,,0.10M,-16.60M,,,,74.10M,5.00M,,5.00M,,-8.90M,,,70.20M,,8.60M,16.60M,25.20M,,5.00M,,,,0.10M,13.00M,,,
1999-09,-21.20M,,1.80M,,15.50M,25.60M,,0.00,-29.00M,-43.80M,-22.10M,,-30.60M,-3.40M,-34.00M,,,,-34.00M,,,,53.80M,5.00M,,5.00M,,-8.60M,,,50.20M,,14.40M,-5.90M,8.60M,,5.00M,,,,-7.10M,8.40M,,,
1999-06,-5.30M,,0.90M,,14.00M,2.00M,,0.20M,21.70M,21.70M,33.50M,,-26.60M,4.20M,-22.40M,,,,-22.40M,,,,-7.90M,5.20M,,5.20M,,-8.50M,,,-11.20M,,14.60M,-0.10M,14.40M,,5.20M,,,,0.90M,11.20M,,,
1999-03,28.80M,,1.10M,,27.40M,2.10M,,-13.70M,48.40M,48.40M,94.10M,,-32.20M,,-32.20M,,,,-32.20M,,,,-58.70M,5.00M,,5.00M,,-8.40M,,,-62.10M,,14.70M,-0.20M,14.60M,,5.00M,,,,9.40M,8.50M,,,
1998-12,15.40M,,1.00M,,,2.20M,,13.60M,-53.00M,-53.00M,-20.80M,,-21.00M,,-21.00M,,,,-21.00M,,,,53.70M,6.50M,,6.50M,,-8.40M,,,51.80M,,4.70M,10.00M,14.70M,,6.50M,,,,4.00M,12.30M,,,
1998-09,-3.90M,,-1.80M,,,-3.80M,,-36.20M,9.40M,-9.00M,-7.10M,,-52.50M,13.30M,-39.20M,,,,-39.20M,,,,46.00M,4.80M,,4.80M,,-8.00M,,,42.80M,,8.30M,-3.50M,4.70M,,4.80M,,,,10.70M,-1.50M,,,
1998-06,1.70M,,2.70M,,,0.10M,,12.40M,-8.20M,-8.20M,8.70M,,-29.90M,2.70M,-27.20M,,,,-27.20M,,,,20.20M,4.60M,,4.60M,,-8.00M,,,16.80M,,10.00M,-1.70M,8.30M,,4.60M,,,,7.50M,13.00M,,,
1998-03,37.40M,,0.80M,,,-0.10M,,11.80M,56.00M,56.00M,105.90M,,-28.10M,0.00,-28.10M,,,,-28.10M,,,,-74.70M,5.70M,,5.70M,,-7.90M,,,-76.90M,,9.10M,0.90M,10.00M,,5.70M,,,,7.20M,5.80M,,,
1997-12,20.10M,,0.80M,,,-0.20M,,12.00M,-48.50M,-48.50M,-15.80M,,-24.50M,0.20M,-24.30M,,,,-24.30M,,,,45.70M,5.40M,,5.40M,,-7.90M,,,43.20M,,6.00M,3.10M,9.10M,,5.40M,,,,0.20M,12.70M,,,
1997-09,-22.00M,,-9.90M,,,0.40M,,5.10M,-9.70M,-2.70M,-29.10M,,-37.00M,1.20M,-35.80M,,,,-35.80M,,,,63.00M,2.40M,,2.40M,,-4.20M,,,61.30M,,7.20M,-3.60M,6.00M,,2.40M,,,,-2.50M,-1.00M,,,
1997-06,-3.00M,,1.00M,,,1.80M,,11.70M,29.60M,29.60M,41.10M,,-31.80M,-0.30M,-32.10M,,,,-32.10M,,,,-13.20M,1.70M,,1.70M,,-7.40M,,,-18.90M,,17.20M,-9.90M,7.20M,,1.70M,,,,6.50M,12.80M,,,
1997-03,30.60M,,0.90M,,,0.80M,,11.70M,25.20M,25.20M,69.20M,,-26.80M,-0.50M,-27.30M,,,0.10M,-27.20M,,,,-32.60M,2.10M,,2.10M,,-7.40M,,,-37.90M,,13.10M,4.10M,17.20M,,2.10M,,,,3.30M,1.80M,,,
1996-12,18.20M,,1.00M,,,2.80M,,11.40M,-45.90M,-45.90M,-12.50M,,-26.70M,0.80M,-25.90M,,,-0.10M,-26.00M,,,,46.90M,3.30M,,3.30M,,-7.40M,,,42.80M,,8.80M,4.30M,13.10M,,3.30M,,,,2.40M,11.60M,,,
1996-09,13.30M,,-1.20M,,,5.30M,,25.30M,-9.40M,-16.90M,25.80M,,-59.70M,2.40M,-57.30M,,,-0.10M,-57.40M,,,,46.40M,4.30M,,4.30M,,-17.10M,,-0.10M,33.50M,,2.20M,1.90M,11.10M,,4.30M,,,,10.80M,21.30M,,,
1996-06,0.30M,,1.30M,,,0.60M,,5.40M,1.20M,1.20M,8.80M,,-18.30M,0.50M,-17.80M,,,0.10M,-17.70M,,,,10.00M,1.00M,,1.00M,,-3.80M,,,7.20M,,3.80M,-1.70M,2.20M,,1.00M,,,,2.60M,3.70M,,,
1996-03,18.40M,,1.40M,,,0.90M,,5.30M,19.50M,19.50M,45.50M,,-20.40M,-1.30M,-21.70M,,,,-21.70M,,,,-17.90M,0.80M,,0.80M,,-7.60M,,0.10M,-24.60M,,4.60M,-0.80M,3.80M,,0.80M,,,,1.10M,3.80M,,,
1995-12,9.20M,,0.20M,,,0.80M,,5.60M,-4.20M,-4.20M,11.60M,,-19.20M,4.10M,-15.10M,,,,-15.10M,,,,3.50M,2.40M,,2.40M,,,,-0.10M,5.80M,,2.30M,2.30M,4.60M,,2.40M,,,,0.10M,4.00M,,,
1995-09,8.30M,,1.00M,,,4.00M,,-4.60M,-31.40M,-18.20M,-9.50M,,-18.10M,0.20M,-17.90M,,,,-17.90M,,,,30.00M,0.80M,,0.80M,,-3.60M,,0.10M,27.30M,,2.40M,-0.10M,2.30M,,0.80M,,,,2.90M,0.50M,,,
1995-06,0.10M,,1.10M,,,-0.40M,,5.10M,4.60M,4.60M,10.50M,,-15.60M,-0.10M,-15.70M,,,,-15.70M,,,,3.50M,1.50M,,1.50M,,-3.50M,,-0.10M,1.40M,,6.20M,-3.80M,2.40M,,1.50M,,,,1.10M,5.00M,,,
1995-03,13.90M,,1.10M,,,-0.40M,,5.20M,21.40M,21.40M,41.20M,,-15.70M,2.60M,-13.10M,,,,-13.10M,,,,-23.00M,0.90M,,0.90M,,-3.60M,,,-25.70M,,3.70M,2.40M,6.20M,,0.90M,,,,6.10M,1.90M,,,
1994-12,6.50M,,2.40M,,,-0.40M,,5.20M,2.60M,2.60M,16.30M,,-13.50M,,-13.50M,,,,-13.50M,,,,0.90M,0.80M,,0.80M,,-3.50M,,,-1.80M,,2.80M,1.00M,3.70M,,0.80M,,,,,4.10M,,,
1994-09,-4.40M,,0.90M,,,2.60M,,4.50M,-16.60M,-11.40M,-7.80M,,-14.20M,1.90M,-12.30M,,,0.10M,-12.20M,,,,24.50M,0.70M,,0.70M,,-3.30M,,-0.10M,21.80M,,1.00M,1.80M,2.80M,,0.70M,,,,0.00,2.00M,,,
1994-06,-1.20M,,0.50M,,,0.10M,,4.90M,4.60M,4.60M,8.90M,,-36.20M,-0.30M,-36.50M,,23.00M,,-13.50M,,,,5.80M,0.50M,,0.50M,,-3.40M,,0.00,2.90M,,2.70M,-1.70M,1.00M,,0.50M,,,,1.10M,3.90M,,,
1994-03,13.20M,,1.10M,,,0.00,,4.70M,23.20M,23.20M,42.20M,,12.10M,0.20M,12.30M,,-23.00M,-0.10M,-10.80M,,,,-27.40M,-0.20M,,-0.20M,,-3.30M,,0.10M,-30.80M,,2.10M,0.60M,2.70M,,-0.20M,,,,5.30M,2.20M,,,
1993-12,7.10M,,1.10M,,,-2.50M,,4.70M,-12.50M,-12.50M,-2.10M,,-12.10M,0.10M,-12.00M,,,0.10M,-11.90M,,,,9.60M,6.90M,,6.90M,,-2.70M,,,13.80M,,2.30M,-0.20M,2.10M,,6.90M,,,,,4.70M,,,
