,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2004-09,-6.615M,,2.993M,13.67M,0.733M,14.41M,14.41M,,,,,,-0.223M,-1.477M,1.89M,-1.309M,1.248M,,0.129M,10.91M,-7.621M,,-7.621M,,-15.28M,2.083M,-20.82M,,0.00,1.041M,,1.041M,,,,-0.02M,1.021M,44.06M,-8.887M,-0.094M,35.08M,1.041M,,,,,
2004-06,-9.205M,,2.944M,13.41M,1.277M,14.69M,14.69M,,,,,,-2.397M,0.55M,0.823M,-0.216M,1.707M,,0.467M,8.892M,-4.254M,-2.001M,-6.255M,,-19.11M,-1.336M,-26.70M,,0.00,0.53M,,0.53M,,,,0.00,0.53M,61.29M,-17.28M,0.05M,44.06M,0.53M,,,,,
2004-03,-30.14M,,20.54M,14.83M,0.677M,15.51M,15.51M,,,,,,0.029M,0.971M,0.19M,0.046M,-0.656M,,0.58M,6.481M,-4.908M,2.001M,-2.907M,,16.76M,-0.196M,13.66M,,17.97M,2.06M,,2.06M,,,,-5.727M,14.30M,26.87M,34.44M,-0.019M,61.29M,2.06M,,,,,
2003-12,-17.70M,,-4.858M,14.43M,10.04M,24.47M,24.47M,,,,,,-0.468M,2.291M,-0.826M,-0.139M,0.308M,,1.166M,3.078M,-4.861M,,-4.861M,,-44.80M,,-45.00M,,-57.21M,105.04M,,105.04M,,,,-0.515M,47.32M,21.72M,5.399M,-0.253M,26.87M,105.04M,,,,,
2003-09,-19.72M,,3.541M,14.66M,1.01M,15.67M,15.67M,,,,,,0.689M,-0.32M,1.705M,0.017M,0.322M,,2.413M,1.902M,-1.429M,,-1.429M,,-3.514M,,-4.943M,,-0.707M,1.139M,,1.139M,,,,0.00,0.432M,24.26M,-2.609M,0.075M,21.72M,1.139M,,,,,
2003-06,-21.20M,,3.123M,15.30M,1.229M,16.53M,16.53M,,,,,,0.794M,2.376M,-4.804M,0.329M,0.166M,,-1.139M,-2.688M,-1.114M,,-1.114M,,0.231M,,-0.883M,,7.133M,0.223M,,0.223M,,,,-0.458M,6.898M,20.98M,3.327M,-0.048M,24.26M,0.223M,,,,,
2003-03,-25.55M,,3.073M,16.25M,1.483M,17.74M,17.74M,,,,,,-1.677M,2.538M,-2.642M,0.172M,-13.21M,,-14.82M,-19.56M,-0.346M,,-0.346M,,1.989M,,1.643M,,-2.518M,0.159M,,0.159M,,,,,-2.359M,41.22M,-20.27M,0.036M,20.98M,0.159M,,,,,
2002-12,60.72M,,-87.05M,14.58M,2.79M,17.37M,17.37M,,,,,,-0.361M,1.705M,14.31M,1.272M,-5.73M,,11.19M,2.232M,-1.417M,,-1.417M,,1.582M,-1.186M,-1.021M,,5.413M,0.00,,0.00,,,,25.21M,30.62M,9.31M,31.84M,0.071M,41.22M,0.00,,,,,
2002-09,-44.09M,,18.86M,14.08M,2.939M,17.02M,17.02M,,,,,,-0.157M,-1.47M,-0.892M,-0.258M,7.099M,,4.322M,-3.892M,-1.067M,,-1.067M,,4.181M,0.00,3.114M,,-6.707M,0.172M,,0.172M,,,,-0.158M,-6.693M,16.78M,-7.471M,0.006M,9.31M,0.172M,,,,,
2002-06,-24.56M,,-3.554M,13.36M,2.288M,15.65M,15.65M,,,,,,-0.353M,4.399M,-2.183M,-0.355M,-12.85M,,-11.34M,-23.80M,-1.188M,,-1.188M,,17.85M,-4.708M,11.96M,,-4.288M,0.024M,,0.024M,,,,-1.362M,-5.626M,33.75M,-17.47M,0.495M,16.78M,0.024M,,,,,
2002-03,-13.69M,,-11.18M,12.06M,4.838M,16.90M,16.90M,,,,,,-1.64M,-0.344M,-0.105M,1.945M,6.076M,,5.932M,-2.045M,-2.836M,,-2.836M,,5.258M,-24.00M,-21.58M,,-1.717M,0.341M,,0.341M,,,,-0.005M,-1.381M,58.83M,-25.00M,-0.074M,33.75M,0.341M,,,,,
2001-12,-27.45M,,0.329M,13.20M,4.314M,17.52M,17.52M,,,,,,1.012M,2.001M,-10.18M,0.926M,-0.955M,,-7.194M,-16.80M,19.37M,,19.37M,,56.44M,-37.02M,38.80M,,-47.90M,0.041M,0.00,0.041M,,,,0.522M,-47.34M,84.65M,-25.33M,-0.486M,58.83M,0.041M,,,0.00,,
2001-09,-81.57M,,48.36M,12.44M,5.119M,17.55M,17.55M,,,,,,-1.743M,-1.46M,4.917M,0.287M,-0.568M,,1.433M,-14.22M,-35.06M,,-35.06M,,5.938M,4.247M,-24.88M,,-2.047M,0.367M,0.00,0.367M,,,,-0.127M,-1.807M,124.00M,-40.91M,1.554M,84.65M,0.367M,,,0.00,,
2001-06,-37.86M,,-0.073M,24.01M,16.81M,20.31M,20.31M,,,,,,0.146M,1.46M,3.785M,1.654M,-7.858M,,-0.813M,-18.43M,-7.408M,,-7.408M,,-12.03M,-32.32M,-51.76M,,28.78M,0.002M,0.00,0.002M,,,,-0.395M,28.39M,165.87M,-41.80M,-0.062M,124.00M,0.002M,,,0.00,,
2001-03,-41.54M,,0.467M,,,20.51M,20.51M,,,,,,-1.92M,,-1.266M,-4.524M,8.875M,,1.165M,-19.40M,-34.69M,,-34.69M,,-46.71M,-33.78M,-115.18M,,127.06M,1.508M,-0.018M,1.49M,,,,,128.55M,174.77M,-6.025M,-2.879M,165.87M,1.508M,,,-0.018M,,
2000-12,-42.88M,,,,,23.22M,23.22M,,,,,,-0.113M,,3.43M,-5.794M,-9.971M,,-12.45M,-30.73M,-201.12M,,-201.12M,,9.818M,132.72M,-58.59M,,-5.268M,-0.523M,-0.015M,-0.538M,,,,-5.967M,-11.77M,273.87M,-101.09M,,174.77M,-0.523M,,,-0.015M,,
2000-09,-32.08M,,,,,14.02M,14.02M,,,,,,-3.093M,,2.199M,-2.500M,9.008M,,5.613M,-12.45M,4.268M,,4.268M,,-44.92M,-77.83M,-118.48M,,4.932M,250.68M,-0.002M,250.68M,,,,0.25M,255.86M,148.94M,124.93M,,273.87M,250.68M,,,-0.002M,,
2000-06,-26.81M,,,,,9.726M,9.726M,,,,,,-2.042M,,2.992M,-0.5445M,-4.041M,,-3.635M,-20.72M,-137.42M,,-137.42M,,11.00M,12.27M,-114.15M,,-1.311M,97.69M,0.00,97.69M,,,,-0.25M,96.13M,187.68M,-38.74M,,148.94M,97.69M,,,0.00,,
2000-03,-18.01M,,,,,6.188M,6.188M,,,,,,-0.107M,,0.953M,-0.291M,7.09M,,7.645M,-4.176M,-36.50M,,-36.50M,,11.38M,14.18M,-10.94M,,-1.424M,1.064M,-0.011M,1.053M,,,,,-0.371M,203.16M,-15.49M,,187.68M,1.064M,,,-0.011M,,
